"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Бондаренко
Євген
Володимирович","Волков
Олександр
Михайлович","Дружченко
Андрій
Вікторович","Кіріченко
Сергій
Єфремович","Костенко
Олександр
Михайлович","Макаренко
Павло
Дмитрович","Парфило
Валерій
Андрійович","Приходько
Катерина
Степанівна","Сергієнко
Сергій
Анатолійович","Сугоняко
Олександр
Леонідович","Токар
Володимир
Миколайович","Дата підписання протоколу"
"590056","158","Сумська область","об’єкт дозвілевої роботи, глядацька зала
вул.Центральна, 55, с.Олександрівка, Білопільський р-н, Сумська обл., 41857","90","20","84","7","63","7","70","","0","63","7","70","2","68","1","31","3","4","23","0","0","2","0","2","2","29.10.12"
"590057","158","Сумська область","школа, вчительська
вул.Центральна, 19, с.Шкуратівка, Білопільський р-н, Сумська обл., 41816","336","123","332","42","176","37","213","","0","176","37","213","8","205","0","73","22","5","81","1","1","1","0","2","19","28.10.12"
"590058","158","Сумська область","об’єкт дозвілевої роботи, актова зала
вул.Логвина, 85, с.Череватівка, Білопільський р-н, Сумська обл., 41811","222","85","217","29","109","28","137","","0","109","28","137","3","134","2","52","29","7","29","1","0","1","2","4","7","29.10.12"
"590059","158","Сумська область","центральна районна лікарня, фойє
вул.Маяковського, 27, м.Білопілля, Білопільський р-н, Сумська обл., 41800","228","193","39","7","28","7","35","","0","28","7","35","0","35","0","10","1","0","19","0","0","0","0","4","1","29.10.12"
"590219","158","Сумська область","райавтодор, зал засідань
вул.Мезенівська, 79, смт Краснопілля, Краснопільський р-н, Сумська обл., 42400","1140","520","1121","31","592","28","620","","0","592","28","620","22","598","12","197","27","11","205","7","3","13","4","41","78","29.10.12"
"590220","158","Сумська область","районний палац культури, фойє
вул.Вокзальна, 14, смт Краснопілля, Краснопільський р-н, Сумська обл., 42400","2040","950","2003","79","1033","57","1090","","0","1033","57","1090","31","1059","13","371","53","23","297","18","4","28","10","143","99","29.10.12"
"590221","158","Сумська область","селищний клуб, актовий зал
вул.Петровського, 55, смт Краснопілля, Краснопільський р-н, Сумська обл., 42400","456","182","451","19","259","15","274","","0","259","15","274","16","258","5","91","12","6","78","2","0","4","2","21","37","29.10.12"
"590222","158","Сумська область","Краснопільське професійно-технічне училище №43, загальний кабінет, фойє
вул.Вокзальна, 37, смт Краснопілля, Краснопільський р-н, Сумська обл., 42400","1344","596","1314","67","702","46","748","","0","702","46","748","24","724","5","277","41","22","211","11","3","14","7","71","62","29.10.12"
"590223","158","Сумська область","ФГ ""Колос"", зал засідань
вул.Пушкіна, 24, смт Краснопілля, Краснопільський р-н, Сумська обл., 42400","486","136","496","32","318","32","350","","0","318","32","350","20","330","4","130","15","9","90","4","1","9","1","24","43","28.10.12"
"590224","158","Сумська область","селищний клуб, актовий зал
вул.Фрунзе, 1, смт Краснопілля, Краснопільський р-н, Сумська обл., 42400","1380","599","1361","92","711","70","781","","0","711","70","781","26","755","12","255","70","25","239","7","2","14","2","71","58","29.10.12"
"590225","158","Сумська область","школа, класна кімната 2
школа, вул.Новостроївка, с.Новодмитрівка, Краснопільський р-н, Сумська обл., 42400","138","38","132","17","83","17","100","","0","83","17","100","3","97","3","41","3","1","36","1","0","1","1","1","9","29.10.12"
"590226","158","Сумська область","навчально-виховний комплекс, спортивна кімната
вул.Чернишевського, 2, с-ще Михайлівське, Краснопільський р-н, Сумська обл., 42407","384","149","379","27","208","27","235","","0","208","27","235","7","228","2","40","10","10","132","3","0","4","0","8","19","28.10.12"
"590227","158","Сумська область","селищний будинок культури, фойє
вул.Трофімова,16, смт Угроїди, Краснопільський р-н, Сумська обл., 42432","924","413","917","64","450","61","511","","0","450","61","511","10","501","6","146","36","22","216","6","0","9","2","25","33","28.10.12"
"590228","158","Сумська область","школа, актовий зал
вул.Радянська, 8, смт Угроїди, Краснопільський р-н, Сумська обл., 42432","792","387","775","93","317","88","405","","0","317","88","405","11","394","2","91","38","14","191","5","3","10","10","17","13","29.10.12"
"590229","158","Сумська область","сільський клуб, фойє
вул.Пушкіна, 4, с.Наумівка, Краснопільський р-н, Сумська обл., 42432","288","84","280","18","186","18","204","","0","186","18","204","3","201","2","55","7","1","104","1","1","2","3","16","9","28.10.12"
"590230","158","Сумська область","будинок культури, актовий зал
вул.Комсомольська, 2, с.Бранцівка, Краснопільський р-н, Сумська обл., 42455","360","104","356","25","236","20","256","","0","236","20","256","6","250","2","116","9","1","87","3","0","2","0","5","25","29.10.12"
"590231","158","Сумська область","будинок культури, фойє
вул.Грузія, 1, с.Великий Бобрик, Краснопільський р-н, Сумська обл., 42442","1140","535","1139","55","554","51","605","","0","554","51","605","14","591","6","222","22","39","168","3","4","16","6","62","43","29.10.12"
"590232","158","Сумська область","сільський клуб, фойє
сільський клуб, вул.Вигін , с.Малий Бобрик, Краснопільський р-н, Сумська обл., 42442","264","118","255","24","122","24","146","","0","122","24","146","4","142","5","65","0","7","29","2","0","5","1","9","19","28.10.12"
"590233","158","Сумська область","навчально-виховний комплекс, фойє
вул.Грабовського, 1, с.Грабовське, Краснопільський р-н, Сумська обл., 42450","492","158","490","34","300","34","334","","0","300","34","334","8","326","9","101","18","3","110","5","2","8","2","25","43","28.10.12"
"590234","158","Сумська область","навчально-виховний комплекс, фойє
вул.Сумська, 1, с.Запсілля, Краснопільський р-н, Сумська обл., 42417","450","211","444","16","229","10","239","","0","229","10","239","5","234","13","75","12","9","62","1","3","11","1","24","23","28.10.12"
"590235","158","Сумська область","навчально-виховний комплекс, спортзал
вул.Сумська, 2, с.Велика Рибиця, Краснопільський р-н, Сумська обл., 42418","462","211","460","30","225","26","251","","0","225","26","251","7","244","4","123","14","9","55","2","0","6","2","18","11","29.10.12"
"590236","158","Сумська область","навчально-виховний комплекс, спортзал
вул.Миропільська, 6, с.Мала Рибиця, Краснопільський р-н, Сумська обл., 42422","330","114","324","18","201","15","216","","0","201","15","216","8","208","2","68","8","1","91","1","1","9","4","17","6","29.10.12"
"590237","158","Сумська область","дозвілевий об’єкт, фойє
вул.Гора, 2, с.Великий Прикіл, Краснопільський р-н, Сумська обл., 42422","108","19","108","9","80","9","89","","0","80","9","89","0","89","0","55","7","0","19","0","0","1","0","6","1","28.10.12"
"590238","158","Сумська область","сільський клуб, актовий зал
вул.Заводська, 53, с.Мезенівка, Краснопільський р-н, Сумська обл., 42453","918","312","891","100","510","96","606","","0","510","96","606","11","595","2","244","54","6","247","0","3","5","5","12","17","29.10.12"
"590239","158","Сумська область","КСП ""Мезенівське"", загальна кімната 2
КСП ""Мезенівське"", вул.Леніна, с.Новоолександрівка, Краснопільський р-н, Сумська обл., 42453","108","38","104","25","48","22","70","","0","48","22","70","0","70","1","23","2","2","41","0","0","1","0","0","0","28.10.12"
"590240","158","Сумська область","навчально-виховний комплекс, фойє
вул.Леніна, 38, с.Миропілля, Краснопільський р-н, Сумська обл., 42410","1266","650","1249","36","590","26","616","","0","590","26","616","22","594","8","235","33","8","230","3","1","18","2","36","20","29.10.12"
"590241","158","Сумська область","навчально-виробничий комбінат, коридор
вул.Радянська, 125, с.Миропілля, Краснопільський р-н, Сумська обл., 42410","492","256","492","17","219","17","236","","0","219","17","236","6","230","1","109","18","3","86","2","0","2","0","7","2","28.10.12"
"590242","158","Сумська область","навчально-виховний комплекс, актовий зал
вул.Леніна, 2, с.Осоївка, Краснопільський р-н, Сумська обл., 42424","474","150","465","58","272","52","324","","0","272","52","324","3","321","1","118","12","14","106","2","1","8","6","29","24","28.10.12"
"590243","158","Сумська область","будинок культури, фойє
вул.Сумська, 90, с.Осоївка, Краснопільський р-н, Сумська обл., 42424","456","244","445","25","188","24","212","","0","188","24","212","9","203","7","78","4","10","68","3","0","5","4","17","7","29.10.12"
"590244","158","Сумська область","сільська рада, кабінет сільського голови
вул.Жовтнева, 57, с.Покровка, Краснопільський р-н, Сумська обл., 42437","534","177","519","45","315","42","357","","0","315","42","357","6","351","3","136","14","5","127","12","1","4","4","6","39","29.10.12"
"590245","158","Сумська область","будинок культури, фойє, 2-й поверх
будинок культури, вул.Молодіжна, с.Рясне, Краснопільський р-н, Сумська обл., 42452","576","194","566","60","324","58","382","","0","324","58","382","9","373","8","197","12","16","80","3","3","12","1","16","25","28.10.12"
"590246","158","Сумська область","дозвілевий об’єкт, актовий зал
54, с.Лісне, Краснопільський р-н, Сумська обл., 42452","240","61","237","35","146","33","179","","0","146","33","179","5","174","2","114","3","5","42","0","0","1","3","2","2","28.10.12"
"590247","158","Сумська область","школа, актовий зал
вул.Макаренка, 41, с.Самотоївка, Краснопільський р-н, Сумська обл., 42440","1104","461","1099","89","559","84","643","","0","559","84","643","8","635","11","302","17","16","171","2","1","10","4","30","71","29.10.12"
"590248","158","Сумська область","школа, класна кімната 1
вул.Центральна, 20, с.Глибне, Краснопільський р-н, Сумська обл., 42441","330","109","329","22","202","19","221","","0","202","19","221","9","212","6","70","6","6","48","3","1","14","3","27","28","28.10.12"
"590249","158","Сумська область","навчально-виховний комплекс, спортзал
вул.Шкільна, 19, с.Сінне, Краснопільський р-н, Сумська обл., 42420","366","140","360","28","204","22","226","","0","204","22","226","5","221","5","63","6","17","87","4","0","11","0","15","13","29.10.12"
"590250","158","Сумська область","дозвілевий об’єкт, глядацький зал
вул.Духовна, 54А, с.Грунівка, Краснопільський р-н, Сумська обл., 42420","168","50","171","32","87","31","118","","0","87","31","118","5","113","0","37","5","7","47","0","1","6","3","4","3","29.10.12"
"590251","158","Сумська область","школа, коридор
вул.Базарська, 1, с.Славгород, Краснопільський р-н, Сумська обл., 42456","624","240","609","57","329","55","384","","0","329","55","384","2","382","3","117","16","11","172","2","0","7","4","16","34","28.10.12"
"590252","158","Сумська область","школа, класна кімната 2
вул.Балабанівка, 5, с.Порозок, Краснопільський р-н, Сумська обл., 42457","342","101","332","41","203","38","241","","0","203","38","241","8","233","3","45","15","11","118","2","3","7","5","7","17","29.10.12"
"590253","158","Сумська область","дитсадок, ігрова кімната
вул.Хутір, 27, с.Верхня Пожня, Краснопільський р-н, Сумська обл., 42457","150","19","155","27","105","26","131","","0","105","26","131","6","125","0","35","6","2","69","1","1","1","1","5","4","29.10.12"
"590254","158","Сумська область","будинок культури, методичний кабінет
вул.Леніна, 2, с.Тур’я, Краснопільський р-н, Сумська обл., 42430","420","174","414","15","232","14","246","","0","232","14","246","9","237","2","77","10","5","113","2","3","3","4","2","16","28.10.12"
"590255","158","Сумська область","будинок культури, актовий зал
вул.Центральна, 10, с.Хмелівка, Краснопільський р-н, Сумська обл., 42446","456","128","449","41","292","36","328","","0","292","36","328","7","321","0","164","15","4","103","0","1","8","3","13","10","29.10.12"
"590256","158","Сумська область","дозвілевий об’єкт, актовий зал
32, с.Лозове, Краснопільський р-н, Сумська обл., 42446","156","45","154","18","95","16","111","","0","95","16","111","0","111","0","26","5","6","64","0","0","3","2","0","5","28.10.12"
"590257","158","Сумська область","навчально-виховний комплекс, фойє
вул.40-річчя Перемоги, 2Б, с.Чернеччина, Краснопільський р-н, Сумська обл., 42444","768","298","758","74","404","66","470","","0","404","66","470","13","457","3","179","29","12","179","0","0","5","4","27","19","29.10.12"
"590258","158","Сумська область","фельдшерський пункт, вільна кімната 2
фельдшерський пункт, вул.Підлісна, с.Мозкове, Краснопільський р-н, Сумська обл., 42444","144","62","139","3","79","3","82","","0","79","3","82","3","79","1","26","2","0","43","0","1","0","1","3","2","28.10.12"
"590259","158","Сумська область","акушерсько-гінекологічний комплекс, приймальне відділення
вул.Перемоги, 24Б, смт Краснопілля, Краснопільський р-н, Сумська обл., 42400","156","124","48","22","19","13","32","","0","19","13","32","0","32","0","10","1","1","8","1","0","3","1","2","5","28.10.12"
"590582","158","Сумська область","будинок культури, к.2
будинок культури, вул.Тесленка, с.Басівка, Сумський р-н, Сумська обл., 42312","456","191","457","36","230","35","265","","0","230","35","265","7","258","5","73","12","18","72","4","2","14","26","17","15","29.10.12"
"590583","158","Сумська область","сільський клуб, к.2
сільський клуб, вул.Кириченка, с.Локня, Сумський р-н, Сумська обл., 42313","246","96","241","18","132","18","150","","0","132","18","150","7","143","1","50","5","11","58","0","0","6","4","5","3","29.10.12"
"590584","158","Сумська область","школа, к.2
вул.Жовтнева, 27, с.Бездрик, Сумський р-н, Сумська обл., 42350","1536","680","1521","75","785","71","856","","0","785","71","856","37","819","12","216","26","25","123","8","3","33","6","65","302","29.10.12"
"590585","158","Сумська область","сільська рада, к.2
вул.Кірова, 96, с.Битиця, Сумський р-н, Сумська обл., 42331","366","148","354","28","193","25","218","","0","193","25","218","13","205","5","70","11","12","42","3","2","17","1","26","16","29.10.12"
"590586","158","Сумська область","школа, к.2
вул.Шкільна, 3, с.Пушкарівка, Сумський р-н, Сумська обл., 42331","354","169","349","17","171","14","185","","0","171","14","185","8","177","0","57","11","11","37","2","1","5","1","13","39","29.10.12"
"590587","158","Сумська область","школа, к.2
вул.Шкільна, 1, с.Біловоди, Сумський р-н, Сумська обл., 42310","408","187","403","38","184","37","221","","0","184","37","221","9","212","1","43","4","26","115","2","0","0","2","10","9","29.10.12"
"590588","158","Сумська область","сільський клуб, к.1
вул.Лугова, 1, с.Водолаги, Сумський р-н, Сумська обл., 42311","132","44","127","21","67","21","88","","0","67","21","88","2","86","1","32","2","7","39","0","0","0","1","1","3","29.10.12"
"590589","158","Сумська область","будинок культури, к.2
вул.Першотравнева, 40, с.Великі Вільми, Сумський р-н, Сумська обл., 42345","648","260","649","60","330","58","388","","0","329","58","387","16","371","5","131","20","17","67","6","0","9","4","21","91","29.10.12"
"590590","158","Сумська область","сільська рада, к.2
пров.Радянський, 4, с.Велика Чернеччина, Сумський р-н, Сумська обл., 42333","2398","1078","2379","73","1265","55","1320","","0","1265","55","1320","37","1283","21","537","45","95","216","16","3","103","12","135","100","29.10.12"
"590591","158","Сумська область","будинок культури, к.2
пл.Гагаріна, 3, с.Верхня Сироватка, Сумський р-н, Сумська обл., 42351","1758","862","1731","17","884","12","896","","0","884","12","896","24","872","6","285","25","63","252","14","1","26","6","81","113","28.10.12"
"590592","158","Сумська область","школа, к.2
пл.Гагаріна, 5, с.Верхня Сироватка, Сумський р-н, Сумська обл., 42351","1422","738","1416","21","665","19","684","","0","665","19","684","27","657","6","254","24","42","151","7","4","18","6","59","86","29.10.12"
"590593","158","Сумська область","сільська бібліотека, к.2
вул.Галкіна, 21Б, с.Залізняк, Сумський р-н, Сумська обл., 42352","396","190","397","5","202","4","206","","0","202","4","206","5","201","7","60","10","20","56","5","1","4","4","11","23","29.10.12"
"590594","158","Сумська область","сільська бібліотека, к.1
вул.Робоча, 15, с.Новоселиця, Сумський р-н, Сумська обл., 42351","360","159","356","8","194","7","201","","0","194","7","201","5","196","3","110","4","11","34","3","0","7","2","10","12","29.10.12"
"590595","158","Сумська область","навчально-виховний комплекс, к.2
навчально-виховний комплекс, вул.Леніна, с.Кекине, Сумський р-н, Сумська обл., 42325","372","138","367","42","193","41","234","","0","193","41","234","4","230","3","57","16","53","28","2","6","8","3","18","36","29.10.12"
"590596","158","Сумська область","сільська рада, к.2
вул.Супруна, 9, с-ще Кияниця, Сумський р-н, Сумська обл., 42335","708","320","693","58","331","57","388","","0","331","57","388","9","379","5","162","68","30","81","0","1","4","3","12","13","29.10.12"
"590597","158","Сумська область","сільський клуб, к.2
вул.Чередніченка, 29, с.Корчаківка, Сумський р-н, Сумська обл., 42335","276","96","273","38","142","38","180","","0","142","38","180","6","174","1","41","21","12","82","1","1","1","0","10","4","29.10.12"
"590598","158","Сумська область","школа, к.2
вул.Чапаєва, 1А, с.Нова Січ, Сумський р-н, Сумська обл., 42335","234","93","224","17","125","16","141","","0","125","16","141","2","139","2","56","12","15","34","5","0","5","0","5","5","29.10.12"
"590599","158","Сумська область","ПАТ ""Бурякорадгосп ""Шевченківський"", контора, актова зала
вул.Шевченка, 2А, с.Храпівщина, Сумський р-н, Сумська обл., 42335","468","222","459","40","211","35","246","","0","211","35","246","5","241","2","108","25","4","80","2","0","0","5","8","7","29.10.12"
"590600","158","Сумська область","будинок культури, к.2
вул.Леніна, 2, с.Кіндратівка, Сумський р-н, Сумська обл., 42315","660","206","655","42","412","42","454","","0","412","42","454","8","446","1","45","6","221","145","3","0","1","1","12","11","28.10.12"
"590601","158","Сумська область","сільський клуб, к.2
сільський клуб, вул.Радянська, с.Костянтинівка, Сумський р-н, Сумська обл., 42315","174","40","168","7","128","6","134","","0","128","6","134","2","132","0","32","2","53","30","4","0","1","2","5","3","28.10.12"
"590602","158","Сумська область","школа, к.2
вул.Набережна, 10, с.Ленінське, Сумський р-н, Сумська обл., 42315","180","54","176","6","120","6","126","","0","120","6","126","11","115","0","64","2","22","22","0","1","0","1","2","1","29.10.12"
"590603","158","Сумська область","школа, к.1
вул.Шкільна, 16Б, с.Косівщина, Сумський р-н, Сумська обл., 42342","2394","1096","2364","101","1209","89","1298","","0","1209","89","1298","39","1259","10","557","33","47","229","22","6","19","32","161","143","29.10.12"
"590604","158","Сумська область","сільський клуб, к.2
сільський клуб, с.Солідарне, Сумський р-н, Сумська обл., 42342","432","207","431","33","194","31","225","","0","194","31","225","4","221","1","108","3","0","66","5","0","2","2","20","14","29.10.12"
"590605","158","Сумська область","будинок культури, к.2
вул.Центральна, 85, с.Кровне, Сумський р-н, Сумська обл., 42323","762","251","749","74","440","71","511","","0","440","71","511","7","504","6","268","27","89","88","1","1","5","1","11","7","29.10.12"
"590606","158","Сумська область","сільський клуб, к.2
вул.Центральна, 80, с.Руднівка, Сумський р-н, Сумська обл., 42323","240","64","245","20","159","17","176","","0","159","17","176","3","173","1","94","8","7","48","2","0","3","0","1","9","29.10.12"
"590607","158","Сумська область","навчально-виховний комплекс, к.2
вул.Перемоги, 34, с.Миколаївка, Сумський р-н, Сумська обл., 42323","918","372","915","98","457","89","546","","0","457","89","546","15","531","6","268","18","41","116","4","3","10","3","39","23","29.10.12"
"590608","158","Сумська область","сільська рада, к.2
вул.Комсомольська, 1, с.Могриця, Сумський р-н, Сумська обл., 42330","612","267","603","77","283","62","345","","0","283","62","345","10","335","3","177","25","7","57","1","3","6","2","25","29","29.10.12"
"590609","158","Сумська область","будинок культури, к.2
будинок культури, вул.Театральна, смт Низи, Сумський р-н, Сумська обл., 42355","1206","560","1185","64","588","58","646","","0","588","58","646","18","628","7","269","32","41","168","7","3","8","3","33","57","29.10.12"
"590610","158","Сумська область","школа, к.2
вул.Шлях, 10, смт Низи, Сумський р-н, Сумська обл., 42355","1182","560","1174","91","558","64","622","","0","558","64","622","23","599","4","269","28","35","144","11","1","13","4","54","36","29.10.12"
"590611","158","Сумська область","школа, к.2
вул.Сумська, 127, с.Нижня Сироватка, Сумський р-н, Сумська обл., 42356","1932","1021","1915","98","823","88","911","","0","823","88","911","28","883","8","338","17","28","260","8","2","12","6","82","122","29.10.12"
"590612","158","Сумська область","сільський клуб, к.2
вул.Леніна, 25, с.Нижня Сироватка, Сумський р-н, Сумська обл., 42356","996","478","983","45","483","35","518","","0","483","35","518","9","509","2","244","12","54","110","5","4","3","6","22","47","28.10.12"
"590613","158","Сумська область","школа, к.2
вул.Шкільна, 5, с.Новосуханівка, Сумський р-н, Сумська обл., 42341","630","258","617","36","339","33","372","","0","339","33","372","7","365","1","225","10","11","82","2","0","1","4","11","18","29.10.12"
"590614","158","Сумська область","сільська рада, к.2
вул.Леніна, 28, с.Олексіївка, Сумський р-н, Сумська обл., 42316","618","345","613","65","223","50","273","","0","223","50","273","7","266","2","89","3","61","60","4","0","4","0","13","30","29.10.12"
"590615","158","Сумська область","будинок культури, к.2
пл.Леніна, 5, с.Підліснівка, Сумський р-н, Сумська обл., 42340","1050","508","1036","104","440","102","542","","0","440","102","542","15","527","5","253","32","45","130","5","0","12","2","21","22","29.10.12"
"590616","158","Сумська область","будинок культури, к.2
будинок культури, с.Постольне, Сумський р-н, Сумська обл., 42324","390","124","385","27","242","24","266","","0","242","24","266","3","263","2","111","12","6","77","5","0","9","2","22","17","29.10.12"
"590617","158","Сумська область","школа, к.2
вул.Шкільна, 32, с.Лікарське, Сумський р-н, Сумська обл., 42326","432","169","425","54","212","51","263","","0","212","51","263","0","263","2","117","5","8","93","4","0","4","0","17","13","29.10.12"
"590618","158","Сумська область","будинок культури, к.2
вул.Паркова, 1, с-ще Сад, Сумський р-н, Сумська обл., 42343","2334","933","2296","73","1341","60","1401","","0","1341","60","1401","35","1366","26","620","26","41","252","28","10","22","32","203","106","29.10.12"
"590619","158","Сумська область","об’єкт дозвіллєвої роботи, к.2
вул.Молодіжна, 1Б, с.Ясени, Сумський р-н, Сумська обл., 42343","498","224","499","16","260","14","274","","0","260","14","274","6","268","5","126","7","9","87","2","1","4","3","13","11","29.10.12"
