"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Деркач
Андрій
Леонідович","Доля
Олексій
Васильович","Кравченко
Світлана
Анатоліївна","Кубраков
Сергій
Володимирович","Любивий
Володимир
Анатолійович","Московченко
Віктор
Васильович","Петрук
Ольга
Андріївна","Семеніхін
Артем
Юрійович","Шульга
Микола
Іванович","Дата підписання протоколу"
"590276","159","Сумська область","будинок культури, актова зала
вул.Центральна, 80Ж, с.Бистрик, Кролевецький р-н, Сумська обл., 41330","774","358","761","39","380","36","416","","0","380","36","416","16","400","225","3","9","8","8","30","2","110","5","29.10.12"
"590277","159","Сумська область","будинок культури, актова зала
вул.Шкільна, 32, с.Білогриве, Кролевецький р-н, Сумська обл., 41323","378","137","371","59","186","55","241","","0","186","55","241","7","234","150","7","4","5","15","19","3","29","2","29.10.12"
"590278","159","Сумська область","сільська рада, бухгалтерія
вул.Центральна, 9, с.Буйвалове, Кролевецький р-н, Сумська обл., 41353","402","60","391","31","311","31","342","","0","311","31","342","18","324","225","8","7","6","8","13","5","52","0","29.10.12"
"590280","159","Сумська область","школа, фойє
вул.Шкільна, 33, с.Грузьке, Кролевецький р-н, Сумська обл., 41324","618","255","604","45","322","41","363","","0","322","41","363","10","353","157","12","14","9","25","43","5","77","11","29.10.12"
"590282","159","Сумська область","сільська рада, актова зала
вул.Жовтнева, 11, с.Дубовичі, Кролевецький р-н, Сумська обл., 41321","816","307","799","97","423","86","509","","0","423","86","509","13","496","239","13","16","9","12","33","8","161","5","29.10.12"
"590283","159","Сумська область","навчально-виховний комплекс, спортивна зала
вул.Заозерна, 60, с.Зазірки, Кролевецький р-н, Сумська обл., 41332","396","199","384","30","174","23","197","","0","174","23","197","15","182","104","3","5","5","3","18","1","38","5","29.10.12"
"590284","159","Сумська область","будинок культури, мала зала
вул.Шевченка, 7, с.Камінь, Кролевецький р-н, Сумська обл., 41350","582","259","568","50","281","42","323","","0","281","42","323","16","307","165","10","8","2","14","19","4","73","12","29.10.12"
"590287","159","Сумська область","сільська рада, фойє
вул.Центральна, 59А, с.Литвиновичи, Кролевецький р-н, Сумська обл., 41334","522","203","508","59","267","52","319","","0","267","52","319","11","308","163","8","12","6","10","47","6","44","12","29.10.12"
"590288","159","Сумська область","сільська рада, актова зала
вул.Центральна, 9, с.Локня, Кролевецький р-н, Сумська обл., 41336","366","137","359","18","215","14","229","","0","215","14","229","11","218","147","5","6","7","7","18","2","20","6","29.10.12"
"590291","159","Сумська область","сільська рада, актова зала
вул.Центральна, 41, с.Мутин, Кролевецький р-н, Сумська обл., 41351","960","402","949","58","507","51","558","","0","507","51","558","30","528","320","4","6","17","11","35","5","125","5","29.10.12"
"590295","159","Сумська область","будинок культури, фойє
вул.Леніна, 55, с.Тулиголове, Кролевецький р-н, Сумська обл., 41320","966","427","952","57","482","57","539","","0","482","57","539","15","524","339","7","14","10","12","40","6","89","7","29.10.12"
"590296","159","Сумська область","навчально виховний комплекс, фойє
вул.Кооперативна, 13, с.Червоний Ранок, Кролевецький р-н, Сумська обл., 41352","558","223","544","83","259","76","335","","0","259","76","335","7","328","162","5","8","9","27","46","4","62","5","29.10.12"
"590297","159","Сумська область","сільська рада, бухгалтерія
вул.Селянівка, 14, с.Ярове, Кролевецький р-н, Сумська обл., 41337","276","85","268","32","160","31","191","","0","160","31","191","4","187","96","0","7","5","1","10","0","66","2","29.10.12"
"590298","159","Сумська область","школа, фойє
вул.Перемоги, 16, с.Ярославець, Кролевецький р-н, Сумська обл., 41331","684","295","670","54","342","47","389","","0","342","47","389","25","364","213","10","11","8","13","39","8","51","11","29.10.12"
"590299","159","Сумська область","ЦРЛ, актова зала
бульв.Шевченка, 57, м.Кролевець, Кролевецький р-н, Сумська обл., 41300","252","162","132","23","67","23","90","","0","67","23","90","2","88","61","2","1","2","3","3","1","13","2","29.10.12"
"590432","159","Сумська область","спортивний комплекс, фойє, 1-й поверх
вул.Кірова, 2, м.Путивль, Путивльський р-н, Сумська обл., 41500","1926","976","1871","12","938","12","950","","0","938","12","950","36","914","536","11","14","9","0","107","6","100","131","29.10.12"
"590433","159","Сумська область","коледж СНАУ, їдальня, 1-й поверх
вул.Луначарського, 80, м.Путивль, Путивльський р-н, Сумська обл., 41500","2106","1046","2098","41","1024","36","1060","","0","1024","36","1060","27","1033","668","7","22","17","4","98","5","105","107","29.10.12"
"590434","159","Сумська область","педагогічний коледж, фойє, 1-й поверх
вул.Луначарського, 79, м.Путивль, Путивльський р-н, Сумська обл., 41500","2028","1032","1991","6","993","3","996","","0","993","3","996","38","958","640","6","14","15","6","88","4","87","98","29.10.12"
"590435","159","Сумська область","школа №1, фойє, 1-й поверх
вул.Першотравнева, 76, м.Путивль, Путивльський р-н, Сумська обл., 41500","2214","1138","2160","38","1041","35","1076","","0","1041","35","1076","11","1065","696","8","21","14","1","110","3","111","101","29.10.12"
"590436","159","Сумська область","центр позашкільної роботи, фойє, 1-й поверх
вул.Кірова, 77, м.Путивль, Путивльський р-н, Сумська обл., 41500","2160","1143","2117","53","968","49","1017","","0","968","49","1017","31","986","617","10","13","19","9","90","6","108","114","29.10.12"
"590437","159","Сумська область","школа №2, фойє, 1-й поверх
вул.Кірова, 79, м.Путивль, Путивльський р-н, Сумська обл., 41500","2148","1246","2119","22","882","20","902","","0","882","20","902","43","859","568","11","3","17","2","88","8","80","82","29.10.12"
"590438","159","Сумська область","сільський будинок культури, хол
вул.Сумська, 7А, с.Бобине, Путивльський р-н, Сумська обл., 41506","414","170","405","30","224","20","244","","0","224","20","244","5","239","169","1","4","6","3","12","1","19","24","29.10.12"
"590439","159","Сумська область","школа, актова зала
вул.Колгоспна, 18, с.Бояро-Лежачі, Путивльський р-н, Сумська обл., 41552","372","135","368","36","204","33","237","","0","204","33","237","4","233","167","2","7","4","3","26","0","2","22","29.10.12"
"590440","159","Сумська область","сільська рада, фойє
вул.Мірошнікова, 1, с.Бунякине, Путивльський р-н, Сумська обл., 41533","474","205","466","41","230","39","269","","0","230","39","269","8","261","172","5","13","3","1","16","3","18","30","29.10.12"
"590441","159","Сумська область","школа, фойє
вул.Шкільна, 1, с.Веселе, Путивльський р-н, Сумська обл., 41520","384","111","375","47","229","44","273","","0","229","44","273","2","271","218","9","7","0","3","22","2","1","9","29.10.12"
"590442","159","Сумська область","навчально-виховний комплекс, к.1
вул.Молодіжна, 20, с.Волокитине, Путивльський р-н, Сумська обл., 41510","396","187","393","36","176","33","209","","0","176","33","209","4","205","124","6","8","1","1","19","3","33","10","29.10.12"
"590443","159","Сумська область","школа, спортивна зала
вул.Леніна, 1, с.Кочерги, Путивльський р-н, Сумська обл., 41511","222","68","215","40","117","37","154","","0","117","37","154","6","148","114","1","3","0","1","2","1","18","8","29.10.12"
"590444","159","Сумська область","навчально-виховний комплекс, класна кімната
вул.Радянська, 3, с.В’язенка, Путивльський р-н, Сумська обл., 41512","324","133","312","23","172","19","191","","0","172","19","191","2","189","132","0","2","8","1","24","0","15","7","28.10.12"
"590445","159","Сумська область","фельдшерський пункт, кабінет прийому громадян
вул.Загородня, 6, с.Ховзівка, Путивльський р-н, Сумська обл., 41512","120","43","117","22","58","19","77","","0","58","19","77","1","76","64","0","2","0","0","3","0","4","3","28.10.12"
"590446","159","Сумська область","навчально-виховний комплекс, кабінет літератури
вул.Радянська, 12, с.Зінове, Путивльський р-н, Сумська обл., 41545","510","230","506","32","256","24","280","","0","256","24","280","6","274","182","2","7","4","3","18","4","16","38","29.10.12"
"590447","159","Сумська область","навчально-виховний комплекс, фойє, 1-й поверх
вул.Жовтнева, 25, с.Князівка, Путивльський р-н, Сумська обл., 41543","390","148","387","31","212","30","242","","0","212","30","242","11","231","162","2","4","3","1","9","3","16","31","29.10.12"
"590448","159","Сумська область","сільський клуб, актова зала
вул.Висоцького, 17, с.Ширяєве, Путивльський р-н, Сумська обл., 41544","156","47","157","32","81","28","109","","0","81","28","109","3","106","73","1","2","1","2","19","0","1","7","29.10.12"
"590449","159","Сумська область","школа, фойє
вул.Шкільна, 3, с.Козаче, Путивльський р-н, Сумська обл., 41522","192","73","186","14","107","12","119","","0","107","12","119","2","117","96","0","3","1","0","10","0","2","5","29.10.12"
"590450","159","Сумська область","школа, фойє
вул.Гусєва, 3, с.Линове, Путивльський р-н, Сумська обл., 41531","432","148","421","42","247","37","284","","0","247","37","284","8","276","243","2","2","3","0","13","1","6","6","29.10.12"
"590451","159","Сумська область","навчально-виховний комплекс, фойє
вул.Леніна, 15, с.Мазівка, Путивльський р-н, Сумська обл., 41532","618","260","610","39","321","37","358","","0","321","37","358","15","343","257","3","8","6","1","13","2","29","24","28.10.12"
"590452","159","Сумська область","навчально-виховний комплекс, коридор
вул.Радянська, 10, с.Манухівка, Путивльський р-н, Сумська обл., 41553","300","110","291","25","166","24","190","","0","166","24","190","13","177","130","6","2","0","1","17","2","5","14","29.10.12"
"590453","159","Сумська область","сільська рада, загальна кімната
вул.Леніна, 30, с.Мачулища, Путивльський р-н, Сумська обл., 41525","192","60","192","8","125","7","132","","0","125","7","132","3","129","97","1","1","1","0","7","0","11","11","29.10.12"
"590454","159","Сумська область","сільський будинок культури, актова зала
вул.Леніна, 74, с.Нова Слобода, Путивльський р-н, Сумська обл., 41530","1020","427","1004","23","570","23","593","","0","570","23","593","27","566","445","2","8","2","0","63","2","17","27","29.10.12"
"590455","159","Сумська область","навчально-виховний комплекс, спортивна зала
вул.Пролетарська, 108, с.Октябрське, Путивльський р-н, Сумська обл., 41540","372","109","368","26","238","25","263","","0","238","25","263","1","262","220","6","5","1","1","17","0","7","5","29.10.12"
"590456","159","Сумська область","навчально-виховний комплекс, кабінет початкових класів
вул.Леніна, 66, с.Скуносове, Путивльський р-н, Сумська обл., 41541","252","96","252","14","142","14","156","","0","142","14","156","5","151","109","4","5","2","2","8","1","15","5","29.10.12"
"590457","159","Сумська область","сільський клуб, фойє
вул.Молодіжна, 2, с.Рев’якине, Путивльський р-н, Сумська обл., 41521","282","83","276","32","170","29","199","","0","170","29","199","8","191","154","3","3","6","1","10","0","0","14","29.10.12"
"590458","159","Сумська область","сільський будинок культури, глядацька зала
вул.ком.Руднєва, 37, с.Руднєве, Путивльський р-н, Сумська обл., 41526","558","179","550","35","344","35","379","","0","344","35","379","11","368","268","3","5","3","3","43","3","11","29","28.10.12"
"590459","159","Сумська область","центр дозвілля, актова зала
вул.Центральна, 20, с.Сафонівка, Путивльський р-н, Сумська обл., 41507","312","122","307","34","161","29","190","","0","161","29","190","8","182","119","3","1","2","0","15","0","24","18","28.10.12"
"590460","159","Сумська область","центр дозвілля, актова зала
вул.Зелена, 3, с.Пруди, Путивльський р-н, Сумська обл., 41501","264","92","258","22","151","21","172","","0","151","21","172","10","162","112","4","3","7","0","16","0","18","2","28.10.12"
"590461","159","Сумська область","навчально-виховний комплекс, фойє
вул.Радянська, 50, с.Стрільники, Путивльський р-н, Сумська обл., 41513","240","93","230","29","123","24","147","","0","123","24","147","1","146","102","3","0","0","1","26","0","5","9","29.10.12"
"590462","159","Сумська область","фельдшерський пункт, кабінет фельдшера
вул.Пролетарська, 31, с.Ротівка, Путивльський р-н, Сумська обл., 41513","126","55","123","10","63","8","71","","0","63","8","71","2","69","42","1","2","1","1","16","0","3","3","29.10.12"
"590463","159","Сумська область","фельдшерський пункт, кабінет фельдшера
вул.Присеймівська, 29А, с.Чаплищі, Путивльський р-н, Сумська обл., 41546","144","51","142","13","81","12","93","","0","81","12","93","0","93","52","3","4","2","2","7","0","6","17","29.10.12"
"590464","159","Сумська область","центр дозвілля, актова зала
вул.Молодіжна, 1, с.Червоне Озеро, Путивльський р-н, Сумська обл., 41546","168","66","158","11","91","11","102","","0","91","11","102","10","92","67","1","4","1","2","6","1","0","10","29.10.12"
"590465","159","Сумська область","сільська рада, зала засідань
вул.Миру, 18А, с.Чорнобривкине, Путивльський р-н, Сумська обл., 41508","264","118","261","15","134","12","146","","0","134","12","146","7","139","115","1","3","1","2","4","0","6","7","29.10.12"
"590466","159","Сумська область","фельдшерський пункт, кабінет фельдшера
вул.Партизанська, 29, с.Суворове, Путивльський р-н, Сумська обл., 41508","156","82","148","14","62","12","74","","0","62","12","74","3","71","53","3","1","1","1","4","0","7","1","29.10.12"
"590467","159","Сумська область","навчально-виховний комплекс, навчальний клас
вул.Колгоспна, 1А, с.Юр’єве, Путивльський р-н, Сумська обл., 41502","348","108","343","26","216","24","240","","0","216","24","240","13","227","170","2","4","4","0","36","0","3","8","29.10.12"
"590468","159","Сумська область","навчально-виховний комплекс, актова зала
вул.Першотравнева, 8, с.Волинцеве, Путивльський р-н, Сумська обл., 41502","162","55","159","11","98","9","107","","0","98","9","107","1","106","63","0","4","1","1","31","0","2","4","29.10.12"
"590469","159","Сумська область","сільська рада, фойє
вул.Радянська, 26, с.Яцине, Путивльський р-н, Сумська обл., 41514","348","150","333","41","159","39","198","","0","159","39","198","2","196","154","2","7","0","1","12","2","12","6","29.10.12"
"590470","159","Сумська область","Центральна районна лікарня, актова зала, 1-й поверх
вул.Куйбишева, 1, м.Путивль, Путивльський р-н, Сумська обл., 41500","156","91","70","29","38","27","65","","0","38","27","65","0","65","49","1","1","0","0","4","0","6","4","29.10.12"
"590544","159","Сумська область","районний будинок культури, фойє
вул.Вокзальна, 4, м.Середина-Буда, Середино-Будський р-н, Сумська обл., 41000","1470","794","1439","42","642","34","676","","0","642","34","676","19","657","473","5","54","10","3","70","3","34","5","29.10.12"
"590545","159","Сумська область","школа №1, актова зала, 2-й поверх
вул.Комуністична, 1, м.Середина-Буда, Середино-Будський р-н, Сумська обл., 41000","1230","605","1201","33","592","33","625","","0","592","33","625","22","603","415","8","14","62","3","68","4","25","4","29.10.12"
"590546","159","Сумська область","будинок дітей та юнацтва, актова зала
вул.Север’янівська, 5, м.Середина-Буда, Середино-Будський р-н, Сумська обл., 41000","828","445","814","20","363","20","383","","0","363","20","383","12","371","235","2","10","39","2","56","2","24","1","29.10.12"
"590547","159","Сумська область","школа №2, актова зала, 2-й поверх
вул.Ярмаркова, 22, м.Середина-Буда, Середино-Будський р-н, Сумська обл., 41000","858","436","828","19","403","19","422","","0","403","19","422","14","408","267","8","11","70","2","22","2","25","1","29.10.12"
"590548","159","Сумська область","дитяча юнацька спортивна школа, спортивна зала
вул.Дачна, 38, м.Середина-Буда, Середино-Будський р-н, Сумська обл., 41000","732","343","709","13","378","11","389","","0","378","11","389","13","376","259","4","41","9","2","43","1","16","1","28.10.12"
"590549","159","Сумська область","ВАТ ""СЗМО"", адмінбудівля, мала зала для засідань, 1-й поверх
вул.Індустріальна, 4, м.Середина-Буда, Середино-Будський р-н, Сумська обл., 41000","852","424","848","19","409","19","428","","0","409","19","428","17","411","283","4","8","50","0","42","4","16","4","29.10.12"
"590550","159","Сумська область","магазин ПП ""В.В.Агафонкін"", торгівельна зала
магазин ПП ""В.В.Агафонкін"", с-ще Красний Прогрес, Середино-Будський р-н, Сумська обл., 41000","210","77","205","30","104","29","133","","0","104","29","133","6","127","86","0","3","3","1","17","1","15","1","28.10.12"
"590551","159","Сумська область","фельдшерський пункт, каб.1
фельдшерський пункт, с.Ситне, Середино-Будський р-н, Сумська обл., 41000","132","53","125","12","71","8","79","","0","71","8","79","1","78","58","0","2","4","0","5","0","9","0","29.10.12"
"590552","159","Сумська область","навчально-виховний комплекс, коридор
навчально-виховний комплекс, с.Рожковичі, Середино-Будський р-н, Сумська обл., 41054","234","95","230","21","122","17","139","","0","122","17","139","2","137","116","4","2","5","2","5","2","0","1","29.10.12"
"590553","159","Сумська область","контора колишнього СТОВ ім.Калініна, каб.1
контора колишнього СТОВ ім.Калініна, с.Порохонь, Середино-Будський р-н, Сумська обл., 41054","180","49","171","16","116","15","131","","0","116","15","131","2","129","111","2","0","6","1","6","0","2","1","29.10.12"
"590554","159","Сумська область","навчально-виховний комплекс, вестибюль
вул.Чапаєва, 1, с.Кам’янка, Середино-Будський р-н, Сумська обл., 41053","258","76","251","29","157","25","182","","0","157","25","182","5","177","141","3","3","8","0","8","0","13","1","28.10.12"
"590555","159","Сумська область","сільська рада, кабінет бухгалтера
вул.Радянська, 14, с.Ромашкове, Середино-Будський р-н, Сумська обл., 41051","216","60","216","41","115","41","156","","0","115","41","156","6","150","129","2","2","2","0","6","2","7","0","29.10.12"
"590556","159","Сумська область","навчально-виховний комплекс, коридор
вул.Ленінська, 24, с.Чернацьке, Середино-Будський р-н, Сумська обл., 41050","492","174","481","36","282","36","318","","0","282","36","318","3","315","217","9","4","38","1","28","3","14","1","29.10.12"
"590557","159","Сумська область","сільський клуб, глядацька зала
вул.Пролетарська, 31, с.Пигарівка, Середино-Буський р-н, Сумська обл., 41052","336","107","324","31","198","31","229","","0","198","31","229","3","226","206","1","2","2","0","11","0","4","0","28.10.12"
"590558","159","Сумська область","сільська рада, зал засідань
вул.Миру, 58, с.Велика Берізка, Середино-Будський р-н, Сумська обл., 41032","144","50","133","17","80","14","94","","0","80","14","94","4","90","69","1","2","8","1","8","1","0","0","29.10.12"
"590559","159","Сумська область","об’єкт дозвілевої роботи, ігрова кімната
вул.Лугова, 2, с.Лукашенкове, Середино-Будський р-н, Сумська обл., 41052","72","17","69","11","44","11","55","","0","44","11","55","2","53","47","0","0","0","0","3","1","2","0","28.10.12"
"590560","159","Сумська область","об’єкт дозвілевої роботи, кімната фельдшерського пункту
об’єкт дозвілевої роботи, с.Красичка, Середино-Будський р-н, Сумська обл., 41034","108","41","103","16","54","13","67","","0","54","13","67","3","64","53","1","2","3","0","4","0","1","0","29.10.12"
"590561","159","Сумська область","сільська рада, зал засідань
сільська рада, с.Жихове, Середино-Будський р-н, Сумська обл., 41034","480","175","469","37","269","36","305","","0","269","36","305","9","296","238","9","8","18","0","10","4","8","1","28.10.12"
"590562","159","Сумська область","їдальня колишнього навчально-виховного комплексу, кімната для прийому їжі
їдальня колишнього навчально-виховного комплексу, с.Рудня, Середино-Будський р-н, Сумська обл., 41036","174","68","172","15","91","15","106","","0","91","15","106","4","102","68","0","3","8","1","5","3","11","3","28.10.12"
"590563","159","Сумська область","будинок культури, танцювальна зала
вул.Центральна, 15, с.Уралове, Середино-Будський р-н, Сумська обл., 41044","360","105","350","30","229","26","255","","0","229","26","255","12","243","192","4","6","10","6","3","19","2","1","28.10.12"
"590564","159","Сумська область","сільський клуб, глядацька зала
сільський клуб, с.Хильчичі, Середино-Будський р-н, Сумська обл., 41042","186","52","178","15","120","14","134","","0","120","14","134","9","125","89","3","1","8","4","6","1","10","3","28.10.12"
"590565","159","Сумська область","будинок культури, глядацька зала
будинок культури, с.Кривоносівка, Середино-Будський р-н, Сумська обл., 41042","234","72","228","38","125","37","162","","0","125","37","162","10","152","92","9","11","7","2","20","3","4","4","28.10.12"
"590566","159","Сумська область","об’єкт дозвілевої роботи, глядацька зала
об’єкт дозвілевої роботи, с.Боровичі, Середино-Будський р-н, Сумська обл., 41042","60","14","58","7","40","6","46","","0","40","6","46","3","43","33","1","1","1","0","6","1","0","0","29.10.12"
"590567","159","Сумська область","навчально-виховний комплекс, кабінет іноземної мови
вул.Шевченко, 1А, с.Журавка, Середино-Будський р-н, Сумська обл., 41041","210","56","202","20","134","20","154","","0","134","20","154","5","149","120","4","5","4","0","7","3","5","1","29.10.12"
"590568","159","Сумська область","навчально-виховний комплекс, кабінет математики
вул.Підгорна, 1А, с.Очкине, Середино-Будський р-н, Сумська обл., 41040","324","96","317","43","188","40","228","","0","188","40","228","9","219","167","6","5","13","1","18","0","8","1","28.10.12"
"590569","159","Сумська область","навчально-виховний комплекс, коридор
вул.Центральна, 45, с.Кренидівка, Середино-Будський р-н, Сумська обл., 41024","240","85","235","14","143","12","155","","0","143","12","155","5","150","123","4","2","5","1","5","1","9","0","29.10.12"
"590570","159","Сумська область","будинок культури, фойє
вул.Планова, 22, с.Мефедівка, Середино-Будський р-н, Сумська обл., 41025","270","94","263","18","161","15","176","","0","161","15","176","10","166","127","4","3","21","0","5","3","0","3","29.10.12"
"590571","159","Сумська область","сільська рада, зал засідань
сільська рада, с.Нововасилівка, Середино-Будський р-н, Сумська обл., 41020","216","81","212","10","126","9","135","","0","126","9","135","5","130","103","2","2","6","0","4","0","11","2","29.10.12"
"590572","159","Сумська область","навчально-виховний комплекс, кабінет зарубіжної літератури
навчально-виховний комплекс, вул.Шкільна, с.Зноб-Трубчевська, Середино-Будський р-н, Сумська обл., 41021","360","129","353","29","205","26","231","","0","205","26","231","2","229","185","3","2","17","0","17","2","3","0","28.10.12"
