"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Андрусенко
Микола
Андрійович","Ващенко
Олександр
Григорович","Коломієць
Віталій
Миколайович","Моісеєнко
Віталій
Володимирович","Непочатов
Олександр
Миколайович","Позняк
Віталій
Степанович","Саєнко
Олександр
Іванович","Солдатенко
Надія
Олексіївна","Хоменко
Альберт
Анатолійович","Храпатий
Віктор
Федорович","Шульга
Володимир
Петрович","Ющенко
Петро
Андрійович","Дата підписання протоколу"
"590080","161","Сумська область","навчально-виховний комплекс, спортивна зала
вул.Центральна, 59, с.Олександрівка, Буринський р-н, Сумська обл., 41713","324","87","323","27","211","26","237","","0","211","26","237","6","231","2","4","12","2","11","16","77","2","0","1","86","18","29.10.12"
"590081","161","Сумська область","школа, фойє
вул.Радянська, 5, с.Піски, Буринський р-н, Сумська обл., 41720","738","336","723","47","362","40","402","","0","362","40","402","11","391","2","6","1","6","30","24","78","4","1","1","218","20","29.10.12"
"590082","161","Сумська область","навчально-виховний комплекс, актова зала
вул.Солдатенка, 4, с.Слобода, Буринський р-н, Сумська обл., 41715","1044","464","1054","80","524","56","580","","0","524","56","580","23","557","10","7","15","13","44","31","88","15","4","3","295","32","29.10.12"
"590083","161","Сумська область","школа, актова зала
вул.Заводська, 6, с.Слобода, Буринський р-н, Сумська обл., 41715","888","394","891","44","450","44","494","","0","450","44","494","20","474","6","8","7","5","19","30","76","5","4","3","265","46","29.10.12"
"590084","161","Сумська область","навчально-виховний комплекс, фойє
вул.Калініна, 5, с.Сніжки, Буринський р-н, Сумська обл., 41760","420","93","415","52","281","46","327","","0","281","46","327","15","312","2","13","6","2","11","14","129","2","1","2","105","25","29.10.12"
"590085","161","Сумська область","сільська рада, актова зала
вул.Леніна, 4, с.Степанівка, Буринський р-н, Сумська обл., 41717","576","174","556","40","363","39","402","","0","363","39","402","12","390","4","6","13","3","54","36","64","3","3","4","174","26","29.10.12"
"590086","161","Сумська область","школа, коридор
вул.Чкалова, 15, с.Суховерхівка, Буринський р-н, Сумська обл., 41752","510","112","503","11","388","10","398","","0","388","10","398","5","393","3","7","7","5","15","58","111","2","1","0","151","33","28.10.12"
"590087","161","Сумська область","будинок культури, фойє
вул.Центральна, 36, с.Успенка, Буринський р-н, Сумська обл., 41732","1302","545","1287","110","659","98","757","","0","659","98","757","32","725","6","20","8","8","27","32","236","9","9","5","290","75","29.10.12"
"590088","161","Сумська область","навчально-виховний комплекс, фойє
вул.Леніна, 6, с.Хустянка, Буринський р-н, Сумська обл., 41746","468","155","460","44","273","40","313","","0","273","40","313","10","303","5","4","3","7","9","13","75","10","2","3","138","34","29.10.12"
"590089","161","Сумська область","центр дозвіллєвої роботи, танцювальна зала
вул.Шкільна, 6, с.Харченки, Буринський р-н, Сумська обл., 41746","126","27","121","22","79","20","99","","0","79","20","99","2","97","0","0","0","0","2","3","24","4","0","0","39","25","29.10.12"
"590090","161","Сумська область","фельдшерський пункт, к.2
вул.Комсомольська, 2А, с.Ярове, Буринський р-н, Сумська обл., 41746","114","27","113","27","61","26","87","","0","61","26","87","1","86","3","1","2","0","9","4","24","0","0","0","12","31","29.10.12"
"590091","161","Сумська область","школа, зала їдальні
вул.Радянська, 10, с.Червона Слобода, Буринський р-н, Сумська обл., 41709","1248","728","1221","52","481","39","520","","0","481","39","520","18","502","5","12","25","11","55","23","130","3","10","2","203","23","29.10.12"
"590092","161","Сумська область","будинок культури, глядацька зала
вул.Жовтнева, 40, с.Дич, Буринський р-н, Сумська обл., 41709","192","86","184","10","97","9","106","","0","97","9","106","4","102","2","4","7","1","22","6","25","2","1","3","22","7","29.10.12"
"590093","161","Сумська область","школа, коридор
вул.Московська, 7, с.Черепівка, Буринський р-н, Сумська обл., 41753","552","230","545","18","304","18","322","","0","304","18","322","9","313","0","2","8","2","10","16","62","1","0","4","173","35","29.10.12"
"590094","161","Сумська область","навчально-виховний комплекс, коридор
вул.Перемоги, 16, с.Чернеча Слобода, Буринський р-н, Сумська обл., 41740","1194","412","1178","126","680","102","782","","0","680","102","782","34","748","28","16","11","2","28","26","213","7","2","2","360","53","29.10.12"
"590095","161","Сумська область","центральна районна лікарня, к.2 поліклінічного відділення
вул.Кутузова, 15, м.Буринь, Буринський р-н, Сумська обл., 41700","144","110","42","11","23","11","34","","0","23","11","34","0","34","0","0","1","0","4","2","8","0","0","0","15","4","29.10.12"
"590172","161","Сумська область","школа, роздягальня
вул.Леніна, 3, смт Дубов’язівка, Конотопський р-н, Сумська обл., 41655","1200","560","1195","76","574","66","640","","0","574","66","640","35","605","7","19","9","8","25","39","125","7","6","1","319","40","29.10.12"
"590173","161","Сумська область","селищний будинок культури, к.2
вул.Петра Лусти, 38, смт Дубов’язівка, Конотопський р-н, Сумська обл., 41655","888","347","866","45","498","43","541","","0","498","43","541","39","502","7","27","14","5","12","36","113","3","2","3","250","30","29.10.12"
"590174","161","Сумська область","навчально-виховний комплекс, фойє
вул.Комуністична, 62, с.Сім’янівка, Конотопський р-н, Сумська обл., 41656","666","275","655","63","337","54","391","","0","337","54","391","30","361","3","13","16","12","10","29","90","8","4","3","145","28","29.10.12"
"590175","161","Сумська область","СТОВ ""Ранок"", ідальня
вул.Депутатська, 1а, с.Гамаліївка, Конотопський р-н, Сумська обл., 41655","306","148","306","34","126","32","158","","0","126","32","158","5","153","5","6","5","5","4","3","62","2","1","0","48","12","29.10.12"
"590178","161","Сумська область","сільський будинок культури, диско-зала
вул.Дептівська, 1, с.Великий Самбір, Конотопський р-н, Сумська обл., 41664","858","447","839","35","383","28","411","","0","383","28","411","37","374","9","24","10","2","8","23","70","11","3","2","176","36","30.10.12"
"590184","161","Сумська область","навчально-виховний комплекс, спортивна зала
вул.Базарна, 33, с.Дептівка, Конотопський р-н, Сумська обл., 41665","684","234","670","111","344","106","450","","0","344","106","450","24","426","8","5","8","5","5","16","123","15","3","1","157","80","29.10.12"
"590187","161","Сумська область","навчально-виховний комплекс, к.1
вул.Слави, 12, с.Жовтневе, Конотопський р-н, Сумська обл., 41671","504","168","498","41","295","41","336","","0","295","41","336","14","322","2","3","10","2","2","24","83","6","1","0","147","42","29.10.12"
"590189","161","Сумська область","сільський клуб, вестибюль
вул.Свідерського, 8, с.Карабутове, Конотопський р-н, Сумська обл., 41672","378","132","373","61","196","50","246","","0","196","50","246","15","231","6","7","10","1","6","12","45","4","4","1","107","28","29.10.12"
"590193","161","Сумська область","навчально-виховний комплекс, хол
вул.Ворошилова, 14, с.Кошари, Конотопський р-н, Сумська обл., 41666","546","198","539","96","278","70","348","","0","278","70","348","17","331","4","6","8","8","8","8","107","4","12","3","137","26","29.10.12"
"590194","161","Сумська область","контора ТОВ ""Весна-Агро"", зала засідань
вул.Леніна, 198, с.Красне, Конотопський р-н, Сумська обл., 41670","240","93","237","23","126","21","147","","0","126","21","147","4","143","3","3","7","2","4","5","50","3","0","2","48","16","29.10.12"
"590195","161","Сумська область","навчально-виховний комплекс, к.2
вул.Широка, 2, с.Лебедєве, Конотопський р-н, Сумська обл., 41670","234","47","226","22","167","20","187","","0","167","20","187","6","181","5","5","2","4","3","9","62","3","2","0","59","27","29.10.12"
"590199","161","Сумська область","навчально-виховний комплекс, фойє
вул.12 Комісарів, 1, с.Малий Самбір, Конотопський р-н, Сумська обл., 41663","438","163","428","51","232","43","275","","0","232","43","275","28","247","5","9","3","4","6","18","85","10","2","0","66","39","29.10.12"
"590201","161","Сумська область","навчально-виховний комплекс, фойє
вул.Садова, 2, с.Михайло-Ганнівка, Контопський р-н, Сумська обл., 41676","204","83","200","32","94","27","121","","0","94","27","121","4","117","3","1","1","3","3","5","49","2","1","2","34","13","29.10.12"
"590202","161","Сумська область","навчально-виховний комплекс, к.6
вул.Жовтнева, 2, с.Пекарі, Конотопський р-н, Сумська обл., 41675","420","152","412","28","242","26","268","","0","242","26","268","22","246","2","3","7","3","4","20","105","3","0","2","80","17","29.10.12"
"590203","161","Сумська область","школа, роздягальня
вул.Братів Ковтун, 3, с.Попівка, Конотопський р-н, Сумська обл., 41627","1008","541","1029","31","444","23","467","","0","444","23","467","37","430","5","13","11","7","20","30","87","16","3","2","199","37","29.10.12"
"590204","161","Сумська область","навчально-виховний комплекс, хол
вул.Гуденка, 2а, с.Попівка, Конотопський р-н, Сумська обл., 41627","900","468","924","9","424","8","432","","0","424","8","432","33","399","6","11","20","6","13","32","67","15","6","3","168","52","29.10.12"
"590205","161","Сумська область","районний будинок культури, диско-зала
вул.Заводська, 21, с.Попівка, Конотопський р-н, Сумська обл., 41627","1146","656","1116","23","471","19","490","","0","471","19","490","45","445","4","10","13","4","10","17","113","11","2","8","220","33","29.10.12"
"590206","161","Сумська область","навчально-виховний комплекс, хол
вул.Молодіжна, 5, с.Тулушка, Конотопський р-н, Сумська обл., 41628","360","158","355","13","189","13","202","","0","189","13","202","15","187","3","7","7","2","7","22","41","6","5","0","72","15","29.10.12"
"590209","161","Сумська область","навчально-виховний комплекс, к.1
вул.Петровського, 4, с.Салтикове, Конотопський р-н, Сумський обл., 41654","642","255","631","63","336","51","387","","0","336","51","387","13","374","3","7","7","3","6","14","136","7","1","3","116","71","29.10.12"
"590211","161","Сумська область","навчально-виховний комплекс, актова зала
вул.Шкільна, 1, с.Соснівка, Конотопський р-н, Сумська обл., 41662","900","480","893","70","359","61","420","","0","359","61","420","21","399","7","9","34","3","7","18","95","17","2","0","140","67","29.10.12"
"590212","161","Сумська область","сільська рада, к.1
вул.Леніна, 3, с.Тернівка, Конотопський р-н, Сумська обл., 41657","438","141","427","54","249","48","297","","0","249","48","297","5","292","2","5","5","3","3","22","99","7","1","1","95","49","29.10.12"
"590214","161","Сумська область","навчально-виховний комплекс, хол
вул.Козацької Слави, 24, с.Шаповалівка, Конотопський р-н, Сумська обл., 41660","1176","610","1156","47","525","41","566","","0","525","41","566","43","523","12","25","11","7","9","25","83","13","11","7","217","103","29.10.12"
"590215","161","Сумська область","ПАТ ""Радгосп Шевченківський"", актова зала
вул.Леніна, 1, с.Шевченкове, Конотопський р-н, Сумська обл., 41667","474","196","467","68","218","60","278","","0","218","60","278","10","268","1","9","6","2","6","20","155","6","1","0","31","31","29.10.12"
"590216","161","Сумська область","навчально-виховний комплекс, актова зала
вул.Радянська, 1, с.Шпотівка, Конотопський р-н, Сумська обл., 41673","384","161","373","20","205","18","223","","0","205","18","223","6","217","2","3","5","0","4","8","82","2","3","0","85","23","29.10.12"
"590217","161","Сумська область","об’єкт дозвільної роботи, фойє
вул.Шкільна, 43, с.Крупське, Конотопський р-н, Сумська обл., 41673","198","71","194","27","101","26","127","","0","101","26","127","5","122","1","1","7","6","2","3","36","3","0","0","50","13","29.10.12"
"590218","161","Сумська область","навчально-виховний комплекс, фойє
пл.Бердицького, 5, с.Юрівка, Конотопський р-н, Сумська обл., 41674","588","217","580","49","326","45","371","","0","326","45","371","21","350","4","16","2","3","1","12","122","5","1","2","110","72","29.10.12"
"590329","161","Сумська область","школа, фойє
вул.Миру, 32, с.Байрак, Липоводолинський р-н, Сумська обл., 42501","649","209","633","56","390","50","440","","0","390","50","440","8","432","5","1","5","1","2","5","205","5","1","2","164","36","29.10.12"
"590330","161","Сумська область","школа, спортивна зала
пров.Шкільний, 8, с.Беєве, Липоводолинський р-н, Сумська обл., 42512","569","138","573","52","383","48","431","","0","383","48","431","8","423","1","10","9","1","4","25","190","1","1","0","72","109","28.10.12"
"590331","161","Сумська область","школа, фойє
вул.Сумська, 1/2, с.Берестівка, Липоводолинський р-н, Сумська обл., 42513","630","222","623","61","350","58","408","","0","350","58","408","12","396","1","8","5","1","3","13","128","5","1","1","196","34","29.10.12"
"590332","161","Сумська область","школа, спортивна зала
вул.Московська, 23, с-ще Калінінське, Липоводолинський р-н, Сумська обл., 42501","690","278","678","78","339","73","412","","0","339","73","412","17","395","8","6","5","4","0","16","142","2","1","2","173","36","29.10.12"
"590333","161","Сумська область","будинок культури, фойє
вул.Беївська, 6, с.Капустинці, Липоводолинський р-н, Сумська обл., 42521","660","191","659","99","379","90","469","","0","379","90","469","13","456","2","6","11","4","5","20","108","3","6","0","183","108","29.10.12"
"590334","161","Сумська область","будинок культури, фойє
вул.Шкільна, 1, с.Кимличка, Липоводолинський р-н, Сумська обл., 42501","348","71","339","39","240","37","277","","0","240","37","277","10","267","2","21","3","1","3","7","59","3","1","1","129","37","29.10.12"
"590335","161","Сумська область","школа, фойє
вул.Леніна, 24, с.Колядинець, Липоводолинський р-н, Сумська обл., 42523","564","167","548","94","309","88","397","","0","309","88","397","3","393","2","5","10","6","4","25","189","9","3","0","104","36","29.10.12"
"590336","161","Сумська область","сільський клуб, глядацька зала
вул.Леусенка, 26, с.Великий Ліс, Липоводолинський р-н, Сумська обл., 42523","144","25","138","18","101","18","119","","0","101","18","119","3","116","2","3","6","1","3","4","65","0","0","0","21","11","28.10.12"
"590337","161","Сумська область","управління агропромислового розвитку, зал засідань
вул.Леніна, 17, смт Липова Долина, Липоводолинський р-н, Сумська обл., 42500","1194","528","1175","29","642","24","666","","0","642","24","666","13","653","11","15","16","3","9","19","205","7","2","4","287","75","29.10.12"
"590338","161","Сумська область","школа, фойє
вул.Короленка, 1, смт Липова Долина, Липоводолинський р-н, Сумська обл., 42500","1434","610","1406","42","789","35","824","","0","789","35","824","18","806","8","14","25","2","11","22","250","9","1","2","372","90","29.10.12"
"590339","161","Сумська область","будинок культури, фойє
вул.Роменська, 1, смт Липова Долина, Липоводолинський р-н, Сумська обл., 42500","1620","708","1592","49","865","47","912","","0","865","47","912","25","887","8","11","16","3","10","16","299","12","5","8","414","85","29.10.12"
"590340","161","Сумська область","контора ТОВ ""Аграрник"", зал засідань
1 провулок вул.Полтавської, 1, с.Побиванка, Липоводолинський р-н, Сумська обл., 42508","252","76","245","16","160","16","176","","0","160","16","176","5","171","4","2","3","0","1","7","54","1","0","1","86","12","29.10.12"
"590341","161","Сумська область","будинок культури, фойє
вул.Леніна, 1, с.Лучка, Липоводолинський р-н, Сумська обл., 42547","588","149","586","73","373","66","439","","0","373","66","439","7","432","4","10","25","3","5","22","118","10","7","4","188","36","29.10.12"
"590342","161","Сумська область","школа, спортивна зала
вул.Дериземлі, 14, с.Московське, Липоводолинський р-н, Сумська обл., 42525","834","333","841","81","429","72","501","","0","429","72","501","15","486","4","13","11","2","4","27","125","0","7","0","234","59","29.10.12"
"590343","161","Сумська область","будинок культури, фойє
вул.Надлісся, 3, с.Панасівка, Липоводолинський р-н, Сумська обл., 42516","540","138","540","81","327","75","402","","0","327","75","402","8","394","1","4","27","1","4","17","123","4","1","3","155","54","29.10.12"
"590344","161","Сумська область","сільський клуб, глядацька зала
вул.Шляхова, 2, с.Столярове, Липоводолинський р-н, Сумська обл., 42517","180","40","181","16","127","13","140","","0","127","13","140","0","140","2","2","5","0","2","8","45","2","0","0","58","16","29.10.12"
"590345","161","Сумська область","школа, фойє
вул.Радянська, 16, с.Підставки, Липоводолинський р-н, Сумська обл., 42535","486","172","481","73","253","61","314","","0","253","61","314","7","307","4","6","42","3","1","20","88","2","0","1","122","18","29.10.12"
"590346","161","Сумська область","школа, фойє
вул.Леніна, 7, с.Поділки, Липоводолинський р-н, Сумська обл., 42530","594","144","597","72","380","70","450","","0","380","70","450","10","440","3","9","95","1","0","19","157","0","0","1","112","43","29.10.12"
"590347","161","Сумська область","школа, актова зала
вул.Радянська, 1, с.Русанівка, Липоводолинський р-н, Сумська обл., 42545","762","255","747","89","420","87","507","","0","420","87","507","11","496","11","9","5","3","6","19","156","2","0","1","242","42","29.10.12"
"590348","161","Сумська область","будинок культури, фойє
вул.Шевченка, 16А, с.Саї, Липоводолинський р-н, Сумська обл., 42520","720","185","717","88","452","83","535","","0","452","83","535","9","526","2","10","28","3","3","30","210","2","1","2","173","62","29.10.12"
"590349","161","Сумська область","школа, актова зала
вул.Шкільна, 1, с.Семенівка, Липоводолинський р-н, Сумська обл., 42510","648","175","636","67","407","66","473","","0","407","66","473","15","458","1","4","6","4","0","9","155","6","0","2","187","84","29.10.12"
"590350","161","Сумська область","школа, фойє
вул.Леніна, 7, с.Синівка, Липоводолинський р-н, Сумська обл., 42533","1002","299","996","151","562","141","703","","0","562","141","703","27","676","7","11","36","11","3","53","248","1","6","5","234","61","29.10.12"
"590351","161","Сумська область","школа, фойє
вул.Демченко, 6, с.Яганівка, Липоводолинський р-н, Сумська обл., 42543","372","85","368","81","210","77","287","","0","210","77","287","2","285","3","1","14","2","3","7","126","2","0","0","75","52","29.10.12"
"590352","161","Сумська область","громадський центр, фойє
вул.Кувардіна, 1, с.Яснопільщина, Липоводолинський р-н, Сумська обл., 42541","534","129","526","87","325","80","405","","0","325","80","405","10","395","0","1","10","0","2","8","122","3","0","1","218","30","29.10.12"
"590353","161","Сумська область","центральна районна лікарня, актова зала
вул.Лікарняна, 3, смт Липова Долина, Липоводолинський р-н, Сумська обл., 42500","126","88","40","3","35","3","38","","0","35","3","38","0","38","1","0","1","0","2","2","17","0","0","0","11","4","29.10.12"
"590354","161","Сумська область","школа, фойє
вул.Комінтерну, 25, смт Недригайлів, Недригайлівський р-н, Сумська обл., 42100","1188","415","1169","80","698","75","773","","0","698","75","773","18","755","5","35","8","2","12","18","164","1","2","3","300","205","29.10.12"
"590355","161","Сумська область","будинок культури, фойє
вул.Шевченка, 2, смт Недригайлів, Недригайлівський р-н, Сумська обл., 42100","1296","473","1285","99","729","94","823","","0","729","94","823","14","809","4","67","10","2","14","46","196","6","4","5","309","146","29.10.12"
"590356","161","Сумська область","ВПУ, фойє
вул.Шмідта, 28, смт Недригайлів, Недригайлівський р-н, Сумська обл., 42100","912","346","893","47","522","44","566","","0","522","44","566","9","557","0","26","7","2","6","21","121","1","1","7","241","124","29.10.12"
"590357","161","Сумська область","ДП ""Райавтодор"", актовий зал
вул.Комінтерну, 85, смт Недригайлів, Недригайлівський р-н, Сумська обл., 42100","780","238","763","61","492","50","542","","0","492","50","542","14","528","1","27","6","1","6","19","126","1","1","3","196","141","29.10.12"
"590358","161","Сумська область","МНВК, фойє
вул.Леніна, 112, смт Недригайлів, Недригайлівський р-н, Сумська обл., 42100","642","214","622","35","399","29","428","","0","399","29","428","13","415","1","51","8","1","5","17","83","2","1","1","152","93","30.10.12"
"590359","161","Сумська область","ФАП, коридор
вул.Сумська, 3, с.Віхове, Недригайлівський р-н, Сумська обл., 42100","432","139","429","15","279","14","293","","0","279","14","293","8","285","2","23","3","1","4","9","51","2","0","0","139","51","29.10.12"
"590360","161","Сумська область","будинок культури, бібліотека
вул.Леніна, 5, смт Терни, Недригайлівський р-н, Сумська обл., 42110","696","235","685","118","353","108","461","","0","353","108","461","19","442","1","17","4","11","12","15","114","3","4","3","164","94","29.10.12"
"590361","161","Сумська область","сільський клуб, фойє
вул.Перемоги, 2, смт Терни, Недригайлівський р-н, Сумська обл., 42110","546","194","540","132","243","109","352","","0","243","109","352","9","343","2","9","4","8","3","12","62","4","2","1","179","57","29.10.12"
"590362","161","Сумська область","школа, фойє
вул.Шкільна, 2, смт Терни, Недригайлівський р-н, Сумська обл., 42110","774","212","761","155","446","116","562","","0","446","116","562","13","549","3","21","10","10","8","34","135","7","0","5","250","66","29.10.12"
"590363","161","Сумська область","поліклініка, коридор
вул.1-Травня, 1, смт Терни, Недригайлівський р-н, Сумська обл., 42110","834","274","818","129","440","120","560","","0","440","120","560","19","541","3","12","9","10","16","44","122","2","0","4","262","57","29.10.12"
"590364","161","Сумська область","школа, фойє
вул.Перемоги, 60, с.Великі Будки, Недригайлівський р-н, Сумська обл., 42124","510","160","496","63","292","58","350","","0","292","58","350","11","339","3","12","5","1","9","13","78","0","1","4","183","30","29.10.12"
"590365","161","Сумська область","школа, спортивний зал
вул.Леніна, 14, с.Вільшана, Недригайлівський р-н, Сумська обл., 42127","1092","385","1085","146","564","143","707","","0","564","143","707","18","689","5","33","9","3","10","20","147","4","8","3","337","110","29.10.12"
"590366","161","Сумська область","будинок культури, фойє
вул.Леніна, 41, с.Вільшана, Недригайлівський р-н, Сумська обл., 42127","906","361","897","104","459","86","545","","0","459","86","545","13","532","3","18","12","3","7","23","101","3","4","6","288","64","29.10.12"
"590367","161","Сумська область","адмінбудинок ТОВ ""Хоружівка"", актовий зал
вул.Центральна, 33, с.Гринівка, Недригайлівський р-н, Сумська обл., 42132","300","89","296","47","174","37","211","","0","174","37","211","8","203","0","1","1","0","5","20","105","0","0","0","52","19","29.10.12"
"590368","161","Сумська область","школа, актовий зал
вул.М.Заїченко, 6, с.Деркачівка, Недригайлівський р-н, Сумська обл., 42123","486","125","476","74","292","69","361","","0","292","69","361","4","357","2","9","9","4","7","12","112","3","3","0","159","37","29.10.12"
