"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Балабан
Наталія
Володимирівна","Білоус
Василь
Васильович","Білоус
Інна
Василівна","Благодир
Андрій
Валерійович","Гінзбург
Ольга
Петрівна","Демидко
Віталій
Олегович","Молоток
Ігор
Федорович","Нога
Микола
Олександрович","Нога
Микола
Петрович","Петько
Сергій
Валентинович","Портянко
Максим
Андрійович","Ружина
Анастасія
Олегівна","Рябченко
Олег
Миколайович","Стриженко
Микола
Миколайович","Талала
Сергій
Миколайович","Ходькова
Аліна
Миколаївна","Яровий
Андрій
Михайлович","Дата підписання протоколу"
"590179","160","Сумська область","школа, фойє
вул.Будьонного, 27, с.Вирівка, Конотопський р-н, Сумська обл., 41630","1116","544","1071","76","510","62","572","","0","510","62","572","21","551","19","3","1","2","45","7","173","9","28","1","1","1","65","2","187","2","5","29.10.12"
"590180","160","Сумська область","Конотопський аграрний ліцей, к.26
вул.Заводська, 68, с-ще Заводське, Конотопський р-н, Сумська обл., 41631","1024","485","1016","52","488","51","539","","0","488","51","539","18","521","14","1","5","1","30","9","100","12","57","5","0","1","95","8","173","1","9","29.10.12"
"590200","160","Сумська область","навчально-виховний комплекс, спортивна зала
вул.Майдан Революції, 6, с.Мельня, Конотопський р-н, Сумська обл., 41640","292","82","285","33","179","31","210","","0","179","31","210","15","195","4","0","0","0","22","17","30","4","30","0","0","1","22","1","63","0","1","28.10.12"
"590207","160","Сумська область","сільський клуб, диско-зала
вул.Леніна, 20, с.Присеймів’я, Конотопський р-н, Сумська обл., 41642","180","52","182","32","100","28","128","","0","100","28","128","6","122","9","1","2","0","14","0","33","3","8","0","0","0","24","2","24","1","1","29.10.12"
"590208","160","Сумська область","навчально-виховний комплекс, актова зала
вул.Шевченка, 43, с.Чорноплатове, Конотопський р-н, Сумська обл., 41642","436","193","428","29","215","28","243","","0","215","28","243","9","234","11","1","2","0","12","2","95","4","13","0","0","0","20","0","71","0","3","29.10.12"
"590275","160","Сумська область","школа, фойє
вул.Чайківка, 7, с.Алтинівка, Кролевецький р-н, Сумська обл., 41346","1100","599","1078","36","469","32","501","","0","469","32","501","32","469","8","3","8","2","50","49","138","21","62","1","2","2","57","2","56","4","4","29.10.12"
"590279","160","Сумська область","будинок культури, актова зала
вул.Центральна, 16, с.Гречкине, Кролевецький р-н, Сумська обл., 41317","276","130","268","50","103","43","146","","0","103","43","146","1","145","1","0","1","0","5","6","35","18","42","0","0","0","4","1","29","2","1","29.10.12"
"590281","160","Сумська область","будинок культури, актова зала
вул.Мічуріна, 62, с.Добротове, Кролевецький р-н, Сумська обл., 41344","488","222","482","34","240","26","266","","0","240","26","266","4","262","2","0","3","0","24","22","87","21","55","0","1","1","7","0","37","0","2","29.10.12"
"590285","160","Сумська область","школа, актова зала
вул.Шлях, 1, с.Лапшине, Кролевецький р-н, Сумська обл., 41354","192","39","195","20","133","20","153","","0","133","20","153","5","148","0","0","0","0","12","6","60","4","34","1","0","0","4","0","27","0","0","29.10.12"
"590286","160","Сумська область","сільська рада, актова зала
вул.Леніна, 2, с.Ленінське, Кролевецький р-н, Сумська обл., 41354","756","304","736","40","413","39","452","","0","413","39","452","27","425","1","1","7","3","30","40","79","6","53","1","0","1","28","3","168","2","2","29.10.12"
"590289","160","Сумська область","сільський клуб, актова зала
вул.Поштова, 5, с.Любитове, Кролевецький р-н, Сумська обл., 41355","136","24","134","22","92","20","112","","0","92","20","112","1","111","2","0","2","0","2","21","16","3","36","1","0","0","10","0","18","0","0","29.10.12"
"590290","160","Сумська область","сільська рада, бухгалтерія
вул.Спортивна, 10, с.Майорівка, Кролевецький р-н, Сумська обл., 41346","172","65","174","13","95","12","107","","0","95","12","107","6","101","1","0","1","0","13","1","26","7","26","0","2","0","9","0","14","1","0","01.11.12"
"590292","160","Сумська область","школа, фойє
вул.Комсомольська, 110, с.Обтове, Кролевецький р-н, Сумська обл., 41340","564","183","546","38","346","35","381","","0","346","35","381","16","365","1","0","1","0","22","10","144","13","44","0","1","0","31","6","89","0","3","29.10.12"
"590293","160","Сумська область","ТОВ ""Десна"", кабінет директора
вул.Щорса, 56, с.Обтове, Кролевецький р-н, Сумська обл., 41340","540","191","540","67","286","63","349","","0","286","63","349","9","340","1","0","3","0","36","19","98","7","31","1","2","2","21","2","108","1","8","29.10.12"
"590294","160","Сумська область","сільський клуб, актова зала
вул.Перемоги, 23, с.Реутинці, Кролевецький р-н, Сумська обл., 41343","780","296","762","59","431","53","484","","0","431","53","484","26","458","4","3","4","1","47","32","236","13","47","2","0","0","18","4","42","1","4","29.10.12"
"590675","160","Сумська область","школа імені П.О.Куліша, новий корпус, вестибюль
вул.Н.-Сіверська, 2, смт Вороніж, Шосткинський р-н, Сумська обл., 41140","1908","1047","1891","187","717","144","861","","0","717","144","861","18","843","0","2","5","0","52","5","347","25","159","1","1","3","65","6","157","8","7","29.10.12"
"590676","160","Сумська область","школа імені П.О.Куліша, старий корпус, вестибюль
вул.Н.-Сіверська, 2, смт Вороніж, Шосткинський р-н, Сумська обл., 41140","1440","702","1419","94","660","78","738","","0","660","78","738","24","714","2","0","2","1","69","1","351","18","69","0","1","1","63","0","135","0","1","29.10.12"
"590677","160","Сумська область","ТОВ ""Контакт-плюс"", їдальня
вул.Кошового, 18, смт Вороніж, Шосткинський р-н, Сумська обл., 41140","1947","945","1919","61","955","47","1002","","0","955","47","1002","30","972","4","2","4","3","77","10","413","21","122","0","2","0","87","0","213","9","5","29.10.12"
"590678","160","Сумська область","навчально-виховний комплекс, вестибюль
вул.Тидня, 23, смт Вороніж, Шосткинський р-н, Сумська обл., 41140","652","312","655","42","303","37","340","","0","303","37","340","13","327","2","1","4","0","24","0","134","19","44","0","1","1","27","2","60","2","6","28.10.12"
"590689","160","Сумська область","клуб, актова зала
вул.Калініна, 147, с.Клишки, Шосткинський р-н, Сумська обл., 41145","328","134","319","42","159","35","194","","0","159","35","194","2","192","1","2","2","0","26","2","94","9","15","0","1","1","7","1","26","5","0","29.10.12"
"590690","160","Сумська область","школа, спортивна зала
вул.Калініна, 1А, с.Клишки, Шосткинський р-н, Сумська обл., 41145","612","279","598","71","270","63","333","","0","270","63","333","6","327","0","0","1","0","20","4","219","4","26","0","1","1","31","3","13","3","1","29.10.12"
"590691","160","Сумська область","будинок культури, актова зала
вул.Зелена, 2Б, с.Клишки, Шосткинський р-н, Сумська обл., 41145","720","348","714","94","304","68","372","","0","304","68","372","16","356","2","0","0","1","30","7","205","10","30","0","0","1","31","0","33","6","0","28.10.12"
"590692","160","Сумська область","фельдшерський пункт, к.1
вул.Солотвинська, 38Б, с.Солотвине, Шосткинський р-н, Сумська обл., 41145","156","60","154","33","69","27","96","","0","69","27","96","4","92","1","0","0","0","3","2","62","2","4","1","0","0","13","0","4","0","0","28.10.12"
"590693","160","Сумська область","школа, фойє
вул.Суворова, 4, с.Ковтунове, Шосткинський р-н, Сумська обл., 41122","616","242","607","42","338","36","374","","0","338","36","374","8","366","0","0","2","0","26","6","261","16","38","0","0","0","6","0","9","2","0","28.10.12"
"590700","160","Сумська область","клуб, к.1
вул.Перемоги, 41, с.Тиманівка, Шосткинський р-н, Сумська обл., 41144","268","84","264","23","161","23","184","","0","161","23","184","7","177","1","1","3","2","12","17","83","6","22","1","0","0","9","0","12","7","1","28.10.12"
"590701","160","Сумська область","школа, коридор
вул.Кірова, 176, с.Лушники, Шосткинський р-н, Сумська обл., 41146","340","129","332","46","165","46","211","","0","165","46","211","4","207","0","1","2","1","9","1","101","11","44","0","1","0","11","1","22","2","0","28.10.12"
"590702","160","Сумська область","школа, коридор
вул.Леніна, 2, с.Чапліївка, Шосткинський р-н, Сумська обл., 41143","1016","479","1006","115","448","89","537","","0","448","89","537","11","526","0","0","2","1","34","30","270","22","77","1","1","1","13","0","61","9","4","29.10.12"
"590703","160","Сумська область","виправна колонія (№66), клуб, актова зала
вул.Радянська, 57А, с.Гамаліївка, Шосткинський р-н, Сумська обл., 41132","1192","46","1184","0","1146","0","1146","","0","1146","0","1146","164","982","42","23","59","18","37","24","251","83","166","17","13","64","71","24","28","28","34","29.10.12"
"590752","160","Сумська область","колійна машинна станція №119, адмінкорпус, к.1
вул.Професійна, 108, м.Конотоп, Сумська обл., 41600","1596","863","1595","14","723","10","733","","0","723","10","733","48","685","14","3","5","1","70","33","154","11","58","2","1","1","151","3","170","4","4","01.11.12"
"590753","160","Сумська область","Конотопська школа №14, коридор, 1-й поверх
вул.Євгенії Бош, 29, м.Конотоп, Сумська обл., 41600","2020","1006","1985","25","994","20","1014","","0","994","20","1014","58","956","15","0","3","0","119","36","197","20","87","0","1","3","205","5","259","0","6","29.10.12"
"590754","160","Сумська область","Конотопська школа №13, вестибюль
вул.Богдана Хмельницького, 91, м.Конотоп, Сумська обл., 41600","2040","937","2010","44","1063","40","1103","","0","1063","40","1103","64","1039","16","4","12","6","111","39","268","15","94","2","3","3","226","10","214","1","15","29.10.12"
"590755","160","Сумська область","ДЮСШ ""Старт"", вестибюль
вул.Богдана Хмельницького, 24, м.Конотоп, Сумська обл., 41600","1612","761","1610","22","836","15","851","","0","836","15","851","40","811","14","1","9","2","127","20","170","18","66","3","3","2","144","5","213","1","13","29.10.12"
"590756","160","Сумська область","ДПТНЗ ""Конотопське ВПУ"", фойє
вул.6 Вересня, 1, м.Конотоп, Сумська обл., 41600","1536","697","1522","31","814","25","839","","0","814","25","839","38","801","11","0","5","1","78","24","221","9","85","0","3","0","183","9","156","0","16","29.10.12"
"590757","160","Сумська область","гуртожиток КдзпПЗз, зала засідань
вул.Свободи, 57, м.Конотоп, Сумська обл., 41600","2136","1034","2120","23","1090","12","1102","","0","1090","12","1102","49","1053","25","0","3","0","111","23","234","34","155","1","5","3","213","13","215","5","13","29.10.12"
"590758","160","Сумська область","ДПТНЗ Конотопський профліцей, вестибюль, 2-й поверх
вул.Тургенєва, 30, м.Конотоп, Сумська обл., 41600","1144","566","1134","28","558","20","578","","0","558","20","578","29","549","15","2","1","1","45","13","163","14","77","1","0","1","107","3","102","0","4","28.10.12"
"590759","160","Сумська область","Конотопська школа №12, вестибюль
вул.Цюрупи, 2, м.Конотоп, Сумська обл., 41600","2228","1062","2228","35","1143","23","1166","","0","1143","23","1166","56","1110","48","3","15","4","122","35","232","24","160","3","0","3","200","5","228","3","25","29.10.12"
"590760","160","Сумська область","будинок науки і техніки КДЗП, фойє
вул.Клубна, 2, м.Конотоп, Сумська обл., 41600","1236","573","1224","27","644","19","663","","0","644","19","663","28","635","12","0","5","0","104","23","121","10","102","1","1","0","139","8","103","3","3","29.10.12"
"590761","160","Сумська область","Конотопська школа №11, актова зала
вул.Свободи, 8, м.Конотоп, Сумська обл., 41600","1236","632","1224","36","575","29","604","","0","575","29","604","26","578","8","3","6","1","62","14","120","17","91","2","1","1","153","6","87","2","4","01.11.12"
"590762","160","Сумська область","клуб ДП ""Авіакон"", актова зала
вул.Рябошапка, 25, м.Конотоп, Сумська обл., 41600","2212","1093","2192","28","1102","17","1119","","0","1102","17","1119","52","1067","36","5","10","5","143","28","142","39","165","0","2","3","197","12","264","2","14","29.10.12"
"590763","160","Сумська область","Конотопська школа №3, фойє
вул.Клубна, 150, м.Конотоп, Сумська обл., 41600","2180","1058","2154","18","1106","16","1122","","0","1106","16","1122","40","1082","27","3","16","0","135","22","186","25","144","2","3","0","294","4","208","0","13","29.10.12"
"590764","160","Сумська область","автошкола ТСОУ, актова зала
вул.Клубна, 74, м.Конотоп, Сумська обл., 41600","1780","869","1738","17","899","12","911","","0","899","12","911","47","864","17","4","7","3","155","22","194","27","84","3","1","4","151","11","167","4","10","29.10.12"
"590765","160","Сумська область","Конотопська школа №10, коридор, 1-й поверх
просп.Миру, 65, м.Конотоп, Сумська обл., 41600","1440","646","1440","29","775","19","794","","0","775","19","794","34","760","23","1","4","3","91","20","148","14","88","1","0","1","159","5","194","0","8","29.10.12"
"590766","160","Сумська область","Конотопська філія ЄУ, актова зала
просп.Миру, 38, м.Конотоп, Сумська обл., 41600","2260","1051","2217","40","1177","32","1209","","0","1177","32","1209","57","1152","25","3","14","5","146","39","179","16","123","0","2","2","233","8","346","3","8","29.10.12"
"590767","160","Сумська область","Конотопський ДНЗ №7, музична зала
вул.Генерала Тхора, 40, м.Конотоп, Сумська обл., 41600","2364","1118","2319","15","1236","10","1246","","0","1236","10","1246","48","1198","19","2","18","6","138","47","174","13","143","1","4","0","275","14","320","4","20","29.10.12"
