"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Козловський
Анатолій
Михайлович","Корнацький
Аркадій
Олексійович","Пєшехонов
Анатолій
Анатолійович","Романюк
Анатолій
Сергійович","Терьохін
Сергій
Євгенович","Толубко
Володимир
Борисович","Травянко
Віталій
Іванович","Дата підписання протоколу"
"480001","132","Миколаївська область","РК ТСОУ, к.2А, 1-й поверх
вул.Шевченка, 91, смт Арбузинка, Арбузинський р-н, Миколаївська обл., 55301","696","213","707","46","439","44","483","","0","439","44","483","11","472","24","121","18","44","5","22","238","29.10.12"
"480002","132","Миколаївська область","школа №2, спортивний зал, 1-й поверх
вул.Шевченка, 203, смт Арбузинка, Арбузинський р-н, Миколаївська обл., 55301","1120","399","1130","50","676","45","721","","0","676","45","721","16","705","31","194","16","80","8","17","359","29.10.12"
"480003","132","Миколаївська область","Арбузинський аграрний ліцей, фойє, 2-й поверх
вул.Шевченка, 219, смт Арбузинка, Арбузинський р-н, Миколаївська обл., 55301","1088","523","1086","51","514","51","565","","0","514","51","565","27","538","30","131","5","34","0","23","315","28.10.12"
"480004","132","Миколаївська область","школа №1, к.1, 1-й поверх
вул.Шкільна, 96, смт Арбузинка, Арбузинський р-н, Миколаївська обл., 55301","848","359","864","46","449","40","489","","0","449","40","489","30","459","36","105","6","40","2","12","258","29.10.12"
"480005","132","Миколаївська область","адміністративне приміщення ЗАТ ""УКРАЇНА"", актовий зал, 2-й поверх
вул.Учительська, 38, смт Арбузинка, Арбузинський р-н, Миколаївська обл., 55301","640","301","642","25","316","23","339","","0","316","23","339","13","326","21","93","9","34","6","12","151","29.10.12"
"480006","132","Миколаївська область","МБК ЗАТ ""Україна"", глядацький зал, 1-й поверх
вул.Учительська, 138, смт Арбузинка, Арбузинський р-н, Миколаївська обл., 55301","592","224","600","53","319","49","368","","0","319","49","368","17","351","30","104","9","49","4","12","143","28.10.12"
"480007","132","Миколаївська область","будинок культури, зал, 1-й поверх
вул.Фрунзе, 47, с.Полянка, Арбузинський р-н, Миколаївська обл., 55311","256","124","248","9","125","7","132","","0","125","7","132","4","128","7","51","4","11","3","3","49","29.10.12"
"480008","132","Миколаївська область","міський будинок культури, фойє, 1-й поверх
пл.Жовтневої революції, 18, смт Костянтинівка, Арбузинський р-н, Миколаївська обл., 55340","1064","548","1050","34","489","27","516","","0","489","27","516","33","483","65","133","3","18","5","24","235","28.10.12"
"480009","132","Миколаївська область","школа, фойє, 1-й поверх
вул.Садова, 2, смт Костянтинівка, Арбузинський р-н, Миколаївська обл., 55340","1104","577","1102","33","497","30","527","","0","497","30","527","26","501","55","111","7","24","3","24","277","29.10.12"
"480010","132","Миколаївська область","школа, к.10, 1-й поверх
вул.Шкільна, 31, с.Бузьке, Арбузинський р-н, Миколаївська обл., 55342","192","77","184","12","103","12","115","","0","103","12","115","2","113","14","28","0","6","2","0","63","28.10.12"
"480011","132","Миколаївська область","школа, спортивний зал, 1-й поверх
вул.50 років ВЛКСМ, 62, с-ще Кавуни, Арбузинський р-н, Миколаївська обл., 55026","640","235","628","28","377","28","405","","0","377","28","405","17","388","28","101","2","20","6","12","219","29.10.12"
"480012","132","Миколаївська область","будинок культури, фойє, 1-й поверх
пров.Парковий, 2, с.Агрономія, Арбузинський р-н, Миколаївська обл., 55353","880","351","924","31","498","31","529","","0","498","31","529","48","481","21","88","6","16","4","7","339","29.10.12"
"480013","132","Миколаївська область","будинок культури, фойє, 1-й поверх
вул.Ювілейна, 18, с.Благодатне, Арбузинський р-н, Миколаївська обл., 55325","1128","512","1116","56","564","52","616","","0","564","52","616","28","588","43","90","3","51","9","17","375","28.10.12"
"480014","132","Миколаївська область","будинок культури, фойє, 1-й поверх
вул.Лісова, 1, с.Воєводське, Арбузинський р-н, Миколаївська обл., 55320","936","490","929","44","406","40","446","","0","406","40","446","15","431","14","129","5","91","6","11","175","29.10.12"
"480015","132","Миколаївська область","будинок культури, фойє, 1-й поверх
вул.Горького, 16, с.Іванівка, Арбузинський р-н, Миколаївська обл., 55332","424","129","420","16","279","16","295","","0","279","16","295","13","282","11","79","9","14","1","13","155","29.10.12"
"480016","132","Миколаївська область","школа, спортивний зал, 1-й поверх
вул.Шкільна, 22, с.Панкратове, Арбузинський р-н, Миколаївська обл., 55333","224","77","214","24","123","24","147","","0","123","24","147","8","139","10","20","0","2","1","3","103","29.10.12"
"480017","132","Миколаївська область","школа, спортивний зал, 1-й поверх
вул.70-років Жовтня, 28, с.Любоіванівка, Арбузинський р-н, Миколаївська обл., 55324","264","109","263","20","140","15","155","","0","140","15","155","0","155","13","33","0","10","0","0","99","28.10.12"
"480018","132","Миколаївська область","сільський клуб, актовий зал, 1-й поверх
вул.Леніна, 10А, с.Новогригорівка, Арбузинський р-н, Миколаївська обл., 55321","248","83","249","17","150","15","165","","0","150","15","165","4","161","12","33","3","5","2","1","105","28.10.12"
"480019","132","Миколаївська область","школа, спортивний зал, 1-й поверх
вул.Величка, 23, с.Новокрасне, Арбузинський р-н, Миколаївська обл., 55323","992","473","982","36","489","30","519","","0","489","30","519","13","506","26","56","8","44","4","10","358","29.10.12"
"480020","132","Миколаївська область","школа, фойє, 1-й поверх
вул.Шкільна, 7, с.Новоселівка, Арбузинський р-н, Миколаївська обл., 55010","336","111","332","14","211","14","225","","0","211","14","225","10","215","17","56","1","13","0","0","128","28.10.12"
"480021","132","Миколаївська область","школа, спортивний зал, 1-й поверх
пров.Шкільний, 1, с.Мар’янівка, Арбузинський р-н, Миколаївська обл., 55010","392","143","392","14","235","14","249","","0","235","14","249","10","239","14","92","3","10","2","2","116","29.10.12"
"480022","132","Миколаївська область","Вольський ФАП, к.1, 1-й поверх
вул.Молодіжна, 2, с.Воля, Арбузинський р-н, Миколаївська обл., 55010","112","37","115","3","72","3","75","","0","72","3","75","1","74","8","19","0","2","0","1","44","28.10.12"
"480023","132","Миколаївська область","школа, фойє, 1-й поверх
вул.Набережна, 1, с.Рябоконеве, Арбузинський р-н, Миколаївська обл., 55322","264","103","263","8","153","8","161","","0","153","8","161","7","154","16","44","2","12","5","7","68","29.10.12"
"480024","132","Миколаївська область","будинок культури, глядацький зал, 1-й поверх
вул.Миру, 6, с.Садове, Арбузинський р-н, Миколаївська обл., 55312","744","330","743","34","386","28","414","","0","386","28","414","15","399","27","72","5","13","1","5","276","29.10.12"
"480025","132","Миколаївська область","будинок культури, фойє, 1-й поверх
вул.Леніна, 46, с.Семенівка, Арбузинський р-н, Миколаївська обл., 55330","1144","450","1137","54","640","54","694","","0","640","54","694","19","675","47","97","3","11","4","3","510","29.10.12"
"480026","132","Миколаївська область","сільський клуб, глядацький зал, 1-й поверх
вул.Шкільна, 1, с.Остапівка, Арбузинський р-н, Миколаївська обл., 55331","136","47","134","12","77","12","89","","0","77","12","89","0","89","13","18","2","3","1","0","52","28.10.12"
"480027","132","Миколаївська область","виправна колонія, кімната виховної роботи №4, 1-й поверх
вул.Дзержинського, 1, смт Костянтинівка, Арбузинський р-н, Миколаївська обл., 55340","1168","37","1154","0","1131","0","1131","","0","1131","0","1131","27","1104","70","64","3","38","1","3","925","29.10.12"
"480130","132","Миколаївська область","гімназія, фойє
вул.Піонерська, 30, смт Братське, Братський р-н, Миколаївська обл., 55401","2008","951","1999","43","1019","38","1057","","0","1019","38","1057","46","1011","96","392","15","111","13","53","331","29.10.12"
"480131","132","Миколаївська область","їдальня професійно-технічного училища 17, фойє
вул.Вороніна, 2, смт Братське, Братський р-н, Миколаївська обл., 55401","2192","1079","2185","26","1087","26","1113","","0","1087","26","1113","52","1061","102","448","19","143","8","47","294","29.10.12"
"480132","132","Миколаївська область","контора ФГ ""Світанок"", фойє
вул.Нагірна, 35, смт Братське, Братський р-н, Миколаївська обл., 55401","544","270","546","32","246","28","274","","0","246","28","274","14","260","26","74","6","43","5","14","92","29.10.12"
"480133","132","Миколаївська область","контора ТОВ ""Білоусівка"", фойє
вул.Паркова, 1А, с.Антонове, Братський р-н, Миколаївська обл., 55410","288","116","286","9","165","7","172","","0","165","7","172","8","164","23","58","4","29","1","5","44","28.10.12"
"480134","132","Миколаївська область","школа, фойє
вул.Шкільна, 12, с.Кам’януватка, Братський р-н, Миколаївська обл., 55411","232","76","236","8","148","8","156","","0","148","8","156","5","151","6","51","3","14","1","1","75","29.10.12"
"480135","132","Миколаївська область","сільський клуб, глядачевий зал
вул.Єсеніна, 26, с.Озеринівка, Братський р-н, Миколаївська обл., 55401","104","63","93","6","37","4","41","","0","37","4","41","0","41","6","12","0","3","0","1","19","28.10.12"
"480136","132","Миколаївська область","школа, фойє
вул.Шкільна, 8, с.Ганнівка, Братський р-н, Миколаївська обл., 55430","472","229","460","18","226","17","243","","0","226","17","243","15","228","32","53","6","23","1","6","107","28.10.12"
"480137","132","Миколаївська область","школа, фойє
вул.Воронина, 4, с.Мостове, Братський р-н, Миколаївська обл., 55432","200","64","199","6","131","5","136","","0","131","5","136","8","128","16","50","3","10","2","4","43","28.10.12"
"480138","132","Миколаївська область","будинок культури, фойє
вул.Першотравнева, 61В, с.Григорівка, Братський р-н, Миколаївська обл., 55420","336","162","330","7","168","6","174","","0","168","6","174","10","164","34","32","4","14","3","6","71","28.10.12"
"480139","132","Миколаївська область","сільський клуб, глядачевий зал
вул.Садова, 89, с.Антонівка, Братський р-н, Миколаївська обл., 55420","232","78","225","20","134","20","154","","0","134","20","154","2","152","25","29","1","15","3","2","77","29.10.12"
"480140","132","Миколаївська область","сільський клуб, глядачевий зал
вул.Привокзальна, 1, с-ще Людмилівка, Братський р-н, Миколаївська обл., 55423","440","179","429","13","252","9","261","","0","252","9","261","18","243","21","46","5","22","0","5","144","29.10.12"
