"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Власюк
Віктор
Дмитрович","Гержов
Юрій
Іванович","Іванченко
Василь
Миколайович","Печерський
Володимир
Анатолійович","Стулін
Андрій
Миколайович","Телятник
Юрій
Васильович","Чупрін
Сергій
Анатолійович","Шелех
Петро
Валентинович","Дата підписання протоколу"
"480182","131","Миколаївська область","школа, фойє
вул.Шкільна, 1, с.Градівка, Веселинівський р-н, Миколаївська обл., 57012","312","142","306","22","151","19","170","","0","151","19","170","8","162","15","65","5","2","29","24","13","9","28.10.12"
"480183","131","Миколаївська область","школа, їдальня
вул.Леніна, 66, с.Ставки, Веселинівський р-н, Миколаївська обл., 57050","856","423","850","47","389","44","433","","0","389","44","433","21","412","37","163","16","7","48","59","45","37","29.10.12"
"480184","131","Миколаївська область","сільський клуб, фойє
вул.Центральна, 57, с.Староолексіївка, Веселинівський р-н, Миколаївська обл., 57050","376","114","375","21","241","21","262","","0","241","21","262","13","249","18","103","16","4","22","37","23","26","28.10.12"
"480185","131","Миколаївська область","сільський клуб, фойє
вул.Миру, 58, с.Штукар, Веселинівський р-н, Миколаївська обл., 57050","344","120","342","11","213","11","224","","0","213","11","224","12","212","18","76","17","6","22","33","16","24","29.10.12"
"480186","131","Миколаївська область","сільський клуб, фойє
вул.Леніна, 53, с.Піщаний Брід, Веселинівський р-н, Миколаївська обл., 57063","416","173","408","29","215","28","243","","0","215","28","243","8","235","26","56","10","4","77","14","30","18","29.10.12"
"480187","131","Миколаївська область","сільська рада, актовий зал
вул.Леніна, 98, с.Широколанівка, Веселинівський р-н, Миколаївська обл., 57063","1144","545","1131","42","558","41","599","","0","558","41","599","51","548","38","181","18","8","124","85","67","27","29.10.12"
"480188","131","Миколаївська область","будинок культури, фойє
вул.Генерала Подзігуна, 165, смт Олександрівка, Вознесенський р-н, Миколаївська обл., 56530","1288","639","1273","51","613","36","649","","0","613","36","649","32","617","40","345","11","2","56","69","50","44","29.10.12"
"480189","131","Миколаївська область","школа, актовий зал, 1-й поверх
вул.Генерала Подзігуна, 244, смт Олександрівка, Вознесенський р-н, Миколаївська обл., 56530","1304","710","1282","46","556","38","594","","0","556","38","594","28","566","40","329","10","4","49","60","43","31","28.10.12"
"480190","131","Миколаївська область","бібліотека №1, читальний зал
вул.Степова, 5, смт Олександрівка, Вознесенський р-н, Миколаївська обл., 56530","800","435","797","33","334","31","365","","0","334","31","365","21","344","15","171","10","1","43","53","23","28","29.10.12"
"480191","131","Миколаївська область","дитячий садок №2, ігрова кімната
вул.Першотравнева, 148, смт Олександрівка, Вознесенський р-н, Миколаївська обл., 56530","1144","576","1109","55","515","53","568","","0","515","53","568","27","541","26","305","11","4","63","84","31","17","29.10.12"
"480192","131","Миколаївська область","дитячий садок №4, фойє
вул.Залізнична, 16, с.Трикратне, Вознесенський р-н, Миколаївська обл., 56534","664","307","652","37","321","36","357","","0","321","36","357","12","345","16","248","7","3","13","25","13","20","28.10.12"
"480193","131","Миколаївська область","будинок культури, танцювальний зал
вул.Дмитрова, 2А, с.Білоусівка, Вознесенський р-н, Миколаївська обл., 56576","800","288","791","52","462","50","512","","0","462","50","512","16","496","25","345","4","0","39","41","19","23","29.10.12"
"480194","131","Миколаївська область","будинок культури, фойє
вул.Леніна, 276, с.Бузьке, Вознесенський р-н, Миколаївська обл., 56541","1456","688","1460","63","706","62","768","","0","706","62","768","51","717","27","454","12","6","64","68","68","18","29.10.12"
"480195","131","Миколаївська область","сільський клуб, фойє
вул.Вознесенська, 20, с-ще Вознесенське, Вознесенський р-н, Миколаївська обл., 56543","856","389","852","37","430","37","467","","0","430","37","467","23","444","12","277","21","7","29","64","10","24","29.10.12"
"480196","131","Миколаївська область","школа-інтернат, фойє, 1-й поверх
вул.Учительська, 6, с.Рацинська Дача, Вознесенський р-н, Миколаївська обл., 56543","88","35","80","4","49","4","53","","0","49","4","53","1","52","3","36","0","0","7","2","1","3","29.10.12"
"480197","131","Миколаївська область","будинок культури, фойє
вул.Перемоги, 28, с.Малосолоне, Вознесенський р-н, Миколаївська обл., 56544","232","102","233","8","122","8","130","","0","122","8","130","10","120","6","78","3","0","7","11","3","12","28.10.12"
"480198","131","Миколаївська область","будинок культури, фойє
вул.Набережна, 2, с.Воронівка, Вознесенського р-н, Миколаївської обл., 56540","968","420","966","89","467","81","548","","0","467","81","548","35","513","24","293","14","7","47","64","26","38","28.10.12"
"480199","131","Миколаївська область","школа, фойє, 1-й поверх
вул.Шкільна, 1, с.Григорівське, Вознесенський р-н, Миколаївська обл., 56550","296","101","294","14","181","14","195","","0","181","14","195","9","186","9","117","1","1","34","11","8","5","29.10.12"
"480200","131","Миколаївська область","сільський клуб, актовий зал
вул.Перемоги, 1, с.Василівка, Вознесенський р-н, Миколаївська обл., 56554","192","75","190","5","112","5","117","","0","112","5","117","6","111","3","83","3","0","10","7","4","1","28.10.12"
"480201","131","Миколаївська область","будинок культури, фойє
вул.Молодіжна, 60, с.Дмитрівка, Вознесенський р-н, Миколаївська обл., 56571","632","267","621","67","304","61","365","","0","304","61","365","10","355","16","228","6","3","23","40","19","20","28.10.12"
"480202","131","Миколаївська область","будинок культури, дзеркальна зала, 1-й поверх
вул.Леніна, 86, с.Дорошівка, Вознесенський р-н, Миколаївська обл., 56570","1488","689","1494","58","745","54","799","","0","745","54","799","33","766","28","517","15","5","81","67","32","21","29.10.12"
"480203","131","Миколаївська область","сільський клуб, фойє
вул.Центральна, 5, с.Щербанівське, Вознесенський р-н, Миколаївська обл., 56552","312","150","307","0","162","0","162","","0","162","0","162","7","155","4","93","3","1","12","14","21","7","28.10.12"
"480204","131","Миколаївська область","фельдшерсько-акушерський пункт, маніпуляційна кімната
вул.Центральна, 5, с.Трудове, Вознесенський р-н, Миколаївська обл., 56552","88","39","87","5","44","5","49","","0","44","5","49","3","46","3","33","0","1","1","2","5","1","28.10.12"
"480205","131","Миколаївська область","будинок культури, фойє, 1-й поверх
вул.Самосенків, 79А, с.Новогригорівка, Вознесенський р-н, Миколаївська обл., 56522","752","325","744","40","394","33","427","","0","393","33","426","17","409","14","279","4","41","28","1","24","18","28.10.12"
"480206","131","Миколаївська область","центр дозвілля для молоді, фойє
вул.Кольчака, 46А, с.Ракове, Вознесенський р-н, Миколаївська обл., 56521","520","155","511","20","345","20","365","","0","345","20","365","9","356","9","299","2","0","18","13","13","2","28.10.12"
"480207","131","Миколаївська область","школа, фойє, 1-й поверх
вул.Центральна, 17, с-ще Новосілка, Вознесенський р-н, Миколаївська обл., 56560","856","407","839","59","403","46","449","","0","403","46","449","27","422","22","267","7","1","31","40","28","26","31.10.12"
"480208","131","Миколаївська область","сільська рада, зал засідань, 1-й поверх
вул.Одеська, 18, с.Прибужани, Вознесенський р-н, Миколаївська обл., 56523","1312","657","1298","64","600","55","655","","0","600","55","655","26","629","26","314","11","2","97","80","49","50","29.10.12"
"480209","131","Миколаївська область","сільський клуб, актовий зал
вул.Ангуряна, 9А, с.Мартинівське, Вознесенський р-н, Миколаївська обл., 56525","136","36","100","8","92","8","100","","0","92","8","100","10","90","4","57","2","0","6","15","4","2","28.10.12"
"480210","131","Миколаївська область","школа, фойє, 1-й поверх
школа, вул.БОС-2, с-ще Мартинівське, Вознесенський р-н, Миколаївська обл., 56525","1648","876","1602","39","735","37","772","","0","735","37","772","30","742","24","450","14","4","54","134","31","31","29.10.12"
"480211","131","Миколаївська область","будинок культури, фойє, 1-й поверх
вул.Леніна, 145, с.Таборівка, Вознесенський р-н, Миколаївська обл., 56520","1360","590","1353","66","709","61","770","","0","709","61","770","38","732","33","476","11","7","54","102","30","19","31.10.12"
"480212","131","Миколаївська область","будинок культури, актовий зал, 1-й поверх
вул.Тімірязєва, 1, с-ще Тімірязєвка, Вознесенський р-н, Миколаївська обл., 56575","592","204","589","26","363","25","388","","0","363","25","388","19","369","10","254","3","5","25","22","22","28","28.10.12"
"480213","131","Миколаївська область","сільський клуб, фойє
вул.Виноградна, 31, с.Андрійчикове, Вознесенський р-н, Миколаївська обл., 56564","72","21","71","3","48","3","51","","0","48","3","51","3","48","1","35","0","0","1","2","3","6","28.10.12"
"480214","131","Миколаївська область","школа, фойє, 1-й поверх
вул.Леніна, 56, с.Трикрати, Вознесенського р-н, Миколаївської обл., 56535","1480","626","1468","105","751","103","854","","0","751","103","854","21","833","31","553","19","2","36","132","25","35","29.10.12"
"480215","131","Миколаївська область","школа, їдальня, 1-й поверх
вул.Щорса, 40, с.Актове, Вознесенського р-н, Миколаївської обл., 56537","408","185","402","6","218","5","223","","0","218","5","223","13","210","11","119","8","3","33","20","7","9","28.10.12"
"480216","131","Миколаївська область","будинок культури, актовий зал, 1-й поверх
вул.Кірова, 46, с.Щербані, Вознесенський р-н, Миколаївська обл., 56553","1304","611","1285","58","639","54","693","","0","639","54","693","30","663","31","362","17","9","30","89","27","98","29.10.12"
"480217","131","Миколаївська область","школа, фойє
вул.Шкільна, 1, с.Троїцьке, Вознесенський р-н, Миколаївська обл., 56555","264","124","247","13","128","12","140","","0","128","12","140","9","131","6","88","5","1","12","6","5","8","29.10.12"
"480218","131","Миколаївська область","школа, фойє
вул.Молодіжна, 28, с.Шевченко, Вознесенський р-н, Миколаївська обл., 56554","200","83","200","0","117","0","117","","0","117","0","117","12","105","4","56","2","2","9","12","9","11","28.10.12"
"480219","131","Миколаївська область","фельдшерсько-акушерський пункт, кабінет фельдшера
вул.Колгоспна, 29, с.Новоукраїнка, Вознесенський р-н, Миколаївська обл., 56555","80","22","83","1","57","1","58","","0","57","1","58","0","58","1","30","1","0","10","12","2","2","28.10.12"
"480220","131","Миколаївська область","школа, фойє, 1-й поверх
вул.Радянська, 128, с.Яструбинове, Вознесенський р-н, Миколаївська обл., 56564","824","378","811","31","417","29","446","","0","417","29","446","18","428","8","215","26","1","51","93","17","17","29.10.12"
"480221","131","Миколаївська область","фельдшерсько-акушерський пункт, маніпуляційна кімната
вул.Весняна, 16А, с.Новопристань, Вознесенський р-н, Миколаївська обл., 56564","64","15","65","7","42","7","49","","0","42","7","49","1","48","1","33","1","0","2","6","2","3","28.10.12"
"480245","131","Миколаївська область","ТОВ ""Нива-Союз"", контора, фойє
вул.58 стрілкової Дивізії, 1, смт Доманівка, Доманівський р-н, Миколаївська обл., 56401","1216","681","1191","53","486","49","535","","0","486","49","535","24","511","249","90","54","2","24","57","18","17","29.10.12"
"480246","131","Миколаївська область","Районний будинок культури, фойє
вул.Первомайська, 2, смт Доманівка, Доманівський р-н, Миколаївська обл., 56401","1664","843","1652","31","790","31","821","","0","790","31","821","30","791","360","166","86","5","40","98","20","16","29.10.12"
"480247","131","Миколаївська область","Райавтодор, актова зала
вул.Радянської Армії, 6, смт Доманівка, Доманівський р-н, Миколаївська обл., 56401","1024","517","1002","17","491","16","507","","0","491","16","507","11","496","277","101","37","2","17","46","8","8","29.10.12"
"480248","131","Миколаївська область","школа №2, фойє
вул.Шкільна, 2, смт Доманівка, Доманівський р-н, Миколаївська обл., 56401","1448","736","1429","50","666","46","712","","0","666","46","712","26","686","292","108","59","2","58","116","31","20","29.10.12"
"480249","131","Миколаївська область","сільський будинок культури, фойє
вул.Піонерська, 19, с.Зброшкове, Доманівський р-н, Миколаївська обл., 56401","208","102","201","12","96","10","106","","0","96","10","106","2","104","25","45","9","0","2","14","4","5","29.10.12"
"480250","131","Миколаївська область","відділення поштового зв’язку, фойє
вул.Петровського, 14, с.Забари, Доманівський р-н, Миколаївська обл., 56410","152","51","146","7","94","7","101","","0","94","7","101","2","99","44","24","4","0","9","12","3","3","29.10.12"
"480251","131","Миколаївська область","сільська рада, фойє
вул.Центральна, 7, с.Акмечетські Ставки, Доманівський р-н, Миколаївська обл., 56445","312","134","303","9","170","8","178","","0","170","8","178","4","174","59","67","4","1","3","21","7","12","29.10.12"
"480252","131","Миколаївська область","школа, фойє
вул.Шкільна, 1, с.Жовтневе, Доманівський р-н, Миколаївська обл., 56445","544","224","538","37","285","35","320","","0","285","35","320","8","312","58","155","18","1","23","18","9","30","29.10.12"
"480253","131","Миколаївська область","школа, фойє
480253 вул.Леніна, 36, с.Богданівка, Доманівський р-н, Миколаївська обл., 56419","1256","696","1241","42","521","39","560","","0","521","39","560","24","536","52","59","90","37","3","176","106","13","28.10.12"
"480254","131","Миколаївська область","сільський ФАП, фойє
вул.Первомайська, 44, с.Мар’ївка, Доманівський р-н, Миколаївська обл., 56419","280","130","279","14","136","14","150","","0","136","14","150","8","142","30","29","20","0","26","22","7","8","29.10.12"
"480255","131","Миколаївська область","сільський ФАП, фойє
вул.Набережна, 70, с.Виноградний Сад, Доманівський р-н, Миколаївська обл., 56419","152","50","143","4","98","4","102","","0","98","4","102","7","95","18","47","10","1","8","7","2","2","28.10.12"
"480256","131","Миколаївська область","сільська рада, актова зала
вул.Леніна, 26, с.Володимирівка, Доманівський р-н, Миколаївська обл., 56455","528","294","521","30","207","27","234","","0","207","27","234","14","220","67","53","34","2","12","39","7","6","29.10.12"
"480257","131","Миколаївська область","школа, фойє
вул.Шкільна, 10, с.Олександрівка, Доманівський р-н, Миколаївська обл., 56455","392","212","387","21","159","21","180","","0","159","21","180","10","170","82","26","12","2","9","28","8","3","28.10.12"
"480258","131","Миколаївська область","сільський будинок культури, фойє
вул.Енгельса, 29, с.Зелений Яр, Доманівський р-н, Миколаївська обл., 56437","656","325","641","28","307","24","331","","0","307","24","331","14","317","105","89","24","1","15","67","8","8","29.10.12"
"480259","131","Миколаївська область","сільський будинок культури, фойє
вул.Леніна, 50Б, с.Вікторівка, Доманівський р-н, Миколаївська обл., 56439","304","131","300","24","151","22","173","","0","151","22","173","11","162","67","53","14","2","2","20","4","0","29.10.12"
"480260","131","Миколаївська область","сільський будинок культури, фойє
вул.Первомайська, 26, с.Зелений Гай, Доманівський р-н, Миколаївська обл., 56439","160","59","158","14","91","10","101","","0","91","10","101","3","98","26","33","4","1","15","13","5","1","29.10.12"
"480261","131","Миколаївська область","школа, фойє
вул.Піонерська, 2А, с.Коштове, Доманівський р-н, Миколаївська обл., 56440","184","72","178","17","98","14","112","","0","98","14","112","10","102","34","17","3","2","19","6","12","9","29.10.12"
"480262","131","Миколаївська область","школа, фойє
вул.Леніна, 45, с.Козубівка, Доманівський р-н, Миколаївська обл., 56450","576","286","560","39","251","39","290","","0","251","39","290","4","286","42","183","16","1","6","14","19","5","28.10.12"
"480263","131","Миколаївська область","сільський будинок культури, фойє
вул.Набережна, 14Б, с.Новокантакузівка, Доманівський р-н, Миколаївська обл., 56451","112","47","111","8","57","8","65","","0","57","8","65","7","58","10","33","2","0","4","6","2","1","29.10.12"
"480264","131","Миколаївська область","сільський будинок культури №1, фойє
вул.Радянська, 22, с.Маринівка, Доманівський р-н, Миколаївська обл., 56425","904","522","901","9","374","8","382","","0","374","8","382","23","359","100","102","17","7","28","35","16","54","29.10.12"
"480265","131","Миколаївська область","сільський будинок культури №2, фойє
вул.Радгоспна, 11, с.Маринівка, Доманівський р-н, Миколаївська обл., 56425","696","360","678","9","327","9","336","","0","327","9","336","21","315","115","104","19","4","9","45","10","9","28.10.12"
"480266","131","Миколаївська область","сільський будинок культури, фойє
вул.Гагаріна, 3, с.Воля, Доманівський р-н, Миколаївська обл., 56425","208","99","207","11","98","11","109","","0","98","11","109","3","106","25","41","3","4","6","17","2","8","28.10.12"
"480267","131","Миколаївська область","сільський будинок культури, фойє
вул.Леніна, 17, с.Мостове, Доманівський р-н, Миколаївська обл., 56470","1224","714","1212","24","490","20","510","","0","490","20","510","34","476","141","120","25","3","43","93","36","15","29.10.12"
"480268","131","Миколаївська область","школа, актова зала
вул.Миру, 19А, с.Олександрівка, Доманівський р-н, Миколаївська обл., 56465","376","191","375","0","185","0","185","","0","185","0","185","18","167","31","55","12","4","19","9","7","30","29.10.12"
"480269","131","Миколаївська область","сільська рада, актова зала
вул.Островського, 50, с.Прибужжя, Доманівський р-н, Миколаївська обл., 56445","768","395","766","26","347","26","373","","0","347","26","373","10","363","102","143","35","2","25","26","17","13","28.10.12"
"480270","131","Миколаївська область","школа, фойє
вул.Леніна, 52А, с.Прибужжя, Доманівський р-н, Миколаївська обл., 56445","760","401","754","34","329","30","359","","0","329","30","359","15","344","91","130","20","39","29","1","13","21","29.10.12"
"480271","131","Миколаївська область","сільський магазин, торгова зала
вул.Центральна, 23А, с.Анетівка, Доманівський р-н, Миколаївська обл., 56445","160","65","155","8","87","8","95","","0","87","8","95","7","88","12","44","5","1","1","7","2","16","29.10.12"
"480272","131","Миколаївська область","школа, фойє
вул.Центральна, 1, с.Суха Балка, Доманівський р-н, Миколаївська обл., 56460","568","283","565","28","257","28","285","","0","257","28","285","14","271","72","73","3","35","22","23","14","29","29.10.12"
"480273","131","Миколаївська область","сільський будинок культури, фойє
вул.Весела, 10, с.Лідіївка, Доманівський р-н, Миколаївська обл., 56462","360","195","359","7","158","7","165","","0","158","7","165","13","152","46","26","22","1","15","25","15","2","29.10.12"
"480274","131","Миколаївська область","ПП ""Урожай"", будинок культури, фойє
вул.Леніна, 16, с.Володимирівка, Доманівський р-н, Миколаївська обл., 56415","296","118","289","6","173","5","178","","0","173","5","178","13","165","38","46","3","4","28","24","12","10","29.10.12"
"480275","131","Миколаївська область","школа, фойє
вул.Шляхова, 24, с.Щасливка, Доманівський р-н, Миколаївська обл., 56415","360","143","351","20","201","16","217","","0","201","16","217","11","206","89","40","4","1","30","18","9","15","29.10.12"
"480276","131","Миколаївська область","сільський будинок культури, фойє
вул.Миру, 2А, с.Кузнецове, Доманівський р-н, Миколаївська обл., 56418","448","176","438","20","253","19","272","","0","253","19","272","15","257","76","78","15","3","14","27","17","27","29.10.12"
"480277","131","Миколаївська область","школа, фойє
вул.Шкільна, 2, с.Фрунзе, Доманівський р-н, Миколаївська обл., 56435","576","333","556","6","240","3","243","","0","240","3","243","15","228","96","49","21","3","13","32","7","7","28.10.12"
"480278","131","Миколаївська область","сільський будинок культури, фойє
вул.Центральна, 3, с.Олександродар, Доманівський р-н, Миколаївська обл., 56435","160","74","154","7","80","6","86","","0","80","6","86","3","83","32","15","1","0","2","27","4","2","29.10.12"
"480279","131","Миколаївська область","ПСП імені Щорса, контора, актова зала
вул.Радянська, 12, с.Царедарівка, Доманівський р-н, Миколаївська обл., 56429","448","153","435","28","270","25","295","","0","270","25","295","5","290","89","154","11","2","7","23","3","1","29.10.12"
"480280","131","Миколаївська область","школа, фойє
вул.Шкільна, 15, с.Копані, Доманівський р-н, Миколаївська обл., 56429","176","48","169","11","117","11","128","","0","117","11","128","1","127","53","63","1","0","0","8","1","1","29.10.12"
"480281","131","Миколаївська область","Центральна районна лікарня, поліклініка, актова зала
вул.Пигорова, 6, смт Доманівка, Доманівський р-н, Миколаївська обл., 56401","128","107","44","13","12","9","21","","0","12","9","21","0","21","5","9","1","0","0","4","2","0","29.10.12"
"480282","131","Миколаївська область","дитячий садок №4, ігрова кімната
вул.Карла Маркса, 49, смт Єланець, Єланецький р-н, Миколаївська обл., 55500","664","293","661","9","362","9","371","","0","362","9","371","14","357","19","152","15","2","48","84","21","16","28.10.12"
"480283","131","Миколаївська область","ЦКД ""Зоря"", вестибюль
вул.Карла Маркса, 121, смт Єланець, Єланецький р-н, Миколаївська обл., 55500","912","462","896","19","437","13","450","","0","437","13","450","25","425","16","174","7","2","65","107","31","23","28.10.12"
"480284","131","Миколаївська область","школа, кл.1
вул.50 років Жовтня, 5, смт Єланець, Єланецький р-н, Миколаївська обл., 55500","1744","802","1707","44","902","40","942","","0","902","40","942","40","902","40","404","16","9","144","146","100","43","29.10.12"
"480285","131","Миколаївська область","дитячий садок №2, ігрова кімната
вул.50 років Жовтня, 62/1, смт Єланець, Єланецький р-н, Миколаївська обл., 55500","976","398","962","13","571","7","578","","0","571","7","578","22","556","35","256","10","8","62","108","47","30","29.10.12"
"480286","131","Миколаївська область","сільський клуб, актовий зал
вул.Молодіжна, 17, с.Братолюбівка, Єланецький р-н, Миколаївська обл., 55508","248","100","238","9","140","8","148","","0","140","8","148","5","143","18","50","9","5","13","39","6","3","28.10.12"
"480287","131","Миколаївська область","школа, кл.4
вул.Перемоги, 16А, с.Велідарівка, Єланецький р-н, Миколаївська обл., 55500","256","81","253","6","171","4","175","","0","171","4","175","6","169","9","69","6","3","11","37","22","12","29.10.12"
"480288","131","Миколаївська область","сільський клуб, актовий зал
вул.Куйбишевська, 41, с.Нововолодимирівка, Єланецький р-н, Миколаївська обл., 55533","320","137","325","6","179","4","183","","0","179","4","183","18","165","10","83","7","2","21","27","12","3","29.10.12"
