"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Влащенко
Олександр
Володимирович","Воронцов
Михайло
Юрійович","Жолобецький
Олександр
Олександрович","Жук
Микола
Васильович","Мірошниченко
Олексій
Володимирович","Сторчеус
Віктор
Олександрович","Хобта
Лариса
Юріївна","Дата підписання протоколу"
"000001","129","Миколаївська область","
вул.Лагерне поле, 5, м. Миколаїв, 54030","1311","328","1013","7","976","7","983","","0","976","7","983","279","704","99","108","78","242","54","54","69","29.10.12"
"480308","129","Миколаївська область","будинок культури, музична гостинна
вул.Леніна, 62, смт Воскресенське, Жовтневий р-н, Миколаївська обл., 57210","2288","1296","2272","46","953","39","992","","0","953","39","992","78","914","12","121","219","422","34","32","74","29.10.12"
"480309","129","Миколаївська область","школа, їдальня
вул.Горького, 66, смт Воскресенське, Жовтневий р-н, Миколаївська обл., 57210","1600","939","1588","30","642","19","661","","0","642","19","661","70","591","8","85","134","280","41","17","26","29.10.12"
"480310","129","Миколаївська область","селищна рада, зала засідань
вул.Ювілейна, 9, смт Первомайське, Жовтневий р-н, Миколаївська обл., 57232","592","288","580","15","290","14","304","","0","290","14","304","10","294","4","24","73","172","7","7","7","29.10.12"
"480311","129","Миколаївська область","будинок культури, актова зала
вул.Ювілейна, 11, смт Первомайське, Жовтневий р-н, Миколаївська обл., 57232","2040","1058","2007","46","943","39","982","","0","943","39","982","36","946","9","80","223","595","14","4","21","29.10.12"
"480312","129","Миколаївська область","контора СТОВ ""Синтез"", зал засідань
вул.Шкільна, 10, с-ще Засілля, Жовтневий р-н, Миколаївська обл., 57233","592","276","593","13","305","11","316","","0","305","11","316","11","305","2","29","68","184","7","3","12","28.10.12"
"480313","129","Миколаївська область","школа, актова зала
вул.Шкільна, 1, с-ще Квітневе, Жовтневий р-н, Миколаївська обл., 57236","328","119","322","3","206","3","209","","0","206","3","209","2","207","0","12","36","143","0","1","15","29.10.12"
"480314","129","Миколаївська область","школа, актова зала
вул.Пушкіна, 14, с.Новоселівка, Жовтневий р-н, Миколаївська обл., 57237","352","168","346","13","173","11","184","","0","173","11","184","13","171","1","7","52","107","0","1","3","28.10.12"
"480315","129","Миколаївська область","школа, фойє
вул.Радянська, 61, с.Бармашове, Жовтневий р-н, Миколаївська обл., 57230","1176","499","1163","61","620","57","677","","0","620","57","677","16","661","5","31","101","494","9","2","19","29.10.12"
"480316","129","Миколаївська область","будинок культури, фойє
вул.Новоселів, 39, с.Галицинове, Жовтневий р-н, Миколаївська обл., 57286","2032","946","1996","50","1046","40","1086","","0","1046","40","1086","88","998","14","88","264","548","20","23","41","29.10.12"
"480317","129","Миколаївська область","школа, їдальня
вул.14 гвардійської дивізії, 3, с-ще Грейгове, Жовтневий р-н, Миколаївська обл., 57223","1352","664","1339","96","601","87","688","","0","601","87","688","29","659","4","68","182","336","13","17","39","29.10.12"
"480318","129","Миколаївська область","сільський клуб, актова зала
вул.Першотравнева, 21, с.Червоне, Жовтневий р-н, Миколаївська обл., 57226","376","179","370","4","195","2","197","","0","195","2","197","15","182","1","12","46","97","4","1","21","28.10.12"
"480319","129","Миколаївська область","школа, кабінет початкових класів, 1-й поверх
вул.Космонавтів, 23, с.Воровське, Жовтневий р-н, Миколаївська обл., 57223","224","95","222","7","127","2","129","","0","127","2","129","6","123","1","8","41","59","3","0","11","28.10.12"
"480320","129","Миколаївська область","школа, фойє
вул.Комсомольська, 1, с.Зелений Гай, Жовтневий р-н, Миколаївська обл., 57252","1032","440","1023","35","561","31","592","","0","561","31","592","42","550","5","61","129","292","11","5","47","28.10.12"
"480321","129","Миколаївська область","школа, фойє
вул.Фрунзе, 15, с.Калинівка, Жовтневий р-н, Миколаївська обл., 57212","1240","664","1218","36","544","32","576","","0","544","32","576","35","541","7","40","216","188","29","43","18","29.10.12"
"480322","129","Миколаївська область","лікарняна амбулаторія, фойє
вул.Фрунзе, 20, с.Калинівка, Жовтневий р-н, Миколаївська обл., 57212","1440","798","1414","36","608","34","642","","0","608","34","642","44","598","6","36","240","203","8","78","27","29.10.12"
"480323","129","Миколаївська область","сільська рада, сесійна зала, 2-й поверх
вул.Парникова, 1, с-ще Коларівка, Жовтневий р-н, Миколаївська обл., 57242","608","235","594","34","340","33","373","","0","340","33","373","16","357","1","45","64","208","6","4","29","29.10.12"
"480324","129","Миколаївська область","сільський клуб, актова зала
вул.Радгоспна, 1, с-ще Капустине, Жовтневий р-н, Миколаївська обл., 57243","464","219","456","13","234","11","245","","0","234","11","245","11","234","4","31","39","145","3","2","10","29.10.12"
"480325","129","Миколаївська область","сільський клуб, актова зала
вул.Мічуріна, 31, с-ще Зайчівське, Жовтневий р-н, Миколаївська обл., 57244","400","149","387","17","234","17","251","","0","234","17","251","7","244","2","24","71","133","5","0","9","28.10.12"
"480326","129","Миколаївська область","школа, хол
вул.Комарова, 21, с.Котляреве, Жовтневий р-н, Миколаївська обл., 57260","1776","1035","1750","16","731","10","741","","0","731","10","741","54","687","13","49","162","389","20","10","44","29.10.12"
"480327","129","Миколаївська область","будинок культури, фойє
вул.Фрунзе, 128, с.Лимани, Жовтневий р-н, Миколаївська обл., 57284","1760","895","1749","45","831","34","865","","0","831","34","865","102","763","7","116","137","404","38","18","43","29.10.12"
"480328","129","Миколаївська область","школа, фойє
вул.Шкільна, 19, с.Лупареве, Жовтневий р-н, Миколаївська обл., 57287","904","447","885","53","411","46","457","","0","411","46","457","35","422","5","34","109","240","10","8","16","29.10.12"
"480329","129","Миколаївська область","психоневрологічний інтернат, актова зала
вул.Проїжджа, 33, с.Лупареве, Жовтневий р-н, Миколаївська обл., 57287","136","29","131","67","40","67","107","","0","40","67","107","25","82","17","7","13","25","7","10","3","29.10.12"
"480330","129","Миколаївська область","школа, зала центральної рекреації
вул.Шкільна, 30, с.Михайло-Ларине, Жовтневий р-н, Миколаївська обл., 57222","1512","779","1504","40","698","35","733","","0","698","35","733","33","700","8","58","329","232","28","4","41","29.10.12"
"480331","129","Миколаївська область","дошкільний навчальний заклад №2, фойє
вул.Леніна, 2А, с-ще Пам’ять Комунарів, Жовтневий р-н, Миколаївська обл., 57216","1408","827","1383","6","578","3","581","","0","578","3","581","54","527","8","51","108","317","17","6","20","29.10.12"
"480332","129","Миколаївська область","Мішково-Погорілівська загально-освітня школа I-III ступенів, фойє
вул.В.Котика, 30, с.Мішково-Погорілове, Жовтневий р-н, Миколаївська обл., 57214","1952","1046","1922","9","897","9","906","","0","897","9","906","103","803","14","78","266","353","22","14","56","28.10.12"
"480333","129","Миколаївська область","бібліотека, читальна зала
вул.Куйбишева, 2, с.Мішково-Погорілове, Жовтневий р-н, Миколаївська обл., 57214","1672","929","1666","29","723","20","743","","0","723","20","743","49","694","10","54","119","464","25","11","11","28.10.12"
"480334","129","Миколаївська область","навчально-виховний комплекс, актова зала
вул.Зелена, 30, с.Мирне, Жовтневий р-н, Миколаївська обл., 57273","496","223","487","18","256","17","273","","0","256","17","273","13","260","1","27","76","122","3","7","24","29.10.12"
"480335","129","Миколаївська область","сільський клуб, кімната клубу ветеранів
вул.Радянська, 53, с.Миколаївське, Жовтневий р-н, Миколаївська обл., 57262","904","431","886","18","457","16","473","","0","457","16","473","33","440","4","25","62","320","6","3","20","29.10.12"
"480336","129","Миколаївська область","школа, фойє
вул.Гагаріна, 17, с.Новомиколаївка, Жовтневий р-н, Миколаївська обл., 57250","808","370","793","35","403","35","438","","0","403","35","438","25","413","2","43","78","256","7","4","23","29.10.12"
"480337","129","Миколаївська область","навчально-виховний комплекс, фойє
вул.Шкільна, 11, с.Костянтинівка, Жовтневий р-н, Миколаївська обл., 57251","256","87","256","9","161","8","169","","0","161","8","169","5","164","2","3","14","139","1","0","5","29.10.12"
"480338","129","Миколаївська область","сільський клуб, фойє
вул.Миру, 1, с.Партизанське, Жовтневий р-н, Миколаївська обл., 57240","448","218","443","16","214","16","230","","0","214","16","230","14","216","1","18","53","118","3","1","22","29.10.12"
"480339","129","Миколаївська область","сільський клуб, актова зала
вул.Леніна, 3, с.Комсомольське, Жовтневий р-н, Миколаївська обл., 57241","320","151","314","15","156","13","169","","0","156","13","169","10","159","1","25","45","67","7","3","11","29.10.12"
"480340","129","Миколаївська область","сільська рада, зала засідань
вул.Леніна, 154, с.Пересадівка, Жовтневий р-н, Миколаївська обл., 57220","1368","746","1351","24","600","22","622","","0","600","22","622","73","549","12","63","217","189","15","4","49","28.10.12"
"480341","129","Миколаївська область","школа, фойє
вул.Шевченка, 160, с.Пересадівка, Жовтневий р-н, Миколаївська обл., 57220","1168","630","1159","7","531","7","538","","0","531","7","538","46","492","9","67","227","123","30","13","23","29.10.12"
"480342","129","Миколаївська область","будинок культури, фойє
вул.Центральна, 17, с-ще Полігон, Жовтневий р-н, Миколаївська обл., 57217","2184","1124","2161","56","1014","46","1060","","0","1014","46","1060","67","993","12","175","299","427","26","13","41","29.10.12"
"480343","129","Миколаївська область","сільська рада, обрядова зала
вул.Леніна, 43, с.Прибузьке, Жовтневий р-н, Миколаївська обл., 57280","1224","616","1216","35","581","27","608","","0","581","27","608","42","566","4","28","117","380","13","10","14","28.10.12"
"480344","129","Миколаївська область","будинок культури, обрядова зала
вул.Леніна, 3, с.Українка, Жовтневий р-н, Миколаївська обл., 57281","896","376","882","29","491","29","520","","0","491","29","520","14","506","1","38","250","195","4","1","17","29.10.12"
