"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Бєліков
Юрій
Миколайович","Кисельов
Юрій
Анатолійович","Ложечкін
Вадим
Сергійович","Нагорний
Тимофій
Олександрович","Новиков
Станіслав
Олегович","Омельченко
Валерій
Павлович","Дата підписання протоколу"
"140908","55","Донецька область","школа №1, фойє, 1-й поверх
вул.Шкільна, 1А, м.Жданівка, Донецька обл., 86391","1568","350","1534","23","1197","21","1218","","0","1197","21","1218","18","1200","20","14","56","114","16","980","29.10.12"
"140909","55","Донецька область","школа №1, коридор, 2-й поверх
вул.Шкільна, 1А, м.Жданівка, Донецька обл., 86391","864","244","857","30","591","29","620","","0","591","29","620","16","604","9","5","23","89","10","468","29.10.12"
"140910","55","Донецька область","Центр культури і дозвілля, каб.39
вул.Шкільна, 8А, м.Жданівка, Донецька обл., 86391","2016","581","1976","61","1374","61","1435","","0","1374","61","1435","32","1403","29","4","82","139","20","1129","28.10.12"
"140911","55","Донецька область","школа мистецтв, концертна зала
вул.Кавченка, 8, м.Жданівка, Донецька обл., 86391","472","212","478","13","250","10","260","","0","250","10","260","15","245","11","1","19","36","5","173","29.10.12"
"140912","55","Донецька область","школа №2, фойє, 1-й поверх
вул.Больнична, 8, м.Жданівка, Донецька обл., 86391","2160","604","2105","69","1488","68","1556","","0","1488","68","1556","0","1556","19","6","96","177","24","1234","29.10.12"
"140913","55","Донецька область","школа №2, велика спортивна зала
вул.Больнична, 8, м.Жданівка, Донецька обл., 86391","2072","719","2027","101","1276","77","1353","","0","1276","77","1353","35","1318","25","15","120","228","13","917","29.10.12"
"140914","55","Донецька область","школа, каб.3
вул.Леніна, 28А, смт Вільхівка, м.Жданівка, Донецька обл., 86397","536","45","491","36","455","36","491","","0","455","36","491","3","488","17","4","37","29","2","399","28.10.12"
"140915","55","Донецька область","ККЛПЗ ""Облпсихлікарня м.Жданівка"", актова зала
вул.Больнична, 1, м.Жданівка, Донецька обл., 86391","408","99","309","170","139","170","309","","0","139","170","309","17","292","11","5","10","10","5","251","28.10.12"
"140916","55","Донецька область","Жданівська виправна колонія №3, їдальня засуджених
смт Вільхівка, м.Жданівка, Донецька обл., 86397","688","33","656","4","651","4","655","","0","651","4","655","38","617","47","21","31","15","21","482","28.10.12"
"140917","55","Донецька область","музична школа, концертна зала, 1-й поверх
вул.Леніна, 22, м.Кіровське, Донецька обл., 86300","1240","540","1232","31","670","30","700","","0","670","30","700","4","696","28","5","47","83","21","512","29.10.12"
"140918","55","Донецька область","школа №3, їдальня, 1-й поверх
вул.Піонерська, 1, м.Кіровське, Донецька обл., 86300","1552","683","1535","44","825","44","869","","0","825","44","869","28","841","21","9","85","86","29","611","29.10.12"
"140919","55","Донецька область","будинок дитячої творчості, актова зала, 1-й поверх
вул.Піонерська, 5, м.Кіровське, Донецька обл., 86300","1616","689","1610","57","870","57","927","","0","870","57","927","7","920","16","3","83","125","5","688","29.10.12"
"140920","55","Донецька область","профілакторій ""Донбас"", мала зала, 1-й поверх
вул.Першотравнева, 8, м.Кіровське, Донецька обл., 86300","1000","377","993","52","573","50","623","","0","573","50","623","17","606","8","5","46","63","14","470","29.10.12"
"140921","55","Донецька область","будинок культури, глядацька зала, 1-й поверх
пл.ім.С.М.Кірова, 1, м.Кіровське, Донецька обл., 86300","1512","648","1485","42","825","39","864","","0","825","39","864","27","837","24","7","82","83","30","611","29.10.12"
"140922","55","Донецька область","будинок культури, фойє, 1-й поверх
пл.ім.С.М.Кірова, 1, м.Кіровське, Донецька обл., 86300","1376","638","1353","44","697","41","738","","0","697","41","738","21","717","14","5","97","81","27","493","28.10.12"
"140923","55","Донецька область","школа №2, фойє, 1-й поверх
вул.Шахтарська, 22, м.Кіровське, Донецька обл., 86300","2216","1093","2165","34","1090","33","1123","","0","1090","33","1123","36","1087","37","14","90","124","39","783","29.10.12"
"140924","55","Донецька область","школа №2, фойє, 1-й поверх
вул.Шахтарська, 22, м.Кіровське, Донецька обл., 86300","1928","783","1894","37","1112","33","1145","","0","1112","33","1145","46","1099","39","9","97","74","43","837","29.10.12"
"140925","55","Донецька область","школа №1, фойє, 1-й поверх
мікрорайон Молодіжний, 3, м.Кіровське, Донецька обл., 86302","1936","974","1887","17","947","15","962","","0","947","15","962","38","924","39","8","109","141","29","598","29.10.12"
"140926","55","Донецька область","школа №1, фойє, 1-й поверх
мікрорайон Молодіжний, 3, м.Кіровське, Донецька обл., 86302","2240","1157","2216","18","1065","18","1083","","0","1065","18","1083","49","1034","36","9","87","130","28","744","29.10.12"
"140927","55","Донецька область","гуртожиток 1/2, банкетна зала, 1-й поверх
мікрорайон Молодіжний, 1/2, м.Кіровське, Донецька обл., 86302","2120","944","2079","28","1149","27","1176","","0","1149","27","1176","45","1131","42","12","86","104","34","853","29.10.12"
"140928","55","Донецька область","будинок-інтернат, вестибюль
вул.Східна, 70, м.Кіровське, Донецька обл., 86300","280","37","278","114","141","102","243","","0","141","102","243","53","190","18","8","20","9","15","120","29.10.12"
"140929","55","Донецька область","Кіровська виправна колонія №33, клас вечірнього навчання
вул.Дзержинського, 1, м.Кіровське, Донецька обл., 86300","1384","47","1337","0","1337","0","1337","","0","1337","0","1337","87","1250","48","24","46","96","30","1006","28.10.12"
"142016","55","Донецька область","школа №49 ""Надія"", хол, праве крило
Мирний мікрорайон, 15, м.Макіївка, Донецька обл., 86156","1272","666","1259","14","592","14","606","","0","592","14","606","25","581","31","24","65","90","35","336","29.10.12"
"142017","55","Донецька область","школа №49 ""Надія"", хол, ліве крило
Мирний мікрорайон, 15, м.Макіївка, Донецька обл., 86156","1240","674","1226","18","548","18","566","","0","548","18","566","28","538","30","21","65","69","36","317","28.10.12"
"142018","55","Донецька область","госпблок КП ""Макіївтепломережа"", актова зала
вул.Лебедєва, 72А, м.Макіївка, Донецька обл., 86156","2232","1186","2185","44","1003","43","1046","","0","1002","43","1045","51","994","35","31","112","138","47","631","29.10.12"
"142019","55","Донецька область","дитячий садок №80, музична зала
Зелений мікрорайон, 74А, м.Макіївка, Донецька обл., 86156","2040","979","1997","57","1004","57","1061","","0","1004","57","1061","30","1031","56","26","96","146","38","669","29.10.12"
"142020","55","Донецька область","терцентр, актова зала
Зелений мікрорайон, 31А, м.Макіївка, Донецька обл., 86156","1328","738","1304","29","561","29","590","","0","561","29","590","33","557","19","15","46","61","19","397","29.10.12"
"142021","55","Донецька область","школа №34, коридор, 1-й поверх, ліва сторона
Зелений мікрорайон, 80, м.Макіївка, Донецька обл., 86156","1976","1093","1945","18","868","15","883","","0","868","15","883","51","832","42","22","88","117","35","528","29.10.12"
"142022","55","Донецька область","школа №34, вестибюль
Зелений мікрорайон, 80, м.Макіївка, Донецька обл., 86156","2048","1032","2011","30","990","26","1016","","0","990","26","1016","47","969","62","43","114","124","46","580","29.10.12"
"142023","55","Донецька область","госпблок КП ""Житловик-3"", актова зала
Зелений мікрорайон, госпблок КП ""Житловик-3"", м.Макіївка, Донецька обл., 86156","1880","957","1816","14","909","14","923","","0","909","14","923","59","864","43","22","98","145","30","526","28.10.12"
"142024","55","Донецька область","школа №34, коридор, 1-й поверх, права сторона
Зелений мікрорайон, 80, м.Макіївка, Донецька обл., 86156","2000","963","1948","43","996","41","1037","","0","996","41","1037","60","977","65","37","120","149","33","573","29.10.12"
"142025","55","Донецька область","Палац культури ім.В.Кірсанової, хол, 2-й поверх, праве крило
вул.Сусаніна, 15А, м.Макіївка, Донецька обл., 86126","1280","631","1254","22","627","22","649","","0","627","22","649","34","615","23","9","57","80","21","425","28.10.12"
"142026","55","Донецька область","Палац культури ім.В.Кірсанової, хол, 2-й поверх, ліве крило
вул.Сусаніна, 15А, м.Макіївка, Донецька обл., 86126","1384","749","1365","60","577","58","635","","0","577","58","635","30","605","21","16","52","98","29","389","29.10.12"
"142027","55","Донецька область","Палац культури ім.В.Кірсанової, хол, 1-й поверх
вул.Сусаніна, 15А, м.Макіївка, Донецька обл., 86126","1400","619","1373","68","718","63","781","","0","718","63","781","42","739","33","16","62","110","24","494","29.10.12"
"142028","55","Донецька область","автобаза ""Макіїввугілля"", актова зала
просп.Данилова генерала, адмінбудинок ВАТ ""Автобаза ""Макіїввугілля"", м.Макіївка, Донецька обл., 86126","1320","767","1298","32","523","30","553","","0","523","30","553","26","527","37","12","48","68","24","338","29.10.12"
"142029","55","Донецька область","школа №86, хол
просп.Данилова генерала, 43, м.Макіївка, Донецька обл., 86126","1616","862","1584","27","727","27","754","","0","727","27","754","39","715","7","15","18","26","21","628","29.10.12"
"142030","55","Донецька область","ВАТ ""Полюс"", актова зала
пров.Автобусний, 1, м.Макіївка, Донецька обл., 86126","1384","670","1378","45","671","43","714","","0","671","43","714","30","684","30","18","44","82","18","492","29.10.12"
"142031","55","Донецька область","школа №50, хол, 1-й поверх, праве крило
Зелений мікрорайон, 83, м.Макіївка, Донецька обл., 86156","2024","1060","1974","32","936","28","964","","0","936","28","964","46","918","40","24","121","186","45","502","29.10.12"
"142032","55","Донецька область","дитячий садок №193, музична зала
Зелений мікрорайон, 22А, м.Макіївка, Донецька обл., 86156","1512","797","1468","36","679","36","715","","0","679","36","715","43","672","28","25","66","106","31","416","29.10.12"
"142033","55","Донецька область","школа №50, хол, 1-й поверх, ліве крило
Зелений мікрорайон, 83, м.Макіївка, Донецька обл., 86156","1000","469","983","14","517","14","531","","0","516","14","530","27","503","39","15","58","66","16","309","29.10.12"
"142034","55","Донецька область","школа №50, к.112
Зелений мікрорайон, 83, м.Макіївка, Донецька обл., 86156","1272","656","1236","10","606","10","616","","0","606","10","616","49","567","29","26","57","115","29","311","28.10.12"
"142035","55","Донецька область","школа №50, вестибюль, 1-й поверх
Зелений мікрорайон, 83, м.Макіївка, Донецька обл., 86156","1840","996","1801","16","828","16","844","","0","828","16","844","52","792","41","22","81","134","27","487","29.10.12"
"142036","55","Донецька область","ВАТ ""Донбасшахтобуд"", актова зала
вул.Городецька, 91, м.Макіївка, Донецька обл., 86111","1520","877","1483","30","613","30","643","","0","613","30","643","31","612","31","17","87","85","14","378","28.10.12"
"142037","55","Донецька область","дитячий садок №95, музична зала
вул.Черкаська, 1, м.Макіївка, Донецька обл., 86111","1160","553","1138","25","586","21","607","","0","586","21","607","32","575","24","22","41","71","10","407","29.10.12"
"142038","55","Донецька область","школа №95, хол
вул.Городецька, 1, м.Макіївка, Донецька обл., 86111","1360","621","1329","46","693","46","739","","0","693","46","739","39","700","32","35","81","51","23","478","29.10.12"
"142039","55","Донецька область","ВАТ """"Центральна збагачувальна фабрика ""Пролетарська"", актова зала
вул.Янки Купали, 1, м.Макіївка, Донецька обл., 86111","1976","1150","1934","56","774","52","826","","0","774","52","826","31","795","49","9","62","58","15","602","29.10.12"
