"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Асєєв
Олег
Анатолійович","Білий
Олексій
Петрович","Гудзюк
Сергій
Степанович","Дейнєс
Віталій
Геннадійович","Конишев
Геннадій
Аркадійович","Красновський
Сергій
Борисович","Решетняк
Ігор
Миколайович","Тіхонова
Лілія
Валентинівна","Дата підписання протоколу"
"000001","58","Донецька область","
вул.Італійська, 86, м.Маріуполь, Донецька обл., 87500","48","27","21","0","21","0","21","","0","21","0","21","2","19","2","14","0","1","1","1","0","0","28.10.12"
"000002","58","Донецька область","
судно ""Андрій Упит""","0","1","17","0","17","0","17","","0","17","0","17","1","16","3","5","2","2","0","1","1","2","28.10.12"
"000003","58","Донецька область","
судно ""Ю. Двужильний""","0","1","4","0","4","0","4","","0","4","0","4","0","4","0","4","0","0","0","0","0","0","28.10.12"
"000004","58","Донецька область","
судно ""Механік Юзвович""","0","1","19","0","19","0","19","","0","19","0","19","1","18","3","13","0","1","0","1","0","0","28.10.12"
"142227","58","Донецька область","школа №17, актова зала
вул.Грецька, 219, м.Маріуполь, Донецька обл., 87507","1144","562","1130","22","560","22","582","","0","560","22","582","27","555","36","328","9","106","6","12","49","9","29.10.12"
"142228","58","Донецька область","школа №17, актова зала
вул.Грецька, 219, м.Маріуполь, Донецька обл., 87507","1136","641","1139","18","477","18","495","","0","477","18","495","19","476","34","300","9","74","7","12","28","12","29.10.12"
"142229","58","Донецька область","школа №36, хол, праве крило, 1-й поверх
вул.Артема, 140, м.Маріуполь, Донецька обл., 87549","1640","790","1611","16","836","14","850","","0","836","14","850","49","801","75","376","17","172","17","24","89","31","29.10.12"
"142230","58","Донецька область","школа №36, хол, ліве крило, 1-й поверх
вул.Артема, 140, м.Маріуполь, Донецька обл., 87549","1656","740","1626","10","906","10","916","","0","906","10","916","35","881","63","426","12","208","31","25","91","25","29.10.12"
"142231","58","Донецька область","школа №36, хол, 2-й поверх
вул.Артема, 140, м.Маріуполь, Донецька обл., 87549","1280","744","1269","9","528","8","536","","0","528","8","536","22","514","44","271","12","98","11","21","42","15","29.10.12"
"142232","58","Донецька область","школа №16, хол
прсп.Металургів, 121А, м.Маріуполь, Донецька обл., 87549","2192","936","2148","21","1241","15","1256","","0","1241","15","1256","60","1196","135","575","16","236","29","40","136","29","29.10.12"
"142233","58","Донецька область","школа №11, хол, 2-й поверх
вул.Артема, 95, м.Маріуполь, Донецька обл., 87549","2088","1058","2076","19","1014","16","1030","","0","1014","16","1030","53","977","92","500","16","192","20","38","96","23","29.10.12"
"142234","58","Донецька область","школа №11, хол, 1-й поверх
вул.Артема, 95, м.Маріуполь, Донецька обл., 87549","1392","602","1375","18","774","16","790","","0","774","16","790","26","764","86","364","14","161","19","15","86","19","29.10.12"
"142235","58","Донецька область","КЗ ""Будинок вчителя управління освіти Маріупольської міської ради "", хол
вул.Євпаторійська, 56, м.Маріуполь, Донецька обл., 87515","2311","1176","2277","11","1124","11","1135","","0","1124","11","1135","62","1073","141","511","19","207","29","17","128","21","29.10.12"
"142236","58","Донецька область","ТОВ ""Завод Пожзахист"", актова зала
вул.Торгова, 9, м.Маріуполь, Донецька обл., 87515","2424","1361","2400","41","1025","38","1063","","0","1024","38","1062","45","1017","87","511","13","224","22","21","114","25","29.10.12"
"142237","58","Донецька область","міський центр художньо-естетичної творчості учнівської молоді, хол
просп.Металургів, 19, м.Маріуполь, Донецька обл., 87500","1208","508","1197","16","685","15","700","","0","685","15","700","38","662","69","314","6","135","18","14","97","9","29.10.12"
"142238","58","Донецька область","технічний ліцей-школа, хол
вул.Пушкіна, 51, м.Маріуполь, Донецька обл., 87515","1208","554","1186","20","636","18","654","","0","636","18","654","31","623","66","269","12","141","14","14","89","18","29.10.12"
"142239","58","Донецька область","КЗ ""Міський ліцей"", хол
просп.Леніна, 79, м.Маріуполь, Донецька обл., 87500","2376","1019","2345","28","1331","26","1357","","0","1331","26","1357","60","1297","139","633","14","246","42","30","163","30","29.10.12"
"142240","58","Донецька область","професійний ліцей ДВНЗ ""ПДТУ"", хол
просп.Металургів, 54, м.Маріуполь, Донецька обл., 87500","1688","870","1674","26","793","25","818","","0","793","25","818","29","789","84","350","16","166","29","20","101","23","29.10.12"
"142241","58","Донецька область","Маріупольський коледж ДВНЗ ""ПДТУ"", хол
вул.Георгіївська, 69 м.Маріуполь, Донецька обл., 87532","768","326","766","19","424","18","442","","0","424","18","442","21","421","33","217","8","91","11","8","47","6","28.10.12"
"142242","58","Донецька область","ПК ""Молодіжний"", хол
вул.Харлампіївська, 17/25, м.Маріуполь, Донецька обл., 87500","2160","1082","2136","22","1056","22","1078","","0","1056","22","1078","49","1029","99","481","13","207","29","27","152","21","29.10.12"
"142243","58","Донецька область","колегіум-школа №1, хол
вул.Грецька, 44, м.Маріуполь, Донецька обл., 87515","1400","604","1391","15","781","15","796","","0","781","15","796","23","773","105","336","14","175","15","17","100","11","29.10.12"
"142244","58","Донецька область","школа №9, спортивний зал
бульв.Богдана Хмельницького, 22, м.Маріуполь, Донецька обл., 87500","1976","848","1951","36","1095","33","1128","","0","1093","33","1126","36","1090","88","514","20","218","30","42","147","31","29.10.12"
"142245","58","Донецька область","школа №9, хол
бульв.Богдана Хмельницького, 22, м.Маріуполь, Донецька обл., 87500","1640","689","1621","36","918","33","951","","0","918","33","951","43","908","82","471","12","187","19","27","96","14","29.10.12"
"142246","58","Донецька область","спеціалізована школа №3, хол
вул.Апатова, 132, м.Маріуполь, Донецька обл., 87500","1728","749","1715","25","957","22","979","","0","957","22","979","43","936","85","424","16","180","46","40","112","33","29.10.12"
"142247","58","Донецька область","школа №7, хол, праве крило
вул.Леваневського, 7, м.Маріуполь, Донецька обл., 87500","1456","602","1451","14","841","13","854","","0","841","13","854","24","830","76","396","5","171","17","24","122","19","29.10.12"
"142248","58","Донецька область","школа №7, хол, ліве крило
вул.Леваневського, 7, м.Маріуполь, Донецька обл., 87500","1920","802","1891","16","1107","11","1118","","0","1106","11","1117","46","1071","93","505","20","225","16","22","159","31","29.10.12"
"142249","58","Донецька область","школа №65, рекреація
вул.Казанцева, 25А, м.Маріуполь, Донецька обл., 87515","2288","1052","2249","28","1209","27","1236","","0","1209","27","1236","61","1175","124","576","20","244","26","36","128","21","29.10.12"
"142250","58","Донецька область","школа №65, хол
вул.Казанцева, 25А, м.Маріуполь, Донецька обл., 87515","1552","676","1542","20","857","19","876","","0","857","19","876","38","838","85","406","14","182","25","17","93","16","29.10.12"
"142251","58","Донецька область","центр професійно-технічної освіти, зал-кабінет 5
вул.Митрополитська, 61, м.Маріуполь, Донецька обл., 87500","1272","530","1266","4","738","4","742","","0","738","4","742","40","702","54","375","14","131","19","17","73","19","29.10.12"
"142252","58","Донецька область","спеціалізована школа №66, хол, праве крило
просп.Металургів, 75, м.Маріуполь, Донецька обл., 87539","2216","900","2171","13","1305","11","1316","","0","1304","11","1315","57","1258","130","614","15","262","24","29","151","33","29.10.12"
"142253","58","Донецька область","спеціалізована школа №66, хол, ліве крило
просп.Металургів, 75, м.Маріуполь, Донецька обл., 87539","2384","1046","2367","20","1322","16","1338","","0","1321","16","1337","43","1294","147","569","26","296","27","32","160","37","29.10.12"
"142254","58","Донецька область","школа №9, хол
бульв.Богдана Хмельницького, 22, м.Маріуполь, Донецька обл., 87500","2152","900","2126","65","1192","60","1252","","0","1192","60","1252","39","1213","97","661","20","246","19","30","116","24","29.10.12"
"142255","58","Донецька область","санаторна школа-інтернат №3, спортивний зал
вул.Бахчиванджи, 29, м.Маріуполь, Донецька обл., 87534","2112","985","2093","49","1080","47","1127","","0","1080","47","1127","42","1085","99","516","18","217","25","53","123","34","29.10.12"
"142256","58","Донецька область","санаторна школа-інтернат №3, спортивний зал
вул.Бахчиванджи, 29, м.Маріуполь, Донецька обл., 87534","2184","1004","2158","45","1137","43","1180","","0","1137","43","1180","50","1130","87","578","14","224","22","40","138","27","29.10.12"
"142257","58","Донецька область","санаторна школа-інтернат №3, спортивний зал
вул.Бахчиванджи, 29, м.Маріуполь, Донецька обл., 87534","2088","933","2062","49","1111","44","1155","","0","1111","44","1155","50","1105","93","531","19","226","42","47","120","27","29.10.12"
"142258","58","Донецька область","ККП ""Маріупольтепломережа"", актова зала
вул.Гризодубової, 1, м.Маріуполь, Донецька обл., 87534","1088","522","1077","3","563","3","566","","0","563","3","566","26","540","76","201","13","94","15","31","98","12","29.10.12"
"142259","58","Донецька область","центр дитячої-юнацької творчості ""Славутич"", зал школи раннього розвитку
вул.Купріна, 9А, м.Маріуполь, Донецька обл., 87537","2480","993","2447","20","1469","18","1487","","0","1469","18","1487","40","1447","80","969","14","159","24","49","129","23","29.10.12"
"142260","58","Донецька область","школа №25, хол, праве крило, 1-й поверх
вул.Зелінського, 108А, м.Маріуполь, Донецька обл., 87537","2320","1027","2270","22","1272","21","1293","","0","1272","21","1293","48","1245","90","656","21","242","40","39","124","33","29.10.12"
"142261","58","Донецька область","школа №25, хол, ліве крило, 1-й поверх
вул.Зелінського, 108А, м.Маріуполь, Донецька обл., 87537","2352","959","2310","20","1374","19","1393","","0","1374","19","1393","83","1310","118","690","24","235","35","30","143","35","29.10.12"
"142262","58","Донецька область","школа №25, хол, праве крило, 2-й поверх
вул.Зелінського, 108А, м.Маріуполь, Донецька обл., 87537","2272","917","2256","27","1330","25","1355","","0","1330","25","1355","53","1302","103","754","30","208","23","34","125","25","29.10.12"
"142263","58","Донецька область","школа №18, хол, ліве крило
пров.Трамвайний, 22, м.Маріуполь, Донецька обл., 87548","2352","1015","2319","32","1307","30","1337","","0","1307","30","1337","64","1273","100","662","19","261","25","35","139","32","29.10.12"
"142264","58","Донецька область","школа №18, хол, праве крило
пров.Трамвайний, 22, м.Маріуполь, Донецька обл., 87548","2208","917","2189","14","1277","14","1291","","0","1277","14","1291","54","1237","126","606","20","260","20","35","148","22","29.10.12"
"142265","58","Донецька область","ТОВ ""Український інститут сталевих конструкцій ім.В.М.Шимановського, хол
вул.Карла Лібкнехта, 177, м.Маріуполь, Донецька обл., 87547","1064","456","1061","11","598","10","608","","0","598","10","608","32","576","60","273","6","99","13","15","96","14","29.10.12"
"142266","58","Донецька область","гімназія №27, хол
вул.50 років СРСР, 56, м.Маріуполь, Донецька обл., 87547","2160","860","2135","41","1264","36","1300","","0","1264","36","1300","57","1243","110","590","20","273","34","37","144","35","29.10.12"
"142267","58","Донецька область","гімназія №27, рекреація
вул.50 років СРСР, 56, м.Маріуполь, Донецька обл., 87547","1736","763","1722","24","950","23","973","","0","950","23","973","30","943","78","471","7","187","18","34","118","30","29.10.12"
"142268","58","Донецька область","школа №52, спортивний зал
вул.50 років СРСР, 57, м.Маріуполь, Донецька обл., 87547","2304","928","2280","27","1353","23","1376","","0","1353","23","1376","60","1316","140","653","34","246","30","34","146","33","29.10.12"
"142269","58","Донецька область","школа №52, спортивний зал
вул.50 років СРСР, 57, м.Маріуполь, Донецька обл., 87547","2400","1104","2364","27","1270","26","1296","","0","1270","26","1296","52","1244","93","649","25","263","26","38","125","25","29.10.12"
"142270","58","Донецька область","школа №52, вестибюль
вул.50 років СРСР, 57, м.Маріуполь, Донецька обл., 87547","2440","1082","2409","32","1326","32","1358","","0","1326","32","1358","49","1309","141","666","23","217","30","27","169","36","29.10.12"
"142271","58","Донецька область","технікум Донецького національного університету економіки і торгівлі, хол
вул.Матросова, 7, м.Маріуполь, Донецька обл., 87528","1312","689","1293","5","619","4","623","","0","619","4","623","25","598","51","268","21","124","6","22","88","18","29.10.12"
"142272","58","Донецька область","школа №64, хол, праве крило, 1-й поверх
вул.Урицького, 92А, м.Маріуполь, Донецька обл., 87554","1984","851","1956","27","1108","25","1133","","0","1108","25","1133","68","1065","97","555","18","198","19","32","111","35","29.10.12"
"142273","58","Донецька область","школа №64, хол, ліве крило, 1-й поверх
вул.Урицького, 92А, м.Маріуполь, Донецька обл., 87554","2256","933","2214","13","1312","11","1323","","0","1312","11","1323","48","1275","88","699","28","252","35","39","110","24","29.10.12"
"142274","58","Донецька область","школа №64, хол, праве крило, 2- поверх
вул.Урицького, 92А, м.Маріуполь, Донецька обл., 87554","2159","964","2113","16","1180","15","1195","","0","1180","15","1195","61","1134","103","575","23","202","34","45","123","29","29.10.12"
"142275","58","Донецька область","школа №64, хол, ліве крило, 2-й поверх
вул.Урицького, 92А, м.Маріуполь, Донецька обл., 87554","2032","949","1984","22","1063","20","1083","","0","1063","20","1083","43","1040","54","603","21","177","13","32","108","32","29.10.12"
