"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Асєєв
Ігор
Анатолійович","Забавін
Дмитро
В’ячеславович","Матвієнков
Сергій
Анатолійович","Мороз
Анатолій
Михайлович","Пуговкін
Дмитро
Юрійович","Романюк
Олександр
Володимирович","Щербаков
Сергій
Андрійович","Яременко
Микола
Дмитрович","Дата підписання протоколу"
"142326","57","Донецька область","школа №50, хол, ліворуч
вул.Невська, 91, м.Маріуполь, Донецька обл., 87519","1752","908","1732","28","820","24","844","","0","820","24","844","43","801","27","9","440","8","260","43","5","9","29.10.12"
"142327","57","Донецька область","школа №43, хол
вул.Арктики, 10, м.Маріуполь, Донецька обл., 87508","2144","1089","2112","27","1028","27","1055","","0","1028","27","1055","52","1003","44","13","619","21","250","45","3","8","29.10.12"
"142328","57","Донецька область","школа №45, хол, праворуч, 1-й поверх
вул.Войкова, 31А, м.Маріуполь, Донецька обл., 87552","640","298","643","14","331","11","342","","0","331","11","342","12","330","6","3","234","7","66","11","2","1","28.10.12"
"142329","57","Донецька область","школа №45, хол, ліворуч, 2-й поверх
вул.Войкова, 31А, м.Маріуполь, Донецька обл., 87552","1192","568","1165","24","600","24","624","","0","600","24","624","35","589","23","3","383","15","110","39","4","12","29.10.12"
"142330","57","Донецька область","Металургійне професійне училище №99, хол
пров.Єрмака, 31, м.Маріуполь, Донецька обл., 87552","1288","640","1253","11","638","10","648","","0","638","10","648","25","623","35","7","417","9","109","35","5","6","29.10.12"
"142331","57","Донецька область","Дитячий центр""Приазов’я"", актова зала, праворуч
вул.Курчатова, 37, м.Маріуполь, Донецька обл., 87551","1288","630","1270","5","655","3","658","","0","655","3","658","26","632","42","5","432","11","94","36","3","9","28.10.12"
"142332","57","Донецька область","Дитячий центр""Приазов’я"", актова зала, ліворуч
вул.Курчатова, 37, м.Маріуполь, Донецька обл., 87551","976","417","961","4","556","3","559","","0","556","3","559","24","535","14","5","361","10","100","28","4","13","28.10.12"
"142333","57","Донецька область","Дошкільний навчальний заклад №128, актова зала
вул.Машинобудівна, 90, м.Маріуполь, Донецька обл., 87551","1632","770","1607","4","858","4","862","","0","858","4","862","51","811","42","14","535","22","143","39","4","12","29.10.12"
"142334","57","Донецька область","школа №24, хол
проїзд Шопена, 4, м.Маріуполь, Донецька обл., 87520","1536","737","1516","22","779","20","799","","0","779","20","799","35","764","53","6","453","17","177","50","4","4","29.10.12"
"142335","57","Донецька область","школа №47, хол, праворуч
вул.Лута, 32, м.Маріуполь, Донецька обл., 87520","1752","815","1719","39","899","38","937","","0","899","38","937","49","888","43","17","620","25","119","46","8","10","29.10.12"
"142336","57","Донецька область","школа №47, хол, ліворуч
вул.Лута, 32, м.Маріуполь, Донецька обл., 87520","1008","465","978","23","522","21","543","","0","522","21","543","22","521","20","7","350","9","84","41","2","8","29.10.12"
"142337","57","Донецька область","школа №47, спортивний зал, ліворуч
вул.Лута, 32, м.Маріуполь, Донецька обл., 87520","864","357","857","12","498","9","507","","0","498","9","507","17","490","22","3","325","16","86","27","2","9","29.10.12"
"142338","57","Донецька область","школа №47, спортивний зал, праворуч
вул.Лута, 32, м.Маріуполь, Донецька обл., 87520","1392","693","1370","16","683","16","699","","0","683","16","699","25","674","36","8","467","16","99","36","2","10","29.10.12"
"142339","57","Донецька область","школа-інтернат №2, хол, праворуч, 2-й поверх
пров.Космічний, 1, м.Маріуполь, Донецька обл., 87551","1120","556","1091","17","549","15","564","","0","549","15","564","33","531","29","4","356","9","86","40","1","6","29.10.12"
"142340","57","Донецька область","школа-інтернат №2, хол, ліворуч, 2-й поверх
пров.Космічний, 1, м.Маріуполь, Донецька обл., 87551","1472","727","1445","10","736","9","745","","0","736","9","745","34","711","49","9","461","12","121","45","3","11","28.10.12"
"142341","57","Донецька область","школа №30, хол
вул.Дністровська, 35, м.Маріуполь, Донецька обл., 87551","2144","1049","2088","13","1082","13","1095","","0","1082","13","1095","59","1036","78","9","704","25","157","53","2","8","28.10.12"
"142342","57","Донецька область","школа №39, хол, праворуч
вул.Брестська, 38, м.Маріуполь, Донецька обл., 87509","1272","651","1253","31","597","24","621","","0","597","24","621","32","589","36","2","397","8","85","49","7","5","29.10.12"
"142343","57","Донецька область","школа №39, хол, ліворуч
вул.Брестська, 38, м.Маріуполь, Донецька обл., 87509","1544","728","1516","39","781","35","816","","0","781","35","816","46","770","48","11","523","18","114","40","6","10","29.10.12"
"142344","57","Донецька область","Палац культури ім.Т.Каци, зал
вул.Челюскінцев, 67, смт Сартана, м.Маріуполь, Донецька обл., 87592","2416","1147","2386","53","1218","51","1269","","0","1218","51","1269","57","1212","45","11","809","21","251","46","9","20","29.10.12"
"142345","57","Донецька область","школа №8, хол
вул.Генерала Куркчи, 37, смт Сартана, м.Маріуполь, Донецька обл., 87592","2472","1170","2467","66","1244","58","1302","","0","1244","58","1302","49","1253","52","11","816","34","248","70","5","17","29.10.12"
"142346","57","Донецька область","Професійний аграрний ліцей, хол
вул.Генерала Куркчи, 49, смт Сартана, м.Маріуполь, Донецька обл., 87592","2256","1070","2243","51","1140","46","1186","","0","1140","46","1186","65","1121","37","20","737","27","227","54","5","14","29.10.12"
"142347","57","Донецька область","Клуб смт Талаківка, хол
вул.ХХ Партз’їзду, 33, смт Талаківка, м.Маріуполь, Донецька обл., 87594","1296","614","1283","24","667","15","682","","0","667","15","682","32","650","36","13","455","32","75","23","7","9","29.10.12"
"142348","57","Донецька область","школа №58, хол
вул.40 років Жовтня, 170, смт Талаківка, м.Маріуполь, Донецька обл., 87594","1720","779","1694","44","902","39","941","","0","902","39","941","36","905","41","16","648","26","131","34","5","4","29.10.12"
"142349","57","Донецька область","Контора дільниці №3 агроцеха, червоний куток
вул.Виноградна, 23А, с.Гнутове, м.Маріуполь, Донецька обл., 87594","432","152","438","13","267","13","280","","0","267","13","280","9","271","5","1","224","3","21","17","0","0","29.10.12"
"142350","57","Донецька область","Комунальний заклад ""Міська лікарня №5 м.Маріуполя"", хол
вул.Менжинського, 54, м.Маріуполь, Донецька обл., 87535","176","51","126","22","103","22","125","","0","103","22","125","4","121","3","2","72","12","18","8","3","3","28.10.12"
"142351","57","Донецька область","Комунальний заклад ""Міська лікарня №8"", хол
вул.Левченка, 4, м.Маріуполь, Донецька обл., 87504","72","18","55","0","54","0","54","","0","54","0","54","4","50","1","2","28","1","11","5","1","1","28.10.12"
"142352","57","Донецька область","Комунальний заклад ""Маріупольська міська лікарня №1"", хол
вул.Бодрова, 2, м.Маріуполь, Донецька обл., 87504","304","87","221","79","140","77","217","","0","140","77","217","13","204","10","4","118","12","43","12","3","2","28.10.12"
"142353","57","Донецька область","Комунальний заклад ""Пологовий будинок №1 м.Маріуполь"", хол
вул.Металургійна, 1, м.Маріуполь, Донецька обл., 87520","96","35","61","0","61","0","61","","0","61","0","61","4","57","5","1","33","2","7","6","1","2","28.10.12"
"142354","57","Донецька область","Маріупольський виправний центр №138, актова зала
вул.Каменська, 71, м.Маріуполь, Донецька обл., 87527","376","12","367","0","364","0","364","","0","364","0","364","3","361","14","5","289","11","19","10","3","10","29.10.12"
"142355","57","Донецька область","Приазовська виправна колонія №107, библіотека
пров.Уральський, 61, м.Маріуполь, Донецька обл., 87519","488","25","465","0","463","0","463","","0","463","0","463","1","462","2","2","449","2","3","3","1","0","29.10.12"
"142356","57","Донецька область","санаторій профілакторій публічного акціонерного товариства ""МК"" ""Азовсталь"", вестибюль
вул.Виноградна, 1, м.Маріуполь, Донецька обл., 87541","624","316","629","1","307","1","308","","0","307","1","308","22","286","25","10","140","24","55","22","1","9","28.10.12"
"142357","57","Донецька область","Маріупольський професійний ліцей №52, ІІ корпус, вестибюль
вул.Воїнів-визволителів, 1, м.Маріуполь, Донецька обл., 87541","1536","755","1520","18","767","14","781","","0","767","14","781","27","754","86","16","385","35","128","84","6","14","29.10.12"
"142358","57","Донецька область","Маріупольський професійний ліцей №52, І корпус, вестибюль
вул.Воїнів-визволителів, 8, м.Маріуполь, Донецька обл., 87541","1768","775","1752","11","984","9","993","","0","984","9","993","59","934","61","19","515","66","180","68","8","17","29.10.12"
"142359","57","Донецька область","гімназія №1, вестибюль, ліве крило, 1-й поверх
вул.Воїнів-визволителів, 92, м.Маріуполь, Донецька обл., 87529","2304","998","2290","9","1298","8","1306","","0","1298","8","1306","67","1239","108","22","697","60","194","120","13","25","29.10.12"
"142360","57","Донецька область","гімназія №1, вестибюль, по центру, 1-й поверх
вул.Воїнів-визволителів, 92, м.Маріуполь, Донецька обл., 87529","2056","929","2029","7","1121","6","1127","","0","1121","6","1127","46","1081","73","23","600","60","185","16","91","33","29.10.12"
"142361","57","Донецька область","КЗ ""Міський Палац культури"", вестибюль, по центру, 2-й поверх
вул.Азовстальська, 13, м.Маріуполь, Донецька обл., 87536","1128","610","1118","12","509","9","518","","0","509","9","518","34","484","59","4","255","17","80","55","2","12","29.10.12"
"142362","57","Донецька область","школа №10, вестибюль, праве крило, 1-й поверх
вул.Азовстальська, 53, м.Маріуполь, Донецька обл., 87541","1176","483","1169","15","680","13","693","","0","680","13","693","27","666","47","10","359","45","126","65","3","11","29.10.12"
"142363","57","Донецька область","школа №10, вестибюль, праве крило, 2-й поверх
вул.Азовстальська, 53, м.Маріуполь, Донецька обл., 87541","1688","694","1676","12","982","12","994","","0","982","12","994","36","958","55","21","595","53","136","76","7","15","29.10.12"
"142364","57","Донецька область","школа №10, вестибюль, ліве крило, 2-й поверх
вул.Азовстальська, 53, м.Маріуполь, Донецька обл., 87541","1624","706","1600","25","901","17","918","","0","901","17","918","33","885","65","22","523","53","132","64","8","18","29.10.12"
"142365","57","Донецька область","школа №12, вестибюль, ліве крило, 1-й поверх
вул.Азовстальська, 32, м.Маріуполь, Донецька обл., 87516","1712","770","1692","24","920","22","942","","0","920","22","942","43","899","72","16","472","60","169","85","6","19","29.10.12"
"142366","57","Донецька область","школа №12, вестибюль, праве крило, 2-й поверх
вул.Азовстальська, 32, м.Маріуполь, Донецька обл., 87516","1816","842","1797","37","940","34","974","","0","940","34","974","40","934","83","19","479","71","170","95","6","11","29.10.12"
"142367","57","Донецька область","школа №56, вестибюль, ліве крило, 1-й поверх
бульв.Комсомольський, 8, м.Маріуполь, Донецька обл., 87536","1880","818","1872","49","1019","43","1062","","0","1019","43","1062","41","1021","51","14","594","75","178","74","15","20","29.10.12"
"142368","57","Донецька область","школа №56, вестибюль, праве крило, 1-й поверх
бульв.Комсомольський, 8, м.Маріуполь, Донецька обл., 87536","1856","799","1853","27","1032","25","1057","","0","1032","25","1057","39","1018","75","10","591","69","172","72","9","20","29.10.12"
"142369","57","Донецька область","господарський цех публічного акціонерного товариства ""МК ""Азовсталь"", вестибюль
пров.Банний, 2, м.Маріуполь, Донецька обл., 87505","1872","1164","1467","19","692","16","708","","0","692","16","708","24","684","46","17","410","35","115","47","4","10","29.10.12"
"142370","57","Донецька область","гуртожиток Маріупольського будівельного коледжу, вестибюль, 1-й поверх
вул.Азовстальська, 27, м.Маріуполь, Донецька обл., 87536","1944","942","1922","28","977","25","1002","","0","977","25","1002","53","949","64","27","525","71","163","62","15","22","29.10.12"
"142371","57","Донецька область","школа №55, вестибюль, ліве крило, 1-й поверх
вул.Волгодонська, 13, м.Маріуполь, Донецька обл., 87516","1136","521","1127","17","600","15","615","","0","600","15","615","19","596","30","13","326","61","117","36","5","8","29.10.12"
"142372","57","Донецька область","школа №55, вестибюль, ліве крило, 2-й поверх
вул.Волгодонська, 13, м.Маріуполь, Донецька обл., 87516","1400","611","1386","27","766","23","789","","0","766","23","789","36","753","43","17","440","46","135","50","6","16","29.10.12"
"142373","57","Донецька область","школа №40, вестибюль, праве крило, 1-й поверх
вул.Володимирська, 27, м.Маріуполь, Донецька обл., 87502","1336","554","1314","26","758","24","782","","0","758","24","782","45","737","60","16","395","51","141","53","5","16","29.10.12"
"142374","57","Донецька область","Маріупольський професійний ліцей сфери послуг та торгівлі №60, вестибюль, ліве крило, 1-й поверх
просп.1 Травня, 51, м.Маріуполь, Донецька обл., 87502","1288","640","1275","26","626","22","648","","0","625","22","647","28","619","39","13","331","51","95","67","8","15","29.10.12"
"142375","57","Донецька область","Маріупольський ліцей сфери послуг та торгівлі №60, вестибюль, праве крило, 1-й поверх
просп.1 Травня, 51, м.Маріуполь, Донецька обл., 87502","1384","608","1364","17","762","14","776","","0","762","14","776","33","743","62","19","375","81","103","78","10","15","29.10.12"
"142376","57","Донецька область","школа №61, вестибюль, праве крило, 1-й поверх
вул.Волгоградська, 1, м.Маріуполь, Донецька обл., 87545","1232","566","1225","40","635","31","666","","0","635","31","666","36","630","33","19","372","47","98","46","8","7","29.10.12"
"142377","57","Донецька область","школа №61, вестибюль, ліве крило, 1-й поверх
вул.Волгоградська, 1, м.Маріуполь, Донецька обл., 87545","1768","1054","1752","12","705","9","714","","0","705","9","714","34","680","53","14","377","34","111","61","12","18","29.10.12"
"142378","57","Донецька область","Маріупольський будівельний коледж, вестибюль, по центру, 1-й поверх
просп.Ленінградський, 90, м.Маріуполь, Донецька обл., 87550","1472","722","1468","5","747","3","750","","0","747","3","750","19","731","58","32","402","41","121","58","10","9","29.10.12"
"142379","57","Донецька область","школа №48, вестибюль, по центру, 2-й поверх
просп.Ленінградський, 45, м.Маріуполь, Донецька обл., 87550","1512","647","1501","11","855","10","865","","0","855","10","865","26","839","61","36","440","35","165","81","3","18","29.10.12"
"142380","57","Донецька область","школа №48, вестибюль, ліве крило, 1-й поверх
просп.Ленінградський, 45, м.Маріуполь, Донецька обл., 87550","1536","695","1521","8","836","5","841","","0","836","5","841","39","802","42","34","453","37","159","63","3","11","29.10.12"
"142381","57","Донецька область","Маріупольський будівельний коледж, вестибюль, ліве крило, 1-й поверх
просп.Ленінградський, 90, м.Маріуполь, Донецька обл., 87550","1928","848","1912","22","1060","20","1080","","0","1059","20","1079","44","1035","57","17","597","71","186","86","7","14","29.10.12"
"142382","57","Донецька область","школа №48, вестибюль, праве крило, 1-й поверх
просп.Ленінградський, 45, м.Маріуполь, Донецька обл., 87550","1848","837","1826","8","1003","8","1011","","0","1003","8","1011","63","948","67","49","505","51","154","85","10","27","29.10.12"
"142383","57","Донецька область","ліцей №14, вестибюль, ліве крило, 1-й поверх
вул.Пашковського, 62А, м.Маріуполь, Донецька обл., 87545","1616","881","1599","17","719","16","735","","0","719","16","735","36","699","45","22","414","33","110","60","4","11","29.10.12"
"142384","57","Донецька область","ліцей №14, вестибюль, праве крило, 1-й поверх
вул.Пашковського, 62А, м.Маріуполь, Донецька обл., 87545","1688","756","1665","30","906","26","932","","0","906","26","932","50","882","105","27","471","69","114","71","8","17","29.10.12"
"142385","57","Донецька область","ліцей №14, вестибюль, ліве крило, 2-й поверх
вул.Пашковського, 62А, м.Маріуполь, Донецька обл., 87545","1864","1011","1845","18","839","14","853","","0","838","14","852","35","817","57","21","422","55","164","70","10","18","29.10.12"
"142386","57","Донецька область","ліцей №14, вестибюль, праве крило, 2-й поверх
вул.Пашковського, 62А, м.Маріуполь, Донецька обл., 87545","1696","901","1683","12","783","12","795","","0","783","12","795","53","742","75","16","407","40","134","55","5","10","29.10.12"
"142387","57","Донецька область","школа №41, вестибюль, ліве крило, 1-й поверх
вул.Олімпійська, 67, м.Маріуполь, Донецька обл., 87550","2264","1098","2229","14","1153","13","1166","","0","1153","13","1166","52","1114","88","74","582","64","168","107","11","20","29.10.12"
"142388","57","Донецька область","школа №41, вестибюль, праве крило, 1-й поверх
вул.Олімпійська, 67, м.Маріуполь, Донецька обл., 87550","1992","872","1973","22","1101","19","1120","","0","1101","19","1120","61","1059","79","157","513","48","137","98","8","19","29.10.12"
"142389","57","Донецька область","школа №41, вестибюль, по центру, 2-й поверх
вул.Олімпійська, 67, м.Маріуполь, Донецька обл., 87550","2024","916","1992","19","1089","19","1108","","0","1089","19","1108","51","1057","76","76","578","64","145","97","9","12","29.10.12"
"142390","57","Донецька область","бібліотека ім.М.Островського, читальний зал
вул.Ризька, 27, м.Маріуполь, Донецька обл., 87543","1200","510","1192","155","540","150","690","","0","540","150","690","36","654","37","14","429","29","92","43","6","4","29.10.12"
"142391","57","Донецька область","центр соціальних служб для сім’ї, дітей та молоді, актовий зал
пров.Ризький, 40, м.Маріуполь, Донецька обл., 87543","1264","589","1250","8","669","6","675","","0","669","6","675","46","629","50","17","356","47","93","55","5","6","29.10.12"
"142392","57","Донецька область","школа №57, вестибюль, по центру, 1-й поверх
вул.Лютнева, 86, м.Маріуполь, Донецька обл., 87543","1432","667","1418","18","751","14","765","","0","751","14","765","29","736","61","10","432","42","105","66","4","16","29.10.12"
"142393","57","Донецька область","школа №68, вестибюль, по центру, 1-й поверх
вул.Олімпійська, 199, м.Маріуполь, Донецька обл., 87557","1760","933","1727","8","822","5","827","","0","822","5","827","27","800","64","25","454","37","129","60","14","17","29.10.12"
"142394","57","Донецька область","Маріупольський професійний ліцей автотранспорту №64, вестибюль, по центру, 1-й поверх
вул.Таганрозька, 199, м.Маріуполь, Донецька обл., 87522","1968","990","1957","10","970","8","978","","0","970","8","978","48","930","72","21","507","61","167","83","8","11","29.10.12"
"142395","57","Донецька область","школа №51, вестибюль, праве крило, 1-й поверх
вул.Станіславського, 1, м.Маріуполь, Донецька обл., 87502","2048","949","2037","15","1085","14","1099","","0","1085","14","1099","46","1053","76","20","596","69","195","79","3","15","29.10.12"
"142396","57","Донецька область","школа №51, вестибюль, ліве крило, 1-й поверх
вул.Станіславського, 1, м.Маріуполь, Донецька обл., 87502","1792","830","1780","26","937","25","962","","0","937","25","962","36","926","68","15","516","93","142","74","6","12","29.10.12"
"142397","57","Донецька область","школа №5, вестибюль, по центру, 1-й поверх
вул.Київська, 72, м.Маріуполь, Донецька обл., 87557","1744","798","1738","3","943","3","946","","0","943","3","946","47","899","67","13","543","44","139","74","8","11","29.10.12"
"142398","57","Донецька область","школа №68, вестибюль, ліве крило, 1-й поверх
вул.Олімпійська, 199, м.Маріуполь, Донецька обл., 87557","1728","790","1703","9","930","8","938","","0","930","8","938","28","910","72","16","532","54","138","66","16","16","29.10.12"
"142399","57","Донецька область","ліцей №69, вестибюль, ліве крило, 1-й поверх
просп.Маршала Жукова, 92, м.Маріуполь, Донецька обл., 87503","2232","1177","2193","4","1052","3","1055","","0","1052","3","1055","45","1010","72","33","526","44","191","107","19","18","29.10.12"
"142400","57","Донецька область","школа №68, вестибюль, праве крило, 1-й поверх
вул.Олімпійська, 199, м.Маріуполь, Донецька обл., 87557","1248","561","1231","7","682","5","687","","0","681","5","686","22","664","37","10","447","29","90","37","5","9","29.10.12"
"142401","57","Донецька область","школа №68, вестибюль, по центру, 1-й поверх
вул.Олімпійська, 199, м.Маріуполь, Донецька обл., 87557","1568","729","1552","5","834","5","839","","0","834","5","839","33","806","63","14","446","41","157","60","9","16","29.10.12"
"142402","57","Донецька область","ліцей №69, вестибюль, праве крило, 1-й поверх
просп.Маршала Жукова, 92, м.Маріуполь, Донецька обл., 87503","2368","1162","2329","1","1205","1","1206","","0","1205","1","1206","83","1123","90","32","612","64","211","68","18","28","29.10.12"
"142403","57","Донецька область","ліцей №69, вестибюль, ліве крило, 1-й поверх
просп.Маршала Жукова, 92, м.Маріуполь, Донецька обл., 87503","2360","1217","2312","3","1141","2","1143","","0","1141","2","1143","41","1102","92","15","644","44","181","88","8","30","28.10.12"
"142404","57","Донецька область","школа №5, вестибюль, ліве крило, 1-й поверх
вул.Київська, 72, м.Маріуполь, Донецька обл., 87557","1576","829","1563","10","738","9","747","","0","738","9","747","36","711","79","11","380","42","105","73","8","13","29.10.12"
"142405","57","Донецька область","школа №5, вестибюль, ліве крило, 2-й поверх
вул.Київська, 72, м.Маріуполь, Донецька обл., 87557","2327","1223","2297","1","1103","1","1104","","0","1103","1","1104","57","1047","92","32","556","49","200","90","10","18","29.10.12"
"142406","57","Донецька область","школа №5, вестибюль, по центру, 2-й поверх
вул.Київська, 72, м.Маріуполь, Донецька обл., 87557","1600","763","1585","16","827","10","837","","0","827","10","837","25","812","59","18","464","50","143","59","8","11","29.10.12"
"142407","57","Донецька область","школа №5, вестибюль, праве крило, 2-й поверх
вул.Київська, 72, м.Маріуполь, Донецька обл., 87557","2304","1149","2267","15","1140","15","1155","","0","1140","15","1155","52","1103","106","24","574","54","195","112","16","22","29.10.12"
"142408","57","Донецька область","Комунальна установа ""Міська лікарня №4 ім.І.К.Мацука""
вул.Пашковського, 4, м.Маріуполь, Донецька обл., 87502","304","111","198","180","18","175","193","","0","18","175","193","7","186","18","3","110","10","25","11","2","7","29.10.12"
