"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Герасимчук
Анатолій
Андрійович","Коваленко
Василь
Васильович","Міщенко
Ігор
Іванович","Раковський
Олександр
Степанович","Риженков
Олександр
Миколайович","Філіндаш
Сергій
Миколайович","Ясько
Геннадій
Геннадійович","Дата підписання протоколу"
"140137","60","Донецька область","школа №4, спортзал
вул.40 років Жовтня, 274, м.Волноваха, Волноваський р-н, Донецька обл., 85700","1560","722","1548","95","749","89","838","","0","749","89","838","44","794","15","95","34","9","453","158","30","29.10.12"
"140138","60","Донецька область","школа №6, їдальня
вул.Ватутіна, 13, м.Волноваха, Волноваський р-н, Донецька обл., 85700","1616","678","1596","56","893","45","938","","0","893","45","938","37","901","15","94","30","11","526","182","43","29.10.12"
"140139","60","Донецька область","творчий центр молоді, рекреація
вул.Шевченка, 76, м.Волноваха, Волноваський р-н, Донецька обл., 85700","1192","473","1191","48","671","48","719","","0","671","48","719","41","678","14","36","39","9","408","150","22","28.10.12"
"140140","60","Донецька область","школа №3, рекреація
пров.Урицького, 8, м.Волноваха, Волноваський р-н, Донецька обл., 85700","1312","576","1299","103","658","78","736","","0","657","78","735","30","705","7","42","54","11","390","173","28","29.10.12"
"140141","60","Донецька область","вагонне депо, їдальня
вул.Шевченка, 2, м.Волноваха, Волноваський р-н, Донецька обл., 85700","1600","643","1599","94","877","80","957","","0","877","80","957","31","926","6","96","54","15","512","192","51","29.10.12"
"140142","60","Донецька область","школа №2, рекреація
пров.Путійський, 18, м.Волноваха, Волноваський р-н, Донецька обл., 85700","2176","931","2142","143","1124","121","1245","","0","1124","121","1245","57","1188","7","129","50","25","664","269","44","29.10.12"
"140143","60","Донецька область","районний центр культури й дозвілля, фойє
вул.Леніна, 94, м.Волноваха, Волноваський р-н, Донецька обл., 85700","2352","957","2314","151","1272","123","1395","","0","1272","123","1395","57","1338","19","137","61","10","729","293","89","29.10.12"
"140144","60","Донецька область","будівельно-монтажне управління, актова зала
пров.Путійський, 44, м.Волноваха, Волноваський р-н, Донецька обл., 85700","1376","551","1366","86","742","83","825","","0","742","83","825","27","798","10","55","34","18","492","150","39","28.10.12"
"140145","60","Донецька область","школа №1, спортзал
вул.1 Травня, 95, м.Волноваха, Волноваський р-н, Донецька обл., 85700","1280","562","1272","86","635","83","718","","0","635","83","718","39","679","14","62","35","9","381","143","35","29.10.12"
"140146","60","Донецька область","дистанція електропостачання, актова зала
пров.Енергетичний, 1, м.Волноваха, Волноваський р-н, Донецька обл., 85700","1792","709","1773","109","982","101","1083","","0","982","101","1083","51","1032","10","93","35","21","621","215","37","29.10.12"
"140147","60","Донецька область","школа №7, фойє
вул.Менделєєва, 9, м.Волноваха, Волноваський р-н, Донецька обл., 85700","2464","1041","2417","49","1384","39","1423","","0","1384","39","1423","70","1353","12","105","56","12","801","293","74","29.10.12"
"140148","60","Донецька область","міський будинок культури, фойє
вул.Ювілейна, 45, смт Благодатне, Волноваський р-н, Донецька обл., 85725","1168","423","1156","73","678","67","745","","0","678","67","745","30","715","17","58","49","14","359","192","26","29.10.12"
"140149","60","Донецька область","школа №1, коридор
вул.Гагаріна, 2, смт Володимирівка, Волноваський р-н, Донецька обл., 85721","2168","867","2144","47","1261","40","1301","","0","1261","40","1301","42","1259","21","91","80","19","748","246","54","29.10.12"
"140150","60","Донецька область","будинок культури імені Чайковського, фойє
вул.Центральна, 1, смт Володимирівка, Волноваський р-н, Донецька обл., 85721","1952","763","1930","132","1079","110","1189","","0","1079","110","1189","44","1145","17","141","75","25","649","193","45","29.10.12"
"140151","60","Донецька область","будинок культури імені Кірова, фойє
вул.Радянська, 83, смт Володимирівка, Волноваський р-н, Донецька обл., 85721","1384","543","1366","63","787","54","841","","0","787","54","841","43","798","20","124","53","4","394","158","45","28.10.12"
"140152","60","Донецька область","еколого-натуралістичний центр, коридор
вул.Комсомольська, 8А, смт Донське, Волноваський р-н, Донецька обл., 85772","2184","729","2140","81","1380","75","1455","","0","1380","75","1455","54","1401","9","123","160","19","749","301","40","29.10.12"
"140153","60","Донецька область","школа, фойє
вул.Кошового, 5, смт Донське, Волноваський р-н, Донецька обл., 85772","2096","760","2074","47","1293","43","1336","","0","1293","43","1336","57","1279","8","102","150","18","692","254","55","29.10.12"
"140154","60","Донецька область","будинок культури ""Гірник"", фойє
вул.Кошового, 36, смт Новотроїцьке, Волноваський р-н, Донецька обл., 85732","1816","780","1793","83","971","65","1036","","0","971","65","1036","39","997","16","116","46","14","463","284","58","29.10.12"
"140155","60","Донецька область","будинок культури імені Л.Українки, фойє
вул.Леніна, 148, смт Новотроїцьке, Волноваський р-н, Донецька обл., 85732","1936","931","1930","103","911","94","1005","","0","911","94","1005","42","963","18","105","36","20","580","170","34","29.10.12"
"140156","60","Донецька область","спортпавільйон, вестибюль
вул.Кошового, 32, смт Новотроїцьке, Волноваський р-н, Донецька обл., 85732","2088","935","2061","62","1096","57","1153","","0","1096","57","1153","46","1107","15","113","57","19","596","253","54","29.10.12"
"140157","60","Донецька область","міський будинок культури, актова зала
вул.Леніна, 6, смт Оленівка, Волноваський р-н, Донецька обл., 85710","2064","1050","2048","73","941","73","1014","","0","941","73","1014","45","969","20","91","45","25","562","176","50","29.10.12"
"140158","60","Донецька область","школа №1, хол
вул.Чапаєва, 144, смт Оленівка, Волноваський р-н, Донецька обл., 85710","1848","1032","1823","75","759","57","816","","0","759","57","816","38","778","13","101","34","12","394","167","57","29.10.12"
"140159","60","Донецька область","міський будинок культури, фойє
вул.Маяковського, 32А, смт Ольгинка, Волноваський р-н, Донецька обл., 85730","1888","878","1862","155","870","140","1010","","0","870","140","1010","42","968","14","90","40","13","614","154","43","29.10.12"
"140160","60","Донецька область","приватна будівля ФО Аракелян Л.С., зала засідань
вул.Заводська, 3, смт Ольгинка, Волноваський р-н, Донецька обл., 85730","960","445","950","61","458","57","515","","0","458","57","515","32","483","6","43","19","11","304","71","29","29.10.12"
"140161","60","Донецька область","сільський будинок культури, фойє
вул.Октябрська, 9, с.Анадоль, Волноваський р-н, Донецька обл., 85790","616","142","603","58","416","58","474","","0","416","58","474","1","473","0","21","19","0","379","53","1","28.10.12"
"140162","60","Донецька область","будинок культури, обрядова зала
вул.Леніна, 27, с.Андріївка, Волноваський р-н, Донецька обл., 85711","448","128","441","45","280","40","320","","0","280","40","320","10","310","8","23","15","11","204","33","16","29.10.12"
"140163","60","Донецька область","ТОВ ""Золотий шлях"", хол
вул.Побєди, 34Б, с.Доля, Волноваський р-н, Донецька обл., 85710","272","79","273","23","175","18","193","","0","175","18","193","4","189","3","27","19","6","107","19","8","28.10.12"
"140164","60","Донецька область","сільська рада, зала засідань
вул.Радянська, 35, с.Бугас, Волноваський р-н, Донецька обл., 85764","1040","427","1042","71","545","68","613","","0","545","68","613","21","592","6","39","17","10","373","127","20","29.10.12"
"140165","60","Донецька область","школа, хол
вул.Леніна, 17, с.Валер’янівка, Волноваський р-н, Донецька обл., 85754","928","250","914","62","616","62","678","","0","616","62","678","32","646","6","47","23","11","474","65","20","29.10.12"
"140166","60","Донецька область","сільський будинок культури, фойє
вул.Радянська, 90, с.Вільне, Волноваський р-н, Донецька обл., 85762","808","146","803","50","615","47","662","","0","615","47","662","0","662","8","76","28","6","351","157","36","28.10.12"
"140167","60","Донецька область","школа, їдальня
вул.Дзержинського, 40, с.Дмитрівка, Волноваський р-н, Донецька обл., 85771","952","440","936","43","470","42","512","","0","470","42","512","21","491","16","67","30","7","241","116","14","28.10.12"
"140168","60","Донецька область","сільський будинок культури, фойє
вул.Ювілейна, 31, с.Єгорівка, Волноваський р-н, Донецька обл., 85724","720","223","705","49","453","44","497","","0","453","44","497","17","480","9","48","37","15","315","38","18","29.10.12"
"140169","60","Донецька область","школа №1, фойє
вул.Леніна, 14, с.Зачатівка, Волноваський р-н, Донецька обл., 85767","464","172","456","30","262","30","292","","0","262","30","292","22","270","2","31","25","4","127","77","4","28.10.12"
"140170","60","Донецька область","школа №2, фойє
вул.Комсомольська, 37, с-ще Зачатівка, Волноваський р-н, Донецька обл., 85761","456","128","448","13","318","10","328","","0","318","10","328","16","312","3","60","7","2","186","47","7","28.10.12"
"140171","60","Донецька область","школа, фойє
вул.Леніна, 52, с.Златоустівка, Волноваський р-н, Донецька обл., 85765","2448","1107","2419","194","1167","174","1341","","0","1167","174","1341","67","1274","24","104","76","18","759","263","30","29.10.12"
"140172","60","Донецька область","сільський будинок культури, фойє
вул.40 років Перемоги, 54, с.Іванівка, Волноваський р-н, Донецька обл., 85763","760","270","749","66","429","61","490","","0","429","61","490","17","473","4","42","23","11","311","69","13","28.10.12"
"140173","60","Донецька область","сільський будинок культури, фойє
вул.Свердлова, 16, с.Калініне, Волноваський р-н, Донецька обл., 85781","480","188","470","27","269","23","292","","0","269","23","292","13","279","1","18","12","8","200","30","10","29.10.12"
"140174","60","Донецька область","школа, спортзал
вул.Шкільна, 5, с.Кіровське, Волноваський р-н, Донецька обл., 85783","752","223","742","35","494","35","529","","0","494","35","529","17","512","13","26","34","13","338","75","13","29.10.12"
"140175","60","Донецька область","школа, коридор
вул.Леніна, 29, с.Краснівка, Волноваський р-н, Донецька обл., 85782","656","170","646","65","421","65","486","","0","421","65","486","15","471","6","35","23","7","332","66","2","28.10.12"
"140176","60","Донецька область","школа, вестибюль
вул.Гагаріна, 68, с.Любівка, Волноваський р-н, Донецька обл., 85712","432","153","427","31","250","29","279","","0","250","29","279","9","270","7","12","25","7","159","49","11","29.10.12"
"140177","60","Донецька область","сільський будинок культури, фойє
вул.50 років Жовтня, 81А, с.Микільське, Волноваський р-н, Донецька обл., 85720","1552","511","1532","106","941","100","1041","","0","941","100","1041","62","979","18","73","73","19","625","128","43","29.10.12"
"140178","60","Донецька область","сільський будинок культури, фойє
вул.Леніна, 59, с.Миколаївка, Волноваський р-н, Донецька обл., 85734","1096","262","1082","94","741","93","834","","0","741","93","834","29","805","10","62","31","14","601","72","15","29.10.12"
"140179","60","Донецька область","школа, спортзал
пров.Шкільний, 2, с.Новогнатівка, Волноваський р-н, Донецька обл., 85734","568","175","561","46","347","46","393","","0","347","46","393","14","379","17","47","13","10","228","52","12","28.10.12"
"140180","60","Донецька область","сільський будинок культури, фойє
вул.Молодіжна, 26А, с.Новоолексіївка, Волноваський р-н, Донецька обл., 85791","504","122","497","39","345","37","382","","0","345","37","382","11","371","9","69","20","5","186","79","3","28.10.12"
"140181","60","Донецька область","шкільна їдальня, зала
вул.Совєтська, 33, с.Новоандріївка, Волноваський р-н, Донецька обл., 85752","616","205","609","47","373","38","411","","0","373","38","411","17","394","11","44","16","11","263","42","7","29.10.12"
"140182","60","Донецька область","навчально-виховний комплекс, спортзал
вул.Леніна, 5, с.Кирилівка, Волноваський р-н, Донецька обл., 85753","536","189","530","42","306","41","347","","0","306","41","347","11","336","3","26","21","4","231","37","14","28.10.12"
"140183","60","Донецька область","будинок культури, вестибюль
вул.Леніна, 25, с.Октябрське, Волноваський р-н, Донецька обл., 85780","712","173","707","52","496","43","539","","0","496","43","539","17","522","2","71","15","13","356","57","8","28.10.12"
"140184","60","Донецька область","школа, спортзал
вул.Радянська, 39А, с.Петрівське, Волноваський р-н, Донецька обл., 85750","808","267","796","57","491","50","541","","0","491","50","541","24","517","12","56","73","14","271","74","17","29.10.12"
"140185","60","Донецька область","сільський будинок культури, обрядова зала
вул.Леніна, 1, с.Привільне, Волноваський р-н, Донецька обл., 85784","656","222","643","38","400","34","434","","0","400","34","434","17","417","6","79","20","6","190","110","6","29.10.12"
"140186","60","Донецька область","школа, фойє
вул.Леніна, 50, с.Прохорівка, Волноваський р-н, Донецька обл., 85773","592","186","589","48","360","46","406","","0","360","46","406","12","394","6","20","19","7","314","22","6","28.10.12"
"140187","60","Донецька область","сільський будинок культури, фойє
вул.Донецька, 67, с.Рівнопіль, Волноваський р-н, Донецька обл., 85760","1128","443","1118","49","638","47","685","","0","638","47","685","25","660","9","79","49","19","321","158","25","28.10.12"
"140188","60","Донецька область","сільський будинок культури, фойє
вул.50 років Жовтня, 8, с.Рибинське, Волноваський р-н, Донецька обл., 85735","1040","396","1029","50","598","46","644","","0","598","46","644","28","616","7","49","43","8","341","134","34","29.10.12"
"140189","60","Донецька область","сільський клуб, глядацька зала
вул.Леніна, 21, с.Трудівське, Волноваський р-н, Донецька обл., 85735","544","190","536","31","323","31","354","","0","323","31","354","16","338","2","31","19","5","231","42","8","28.10.12"
"140190","60","Донецька область","сільський будинок культури, фойє
вул.Молодіжна, 1, с.Ближнє, Волноваський р-н, Донецька обл., 85736","720","238","712","32","450","32","482","","0","450","32","482","19","463","4","70","37","7","255","75","15","28.10.12"
"140191","60","Донецька область","будинок культури, фойє
вул.Леніна, 104, с.Свободне, Волноваський р-н, Донецька обл., 85770","1352","450","1334","116","787","115","902","","0","787","115","902","22","880","8","54","86","11","553","151","17","29.10.12"
"140192","60","Донецька область","сільський будинок культури, фойє
вул.Леніна, 22, с.Степне, Волноваський р-н, Донецька обл., 85751","800","167","783","46","587","46","633","","0","587","46","633","4","629","6","19","16","9","538","31","10","28.10.12"
"140193","60","Донецька область","навчально-виховний комплекс, фойє
вул.Миру, 1А, с.Хлібодарівка, Волноваський р-н, Донецька обл., 85766","1000","354","983","76","576","70","646","","0","576","70","646","22","624","11","57","57","16","348","108","27","29.10.12"
"140194","60","Донецька область","Волноваська центральна районна лікарня, поліклінічне відділення, зала засідань
пров.Матросова, 5, м.Волноваха, Волноваський р-н, Донецька обл., 85700","72","31","47","9","34","7","41","","0","34","7","41","3","38","0","8","2","0","19","8","1","28.10.12"
"140195","60","Донецька область","Волноваська виправна колонія №120, гуртожиток 2
вул.Степна, 1, с-ще Молодіжне, Волноваський р-н, Донецька обл., 85710","976","99","877","0","877","0","877","","0","877","0","877","88","789","33","63","54","30","561","25","23","28.10.12"
"140196","60","Донецька область","районний будинок культури, мала зала
вул.Леніна, 126, смт Володарське, Володарський р-н, Донецька обл., 87000","1752","700","1723","72","986","66","1052","","0","986","66","1052","47","1005","10","205","27","22","415","278","48","29.10.12"
"140197","60","Донецька область","Володарська школа №2, фойє
вул.Советська, 23, смт Володарське, Володарський р-н, Донецька обл., 87000","1880","825","1862","59","1000","55","1055","","0","1000","55","1055","48","1007","28","183","32","15","402","289","58","29.10.12"
"140198","60","Донецька область","Володарська школа №1, фойє
вул.Леніна, 124, смт Володарське, Володарський р-н, Донецька обл., 87000","1856","780","1839","47","1033","43","1076","","0","1033","43","1076","49","1027","26","236","26","13","422","264","40","29.10.12"
"140199","60","Донецька область","Володарська школа №3, фойє
вул.Леніна, 4, смт Володарське, Володарський р-н, Донецька обл., 87000","1592","563","1577","37","998","31","1029","","0","998","31","1029","53","976","24","227","29","13","414","236","33","29.10.12"
"140200","60","Донецька область","Новоянисольська школа, фойє
вул.Комарова, 25, с.Новоянисоль, Володарський р-н, Донецька обл., 87005","376","104","376","32","240","32","272","","0","240","32","272","13","259","3","70","3","4","107","61","11","28.10.12"
"140201","60","Донецька область","Боївська школа, фойє
вул.Сенатосенка, 81Д, с.Бойове, Володарський р-н, Донецька обл., 87060","800","306","783","40","454","40","494","","0","454","40","494","17","477","16","118","8","8","242","63","22","29.10.12"
"140202","60","Донецька область","Малинівська школа, фойє
вул.Шкільна, 1, с.Малинівка, Володарський р-н, Донецька обл., 87062","872","284","859","22","570","18","588","","0","570","18","588","17","571","4","64","9","9","440","29","16","29.10.12"
"140203","60","Донецька область","Новогригорівська школа, фойє
вул.Леніна, 1В, с.Новогригорівка, Володарський р-н, Донецька обл., 87061","352","122","343","13","217","13","230","","0","217","13","230","6","224","22","19","6","8","124","32","13","28.10.12"
"140204","60","Донецька область","Зеленоярська школа, спортивна зала
вул.Леніна, 31Б, с.Зелений Яр, Володарський р-н, Донецька обл., 87023","552","153","548","28","371","28","399","","0","371","28","399","15","384","10","87","21","9","140","103","14","28.10.12"
"140205","60","Донецька область","Федорівський будинок дозвілля, фойє
вул.Ворошилова, 24, с.Федорівка, Володарський р-н, Донецька обл., 87024","400","122","389","10","268","10","278","","0","268","10","278","23","255","7","55","10","5","122","45","11","29.10.12"
"140206","60","Донецька область","Зорянська школа, хол, 2-й поверх
вул.Садова, 22, с.Зоря, Володарський р-н, Донецька обл., 87042","2040","967","2017","66","1009","64","1073","","0","1009","64","1073","67","1006","21","110","48","19","547","204","57","29.10.12"
"140207","60","Донецька область","сільський будинок дозвілля, глядацька зала
вул.Советська, 47, с.Кальчик, Володарський р-н, Донецька обл., 87040","1184","483","1131","34","668","33","701","","0","668","33","701","35","666","18","90","30","24","294","169","41","28.10.12"
"140208","60","Донецька область","Кирилівський будинок культури, глядацька зала
вул.Кірова, 46, с.Кирилівка, Володарський р-н, Донецька обл., 87041","448","152","434","34","263","33","296","","0","263","33","296","17","279","7","49","6","8","158","35","16","28.10.12"
"140209","60","Донецька область","Касянівська школа, спортивна зала
вул.Гагаріна, 15А, с.Касянівка, Володарський р-н, Донецька обл., 87030","776","235","772","57","484","57","541","","0","484","57","541","18","523","18","89","19","9","251","106","31","29.10.12"
