"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Боярський
Юрій
Іванович","Гордієнко
Сергій
Леонідович","Городенський
Максим
Олексійович","Корнієнко
Сергій
Миколайович","Кривошеєв
Дмитро
Олексійович","Ржавський
Володимир
Іванович","Сопельник
Віктор
Іванович","Дата підписання протоколу"
"140970","48","Донецька область","школа №16, вестибюль, 2-й поверх
вул.Леоніда Бикова, 7, м.Краматорськ, Донецька обл., 84320","1848","899","1815","6","944","5","949","","0","944","5","949","40","909","484","73","100","43","58","99","52","04.11.12"
"140971","48","Донецька область","школа №16, вестибюль, 1-й поверх
вул.Леоніда Бикова, 7, м.Краматорськ, Донецька обл., 84320","1736","859","1716","9","870","7","877","","0","870","7","877","38","839","444","60","87","33","49","96","70","29.10.12"
"140972","48","Донецька область","школа №16, вестибюль, 3-й поверх
вул.Леоніда Бикова, 7, м.Краматорськ, Донецька обл., 84320","1856","942","1820","5","909","5","914","","0","909","5","914","35","879","475","59","101","32","59","91","62","04.11.12"
"140973","48","Донецька область","школа №10, музей
вул.Хабаровська, 40, м.Краматорськ, Донецька обл., 84320","2248","1077","2220","7","1165","6","1171","","0","1165","6","1171","34","1137","637","61","155","62","58","93","71","28.10.12"
"140974","48","Донецька область","школа №10, коридор, 2-й поверх
вул.Хабаровська, 40, м.Краматорськ, Донецька обл., 84320","2016","1055","1988","10","956","5","961","","0","956","5","961","26","935","504","52","101","40","75","104","59","29.10.12"
"140975","48","Донецька область","школа №10, актова зала, 2-поверх
вул.Хабаровська, 40, м.Краматорськ, Донецька обл., 84320","2024","1116","1975","9","900","8","908","","0","900","8","908","37","871","481","49","102","43","45","95","56","29.10.12"
"140976","48","Донецька область","Краматорське вище професійне металургійне училище, вестибюль
вул.Дніпропетровська, 7, м.Краматорськ, Донецька обл., 84318","2376","1254","2346","12","1111","11","1122","","0","1111","11","1122","59","1063","599","80","143","35","35","118","53","29.10.12"
"140977","48","Донецька область","Краматорська українська гімназія, коридор, 2-й поверх
вул.Архангельська, 11, м.Краматорськ, Донецькая обл., 84306","2463","1318","2414","27","1125","20","1145","","0","1125","20","1145","51","1094","597","70","140","28","51","141","67","29.10.12"
"140978","48","Донецька область","школа №26, коридор, 1-й поверх
вул.Ульянівська, 136, смт Біленьке, м.Краматорськ, Донецька обл., 84318","2128","1033","2073","35","1063","30","1093","","0","1063","30","1093","48","1045","548","46","128","73","43","135","72","29.10.12"
"140979","48","Донецька область","школа №26, коридор, 1-й поверх
вул.Ульянівська, 136, смт Біленьке, м.Краматорськ, Донецька обл., 84318","1968","940","1938","65","967","61","1028","","0","967","61","1028","38","990","511","46","113","76","48","135","61","29.10.12"
"140980","48","Донецька область","школа №26, коридор, 2-й поверх
вул.Ульянівська, 136, смт Біленьке, м.Краматорськ, Донецька обл., 84318","2024","1014","2018","48","966","44","1010","","0","966","44","1010","43","967","548","50","127","46","42","105","49","29.10.12"
"140981","48","Донецька область","школа №26, мала спортивна зала
вул.Ульянівська, 136, смт Біленьке, м.Краматорськ, Донецька обл., 84318","2128","1095","2099","58","982","51","1033","","0","982","51","1033","55","978","571","53","82","55","49","116","52","29.10.12"
"140982","48","Донецька область","школа №30, коридор, 2-й поверх
вул.Волховська, 1, смт Ясногірка, м.Краматорськ, Донецька обл., 84391","1832","910","1811","53","872","50","922","","0","872","50","922","35","887","577","53","93","23","46","45","50","29.10.12"
"140983","48","Донецька область","школа №30, коридор, 3-поверх
вул.Волховська, 1, смт Ясногірка, м.Краматорськ, Донецька обл., 84391","2184","1145","2172","55","991","48","1039","","0","991","48","1039","64","975","597","48","120","27","51","78","54","29.10.12"
"140984","48","Донецька область","школа №21, коридор, 2-й поверх
вул.Кірова, 352, смт Ясногірка, м.Краматорськ, Донецька обл., 84391","2360","1218","2338","74","1079","63","1142","","0","1079","63","1142","47","1095","664","49","114","61","41","113","53","29.10.12"
"140985","48","Донецька область","школа №19, коридор
вул.Ольги Кобилянської, 1, м.Краматорськ, Донецька обл., 84306","576","253","576","17","306","17","323","","0","306","17","323","13","310","215","16","29","12","13","12","13","04.11.12"
"140986","48","Донецька область","школа №32, коридор, 1-й поверх
вул.Волгодонська, 22, смт Шабельківка, м.Краматорськ, Донецька обл., 84393","1880","1177","1861","66","641","62","703","","0","641","62","703","50","653","381","37","77","21","34","68","35","29.10.12"
"140987","48","Донецька область","школа №32, коридор, 2-й поверх
вул.Волгодонська, 22, смт Шабельківка, м.Краматорськ, Донецька обл., 84393","1784","1078","1768","62","648","58","706","","0","648","58","706","31","675","412","36","78","17","31","60","41","28.10.12"
"140988","48","Донецька область","школа №32, коридор, 3-й поверх
вул.Волгодонська, 22, смт Шабельківка, м.Краматорськ, Донецька обл., 84393","1712","974","1702","54","694","44","738","","0","694","44","738","53","685","421","33","78","17","38","58","40","28.10.12"
"140989","48","Донецька область","будинок культури імені 50 років Жовтня, актова зала
вул.Командарма Федька, будинок культури імені 50 років Жовтня, смт Малотаранівка, м.Краматорськ, Донецька обл., 84314","1096","570","1084","16","512","14","526","","0","512","14","526","40","486","264","24","76","12","31","52","27","29.10.12"
"140990","48","Донецька область","школа №13, коридор, 1-й поверх
вул.Перепелиці, 39, смт Малотаранівка, м.Краматорськ, Донецька обл., 84314","1752","944","1740","45","769","39","808","","0","769","39","808","40","768","442","33","96","23","45","85","44","29.10.12"
"140991","48","Донецька область","школа №33, гардеробна
вул.Бєлгородська, 95, смт Красноторка, м.Краматорськ, Донецька обл., 84395","2328","1345","2284","44","942","41","983","","0","942","41","983","54","929","551","48","101","30","68","92","39","28.10.12"
"140992","48","Донецька область","бібліотека №13 імені Івана Франка, зала обслуговування
вул.Кемеровська, 31А, м.Краматорськ, Донецька обл., 84308","1336","771","1338","19","546","19","565","","0","546","19","565","28","537","329","23","70","14","26","51","24","28.10.12"
"140993","48","Донецька область","школа №31, спортивна зала, 1-й поверх
вул.Клари Цеткін, 14, м.Краматорськ, Донецька обл., 84308","1504","751","1502","29","724","29","753","","0","724","29","753","42","711","400","41","78","13","30","112","37","29.10.12"
"140994","48","Донецька область","школа №31, коридор, 2-й поверх
вул.Клари Цеткін, 14, м.Краматорськ, Донецька обл., 84308","1632","865","1644","104","668","99","767","","0","668","99","767","31","736","468","27","54","22","38","93","34","28.10.12"
"140995","48","Донецька область","школа №23, вестибюль, 1-й поверх
вул.Калініна, 45, м.Краматорськ, Донецька обл., 84302","2280","1231","2254","68","984","65","1049","","0","984","65","1049","35","1014","637","40","99","28","60","98","52","29.10.12"
"140996","48","Донецька область","школа №23, спортивна зала, 2-й поверх
вул.Калініна, 45, м.Краматорськ, Донецька обл., 84302","1824","1033","1809","27","765","26","791","","0","765","26","791","31","760","448","34","82","17","49","92","38","29.10.12"
"140997","48","Донецька область","міський палац культури імені Леніна, театральна частина
вул.Шкільна, 9, м.Краматорськ, Донецька обл., 84302","2040","1011","1997","25","1005","24","1029","","0","1005","24","1029","58","971","503","55","146","27","72","112","56","29.10.12"
"140998","48","Донецька область","школа №11, вестибюль, 1-й поверх
вул.Луначарського, 9, м.Краматорськ, Донецька обл., 84302","2208","1232","2183","29","954","22","976","","0","953","22","975","54","921","482","49","121","40","62","107","60","29.10.12"
"140999","48","Донецька область","школа №6, коридор, 1-й поверх
вул.Велика Садова, 75, м.Краматорськ, Донецька обл., 84303","1680","782","1675","30","871","27","898","","0","871","27","898","32","866","460","47","129","26","60","88","56","28.10.12"
"141000","48","Донецька область","школа №6, коридор, 2-й поверх
вул.Велика Садова, 75, м.Краматорськ, Донецька обл., 84303","1600","794","1593","23","785","21","806","","0","785","21","806","19","787","390","42","106","35","61","100","53","28.10.12"
"141001","48","Донецька область","школа №1, спортивна зала, 2-й поверх
вул.Райдужна, 13, м.Краматорськ, Донецька обл., 84303","2144","1167","2129","56","923","54","977","","0","922","54","976","33","943","488","44","150","28","89","89","55","31.10.12"
"141002","48","Донецька область","Краматорський машинобудівний коледж Донбаської державної машинобудівної академії, читальна зала
вул.Велика Садова, 99, м.Краматорськ, Донецька обл., 84303","1792","1066","1790","13","713","13","726","","0","713","13","726","43","683","372","40","106","22","47","58","38","29.10.12"
"141003","48","Донецька область","Краматорський машинобудівний коледж Донбаської державної машинобудівної академії, фойє, 1-й поверх
вул.Велика Садова, 99, м.Краматорськ, Донецька обл., 84303","1624","904","1637","11","709","11","720","","0","709","11","720","52","668","354","34","88","31","58","69","34","28.10.12"
"141004","48","Донецька область","клуб ""Надія"", фойє
вул.Молодіжна, 1, м.Краматорськ, Донецька обл., 84328","1144","587","1141","20","537","20","557","","0","537","20","557","28","529","383","14","34","9","11","65","13","04.11.12"
"141005","48","Донецька область","школа №18, коридор, 2-й поверх
вул.Олега Кошового, 18, м.Краматорськ, Донецька обл., 84307","1200","703","1196","36","465","32","497","","0","465","32","497","22","475","272","15","50","14","12","86","26","29.10.12"
"141006","48","Донецька область","школа №18, коридор, 2-й поверх
вул.Олега Кошового, 18, м.Краматорськ, Донецька обл., 84307","2216","1146","2208","58","1015","55","1070","","0","1015","55","1070","61","1009","557","47","127","23","34","183","38","29.10.12"
"141007","48","Донецька область","школа №20, старий корпус, вестибюль, 1-й поверх
вул.Танкістів, 112, м.Краматорськ, Донецька обл., 84311","1760","964","1755","31","769","27","796","","0","769","27","796","42","754","434","38","95","23","47","70","47","28.10.12"
"141008","48","Донецька область","школа №20, новий корпус, їдальня
вул.Танкістів, 112, м.Краматорськ, Донецька обл., 84311","2040","1198","2010","25","821","21","842","","0","821","21","842","42","800","408","67","119","16","51","98","41","29.10.12"
"141009","48","Донецька область","школа №20, новий корпус, спортивна зала
вул.Танкістів, 112, м.Краматорськ, Донецька обл., 84311","1768","913","1760","34","826","27","853","","0","826","27","853","49","804","392","74","117","35","29","106","51","29.10.12"
"141010","48","Донецька область","кінотеатр ""Машинобудівник"", фойє, 1-й поверх
вул.Центральна, 5, м.Краматорськ, Донецька обл., 84307","1912","1014","1902","24","876","22","898","","0","876","22","898","35","863","418","33","150","30","39","137","56","29.10.12"
"141011","48","Донецька область","школа №17, актова зала, 2-й поверх
вул.12 Грудня, 76, м.Краматорськ, Донецька обл., 84307","2176","1038","2142","50","1092","46","1138","","0","1092","46","1138","40","1098","573","74","150","52","62","122","65","04.11.12"
"141012","48","Донецька область","школа №17, коридор, 2-й поверх
вул.12 Грудня, 76, м.Краматорськ, Донецька обл., 84307","2120","1130","2094","48","947","43","990","","0","947","43","990","39","951","452","49","137","57","45","130","81","29.10.12"
"141013","48","Донецька область","КП ""ДРУАС"", актова зала, 1-й поверх
вул.Горького, 5, м.Краматорськ, Донецька обл., 84307","1240","624","1235","51","565","51","616","","0","565","51","616","28","588","274","43","84","26","36","90","35","28.10.12"
"141014","48","Донецька область","Краматорське вище професійне металургійне училище, вестибюль
вул.Поштова, 2, м.Краматрськ, Донецька обл., 84302","1224","693","1228","40","497","34","531","","0","497","34","531","13","518","253","29","66","21","35","74","40","28.10.12"
"141015","48","Донецька область","міський палац культури ""Будівельник"", фойє
вул.Маяковського, 9, м.Краматорськ, Донецька обл., 84333","2096","1029","2066","29","1039","28","1067","","0","1039","28","1067","29","1038","558","72","136","64","54","95","59","29.10.12"
"141016","48","Донецька область","школа №15, їдальня
вул.Маяковського, 19, м.Краматорськ, Донецька обл., 84333","1728","696","1700","23","1011","21","1032","","0","1011","21","1032","39","993","555","74","112","47","49","90","66","29.10.12"
"141017","48","Донецька область","школа №15, вестибюль, 2-й поверх
вул.Маяковського, 19, м.Краматорськ, Донецька обл., 84333","1816","864","1797","37","916","36","952","","0","916","36","952","46","906","526","50","110","32","57","82","49","29.10.12"
"141018","48","Донецька область","Краматорське вище професійне училище №14, 1-й корпус, хол, 2-й поверх
вул.Вознесенського, 5, м.Краматорськ, Донецька обл., 84333","2152","980","2119","44","1130","42","1172","","0","1130","42","1172","47","1125","652","61","148","39","51","104","70","29.10.12"
"141019","48","Донецька область","школа №12, хол, 1-й поверх
вул.Соціалістична, 19, м.Краматорськ, Донецька обл., 84333","2160","1004","2123","36","1124","32","1156","","0","1124","32","1156","51","1105","603","79","150","46","53","124","50","29.10.12"
"141020","48","Донецька область","Краматорський професійний ліцей №42, коридор, 1-й поверх
вул.Ювілейна, 6, м.Краматорськ, Донецька обл., 84301","1896","972","1877","32","897","27","924","","0","897","27","924","41","883","471","52","123","27","46","112","52","28.10.12"
"141021","48","Донецька область","Краматорський професійний ліцей №42, коридор, 2-й поверх
вул.Ювілейна, 6, м.Краматорськ, Донецька обл., 84301","1832","955","1797","17","861","16","877","","0","861","16","877","32","845","480","50","119","30","28","100","38","29.10.12"
"141022","48","Донецька область","школа №8, 2-й корпус, 1-й поверх
вул.Двірцева, 57А, м.Краматорськ, Донецька обл., 84331","2120","996","2108","40","1084","40","1124","","0","1084","40","1124","56","1068","577","58","151","47","43","121","71","29.10.12"
"141023","48","Донецька область","школа №8, 2-й корпус, 2-й поверх
вул.Двірцева, 57А, м.Краматорськ, Донецька обл., 84331","1992","902","1974","22","1075","15","1090","","0","1075","15","1090","35","1055","538","83","151","42","59","131","51","29.10.12"
