"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Бакуліна
Наталія
Василівна","Борт
Віталій
Петрович","Молоков
Денис
Геннадійович","Наумов
Олександр
Олександрович","Новаковський
Іван
Сергійович","Поліванов
Олег
Олександрович","Ткачук
Лариса
Віталіївна","Дата підписання протоколу"
"000001","56","Донецька область","
Донецьке шосе, 14А, м. Макіївка, Донецька обл., 86132","40","32","8","0","8","0","8","","0","8","0","8","0","8","0","8","0","0","0","0","0","28.10.12"
"142078","56","Донецька область","Палац культури ""ЯКХЗ"", хол, 1-й поверх
вул.Депутатська, 162, м.Макіївка, Донецька обл., 86110","1344","478","1316","85","782","84","866","","0","782","84","866","41","825","26","612","78","42","5","7","55","28.10.12"
"142079","56","Донецька область","художня школа, хол, 1-й поверх
пров.Смирнихіна, 9, м.Макіївка, Донецька обл., 86110","1632","359","1602","60","1221","52","1273","","0","1221","52","1273","14","1259","22","970","137","44","7","10","69","28.10.12"
"142080","56","Донецька область","школа №90, хол, 1-й поверх
вул.Трубіцина, 3, м.Макіївка, Донецька обл., 86110","1104","416","1092","46","646","42","688","","0","646","42","688","35","653","21","437","94","43","8","18","32","29.10.12"
"142081","56","Донецька область","дитячий заклад №132 ""Колосок"", хол, 1-й поверх
вул.Леніна, 78, смт Ясинівка, м.Макіївка, Донецька обл., 86181","1384","589","1362","38","757","38","795","","0","757","38","795","44","751","19","513","112","38","6","14","49","29.10.12"
"142082","56","Донецька область","школа №46, хол, 1-й поверх
вул.Табашевського, 17, смт Ясинівка, м.Макіївка, Донецька обл., 86181","1216","664","1203","22","530","22","552","","0","530","22","552","40","512","20","369","75","20","3","7","18","29.10.12"
"142083","56","Донецька область","школа №48, хол, 1-й поверх
вул.Піонерська, 2, смт Землянки, м.Макіївка, Донецька обл., 86182","1704","600","1675","51","1056","48","1104","","0","1056","48","1104","33","1071","17","886","89","28","4","16","31","29.10.12"
"142084","56","Донецька область","Палац культури ""Макіївкокс"", малий зал, 1-й поверх
вул.Депутатська, 146, м.Макіївка, Донецька обл., 86106","1592","768","1569","44","785","39","824","","0","785","39","824","36","788","36","525","120","32","7","13","55","29.10.12"
"142085","56","Донецька область","школа №7, спортивний зал, 1-й поверх
вул.Ціолковського, 2, м.Макіївка, Донецька обл., 86130","1272","577","1255","47","651","44","695","","0","651","44","695","29","666","9","488","78","38","9","7","37","28.10.12"
"142086","56","Донецька область","школа №7, їдальня, 1-й поверх
вул.Ціолковського, 2, м.Макіївка, Донецька обл., 86130","1344","604","1323","8","732","8","740","","0","732","8","740","18","722","23","488","92","34","11","10","64","28.10.12"
"142087","56","Донецька область","школа мистецтв №1, хол, 1-й поверх
вул.Трубіцина, 2, м.Макіївка, Донецька обл., 86130","1304","658","1289","48","604","42","646","","0","604","42","646","36","610","22","409","78","45","6","5","45","28.10.12"
"142088","56","Донецька область","педучилище, хол, 1-й поверх
вул.Трубіцина, 8, м.Макіївка, Донецька обл., 86133","1160","287","1172","31","848","25","873","","0","848","25","873","32","841","15","619","101","39","3","11","53","29.10.12"
"142089","56","Донецька область","школа №90, спортивний зал, 1-й поверх
вул.Трубіцина, 3, м.Макіївка, Донецька обл., 86110","1264","489","1247","74","711","64","775","","0","711","64","775","38","737","22","550","74","32","5","18","36","28.10.12"
"142090","56","Донецька область","стадіон ""Авангард"", зал
вул.Ціолковського, 141А, стадіон ""Авангард"", м.Макіївка, Донецька обл., 86110","1336","620","1329","20","700","16","716","","0","700","16","716","46","670","13","478","70","51","7","17","34","29.10.12"
"142091","56","Донецька область","школа №59, хол, 1-й поверх
кв-л Північний, 25, м.Макіївка, Донецька обл., 86147","1960","783","1929","71","1120","57","1177","","0","1120","57","1177","57","1120","24","868","109","54","8","11","46","28.10.12"
"142092","56","Донецька область","школа №59, хол, 1-й поверх
кв-л Північний, 25, м.Макіївка, Донецька обл., 86147","1864","718","1829","62","1084","62","1146","","0","1084","62","1146","72","1074","21","789","136","42","10","12","64","28.10.12"
"142093","56","Донецька область","міський ліцей, хол, 1-й поверх
кв-л Хімік, 1А, м.Макіївка, Донецька обл., 86133","1864","608","1824","51","1206","50","1256","","0","1206","50","1256","55","1201","35","933","109","47","9","10","58","29.10.12"
"142094","56","Донецька область","міська лікарня №2, хол, 1-й поверх
вул.Ферганська, 12, м.Макіївка, Донецька обл., 86120","2128","1038","2077","68","1033","57","1090","","0","1033","57","1090","72","1018","34","679","161","58","12","13","61","29.10.12"
"142095","56","Донецька область","школа №21, їдальня, 1-й поверх
вул.Глинки, 22, м.Макіївка, Донецька обл., 86105","1384","504","1355","38","844","36","880","","0","844","36","880","59","821","25","556","132","36","7","12","53","28.10.12"
"142096","56","Донецька область","металургійний ліцей, їдальня, 1-й поверх
вул.Кірова, 121, м.Макіївка, Донецька обл., 86105","920","450","892","18","452","18","470","","0","452","18","470","29","441","10","344","53","14","3","2","15","29.10.12"
"142097","56","Донецька область","Палац культури ""ММЗ"", хол, 1-й поверх
вул.Кірова, 73, м.Макіївка, Донецька обл., 86105","2128","897","2079","60","1175","56","1231","","0","1175","56","1231","60","1171","24","791","195","72","11","11","67","28.10.12"
"142098","56","Донецька область","Університет сучасних знань, хол, 1-й поверх
вул.Алексєєва, 23, м.Макіївка, Донецька обл., 86112","2176","1087","2084","37","1054","35","1089","","0","1054","35","1089","60","1029","41","732","129","47","8","19","53","28.10.12"
"142099","56","Донецька область","школа №108, хол, 1-й поверх
вул.Трамвайна, 32, м.Макіївка, Донецька обл., 86112","1872","997","1825","47","828","47","875","","0","828","47","875","47","828","23","574","135","35","5","8","48","29.10.12"
"142100","56","Донецька область","школа №40, спортивний зал, 1-й поверх
вул.Маяковського, 41, м.Макіївка, Донецька обл., 86136","1424","703","1407","21","701","20","721","","0","701","20","721","50","671","9","471","98","35","6","11","41","29.10.12"
"142101","56","Донецька область","школа №40, хол, 1-й поверх
вул.Маяковського, 41, м.Макіївка, Донецька обл., 86136","1128","583","1105","35","514","31","545","","0","514","31","545","26","519","12","379","71","29","4","3","21","29.10.12"
"142102","56","Донецька область","будівельне училище, хол, 2-й поверх
вул.Кремлівська, 48, м.Макіївка, Донецька обл., 86112","1096","559","1086","22","518","19","537","","0","518","19","537","37","500","16","371","67","20","0","13","13","29.10.12"
"142103","56","Донецька область","будівельне училище, бібліотека, 1-й поверх
вул.Кремлівська, 48, м.Макіївка, Донецька обл., 86112","1648","757","1607","38","853","38","891","","0","853","38","891","37","854","16","614","124","31","6","15","48","29.10.12"
"142104","56","Донецька область","міська лікарня №2, зал, 1-й поверх
вул.Ферганська, 12, м.Макіївка, Донецька обл., 86120","544","131","414","121","293","120","413","","0","293","120","413","11","402","18","281","37","29","3","8","26","29.10.12"
"142105","56","Донецька область","тубдиспансер, актовий зал, 2-й поверх
вул.Шопена, 1А, м.Макіївка, Донецька обл., 86112","328","262","66","17","49","17","66","","0","49","17","66","2","64","2","52","5","3","0","0","2","28.10.12"
"142106","56","Донецька область","наркодиспансер, хол, 2-й поверх
вул.Ковалевської, 5, м.Макіївка, Донецька обл., 86112","80","12","69","0","68","0","68","","0","68","0","68","4","64","5","48","3","4","0","1","3","28.10.12"
"142107","56","Донецька область","Макіївська виправна колонія №32, актовий зал, 2-й поверх
вул.Кірова, 141, м.Макіївка, Донецька обл., 86110","1328","38","1290","0","1290","0","1290","","0","1290","0","1290","52","1238","131","914","47","50","11","26","59","28.10.12"
"142144","56","Донецька область","школа №15, спортивна зала
Залізничний квартал, 33, м.Макіївка, Донецька обл., 86147","1792","833","1758","28","932","27","959","","0","932","27","959","65","894","24","629","124","55","2","9","51","28.10.12"
"142145","56","Донецька область","школа №15, хол, 1-й поверх
Залізничний квартал, 33, м.Макіївка, Донецька обл., 86147","1544","576","1527","37","938","30","968","","0","938","30","968","39","929","20","677","118","48","8","12","46","29.10.12"
"142146","56","Донецька область","школа №15, їдальня
Залізничний квартал, 33, м.Макіївка, Донецька обл., 86147","1504","718","1467","45","741","45","786","","0","741","45","786","50","736","21","513","105","27","10","8","52","29.10.12"
"142147","56","Донецька область","школа №53, актова зала
Гвардійський квартал, 29, м.Макіївка, Донецька обл., 86147","2008","636","1963","61","1320","52","1372","","0","1320","52","1372","42","1330","43","1002","136","60","11","15","63","28.10.12"
"142148","56","Донецька область","школа №53, велика спортивна зала
Гвардійський квартал, 29, м.Макіївка, Донецька обл., 86147","1712","768","1682","60","889","55","944","","0","889","55","944","51","893","25","661","99","43","10","13","42","28.10.12"
"142149","56","Донецька область","школа №53, мала спортивна зала
Гвардійський квартал, 29, м.Макіївка, Донецька обл., 86147","1936","923","1910","44","969","44","1013","","0","969","44","1013","45","968","15","754","87","43","8","14","47","28.10.12"
"142150","56","Донецька область","КП ""Перспектива"", колишня школа №42, спортивна зала
Гвардійський квартал, 33, м.Макіївка, Донецька обл., 86147","1880","908","1826","49","933","39","972","","0","933","39","972","53","919","16","672","117","50","5","12","47","29.10.12"
"142151","56","Донецька область","КП ""Перспектива"", колишня школа №42, хол, 1-й поверх
Гвардійський квартал, 33, м.Макіївка, Донецька обл., 86147","1952","898","1911","66","998","56","1054","","0","998","56","1054","53","1001","25","710","138","48","11","15","54","29.10.12"
"142152","56","Донецька область","КП ""Перспектива"", колишня школа №42, актова зала
Гвардійський квартал, 33, м.Макіївка, Донецька обл., 86147","1808","832","1782","66","914","62","976","","0","914","62","976","52","924","22","673","122","32","7","18","50","29.10.12"
"142153","56","Донецька область","КП ""Макелектротранс"", актова зала
вул.Волгоградська, 1, м.Макіївка, Донецька обл., 86133","1776","726","1757","41","1014","36","1050","","0","1014","36","1050","42","1008","28","747","100","68","7","9","49","28.10.12"
"142154","56","Донецька область","школа №47, спортивна зала
вул.Леніна, 18, м.Макіївка, Донецька обл., 86133","1592","715","1558","86","800","77","877","","0","800","77","877","40","837","18","613","95","45","10","12","44","29.10.12"
"142155","56","Донецька область","школа №47, актова зала, праворуч
вул.Леніна, 18, м.Макіївка, Донецька обл., 86133","1520","654","1504","60","812","54","866","","0","812","54","866","36","830","24","601","107","42","8","6","42","29.10.12"
"142156","56","Донецька область","школа №47, актова зала, ліворуч
вул.Леніна, 18, м.Макіївка, Донецька обл., 86133","1560","772","1529","74","719","69","788","","0","719","69","788","34","754","21","530","84","35","9","15","60","29.10.12"
"142157","56","Донецька область","Спортивно-технічний клуб Товариства сприяння обороні України шахти імені В.М.Бажанова, к.3
вул.Воронезька, 33, м.Макіївка, Донецька обл., 86130","1360","603","1334","24","737","20","757","","0","737","20","757","38","719","18","532","87","33","5","7","37","29.10.12"
"142158","56","Донецька область","Палац культури імені М.І.Калініна, танцклас, 2-й поверх
вул.Ярошенка, 12А, м.Макіївка, Донецька обл., 86119","1304","515","1291","98","691","98","789","","0","691","98","789","18","771","23","579","78","36","8","7","40","29.10.12"
"142159","56","Донецька область","Палац культури імені М.І.Калініна, фойє, 2-й поверх, ліворуч
вул.Ярошенка, 12А, м.Макіївка, Донецька обл., 86119","1592","692","1566","54","850","50","900","","0","850","50","900","23","877","28","664","104","35","4","14","28","28.10.12"
"142160","56","Донецька область","Палац культури імені М.І.Калініна, фойє, 2-й поверх, праворуч
вул.Ярошенка, 12А, м.Макіївка, Донецька обл., 86119","1680","691","1658","71","918","71","989","","0","918","71","989","54","935","32","687","95","37","14","12","58","29.10.12"
"142161","56","Донецька область","школа №56, коридор, 2-й поверх
вул.Заслонова, 2, м.Макіївка, Донецька обл., 86119","1760","907","1727","35","822","31","853","","0","822","31","853","42","811","21","585","82","48","6","16","53","29.10.12"
"142162","56","Донецька область","школа №56, коридор, 3-й поверх
вул.Заслонова, 2, м.Макіївка, Донецька обл., 86119","1776","852","1762","78","854","70","924","","0","854","70","924","19","905","31","617","90","84","4","13","66","29.10.12"
"142163","56","Донецька область","Макіївський навчально-виховний комплекс №93 ""Гармонія"", школа №93, хол, 2-й поверх
вул.Трояновського, 65А, м.Макіївка, Донецька обл., 86119","1600","630","1590","64","915","55","970","","0","915","55","970","29","941","25","682","106","46","11","13","58","29.10.12"
"142164","56","Донецька область","Санаторій-профілакторій Макіївської філії ПАТ ""ЄМЗ"" ""Сонячний"", їдальня
вул.Молокова, 1, м.Макіївка, Донецька обл., 86139","2008","1003","1960","58","958","47","1005","","0","958","47","1005","28","977","35","690","122","47","12","9","62","29.10.12"
"142165","56","Донецька область","Макіївський професійний ліцей комунального господарства та побуту, спортивна зала
вул.Сєдова, 170, м.Макіївка, Донецька обл., 86106","1976","897","1947","64","1018","61","1079","","0","1018","61","1079","16","1063","42","726","146","58","11","12","68","29.10.12"
"142166","56","Донецька область","Гуртожиток Макіївського професійного ліцею комунального господарства та побуту, тренажерна зала
вул.Леніна, 108, м.Макіївка, Донецька обл., 86106","1760","702","1742","75","994","64","1058","","0","994","64","1058","51","1007","49","725","107","49","6","7","64","29.10.12"
"142167","56","Донецька область","Макіївське професійно-технічне училище сфери послуг, їдальня
вул.Леніна, 106/27, м.Макіївка, Донецька обл., 86125","1552","291","1525","42","1219","42","1261","","0","1219","42","1261","23","1238","30","1033","75","49","3","12","36","28.10.12"
"142168","56","Донецька область","школа №11, коридор, 2-й поверх
вул.Сєдова, 134, м.Макіївка, Донецька обл., 86125","1984","1095","1933","43","851","38","889","","0","851","38","889","63","826","25","518","145","44","9","13","72","29.10.12"
"142169","56","Донецька область","школа №11, коридор, 3-й поверх
вул.Сєдова, 134, м.Макіївка, Донецька обл., 86125","1616","817","1590","53","747","52","799","","0","747","52","799","31","768","29","544","103","40","5","7","40","29.10.12"
