"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Батенко
Тарас
Іванович","Бродецький
Анатолій
Миколайович","Дубик
Ігор
Іванович","Заваруєв
Анатолій
Михайлович","Канака
Остап
Тарасович","Котеляк
Лідія
Леонідівна","Оприско
Микола
Васильович","Петришин
Петро
Васильович","Свистович
Ігор
Михайлович","Сірків
Михайло
Миколайович","Федорів
Лариса
Йосипівна","Шкляр
Василь
Миколайович","Дата підписання протоколу"
"460726","123","Львівська область","народний дім, зал
вул.Дрогобицька, 105, с.Криниця, Миколаївський р-н, Львівська обл., 81643","756","260","755","40","461","35","496","","0","461","35","496","19","477","148","0","14","3","3","144","11","22","13","72","16","31","29.10.12"
"460727","123","Львівська область","навчальновиховний комплекс, спортзал
вул.Івана Франка, 14, с.Більче, Миколаївський р-н, Львівська обл., 81644","1170","338","1160","67","768","64","832","","0","768","64","832","15","817","319","3","20","5","5","155","17","25","5","36","43","184","29.10.12"
"460728","123","Львівська область","народний дім, зал
вул.Б.Хмельницького, 51, с.Болоня, Миколаївський р-н, Львівська обл., 81644","228","65","223","7","158","5","163","","0","158","5","163","7","156","39","0","0","0","0","25","0","4","6","18","6","58","28.10.12"
"460729","123","Львівська область","народний дім, зал
вул.Рибгоспна, 4, с.Рудники, Миколаївський р-н, Львівська обл., 81642","2412","842","2393","72","1503","67","1570","","0","1503","67","1570","30","1540","257","2","82","6","8","551","27","29","10","98","45","425","29.10.12"
"460730","123","Львівська область","народний дім, фойє
вул.Лесі Українки, 44, с.Держів, Миколаївський р-н, Львівська обл., 81645","990","219","987","56","716","55","771","","0","716","55","771","9","762","218","0","12","1","6","143","17","10","2","6","20","327","29.10.12"
"460731","123","Львівська область","школа, фойє
вул.Шкільна, 5, с.Київець, Миколаївський р-н, Львівська обл., 81646","936","311","927","52","574","51","625","","0","574","51","625","5","620","198","2","10","4","4","127","9","4","3","22","19","218","29.10.12"
"460732","123","Львівська область","сільська рада, зал засідань
вул.Шевченка, 53, с.Горішнє, Миколаївський р-н, Львівська обл., 81656","588","151","576","27","410","27","437","","0","410","27","437","11","426","112","1","9","2","4","158","2","3","1","13","15","106","28.10.12"
"460733","123","Львівська область","народний дім, зал
вул.Шевченка, 12, с.Долішнє, Миколаївський р-н, Львівська обл., 81656","270","70","270","20","181","19","200","","0","181","19","200","3","197","35","0","1","1","1","60","2","0","0","10","5","82","28.10.12"
"460734","123","Львівська область","народний дім, фойє
вул.Травнева, 2, с.Берездівці, Миколаївський р-н, Львівська обл., 81657","1374","442","1351","35","901","31","932","","0","901","31","932","11","921","220","4","11","16","4","352","21","21","6","18","44","204","29.10.12"
"460735","123","Львівська область","народний дім, зал
вул.Шкільна, 2, с.Гранки-Кути, Миколаївський р-н, Львівська обл., 81658","684","208","674","25","452","24","476","","0","452","24","476","12","464","117","0","3","7","2","163","5","1","1","9","14","142","28.10.12"
"460736","123","Львівська область","народний дім, зал
вул.Ходорівська, 7, с.Станківці, Миколаївський р-н, Львівська обл., 81659","510","133","499","23","354","23","377","","0","354","23","377","4","373","70","0","7","1","5","203","7","3","3","6","31","37","28.10.12"
"460737","123","Львівська область","народний дім, зал
вул.Заводська, 21, с.Підгірці, Миколаївський р-н, Львівська обл., 81659","186","48","191","10","130","8","138","","0","130","8","138","3","135","13","0","3","1","1","53","0","1","0","11","5","47","29.10.12"
"460738","123","Львівська область","народний дім, зал
вул.Наддністрянська, 1, с.Тужанівці, Миколаївський р-н, Львівська обл., 81659","312","78","305","16","218","16","234","","0","218","16","234","2","232","36","0","16","0","0","112","3","2","1","1","3","58","28.10.12"
"460739","123","Львівська область","районна лікарня, п.5
вул.Федьковича, 1, с.Дроговиж, Миколаївський р-н, Львівська обл., 81632","264","236","36","14","16","12","28","","0","16","12","28","0","28","1","0","0","0","0","6","1","0","0","0","2","18","29.10.12"
"460740","123","Львівська область","психіатрична лікарня, актовий зал
вул.Січинського, 1, с.Заклад, Миколаївський р-н, Львівська обл., 81606","504","364","447","0","140","0","140","","0","140","0","140","38","102","23","6","10","6","4","11","5","4","2","7","5","19","29.10.12"
"460741","123","Львівська область","Миколаївська ВК-50, адміністративний корпус
вул.Стуса, 2, с.Заклад, Миколаївський р-н, Львівська обл., 81606","534","17","519","0","517","0","517","","0","517","0","517","64","453","23","7","15","14","14","10","23","8","16","292","20","11","29.10.12"
"460742","123","Львівська область","Держівська ВК-110, навчальний центр
вул.Лесі Українки, 170, с.Держів, Миколаївський р-н, Львівська обл., 81645","348","4","378","0","344","0","344","","0","344","0","344","41","303","17","7","8","2","4","17","4","2","6","207","21","8","28.10.12"
"460831","123","Львівська область","фойє 1-й поверх
вул.Т.Г.Шевченка, 20, с.Лагодів, Перемишлянський р-н, Львівська обл., 81212","492","159","481","42","296","37","333","","0","296","37","333","11","322","83","1","5","1","6","50","2","0","1","56","13","104","29.10.12"
"460832","123","Львівська область","Народний Дім, актовий зал
вул.Стрімка, 19, с.Під’ярків, Перемишлянський р-н, Львівська обл., 81213","312","67","308","32","215","30","245","","0","215","30","245","5","240","28","1","6","0","4","111","4","1","10","49","5","21","29.10.12"
"460833","123","Львівська область","Народний Дім, актовий зал
вул.Центральна, 3, с.Романів, Перемишлянський р-н, Львівська обл., 81213","624","142","614","41","443","39","482","","0","443","39","482","12","470","93","2","1","0","4","122","1","1","3","130","40","73","29.10.12"
"460834","123","Львівська область","Народний Дім, актовий зал
вул.Центральна, 6, с.Селиська, Перемишлянський р-н, Львівська обл., 81213","228","50","227","25","154","24","178","","0","154","24","178","6","172","37","0","3","1","7","65","1","1","1","46","3","7","29.10.12"
"460835","123","Львівська область","Народний Дім, актовий зал
вул.Центральна, 1, с.Підгородище, Перемишлянський р-н, Львівська обл., 81214","492","103","489","35","355","34","389","","0","355","34","389","3","386","200","0","0","0","5","68","0","0","1","58","2","52","29.10.12"
"460836","123","Львівська область","Народний Дім, актовий зал
вул.П.Колодія, 52А, с.Станимир, Перемишлянський р-н, Львівська обл., 81210","516","105","514","41","371","40","411","","0","371","40","411","9","402","97","2","3","2","6","147","4","0","0","57","10","74","29.10.12"
"460837","123","Львівська область","Народний Дім, актовий зал
вул.Г.Кузневича, 38, с.Ганачівка, Перемишлянський р-н, Львівська обл., 81211","342","73","342","31","239","30","269","","0","239","30","269","5","264","79","2","4","0","3","33","0","1","4","109","14","15","29.10.12"
"460838","123","Львівська область","Народний Дім, актовий зал
вул.о.Горчинського, 28, с.Лоні, Перемишлянський р-н, Львівська обл., 81230","180","56","178","26","99","25","124","","0","99","25","124","6","118","16","0","7","0","3","43","2","0","1","6","4","36","29.10.12"
"460839","123","Львівська область","Народний Дім, актовий зал
вул.Миру, 10, с.Липівці, Перемишлянський р-н, Львівська обл., 81230","780","282","773","79","425","73","498","","0","425","73","498","12","486","90","2","13","4","6","176","7","6","3","127","25","27","29.10.12"
"460840","123","Львівська область","Народний Дім, актовий зал
вул.Центральна, 4, с.Вишнівчик, Перемишлянський р-н, Львівська обл., 81231","312","108","303","51","160","44","204","","0","160","44","204","8","196","91","1","1","1","1","42","0","1","1","42","11","4","29.10.12"
"460841","123","Львівська область","школа, фойє
вул.Миру, 39Б, с.Плеників, Перемишлянський р-н, Львівська обл., 81231","144","52","142","22","74","18","92","","0","74","18","92","3","89","13","0","3","1","4","35","1","1","0","26","4","1","01.11.12"
"460842","123","Львівська область","Народний Дім, актовий зал
вул.Садова, 4Г, с.Затемне, Перемишлянський р-н, Львівська обл., 81215","96","15","101","8","73","8","81","","0","73","8","81","1","80","29","1","2","0","1","14","0","0","1","15","7","10","01.11.12"
"460843","123","Львівська область","Народний Дім, актовий зал
вул.Центральна, 85, с.Унів, Перемишлянський р-н, Львівська обл., 81215","378","98","379","25","255","25","280","","0","255","25","280","8","272","80","1","3","2","7","74","1","1","5","19","30","49","29.10.12"
"460844","123","Львівська область","Народний Дім, актовий зал
вул.Весела, 14А, с.Сивороги, Перемишлянський р-н, Львівська обл., 81215","114","34","117","4","77","3","80","","0","77","3","80","2","78","19","1","1","0","0","28","0","2","1","16","7","3","29.10.12"
"460845","123","Львівська область","Народний Дім, актовий зал
вул.Центральна, 83, с.Коросне, Перемишлянський р-н, Львівська обл., 81215","816","230","803","33","554","32","586","","0","554","32","586","9","577","96","1","6","1","4","170","5","2","6","116","42","128","29.10.12"
"460846","123","Львівська область","Народний Дім, актовий зал
вул.Зелена, 59А, с.Підмонастир, Перемишлянський р-н, Львівська обл., 81228","282","77","288","5","200","5","205","","0","200","5","205","6","199","59","1","5","2","0","52","2","2","5","42","11","18","29.10.12"
"460847","123","Львівська область","Народний Дім, актовий зал
вул.Шевченка Т., 30, с.Волощина, Перемишлянський р-н, Львівська обл., 81229","486","167","480","16","303","16","319","","0","303","16","319","7","312","54","0","2","3","1","65","2","1","5","136","16","27","29.10.12"
"460848","123","Львівська область","школа, спортзал, 1-й поверх
вул.Шкільна, 1, с.Великі Глібовичі, Перемишлянський р-н, Львівська обл., 81228","768","222","759","48","499","47","546","","0","499","47","546","10","536","184","3","3","1","6","195","0","3","8","97","9","27","28.10.12"
"460849","123","Львівська область","початкова школа, фойє
вул.Шевченка, 128А, с.Великі Глібовичі, Перемишлянський р-н, Львівська обл., 81228","720","218","714","47","456","46","502","","0","456","46","502","10","492","212","1","1","1","6","154","2","1","3","72","17","22","28.10.12"
"460850","123","Львівська область","школа, фойє, 1-й поверх
вул.Львівська, 67, с.Шпильчина, Перемишлянський р-н, Львівська обл., 81222","420","109","420","29","283","28","311","","0","282","28","310","2","308","62","0","3","0","1","53","1","0","16","99","18","55","01.11.12"
"460851","123","Львівська область","Будинок школяра, актовий зал
вул.Грушевського, 21, м.Бібрка, Перемишлянський р-н, Львівська обл., 81220","1686","664","1646","49","976","46","1022","","0","976","46","1022","18","1004","140","3","6","6","14","205","3","0","2","304","34","287","29.10.12"
"460852","123","Львівська область","дитячий садок, актовий зал, 2-й поверх
вул.Уляни Кравченко, 17, м.Бібрка, Перемишлянський р-н, Львівська обл., 81220","1662","568","1629","21","1074","20","1094","","0","1074","20","1094","21","1073","135","2","9","3","7","250","1","2","4","278","46","336","29.10.12"
"460853","123","Львівська область","школа, фойє
вул.Шевченка, 40, с.Волове, Перемишлянський р-н, Львівська обл., 81223","228","74","232","14","144","10","154","","0","144","10","154","6","148","8","0","1","1","2","38","1","0","1","86","2","8","29.10.12"
"460854","123","Львівська область","Народний Дім, актовий зал
вул.Галицька, 1, с.Стрілки, Перемишлянський р-н, Львівська обл., 81223","426","125","430","40","261","40","301","","0","261","40","301","4","297","28","0","2","0","1","79","1","0","8","110","15","53","29.10.12"
"460855","123","Львівська область","Народний Дім, актовий зал
вул.Івана Франка, 4, с.Стоки, Перемишлянський р-н, Львівська обл., 81223","414","122","415","24","268","24","292","","0","268","24","292","8","284","38","3","7","1","2","71","1","0","1","97","12","51","29.10.12"
"460856","123","Львівська область","школа, спортзал, 1-й поверх
вул.Івана Франка, 85А, с.Малі Ланки, Перемишлянський р-н, Львівська обл., 81223","462","113","462","18","333","16","349","","0","333","16","349","3","346","65","0","2","1","7","91","5","1","9","96","13","56","29.10.12"
"460857","123","Львівська область","Народний Дім, актовий зал
вул.Галицька, 16А, с.Вілявче, Перемишлянський р-н, Львівська обл., 81223","126","40","135","10","78","8","86","","0","78","8","86","4","82","3","0","1","0","1","35","0","0","0","20","2","20","29.10.12"
"460858","123","Львівська область","Народний Дім, актовий зал
вул.Село, 21, с.Копань, Перемишлянський р-н, Львівська обл., 81225","102","26","112","19","60","16","76","","0","60","16","76","0","76","10","0","0","4","0","22","1","0","1","29","2","7","29.10.12"
"460859","123","Львівська область","Народний Дім, актовий зал
вул.Перша, 82, с.Свірж, Перемишлянський р-н, Львівська обл., 81225","594","139","588","57","404","51","455","","0","404","51","455","6","449","91","2","6","4","7","108","4","1","4","80","24","118","28.10.12"
"460860","123","Львівська область","Народний Дім, актовий зал
вул.Гора, 64, с.Глібовичі, Перемишлянський р-н, Львівська обл., 81226","534","159","526","94","281","94","375","","0","281","94","375","9","366","126","0","3","2","9","64","10","1","3","110","14","24","29.10.12"
"460861","123","Львівська область","Народний Дім, актовий зал
вул.Галицька, 80А, с.Кимир, Перемишлянський р-н, Львівська обл., 81240","270","59","271","13","198","13","211","","0","198","13","211","5","206","48","1","1","1","7","59","1","1","2","43","3","39","28.10.12"
"460862","123","Львівська область","школа, фойє
вул.Шкільна, 2, с.Чуперносів, Перемишлянський р-н, Львівська обл., 81240","228","89","230","6","134","5","139","","0","134","5","139","0","139","13","0","1","0","3","49","0","0","7","53","3","10","29.10.12"
"460863","123","Львівська область","Народний Дім, актовий зал
вул.Джерельна, 1А, с.Неділиська, Перемишлянський р-н, Львівська обл., 81240","192","63","190","11","120","9","129","","0","120","9","129","4","125","38","0","3","0","1","32","12","2","1","30","5","1","29.10.12"
"460864","123","Львівська область","Адмінбудинок сільської ради, актовий зал
вул.Шевченка, 16, с.Ушковичі, Перемишлянський р-н, Львівська обл., 81240","438","102","437","40","297","39","336","","0","297","39","336","5","331","53","2","4","2","3","127","2","1","10","77","21","29","29.10.12"
"460865","123","Львівська область","Народний Дім, фойє, 2-й поверх
вул.Привокзальна, 1, м.Перемишляни, Перемишлянський р-н, Львівська обл., 81200","1836","657","1821","25","1160","19","1179","","0","1160","19","1179","16","1163","138","16","13","2","16","503","5","1","8","202","66","193","29.10.12"
"460866","123","Львівська область","школа №2, спортзал, 1-й поверх
вул.Галицька, 32, м.Перемишляни, Перемишлянський р-н, Львівська обл., 81200","1992","637","1966","47","1313","42","1355","","0","1313","42","1355","31","1324","151","12","10","6","18","656","9","5","18","157","63","219","29.10.12"
"460867","123","Львівська область","Центр дозвілля молоді, фойє
вул.Галицька, 71, м.Перемишляни, Перемишлянський р-н, Львівська обл., 81200","1572","522","1555","36","1016","34","1050","","0","1016","34","1050","29","1021","98","4","12","3","20","506","17","10","11","109","55","176","29.10.12"
"460868","123","Львівська область","школа, актовий зал, 1-й поверх
вул.Отця Боднара, 87, с.Борщів, Перемишлянський р-н, Львівська обл., 81232","1080","422","1066","69","589","69","658","","0","589","69","658","21","637","76","3","8","3","30","294","6","2","5","101","32","77","29.10.12"
"460869","123","Львівська область","школа, фойє
вул.Шевченка, 12, с.Виписки, Перемишлянський р-н, Львівська обл., 81232","306","97","307","25","184","25","209","","0","184","25","209","6","203","24","1","4","0","7","102","3","1","0","40","12","9","01.11.12"
"460870","123","Львівська область","Народний Дім, актовий зал
вул.Коновальця, 9, с.Ладанці, Перемишлянський р-н, Львівська обл., 81232","318","108","316","24","187","23","210","","0","187","23","210","7","203","24","0","6","0","1","87","4","0","2","58","15","6","29.10.12"
"460871","123","Львівська область","Народний Дім, актовий зал
вул.Івана Франка, 29, с.Пнятин, Перемишлянський р-н, Львівська обл., 81232","126","31","125","9","86","9","95","","0","86","9","95","0","95","30","0","3","1","1","38","1","0","1","14","3","3","28.10.12"
"460872","123","Львівська область","Народний Дім, актовий зал
вул.Центр, 7, с.Чемеринці, Перемишлянський р-н, Львівська обл., 81233","732","257","725","150","345","130","475","","0","345","130","475","13","462","138","6","7","1","34","145","4","5","3","96","9","14","01.11.12"
"460873","123","Львівська область","Народний Дім, актовий зал
вул.Підлісна, 2, с.Смереківка, Перемишлянський р-н, Львівська обл., 81234","186","58","182","22","108","20","128","","0","108","20","128","0","128","63","0","1","0","18","16","0","0","0","29","0","1","29.10.12"
"460874","123","Львівська область","Народний Дім, актовий зал
вул.Перемоги, 7А, с.Дунаїв, Перемишлянський р-н, Львівська обл., 81234","528","162","521","67","307","59","366","","0","307","59","366","12","354","87","2","2","0","131","49","1","0","1","42","8","31","28.10.12"
"460875","123","Львівська область","Народний Дім, актовий зал
вул.Лесі Українки, 13А, с.Лопушна, Перемишлянський р-н, Львівська обл., 81227","174","32","169","36","109","33","142","","0","109","33","142","2","140","6","0","1","0","1","25","0","0","2","89","5","11","29.10.12"
"460876","123","Львівська область","школа, фойє
вул.Івана Габрусевича, 2, с.Вільховець, Перемишлянський р-н, Львівська обл., 81227","252","33","254","18","201","18","219","","0","201","18","219","3","216","7","0","0","0","0","1","0","1","0","206","0","1","29.10.12"
"460877","123","Львівська область","Народний Дім, актовий зал
вул.Тараса Шевченка, 1, с.Суходіл, Перемишлянський р-н, Львівська обл., 81227","366","97","363","15","256","13","269","","0","256","13","269","5","264","46","0","2","1","2","31","1","0","5","156","6","14","28.10.12"
"460878","123","Львівська область","Адмінбудинок сільської ради, актовий зал
вул.Шевченка, 82, с.Лани, Перемишлянський р-н, Львівська обл., 81250","624","174","627","63","390","60","450","","0","390","60","450","5","445","42","1","1","4","3","114","0","2","1","221","11","45","29.10.12"
"460879","123","Львівська область","школа, фойє
вул.Зелена, 64, с.Сірники, Перемишлянський р-н, Львівська обл., 81250","312","112","313","27","175","25","200","","0","175","25","200","2","198","16","0","7","7","2","33","0","0","8","64","16","45","28.10.12"
"460880","123","Львівська область","Народний Дім, актовий зал
вул.Шевченка, 23, с.Любешка, Перемишлянський р-н, Львівська обл., 81251","480","120","478","55","305","55","360","","0","305","55","360","1","359","117","1","0","0","2","64","1","3","2","141","7","21","29.10.12"
"460881","123","Львівська область","Народний Дім, актовий зал
вул.Підгірна, 12А, с.Розсохи, Перемишлянський р-н, Львівська обл., 81243","246","63","244","19","164","19","183","","0","164","19","183","3","180","53","3","17","1","1","61","3","1","0","35","4","1","29.10.12"
"460882","123","Львівська область","Адмінбудинок сільської ради, актовий зал
вул.Центральна бічна, 1А, с.Осталовичі, Перемишлянський р-н, Львівська обл., 81243","582","174","573","46","362","46","408","","0","362","46","408","9","399","139","0","1","0","0","184","2","0","5","55","10","3","01.11.12"
"460883","123","Львівська область","школа, фойє
вул.Шкільна, 6, с.Утіховичі, Перемишлянський р-н, Львівська обл., 81243","174","40","174","31","103","31","134","","0","103","31","134","1","133","40","0","0","3","0","58","0","0","4","26","1","1","29.10.12"
"460884","123","Львівська область","Народний Дім, актовий зал
вул.Івана Франка, 54, с.Мерещів, Перемишлянський р-н, Львівська обл., 81242","468","117","463","49","302","49","351","","0","302","49","351","12","339","104","0","4","0","2","134","0","1","5","54","11","24","29.10.12"
"460885","123","Львівська область","Народний Дім, актовий зал
вул.Зелена, 47, с.Вовків, Перемишлянський р-н, Львівська обл., 81241","390","103","379","52","238","49","287","","0","238","49","287","4","283","85","1","6","0","1","117","0","0","1","46","5","21","30.10.12"
"460886","123","Львівська область","школа, фойє
вул.Шкільна, 1, с.Плетеничі, Перемишлянський р-н, Львівська обл., 81241","138","49","141","12","77","12","89","","0","77","12","89","4","85","24","1","2","0","0","43","1","0","0","10","2","2","29.10.12"
"460887","123","Львівська область","Народний Дім, актовий зал
вул.Зелена, 26, с.Малий Полюхів, Перемишлянський р-н, Львівська обл., 81241","102","34","104","13","56","12","68","","0","56","12","68","5","63","4","0","0","0","0","40","0","0","0","16","2","1","29.10.12"
"460888","123","Львівська область","Народний Дім, актовий зал
вул.Батьківщина, 3А, с.Біле, Перемишлянський р-н, Львівська обл., 81235","480","167","473","57","258","55","313","","0","258","55","313","2","311","59","0","8","3","25","105","1","1","0","96","9","4","29.10.12"
"460889","123","Львівська область","Народний Дім, актовий зал
вул.Садова, 58А, с.Новосілки, Перемишлянський р-н, Львівська обл., 81235","270","109","269","29","135","26","161","","0","135","26","161","5","156","38","3","0","0","3","41","5","1","1","41","15","8","28.10.12"
"460890","123","Львівська область","Школа, фойє, 1-ий поверх
вул. Лісна, 1, с.Тучне, Перемишлянський р-н, Львівська обл., 81253","312","84","307","39","192","36","228","","0","192","36","228","3","225","61","0","4","7","1","82","2","1","0","37","4","26","29.10.12"
"460891","123","Львівська область","Адмінбудинок сільської ради, актовий зал
вул.Шевченка, 35, с.Добряничі, Перемишлянський р-н, Львівська обл., 81252","270","66","266","24","180","24","204","","0","180","24","204","2","202","31","0","3","0","0","69","3","0","1","35","6","54","29.10.12"
"460892","123","Львівська область","Народний Дім, актовий зал
вул.Зелена, 20, с.Брюховичі, Перемишлянський р-н, Львівська обл., 81244","516","131","502","38","348","37","385","","0","348","37","385","3","382","35","0","4","1","11","208","2","0","5","65","12","39","01.11.12"
"460893","123","Львівська область","Народний Дім, актовий зал
вул.Галицька, 60А, с.Костенів, Перемишлянський р-н, Львівська обл., 81245","210","50","206","15","148","12","160","","0","148","12","160","4","156","55","2","3","0","0","57","0","0","1","18","7","13","29.10.12"
