"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Алексюк
Леонід
Михайлович","Білак
Іван
Іванович","Галамай
Йосиф
Іванович","Денькович
Іван
Васильович","Дубневич
Ярослав
Васильович","Куп’як
Іван
Петрович","Петришин
Андрій
Михайлович","Тиндик
Андрій
Богданович","Чорновол
Тетяна
Миколаївна","Дата підписання протоколу"
"460149","120","Львівська область","школа, к.2, 1-й поверх
вул.Окружна, 104, с.Андріянів, Городоцький р-н, Львівська обл., 81564","248","58","250","22","171","19","190","","0","171","19","190","2","188","0","4","1","9","125","1","0","0","48","29.10.12"
"460150","120","Львівська область","школа, к.1, 1-й поверх
вул.Шкільна, 70, с.Бартатів, Городоцький р-н, Львівська обл., 81551","696","175","690","34","489","32","521","","0","489","32","521","10","511","1","16","8","5","212","6","6","37","220","29.10.12"
"460151","120","Львівська область","Народний дім, актова зала, 1-й поверх
вул.Шкільна, 15, с.Братковичі, Городоцький р-н, Львівська обл., 81524","1016","208","1010","19","789","19","808","","0","789","19","808","16","792","2","8","7","18","584","7","2","19","145","29.10.12"
"460152","120","Львівська область","школа, к.8, 2-й поверх
вул.Театральна, 169В, с.Березець, Городоцький р-н, Львівська обл., 81570","720","171","704","65","484","65","549","","0","484","65","549","12","537","0","3","1","11","239","12","1","18","252","29.10.12"
"460153","120","Львівська область","школа, к.3, 1-й поверх
вул.Митрополита Йова Борецького, 39, с.Бірче, Городоцький р-н, Львівська обл., 81555","240","32","252","29","179","29","208","","0","179","29","208","3","205","0","12","2","5","95","4","1","8","78","29.10.12"
"460154","120","Львівська область","Народний дім, актова зала, 1-й поверх
вул.Миру, 52А, с.Бучали, Городоцький р-н, Львівська обл., 81560","1032","253","1022","54","728","51","779","","0","728","51","779","10","769","0","20","1","6","477","8","0","23","234","29.10.12"
"460155","120","Львівська область","Народний дім, к.2, 1-й поверх
вул.Центральна, 3, с.Вишня, Городоцький р-н, Львівська обл., 81540","1288","464","1276","68","762","62","824","","0","762","62","824","8","816","1","15","0","20","602","4","2","21","151","29.10.12"
"460156","120","Львівська область","санаторій ""Любінь Великий"", бібліотека, 1-й поверх
вул.Львівська, 16, смт Великий Любінь, Городоцький р-н, Львівська обл., 81555","1096","323","1085","29","744","29","773","","0","744","29","773","13","760","0","7","1","14","335","42","11","69","281","29.10.12"
"460157","120","Львівська область","школа, спортивна зала, 1-й поверх
вул.Січових Стрільців, 2, смт Великий Любінь, Городоцький р-н, Львівська обл., 81555","1384","429","1370","35","920","35","955","","0","920","35","955","7","948","6","15","2","11","451","16","9","52","386","29.10.12"
"460158","120","Львівська область","школа мистецтв, дзеркальна зала, 1-й поверх
вул.Львівська, 173, смт Великий Любінь, Городоцький р-н, Львівська обл., 81555","1064","369","1052","31","666","29","695","","0","666","29","695","11","684","2","5","4","11","299","45","4","41","273","29.10.12"
"460159","120","Львівська область","Народний дім, актова зала, 1-й поверх
вул.Зелена, 41А, с.Вовчухи, Городоцький р-н, Львівська обл., 81507","560","119","570","32","411","30","441","","0","411","30","441","7","434","0","11","1","18","195","26","3","15","165","29.10.12"
"460160","120","Львівська область","школа, к.2, 4, 1-й поверх
вул.Шкільна, 2, с.Галичани, Городоцький р-н, Львівська обл., 81523","632","160","632","39","433","39","472","","0","433","39","472","12","460","2","6","6","11","224","2","2","33","174","29.10.12"
"460161","120","Львівська область","Народний дім, актова зала, 1-й поверх
вул.Джерельна, 59А, с.Годвишня, Городоцький р-н, Львівська обл., 81500","144","27","143","19","98","19","117","","0","98","19","117","4","113","0","4","1","5","66","2","0","5","30","29.10.12"
"460162","120","Львівська область","школа №3, фойє, 1-й поверх
вул.Перемишльська, 28, м.Городок, Городоцький р-н, Львівська обл., 81500","1984","611","1954","13","1361","12","1373","","0","1361","12","1373","29","1344","6","20","9","14","610","22","11","87","565","29.10.12"
"460163","120","Львівська область","АПП ""Львівське"", к.5, 2-й поверх
вул.Комарнівська, 66, м.Городок, Городоцький р-н, Львівська обл., 81500","1720","573","1706","21","1128","19","1147","","0","1128","19","1147","20","1127","0","12","1","28","637","14","6","45","384","29.10.12"
"460164","120","Львівська область","Народний дім ""Просвіта"", праве крило, 1-й поверх
вул.майдан Гайдамаків, 5, м.Городок, Городоцький р-н, Львівська обл., 81500","2072","672","2066","28","1375","25","1400","","0","1375","25","1400","38","1362","21","23","12","33","554","28","8","93","590","29.10.12"
"460165","120","Львівська область","філія Городоцького райавтодору, актова зала, 1-й поверх
вул.П.Сагайдачного, 27, м.Городок, Городоцький р-н, Львівська обл., 81500","1576","503","1551","21","1055","18","1073","","0","1055","18","1073","30","1043","18","24","15","29","531","16","4","58","348","29.10.12"
"460166","120","Львівська область","Городоцька районна Мала академія мистецтв ім.П.Андрусіва, к.3, 1-й поверх
вул.Л.Мартовича, 1, м.Городок, Городоцький р-н, Львівська обл., 81500","1400","501","1373","10","890","9","899","","0","890","9","899","24","875","6","9","13","30","381","21","1","44","370","29.10.12"
"460167","120","Львівська область","школа №5, фойє, 1-й поверх
вул.В.Чорновола, 8А, м.Городок, Городоцький р-н, Львівська обл., 81500","1816","631","1802","17","1172","13","1185","","0","1172","13","1185","20","1165","14","24","15","28","460","17","1","95","511","29.10.12"
"460168","120","Львівська область","Народний дім, фойє, 1-й поверх
вул.Львівська, 729, м.Городок, Городоцький р-н, Львівська обл., 81500","408","142","397","4","262","4","266","","0","262","4","266","6","260","0","7","4","15","100","1","2","12","119","29.10.12"
"460169","120","Львівська область","школа №4, спортивна зала, 1-й поверх
вул.Авіаційна, 122, м.Городок, Городоцький р-н, Львівська обл., 81500","2464","1088","2439","10","1367","9","1376","","0","1367","9","1376","32","1344","31","63","10","34","628","17","5","144","412","29.10.12"
"460170","120","Львівська область","Народний дім, актова зала, 1-й поверх
вул.Козацька, 1, с.Градівка, Городоцький р-н, Львівська обл., 81532","1112","335","1102","29","748","29","777","","0","748","29","777","19","758","1","14","3","19","446","6","1","28","240","29.10.12"
"460171","120","Львівська область","школа, фойє, 1-й поверх
вул.Нова, 17, с.Грімне, Городоцький р-н, Львівська обл., 81565","976","264","966","123","597","115","712","","0","597","115","712","9","703","1","4","1","16","460","10","1","11","199","29.10.12"
"460172","120","Львівська область","школа, коридор, 1-й поверх
вул.Зелена, 15, с.Добряни, Городоцький р-н, Львівська обл., 81530","768","238","758","41","490","40","530","","0","490","40","530","18","512","1","3","1","12","274","50","1","10","160","29.10.12"
"460173","120","Львівська область","школа, кабінет української мови, 1-й поверх
вул.Сонячна, 87А, с.Долиняни, Городоцький р-н, Львівська обл., 81506","520","108","515","30","384","28","412","","0","384","28","412","0","412","1","4","0","11","245","9","1","15","126","29.10.12"
"460174","120","Львівська область","Народний дім, актова зала, 1-й поверх
вул.Зелена, 1А, с.Дроздовичі, Городоцький р-н, Львівська обл., 81501","648","192","652","25","432","24","456","","0","432","24","456","5","451","2","6","0","16","217","8","4","29","169","29.10.12"
"460175","120","Львівська область","Народний дім, актова зала, 1-й поверх
вул.Передміська, 93, с.Дубаневичі, Городоцький р-н, Львівська обл., 81541","968","295","955","54","621","52","673","","0","621","52","673","17","656","1","4","0","9","493","32","0","7","110","29.10.12"
"460176","120","Львівська область","школа, спортивна зала, 1-й поверх
вул.Січових Стрільців, 17, с.Заверешиця, Городоцький р-н, Львівська обл., 81511","1288","381","1278","45","864","43","907","","0","864","43","907","13","894","1","7","2","15","369","29","3","73","395","29.10.12"
"460177","120","Львівська область","Завидовицький НВК, к.4, 13, 14, 1-й поверх
вул.Підгірна, 54, с.Завидовичі, Городоцький р-н, Львівська обл., 81533","760","169","753","70","522","69","591","","0","522","69","591","6","585","2","8","0","9","402","0","5","7","152","29.10.12"
"460178","120","Львівська область","школа, їдальня, 1-й поверх
вул.Підгайська, 20, с.Зашковичі, Городоцький р-н, Львівська обл., 81534","392","110","387","24","263","19","282","","0","263","19","282","16","266","0","1","0","12","150","2","3","11","87","29.10.12"
"460179","120","Львівська область","Народний дім, актова зала, 1-й поверх
вул.Гайова, 57, с.Зелений Гай, Городоцький р-н, Львівська обл., 81531","248","62","250","13","174","12","186","","0","174","12","186","5","181","5","3","0","10","121","0","0","8","34","29.10.12"
"460180","120","Львівська область","школа, к.2, 1-й поверх
вул.Зелена, 3, с.Катериничі, Городоцький р-н, Львівська обл., 81562","248","43","241","20","185","20","205","","0","185","20","205","3","202","1","11","0","10","90","1","0","4","85","29.10.12"
"460181","120","Львівська область","Керницький НВК, фойє, 1-й поверх
вул.1-го Травня, 108, с.Керниця, Городоцький р-н, Львівська обл., 81550","1016","383","1002","80","557","76","633","","0","557","76","633","9","624","0","5","259","15","175","6","1","12","151","28.10.12"
"460182","120","Львівська область","школа, кабінет математики, 1-й поверх
вул.Річна, 38, с.Кліцько, Городоцький р-н, Львівська обл., 81564","304","94","301","26","184","26","210","","0","184","26","210","11","199","2","4","0","9","45","2","0","9","128","29.10.12"
"460183","120","Львівська область","школа, спортивна зала, 1-й поверх
вул.Львівська, 2, м.Комарно, Городоцький р-н, Львівська обл., 81562","1592","491","1567","32","1069","32","1101","","0","1069","32","1101","12","1089","1","9","0","12","577","16","7","31","436","29.10.12"
"460184","120","Львівська область","Народний дім, актова зала, 1-й поверх
вул.Січових Стрільців, 40, м.Комарно, Городоцький р-н, Львівська обл., 81562","1512","465","1504","28","1021","26","1047","","0","1021","26","1047","12","1035","1","16","0","8","593","13","4","33","367","29.10.12"
"460185","120","Львівська область","школа, кабінет української мови, 1-й поверх
вул.Центральна, 2, с.Коропуж, Городоцький р-н, Львівська обл., 81542","496","142","476","43","316","38","354","","0","316","38","354","3","351","0","24","1","5","206","2","1","12","100","29.10.12"
"460186","120","Львівська область","Народний дім, актова зала, 1-й поверх
вул.Польова, 4, с.Косівець, Городоцький р-н, Львівська обл., 81555","248","52","247","21","175","21","196","","0","175","21","196","6","190","0","7","2","7","102","2","3","9","58","29.10.12"
"460187","120","Львівська область","Народний дім, актова зала, 1-й поверх
вул.Центральна, 19, с.Лівчиці, Городоцький р-н, Львівська обл., 81574","296","42","295","26","228","26","254","","0","228","26","254","1","253","0","1","3","1","186","4","0","6","52","29.10.12"
"460188","120","Львівська область","Народний дім, актова зала, 1-й поверх
вул.Морозівка, 8А, с.Лісновичі, Городоцький р-н, Львівська обл., 81520","288","77","288","21","191","20","211","","0","191","20","211","0","211","2","4","0","6","94","0","0","6","99","29.10.12"
"460189","120","Львівська область","Народний дім, актова зала, 1-й поверх
вул.Кринична, 9, с.Малий Любінь, Городоцький р-н, Львівська обл., 81555","288","70","277","23","195","23","218","","0","195","23","218","1","217","1","6","0","6","141","0","0","6","57","29.10.12"
"460190","120","Львівська область","Мавковицький НВК, фойє, 1-й поверх
вул.Лугова, 183, с.Мавковичі, Городоцький р-н, Львівська обл., 81552","1136","422","1129","40","674","40","714","","0","674","40","714","18","696","1","14","27","15","457","13","0","13","156","29.10.12"
"460191","120","Львівська область","Народний дім, актова зала, 1-й поверх
вул.Черлянська, 1А, с.Мальованка, Городоцький р-н, Львівська обл., 81555","376","102","367","38","236","38","274","","0","236","38","274","6","268","1","0","0","16","160","9","2","7","73","29.10.12"
"460192","120","Львівська область","школа, фойє, 1-й поверх
вул.Лугова, 24, с.Милятин, Городоцький р-н, Львівська обл., 81530","360","98","362","44","218","44","262","","0","218","44","262","7","255","1","8","1","2","139","6","40","7","51","28.10.12"
"460193","120","Львівська область","Народний дім, актова зала, 1-й поверх
вул.Шкільна, 15, с.Мильчиці, Городоцький р-н, Львівська обл., 81531","224","66","220","23","135","23","158","","0","135","23","158","2","156","0","11","1","2","104","3","0","7","28","29.10.12"
"460194","120","Львівська область","Народний дім, актова зала, 1-й поверх
вул.Головна, 102, с.Монастирець, Городоцький р-н, Львівська обл., 81557","384","105","387","40","241","38","279","","0","241","38","279","3","276","0","1","0","7","173","11","0","5","79","29.10.12"
"460195","120","Львівська область","Народний дім, актова зала, 1-й поверх
вул.Жовтнева, 315, с.Мости, Городоцький р-н, Львівська обл., 81557","208","48","203","21","141","19","160","","0","141","19","160","4","156","0","6","1","1","69","0","0","4","75","28.10.12"
"460196","120","Львівська область","школа, їдальня, 1-й поверх
вул.Січових Стрільців, 25А, с.Мшана, Городоцький р-н, Львівська обл., 81512","2264","579","2239","63","1635","50","1685","","0","1635","50","1685","28","1657","2","5","5","33","847","46","7","91","621","29.10.12"
"460197","120","Львівська область","адмінбудинок сільської ради, к.1, 1-й поверх
вул.Дрогобицька, 1А, с.Нове Село, Городоцький р-н, Львівська обл., 81573","720","172","713","58","493","55","548","","0","493","55","548","7","541","0","1","0","16","238","9","0","7","270","29.10.12"
"460198","120","Львівська область","Народний дім, актова зала, 1-й поверх
вул.Шевченка, 2А, с.Переможне, Городоцький р-н, Львівська обл., 81561","800","259","787","71","470","71","541","","0","470","71","541","5","536","0","2","8","6","226","7","2","24","261","29.10.12"
"460199","120","Львівська область","ННВЦ ""Комарнівський"", актова зала, 1-й поверх
вул.П.Сагайдачного, 1, с.Переможне, Городоцький р-н, Львівська обл., 81561","856","214","842","41","603","39","642","","0","603","39","642","10","632","1","14","0","3","263","7","4","17","323","29.10.12"
"460200","120","Львівська область","Народний дім, актова зала, 1-й поверх
вул.Центральна, 1, с.Підзвіринець, Городоцький р-н, Львівська обл., 81574","632","186","627","57","392","54","446","","0","392","54","446","10","436","0","4","0","6","259","5","1","7","154","29.10.12"
"460201","120","Львівська область","Народний дім, актова зала, 1-й поверх
вул.Зарічна, 33, с.Побережне, Городоцький р-н, Львівська обл., 81561","200","46","199","24","131","23","154","","0","131","23","154","4","150","0","3","1","4","98","2","2","11","29","29.10.12"
"460202","120","Львівська область","Народний дім, актова зала, 1-й поверх
вул.Шевченка, 110, с.Повітно, Городоцький р-н, Львівська обл., 81510","888","275","880","50","563","50","613","","0","563","50","613","8","605","1","13","2","23","267","24","2","15","258","29.10.12"
"460203","120","Львівська область","школа, коридор, 1-й поверх
вул.Садова, 20, с.Поріччя Задвірне, Городоцький р-н, Львівська обл., 81535","464","154","462","24","286","24","310","","0","286","24","310","7","303","1","0","1","11","129","7","1","4","149","29.10.12"
