"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Будулич
Андрій
Володимирович","Василько
Ростислав
Степанович","Великач
Зеновій
Мирославович","Дубневич
Богдан
Васильович","Загорський
Володимир
Степанович","Іщук
Андрій
Богданович","Мандзюк
Тарас
Ігорович","Михальчишин
Юрій
Адріянович","Пущак
Микола
Зіновійович","Свелеба
Ярослав
Богданович","Снєгирьов
Дмитро
Васильович","Дата підписання протоколу"
"460963","118","Львівська область","школа, актовий зал
вул.Галицька, 1, с.Давидів, Пустомитівський р-н, Львівська обл., 81151","1980","568","1961","33","1381","31","1412","","0","1381","31","1412","26","1386","5","5","4","672","5","1","38","651","3","1","1","29.10.12"
"460964","118","Львівська область","сільська рада, актовий зал
вул.Галицька, 5, с.Давидів, Пустомитівський р-н, Львівська обл., 81151","1932","610","1917","20","1302","20","1322","","0","1302","20","1322","18","1304","4","1","2","676","3","0","45","564","1","7","1","29.10.12"
"460965","118","Львівська область","народний дім, актовий зал
102, с.Черепин, Пустомитівський р-н, Львівська обл., 81164","204","57","209","5","143","4","147","","0","143","4","147","2","145","0","0","1","97","0","0","1","45","0","1","0","29.10.12"
"460966","118","Львівська область","народний дім №1, актовий зал
вул.1-го травня, 19, с.Старе Село, Пустомитівський р-н, Львівська обл., 81154","1278","448","1267","61","773","57","830","","0","773","57","830","10","820","3","5","3","277","8","1","28","488","1","2","4","29.10.12"
"460967","118","Львівська область","народний дім №2, актовий зал
вул.1-го травня, 169А, с.Старе Село, Пустомитівський р-н, Львівська обл., 81154","456","118","454","29","309","29","338","","0","309","29","338","6","332","2","0","2","107","2","0","18","200","1","0","0","29.10.12"
"460968","118","Львівська область","народний дім, актовий зал
народний дім, с.Будьків, Пустомитівський р-н, Львівська обл., 81155","456","138","455","16","303","15","318","","0","303","15","318","5","313","2","1","4","101","0","1","7","193","3","1","0","29.10.12"
"460969","118","Львівська область","школа, фойє
школа, с.Звенигород, Пустомитівський р-н, Львівська обл., 81156","906","238","895","68","602","66","668","","0","602","66","668","15","653","7","1","23","404","0","0","18","200","0","0","0","29.10.12"
"460970","118","Львівська область","народний дім, актовий зал
народний дім, с.Шоломинь, Пустомитівський р-н, Львівська обл., 81158","648","158","644","36","459","31","490","","0","459","31","490","7","483","2","2","20","144","1","0","14","295","2","1","2","28.10.12"
"460971","118","Львівська область","народний дім, актовий зал
народний дім, с.Відники, Пустомитівський р-н, Львівська обл., 81157","618","172","611","39","407","39","446","","0","407","39","446","4","442","5","0","6","278","1","0","14","138","0","0","0","29.10.12"
"460972","118","Львівська область","школа, актовий зал
школа, с.Гринів, Пустомитівський р-н, Львівська обл., 81156","264","37","263","28","199","28","227","","0","199","28","227","3","224","2","1","1","163","0","0","7","49","0","0","1","29.10.12"
"460973","118","Львівська область","народний дім, актовий зал
народний дім, с.Коцурів, Пустомитівський р-н, Львівська обл., 81156","120","23","117","16","81","16","97","","0","81","16","97","1","96","1","0","1","73","1","0","3","17","0","0","0","29.10.12"
"460974","118","Львівська область","школа, спортзал
школа, с.Виннички, Пустомитівський р-н, Львівська обл., 81150","534","122","526","21","392","20","412","","0","392","20","412","4","408","4","1","0","207","1","1","10","182","0","1","1","29.10.12"
"460975","118","Львівська область","школа, спортзал
школа, с.Дмитровичі, Пустомитівський р-н, Львівська обл., 81150","342","80","341","19","243","19","262","","0","0","0","262","3","259","1","0","0","192","1","0","4","61","0","0","0","30.10.12"
"460976","118","Львівська область","школа, спортзал
школа, с.Гончари, Пустомитівський р-н, Львівська обл., 81150","258","67","258","9","182","9","191","","0","182","9","191","3","188","3","1","1","116","4","0","8","54","0","1","0","01.11.12"
"460977","118","Львівська область","народний дім, актовий зал
вул.Шевченка, 84, с.Чишки, Пустомитівський р-н, Львівська обл., 81144","2004","572","1995","82","1362","70","1432","","0","1362","70","1432","16","1416","11","9","5","498","11","0","69","792","5","13","3","29.10.12"
"460978","118","Львівська область","адміністративний корпус ПАФ, каб.2
вул.Бічна Шептицьких, 15, с.Чишки, Пустомитівський р-н, Львівська обл., 81144","564","205","562","19","341","18","359","","0","0","0","359","7","352","1","5","3","104","9","1","17","209","0","3","0","30.10.12"
"460979","118","Львівська область","сільська рада, актовий зал
вул.Шевченка, 3, с.Чижиків, Пустомитівський р-н, Львівська обл., 81145","894","206","888","45","643","45","688","","0","643","45","688","12","676","2","1","4","428","0","1","16","223","1","0","0","29.10.12"
"460980","118","Львівська область","народний дім, актовий зал
народний дім, с.Глуховичі, Пустомитівський р-н, Львівська обл., 81145","66","17","64","5","44","5","49","","0","44","5","49","0","49","1","0","0","40","0","0","0","8","0","0","0","28.10.12"
"460981","118","Львівська область","школа, актовий зал
школа, с.Миколаїв, Пустомитівський р-н, Львівська обл., 81153","378","87","375","31","265","26","291","","0","265","26","291","4","287","1","1","1","172","9","1","11","91","0","0","0","28.10.12"
"460982","118","Львівська область","народний дім, актовий зал
народний дім, с.Городиславичі, Пустомитівський р-н, Львівська обл., 81153","294","54","292","33","209","31","240","","0","209","31","240","2","238","1","0","3","132","3","1","4","93","0","0","1","28.10.12"
"460983","118","Львівська область","народний дім, актовий зал
Народний Дім, с.Гаї, Пустомитівський р-н, Львівська обл., 81153","336","81","340","27","229","26","255","","0","229","26","255","0","255","2","1","1","163","0","0","9","78","0","1","0","29.10.12"
"460984","118","Львівська область","народний дім, актовий зал
вул.Шевченка, 29, с.Підберізці, Пустомитівський р-н, Львівська обл., 81146","954","269","933","33","653","32","685","","0","653","32","685","6","679","3","3","4","245","3","1","33","382","2","1","2","29.10.12"
"460985","118","Львівська область","сільська рада, актовий зал
вул.Шевченка, 32, с.Миклашів, Пустомитівський р-н, Львівська обл., 81140","822","196","823","41","589","37","626","","0","589","37","626","8","618","4","0","0","310","2","0","13","286","1","1","1","29.10.12"
"460986","118","Львівська область","адміністративний корпус інституту, актовий зал
вул.Наукова, 1, с.Підгірне, Пустомитівський р-н, Львівська обл., 81153","438","106","441","8","324","8","332","","0","324","8","332","7","325","3","6","2","113","3","2","6","187","2","0","1","29.10.12"
"460987","118","Львівська область","народний дім, актовий зал
вул.Винниківська, 2А, с.Лисиничі, Пустомитівський р-н, Львівська обл., 81126","1908","461","1907","33","1416","31","1447","","0","1416","31","1447","14","1433","9","1","2","459","8","2","87","856","3","1","5","29.10.12"
"460988","118","Львівська область","народний дім, актовий зал
вул.Митрополита Яхимовича, 149А, с.Підбірці, Пустомитівський р-н, Львівська обл., 81127","2382","663","2365","57","1663","56","1719","","0","1663","56","1719","17","1702","9","1","3","623","8","0","65","986","4","1","2","29.10.12"
"460989","118","Львівська область","школа, фойє
вул.І.Франка, 71А, с.Ямпіль, Пустомитівський р-н, Львівська обл., 81122","1566","368","1563","42","1156","42","1198","","0","1157","41","1198","10","1188","4","6","3","375","3","0","52","740","0","5","0","29.10.12"
"460990","118","Львівська область","фельшерсько-акушерський пункт, каб.1
вул.Старе Село, 95А, с.Кам’янопіль, Пустомитівський р-н, Львівська обл., 81122","270","61","273","7","202","7","209","","0","202","7","209","0","209","1","2","0","82","4","0","11","109","0","0","0","29.10.12"
"460991","118","Львівська область","сільська рада, актовий зал
вул.Польова, 65, с.Сороки-Львівські, Пустомитівський р-н, Львівська обл., 81120","1134","329","1129","21","788","17","805","","0","788","17","805","10","795","2","2","1","328","5","0","27","426","2","1","1","29.10.12"
"460992","118","Львівська область","школа, фойє
вул.Січових Стрільців, 43, с.Муроване, Пустомитівський р-н, Львівська обл., 81121","2046","637","2033","15","1395","14","1409","","0","1395","14","1409","17","1392","3","6","5","538","3","1","65","768","0","3","0","29.10.12"
"460993","118","Львівська область","дошкільний навчальний заклад, каб.2
вул.Шевченка, 9А, с.Муроване, Пустомитівський р-н, Львівська обл., 81121","1572","526","1567","12","1035","11","1046","","0","1034","11","1045","19","1026","3","1","4","440","5","2","49","514","6","1","1","29.10.12"
"460994","118","Львівська область","школа, актовий зал
вул.М.Булеци, 255, с.Пикуловичі, Пустомитівський р-н, Львівська обл., 81125","1230","337","1191","37","857","36","893","","0","857","36","893","14","879","5","2","3","348","1","1","21","496","1","0","1","29.10.12"
"460995","118","Львівська область","народний дім, фойє
вул.Степана Бандери, 96, с.Борщовичі, Пустомитівський р-н, Львівська обл., 81124","1722","510","1715","39","1175","37","1212","","0","1175","37","1212","22","1190","6","5","7","447","7","3","62","648","1","3","1","29.10.12"
"460996","118","Львівська область","народний дім, фойє
вул.І.Франка, 16, с.Верхня Білка, Пустомитівський р-н, Львівська обл., 81141","1122","292","1112","49","781","49","830","","0","781","49","830","6","824","0","1","2","401","6","0","18","392","1","1","2","29.10.12"
"460997","118","Львівська область","народний дім, фойє
вул.Тракт Глинянський, 7, с.Нижня Білка, Пустомитівський р-н, Львівська обл., 81142","366","55","366","25","289","22","311","","0","289","22","311","2","309","1","0","1","120","0","0","8","179","0","0","0","28.10.12"
"460998","118","Львівська область","школа, каб.1
вул.І.Франка, 36, с.Сухоріччя, Пустомитівський р-н, Львівська обл., 81141","186","29","195","14","143","14","157","","0","143","14","157","2","155","4","1","1","82","0","0","6","60","0","1","0","29.10.12"
"460999","118","Львівська область","народний дім, актовий зал
вул.Грушевського, 160, с.Гамаліївка, Пустомитівський р-н, Львівська обл., 81123","600","109","601","17","476","15","491","","0","476","15","491","3","488","2","4","3","164","7","0","12","294","2","0","0","29.10.12"
"461000","118","Львівська область","школа, каб.2
школа, с.Чорнушовичі, Пустомитівський р-н, Львівська обл., 81143","498","93","507","18","387","18","405","","0","387","18","405","5","400","1","0","3","281","4","0","6","105","0","0","0","29.10.12"
"461001","118","Львівська область","школа, каб.2
школа, с.Журавники, Пустомитівський р-н, Львівська обл., 81143","180","45","187","6","129","6","135","","0","129","6","135","1","134","0","0","0","60","6","0","6","62","0","0","0","29.10.12"
"461002","118","Львівська область","народний дім, актовий зал
народний дім, с.Тарасівка, Пустомитівський р-н, Львівська обл., 81143","300","92","316","24","185","23","208","","0","185","23","208","4","204","3","0","1","162","0","1","4","33","0","0","0","29.10.12"
"461929","118","Львівська область","школа-садок ""Провесінь"", музичний зал, 1-й поверх
вул.Глинянський Тракт, 151Б, м.Львів, 79067","2070","621","2075","4","1446","3","1449","","0","1446","3","1449","28","1421","7","10","6","275","24","2","99","982","5","8","3","29.10.12"
"461930","118","Львівська область","агрофірма ""Провесінь"", актовий зал, 1-й поверх
вул.Глинянський Тракт, 152, м.Львів, 79067","2172","707","2156","10","1455","10","1465","","0","1455","10","1465","27","1438","7","35","8","262","22","4","149","938","4","5","4","29.10.12"
"461932","118","Львівська область","ЛКП ""За замком"", актовий зал, 2-й поверх
вул.Зустрічна, 1, м.Львів, 79000","810","287","816","5","518","5","523","","0","518","5","523","16","507","5","14","7","77","22","2","63","307","6","3","1","01.11.12"
"461933","118","Львівська область","школа №42, їдальня, 2-й поверх
вул.Каштанова, 9, м.Львів, 79038","1398","384","1389","4","1010","4","1014","","0","1010","4","1014","18","996","5","19","1","235","23","2","114","590","0","2","5","29.10.12"
"461934","118","Львівська область","школа №42, коридор, 2-й поверх
вул.Каштанова, 9, м.Львів, 79038","1812","581","1806","3","1228","3","1231","","0","1228","3","1231","27","1204","3","18","3","334","18","2","104","715","3","0","4","29.10.12"
"461937","118","Львівська область","школа №70, спортзал, 1-й поверх
вул.Кривчицька Дорога, 1, м.Львів, 79014","2478","800","2470","34","1646","32","1678","","0","1646","32","1678","31","1647","4","26","5","185","58","2","166","1166","11","5","19","29.10.12"
"461938","118","Львівська область","школа №71, спортзал, 1-й поверх
вул.Кривчицька Дорога, 92, м.Львів, 79067","2154","679","2148","13","1463","12","1475","","0","1463","12","1475","13","1462","4","3","2","210","17","6","137","1069","7","2","5","29.10.12"
"461939","118","Львівська область","школа-гімназія, хол, 1-й поверх
вул.Лисеницька, 3, м.Львів, 79032","2484","848","2470","5","1632","4","1636","","0","1632","4","1636","40","1596","3","20","11","288","51","4","174","1018","10","8","9","29.10.12"
"461943","118","Львівська область","авторемонтний завод, клуб, 1-й поверх
вул.Личаківська, 152, м.Львів, 79014","1980","625","1994","9","1347","8","1355","","0","1347","8","1355","33","1322","10","25","6","154","31","2","131","936","11","10","6","29.10.12"
"461944","118","Львівська область","гуртожиток №3 ЛНУ ім.І.Франка, спортзал, 1-й поверх
вул.Медової Печери, 39, м.Львів, 79038","2430","949","2411","18","1464","17","1481","","0","1464","17","1481","28","1453","11","43","6","384","54","3","123","809","5","6","9","29.10.12"
"461945","118","Львівська область","гуртожиток ЛНУ ім.І.Франка, спортивна кімната, 1-й поверх
вул.Медової Печери, 39А, м.Львів, 79038","1266","587","1291","0","679","0","679","","0","679","0","679","12","667","4","5","8","113","12","3","111","406","1","3","1","29.10.12"
"461946","118","Львівська область","Львівська державна фінансова академія, хол, 1-й поверх
вул.Медової Печери, 53, м.Львів, 79038","2340","703","2327","172","1471","166","1637","","0","1471","166","1637","44","1593","11","29","8","469","40","6","148","859","9","8","6","29.10.12"
"461951","118","Львівська область","гуртожиток №4 ЛНУ ім.І.Франка, їдальня, 1-й поверх
вул.Пасічна, 22, м.Львів, 79038","2136","920","2123","4","1215","1","1216","","0","1215","1","1216","25","1191","4","20","5","279","31","4","162","662","13","4","7","29.10.12"
"461952","118","Львівська область","гуртожиток №1 інституту фізкультури, хол, 1-й поверх
вул.Пасічна, 64А, м.Львів, 79038","2178","905","2163","6","1267","6","1273","","0","1267","6","1273","29","1244","7","23","3","255","43","4","153","731","5","5","15","29.10.12"
"461953","118","Львівська область","техніко-економічний коледж ЛНУ ""Львівська політехніка"", хол, 1-й поверх
вул.Пасічна, 87, м.Львів, 79032","2424","895","2405","4","1525","4","1529","","0","1525","4","1529","26","1503","7","50","2","282","50","9","165","918","9","2","9","29.10.12"
"461960","118","Львівська область","школа №7, спортзал, 1-й поверх
вул.Хмельницького Б., 132, м.Львів, 79024","2406","974","2408","11","1422","10","1432","","0","1422","10","1432","37","1395","10","14","15","204","21","5","160","947","9","8","2","29.10.12"
"461961","118","Львівська область","школа №7, коридор, 2-й поверх
вул.Хмельницького Б., 132, м.Львів, 79024","2136","754","2126","7","1376","6","1382","","0","1372","6","1378","42","1336","12","18","16","181","41","5","166","870","10","11","6","29.10.12"
"462095","118","Львівська область","БК імені Хоткевича, к.223, 2-й поверх
вул.Кушевича С., 1, м.Львів, 79019","2028","797","2020","11","1224","7","1231","","0","1224","7","1231","32","1199","9","47","5","187","62","5","177","688","9","5","5","29.10.12"
"462096","118","Львівська область","школа №22, хол, 2-й поверх
вул.Хімічна, 7, м.Львів, 79058","2202","818","2180","11","1375","9","1384","","0","1375","9","1384","50","1334","11","65","8","191","90","6","183","736","16","11","17","29.10.12"
"462097","118","Львівська область","школа №22, хол, 3-й поверх
вул.Хімічна, 7, м.Львів, 79058","2046","825","2025","25","1203","18","1221","","0","1203","18","1221","39","1182","4","34","6","161","43","6","191","712","8","13","4","29.10.12"
"462098","118","Львівська область","Львівський інститут банківської справи, ауд.108, 1-й поверх
пр.Чорновола В., 61, м.Львів, 79058","2178","710","2166","16","1452","16","1468","","0","1452","16","1468","35","1433","7","54","9","158","75","5","229","862","11","10","13","29.10.12"
"462099","118","Львівська область","школа №20, спортзал, 1-й поверх
вул.Скидана, 18, м.Львів, 79019","1686","668","1679","5","1015","3","1018","","0","1015","3","1018","35","983","8","41","1","179","32","8","161","538","7","1","7","29.10.12"
"462100","118","Львівська область","Львівський комбінат хлібопродуктів, клуб, актова зала, 2-й поверх
вул.Хмельницького Б., 88, м.Львів, 79019","2016","828","1997","8","1183","5","1188","","0","1183","5","1188","44","1144","4","26","13","167","44","4","180","677","10","11","8","29.10.12"
"462101","118","Львівська область","школа №57, спортзал, 1-й поверх
вул.Жовківська, 6, м.Львів, 79019","1386","565","1375","7","818","3","821","","0","818","3","821","20","801","3","28","9","124","40","4","140","440","5","4","4","29.10.12"
"462102","118","Львівська область","Ставропігійський ліцей, їдальня, 1-й поверх
вул.Плужника Є., 6, м.Львів, 79020","2280","807","2264","8","1466","7","1473","","0","1466","7","1473","37","1436","7","24","9","178","35","10","250","892","18","11","2","29.10.12"
"462103","118","Львівська область","школа №23, спортзал, 1-й поверх
вул.Варшавська, 126, м.Львів, 79020","2424","804","2394","16","1605","15","1620","","0","1605","15","1620","40","1580","12","51","7","227","51","5","206","983","10","20","8","29.10.12"
"462104","118","Львівська область","школа №23, їдальня, 2-й поверх
вул.Варшавська, 126, м.Львів, 79020","2352","719","2318","9","1626","7","1633","","0","1626","7","1633","32","1601","3","53","8","202","77","9","209","997","13","17","13","29.10.12"
"462105","118","Львівська область","школа №91, хол, 1-й поверх
вул.Варшавська, 58, м.Львів, 79020","2478","832","2449","17","1631","15","1646","","0","1631","15","1646","43","1603","6","48","10","189","63","10","216","1019","19","13","10","02.11.12"
"462106","118","Львівська область","школа №91, спортзал, 1-й поверх
вул.Варшавська, 58, м.Львів, 79020","2370","776","2333","16","1579","15","1594","","0","1579","15","1594","43","1551","5","53","8","172","75","13","207","980","13","10","15","29.10.12"
"462107","118","Львівська область","школа №43, хол, 2-й поверх
вул.Масарика Т., 9, м.Львів, 79058","2412","755","2403","16","1643","14","1657","","0","1643","14","1657","54","1603","6","94","9","163","105","13","244","929","9","17","14","01.11.12"
"462108","118","Львівська область","школа №43, їдальня, 1-й поверх
вул.Масарика Т., 9, м.Львів, 79058","2436","810","2397","12","1618","8","1626","","0","1618","8","1626","46","1580","7","30","5","203","50","8","209","1032","9","17","10","30.10.12"
"462114","118","Львівська область","школа №78, хол, 1-й поверх
вул.Замарстинівська, 132, м.Львів, 79058","2118","744","2097","15","1360","14","1374","","0","1360","14","1374","37","1337","8","35","10","170","38","5","253","797","8","10","3","29.10.12"
"462115","118","Львівська область","ВПУ комп’ютерних технологій і будівництва, хол, 1-й поверх
вул.Лінкольна А., 23, м.Львів, 79068","2520","1004","2514","4","1513","3","1516","","0","1512","3","1515","42","1473","7","18","9","261","24","3","216","902","14","14","5","29.10.12"
"462116","118","Львівська область","ВПУ комп’ютерних технологій і будівництва, хол, 2-й поверх
вул.Лінкольна А., 23, м.Львів, 79068","2364","882","2359","20","1465","17","1482","","0","1465","17","1482","39","1443","3","22","11","204","45","11","197","922","10","9","9","29.10.12"
"462117","118","Львівська область","школа №54, хол, 1-й поверх
вул.Хвильового М., 16, м.Львів, 79068","2400","842","2379","16","1546","12","1558","","0","1546","12","1558","32","1526","11","40","7","209","54","3","200","967","15","10","10","29.10.12"
"462118","118","Львівська область","школа №54, актова зала, 2-й поверх
вул.Хвильового М., 16, м.Львів, 79068","2394","828","2371","6","1560","6","1566","","0","1560","6","1566","40","1526","12","41","16","209","46","5","204","971","9","8","5","29.10.12"
"462151","118","Львівська область","Львівська міська клінічна лікарня швидкої медичної допомоги, лекційна зала, 4-й поверх
вул.Миколайчука І., 9, м.Львів, 79059","1008","583","508","179","246","179","425","","0","246","179","425","14","411","7","20","8","56","20","4","66","217","4","5","4","30.10.12"
"462152","118","Львівська область","Личаківська виправна колонія №30, 1-й поверх
вул.Шевченка, 156, м.Львів, 79039","984","67","917","52","865","52","917","","0","865","52","917","137","780","36","34","27","46","326","18","120","86","38","21","28","29.10.12"
