"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Андрущенко
Андрій
Олександрович","Коб’ялковський
Михайло
Степанович","Кожан
Володимир
Дмитрович","Матвієнко
Ігор
Володимирович","Сенчук
Сергій
Степанович","Сех
Ірина
Ігорівна","Стецик
Юрій
Михайлович","Тлємішок
Наталія
Олександрівна","Туркевич
Леся
Йосипівна","Шульба
Михайло
Степанович","Щепанкевич
Іван
Станіславович","Яремків
Ольга
Михайлівна","Дата підписання протоколу"
"460001","119","Львівська область","ЗАТ ""Бродиагробуд"", актовий зал
вул.Й.Рота, 5А, м.Броди, Бродівський р-н, Львівська обл., 80600","2178","1099","2190","11","1070","9","1079","","0","1070","9","1079","17","1061","9","82","20","4","60","762","16","9","7","75","4","13","29.10.12"
"460002","119","Львівська область","школа №4, актовий зал
вул.Низька, 11, м.Броди, Бродівський р-н, Львівська обл., 80600","1830","667","1813","38","1127","36","1163","","0","1127","36","1163","22","1141","3","79","9","4","39","890","9","1","6","3","86","12","29.10.12"
"460003","119","Львівська область","будинок учнівської творчості, актовий зал
вул.22-го Січня, 62, м.Броди, Бродівський р-н, Львівська обл., 80600","1638","615","1633","11","1012","11","1023","","0","1012","11","1023","24","999","9","37","19","2","30","817","6","2","4","4","59","10","29.10.12"
"460004","119","Львівська область","народний дім ""Просвіта"", малий зал
вул.Коцюбинського, 7, м.Броди, Бродівський р-н, Львівська обл., 80600","1788","738","1782","34","1017","33","1050","","0","1017","33","1050","35","1015","10","68","36","6","44","713","35","4","6","8","74","11","29.10.12"
"460005","119","Львівська область","КП ""Броди"", актовий зал
вул.Залізнична, 44, м.Броди, Бродівський р-н, Львівська обл., 80600","2142","786","2133","34","1324","32","1356","","0","1324","32","1356","26","1330","11","85","36","4","84","949","44","1","9","5","84","18","29.10.12"
"460006","119","Львівська область","школа №3, актовий зал
вул.Шкільна, 1, м.Броди, Бродівський р-н, Львівська обл., 80600","2382","985","2366","29","1373","24","1397","","0","1373","24","1397","46","1351","18","101","36","2","62","934","30","6","6","15","116","25","29.10.12"
"460007","119","Львівська область","школа №2, актовий зал
вул.Бузова, 5, м.Броди, Бродівський р-н, Львівська обл., 80600","1818","760","1793","12","1046","12","1058","","0","1046","12","1058","23","1035","8","40","16","5","50","818","19","2","5","2","58","12","29.10.12"
"460008","119","Львівська область","Бродівський райавтодор, актовий зал
вул.Шептицького, 46, м.Броди, Бродівський р-н, Львівська обл., 80600","2478","941","2452","19","1521","16","1537","","0","1521","16","1537","37","1500","14","100","33","4","92","1091","18","5","12","4","109","18","29.10.12"
"460009","119","Львівська область","школа естетичного виховання, актовий зал
вул.Великі Фільварки, 13, м.Броди, Бродівський р-н, Львівська обл., 80600","2076","733","2055","42","1306","37","1343","","0","1306","37","1343","34","1309","9","51","28","6","60","1018","29","6","6","2","85","9","29.10.12"
"460010","119","Львівська область","народний дім""Просвіта"", актовий зал
вул.Центральна, 10, с.Батьків, Бродівський р-н, Львівська обл., 80665","354","78","346","42","234","42","276","","0","234","42","276","7","269","4","37","4","3","22","172","5","0","2","1","15","4","29.10.12"
"460011","119","Львівська область","народний дім ""Просвіта"", актовий зал
вул.Центральна, 6, с.Звижень, Бродівський р-н, Львівська обл., 80666","360","80","358","45","235","45","280","","0","235","45","280","12","268","0","20","6","2","16","204","1","1","0","2","8","8","28.10.12"
"460012","119","Львівська область","народний дім ""Просвіта"", актовий зал
вул.Центральна, 52, с.Лукавець, Бродівський р-н, Львівська обл., 80665","150","35","146","19","98","17","115","","0","98","17","115","1","114","2","12","0","8","9","71","4","0","1","0","7","0","29.10.12"
"460013","119","Львівська область","народний дім ""Просвіта"", актовий зал
вул.Межигірська, 33, с.Межигори, Бродівський р-н, Львівська обл., 80665","120","28","118","10","83","9","92","","0","83","9","92","1","91","0","28","1","0","6","52","0","0","0","0","4","0","29.10.12"
"460014","119","Львівська область","школа, спортивний зал
вул.Колгоспна, 3, с.Вербівчик, Бродівський р-н, Львівська обл., 80673","300","58","307","15","227","15","242","","0","227","15","242","5","237","1","27","4","0","25","167","1","1","0","0","6","5","29.10.12"
"460015","119","Львівська область","школа, спортивний зал
вул.Шкільна, 2, с.Орихівчик, Бродівський р-н, Львівська обл., 80673","222","53","221","19","151","18","169","","0","151","18","169","2","167","1","18","35","3","10","92","1","1","1","0","1","4","29.10.12"
"460016","119","Львівська область","школа, спортивний зал
вул.Річна, 20, с.Стиборівка, Бродівський р-н, Львівська обл., 80673","294","92","293","22","180","22","202","","0","180","22","202","9","193","5","9","4","0","16","146","0","0","1","0","12","0","29.10.12"
"460017","119","Львівська область","народний дім ""Просвіта"", актовий зал
вул.Центральна, 30, с.Гаї, Бродівський р-н, Львівська обл., 80650","480","124","480","47","310","46","356","","0","310","46","356","4","352","10","34","10","1","35","250","2","0","2","1","6","1","29.10.12"
"460018","119","Львівська область","школа, фойє
вул.Центральна, 61А, с.Гаї-Дітковецькі, Бродівський р-н, Львівська обл., 80651","372","84","374","27","262","26","288","","0","262","26","288","4","284","5","19","1","4","12","225","7","1","0","1","7","2","29.10.12"
"460019","119","Львівська область","народний дім ""Просвіта"", актовий зал
вул.Казьмірі, 7, с.Гаї-Смоленські, Бродівський р-н, Львівська обл., 80650","342","79","338","40","226","37","263","","0","226","37","263","5","258","2","53","4","0","20","172","0","0","1","0","5","1","29.10.12"
"460020","119","Львівська область","народний дім ""Просвіта"", актовий зал
вул.Центральна, 96, с.Дітківці, Бродівський р-н, Львівська обл., 80650","360","111","358","27","223","26","249","","0","223","26","249","7","242","6","13","13","2","19","177","1","1","1","2","5","2","29.10.12"
"460021","119","Львівська область","народний дім ""Просвіта"", актовий зал
вул.Центральна, 76, с.Голубиця, Бродівський р-н, Львівська обл., 80663","630","205","623","62","364","61","425","","0","364","61","425","9","416","0","51","2","1","15","320","2","0","0","4","18","3","29.10.12"
"460022","119","Львівська область","народний дім ""Просвіта"", актовий зал
вул.Кутова, 1, с.Жарків, Бродівський р-н, Львівська обл., 80663","108","27","108","10","73","8","81","","0","73","8","81","0","81","1","20","0","0","4","51","0","0","0","0","5","0","28.10.12"
"460023","119","Львівська область","сільська рада, актовий зал
вул.Шевченка, 12, с.Заболотці, Бродівський р-н, Львівська обл., 80630","762","187","773","88","489","86","575","","0","489","86","575","9","566","5","26","10","3","29","453","4","2","2","2","29","1","28.10.12"
"460024","119","Львівська область","народний дім ""Просвіта"", актовий зал
вул.Проста, 40, с.Висоцько, Бродівський р-н, Львівська обл., 80632","456","119","454","35","303","34","337","","0","303","34","337","3","334","2","24","4","0","18","267","6","0","2","0","10","1","30.10.12"
"460025","119","Львівська область","дитячий садок, ігрова кімната
вул.Центральна, 86, с.Лугове, Бродівський р-н, Львівська обл., 80631","456","117","454","62","278","61","339","","0","278","61","339","9","330","6","33","2","3","13","244","3","0","1","2","20","3","29.10.12"
"460026","119","Львівська область","дитячий садок, актовий зал
вул.Шкільна, 14, с.Комарівка, Бродівський р-н, Львівська обл., 80610","372","118","375","26","229","25","254","","0","229","25","254","8","246","2","49","3","1","18","150","1","0","3","4","9","6","29.10.12"
"460027","119","Львівська область","народний дім ""Просвіта "", актовий зал
вул.Головна, 108, с.Корсів, Бродівський р-н, Львівська обл., 80611","438","135","439","37","266","37","303","","0","266","37","303","15","288","0","38","9","0","7","200","1","1","0","3","25","4","28.10.12"
"460028","119","Львівська область","народний дім ""Просвіта "", актовий зал
вул.Центральна, 27, с.Митниця, Бродівський р-н, Львівська обл., 80610","54","13","53","1","40","1","41","","0","40","1","41","0","41","1","12","0","0","3","22","0","1","0","1","0","1","28.10.12"
"460029","119","Львівська область","народний дім ""Просвіта"", актовий зал
вул.Грималівська, 2, с.Лешнів, Бродівський р-н, Львівська обл., 80613","870","230","858","42","600","40","640","","0","600","40","640","16","624","2","42","8","7","34","483","9","1","4","3","17","14","29.10.12"
"460030","119","Львівська область","народний дім ""Просвіта"", актовий зал
вул.Колгоспна, 24, с.Грималівка, Бродівський р-н, Львівська обл., 80613","162","36","161","13","115","11","126","","0","115","11","126","2","124","0","28","0","0","9","83","1","0","0","0","1","2","29.10.12"
"460031","119","Львівська область","народний дім ""Просвіта"", актовий зал
вул.Молодіжна, 17, с.Королівка, Бродівський р-н, Львівська обл., 80613","102","25","96","8","69","8","77","","0","69","8","77","2","75","3","18","0","0","7","44","0","0","0","0","3","0","28.10.12"
"460032","119","Львівська область","народний дім ""Просвіта"", актовий зал
вул.Довга, 17, с.Піски, Бродівський р-н, Львівська обл., 80614","492","109","497","41","342","41","383","","0","342","41","383","13","370","3","24","3","4","38","263","5","1","1","3","23","2","29.10.12"
"460033","119","Львівська область","сільська рада, фойє
вул.Центральна, 7, с.Маркопіль, Бродівський р-н, Львівська обл., 80674","462","124","458","42","297","41","338","","0","297","41","338","6","332","4","22","1","2","51","229","0","0","1","2","14","6","29.10.12"
"460034","119","Львівська область","школа, спортивний зал
вул.Центральна, 10, с.Шишківці, Бродівський р-н, Львівська обл., 80674","186","56","179","26","104","26","130","","0","104","26","130","3","127","0","23","0","1","8","80","4","0","0","0","8","3","29.10.12"
"460035","119","Львівська область","школа, спортивний зал
вул.Шкільна, 5, с.Накваша, Бродівський р-н, Львівська обл., 80654","366","113","362","39","214","39","253","","0","214","39","253","4","249","6","25","1","4","17","182","3","1","0","0","8","2","29.10.12"
"460036","119","Львівська область","школа, спортивний зал
вул.Зелена, 23А, с.Лукаші, Бродівський р-н, Львівська обл., 80654","348","91","345","29","229","28","257","","0","229","28","257","3","254","1","37","0","12","32","160","2","0","0","2","4","4","29.10.12"
"460037","119","Львівська область","народний дім ""Просвіта"", актовий зал
вул.Весела, 3, с.Микити, Бродівський р-н, Львівська обл., 80654","288","62","283","26","201","25","226","","0","201","25","226","4","222","0","17","2","5","36","147","2","0","0","0","10","3","29.10.12"
"460038","119","Львівська область","народний дім ""Просвіта"", актовий зал
вул.Головна, 4, с.Тетильківці, Бродівський р-н, Львівська обл., 80654","156","38","158","23","95","23","118","","0","95","23","118","2","116","2","18","0","1","17","76","0","0","0","0","2","0","29.10.12"
"460039","119","Львівська область","народний дім ""Просвіта"", актовий зал
вул.Центральна, 102, с.Паликорови, Бродівський р-н, Львівська обл., 80672","330","72","324","10","249","9","258","","0","249","9","258","1","257","3","25","8","1","37","153","5","2","1","0","16","6","29.10.12"
"460040","119","Львівська область","народний дім "" Просвіта"", актовий зал
вул.Молодіжна, 5, с.Кутище, Бродівський р-н, Львівська обл., 80672","150","40","151","22","91","19","110","","0","91","19","110","110","0","0","0","0","0","0","0","0","0","0","0","0","0","29.10.12"
"460041","119","Львівська область","народний дім "" Просвіта"", актовий зал
вул.Центральна, 3, с.Яснище, Бродівський р-н, Львівська обл., 80672","150","27","153","14","109","14","123","","0","109","14","123","1","122","1","13","1","0","20","79","0","2","0","0","5","1","29.10.12"
"460042","119","Львівська область","сільська рада, кімната Ощадбанку
вул.Центральна, 10, с.Пеняки, Бродівський р-н, Львівська обл., 80664","414","113","407","53","250","51","301","","0","250","51","301","11","290","0","23","1","3","22","228","3","0","0","1","9","0","28.10.12"
"460043","119","Львівська область","школа, спортивний зал
вул.Центральна, 21, с.Літовище, Бродівський р-н, Львівська обл., 80664","276","86","275","21","169","21","190","","0","169","21","190","6","184","2","11","1","1","4","153","2","2","0","1","4","3","29.10.12"
"460044","119","Львівська область","народний дім "" Просвіта"", актовий зал
вул.Набережна, 3, с.Чепелі, Бродівський р-н, Львівська обл., 80664","252","73","248","34","145","34","179","","0","145","34","179","3","176","1","19","0","2","5","134","4","2","0","2","4","3","29.10.12"
"460045","119","Львівська область","народний дім (верх), актовий зал
вул.Л Українки, народний дім (верх), с.Підгірці, Бродівський р-н, Львівська обл., 80660","336","113","331","24","199","24","223","","0","199","24","223","8","215","0","27","1","0","24","147","1","0","1","1","11","2","28.10.12"
"460046","119","Львівська область","народний дім (низ), актовий зал
вул.Гагаріна, народний дім (низ), с.Підгірці, Бродівський р-н Львівська обл., 80660","486","169","477","56","261","56","317","","0","261","56","317","7","310","2","27","3","1","28","216","6","2","2","0","22","1","29.10.12"
"460047","119","Львівська область","народний дім ""Просвіта"", актовий зал
вул.Незалежності, 67, смт Підкамінь, Бродівський р-н, Львівська обл., 80670","1680","640","1665","102","983","57","1040","","0","983","57","1040","30","1010","7","57","14","32","119","716","13","2","9","3","30","8","29.10.12"
"460048","119","Львівська область","народний дім ""Просвіта"", актовий зал
вул.Шкільна, 4, с.Паньківці, Бродівський р-н, Львівська обл., 80670","114","31","111","6","77","6","83","","0","77","6","83","3","80","0","3","3","0","13","52","2","0","0","0","4","3","28.10.12"
"460049","119","Львівська область","школа, с.Пониква, фойє
вул.Центральна, 10, с.Пониква, Бродівський р-н, Львівська обл., 80644","546","168","544","65","317","61","378","","0","317","61","378","5","373","2","42","8","4","27","258","4","2","2","1","22","1","29.10.12"
"460050","119","Львівська область","школа, с.Боратин, фойє
вул.Сонячна, 14, с.Боратин, Бродівський р-н, Львівська обл., 80645","360","113","353","38","210","37","247","","0","210","37","247","4","243","1","17","4","2","6","196","2","0","0","0","13","2","29.10.12"
"460051","119","Львівська область","народний дім ""Просвіта"", актовий зал
вул.Центральна, 2А, с.Переліски, Бродівський р-н, Львівська обл., 80644","174","45","170","12","117","12","129","","0","117","12","129","3","126","2","18","0","2","7","89","1","0","0","0","5","2","29.10.12"
"460052","119","Львівська область","школа, фойє
вул.Центральна, 57, с.Підгір’я, Бродівський р-н, Львівська обл., 80644","342","100","339","19","224","18","242","","0","224","18","242","8","234","4","19","7","1","13","175","3","1","0","1","6","4","28.10.12"
