"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Багай
Ярослав
Романович","Березюк
Андрій
Тарасович","Герчук
Ігор
Володимирович","Купінець
Богдан
Іванович","Нєкрасов
Ігор
Євгенович","Садовий
Василь
Степанович","Середа
Степан
Васильович","Фаріон
Ірина
Дмитрівна","Хруставчук
Богдан
Іванович","Дата підписання протоколу"
"461876","116","Львівська область","Училище залізничного транспорту, їдальня
вул.Блажкевич, 14, м.Львів, 79052","2328","770","2314","20","1543","15","1558","","0","1543","15","1558","39","1519","5","267","25","11","42","50","24","1032","63","29.10.12"
"461877","116","Львівська область","Міський народний дім "" Білогорща"", актова зала
вул.Білогорща, 23, м.Львів, 79052","1216","372","1224","11","833","11","844","","0","833","11","844","24","820","2","92","14","2","3","37","17","622","31","31.10.12"
"461878","116","Львівська область","школа №65, вестибюль
вул.Роксоляни, 35, м.Львів, 79052","2424","765","2403","17","1649","10","1659","","0","1649","10","1659","30","1629","12","277","13","4","65","73","17","1071","97","29.10.12"
"461879","116","Львівська область","школа №65, вестибюль
вул.Роксоляни, 35, м.Львів, 79052","2440","707","2421","7","1729","4","1733","","0","1729","4","1733","22","1711","10","319","15","9","9","65","13","1212","59","29.10.12"
"461880","116","Львівська область","школа №67, хол, 2-й поверх
вул.Сяйво, 18, м.Львів, 79025","2128","759","2119","31","1350","19","1369","","0","1350","19","1369","34","1335","10","236","17","8","49","66","20","875","54","29.10.12"
"461881","116","Львівська область","школа №67, хол, 2-й поверх
вул.Сяйво, 18, м.Львів, 79025","2080","700","2082","30","1358","22","1380","","0","1358","22","1380","36","1344","6","261","20","11","51","57","20","861","57","29.10.12"
"461882","116","Львівська область","школа №67, спортивний зал, 1-й поверх
вул.Сяйво, 99, м.Львів, 79025","2056","726","2042","16","1317","13","1330","","0","1317","13","1330","39","1291","2","223","18","9","22","71","14","869","63","29.10.12"
"461883","116","Львівська область","Технікум м’ясо-молочної промисловості, спортивний зал
вул.Бортнянського, 30/32, м.Львів, 79039","2168","887","2124","23","1262","15","1277","","0","1266","14","1280","41","1239","9","232","11","9","87","41","16","735","99","30.10.12"
"461884","116","Львівська область","Технікум м’ясо-молочної промисловості, актова зала
вул.Бортнянського, 30/32, м.Львів, 79039","2280","849","2252","27","1418","13","1431","","0","1418","13","1431","37","1394","8","273","22","5","79","55","17","843","92","29.10.12"
"461885","116","Львівська область","Гуманітарна гімназія, спортивний зал
вул.Степанівни О., 13, м.Львів, 79016","2312","918","2293","34","1371","23","1394","","0","1371","23","1394","49","1345","9","223","16","8","81","70","25","824","89","29.10.12"
"461886","116","Львівська область","Гуманітарна гімназія, їдальня
вул.Степанівни О., 13, м.Львів, 79016","2400","906","2378","15","1484","10","1494","","0","1482","10","1492","34","1458","3","277","17","6","90","72","31","857","105","29.10.12"
"461887","116","Львівська область","Народний дім мікрорайону Левандівка, актова зала
вул.Широка, 1, м.Львів, 79052","2304","674","2283","21","1615","15","1630","","0","1615","15","1630","45","1585","8","291","18","13","50","52","23","1020","110","29.10.12"
"461888","116","Львівська область","Вище професійне училище №20, хол
вул.Широка, 83, м.Львів, 79052","1936","583","1935","19","1339","14","1353","","0","1339","14","1353","29","1324","5","211","7","4","28","39","8","973","49","29.10.12"
"461889","116","Львівська область","Вище професійне училище №20, їдальня
вул.Широка, 83, м.Львів, 79052","2320","735","2315","17","1572","13","1585","","0","1572","13","1585","38","1547","9","243","14","9","40","49","17","1085","81","29.10.12"
"461890","116","Львівська область","Ліцей комп’ютерних технологій, хол
вул.Широка, 77А, м.Львів, 79052","2296","668","2278","10","1618","10","1628","","0","1618","10","1628","34","1594","9","311","12","5","39","51","12","1107","48","29.10.12"
"461891","116","Львівська область","Художнє училище, вестибюль
вул.Широка, 79, м.Львів, 79052","2152","732","2120","20","1407","13","1420","","1","1405","13","1418","37","1381","8","249","10","3","43","56","22","921","69","31.10.12"
"461892","116","Львівська область","Художнє училище, хол, 1-й поверх
вул.Широка, 79, м.Львів, 79052","2160","790","2148","26","1354","16","1370","","0","1354","16","1370","33","1337","5","214","14","5","43","48","14","927","67","31.10.12"
"461893","116","Львівська область","НВК гімназія ""Гроно"", спортивний зал
вул.Вигода, 27, м.Львів, 79052","2360","818","2332","25","1531","11","1542","","0","1531","11","1542","29","1513","13","260","10","3","71","46","15","989","106","29.10.12"
"461894","116","Львівська область","НВК гімназія ""Гроно"", хол
вул.Вигода, 27, м.Львів, 79052","2400","802","2374","25","1578","20","1598","","0","1578","20","1598","25","1573","0","268","8","8","40","48","13","1095","93","29.10.12"
"461895","116","Львівська область","Львівський художній ліцей, спортивний зал
вул.Хотинська, 6, м.Львів, 79018","2440","963","2398","24","1456","21","1477","","0","1456","21","1477","50","1427","8","309","23","14","70","87","25","812","79","29.10.12"
"461896","116","Львівська область","школа №77, хол
вул.Виговського, 7А, м.Львів, 79022","2392","878","2372","30","1490","24","1514","","0","1490","24","1514","33","1481","8","270","16","8","69","72","26","923","89","29.10.12"
"461897","116","Львівська область","школа №77, актова зала
вул.Виговського, 7А, м.Львів, 79022","2120","679","2089","25","1425","16","1441","","0","1425","16","1441","49","1392","6","187","11","10","71","60","7","970","70","29.10.12"
"461898","116","Львівська область","школа №68, вестибюль, 1-й поверх
вул.Дозвільна, 3, м.Львів, 79040","2368","853","2339","20","1506","9","1515","","0","1506","9","1515","47","1468","7","247","15","6","60","78","15","946","94","31.10.12"
"461899","116","Львівська область","школа №68, актова зала, 2-й поверх
вул.Дозвільна, 3, м.Львів, 79040","2320","831","2299","34","1464","25","1489","","0","1464","25","1489","44","1445","10","246","15","16","113","81","28","801","135","29.10.12"
"461900","116","Львівська область","Фізико-математичний ліцей-інтернат, хол
вул.Караджича, 29, м.Львів, 79054","2408","890","2377","41","1496","22","1518","","0","1496","22","1518","36","1482","6","207","16","15","69","72","19","981","97","29.10.12"
"461901","116","Львівська область","ДП ""Львівський лісгосп"", їдальня
вул.Яворницького, 8Б, м.Львів, 79054","2376","745","2369","16","1618","13","1631","","0","1618","13","1631","43","1588","11","268","17","10","59","59","22","1051","91","29.10.12"
"461902","116","Львівська область","школа №60, актова зала
вул.Полтави, 32, м.Львів, 79022","1888","672","1891","18","1205","11","1216","","0","1205","11","1216","31","1185","7","183","13","4","39","33","9","824","73","29.10.12"
"461903","116","Львівська область","школа №60, їдальня
вул.Полтави, 32, м.Львів, 79022","1888","612","1880","20","1257","19","1276","","0","1257","19","1276","34","1242","3","203","17","2","55","48","12","825","77","28.10.12"
"461904","116","Львівська область","школа №60, спортивний зал
вул.Полтави, 32; м.Львів, 79022","1872","612","1862","19","1244","16","1260","","0","1244","16","1260","28","1232","4","182","16","5","28","70","20","851","56","29.10.12"
