"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Барнацький
Павло
Степанович","Возняк
Віктор
Франкович","Гентош
Тарас
Йосифович","Грабовський
Святослав
Мирославович","Гук
Микола
Петрович","Задорожний
Іван
Маркович","Задорожний
Михайло
Леонович","Зубицька
Наталія
Петрівна","Ілик
Роман
Романович","Конц
Віктор
Ярославович","Курус
Ігор
Федорович","Курчик
Тарас
Михайлович","Лагодич
Микола
Миколайович","Одрехівський
Микола
Васильович","Сендак
Михайло
Дмитрович","Соколов
Віктор
Михайлович","Старовойтова
Валентина
Михайлівна","Трощановський
Костянтин
Анатолійович","Тустановський
Микола
Миронович","Янковський
Михайло
Петрович","Дата підписання протоколу"
"461692","121","Львівська область","бібліотека-філіал №6, фойє, 2-й поверх
вул.С.Коваліва, 32, м.Борислав, Львівська обл., 82300","1416","565","1404","6","848","3","851","","0","848","3","851","15","836","186","2","0","1","21","2","14","11","399","65","43","4","18","5","1","2","7","1","34","20","29.10.12"
"461693","121","Львівська область","жіноча консультація, актова зала, 2-й поверх
вул.С.Коваліва, 42, м.Борислав, Львівська обл., 82300","1076","415","1057","9","653","8","661","","0","653","8","661","12","649","156","7","5","0","16","4","12","12","320","34","20","4","10","4","8","0","5","1","18","13","29.10.12"
"461694","121","Львівська область","школа №4, вестибюль, 1-й поверх, ліве крило
вул.Зелена, 44, м.Борислав, Львівська обл., 82300","1764","774","1751","9","981","9","990","","0","981","9","990","23","967","232","9","8","2","33","4","18","20","429","65","35","11","35","2","3","0","17","2","17","25","29.10.12"
"461695","121","Львівська область","школа №4, вестибюль, 1-й поверх, праве крило
вул.Зелена, 44, м.Борислав, Львівська обл., 82300","1688","672","1680","35","985","31","1016","","0","985","31","1016","30","986","249","10","9","3","27","3","18","9","457","55","34","9","10","7","5","3","21","3","21","33","29.10.12"
"461696","121","Львівська область","школа №5, спортивна зала, 1-й поверх
вул.Трускавецька, 124, м.Борислав, Львівська обл., 82300","2048","693","2039","49","1311","44","1355","","0","1311","44","1355","19","1336","222","2","5","0","33","5","22","9","737","100","42","12","21","7","7","1","11","4","73","23","29.10.12"
"461697","121","Львівська область","газове господарство, актова зала, 2-й поверх
вул.Потік, 49, м.Борислав, Львівська обл., 82300","864","345","859","23","497","22","519","","0","497","22","519","15","504","110","0","2","2","24","3","9","7","226","18","50","6","7","4","4","1","1","1","12","17","29.10.12"
"461698","121","Львівська область","палац культури, танцювальна зала, 1-й поверх
вул.Данила Галицького, 34, м.Борислав, Львівська обл., 82300","976","361","973","13","604","11","615","","0","604","11","615","17","598","141","2","4","0","13","2","14","11","246","37","40","6","4","3","4","2","18","1","13","37","29.10.12"
"461699","121","Львівська область","професійний технічний ліцей, вестибюль, 1-й поверх
вул.Героїв ОУН-УПА, 21, м.Борислав, Львівська обл., 82300","784","299","773","14","476","9","485","","0","476","9","485","13","472","104","6","4","0","10","1","7","9","223","33","14","4","3","0","9","0","13","1","6","25","30.10.12"
"461700","121","Львівська область","школа №7, вестибюль, 1-й поверх
вул.Володимира Великого, 14, м.Борислав, Львівська обл., 82300","1060","365","1053","23","677","18","695","","0","677","18","695","15","680","147","11","4","0","24","2","10","12","302","65","41","5","0","0","8","3","8","0","15","23","29.10.12"
"461701","121","Львівська область","будинок школяра, концертна зала, 1-й поверх
вул.Шкільна, 10, м.Борислав, Львівська обл., 82300","1360","487","1343","24","850","23","873","","0","850","23","873","13","860","223","2","1","0","21","4","8","13","389","61","36","3","8","8","5","0","24","0","30","24","29.10.12"
"461702","121","Львівська область","дитяча школа мистецтв, актова зала, 2-й поверх
вул.Шевченка, 83, м.Борислав, Львівська обл., 82300","804","304","786","12","491","9","500","","0","491","9","500","10","490","132","3","1","1","13","3","6","2","195","61","26","5","2","1","3","0","6","0","10","20","29.10.12"
"461703","121","Львівська область","школа №3, вестибюль, 1-й поверх
вул.Шкільна, 19, м.Борислав, Львівська обл., 82300","1320","513","1297","36","774","33","807","","0","774","33","807","14","793","180","5","4","2","26","4","22","7","342","54","39","3","18","5","8","1","20","2","14","37","29.10.12"
"461704","121","Львівська область","електроцех НГВУ, актова зала, 1-й поверх
вул.С.Бандери, 39, м.Борислав, Львівська обл., 82300","596","236","602","18","342","18","360","","0","342","18","360","6","354","88","1","1","0","6","0","4","6","173","15","15","5","7","1","6","1","2","1","12","10","29.10.12"
"461705","121","Львівська область","прикарпатське УБР, клуб, 2-й поверх
вул.Шевченка, 215, м.Борислав, Львівська обл., 82300","544","181","544","20","345","18","363","","0","345","18","363","7","356","101","0","3","1","8","0","8","4","163","16","13","0","4","1","0","0","6","1","7","20","29.10.12"
"461706","121","Львівська область","школа №6, вестибюль, 2-й поверх
вул.С.Бандери, 102, м.Борислав, Львівська обл., 82300","764","249","771","30","487","28","515","","0","487","28","515","14","501","158","3","2","2","13","2","6","4","219","25","23","1","7","0","3","0","3","0","16","14","29.10.12"
"461707","121","Львівська область","селищний клуб, танцювальна зала, 1-й поверх
вул.Шевченка, 55 корп.А, смт Східниця, м.Борислав, Львівська обл., 82391","632","141","643","19","472","19","491","","0","472","19","491","6","485","139","5","6","1","19","0","5","7","214","20","37","4","7","1","3","0","2","0","1","14","29.10.12"
"461708","121","Львівська область","народний дім ""Просвіта"", концертний зал, 1-й поверх
вул.Промислова, 1, смт Східниця, м.Борислав, Львівська обл., 82391","1476","452","1478","36","990","34","1024","","0","990","34","1024","15","1009","225","3","3","4","22","3","14","18","517","49","69","13","19","2","1","0","5","3","16","23","29.10.12"
"461709","121","Львівська область","Дрогобицький професійний політехнічний ліцей, актова зала
вул.Пушкіна, 20, м.Дрогобич, Львівська обл., 82100","1692","712","1679","11","973","7","980","","0","973","7","980","21","959","78","56","7","2","54","4","48","13","531","43","26","16","40","6","7","5","5","3","1","14","29.10.12"
"461710","121","Львівська область","Дрогобицький механіко-технологічний коледж, актова зала
вул.Раневицька, 12, м.Дрогобич, Львівська обл., 82100","1720","655","1684","36","1034","31","1065","","0","1034","31","1065","66","999","70","70","13","3","33","7","59","19","522","35","45","11","52","19","10","4","9","2","2","14","29.10.12"
"461711","121","Львівська область","школа №16, їдальня
вул.Михайла Грушевського, 136, м.Дрогобич, Львівська обл., 82100","2428","910","2409","28","1491","27","1518","","0","1490","27","1517","33","1484","133","97","30","6","64","8","100","47","676","41","81","38","56","23","10","1","23","4","5","41","29.10.12"
"461712","121","Львівська область","школа №16, спортивний зал
вул.Михайла Грушевського, 136, м.Дрогобич, Львівська обл., 82100","2232","868","2217","24","1348","16","1364","","0","1348","16","1364","32","1332","46","86","13","5","52","15","73","40","697","49","63","33","71","14","11","2","11","8","3","40","30.10.12"
"461713","121","Львівська область","КП ""Дрогобичтеплоенерго"", актова зала
вул.Індустріальна, 1, корп.А, м.Дрогобич, Львівська обл., 82100","1460","632","1442","10","823","5","828","","0","823","5","828","14","814","59","33","22","1","44","5","36","19","422","38","35","16","50","10","1","1","6","0","3","13","29.10.12"
"461714","121","Львівська область","школа №10, актова зала
вул.Є.Коновальця, 11, м.Дрогобич, Львівська обл., 82100","2044","806","2033","20","1222","16","1238","","0","1222","16","1238","23","1215","71","75","22","2","58","9","91","17","638","63","42","24","46","23","13","0","4","1","1","15","29.10.12"
"461715","121","Львівська область","гуртожиток Дрогобицького державного педагогічного університету, спортивний зал
вул.Володимира Великого, 3, м.Дрогобич, Львівська обл., 82100","2264","951","2361","17","1298","15","1313","","0","1298","15","1313","17","1296","78","77","16","2","71","6","67","26","666","58","60","20","82","32","5","4","5","2","3","16","28.10.12"
"461716","121","Львівська область","школа №14, фойє
вул.Михайла Грушевського, 87, м.Дрогобич, Львівська обл., 82100","2284","847","2265","45","1403","34","1437","","0","1403","34","1437","35","1402","120","68","25","2","60","7","78","58","686","50","48","23","69","29","9","2","16","5","1","46","29.10.12"
"461717","121","Львівська область","школа №14, спортивний зал
вул.Михайла Грушевського, 87, м.Дрогобич, Львівська обл., 82100","2076","786","2062","41","1255","35","1290","","0","1255","35","1290","58","1232","77","85","9","6","62","8","84","52","614","28","42","18","53","22","11","3","11","4","4","39","29.10.12"
"461718","121","Львівська область","Дрогобицьке управління газового господарства, актова зала
вул.Стрийська, 104, м.Дрогобич, Львівська обл., 82100","2504","937","2469","37","1537","30","1567","","0","1537","30","1567","36","1531","70","81","43","5","82","11","108","37","760","67","47","30","85","30","17","6","23","1","1","27","29.10.12"
"461719","121","Львівська область","Дрогобицький нафтовий технікум, актова зала
вул.Михайла Грушевського, 57, м.Дрогобич, Львівська обл., 82100","2504","892","2459","30","1586","26","1612","","0","1585","26","1611","33","1578","147","91","20","1","68","10","78","32","771","57","66","17","107","33","7","16","27","2","4","24","29.10.12"
"461720","121","Львівська область","інститут фізики та математики Дрогобицького державного педагогічного університету, ауд.10
вул.Стрийська, 3, м.Дрогобич, Львівська обл., 82100","2440","968","2416","57","1426","46","1472","","0","1426","46","1472","44","1428","76","85","16","6","62","10","79","30","703","73","61","24","69","33","8","8","38","5","1","41","29.10.12"
"461721","121","Львівська область","районний Народний дім, фойє
вул.22 Січня, 28, м.Дрогобич, Львівська обл., 82100","2452","773","2450","47","1639","40","1679","","0","1639","40","1679","34","1645","136","95","23","3","94","7","99","37","850","48","68","23","61","30","8","2","18","3","2","38","29.10.12"
"461722","121","Львівська область","школа №1, їдальня
вул.Петра Сагайдачного, 19, м.Дрогобич, Львівська обл., 82100","2448","788","2431","36","1629","31","1660","","0","1629","31","1660","34","1626","148","88","38","5","95","15","92","44","781","51","55","30","66","38","18","4","19","1","1","37","29.10.12"
"461723","121","Львівська область","медичне училище ""Медик"", к.1
вул.Петра Сагайдачного, 100, м.Дрогобич, Львівська обл., 82100","2476","868","2459","22","1594","14","1608","","0","1594","14","1608","22","1586","115","96","25","0","58","15","119","23","784","63","39","26","124","37","17","1","12","1","3","28","29.10.12"
"461724","121","Львівська область","школа №17, вестибюль 1
вул.Самбірська, 70, м.Дрогобич, Львівська обл., 82100","2392","904","2369","35","1465","23","1488","","0","1465","23","1488","23","1465","113","98","43","4","91","12","107","40","676","62","54","25","76","17","5","2","12","1","2","25","29.10.12"
"461725","121","Львівська область","школа №17, вестибюль 2
вул.Самбірська, 70, м.Дрогобич, Львівська обл., 82100","2412","886","2392","14","1514","12","1526","","0","1514","12","1526","37","1489","100","95","33","3","62","96","9","18","743","43","65","27","85","54","16","3","6","5","2","24","29.10.12"
"461726","121","Львівська область","педагогічний факультет Дрогобицького державного педагогічного університету, ауд.1
вул.Леся Курбаса, 2, м.Дрогобич, Львівська обл., 82100","2236","810","2230","46","1384","42","1426","","0","1384","42","1426","15","1411","127","106","50","0","116","14","93","20","627","58","52","35","55","15","14","3","7","0","0","19","29.10.12"
"461727","121","Львівська область","школа №5, фойє
вул.Зварицька, 57, м.Дрогобич, Львівська обл., 82100","2520","909","2504","51","1567","44","1611","","0","1567","44","1611","47","1564","122","109","39","0","87","12","85","29","791","44","70","47","44","30","11","1","6","4","0","33","29.10.12"
"461728","121","Львівська область","головний корпус Дрогобицького державного педагогічного університету, ауд.1
вул.Івана Франка, 24, м.Дрогобич, Львівська обл., 82100","2212","867","2188","47","1300","45","1345","","0","1300","45","1345","27","1318","73","61","18","4","66","15","65","46","596","55","70","21","85","30","25","3","18","7","3","57","29.10.12"
"461729","121","Львівська область","школа №9, актова зала
вул.Фабрична, 63, м.Дрогобич, Львівська обл., 82100","2500","1044","2491","42","1426","30","1456","","0","1426","30","1456","23","1433","101","86","20","2","106","12","74","26","723","47","81","25","45","17","12","2","8","3","6","37","29.10.12"
"461730","121","Львівська область","Дрогобицьке музичне училище, актова зала
вул.Музична, 3, м.Дрогобич, Львівська обл., 82100","2484","936","2452","41","1515","33","1548","","0","1515","33","1548","40","1508","81","93","24","10","66","12","81","33","686","86","80","38","68","31","16","6","32","5","8","52","29.10.12"
"461731","121","Львівська область","школа №2, актова зала
вул.Лікаря Козловського, 17, м.Дрогобич, Львівська обл., 82100","2488","944","2463","39","1507","37","1544","","0","1507","37","1544","111","1433","90","97","25","4","77","16","105","30","708","28","58","28","63","13","14","7","15","3","5","47","29.10.12"
"461732","121","Львівська область","школа №2, спортивний зал
вул.Лікаря Козловського, 17, м.Дрогобич, Львівська обл., 82100","2504","967","2488","39","1506","31","1537","","0","1506","31","1537","36","1501","80","72","31","2","59","13","113","16","784","34","71","20","90","22","39","4","7","2","7","35","29.10.12"
"461733","121","Львівська область","філія Народного дому, глядацька зала
вул.Дрогобицька, 238, м.Стебник, м.Дрогобич, Львівська обл., 82172","1400","444","1408","36","922","34","956","","0","922","34","956","14","942","10","9","12","1","30","1","27","10","544","18","176","17","28","37","4","1","1","0","1","15","29.10.12"
"461734","121","Львівська область","філія Народного дому, глядацька зала
вул.Зелена Діброва, 71, м.Стебник, м.Дрогобич, Львівська обл., 82172","1136","303","1128","36","798","35","833","","0","798","35","833","12","821","3","9","2","2","18","3","18","5","544","21","129","20","29","6","2","0","1","1","3","5","29.10.12"
"461735","121","Львівська область","Стебницький професійний ліцей, актова зала
вул.Володимира Великого, 2, м.Стебник, м.Дрогобич, Львівська обл., 82172","1472","560","1470","12","904","8","912","","0","904","8","912","16","896","4","13","8","1","12","2","22","15","477","20","226","25","35","5","0","0","4","3","0","24","29.10.12"
"461736","121","Львівська область","Стебницький Народний дім, танцювальна зала
пл.Тараса Шевченка, 5, м.Стебник, м.Дрогобич, Львівська обл., 82172","1556","646","1546","21","895","15","910","","0","895","15","910","24","886","15","12","2","0","21","4","31","14","439","31","220","26","35","6","3","0","9","1","2","15","29.10.12"
"461737","121","Львівська область","школа №7, спортивний зал
вул.Михайла Грушевського, 11, м.Стебник, м.Дрогобич, Львівська обл., 82172","1420","549","1401","18","856","15","871","","0","856","15","871","22","849","13","17","5","0","19","1","24","7","488","39","161","26","28","3","0","0","8","1","2","7","29.10.12"
"461738","121","Львівська область","школа №6, їдальня
вул.Михайла Грушевського, 10, м.Стебник, м.Дрогобич, Львівська обл., 82172","1980","732","1950","27","1224","24","1248","","0","1224","24","1248","20","1228","15","18","15","3","41","40","25","10","665","37","252","32","25","15","4","1","6","2","1","21","29.10.12"
"461739","121","Львівська область","Стебницька музична школа, к.1
вул.Січових Стрільців, 1, м.Стебник, м.Дрогобич, Львівська обл., 82172","1516","639","1512","17","861","16","877","","0","861","16","877","13","864","15","17","12","4","11","4","17","13","444","35","192","21","36","8","2","2","5","0","3","23","29.10.12"
"461740","121","Львівська область","школа №11, спортивний зал
вул.Пантелеймона Куліша, 3, м.Стебник, м.Дрогобич, Львівська обл., 82172","1976","752","1972","37","1190","34","1224","","0","1190","34","1224","25","1199","18","15","5","5","24","5","30","17","634","33","327","20","26","10","0","0","11","1","1","17","29.10.12"
"461741","121","Львівська область","школа №18, фойє
вул.Петра Дорошенка, 1, м.Стебник, м.Дрогобич, Львівська обл., 82172","2184","822","2183","50","1321","41","1362","","0","1321","41","1362","36","1326","9","11","15","2","22","2","13","9","684","20","422","19","49","10","6","0","5","3","0","25","29.10.12"
"461742","121","Львівська область","Дрогобицька міська лікарня №1, актова зала
вул.Андрея Шептицького, 9, м.Дрогобич, Львівська обл., 82100","104","10","161","52","57","37","94","","0","57","37","94","1","93","6","6","2","0","9","3","5","1","46","4","3","1","3","0","1","0","2","1","0","0","29.10.12"
"461743","121","Львівська область","Дрогобицька виправна колонія №40, зала засідань
вул.Трускавецька, 77, м.Дрогобич, Львівська обл., 82100","1232","71","1207","0","1161","0","1161","","0","1161","0","1161","216","945","35","60","31","28","39","26","38","69","183","37","25","16","21","8","18","13","48","20","20","210","30.10.12"
"461808","121","Львівська область","санаторій ""Дніпро"", кіно-концертна зала, 1-й поверх
вул.Мазепи, 1, м.Трускавець, Львівська обл., 82200","2344","869","2323","28","1452","23","1475","","0","1452","23","1475","19","1456","74","47","25","25","64","9","67","35","809","40","86","17","44","22","16","2","15","3","7","49","29.10.12"
"461809","121","Львівська область","школа №1, спортивний зал, 1-й поверх
вул.Садова, 14, м.Трускавець, Львівська обл., 82200","2276","854","2254","40","1383","39","1422","","0","1383","39","1422","30","1392","68","33","24","43","92","4","47","15","806","51","75","12","30","11","11","2","13","1","6","48","29.10.12"
"461810","121","Львівська область","міська бібліотека, читальна зала, 2-й поверх
вул.Дрогобицька, 12, м.Трускавець, Львівська обл., 82200","1636","553","1632","18","1072","11","1083","","0","1072","11","1083","17","1066","55","30","9","36","60","4","55","22","558","30","87","12","23","13","13","0","9","3","12","35","30.10.12"
"461811","121","Львівська область","палац культури ім. Шевченка, фойє глядацького залу, 2-й поверх
майдан Кобзаря, 8, м.Трускавець, Львівська обл., 82200","1304","445","1308","33","828","31","859","","0","828","31","859","21","838","46","27","9","30","50","5","47","20","444","29","51","9","25","10","7","0","8","4","2","15","29.10.12"
"461812","121","Львівська область","школа №3, спортивний зал, 2-й поверх
вул.Стебницька, 98, м.Трускавець, Львівська обл., 82200","2348","889","2316","15","1448","11","1459","","0","1448","11","1459","34","1425","89","56","8","42","77","14","74","27","741","45","79","15","52","20","15","4","7","3","5","52","29.10.12"
"461813","121","Львівська область","будинок учнівської творчості, актова зала, 1-й поверх
вул.Стебницька, 12, м.Трускавець, Львівська обл., 82200","2188","843","2164","39","1314","31","1345","","0","1314","31","1345","30","1315","54","32","25","44","86","4","40","33","702","30","93","17","38","25","5","3","17","4","5","58","29.10.12"
"461814","121","Львівська область","школа №2, вестибюль, 1-й поверх
вул.Данилишиних, 19, м.Трускавець, Львівська обл., 82200","2380","860","2369","23","1500","20","1520","","0","1500","20","1520","22","1498","58","64","14","34","83","8","73","31","822","32","93","10","53","16","10","2","12","4","24","55","29.10.12"
"461815","121","Львівська область","спортивний комплекс ""Спортовець"", спортивний зал, 2-й поверх
вул.Данилишиних, 11, м.Трускавець, Львівська обл., 82200","2364","881","2345","64","1434","49","1483","","0","1434","49","1483","27","1456","60","49","14","28","77","6","69","31","776","33","81","5","81","11","21","9","29","4","6","66","29.10.12"
