"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Абаімов
Василь
Петрович","Вавриньчук
Алла
Дмитрівна","Дідусь
Роман
Іванович","Заболотній
Анатолій
Григорович","Кравченко
Ярослав
Валентинович","Криштопа
Микола
Григорович","Курпіль
Степан
Володимирович","Лешик
Володимир
Іванович","Осміловський
Денис
Васильович","Дата підписання протоколу"
"461222","124","Львівська область","Народний дім, актова зала
вул.Хмельницького, 32, с.Шарпанці, Сокальський р-н, Львівська обл., 80031","336","109","337","39","189","38","227","","0","189","38","227","9","218","1","1","17","4","6","48","126","0","15","28.10.12"
"461223","124","Львівська область","школа, актова зала
вул.Прибережна, 58, с.Лучиці, Сокальський р-н, Львівська обл., 80031","664","255","660","73","345","64","409","","0","345","64","409","16","393","2","7","21","14","9","43","274","3","20","29.10.12"
"461224","124","Львівська область","школа, учбове приміщення
вул.Миру, 57, с.Матів, Сокальський р-н, Львівська обл., 80032","168","48","165","14","106","14","120","","0","106","14","120","4","116","0","2","0","19","0","19","53","17","6","29.10.12"
"461225","124","Львівська область","бібліотека, читальна зала
вул.Сокальська, 11, с.Залижня, Сокальський р-н, Львівська обл., 80032","208","57","208","19","133","18","151","","0","133","18","151","4","147","0","2","13","16","2","56","48","6","4","29.10.12"
"461226","124","Львівська область","Народний дім, актова зала
вул.Сокальська, 39, с.Смиків, Сокальський р-н, Львівська обл., 80032","384","101","371","36","247","36","283","","0","247","36","283","2","281","3","5","4","10","3","36","161","46","13","29.10.12"
"461227","124","Львівська область","Народний дім, актова зала
вул.Сокальська, 19, с.Шпиколоси, Сокальський р-н, Львівська обл., 80036","272","97","266","26","152","23","175","","0","152","23","175","6","169","0","1","7","16","6","30","74","16","19","29.10.12"
"461228","124","Львівська область","Народний дім, актова зала
вул.Нова, 26, с.Княже, Сокальський р-н, Львівська обл, 80036","432","151","430","47","236","45","281","","0","236","45","281","9","272","2","7","4","9","3","37","181","19","10","29.10.12"
"461229","124","Львівська область","Народний дім, актова зала
вул.Івана Франка, 16, с.Фусів, Сокальський р-н, Львівська обл., 80037","384","128","374","32","224","32","256","","0","224","32","256","4","252","1","5","4","14","4","34","173","7","10","28.10.12"
"461230","124","Львівська область","Народний дім, гурткова кімната
вул.Шевченка, 10, с.Перв’ятичі, Сокальський р-н, Львівська обл., 80034","488","121","481","24","344","23","367","","0","344","23","367","8","359","1","3","11","11","6","40","246","7","34","29.10.12"
"461231","124","Львівська область","школа, столова
вул.Панаса, 10, с.Спасів, Сокальський р-н, Львівська обл, 80035","488","71","489","34","383","34","417","","0","383","34","417","8","409","0","1","35","11","7","39","254","2","60","28.10.12"
"461232","124","Львівська область","Народний дім, актова зала
вул.Сагайдачного,16, с.Переспа, Сокальський р-н, Львівська обл., 80082","552","132","539","24","396","24","420","","0","396","24","420","5","415","1","0","8","4","6","48","331","0","17","01.11.12"
"461233","124","Львівська область","Народний дім, актова зала
вул.Шевченка, 19, с.Зубків, Сокальський р-н, Львівська обл., 80083","384","92","378","12","280","12","292","","0","280","12","292","10","282","0","2","19","2","3","61","184","2","9","29.10.12"
"461234","124","Львівська область","адмінбудинок ПАФ ""Білий Стік"", актова зала
вул.Шевченка, 38Б, с.Волиця, Сокальський р-н, Львівська обл., 80080","792","193","795","42","557","42","599","","0","557","42","599","7","592","2","5","21","4","7","242","297","3","11","29.10.12"
"461235","124","Львівська область","Народний дім, актова зала
вул.Грушевського, 34, с.Комарів, Сокальський р-н, Львівська обл., 80081","584","122","581","24","438","24","462","","0","438","24","462","5","457","1","1","10","10","4","121","297","3","10","29.10.12"
"461236","124","Львівська область","Народний дім, актова зала
вул.Івана Франка, 24А, с.Копитів, Сокальський р-н, Львівська обл., 80033","184","31","188","18","135","18","153","","0","135","18","153","1","152","0","2","10","4","0","9","124","1","2","29.10.12"
"461237","124","Львівська область","Народний дім, коридор
просп.Шевченка, 4Б, с.Тартаків, Сокальський р-н, Львівська обл., 80033","1296","515","1288","65","721","60","781","","0","721","60","781","20","761","6","8","26","12","11","150","518","5","25","29.10.12"
"461238","124","Львівська область","Народний дім, актова зала
вул.Шевченка, 1Б, с.Романівка, Сокальський р-н, Львівська обл., 80033","304","83","299","12","209","12","221","","0","209","12","221","4","217","0","2","12","13","5","43","124","3","15","28.10.12"
"461239","124","Львівська область","Народний дім, актова зала
вул.Дмитра Штикала, 79, с.Ільковичі, Сокальський р-н, Львівська обл., 80026","496","158","491","19","320","18","338","","0","320","18","338","5","333","0","1","1","11","4","34","262","0","20","29.10.12"
"461240","124","Львівська область","Народний дім, актова зала
вул.Дружби 3Б, с.Свитазів, Сокальський р-н, Львівська обл., 80025","608","168","601","12","428","12","440","","0","428","12","440","10","430","3","10","7","13","6","54","304","0","33","29.10.12"
"461241","124","Львівська область","Народний дім, актова зала
вул.Першотравнева, 37, с.Суховоля, Сокальський р-н, Львівська обл., 80024","272","59","275","27","186","27","213","","0","186","27","213","3","210","1","3","3","9","1","28","153","2","10","29.10.12"
"461242","124","Львівська область","Народний дім, актова зала
вул.Шевченка, 40, с.Равщина, Сокальський р-н, Львівська обл., 80001","136","23","138","0","113","0","113","","0","113","0","113","5","108","1","3","0","8","0","13","81","0","2","29.10.12"
"461243","124","Львівська область","дитячий садок, актова зала
вул.Стуса, 16, с.Горбків, Сокальський р-н, Львівська обл., 80039","664","185","664","31","451","28","479","","0","451","28","479","5","474","0","2","12","12","9","51","377","1","10","28.10.12"
"461244","124","Львівська область","Народний дім, актова зала
вул.Зелена, 125, с.Поториця, Сокальський р-н, Львівська обл., 80038","1304","392","1286","35","882","30","912","","0","882","30","912","18","894","7","11","21","12","9","143","656","4","31","29.10.12"
"461245","124","Львівська область","Народний дім, актова зала
вул.Шевченка, 4, с.Велике, Сокальський р-н, Львівська обл., 80001","224","48","220","2","174","2","176","","0","174","2","176","2","174","0","2","4","3","2","28","130","1","4","28.10.12"
"461246","124","Львівська область","Сокальський професійний ліцей, вестибюль
вул.Підкови, 1, м.Сокаль, Сокальський р-н, Львівська обл., 80000","2264","889","2245","57","1319","56","1375","","0","1319","56","1375","38","1337","4","18","43","17","19","169","992","9","66","29.10.12"
"461247","124","Львівська область","гімназія, їдальня
вул.Шептицького, 88, м.Сокаль, Сокальський р-н, Львівська обл., 80000","2040","824","2025","32","1189","27","1216","","0","1189","27","1216","22","1194","3","33","25","30","16","163","848","11","65","29.10.12"
"461248","124","Львівська область","школа №2, коридор
вул.Шептицького, 104, м.Сокаль, Сокальський р-н, Львівська обл., 80000","2336","971","2321","31","1338","27","1365","","0","1338","27","1365","34","1331","5","63","43","39","24","153","926","11","67","29.10.12"
"461249","124","Львівська область","школа №3, коридор
вул.Героїв УПА, 18, м.Сокаль, Сокальський р-н, Львівська обл., 80000","2352","879","2326","46","1431","42","1473","","0","1431","42","1473","38","1435","2","58","51","37","14","211","1008","15","39","29.10.12"
"461250","124","Львівська область","школа №4, коридор
вул.Героїв УПА, 68, м.Сокаль, Сокальський р-н, Львівська обл., 80000","2232","901","2201","35","1298","33","1331","","0","1298","33","1331","30","1301","5","61","26","26","10","169","937","11","56","29.10.12"
"461251","124","Львівська область","школа-інтернат, коридор
вул.Тартаківська, 10, м.Сокаль, Сокальський р-н, Львівська обл., 80000","2096","964","2058","40","1094","38","1132","","0","1094","38","1132","19","1113","8","32","37","31","15","137","807","9","37","29.10.12"
"461252","124","Львівська область","Народний дім, хореографічна зала
вул.Шептицького, 24, м.Сокаль, Сокальський р-н, Львівська обл., 80000","2184","967","2159","29","1191","26","1217","","0","1191","26","1217","22","1195","10","40","51","38","15","136","823","15","67","29.10.12"
"461253","124","Львівська область","Народний дім, актова зала
вул.Шевченка, 25, с.Забужжя, Сокальський р-н, Львівська обл., 80028","1192","408","1180","55","730","54","784","","0","730","54","784","14","770","2","10","21","11","18","81","580","6","41","29.10.12"
"461254","124","Львівська область","Народний дім, актова зала
вул.Шевченка, 46Б, с.Опільсько, Сокальський р-н, Львівська обл., 80027","496","128","496","31","337","31","368","","0","337","31","368","5","363","0","4","13","4","3","54","255","9","21","29.10.12"
"461255","124","Львівська область","Народний дім, актова зала
вул.Шевченка, 2, с.Бояничі, Сокальський р-н, Львівська обл., 80044","376","71","370","24","281","24","305","","0","281","24","305","4","301","0","3","5","4","2","26","225","30","6","29.10.12"
"461256","124","Львівська область","школа, коридор
вул.Центральна, 21, с.Варяж, Сокальський р-н, Львівська обл., 80014","664","181","645","30","453","30","483","","0","453","30","483","10","473","2","4","11","18","3","77","343","5","10","29.10.12"
"461257","124","Львівська область","Народний дім, актова зала
вул.Широка, 27, с.Лубнівка, Сокальський р-н, Львівська обл., 80014","168","33","162","7","128","7","135","","0","128","7","135","0","135","1","2","6","5","2","23","88","4","4","29.10.12"
"461258","124","Львівська область","Народний дім, актова зала
вул.Белзька, 3, с.Русин, Сокальський р-н, Львівська обл., 80014","136","34","131","4","98","4","102","","0","97","4","101","4","97","0","1","1","3","1","19","67","1","4","29.10.12"
"461259","124","Львівська область","школа, коридор
вул.Шкільна, 7, с.Лешків, Сокальський р-н, Львівська обл., 80014","168","56","164","6","106","6","112","","0","106","6","112","5","107","0","0","6","13","1","18","68","0","1","29.10.12"
"461260","124","Львівська область","Лешківський інтернат, актова зала
вул.Широка, 29, с.Лешків, Сокальський р-н, Львівська обл., 80014","120","48","113","2","70","2","72","","0","70","2","72","27","45","2","0","0","5","1","17","16","2","2","29.10.12"
"461261","124","Львівська область","Народний дім, актова зала
вул.Центральна, 50А, с.Гута, Сокальський р-н, Львівська обл., 80042","408","142","402","33","234","32","266","","0","234","32","266","3","263","1","1","4","1","1","49","190","12","4","28.10.12"
"461262","124","Львівська область","Народний дім, актова зала
вул.Шептицького, 40Б, с.Савчин, Сокальський р-н, Львівська обл., 80044","496","109","499","36","353","34","387","","0","353","34","387","10","377","0","2","4","6","2","46","284","24","9","29.10.12"
"461263","124","Львівська область","Жвирківська селищна рада, зала засідань
вул.Мазепи, 49/1, смт Жвирка, Сокальський р-н, Львівська обл., 80040","1496","608","1488","56","832","56","888","","0","832","56","888","24","864","3","9","24","12","8","113","647","9","39","29.10.12"
"461264","124","Львівська область","школа, актова зала
вул.Хмельницького, 45, смт Жвирка, Сокальський р-н, Львівська обл., 80040","1392","551","1373","18","823","18","841","","0","823","18","841","15","826","2","9","28","12","5","110","610","8","42","29.10.12"
"461265","124","Львівська область","Народний дім, актова зала
вул.Українська, 33, с.Завишень, Сокальський р-н, Львівська обл., 80043","928","295","921","23","611","22","633","","0","611","22","633","14","619","1","4","15","4","6","78","484","3","24","29.10.12"
"461266","124","Львівська область","Народний дім, актова зала
вул.Сокальська, 1, с.Добрячин, Сокальський р-н, Львівська обл., 80053","720","135","723","19","568","17","585","","0","568","17","585","14","571","1","2","45","1","6","107","394","1","14","29.10.12"
"461267","124","Львівська область","школа, актова зала
вул.Шкільна, 30А, с.Борятин, Сокальський р-н, Львівська обл., 80052","664","170","660","67","428","66","494","","0","428","66","494","11","483","5","2","31","22","6","75","319","3","20","29.10.12"
"461268","124","Львівська область","школа, коридор
вул.Лесі Українки, 14, с.Острів, Сокальський р-н, Львівська обл., 80051","1464","397","1457","62","1006","61","1067","","0","0","0","1067","18","1049","2","3","45","6","5","152","789","8","39","30.10.12"
"461269","124","Львівська область","школа, коридор
вул.Шевченка 22А, с.Себечів, Сокальський р-н, Львівська обл., 80045","544","107","540","26","412","25","437","","0","412","25","437","5","432","0","2","19","18","7","281","99","2","4","29.10.12"
"461270","124","Львівська область","Народний дім, актова зала
вул.Центральна, 31, с.Вербове, Сокальський р-н, Львівська обл., 80045","88","20","90","7","61","7","68","","0","61","7","68","0","68","0","3","20","10","0","12","21","1","1","29.10.12"
"461271","124","Львівська область","школа, коридор
вул.Лесі Українки, 2Б, с.Муроване, Сокальський р-н, Львівська обл., 80050","816","189","820","32","595","32","627","","0","595","32","627","15","612","2","5","70","10","5","120","346","4","50","29.10.12"
"461272","124","Львівська область","Народний дім, актова зала
вул.Зелена, 3, с.Перемисловичі, Сокальський р-н, Львівська обл., 80046","376","87","380","29","260","29","289","","0","260","29","289","6","283","0","3","8","7","5","42","196","4","18","29.10.12"
"461273","124","Львівська область","Народний дім, актова зала
вул.Зелена, 27, с.Цеблів, Сокальський р-н, Львівська обл., 80046","240","38","243","16","187","15","202","","0","187","15","202","4","198","1","1","6","13","0","58","117","0","2","29.10.12"
"461274","124","Львівська область","Народний дім, актова зала
вул.Шевченка, 1, с.Заболоття, Сокальський р-н, Львівська обл., 80047","576","189","570","40","353","34","387","","0","353","34","387","5","382","0","5","13","17","4","46","283","0","14","29.10.12"
"461275","124","Львівська область","Народний дім, актова зала
вул.Центральна, 4, с.Жужеляни, Сокальський р-н, Львівська обл., 80046","464","127","458","36","301","36","337","","0","301","36","337","7","330","1","0","9","9","4","68","218","1","20","29.10.12"
"461276","124","Львівська область","Народний дім, актова зала
вул.Нова, 34, с.Стаївка, Сокальський р-н, Львівська обл., 80060","360","78","354","35","250","32","282","","0","250","32","282","6","276","1","2","27","15","2","52","158","4","15","29.10.12"
"461277","124","Львівська область","Народний дім, актова зала
вул.Центральна, 34А, с.Корчів, Сокальський р-н, Львівська обл., 80060","312","82","307","15","215","15","230","","0","215","15","230","7","223","1","2","5","5","3","27","162","3","15","29.10.12"
"461278","124","Львівська область","Народний дім, актова зала
вул.Чайковського, 1, м.Угнів, Сокальський р-н, Львівська обл., 80064","768","274","750","26","469","25","494","","0","469","25","494","6","488","2","0","9","2","5","64","263","4","139","29.10.12"
"461279","124","Львівська область","Народний дім, актова зала
вул.Прикордонна, 37Б, с.Піддубне, Сокальський р-н, Львівська обл., 80064","136","39","138","9","88","9","97","","0","88","9","97","2","95","0","0","0","2","2","44","38","2","7","29.10.12"
"461280","124","Львівська область","школа, коридор
вул.Шевченка, 1, с.Карів, Сокальський р-н, Львівська обл., 80066","800","300","788","48","456","44","500","","0","456","44","500","19","481","0","2","11","5","4","30","233","4","192","28.10.12"
"461281","124","Львівська область","Народний дім, актова зала
вул.Лісова, 1, с.Михайлівка, Сокальський р-н, Львіська обл., 80064","72","16","74","0","56","0","56","","0","56","0","56","1","55","0","0","2","1","0","13","25","0","14","28.10.12"
"461282","124","Львівська область","Народний дім, актова зала
вул.Хмельницького, 10, с.Острівок, Сокальський р-н, Львівська обл., 80067","96","17","97","13","67","12","79","","0","67","12","79","1","78","1","0","0","6","0","7","59","0","5","28.10.12"
"461283","124","Львівська область","Народний дім, актова зала
вул.Шевченка, 21, с.Воронів, Сокальський р-н, Львівська обл., 80067","88","4","91","4","80","4","84","","0","80","4","84","0","84","0","0","3","0","0","10","66","0","5","29.10.12"
"461284","124","Львівська область","Народний дім, актова зала
вул.Шевченка, 70, с.Домашів, Сокальський р-н, Львівська обл., 80067","608","158","595","37","414","36","450","","0","414","36","450","14","436","1","2","12","15","2","75","286","2","41","29.10.12"
"461285","124","Львівська область","школа, спортзал
вул.Травнева, 17, с.Діброва, Сокальський р-н, Львівська обл., 80068","392","116","390","55","222","54","276","","0","222","54","276","10","266","1","0","8","5","2","50","145","0","55","28.10.12"
"461286","124","Львівська область","Народний дім, актова зала
вул.Міцкевича, 1, м.Белз, Сокальський р-н, Львівська обл., 80063","1648","533","1614","77","1043","72","1115","","0","1042","72","1114","18","1096","1","13","42","15","8","223","757","4","33","29.10.12"
"461287","124","Львівська область","Народний дім, актова зала
вул.Центральна, 12, с.Тяглів, Сокальський р-н, Львівська обл., 80070","224","64","222","14","147","13","160","","0","147","13","160","4","156","0","1","7","12","3","32","92","3","6","29.10.12"
"461288","124","Львівська область","школа, актова зала
вул.Сайка, 2, с.Хлівчани, Сокальський р-н, Львівська обл., 80070","1432","563","1425","80","791","78","869","","0","791","78","869","20","849","1","8","50","21","13","109","554","5","88","28.10.12"
"461289","124","Львівська область","Народний дім, актова зала
вул.Центральна, 88, с.Низи, Сокальський р-н, Львівська обл., 80055","464","113","462","18","333","18","351","","0","333","18","351","5","346","4","2","13","6","8","82","221","2","8","29.10.12"
"461290","124","Львівська область","Народний дім, актова зала
вул.Липнева, 30, с.Ванів, Сокальський р-н, Львівська обл., 80054","616","155","608","34","427","34","461","","0","427","34","461","10","451","3","0","23","12","5","145","241","3","19","29.10.12"
"461291","124","Львівська область","Народний дім, актова зала
вул.Центральна, 12, с.Глухів, Сокальський р-н, Львівська обл., 80054","360","59","357","24","277","24","301","","0","277","24","301","7","294","0","6","20","3","4","65","191","1","4","29.10.12"
"461292","124","Львівська область","Народний дім, актова зала
вул.Шахтарська, 36, с.Бендюга, Сокальський р-н, Львівська обл., 80084","336","76","331","23","237","23","260","","0","237","23","260","3","257","0","2","8","3","4","57","176","2","5","29.10.12"
"461293","124","Львівська область","школа, спортзал
вул.Шкільна, 24, с.Межиріччя, Сокальський р-н, Львівська обл., 80084","784","158","774","36","590","36","626","","0","590","36","626","10","616","0","5","17","7","2","148","417","0","20","29.10.12"
"461294","124","Львівська область","школа, коридор
вул.Центральна, 7, с.Волсвин, Сокальський р-н, Львівська обл., 80085","1384","351","1394","80","967","66","1033","","0","967","66","1033","10","1023","1","4","23","7","5","246","706","3","28","29.10.12"
"461296","124","Львівська область","школа, їдальня
присілок Копані вул.Нова, 1, с.Сілець, Сокальський р-н, Львівська обл., 80086","1752","476","1752","24","1252","24","1276","","0","1252","24","1276","17","1259","1","3","42","3","7","363","799","7","34","29.10.12"
"461297","124","Львівська область","Сілецька сільська рада, зала засідань
присілок Солтиси, 757, с.Сілець, Сокальський р-н, Львівська обл., 80086","1056","302","1044","33","722","32","754","","0","722","32","754","18","736","3","2","20","3","3","257","427","6","15","29.10.12"
"461298","124","Львівська область","Народний дім, актова зала
вул.Свободи, 40, с.Пристань, Сокальський р-н, Львівська обл., 80072","672","232","666","58","384","56","440","","0","384","56","440","6","434","2","2","32","9","12","119","251","2","5","28.10.12"
"461299","124","Львівська область","Бутинська сільська рада, зала засідань
вул.Травнева, 18, с.Бутини, Сокальський р-н, Львівська обл., 80071","1344","465","1326","70","811","68","879","","0","811","68","879","8","871","6","6","46","18","8","219","537","6","25","29.10.12"
"461300","124","Львівська область","школа, коридор
вул.Незалежності, 10, с.Двірці, Сокальський р-н, Львівська обл, 80073","1056","352","1050","55","651","53","704","","0","651","53","704","20","684","5","8","24","2","7","131","495","1","11","29.10.12"
"461301","124","Львівська область","Народний дім, актова зала
вул.Шевченка, 3, с.Волиця, Сокальський р-н, Львівська обл., 80073","472","155","470","19","299","18","317","","0","299","18","317","5","312","3","1","14","8","6","88","181","4","7","29.10.12"
"461302","124","Львівська область","Великомостівський пансіонат, актова зала
вул.Шевченка, 1А, с.Волиця, Сокальський р-н, Львівська обл., 80073","120","10","125","31","80","30","110","","0","80","30","110","10","100","0","2","3","17","3","13","54","2","6","29.10.12"
"461303","124","Львівська область","школа, учбове приміщення
вул.Ващишина, 1, с.Куличків, Сокальський р-н, Львівська обл., 80077","392","92","404","32","268","32","300","","0","268","32","300","6","294","4","5","17","11","5","56","185","1","10","29.10.12"
"461304","124","Львівська область","Народний дім, актова зала
вул.Піщана, 18, с.Борове, Сокальський р-н, Львівська обл., 80076","336","71","339","9","257","8","265","","0","257","8","265","4","261","1","1","5","5","3","96","147","1","2","29.10.12"
"461305","124","Львівська область","школа, вестибюль
вул.Шевченка, 30А, м.Великі Мости, Сокальський р-н, Львівська обл., 80074","2328","776","2273","59","1497","55","1552","","0","1497","55","1552","28","1524","3","16","99","11","14","356","986","9","30","29.10.12"
"461306","124","Львівська область","Народний дім, актова зала
вул.Шевченка, 9, м.Великі Мости, Сокальський р-н, Львівська обл., 80074","2240","736","2226","57","1447","57","1504","","0","1447","57","1504","38","1466","10","15","65","14","13","433","882","11","23","29.10.12"
"461307","124","Львівська область","школа, коридор
вул.Нова, 10, с.Реклинець, Сокальський р-н, Львівська обл., 80078","1272","425","1262","32","816","31","847","","0","816","31","847","26","821","4","3","36","9","12","347","290","5","115","29.10.12"
"461308","124","Львівська область","школа, коридор
вул.Шкільна, 12А, с.Стремінь, Сокальський р-н, Львівська обл., 80079","344","93","335","30","223","28","251","","0","223","28","251","12","239","0","7","13","1","4","97","113","1","3","29.10.12"
"461309","124","Львівська область","лікарня, к.2
вул.Шашкевича, 75, м.Сокаль, Сокальський р-н, Львівська обл., 80000","104","58","46","1","45","1","46","","0","45","1","46","1","45","1","1","3","2","3","6","27","0","2","29.10.12"
