"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Антілогов
Віктор
Миколайович","Банников
Олександр
Геннадійович","Букін
Денис
Олександрович","Вербов
Андрій
Олександрович","Гончаренко
Андрій
Андрійович","Жадов
Юрій
Дмитрович","Кулак
Костянтин
Васильович","Купчишина
Діна
Леонідівна","Льовочкіна
Юлія
Володимирівна","Меньщиков
Сергій
Олександрович","Мокренюк
Сергій
Миколайович","Погребняк
Ігор
Анатолійович","Самадінов
Алмір
Шевкетович","Татарінов
Юрій
Анатолійович","Ткачук
Сергій
Васильович","Харін
Олександр
Васильович","Чорний
Петро
Володимирович","Шувайников
Сергій
Іванович","Дата підписання протоколу"
"010230","6","Автономна Республіка Крим","сільський клуб, фойє
вул.Клубна, 1А, с.Оріхівка, Кіровський р-н, Автономна Республіка Крим, 97313","264","91","272","10","163","10","173","","0","163","10","173","4","169","0","0","2","0","3","6","5","0","74","1","0","1","9","1","2","1","60","4","28.10.12"
"010231","6","Автономна Республіка Крим","будинок культури, фойє
вул.Леніна, 41А, с.Владиславівка, Кіровський р-н, Автономна Республіка Крим, 97320","1216","619","1203","52","550","47","597","","0","550","47","597","26","571","7","3","4","5","2","32","18","5","394","4","9","1","31","6","1","1","36","12","28.10.12"
"010232","6","Автономна Республіка Крим","школа, фойє
вул.Федосєєва, 1, с.Владиславівка, Кіровський р-н, Автономна Республіка Крим, 97320","1360","696","1353","40","631","33","664","","0","631","33","664","25","639","4","1","8","6","2","36","17","1","474","0","4","3","14","6","2","1","55","5","28.10.12"
"010233","6","Автономна Республіка Крим","школа, актова зала
вул.Суворова, 3, с.Партизани, Кіровський р-н, Автономна Республіка Крим, 97340","1256","646","1252","50","570","40","610","","0","570","40","610","23","587","1","2","0","1","2","36","23","5","420","1","3","3","32","3","5","2","29","19","28.10.12"
"010234","6","Автономна Республіка Крим","будинок культури, зала одружень
вул.Гоголя, 5А, с.Синицине, Кіровський р-н, Автономна Республіка Крим, 97312","1064","431","1050","58","579","54","633","","0","579","54","633","24","609","24","3","2","0","5","61","8","4","346","3","1","1","18","1","3","4","117","8","29.10.12"
"010235","6","Автономна Республіка Крим","ФАП, фойє
вул.Виноградна, 7А, с.Краснівка, Кіровський р-н, Автономна Республіка Крим, 97312","128","31","133","4","93","4","97","","0","93","4","97","3","94","17","1","0","0","1","1","0","0","61","0","0","1","2","2","1","0","6","1","28.10.12"
"010236","6","Автономна Республіка Крим","сільський клуб, фойє
вул.Нова, 2А, с.Василькове, Кіровський р-н, Автономна Республіка Крим, 97312","252","96","247","4","152","4","156","","0","152","4","156","4","152","10","0","2","2","3","5","10","1","70","0","1","0","19","2","5","3","19","0","28.10.12"
"010237","6","Автономна Республіка Крим","сільський клуб, фойє
вул.Шкільна, 3А, с.Токарєве, Кіровський р-н, Автономна Республіка Крим, 97310","756","326","747","24","407","23","430","","0","407","23","430","19","411","2","3","7","1","0","35","7","3","283","1","0","1","6","4","2","2","46","8","29.10.12"
"010238","6","Автономна Республіка Крим","дитячий садок ""Ивушка"", зала
вул.Леніна, 67, с.Шубине, Кіровський р-н, Автономна Республіка Крим, 97311","720","311","714","20","389","20","409","","0","389","20","409","15","394","5","0","1","2","1","20","5","2","270","0","0","3","7","3","5","3","65","2","29.10.12"
"010239","6","Автономна Республіка Крим","будинок культури, мала зала
вул.Трудова, 13А, с.Привітне, Кіровський р-н, Автономна Республіка Крим, 97341","2344","1224","2325","66","1059","61","1120","","0","1059","61","1120","44","1076","6","9","4","4","3","70","20","4","788","1","8","1","75","8","18","7","45","5","28.10.12"
"010240","6","Автономна Республіка Крим","школа, актова зала
вул.Центральна, 16А, с.Золоте Поле, Кіровський р-н, Автономна Республіка Крим, 97330","2172","1092","2155","59","1032","48","1080","","0","1032","48","1080","34","1046","8","5","12","3","7","82","25","3","742","2","5","1","30","4","5","2","98","12","29.10.12"
"010241","6","Автономна Республіка Крим","сільський клуб, фойє
вул.Набережна, 10, с.Відродження, Кіровський р-н, Автономна Республіка Крим, 97331","552","210","549","31","313","29","342","","0","313","29","342","10","332","3","0","0","1","4","13","17","3","217","2","1","0","7","2","1","1","56","4","28.10.12"
"010242","6","Автономна Республіка Крим","будинок культури, фойє
вул.Гагаріна, 11, с.Льговське, Кіровський р-н, Автономна Республіка Крим, 97332","1532","634","1522","62","838","60","898","","0","838","60","898","24","874","4","1","9","1","2","83","16","5","557","4","4","4","38","6","7","3","122","8","29.10.12"
"010243","6","Автономна Республіка Крим","ФАП, фойє
вул.Некрасова, 39, Добролюбовка, Кіровський р-н, Автономна Республіка Крим, 97333","224","64","223","5","155","5","160","","0","155","5","160","7","153","3","2","2","0","0","4","10","1","81","0","1","0","19","3","1","0","24","2","28.10.12"
"010244","6","Автономна Республіка Крим","сільський клуб, танцювальна зала
вул.Жовтнева, 9, с.Пруди, Кіровський р-н, Автономна Республіка Крим, 97333","240","105","237","10","125","10","135","","0","125","10","135","5","130","1","2","0","2","1","6","6","1","72","0","0","0","8","2","2","0","23","4","29.10.12"
"010245","6","Автономна Республіка Крим","будинок культури, фойє
вул.Леніна, 12, с.Абрикосівка, Кіровський р-н, Автономна Республіка Крим, 97342","964","368","953","33","568","28","596","","0","568","28","596","27","569","4","4","0","1","3","45","25","2","405","2","2","1","10","2","4","4","50","5","29.10.12"
"010246","6","Автономна Республіка Крим","дитячий садок, фойє
вул.Кооперативна, 2А, с.Бабенкове, Кіровський р-н, Автономна Республіка Крим, 97344","520","222","518","27","272","26","298","","0","272","26","298","13","285","5","7","5","0","0","39","4","1","172","2","4","2","14","0","3","1","25","1","29.10.12"
"010247","6","Автономна Республіка Крим","сільський клуб, фойє
вул.Шкільна, 15, с.Кринички, Кіровський р-н, Автономна Республіка Крим, 97344","396","144","397","8","245","7","252","","0","245","7","252","21","231","0","0","5","2","2","11","15","2","142","0","3","0","13","0","1","1","32","2","29.10.12"
"010248","6","Автономна Республіка Крим","школа, фойє
вул.Совєтська, 2А, с.Первомайське, Кіровський р-н, Автономна Республіка Крим, 97323","1228","507","1201","34","694","27","721","","0","694","27","721","19","702","1","2","2","2","9","30","27","4","470","0","7","2","42","4","3","2","82","13","29.10.12"
"010249","6","Автономна Республіка Крим","будинок культури, глядацька зала
вул.Совєтська, 63А, с.Первомайське, Кіровський р-н, Автономна Республіка Крим, 97323","1168","511","1169","33","635","22","657","","0","635","22","657","10","647","4","2","2","2","3","21","31","1","369","2","7","0","65","4","4","1","118","11","29.10.12"
"010250","6","Автономна Республіка Крим","сільський клуб, глядацька зала
вул.Клубна, 4А, с.Ізюмівка, Кіровський р-н, Автономна Республіка Крим, 97326","984","388","969","26","572","24","596","","0","572","24","596","17","579","6","0","7","2","3","31","12","0","352","0","15","4","29","4","3","1","103","7","29.10.12"
"010251","6","Автономна Республіка Крим","бібліотека, зала
вул.Кооперативна, 5Б, с.Жемчужина Криму, Кіровський р-н, Автономна Республіка Крим, 97327","696","307","696","35","357","32","389","","0","357","32","389","10","379","4","0","8","1","2","23","7","3","236","2","17","1","28","2","2","3","35","5","28.10.12"
"010252","6","Автономна Республіка Крим","ФАП, приймальня
вул.Спортивна, 9, с.Відважне, Кіровський р-н, Автономна Республіка Крим, 97328","480","236","477","18","233","11","244","","0","233","11","244","9","235","3","2","2","0","3","19","7","1","132","0","0","2","17","2","7","1","29","8","29.10.12"
"010343","6","Автономна Республіка Крим","школа, актова зала, 1-й поверх
вул.Шкільна, 57, с.Батальне, Ленінський р-н, Автономна Республіка Крим, 98216","1000","451","977","16","535","14","549","","0","535","14","549","10","539","2","1","1","2","1","42","6","5","369","1","0","4","4","1","3","2","93","2","29.10.12"
"010344","6","Автономна Республіка Крим","радгосп ""Южний"", кімната засідань
радгосп ""Южний"", с.Южне, Ленінський р-н, Автономна Республіка Крим, 98216","80","19","88","0","61","0","61","","0","61","0","61","0","61","0","0","0","0","0","0","1","0","59","0","0","1","0","0","0","0","0","0","29.10.12"
"010345","6","Автономна Республіка Крим","фельдшерсько-акушерський пункт, хол
фельдшерсько-акушерський пункт, с.Ячмінне, Ленінський р-н, Автономна Республіка Крим, 98216","108","29","111","3","76","3","79","","0","76","3","79","1","78","0","0","0","0","0","2","0","0","75","1","0","0","0","0","0","0","0","0","28.10.12"
"010357","6","Автономна Республіка Крим","будинок культури, фойє, 1-й поверх
вул.Шкільна, будинок культури, с.Іллічеве, Ленінський р-н, Автономна Республіка Крим, 98205","1436","680","1413","59","699","57","756","","0","699","57","756","25","731","6","3","4","1","6","63","22","1","526","2","2","2","17","2","1","1","66","6","29.10.12"
"010359","6","Автономна Республіка Крим","будинок культури, актова зала, 1-й поверх
вул.Леніна, 49, с.Калинівка, Ленінський р-н, Автономна Республіка Крим, 98204","1792","830","1782","95","877","85","962","","0","877","85","962","43","919","4","5","7","4","3","62","53","5","600","0","2","2","35","4","5","6","105","17","29.10.12"
"010364","6","Автономна Республіка Крим","будинок культури, актова зала 1-й поверх
вул.Лугівська, будинок культури, с.Лугове, Ленінський р-н, Автономна Республіка Крим, 98206","780","325","773","8","447","8","455","","0","447","8","455","16","439","2","0","9","4","2","19","11","4","333","1","1","0","3","2","4","0","41","3","28.10.12"
"010367","6","Автономна Республіка Крим","будинок культури, мала зала, 1-й поверх
вул.Шкільна, 41, с.Мисове, Ленінський р-н, Автономна Республіка Крим, 98210","424","129","416","28","271","24","295","","0","271","24","295","1","294","8","0","1","1","4","18","11","0","223","2","0","2","0","0","0","2","16","6","28.10.12"
"010368","6","Автономна Республіка Крим","фельдшерсько-акушерський пункт, приймальня
вул.Приморська, 23, с.Заводське, Ленінський р-н, Автономна Республіка Крим, 98212","176","28","182","20","128","20","148","","0","128","20","148","5","143","0","0","0","0","0","5","1","0","130","0","0","0","0","0","0","0","4","3","29.10.12"
"010369","6","Автономна Республіка Крим","фельдшерсько-акушерський пункт, приймальня
вул.Центральна, 2, с.Семенівка, Ленінський р-н, Автономна Республіка Крим, 98211","208","61","207","17","130","17","147","","0","130","17","147","4","143","3","0","1","0","1","18","4","0","91","1","2","1","3","1","0","1","11","5","28.10.12"
"010375","6","Автономна Республіка Крим","КООО""Семисотка і Ко"", кімната засідань
пров.Шкільний, 3, с.Семисотка, Ленінський р-н, Автономна Республіка Крим, 98214","1392","624","1375","80","697","71","768","","0","697","71","768","33","735","4","3","3","0","5","47","11","3","607","2","1","4","6","0","2","4","26","7","28.10.12"
"010376","6","Автономна Республіка Крим","база відпочинку ""Вимпел"", фойє
вул.Набережна, 2А, с.Кам’янське, Ленінський р-н, Автономна Республіка Крим, 98215","284","99","280","20","166","19","185","","0","166","19","185","4","181","1","3","1","1","3","15","4","0","120","2","15","0","2","0","1","2","5","6","28.10.12"
"010377","6","Автономна Республіка Крим","фельдшерсько-акушерський пункт, коридор
фельдшерсько-акушерський пункт, с.Фронтове, Ленінський р-н, Автономна Республіка Крим, 98214","140","60","139","0","80","0","80","","0","80","0","80","1","79","4","3","0","0","0","5","0","0","61","0","1","0","0","0","0","0","5","0","28.10.12"
"010378","6","Автономна Республіка Крим","будинок культури, фойє, 1-й поверх
вул.Шкільна, 1, с.Уварове, Ленінський р-н, Автономна Республіка Крим, 98207","664","329","661","11","328","7","335","","0","328","7","335","11","324","6","1","0","0","0","10","5","2","257","0","1","1","3","2","1","2","28","5","28.10.12"
"010386","6","Автономна Республіка Крим","музична школа, актова зала, 2-й поверх
вул.Пушкіна, 69А, смт Леніне, Ленінський р-н, Автономна Республіка Крим, 98200","2016","995","1999","16","1009","12","1021","","0","1009","12","1021","44","977","9","4","14","3","6","132","32","4","594","2","6","6","6","4","2","3","124","26","29.10.12"
"010387","6","Автономна Республіка Крим","будинок культури, фойє 2, 1-й поверх
вул.Пушкіна, 20, смт Леніне, Ленінський р-н, Автономна Республіка Крим, 98200","1300","695","1296","10","599","6","605","","0","599","6","605","22","583","10","4","5","7","4","56","24","3","343","3","2","3","3","4","4","2","92","14","29.10.12"
"010388","6","Автономна Республіка Крим","школа гімназія №2, фойє, 1-й поверх
вул.Пушкіна, 2Б, смт Леніне, Ленінський р-н, Автономна Республіка Крим, 98200","1328","665","1328","21","645","18","663","","0","645","18","663","20","643","5","3","4","4","7","88","23","0","383","0","3","4","8","6","2","2","89","12","29.10.12"
"010389","6","Автономна Республіка Крим","Районне дорожньо-будівельне управління, актова зала, 2-й поверх
вул.Азовська, 12, смт Леніне, Ленінський р-н, Автономна Республіка Крим, 98200","1816","1111","1798","26","686","19","705","","0","686","19","705","35","670","7","6","2","0","4","52","19","0","391","0","3","4","13","6","4","2","145","12","29.10.12"
"010390","6","Автономна Республіка Крим","школа №1, фойє, 1-й поверх
школа №1, м.Щолкіне, Ленінський р-н, Автономна Республіка Крим, 98213","2376","1473","2360","23","889","14","903","","0","889","14","903","26","877","9","5","5","8","6","97","40","4","456","4","1","5","2","15","2","5","176","37","29.10.12"
"010391","6","Автономна Республіка Крим","будинок культури ""Арабат"", фойє, 1-й поверх
будинок культури ""Арабат"", м.Щолкіне, Ленінський р-н, Автономна Республіка Крим, 98213","1900","1127","1891","19","758","15","773","","0","758","15","773","23","750","4","4","6","3","3","76","48","3","417","4","4","3","2","3","2","1","150","17","29.10.12"
"010392","6","Автономна Республіка Крим","школа №2, фойє, 1-й поверх
школа №2, м.Щолкіне, Ленінський р-н, Автономна Республіка Крим, 98213","2412","1471","2359","19","923","18","941","","0","923","18","941","31","910","6","6","12","4","6","78","44","3","526","2","0","2","3","5","2","4","182","25","29.10.12"
"010393","6","Автономна Республіка Крим","ДЛОЗ ""Казка"", музична зала, 1-й поверх
ДЛОЗ ""Казка"", м.Щолкіне, Ленінський р-н, Автономна Республіка Крим, 98213","2188","1317","2169","14","862","9","871","","0","862","9","871","39","832","6","11","5","6","4","96","40","0","442","3","0","6","1","5","4","6","164","33","29.10.12"
"010394","6","Автономна Республіка Крим","Ленінська центральна районна лікарня, кімната чергового лікаря, 1-й поверх
вул.Пушкіна, 48, смт Леніне, Ленінськиий р-н, Автономна Республіка Крим, 98200","244","217","61","21","6","21","27","","0","6","21","27","0","27","0","0","0","0","0","2","1","0","18","0","0","1","1","1","0","0","2","1","28.10.12"
"010962","6","Автономна Республіка Крим","школа №10, вестибюль
вул.Леніна, 18, м.Феодосія, Автономна Республіка Крим, 98100","2124","1203","2096","38","895","26","921","","0","895","26","921","44","877","17","9","13","16","6","113","46","5","515","13","12","4","2","9","9","5","33","50","29.10.12"
"010963","6","Автономна Республіка Крим","школа №4, хол
вул.В.Коробкова, 19, м.Феодосія, Автономна Республіка Крим, 98100","1656","925","1637","18","715","16","731","","0","715","16","731","35","696","14","8","8","11","6","90","38","4","410","5","11","12","0","5","2","4","38","30","29.10.12"
"010964","6","Автономна Республіка Крим","фінансова академія, спортивна зала, 1-й поверх
бульв.Адміральський, 34, м.Феодосія, Автономна Республіка Крим, 98100","1928","1138","1914","39","759","31","790","","0","759","31","790","48","742","17","16","6","16","5","91","31","5","417","4","24","9","9","8","3","4","32","45","29.10.12"
"010965","6","Автономна Республіка Крим","клуб морського порту, зала, 2-й поверх
вул.Горького, 24, м.Феодосія, Автономна Республіка Крим, 98100","1584","791","1565","83","730","63","793","","0","729","63","792","26","766","10","6","5","6","7","105","45","3","472","5","10","1","3","7","2","3","35","41","29.10.12"
"010966","6","Автономна Республіка Крим","управління пенсійного фонду, зала засідань
вул.Українська, 44, м.Феодосія, Автономна Республіка Крим, 98100","2428","1334","2401","55","1049","45","1094","","0","1049","45","1094","53","1041","23","10","16","13","9","169","48","1","546","1","29","13","6","19","4","5","45","84","29.10.12"
"010967","6","Автономна Республіка Крим","школа-ліцей №19, вестибюль
вул.Куйбишева, 23, м.Феодосія, Автономна Республіка Крим, 98100","1976","1052","1965","69","856","68","924","","0","855","68","923","42","881","15","12","8","17","9","119","45","6","485","5","13","6","2","14","4","12","39","70","29.10.12"
"010968","6","Автономна Республіка Крим","будинок культури, зала, 2-й поверх
просп.І.К.Айвазовського, 7, м.Феодосія, Автономна Республіка Крим, 98100","1936","1017","1927","97","853","66","919","","0","853","66","919","40","879","14","8","7","24","12","149","53","3","479","5","10","4","0","16","3","7","32","53","29.10.12"
"010969","6","Автономна Республіка Крим","пансіонат ""Забота"", хол
вул.Гріна, 4, м.Феодосія, Автономна Республіка Крим, 98100","2236","1223","2206","61","958","55","1013","","0","958","55","1013","54","959","11","14","15","17","15","142","62","6","528","5","16","11","0","12","2","4","49","50","29.10.12"
"010970","6","Автономна Республіка Крим","спортклуб ""Секрет"", борцовська зала
вул.Челнокова, 86, м.Феодосія, Автономна Республіка Крим, 98100","2100","1109","2091","12","981","10","991","","0","981","10","991","46","945","16","14","13","13","7","160","72","4","506","5","11","10","1","13","4","7","24","65","31.10.12"
"010971","6","Автономна Республіка Крим","МЖК ""Прометей"", зала
вул.Челнокова, 82, м.Феодосія, Автономна Республіка Крим, 98100","2200","1282","2184","12","912","6","918","","0","912","6","918","45","873","17","12","13","23","11","123","79","2","425","5","11","7","7","15","0","9","49","65","29.10.12"
"010972","6","Автономна Республіка Крим","школа №2, вестибюль
вул.Перемоги, 13, м.Феодосія, Автономна Республіка Крим, 98100","1768","911","1742","68","809","48","857","","0","809","48","857","27","830","19","2","7","10","10","122","50","10","447","0","23","10","4","10","2","8","35","61","29.10.12"
"010973","6","Автономна Республіка Крим","школа №14, спортивна зала
вул.Федька, 7, м.Феодосія, Автономна Республіка Крим, 98100","1872","976","1860","67","848","48","896","","0","848","48","896","28","868","11","10","14","12","4","108","44","6","527","3","15","5","2","15","4","4","43","41","29.10.12"
"010974","6","Автономна Республіка Крим","школа-гімназія №5, вестибюль
вул.Карла Маркса, 47, м.Феодосія, Автономна Республіка Крим, 98100","2124","1193","2103","51","882","49","931","","0","882","49","931","35","896","19","7","7","20","5","119","41","6","509","7","14","4","0","11","2","2","53","70","29.10.12"
"010975","6","Автономна Республіка Крим","наукова база ""Ай-Петрі"", їдальня
просп.І.К.Айвазовського, 4, м.Феодосія, Автономна Республіка Крим, 98100","1608","829","1595","53","741","38","779","","0","741","38","779","41","738","11","7","13","14","8","115","27","5","423","7","6","5","1","9","2","1","27","57","29.10.12"
"010976","6","Автономна Республіка Крим","школа №13, вестибюль
вул.Калініна, 18, м.Феодосія, Автономна Республіка Крим, 98100","2116","1087","2089","61","987","42","1029","","0","987","42","1029","35","994","16","9","11","14","11","135","44","6","568","2","23","9","2","10","1","8","58","67","29.10.12"
"010977","6","Автономна Республіка Крим","центр дитячої творчості, танцювальна зала
вул.Д.Ульянова, 6, м.Феодосія, Автономна Республіка Крим, 98100","2152","1224","2121","43","899","29","928","","0","899","29","928","36","892","26","12","9","10","5","156","53","7","494","5","10","9","0","15","2","5","31","43","05.11.12"
"010978","6","Автономна Республіка Крим","спортивний комплекс, гімнастична зала
вул.Насипна, 2, м.Феодосія, Автономна Республіка Крим, 98100","1660","870","1650","81","738","52","790","","0","738","52","790","27","763","16","19","12","26","5","113","4","47","384","3","6","6","2","16","1","4","38","61","29.10.12"
"010979","6","Автономна Республіка Крим","Феодосійська нафтобаза, їдальня
вул.Геологічна, 2, м.Феодосія, Автономна Республіка Крим, 98100","1888","1065","1818","54","782","41","823","","0","782","41","823","34","789","15","6","19","23","7","75","50","9","463","5","11","4","1","5","9","7","34","46","29.10.12"
"010980","6","Автономна Республіка Крим","школа-інтернат №1, вестибюль
шосе Сімферопольське, 27, м.Феодосія, Автономна Республіка Крим, 98100","2368","1243","2340","39","1087","38","1125","","0","1087","38","1125","40","1085","19","11","12","23","3","152","66","7","587","5","26","10","23","13","5","2","74","47","28.10.12"
"010981","6","Автономна Республіка Крим","політехнікум, вестибюль, 1-й поверх
шосе Сімферопольське, 26, м.Феодосія, Автономна Республіка Крим, 98100","2400","1193","2367","94","1133","74","1207","","0","1133","74","1207","30","1177","12","10","12","17","11","206","46","4","695","12","17","4","1","15","4","4","35","72","29.10.12"
"010982","6","Автономна Республіка Крим","політехнікум, вестибюль, 2-й поверх
шосе Сімферопольське, 26, м.Феодосія, Автономна Республіка Крим, 98100","2344","1301","2312","80","992","51","1043","","0","992","51","1043","37","1006","43","10","8","22","8","150","53","9","554","5","11","10","1","22","1","7","39","53","29.10.12"
"010983","6","Автономна Республіка Крим","школа-гімназія №17, хол
вул.Гарнаєва, 70, м.Феодосія, Автономна Республіка Крим, 98100","1768","878","1753","70","837","53","890","","0","837","53","890","37","853","22","5","18","8","15","120","30","3","487","7","20","9","2","9","2","7","34","55","29.10.12"
