"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Гамма
Сергій
Михайлович","Горожанкіна
Валерія
Валеріївна","Желтенко
Іван
Миколайович","Кулганик
Олександр
Анатолійович","Лобарев
Сергій
Вікторович","Луцик
Олександр
Петрович","Лютікова
Валентина
Іванівна","Максименко
Євген
Володимирович","Мінчев
Костянтин
Петрович","Муравленко
Павло
Борисович","Назаров
Юнус
Турдалієвич","Подорожний
Микола
Олександрович","Савченко
Ігор
Анатолійович","Сагайдак
Ілля
Вадимович","Стебловський
Микола
Михайлович","Турченко
Анатолій
Анатолійович","Халік
Мирослав
Олександрович","Хижняков
Володимир
Федорович","Дата підписання протоколу"
"010835","5","Автономна Республіка Крим","політехнічний коледж, актова зала
вул.Войкова, 1А, м.Керч, Автономна Республіка Крим, 98306","2384","1329","2336","84","973","82","1055","","0","973","82","1055","67","988","8","14","233","12","3","9","447","12","0","3","37","2","11","99","60","12","16","10","29.10.12"
"010836","5","Автономна Республіка Крим","ТОВ ""Утьос-Керч"", актова зала
вул.Войкова, 13, м.Керч, Автономна Республіка Крим, 98306","1600","785","1578","68","768","47","815","","0","768","47","815","46","769","6","11","176","5","2","4","295","17","2","4","31","5","15","110","57","8","14","7","29.10.12"
"010837","5","Автономна Республіка Крим","ПАТ ""Жилстрой-99"", актова зала
вул.1П’ятирічки, 12, м.Керч, Автономна Республіка Крим, 98306","1064","531","1061","20","514","19","533","","0","514","19","533","32","501","1","15","94","4","3","4","243","9","1","3","20","2","5","53","31","2","7","4","28.10.12"
"010838","5","Автономна Республіка Крим","навчально-консультаційний пункт Кримського інженерно-педагогічного університету, фойє
вул.1П’ятирічки, 58/5, м.Керч, Автономна Республіка Крим, 98306","1912","1087","1898","44","790","35","825","","0","790","35","825","49","776","6","18","186","10","0","12","315","8","2","6","24","3","10","96","53","1","19","7","29.10.12"
"010839","5","Автономна Республіка Крим","школа №22, фойє
вул.Комунарів, 49, м.Керч, Автономна Республіка Крим, 98328","1448","753","1432","66","648","47","695","","0","648","47","695","47","648","4","4","112","4","0","2","324","18","1","6","18","3","9","92","35","3","11","2","29.10.12"
"010840","5","Автономна Республіка Крим","школа мистецтв імені Р.Сердюка, фойє
вул.Войкова, 30, м.Керч, Автономна Республіка Крим, 98306","2452","1178","2407","89","1185","89","1274","","0","1185","89","1274","64","1210","4","16","356","15","5","13","486","17","2","3","39","3","17","124","78","6","20","6","29.10.12"
"010841","5","Автономна Республіка Крим","школа №17 імені В.Бєлік, фойє
вул.Войкова, 24, м.Керч, Автономна Республіка Крим, 98306","1316","591","1296","54","676","49","725","","0","676","49","725","33","692","6","8","192","7","1","6","269","11","1","3","23","1","6","95","38","3","12","10","29.10.12"
"010842","5","Автономна Республіка Крим","бібліотека імені М.Некрасова, читальна зала
вул.Кірова, 165, м.Керч, Автономна Республіка Крим, 98300","2036","920","2018","68","1048","68","1116","","0","1048","68","1116","53","1063","10","17","256","16","2","5","428","23","1","4","36","6","8","152","63","7","19","10","29.10.12"
"010843","5","Автономна Республіка Крим","гімназія №1, фойє
вул.Студентська, 5, м.Керч, Автономна Республіка Крим, 98300","1816","986","1794","32","803","27","830","","0","803","27","830","38","792","13","8","208","12","3","8","321","15","1","2","27","1","5","117","29","2","11","9","29.10.12"
"010844","5","Автономна Республіка Крим","школа №26, фойє
вул.Кірова, 113, м.Керч, Автономна Республіка Крим, 98300","2276","1114","2260","36","1141","21","1162","","0","1141","21","1162","59","1103","7","10","251","18","9","4","378","28","3","4","45","4","20","207","75","5","19","16","29.10.12"
"010845","5","Автономна Республіка Крим","центр дитячої та юнацької творчості, фойє, 1-й поверх
вул.Кірова, 89, м.Керч, Автономна Республіка Крим, 98300","2408","1145","2384","42","1232","31","1263","","0","1230","31","1261","72","1189","13","25","275","19","1","4","420","18","4","8","57","5","16","183","83","8","37","13","29.10.12"
"010846","5","Автономна Республіка Крим","школа №25, фойє
вул.Кірова, 75А, м.Керч, Автономна Республіка Крим, 98319","2372","1202","2323","107","1087","83","1170","","0","1087","83","1170","65","1105","5","14","234","13","5","13","464","26","5","5","46","9","7","136","69","8","34","12","30.10.12"
"010847","5","Автономна Республіка Крим","готель-гуртожиток ""Моряк"", актова зала, 1-й поверх
вул.Гагаріна, 3, м.Керч, Автономна Республіка Крим, 98312","2352","1175","2328","88","1105","72","1177","","0","1105","72","1177","44","1133","6","7","217","25","6","11","390","29","5","3","46","5","8","177","78","5","103","12","29.10.12"
"010848","5","Автономна Республіка Крим","клуб морського торгівельного порту, актова зала
вул.Кірова, 28, м.Керч, Автономна Республіка Крим, 98300","1980","1016","1956","45","934","30","964","","0","934","30","964","40","924","5","11","182","10","2","13","323","19","2","2","45","1","7","124","93","7","64","14","29.10.12"
"010849","5","Автономна Республіка Крим","школа №5 імені І.Франка, вестибюль
вул.Гагаріна, 29, м.Керч, Автономна Республіка Крим, 98312","1788","832","1782","64","913","43","956","","0","913","43","956","48","908","3","11","189","15","8","7","333","13","8","4","35","7","11","137","73","7","43","4","29.10.12"
"010850","5","Автономна Республіка Крим","бібліотека імені М.Ю.Лермонтова, абонементська зала
вул.Островського, 115, м.Керч, Автономна Республіка Крим, 98311","2476","1428","2479","57","1003","45","1048","","0","1003","45","1048","56","992","4","9","213","27","8","11","438","21","1","1","31","8","14","108","61","4","23","10","29.10.12"
"010851","5","Автономна Республіка Крим","школа №15 імені Ж.Руднєвої, актова зала
вул.Фурманова, 67, м.Керч, Автономна Республіка Крим, 98312","952","494","943","25","435","23","458","","0","435","23","458","28","430","3","6","78","6","2","3","195","4","1","3","10","4","4","62","32","3","12","2","29.10.12"
"010852","5","Автономна Республіка Крим","ЗАТ Керченський завод будівельної кераміки ""Сармат"", фойє
вул.Котовського, 3, м.Керч, Автономна Республіка Крим, 98305","1276","709","1260","44","538","29","567","","0","538","29","567","37","530","2","10","113","9","4","8","190","13","3","1","19","3","11","83","35","9","13","4","29.10.12"
"010853","5","Автономна Республіка Крим","коледж економіки та інформаційних технологій, фойє
вул.Андрія Мірошника, 26А, м.Керч, Автономна Республіка Крим, 98305","1956","1058","1936","89","829","69","898","","0","829","69","898","46","852","10","13","191","8","7","11","341","10","1","3","25","0","12","130","62","9","11","8","29.10.12"
"010854","5","Автономна Республіка Крим","автомобільна школа ТСОУ, фойє
вул.Андрія Мірошника, 1А, м.Керч, Автономна Республіка Крим, 98305","2128","1079","2111","66","1000","49","1049","","0","1000","49","1049","46","1003","7","15","230","11","6","13","422","11","2","7","45","2","15","134","49","1","22","11","29.10.12"
"010855","5","Автономна Республіка Крим","медичний коледж імені Г.Петрової, актова зала
вул.Жені Дуднік, 11, м.Керч, Автономна Республіка Крим, 98300","2204","1066","2175","69","1074","64","1138","","0","1074","64","1138","39","1099","7","18","229","9","4","3","492","12","4","7","42","7","12","139","87","4","13","10","29.10.12"
"010856","5","Автономна Республіка Крим","школа №4 імені О.С.Пушкіна, фойє
вул.Жені Дуднік, 4, м.Керч, Автономна Республіка Крим, 98300","1576","683","1555","46","854","39","893","","0","854","39","893","45","848","4","10","170","8","4","5","354","14","0","11","46","0","8","136","48","5","17","8","29.10.12"
"010857","5","Автономна Республіка Крим","ЗАТ ""Керчавтогазсервіс"", актова зала
вул.Кокоріна, 65, м.Керч, Автономна Республіка Крим, 98302","1776","983","1772","66","735","58","793","","0","735","58","793","36","757","10","9","157","9","7","5","320","10","3","4","32","5","7","98","47","6","21","7","29.10.12"
"010858","5","Автономна Республіка Крим","відокремлений структурний підрозділ ""Керченська дистанція шляху"", актова зала
вул.Вокзальне шосе, 76, м.Керч, Автономна Республіка Крим, 98300","1856","962","1824","72","829","65","894","","0","829","65","894","71","823","8","15","158","20","3","12","349","14","7","7","28","1","11","116","43","6","16","9","29.10.12"
"010859","5","Автономна Республіка Крим","КП ""Аеропорт Керч"", зал очікування
вул.Вокзальне шосе, 140, м.Керч, Автономна Республіка Крим, 98300","804","422","804","27","358","24","382","","0","358","24","382","21","361","8","11","74","7","5","2","126","5","0","2","19","0","5","57","25","5","7","3","29.10.12"
"010860","5","Автономна Республіка Крим","Керченська філія ДЕД ДП ""Кримавтодор"", актова зала
вул.Чкалова, 143, м.Керч, Автономна Республіка Крим, 98300","2064","1174","2024","28","872","18","890","","0","872","18","890","39","851","10","19","162","6","3","9","300","15","1","3","42","3","19","178","45","12","21","3","29.10.12"
"010861","5","Автономна Республіка Крим","Керченський факультет Херсонського державного національного технічного університету, фойє
вул.Пушкіна, 10, м.Керч, Автономна Республіка Крим, 98327","2184","1312","2158","60","821","51","872","","0","821","51","872","49","823","7","16","138","8","6","6","325","6","5","3","42","4","5","144","78","6","15","9","29.10.12"
"010862","5","Автономна Республіка Крим","міська СЕС, актова зала
вул.Комарова, 4, м.Керч, Автономна Республіка Крим, 98302","1188","657","1189","42","500","31","531","","0","500","31","531","28","503","9","5","102","6","5","8","181","12","4","3","14","1","12","69","45","3","14","10","29.10.12"
"010863","5","Автономна Республіка Крим","спеціалізована школа №1 імені В.Дубініна, фойє
вул.Пирогова, 8А, м.Керч, Автономна Республіка Крим, 98302","1528","821","1532","56","655","52","707","","0","655","52","707","29","678","8","8","123","11","2","3","276","15","2","7","27","4","11","95","54","12","12","8","29.10.12"
"010864","5","Автономна Республіка Крим","ПАТ Крименерго ""Керченський РЕМ"", актова зала
вул.Маршала Єрьоменка, 27, м.Керч, Автономна Республіка Крим, 98302","1284","566","1277","42","681","37","718","","0","681","37","718","34","684","6","7","124","9","2","2","335","9","3","2","24","1","7","90","46","1","15","1","29.10.12"
"010865","5","Автономна Республіка Крим","школа №2 імені Желябова, фойє
вул.Юних Ленінців, 23, м.Керч, Автономна Республіка Крим, 98300","1592","820","1589","75","723","49","772","","0","723","49","772","39","733","5","22","137","10","3","13","292","26","1","2","39","4","11","84","52","5","18","9","28.10.12"
"010866","5","Автономна Республіка Крим","клуб ДП ""Керченський СРЗ"", фойє
вул.Кірова, 22, м.Керч, Автономна Республіка Крим, 98300","1852","937","1841","70","863","52","915","","0","863","52","915","45","870","1","10","198","12","4","8","301","12","2","7","36","5","20","130","74","7","37","6","28.10.12"
"010867","5","Автономна Республіка Крим","гімназія №2 імені В.Г.Короленка, фойє
вул.Театральна, 36, м.Керч, Автономна Республіка Крим, 98300","2420","1377","2387","85","985","58","1043","","0","985","58","1043","70","973","5","23","161","16","4","14","405","24","1","8","44","3","14","147","68","5","18","13","29.10.12"
"010868","5","Автономна Республіка Крим","Південний науково-дослідний інститут морського рибного господарства та океанології, актова зала
вул.Свердлова, 2, м.Керч, Автономна Республіка Крим, 98320","1080","611","1076","48","433","36","469","","0","433","36","469","28","441","4","6","86","8","6","4","182","14","1","1","24","0","8","56","30","2","8","1","29.10.12"
"010869","5","Автономна Республіка Крим","міський культурний центр імені Ю.Богатікова, фойє
вул.Свердлова, 6, м.Керч, Автономна Республіка Крим, 98320","1980","1126","1982","62","811","43","854","","0","811","43","854","24","830","4","11","198","9","7","7","316","38","1","5","32","6","4","112","53","4","9","14","29.10.12"
"010870","5","Автономна Республіка Крим","морський рибний порт, фойє підприємства ""Керчрибпром""
вул.Свердлова, 49, м.Керч, Автономна Республіка Крим, 98320","1884","954","1856","53","894","36","930","","0","894","36","930","28","902","4","21","180","12","2","5","382","8","1","21","42","2","19","120","56","2","20","5","29.10.12"
"010871","5","Автономна Республіка Крим","дошкільний заклад №15 ""Дельфін"", музична зала
вул.Марата, 17, м.Керч, Автономна Республіка Крим, 98320","1248","654","1245","11","585","9","594","","0","585","9","594","30","564","3","13","109","3","4","8","196","13","1","6","35","3","7","105","33","4","14","7","29.10.12"
"010872","5","Автономна Республіка Крим","гуртожиток Керченського вищого морського професійного училища, актова зала
вул.Свердлова, 55, м.Керч, Автономна Республіка Крим, 98320","668","332","682","11","325","11","336","","0","325","11","336","25","311","2","4","54","4","0","3","133","8","1","3","21","3","1","39","23","2","6","4","29.10.12"
"010873","5","Автономна Республіка Крим","Керченське вище морське професійне училище, фойє
вул.Свердлова, 55, м.Керч, Автономна Республіка Крим, 98320","1820","954","1784","42","832","34","866","","0","832","34","866","39","827","9","8","169","8","3","13","291","5","3","2","48","2","5","182","54","3","13","9","29.10.12"
"010874","5","Автономна Республіка Крим","школа №12, фойє
вул.Ворошилова, 7, м.Керч, Автономна Республіка Крим, 98330","1852","901","1846","43","920","31","951","","0","920","31","951","40","911","5","19","164","8","7","6","368","17","1","11","40","7","13","142","69","4","18","12","29.10.12"
"010875","5","Автономна Республіка Крим","школа №12, вестибюль
вул.Ворошилова, 7, м.Керч, Автономна Республіка Крим, 98330","1844","927","1838","60","864","53","917","","0","864","53","917","42","875","3","12","239","15","6","6","291","14","1","9","44","4","12","144","52","0","13","10","29.10.12"
"010876","5","Автономна Республіка Крим","дошкільний заклад №55 ""Кришталик"", актова зала
вул.Ворошилова, 27А, м.Керч, Автономна Республіка Крим, 98330","2352","1239","2306","43","1080","33","1113","","0","1080","33","1113","56","1057","8","18","213","12","3","17","381","16","1","5","57","6","8","204","68","9","13","18","29.10.12"
"010877","5","Автономна Республіка Крим","школа №23, фойє 1, 1-й поверх
вул.Ворошилова, 29, м.Керч, Автономна Республіка Крим, 98330","2432","1380","2403","16","1037","15","1052","","0","1035","15","1050","50","1000","12","18","204","7","5","10","311","20","6","12","74","9","19","170","71","5","23","24","31.10.12"
"010878","5","Автономна Республіка Крим","школа №23, фойє 2, 1-й поверх
вул.Ворошилова, 29, м.Керч, Автономна Республіка Крим, 98330","2504","1431","2477","20","1063","10","1073","","0","1063","10","1073","57","1016","8","21","194","15","4","12","341","9","3","12","48","14","18","198","76","5","22","16","29.10.12"
"010879","5","Автономна Республіка Крим","міський центр розвитку національних культур ""Тавріка"", спортивна зала
шосе Героїв Сталінграду, 8А, м.Керч, Автономна Республіка Крим, 98329","2088","1118","2096","50","926","44","970","","0","926","44","970","56","914","12","13","186","6","2","27","308","13","3","5","38","8","8","178","70","5","17","15","29.10.12"
"010880","5","Автономна Республіка Крим","школа №24, фойє
шосе Героїв Сталінграду, 46, м.Керч, Автономна Республіка Крим, 98329","2060","1067","2029","31","970","23","993","","0","970","23","993","51","942","9","15","192","9","2","17","344","8","4","0","35","21","8","171","56","11","19","21","29.10.12"
"010881","5","Автономна Республіка Крим","ДП ""Укрчерметгеологія"", актова зала
вул.Феодосійське шосе, 32, м.Керч, Автономна Республіка Крим, 98327","1784","965","1776","98","736","83","819","","0","736","83","819","35","784","3","17","162","9","3","11","393","6","1","4","15","1","6","95","46","1","4","7","29.10.12"
"010882","5","Автономна Республіка Крим","психоневрологічний інтернат, фойє
вул.Колгоспна, 68, м.Керч, Автономна Республіка Крим, 98324","148","8","145","21","119","21","140","","0","119","21","140","7","133","2","3","33","2","3","3","12","3","2","0","1","0","1","35","30","1","1","1","29.10.12"
"010883","5","Автономна Республіка Крим","дошкільний заклад №14 ""Кораблик"", актова зала
вул.Олега Кошового, 27, м.Керч, Автономна Республіка Крим, 98324","2136","1134","2103","27","981","21","1002","","0","981","21","1002","51","951","8","17","205","9","3","10","400","9","1","10","50","9","8","116","43","20","13","20","29.10.12"
"010884","5","Автономна Республіка Крим","спеціалізована школа №19, фойє 1, 1-й поверх
вул.Поліни Осипенко, 2, м.Керч, Автономна Республіка Крим, 98324","2096","1180","2064","32","889","27","916","","0","889","27","916","40","876","4","12","184","10","3","10","382","13","0","3","43","12","15","111","37","9","12","16","29.10.12"
"010885","5","Автономна Республіка Крим","спеціалізована школа №19, фойє 2, 1-й поверх
вул.Поліни Осипенко, 2, м.Керч, Автономна Республіка Крим, 98324","1092","562","1092","40","492","38","530","","0","492","38","530","27","503","3","18","95","6","4","6","211","8","1","2","15","14","4","61","30","5","3","17","29.10.12"
"010886","5","Автономна Республіка Крим","школа ""Морський технічний ліцей"", фойє
пров.Юннатів, 6, м.Керч, Автономна Республіка Крим, 98300","2184","1052","2151","79","1071","61","1132","","0","1071","61","1132","52","1080","5","15","225","12","3","14","524","10","0","1","41","7","13","113","64","7","9","17","29.10.12"
"010887","5","Автономна Республіка Крим","Республіканський навчальний заклад ""Ліцей мистецтв"", фойє
вул.Курортна, 4, м.Керч, Автономна Республіка Крим, 98309","1152","569","1138","40","546","37","583","","0","546","37","583","27","556","9","8","110","6","4","17","255","10","0","6","14","3","4","72","30","2","3","3","29.10.12"
"010888","5","Автономна Республіка Крим","судомеханічний технікум КДМТУ, фойє
вул.Орджонікідзе, 123, м.Керч, Автономна Республіка Крим, 98313","2120","1110","2109","73","948","62","1010","","0","948","62","1010","70","940","9","19","253","7","4","12","382","10","2","7","34","3","12","106","48","7","14","11","29.10.12"
"010889","5","Автономна Республіка Крим","палац культури ""Корабел"", фойє
вул.Орджонікідзе, 88, м.Керч, Автономна Республіка Крим, 98310","2024","1130","2021","56","848","46","894","","0","848","46","894","39","855","8","22","174","4","5","10","402","5","1","4","26","5","9","114","40","6","7","13","30.10.12"
"010890","5","Автономна Республіка Крим","Керченський державний морський технологічний університет, 2-й навчальний корпус, фойє
вул.Орджонікідзе, 50, м.Керч, Автономна Республіка Крим, 98310","1456","714","1431","47","697","45","742","","0","697","45","742","42","700","4","11","137","6","5","9","328","6","1","7","16","8","9","87","33","4","11","18","29.10.12"
"010891","5","Автономна Республіка Крим","школа №13, фойє
вул.Льва Толстого, 139, м.Керч, Автономна Республіка Крим, 98310","1472","694","1442","57","745","33","778","","0","745","33","778","41","737","3","13","149","10","3","12","316","2","1","1","28","0","14","111","44","4","16","10","29.10.12"
"010892","5","Автономна Республіка Крим","будинок дитячої та юнацької творчості, фойє
вул.Орджонікідзе, 45, м.Керч, Автономна Республіка Крим, 98310","1400","700","1394","54","654","46","700","","0","654","46","700","31","669","6","18","142","11","1","11","287","3","1","3","24","9","3","99","32","3","8","8","29.10.12"
"010893","5","Автономна Республіка Крим","школа №11, фойє
вул.Орджонікідзе, 24, м.Керч, Автономна Республіка Крим, 98313","1964","959","1933","87","936","69","1005","","0","936","69","1005","43","962","11","26","221","15","9","9","420","9","2","3","29","4","12","114","48","5","8","17","29.10.12"
"010894","5","Автономна Республіка Крим","колишній палац культури ЖРК, фойє
вул.Архітектурна, 4, м.Керч, Автономна Республіка Крим, 98327","2272","1233","2239","64","991","48","1039","","0","985","48","1033","45","988","9","15","213","16","9","16","423","7","1","5","34","4","4","148","55","5","13","11","29.10.12"
"010895","5","Автономна Республіка Крим","ЗАТ ""Стройкомплекс 23"", фойє
вул.Льва Толстого, 2, м.Керч, Автономна Республіка Крим, 98313","1540","868","1532","50","628","44","672","","0","628","44","672","45","627","11","6","124","7","0","2","305","3","1","5","11","7","6","79","34","6","11","9","29.10.12"
"010896","5","Автономна Республіка Крим","професійний будівельний ліцей, фойє
вул.Орджонікідзе, 2, м.Керч, Автономна Республіка Крим, 98313","1444","800","1429","44","613","31","644","","0","613","31","644","29","615","8","17","141","8","7","2","232","7","2","1","13","3","6","101","41","2","16","8","29.10.12"
"010897","5","Автономна Республіка Крим","музей Ельтигенського десанту, фойє
вул.Генерала Косоногова, 2, м.Керч, Автономна Республіка Крим, 98313","320","167","318","10","145","8","153","","0","145","8","153","13","140","7","2","30","1","0","2","57","5","0","0","1","2","1","13","11","3","2","3","29.10.12"
"010898","5","Автономна Республіка Крим","міська лікарня №2, фойє
вул.12 квітня 1961 року, 1, м.Керч, Автономна Республіка Крим, 98300","224","93","185","25","112","19","131","","0","112","19","131","17","114","1","0","23","2","0","1","56","1","0","0","2","0","1","16","2","1","4","4","29.10.12"
"010899","5","Автономна Республіка Крим","міська лікарня №1, фойє, 1-й поверх
вул.Жені Дуднік, 1, м.Керч, Автономна Республіка Крим, 98300","580","490","102","73","24","66","90","","0","24","66","90","7","83","0","1","11","1","0","0","39","1","0","7","4","2","1","11","2","1","2","0","28.10.12"
"010900","5","Автономна Республіка Крим","міська лікарня №3, фойє
вул.Орджонікідзе, 53, м.Керч, Автономна Республіка Крим, 98310","324","238","99","68","26","60","86","","0","26","60","86","5","81","0","1","8","0","0","2","41","2","1","0","5","3","0","12","2","0","3","1","29.10.12"
"010901","5","Автономна Республіка Крим","Керченська виправна колонія №126, клуб, актова зала
вул.Індустріальне шосе, 17, м.Керч, Автономна Республіка Крим, 98330","816","6","810","0","810","0","810","","0","810","0","810","37","773","10","14","14","8","4","14","599","11","2","4","27","4","12","7","15","15","5","8","29.10.12"
"011247","5","Автономна Республіка Крим","Керченський виправний центр №139, кабінет відділу кадрів
вул.Кірова, 75, м.Керч, Автономна Республіка Крим, 98318","84","2","82","0","82","0","82","","0","82","0","82","6","76","1","1","1","2","4","0","50","1","0","1","2","0","1","0","2","5","2","3","29.10.12"
