"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Веніславський
Федір
Володимирович","Дзябко
Віктор
Васильович","Кадимян
Артур
Місакович","Легеза
Галина
Василівна","Макаренко
Валерій
Сергійович","Мураєв
Євгеній
Володимирович","Ребров
Олександр
Володимирович","Ярмолюк
Михайло
Михайлович","Дата підписання протоколу"
"630395","181","Харківська область","районний будинок культури, фойє
пл.Радянська, 8, м.Зміїв, Зміївський р-н, Харківська обл., 63404","1824","817","1800","65","947","60","1007","","0","947","60","1007","21","986","104","8","2","12","29","702","68","61","29.10.12"
"630396","181","Харківська область","краєзнавчий музей, експозиційна зала
пл.Радянська, 6, м.Зміїв, Зміївський р-н, Харківська обл., 63404","2000","792","1968","340","883","325","1208","","0","883","325","1208","38","1170","158","16","3","20","28","829","48","68","29.10.12"
"630397","181","Харківська область","відділ освіти райдержадміністрації, зал засідань
вул.Леніна, 12, м.Зміїв, Зміївський р-н, Харківська обл., 63404","1928","935","1910","40","953","40","993","","0","953","40","993","38","955","137","14","4","11","19","652","49","69","29.10.12"
"630398","181","Харківська область","Зміївський ліцей №1 імені З.К.Слюсаренка, мармурова зала
вул.Широнінців, 25, м.Зміїв, Зміївський р-н, Харківська обл., 63404","1928","849","1882","38","1042","37","1079","","0","1042","37","1079","39","1040","104","12","3","10","39","707","61","104","29.10.12"
"630399","181","Харківська область","Зміївська школа №2, велика спортивна зала
вул.Харківська, 1, м.Зміїв, Зміївський р-н, Харківська обл., 63404","2104","999","2069","60","1049","56","1105","","0","1049","56","1105","52","1053","195","18","1","18","20","650","73","78","28.10.12"
"630400","181","Харківська область","ОСББ ""Джерело-LIVE"", фойє
пров.Залізничний, 2, м.Зміїв, Зміївський р-н, Харківська обл., 63404","2032","1014","2016","27","997","21","1018","","0","997","21","1018","42","976","182","12","4","13","26","590","74","75","29.10.12"
"630401","181","Харківська область","Зміївська школа №2, мала спортивна зала
вул.Харківська, 1, м.Зміїв, Зміївський р-н, Харківська обл., 63404","2072","1144","2039","30","901","27","928","","0","901","27","928","47","881","95","17","4","11","24","595","67","68","29.10.12"
"630402","181","Харківська область","гуртожиток санаторію ""Занки"", фойє
вул.Бутівська, 5, м.Зміїв, Зміївський р-н, Харківська обл., 63404","1032","452","1023","16","567","13","580","","0","567","13","580","28","552","82","10","2","8","13","359","38","40","29.10.12"
"630403","181","Харківська область","Зідьківська школа, спортивна зала
вул.Фабрична, 2, смт Зідьки, Зміївський р-н, Харківська обл., 63432","2360","1077","2322","104","1192","91","1283","","0","1192","91","1283","30","1253","118","13","3","18","25","923","79","74","29.10.12"
"630404","181","Харківська область","Черемушнянський клуб, актова зала
вул.Хвойна, 1, смт Зідьки, Зміївський р-н, Харківська обл., 63432","1296","638","1279","67","593","65","658","","0","593","65","658","30","628","62","10","5","2","11","441","31","66","29.10.12"
"630405","181","Харківська область","палац культури, північна сторона, мала актова зала, 2-й поверх
вул.Леніна, 12, смт Комсомольське, Зміївський р-н, Харківська обл., 63460","1976","814","1951","59","1121","41","1162","","0","1121","41","1162","28","1134","217","100","1","8","26","603","111","68","29.10.12"
"630406","181","Харківська область","Комсомольська гімназія №2, фойє
вул.Карла Маркса, 1, смт Комосомльське, Зміївський р-н, Харківська обл., 63460","2000","786","1981","50","1174","40","1214","","0","1174","40","1214","68","1146","194","99","5","15","13","599","117","104","29.10.12"
"630407","181","Харківська область","Зміївський професійний енергетичний ліцей, актова зала
вул.Карла Маркса, 15, смт Комсомольське, Зміївський р-н, Харківська обл., 63460","2032","979","2005","34","1029","24","1053","","0","1029","24","1053","29","1024","153","97","5","18","21","537","127","66","29.10.12"
"630408","181","Харківська область","палац культури, колонна зала, південна сторона, 1-й поверх
вул.Леніна, 12, смт Комсомольське, Зміївський р-н, Харківська обл., 63460","2024","873","2015","73","1105","46","1151","","0","1105","46","1151","36","1115","216","78","7","13","22","577","127","75","29.10.12"
"630409","181","Харківська область","Комсомольський ліцей №1, фойє
вул.Сергія Закори, 28, смт Комсомольське, Зміївський р-н, Харківська обл., 63460","2000","840","1986","18","1148","12","1160","","0","1148","12","1160","50","1110","212","128","4","14","22","540","103","87","29.10.12"
"630410","181","Харківська область","палац культури, танцювальна зала, 1-й поверх
вул.Леніна, 12, смт Комсомольське, Зміївський р-н, Харківська обл., 63460","2024","938","2012","22","1067","19","1086","","0","1067","19","1086","49","1037","179","86","5","13","24","517","140","73","29.10.12"
"630411","181","Харківська область","Шебелинська школа, фойє
вул.Леніна, 1А, с-ще Донець, Зміївський р-н, Харківська обл., 63462","1368","617","1375","34","718","33","751","","0","718","33","751","32","719","65","22","4","9","17","508","49","45","29.10.12"
"630412","181","Харківська область","Благодатська школа, каб.6
вул.Комсомольська, 1, с-ще Благодатне, Зміївський р-н, Харківська обл., 63461","440","202","426","22","219","19","238","","0","219","19","238","8","230","23","5","3","3","4","150","31","11","29.10.12"
"630413","181","Харківська область","Бірківський будинок культури, мала актова зала
пл.223 Стрілкової дивізії, 1, с.Бірки, Зміївський р-н, Харківська обл., 63421","2224","915","2197","97","1242","67","1309","","0","1242","67","1309","65","1244","84","23","14","30","22","787","171","113","29.10.12"
"630414","181","Харківська область","Першотравнева гімназія, фойє
вул.Шкільна, 4, с.Першотравневе, Зміївський р-н, Харківська обл., 63422","2168","1153","2130","107","943","72","1015","","0","943","72","1015","57","958","155","11","10","20","9","576","77","100","29.10.12"
"630415","181","Харківська область","Гусинополянська школа, фойє
вул.Шкільна, 8, с.Гусина Поляна, Зміївський р-н, Харківська обл., 63410","560","240","557","28","293","27","320","","0","293","27","320","11","309","21","4","5","4","5","226","21","23","28.10.12"
"630416","181","Харківська область","Борівська школа, фойє
вул.Шкільна, 3, с.Борова, Зміївський р-н, Харківська обл., 63410","800","447","794","41","317","36","353","","0","317","36","353","14","339","26","4","7","3","4","264","15","16","29.10.12"
"630417","181","Харківська область","Борівський сільський клуб, актова зала
вул.Леніна, 122, с.Борова, Зміївський р-н, Харківська обл., 63410","864","435","854","37","392","37","429","","0","392","37","429","20","409","19","5","3","2","4","347","11","18","29.10.12"
"630418","181","Харківська область","Краснополянська школа, кабінет директора
вул.Шкільна, 1, с.Красна Поляна, Зміївський р-н, Харківська обл., 63411","608","205","595","61","343","60","403","","0","343","60","403","13","390","18","14","8","6","2","293","30","19","29.10.12"
"630419","181","Харківська область","Костянтівська школа, каб.3
вул.Леніна, 1Б, с.Костянтівка, Зміївський р-н, Харківська обл., 63412","224","81","221","23","126","17","143","","0","126","17","143","3","140","1","1","2","1","3","123","2","7","29.10.12"
"630420","181","Харківська область","Великогомільшанська школа, фойє
вул.Набережна, 1, с.Велика Гомільша, Зміївський р-н, Харківська обл., 63451","320","115","313","28","178","27","205","","0","178","27","205","3","202","48","2","4","0","6","125","9","8","28.10.12"
"630421","181","Харківська область","Пасічанська школа, фойє
вул.Синявіна, 18, с.Пасіки, Зміївський р-н, Харківська обл., 63452","456","164","444","47","245","47","292","","0","245","47","292","23","269","20","8","1","5","5","189","22","19","29.10.12"
"630422","181","Харківська область","Геніївський будинок культури, актова зала
вул.Леніна, 71, с.Геніївка, Зміївський р-н, Харківська обл., 63433","1344","581","1251","83","689","74","763","","0","689","74","763","31","732","74","23","8","11","18","510","43","45","29.10.12"
"630423","181","Харківська область","Геніївська школа, кабінет 6 класу, кабінет 7 класу
вул.Комарова, 2, с.Геніївка, Зміївський р-н, Харківська обл., 63433","912","379","900","49","488","45","533","","0","488","45","533","28","505","62","15","8","12","15","293","71","29","29.10.12"
"630424","181","Харківська область","клуб санаторію""Занки"", актова зала
вул.Соснова, 8, с.Курортне, Зміївський р-н, Харківська обл., 63434","472","211","463","28","235","26","261","","0","235","26","261","8","253","26","1","2","3","7","172","17","25","28.10.12"
"630425","181","Харківська область","Задонецька сільська рада, зала засідань
вул.Курортна, 3, с.Задонецьке, Зміївський р-н, Харківська обл., 63436","720","228","717","98","402","90","492","","0","402","90","492","13","479","31","7","9","4","13","355","27","33","29.10.12"
"630426","181","Харківська область","Гайдарський сільський клуб, актова зала
вул.Молодіжна, 17, с.Гайдари, Зміївський р-н, Харківська обл., 63404","200","76","197","18","109","15","124","","0","109","15","124","3","121","15","1","0","1","0","84","13","7","29.10.12"
"630427","181","Харківська область","Лиманська школа, фойє
пл.Леніна, 4, с.Лиман, Зміївський р-н, Харківська обл., 63463","1848","881","1818","66","912","55","967","","0","912","55","967","41","926","133","53","3","13","34","529","56","105","29.10.12"
"630428","181","Харківська область","Лиманський будинок культури, фойє
пл.Леніна, 5, с.Лиман, Зміївський р-н, Харківська обл., 63463","1200","433","1181","67","704","63","767","","0","704","63","767","32","735","114","45","10","12","10","448","32","64","29.10.12"
"630429","181","Харківська область","Нижньобишкинський будинок культури, фойє
вул.40 років Перемоги, 26, с.Нижній Бишкин, Зміївський р-н, Харківська обл., 63453","464","143","458","51","277","44","321","","0","277","44","321","11","310","38","3","0","5","4","222","26","12","28.10.12"
"630430","181","Харківська область","Черкаськобишкинський сільський клуб, актова зала
вул.Миру, 63, с.Черкаський Бишкин, Зміївський р-н, Харківська обл., 63453","392","135","383","30","227","30","257","","0","227","30","257","14","243","47","7","1","4","4","168","6","6","29.10.12"
"630431","181","Харківська область","Скрипаївська школа, спортивна зала
вул.Жовтнева, 93, с.Скрипаї, Зміївський р-н, Харківська обл., 63442","1056","511","1031","80","481","64","545","","0","481","64","545","29","516","70","10","6","12","11","332","38","37","29.10.12"
"630432","181","Харківська область","Соколівська школа, фойє
вул.Шкільна, 2, с.Соколове, Зміївський р-н, Харківська обл., 63420","1232","611","1218","36","591","30","621","","0","591","30","621","19","602","155","9","6","18","19","303","50","42","29.10.12"
"630433","181","Харківська область","Таранівська школа, спортивна зала
вул.Леніна, 33, с.Таранівка, Зміївський р-н, Харківська обл., 63450","2392","1355","2376","102","992","45","1037","","0","992","45","1037","69","968","159","26","7","20","18","544","105","89","29.10.12"
"630434","181","Харківська область","Таранівське лісництво, кімната персоналу
вул.Широнінців, 71, с.Таранівка, Зміївський р-н, Харківська обл., 63450","2048","1205","2020","76","777","66","843","","0","777","66","843","60","783","88","24","5","26","17","510","65","48","29.10.12"
"630435","181","Харківська область","контора ДППП ""Роздольне"", актова зала
вул.Молодіжна, 1А, с.Роздольне, Зміївський р-н, Харківська обл., 63450","224","103","216","8","114","7","121","","0","114","7","121","5","116","6","1","0","1","2","97","4","5","29.10.12"
"630436","181","Харківська область","Тимченківська сільська рада, кабінет сільського голови
вул.Миру, 21Б, с.Тимченки, Зміївський р-н, Харківська обл., 63413","800","180","785","35","585","35","620","","0","585","35","620","29","591","75","7","3","10","6","399","43","48","29.10.12"
"630437","181","Харківська область","Островерхівська школа, фойє
вул.8-го Березня, 7А, с.Островерхівка, Зміївський р-н, Харківська обл., 63413","232","46","229","19","168","18","186","","0","168","18","186","1","185","43","3","1","6","2","114","6","10","29.10.12"
"630438","181","Харківська область","Чемужівська школа, фойє
вул.Кришталя, 1В, с.Чемужівка, Зміївський р-н, Харківська обл., 63430","1832","816","1809","58","962","54","1016","","0","962","54","1016","25","991","93","25","5","10","37","702","82","37","29.10.12"
"630439","181","Харківська область","Пролетарська школа, фойє
вул.Шкільна, 14, с.Пролетарське, Зміївський р-н, Харківська обл., 63431","728","347","726","43","344","37","381","","0","344","37","381","22","359","62","4","0","5","4","259","4","21","29.10.12"
"630440","181","Харківська область","Левківська школа, фойє
вул.Шкільна, 13, с.Левківка, Зміївський р-н, Харківська обл., 63401","528","190","516","39","302","36","338","","0","302","36","338","25","313","18","4","1","4","9","246","19","12","29.10.12"
"630441","181","Харківська область","Шелудьківський будинок культури, фойє
вул.Леніна, 93, с.Шелудьківка, Зміївський р-н, Харківська обл., 63440","2087","1052","2053","93","966","69","1035","","0","966","69","1035","42","993","161","30","18","15","23","594","70","82","29.10.12"
"630442","181","Харківська область","Зміївська центральна районна лікарня, зала засідань
шосе Таранівське, 1Б, м.Зміїв, Зміївський р-н, Харківська обл., 63403","72","12","66","16","44","16","60","","0","44","16","60","5","55","6","1","0","3","1","40","4","0","29.10.12"
"630779","181","Харківська область","Мереф’янська школа №1, спортзал, 2-й поверх
вул.Савченка, 25, м.Мерефа, Харківський р-н, Харківська обл., 62472","2264","1280","2226","34","959","25","984","","0","959","25","984","57","927","161","13","5","115","22","381","86","144","29.10.12"
"630780","181","Харківська область","кіноцентр ""Супутник"", глядацька зала
вул.Дніпропетровська, 217, м.Мерефа, Харківський р-н, Харківська обл., 62472","2000","988","1968","42","983","29","1012","","0","982","29","1011","64","947","134","11","10","129","68","361","87","147","30.10.12"
"630781","181","Харківська область","Мереф’янський медичний ліцей, вестібюль
вул.Дніпропетровська, 233, м.Мерефа, Харківський р-н, Харківська обл., 62472","2264","1267","2257","21","979","18","997","","0","979","18","997","64","933","130","13","13","91","30","411","103","142","29.10.12"
"630782","181","Харківська область","Мереф’янська школа №6, їдальня, 1-й поверх
вул.5-го Вересня, 87, м.Мерефа, Харківський р-н, Харківська обл., 62472","2136","1201","2090","35","908","27","935","","0","907","27","934","53","881","99","10","11","118","20","397","70","156","30.10.12"
"630783","181","Харківська область","Мереф’янський медичний ліцей, спортзал
вул.Дніпропетровська, 233, м.Мерефа, Харківський р-н, Харківська обл., 62472","2376","1391","2365","27","971","14","985","","0","971","14","985","71","914","124","13","9","95","25","444","68","136","29.10.12"
"630784","181","Харківська область","Мереф’янська школа №3, хол, 1-й поверх
вул.Лесі Українки, 68, м.Мерефа, Харківський р-н, Харківська обл., 62472","2296","1317","2268","23","962","17","979","","0","962","17","979","70","909","136","25","5","100","23","406","92","122","29.10.12"
"630785","181","Харківська область","Мереф’янська школа №4, хол, 1-й поверх
вул.Кримська, 69, м.Мерефа, Харківський р-н, Харківська обл., 62472","1952","1076","1946","30","854","22","876","","0","853","22","875","41","834","72","14","9","165","18","368","92","96","30.10.12"
"630786","181","Харківська область","мала школа №6, хол, 1-й поверх
вул.5-го Вересня, 89, м.Мерефа, Харківський р-н, Харківська обл., 62472","1280","677","1291","11","593","10","603","","0","593","10","603","34","569","35","4","2","111","26","244","61","86","29.10.12"
"630787","181","Харківська область","Мереф’янський ліцей, актова зала, 2-й поверх
вул.Мірошниченка, 63, м.Мерефа, Харківський р-н, Харківська обл., 62472","2272","1263","2244","50","963","46","1009","","0","963","46","1009","66","943","118","16","12","106","27","414","103","147","29.10.12"
"630788","181","Харківська область","ДП ""Артемівський спиртзавод"", актова зала, 2-й поверх
вул.Революції, 2, м.Мерефа, Харківський р-н, Харківська обл., 62472","2248","1245","2229","25","984","19","1003","","0","984","19","1003","83","920","151","10","7","115","40","366","77","154","29.10.12"
"630789","181","Харківська область","БК ""Овочівник"", танцювальна зала, 2-й поверх
вул.Інституцька, 3, с-ще Селекційне, Харківський р-н, Харківська обл., 62478","1256","577","1247","16","664","15","679","","0","664","15","679","32","647","73","4","11","51","12","390","44","62","29.10.12"
"630790","181","Харківська область","будинок культури, спортзал, 2-й поверх
пл.Карла Маркса, 2А, смт Бабаї, Харківський р-н, Харківська обл., 62403","1840","840","1826","52","950","50","1000","","0","950","50","1000","60","940","52","20","19","35","75","433","103","203","29.10.12"
"630791","181","Харківська область","будинок культури, танцювальна зала
пл.Карла Маркса, 2А, смт Бабаї, Харківський р-н, Харківська обл., 62403","1920","856","1905","52","1017","47","1064","","0","1017","47","1064","86","978","71","26","8","27","25","510","142","169","29.10.12"
"630792","181","Харківська область","Бабаївська школа, фойє
вул.1-го Травня, 35, смт Бабаї, Харківський р-н, Харківська обл., 62403","1872","790","1860","50","1039","43","1082","","0","1038","43","1081","75","1006","105","33","17","33","38","395","135","250","30.10.12"
"630793","181","Харківська область","Безлюдівська селищна рада, актова зала, 1-й поверх
вул.Зміївська, 48, смт Безлюдівка, Харківський р-н, Харківська обл., 62489","2120","1198","2107","40","893","29","922","","0","893","29","922","51","871","37","16","128","21","31","406","54","178","29.10.12"
"630794","181","Харківська область","Безлюдівський юридичний ліцей, фойє, 1-й поверх
вул.Перемоги, 144А, смт Безлюдівка, Харківський р-н, Харківська обл., 62489","1784","1015","1766","25","752","17","769","","0","752","17","769","32","737","56","7","135","15","21","312","34","157","29.10.12"
"630795","181","Харківська область","Безлюдівська школа, фойє, 2-й поверх
вул.Перемоги, 177, смт Безлюдівка, Харківський р-н, Харківська обл., 62489","2040","1112","2029","41","889","39","928","","0","889","39","928","55","873","36","15","122","25","25","450","73","127","29.10.12"
"630796","181","Харківська область","Безлюдівський юридичний ліцей, спортзал, 1-й поверх
вул.Перемоги, 144А, смт Безлюдівка, Харківський р-н, Харківська обл., 62489","1864","1022","1840","29","814","28","842","","0","814","28","842","42","800","30","15","107","29","27","391","65","136","29.10.12"
"630797","181","Харківська область","Березівський селищний клуб, актова зала
вул.Кооперативна, 3, смт Березівка, Харківський р-н, Харківська обл., 62457","1304","493","1293","60","758","53","811","","0","758","53","811","54","757","86","7","10","28","36","422","83","85","29.10.12"
