"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Беденко
Сергій
Олексійович","Васильєв
Микола
Валерійович","Остапчук
Віктор
Миколайович","Пивовар
Григорій
Вікторович","Ровчак
Андрій
Яковлевич","Рочняк
Сергій
Дмитрович","Фомичевський
Анатолій
Станіславович","Дата підписання протоколу"
"630166","177","Харківська область","районний будинок культури, фойє, 2-й поверх
вул.Миру, 19, смт Борова, Борівський р-н, Харківська обл., 63801","1744","791","1720","106","864","89","953","","0","864","89","953","34","919","3","6","471","9","289","19","122","29.10.12"
"630167","177","Харківська область","будинок дитячої та юнацької творчості, каб.8
вул.Миру, 12, смт Борова, Борівський р-н, Харківська обл., 63801","432","174","424","12","248","10","258","","0","248","10","258","6","252","4","2","109","0","109","3","25","28.10.12"
"630168","177","Харківська область","школа №1, малий зал
вул.Миру, 23, смт Борова, Борівський р-н, Харківська обл., 63801","1976","944","1931","29","1004","28","1032","","0","1004","28","1032","17","1015","4","8","577","5","334","14","73","28.10.12"
"630169","177","Харківська область","школа №2, зал №1
вул.Гагаріна, 49, смт Борова, Борівський р-н, Харківська обл., 63801","1104","467","1082","65","579","58","637","","0","579","58","637","17","620","2","9","335","7","170","14","83","29.10.12"
"630170","177","Харківська область","школа, коридор-фойє
пров.Шкільний, 1, с.Новоплатонівка, Борівський р-н, Харківська обл., 63808","328","102","321","34","192","34","226","","0","192","34","226","11","215","0","4","141","1","51","3","15","28.10.12"
"630171","177","Харківська область","школа, спортивний зал
вул.Центральна, 5, с.Шийківка, Борівський р-н, Харківська обл., 63809","480","207","475","38","236","37","273","","0","236","37","273","3","270","2","8","101","4","97","13","45","28.10.12"
"630172","177","Харківська область","школа, коридор-фойє
пров.Шкільний, 6, с.Богуславка, Борівський р-н, Харківська обл., 63810","1064","466","1047","68","536","62","598","","0","536","62","598","13","585","1","3","267","1","172","7","134","28.10.12"
"630173","177","Харківська область","сільський клуб, фойє
вул.Клубна, 1, с.Загризове, Борівський р-н, Харківська обл., 63811","376","131","372","37","208","37","245","","0","208","37","245","10","235","5","3","146","1","38","2","40","28.10.12"
"630174","177","Харківська область","школа, спортивний зал
вул.Молодіжна, 82, с.Вище Солоне, Борівський р-н, Харківська обл., 63830","312","101","313","15","196","15","211","","0","196","15","211","4","207","1","2","115","2","46","5","36","28.10.12"
"630175","177","Харківська область","кімната амбулаторії загальної практики сімейної медицини
вул.Леніна, 56А, с.Нижче Солоне, Борівський р-н, Харківська обл., 63831","288","77","283","22","189","22","211","","0","189","22","211","10","201","1","2","133","1","39","2","23","28.10.12"
"630176","177","Харківська область","сільська рада, кабінет сільського голови
вул.Центральна, 26, с.Гороховатка, Борівський р-н, Харківська обл., 63822","384","131","373","27","226","27","253","","0","226","27","253","6","247","2","0","139","3","83","1","19","28.10.12"
"630177","177","Харківська область","сільський клуб, фойє
вул.Радьківська, 10А, с.Бахтин, Борівський р-н, Харківська обл., 63822","312","146","298","15","152","14","166","","0","152","14","166","8","158","0","2","86","5","40","3","22","29.10.12"
"630178","177","Харківська область","школа, спортивний зал
вул.Шкільна, 9, с.Дружелюбівка, Борівський р-н, Харківська обл., 63841","360","139","352","41","181","40","221","","0","181","40","221","10","211","4","2","127","1","56","4","17","29.10.12"
"630179","177","Харківська область","школа, спортивний зал
пров.Партизанський, 11, с.Ізюмське, Борівський р-н, Харківська обл., 63840","472","219","471","14","239","14","253","","0","239","14","253","7","246","2","5","161","2","55","1","20","28.10.12"
"630180","177","Харківська область","сільська рада, обрядовий зал
вул.Кооперативна, 7, с-ще Першотравневе, Борівський р-н, Харківська обл., 63813","952","443","941","42","470","39","509","","0","470","39","509","16","493","4","6","313","8","96","16","50","28.10.12"
"630181","177","Харківська область","школа, актовий зал
вул.Григорія Запорожченка, 21А, с.Підвисоке, Борівський р-н, Харківська обл., 63820","552","149","546","46","358","45","403","","0","358","45","403","10","393","3","0","182","4","149","6","49","28.10.12"
"630182","177","Харківська область","школа, спортивна кімната
вул.Центральна, 59, с.Калинове, Борівський р-н, Харківська обл., 63820","144","23","145","18","103","18","121","","0","103","18","121","2","119","1","1","54","1","56","4","2","28.10.12"
"630183","177","Харківська область","будинок культури, фойє
вул.Радянська, 3А, с.Підлиман, Борівський р-н, Харківська обл., 63824","1072","469","1074","55","548","55","603","","0","548","55","603","25","578","7","11","321","9","149","15","66","29.10.12"
"630184","177","Харківська область","будинок культури, каб.1
вул.Леніна, 9, с.Піски-Радьківські, Борівський р-н, Харківська обл., 63832","832","334","805","59","446","52","498","","0","446","52","498","16","482","4","4","342","3","84","4","41","29.10.12"
"630185","177","Харківська область","адміністрація ЧДВСРП, актовий зал
пров.Шосейний, 6, с.Піски-Радьківські, Борівський р-н, Харківська обл., 63832","968","410","953","77","483","75","558","","0","483","75","558","48","510","4","11","353","6","89","9","38","29.10.12"
"630186","177","Харківська область","сільський клуб, глядацький зал
вул.Тараса Шевченка, 42, с.Маліївка, Борівський р-н, Харківська обл., 63833","144","44","140","9","93","7","100","","0","93","7","100","8","92","0","0","44","0","32","2","14","28.10.12"
"630187","177","Харківська область","будинок культури, фойє
вул.Центральна, 17, с.Чернещина, Борівський р-н, Харківська обл., 63842","520","155","517","16","349","16","365","","0","349","16","365","17","348","1","3","239","3","63","6","33","28.10.12"
"630473","177","Харківська область","сільський клуб, фойє
вул.Жовтнева, 5, с.Бражківка, Ізюмський р-н, Харківська обл., 64344","216","85","209","21","111","20","131","","0","111","20","131","5","126","1","2","75","2","31","5","10","28.10.12"
"630474","177","Харківська область","школа, фойє
вул.Шкільна, 5А, с.Бригадирівка, Ізюмський р-н, Харківська обл., 64330","296","106","296","16","177","13","190","","0","177","13","190","4","186","2","3","88","3","62","0","28","28.10.12"
"630475","177","Харківська область","сільській клуб, фойє
вул.Перемоги, 72, с.Бабенкове, Ізюмський р-н, Харківська обл., 64306","320","113","313","27","180","27","207","","0","180","27","207","2","205","1","2","149","0","37","6","10","29.10.12"
"630476","177","Харківська область","сільський клуб, к.2
вул.Мира, 106А, с.Липчанівка, Ізюмський р-н, Харківська обл., 64331","656","280","640","71","305","71","376","","0","305","71","376","6","370","0","1","177","1","126","6","59","28.10.12"
"630477","177","Харківська область","сільський клуб, к.2
вул.Зелена, 38Б, с.Федорівка, Ізюмський р-н, Харківська обл., 64331","184","30","186","10","144","10","154","","0","144","10","154","6","148","0","1","99","1","25","2","20","28.10.12"
"630478","177","Харківська область","навчально-виховний комплекс, фойє
пл.Центральна, 12, с.Бугаївка, Ізюмський р-н, Харківська обл., 64320","1120","266","1095","53","805","49","854","","0","805","49","854","7","847","0","0","61","4","756","10","16","29.10.12"
"630479","177","Харківська область","школа, актова зала
вул.Миру, 28Д, с.Вірнопілля, Ізюмський р-н, Харківська обл., 64370","576","216","563","37","326","34","360","","0","326","34","360","17","343","1","0","193","1","101","11","36","28.10.12"
"630480","177","Харківська область","сільський клуб, фойє
вул.Борисова, 53, с.Довгеньке, Ізюмський р-н, Харківська обл., 64371","560","217","549","39","307","36","343","","0","307","36","343","12","331","5","3","205","3","69","5","41","28.10.12"
"630481","177","Харківська область","сільський будинок культури, фойє
вул.Перемоги, 52, с.Заводи, Ізюмський р-н, Харківська обл., 64350","416","164","412","55","203","49","252","","0","203","49","252","6","246","5","0","95","3","106","13","24","28.10.12"
"630482","177","Харківська область","школа, фойє
вул.Шкільна, 1А, с.Червоний Шахтар, Ізюмський р-н, Харківська обл., 64351","312","111","301","24","181","20","201","","0","181","20","201","5","196","1","2","73","4","93","3","20","28.10.12"
"630483","177","Харківська область","сільський будинок культури, глядацька зала
вул.Шкільна, 16, с.Іванчуківка, Ізюмський р-н, Харківська обл., 64322","656","296","643","83","296","64","360","","0","296","64","360","17","343","5","4","197","7","99","7","24","28.10.12"
"630484","177","Харківська область","школа, їдальня
вул.Шкільна, 10А, с.Кам’янка, Ізюмський р-н, Харківська обл., 64341","1016","386","1009","55","582","48","630","","0","582","48","630","23","607","2","6","314","6","168","17","94","29.10.12"
"630485","177","Харківська область","школа, спортивна зала
вул.Перемоги, 2, с.Капитолівка, Ізюмський р-н, Харківська обл., 64319","1416","600","1402","83","744","72","816","","0","744","72","816","20","796","1","4","422","7","193","5","164","28.10.12"
"630486","177","Харківська область","сільський будинок культури, фойє
вул.Миру, 36В, с.Комарівка, Ізюмський р-н, Харківська обл., 64334","480","165","475","45","275","40","315","","0","275","40","315","12","303","2","1","171","1","92","5","31","28.10.12"
"630487","177","Харківська область","сільська рада, актова зала
вул.65-річчя Жовтня, 5А, с.Куньє, Ізюмський р-н, Харківська обл., 64323","552","217","538","48","294","41","335","","0","294","41","335","4","331","1","3","185","4","96","5","37","28.10.12"
"630488","177","Харківська область","сільський будинок культури, глядацька зала
вул.Леніна, 25А, с.Левківка, Ізюмський р-н, Харківська обл., 64332","616","260","602","52","306","50","356","","0","306","50","356","7","349","2","1","182","1","101","9","53","28.10.12"
"630489","177","Харківська область","сільський клуб, глядацька зала
вул.Шкільна, 21, с.Крамарівка, Ізюмський р-н, Харківська обл., 64333","640","295","626","68","283","62","345","","0","283","62","345","10","335","0","3","176","2","98","6","50","28.10.12"
"630490","177","Харківська область","школа, фойє
вул.Перемоги, 45, с.Мала Комишуваха, Ізюмський р-н, Харківська обл., 64342","176","58","175","16","105","13","118","","0","105","13","118","3","115","1","0","69","0","29","3","13","28.10.12"
