"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Денисенко
Анатолій
Петрович","Картельов
Микола
Михайлович","Салигін
Васілій
Вікторовіч","Старков
Костянтин
Олександрович","Туренко
Іван
Андрійович","Ханафеєв
Владислав
Олексійович","Христенко
Юрій
Петрович","Дата підписання протоколу"
"631316","173","Харківська область","гімназія №46, вестибюль, 1-й поверх
вул.Державінська, 4А, м.Харків, 61001","1848","721","1827","31","1102","25","1127","","0","1102","25","1127","57","1070","449","32","170","187","132","51","49","29.10.12"
"631317","173","Харківська область","гімназія №46, їдальня, 1-й поверх
вул.Державінська, 4А, м.Харків, 61001","1952","856","1947","7","1089","7","1096","","0","1089","7","1096","50","1046","455","47","158","155","121","58","52","29.10.12"
"631318","173","Харківська область","гімназія №46, спортивна зала, 1-й поверх
вул.Державінська, 4А, м.Харків, 61001","1976","845","1969","15","1118","13","1131","","0","1118","13","1131","70","1061","409","28","166","175","149","69","65","29.10.12"
"631319","173","Харківська область","школа №151, рекреація, 2-й поверх
вул.Дніпровська, 10, м.Харків, 61001","1864","763","2062","11","1091","10","1101","","0","1091","10","1101","76","1025","423","44","217","118","96","69","58","29.10.12"
"631320","173","Харківська область","школа №151, рекреація, 1-й поверх
вул.Дніпровська, 10, м.Харків, 61001","2224","1057","2212","26","1147","20","1167","","0","1147","20","1167","58","1109","476","38","167","168","146","57","57","29.10.12"
"631321","173","Харківська область","школа №151, спортивна зала, 1-й поверх
вул.Дніпровська, 10, м.Харків, 61001","2184","911","2162","15","1260","13","1273","","0","1260","13","1273","72","1201","565","47","147","148","165","63","66","29.10.12"
"631322","173","Харківська область","гімназія №83, вестибюль, 1-й поверх
вул.Тарасівська, 43/45, м.Харків, 61068","2320","1060","2293","25","1244","16","1260","","0","1244","16","1260","63","1197","559","31","157","143","163","72","72","29.10.12"
"631323","173","Харківська область","гімназія №83, спортивна зала, 1-й поверх
вул.Тарасівська, 43/45, м.Харків, 61068","2208","923","2198","20","1268","17","1285","","0","1268","17","1285","61","1224","597","43","157","166","151","60","50","29.10.12"
"631324","173","Харківська область","школа №20, спортивна зала, 1-й поверх
вул.Середньоуральська, 16, м.Харків, 61001","2160","1014","2153","33","1118","28","1146","","0","1118","28","1146","65","1081","567","38","118","117","127","52","62","29.10.12"
"631325","173","Харківська область","школа №94, коридор, 2-й поверх
вул.Плеханівська, 151, м.Харків, 61037","2104","1244","2113","4","858","2","860","","0","858","2","860","53","807","413","28","122","110","65","33","36","29.10.12"
"631326","173","Харківська область","школа №94, коридор, 1-й поверх
вул.Плеханівська, 151, м.Харків, 61037","2272","1096","2265","13","1165","11","1176","","0","1165","11","1176","79","1097","520","28","155","169","122","53","50","29.10.12"
"631327","173","Харківська область","навчально-виховний комбінат №112, спортивна зала
вул.Менжинського, 1, м.Харків, 61068","2184","1004","2166","8","1172","8","1180","","0","1172","8","1180","46","1134","721","22","86","139","81","33","52","29.10.12"
"631328","173","Харківська область","навчально-виховний комбінат №112, їдальня
вул.Менжинського, 1, м.Харків, 61068","1672","814","1662","14","847","11","858","","0","847","11","858","53","805","449","22","51","128","80","32","43","29.10.12"
"631329","173","Харківська область","механічний технікум, вестибюль, 1-й поверх
вул.Морозова, 4/1, м.Харків, 61036","1488","748","1467","12","731","9","740","","0","730","9","739","40","699","388","10","63","89","84","23","42","29.10.12"
"631330","173","Харківська область","школа №68, спортивна зала, 1-й поверх
вул.Зернова, 12, м.Харків, 61124","2440","1263","2408","20","1162","15","1177","","0","1158","15","1173","67","1106","535","41","157","141","127","53","52","29.10.12"
"631331","173","Харківська область","школа №68, спортивна зала, 1-й поверх
вул.Зернова, 12, м.Харків, 61124","2264","1072","2244","18","1179","13","1192","","0","1179","13","1192","62","1130","606","21","134","172","120","34","43","29.10.12"
"631332","173","Харківська область","школа №68, рекреація, 2-й поверх, праворуч
вул.Зернова, 12, м.Харків, 61124","1984","990","1954","22","978","16","994","","0","978","16","994","55","939","489","22","134","114","94","51","35","29.10.12"
"631333","173","Харківська область","школа №68, рекреація, 2-й поверх, ліворуч
вул.Зернова, 12, м.Харків, 61124","2400","1230","2377","32","1143","27","1170","","0","1143","27","1170","73","1097","572","26","136","149","121","44","49","29.10.12"
"631334","173","Харківська область","спеціалізована школа №114, актова зала, 1-й поверх
просп.Гагаріна, 157, м.Харків, 61124","2312","1209","2277","36","1075","28","1103","","0","1075","28","1103","57","1046","513","33","136","162","110","39","53","29.10.12"
"631335","173","Харківська область","спеціалізована школа №114, спортивна зала, 2-й поверх
просп.Гагаріна, 157, м.Харків, 61124","1960","1192","1938","29","742","26","768","","0","742","26","768","41","727","383","19","101","114","58","24","28","29.10.12"
"631336","173","Харківська область","школа №44, коридор, 1 поверх
вул.Костичева, 2, м.Харків, 61105","2216","1272","2187","14","934","10","944","","0","934","10","944","55","889","455","36","101","137","86","43","31","29.10.12"
"631337","173","Харківська область","школа №44, коридор, 2-й поверх
вул.Костичева, 2, м.Харків, 61105","2160","1224","2140","17","923","13","936","","0","923","13","936","53","883","386","17","160","155","92","34","39","29.10.12"
"631338","173","Харківська область","школа №102, вестибюль, 1-й поверх
вул.Киргизька, 3, м.Харків, 61105","1992","1046","1963","12","938","8","946","","0","938","8","946","54","892","448","20","151","110","79","47","37","29.10.12"
"631339","173","Харківська область","школа №102, спортивна зала, 2-й поверх
вул.Киргизька, 3, м.Харків, 61105","2144","1091","2124","14","1043","10","1053","","0","1043","10","1053","45","1008","581","37","147","106","55","38","44","29.10.12"
"631340","173","Харківська область","ДНЗ ""Харківське вище професійне механіко-технологічне училище"", хол, 1-й поверх
вул.Морозова, 20А, м.Харків, 61105","2056","1114","2060","7","936","6","942","","0","936","6","942","44","898","498","34","100","106","84","38","38","29.10.12"
"631341","173","Харківська область","КЗОЗ ""Харківська міська поліклініка №19"", хол, 1-й поверх
просп.Героїв Сталінграда, 23А, м.Харків, 61105","1872","1002","1863","13","860","10","870","","0","860","10","870","50","820","467","11","96","139","52","28","27","28.10.12"
"631342","173","Харківська область","КЗОЗ ""Харківська міська дитяча поліклініка №1"", вестибюль, 1-й поверх
просп.Героїв Сталінграда, 12, м.Харків, 61105","2320","1106","2300","19","1201","13","1214","","0","1201","13","1214","75","1139","579","27","162","193","82","40","56","29.10.12"
"631343","173","Харківська область","КЗОЗ ""Харківська міська дитяча поліклініка №1"", вестибюль, 1-й поверх
просп.Героїв Сталінграда, 12, м.Харків, 61105","2232","1113","2223","11","1111","8","1119","","0","1111","8","1119","68","1051","531","25","138","158","95","52","52","29.10.12"
