"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Гіршфельд
Анатолій
Мусійович","Мішуровська
Світлана
Тимофіївна","Петренко
Сергій
Миколайович","Полковниченко
Олександр
Миколайович","Тимошенко
Володимир
Миколайович","Ткаченко
Олександр
Іванович","Шахматенко
Сергій
Іванович","Ярещенко
Михайло
Євгенович","Дата підписання протоколу"
"630517","179","Харківська область","стара школа, фойє
вул.Радянська, 1, смт Чапаєве, Кегичівський р-н, Харківська обл., 64020","1304","685","1289","37","588","31","619","","0","588","31","619","39","580","307","19","75","85","13","11","18","52","29.10.12"
"630518","179","Харківська область","нова школа, фойє
вул.Радянська, 1, смт Чапаєве, Кегичівський р-н, Харківська обл., 64020","1624","742","1604","51","834","48","882","","0","834","48","882","47","835","468","22","105","122","22","11","20","65","29.10.12"
"630519","179","Харківська область","школа, фойє
вул.50 років України, 1А, с.Шляхове, Кегичівський р-н, Харківська обл., 64024","688","305","679","41","342","41","383","","0","342","41","383","28","355","158","27","48","55","22","8","18","19","28.10.12"
"630530","179","Харківська область","Педагогічний коледж, актова зала
вул.Московська, 47, м.Красноград, Красноградський р-н, Харківська обл., 63301","1576","788","1595","90","734","54","788","","0","734","54","788","26","762","271","15","152","43","12","46","63","160","29.10.12"
"630531","179","Харківська область","Професійний ліцей, спортивна зала
вул.Московська, 45А, м.Красноград, Красноградський р-н, Харківська обл., 63301","1744","895","1699","30","825","24","849","","0","825","24","849","28","821","298","18","175","60","15","52","31","172","29.10.12"
"630532","179","Харківська область","Гімназія ""Гранд"", хол
3 мікрорайон, 32, м.Красноград, Красноградський р-н, Харківська обл., 63304","1800","845","1778","30","933","22","955","","0","933","22","955","51","904","331","21","175","76","11","50","39","201","29.10.12"
"630533","179","Харківська область","школа №2, спортивна зала
вул.Кірова, 57, м.Красноград, Красноградський р-н, Харківська обл., 63304","1544","798","1524","36","722","24","746","","0","722","24","746","61","685","254","13","133","65","12","30","20","158","29.10.12"
"630534","179","Харківська область","Красноградське ДЕП, актова зала
вул.Полтавська, 2, м.Красноград, Красноградський р-н, Харківська обл., 63304","880","422","865","38","424","34","458","","0","424","34","458","15","443","145","6","79","29","4","22","22","136","29.10.12"
"630535","179","Харківська область","Медичний коледж, адміністративний корпус
вул.Лермонтова, 43, м.Красноград, Красноградський р-н, Харківська обл., 63304","744","280","769","39","431","33","464","","0","431","33","464","22","442","161","8","81","27","11","26","19","109","29.10.12"
"630536","179","Харківська область","ККП ""Водоканал"", фойє
вул.Ленінградська, 66, м.Красноград, Красноградський р-н, Харківська обл., 63304","1056","519","1049","20","518","19","537","","0","518","19","537","30","507","134","7","121","32","2","26","57","128","28.10.12"
"630537","179","Харківська область","школа №1, актова зала
вул.Лермонтова, 49, м.Красноград, Красноградський р-н, Харківська обл., 63304","1592","729","1580","58","817","46","863","","0","816","46","862","37","825","293","11","165","50","12","34","46","214","29.10.12"
"630538","179","Харківська область","Будинок культури, методичний кабінет
вул.Леніна, 67, м.Красноград, Красноградський р-н, Харківська обл., 63304","1232","596","1215","31","613","23","636","","0","613","23","636","36","600","208","18","115","33","9","23","28","166","28.10.12"
"630539","179","Харківська область","Багатопрофільний ліцей №4, спортивна зала
вул.19 Вересня, 119А, м.Красноград, Красноградський р-н, Харківська обл., 63304","872","410","858","30","434","28","462","","0","434","28","462","21","441","174","7","87","26","5","19","16","107","29.10.12"
"630540","179","Харківська область","Будинок техніки, фойє
вул.Полтавська, 86, м.Красноград, Красноградський р-н, Харківська обл., 63304","1592","762","1553","32","802","28","830","","0","802","28","830","18","812","287","21","143","52","11","59","31","208","29.10.12"
"630541","179","Харківська область","спортивна школа, спортивна зала
вул.Жовтнева, 76, м.Красноград, Красноградський р-н, Харківська обл., 63304","728","339","738","34","363","26","389","","0","363","26","389","21","368","140","4","66","17","4","20","18","99","28.10.12"
"630542","179","Харківська область","школа №3, спортивна зала
вул.Горького, 114, м.Красноград, Красноградський р-н, Харківська обл., 63304","744","354","733","18","376","14","390","","0","376","14","390","22","368","112","10","54","41","7","19","15","110","29.10.12"
"630543","179","Харківська область","ТОВ ""Красноградський млин"", актова зала
вул.Полтавська, 186, м.Красноград, Красноградський р-н, Харківська обл., 63304","1136","591","1138","48","502","43","545","","0","502","43","545","24","521","191","7","85","32","11","43","34","118","29.10.12"
"630544","179","Харківська область","дитячий садок, фойє
дитячий садок, с-ще Дослідне, Красноградський р-н, Харківська обл., 63308","600","316","608","36","250","34","284","","0","250","34","284","10","274","105","7","42","13","4","9","25","69","28.10.12"
"630545","179","Харківська область","Володимирівська школа, фойє
вул.Верхня, Володимирівська школа, с.Володимирівка, Красноградський р-н, Харківська обл., 63374","576","197","520","53","328","51","379","","0","328","51","379","25","354","176","5","52","42","9","2","15","53","28.10.12"
"630546","179","Харківська область","Лукашівська школа, спортивна зала
пров.Шкільний, Лукашівська школа, с.Лукашівка, Красноградський р-н, Харківська обл., 63372","376","111","374","29","242","23","265","","0","242","23","265","14","251","127","6","39","17","6","2","18","36","28.10.12"
"630547","179","Харківська область","Сільський клуб, фойє
вул.Центральна, 82, с.Кирилівка, Красноградський р-н, Харківська обл., 63320","536","235","515","66","247","54","301","","0","247","54","301","11","290","78","6","39","25","6","73","15","48","28.10.12"
"630548","179","Харківська область","будинок культури, фойє
вул.Шевченка, будинок культури, с.Кобзівка, Красноградський р-н, Харківська обл., 63361","592","225","588","44","326","41","367","","0","326","41","367","19","348","177","3","64","26","9","3","9","57","28.10.12"
"630549","179","Харківська область","сільський клуб, фойє
вул.Радянська, сільський клуб, с-ще Ленінське, Красноградський р-н, Харківська обл., 63345","416","173","403","20","228","15","243","","0","228","15","243","13","230","118","9","34","13","8","4","27","17","29.10.12"
"630550","179","Харківська область","Ленінська школа, спортивна зала
вул.Молодіжна, Ленінська школа, с.Ленінка, Красноградський р-н, Харківська обл., 63350","480","158","466","31","292","30","322","","0","292","30","322","18","304","152","7","32","27","5","2","15","64","29.10.12"
"630551","179","Харківська область","Тишенківська школа, спортивна зала
вул.Центральна, Тишенківська школа, с.Тишенківка, Красноградський р-н, Харківська обл., 63331","288","102","281","34","154","32","186","","0","154","32","186","10","176","85","2","32","11","1","3","3","39","29.10.12"
"630552","179","Харківська область","будинок культури, фойє
вул.Центральна, будинок культури, с.Мартинівка, Красноградський р-н, Харківська обл., 63350","928","454","922","85","402","72","474","","0","402","72","474","25","449","206","10","72","37","4","12","39","69","29.10.12"
"630553","179","Харківська область","будинок культури, глядацька зала
вул.Українська, будинок культури, с.Миколо-Комишувата, Красноградський р-н, Харківська обл., 63310","976","442","954","80","460","74","534","","0","460","74","534","45","489","212","19","83","62","7","16","16","74","29.10.12"
"630554","179","Харківська область","Наталинська школа, спортивна зала
вул.Красноармійська, 34, с.Наталине, Красноградський р-н, Харківська обл., 63343","1848","828","1822","83","940","80","1020","","0","940","80","1020","62","958","386","35","162","108","17","35","36","179","28.10.12"
"630555","179","Харківська область","ГПУ""Шебелінкагазвидобування"", актова зала
вул.Красноармійська, 54, с.Наталине, Красноградський р-н, Харківська обл., 63343","944","478","935","29","439","27","466","","0","439","27","466","38","428","196","12","84","35","3","19","12","67","29.10.12"
"630556","179","Харківська область","Октябрська школа, спортивна зала
вул.Леніна, 252, с.Октябрське, Красноградський р-н, Харківська обл., 63322","712","261","696","80","373","78","451","","0","373","78","451","20","431","210","12","43","41","6","25","12","82","28.10.12"
"630557","179","Харківська область","Берестовеньківська школа, спортивна зала
вул.Радянська, 74, с.Берестовенька, Красноградський р-н, Харківська обл., 63323","808","296","798","92","420","92","512","","0","420","92","512","20","492","206","9","44","47","3","24","21","138","28.10.12"
"630558","179","Харківська область","Петрівська школа, спортивна зала
вул.Шкільна, Петрівська школа, с.Петрівка, Красноградський р-н, Харківська обл., 63340","1344","558","1314","106","683","103","786","","0","683","103","786","34","752","289","47","110","96","12","27","86","85","29.10.12"
"630559","179","Харківська область","Міжшкільний виробничий комбінат, фойє
вул.Леніна, міжшкільний виробничий комбінат, с-ще Балки, Красноградський р-н, Харківська обл., 63341","384","160","375","23","203","21","224","","0","203","21","224","9","215","101","14","35","17","0","7","9","32","29.10.12"
"630560","179","Харківська область","Піщанська школа, головний корпус, спортивна зала
вул.Шевченка, 38А, с.Піщанка, Красноградський р-н, Харківська обл., 63332","1568","805","1473","64","702","61","763","","0","702","61","763","43","720","286","7","92","46","8","25","23","233","29.10.12"
"630561","179","Харківська область","Піщанська школа, корпус початкових класів, приміщення холу
вул.Леніна, 53А, с.Піщанка, Красноградський р-н, Харківська обл., 63332","1696","732","1590","57","915","49","964","","0","915","49","964","55","909","362","17","174","79","13","17","39","208","29.10.12"
"630562","179","Харківська область","Піщанська школа, хол
вул.Полтавська, 257А, с.Піщанка, Красноградський р-н, Харківська обл., 63332","1088","585","1062","58","450","53","503","","0","450","53","503","24","479","211","8","65","35","12","11","17","120","29.10.12"
"630563","179","Харківська область","сільський клуб, хол
вул.Комсомольська, сільський клуб, с-ще Жовтневе, Красноградський р-н, Харківська обл., 63335","200","43","193","18","139","18","157","","0","139","18","157","10","147","111","5","13","8","3","0","1","6","29.10.12"
"630564","179","Харківська область","Попівська школа, їдальня
вул.Кірова, Попівська школа, с.Попівка, Красноградський р-н, Харківська обл., 63344","1088","481","1087","71","547","60","607","","0","547","60","607","32","575","259","21","103","67","9","9","24","83","28.10.12"
"630565","179","Харківська область","Роздольська школа, спортивна зала
вул.Шкільна, Роздольська школа, с.Ясна Поляна, Красноградський р-н, Харківська обл., 63362","240","78","234","24","140","22","162","","0","140","22","162","7","155","70","6","26","11","3","3","25","11","28.10.12"
"630566","179","Харківська область","сільська рада, обрядова зала
сільська рада, с.Соснівка, Красноградський р-н, Харківська обл., 36324","328","111","321","34","189","28","217","","0","189","28","217","14","203","72","5","74","16","6","4","9","17","28.10.12"
"630567","179","Харківська область","Березівська школа, спортивна зала
Березівська школа, с.Березівка, Красноградський р-н, Харківська обл., 63324","352","139","346","39","180","33","213","","0","180","33","213","9","204","57","6","72","22","7","6","9","25","28.10.12"
"630568","179","Харківська область","Хрестищенська школа, фойє
вул.Комсомольська, 29, с.Хрестище, Красноградський р-н, Харківська обл., 63311","704","286","683","26","394","24","418","","0","394","24","418","27","391","135","12","53","42","12","57","22","58","29.10.12"
"630569","179","Харківська область","сільський клуб, зала
вул.Центральна, сільський клуб, с.Українка, Красноградський р-н, Харківська обл., 63312","208","61","212","21","127","20","147","","0","127","20","147","7","140","65","4","15","15","3","5","19","14","29.10.12"
"630570","179","Харківська область","сільський клуб, фойє
вул.Центральна, сільський клуб, с.Першотравневе, Красноградський р-н, Харківська обл., 63311","176","39","179","7","130","7","137","","0","130","7","137","2","135","74","4","9","11","1","21","7","8","29.10.12"
"630571","179","Харківська область","центральна районна лікарня (хірургічний корпус), хол
вул.Ленінградська, 87, м.Красноград, Красноградський р-н, Харківська обл., 63304","112","35","88","31","52","25","77","","0","52","25","77","5","72","33","0","14","3","1","4","5","12","29.10.12"
"630639","179","Харківська область","Краснопавлівський НВК, вестибюль
вул.Маяковського, 61, смт Краснопавлівка, Лозівський р-н, Харківська обл., 64620","1672","940","1658","66","678","54","732","","0","678","54","732","27","705","258","39","57","215","2","6","70","58","29.10.12"
"630640","179","Харківська область","Дитяча музична школа, концертна зала
вул.Суворова, 2, смт Краснопавлівка, Лозівський р-н, Харківська обл., 64620","656","289","677","29","342","25","367","","0","342","25","367","9","358","141","13","39","72","6","2","38","47","29.10.12"
"630641","179","Харківська область","будинок культури ""Дніпро"", танцювальна зала
мікрорайон, будинок культури ""Дніпро"", смт Краснопавлівка, Лозівський р-н, Харківська обл., 64620","1632","807","1648","31","797","28","825","","0","797","28","825","28","797","287","18","65","248","9","10","78","82","29.10.12"
"630642","179","Харківська область","Краснопавлівський багатопрофільний ліцей, спортивна зала
мікрорайон, Краснопавлівський багатопрофільний ліцей, смт Краснопавлівка, Лозівський р-н, Харківська обл., 64620","1936","898","1910","50","991","47","1038","","0","991","47","1038","44","994","462","33","84","176","6","11","85","137","29.10.12"
"630643","179","Харківська область","Орільська селищна рада, зала засідань
вул.Жовтнева, 58, смт Орілька, Лозівський р-н, Харківська обл., 64640","1336","724","1314","79","540","72","612","","0","540","72","612","18","594","242","16","50","54","27","9","138","58","28.10.12"
"630644","179","Харківська область","Орільський аграрно-технічний ліцей, їдальня
вул.Заводська, 2, смт Орілька, Лозівський р-н, Харківська обл., 64640","1736","898","1693","57","786","52","838","","0","786","52","838","28","810","310","33","50","50","22","25","185","135","29.10.12"
"630645","179","Харківська область","Петропільський НВК, спортивна зала
вул.Горького, 13А, с.Петропілля, Лозівський р-н, Харківська обл., 64643","296","122","290","14","162","12","174","","0","162","12","174","2","172","123","3","5","8","1","0","26","6","29.10.12"
"630646","179","Харківська область","Петрівський НВК, їдальня
вул.Молодіжна, 15А, с.Петрівське, Лозівський р-н, Харківська обл., 64645","400","171","378","46","186","43","229","","0","186","43","229","8","221","86","15","21","16","2","1","71","9","28.10.12"
"630647","179","Харківська область","Артільський НВК, спортивна зала
вул.Леніна, 25, с.Артільне, Лозівський р-н, Харківська обл., 64630","512","150","498","49","318","44","362","","0","318","44","362","11","351","157","5","11","24","6","4","120","24","29.10.12"
"630648","179","Харківська область","Бунаківський НВК, вестибюль
вул.Шевченка, 1А, с.Бунакове, Лозівський р-н, Харківська обл., 64610","464","142","446","54","271","51","322","","0","271","51","322","13","309","98","3","12","104","2","2","66","22","28.10.12"
"630649","179","Харківська область","Єлизаветівський НВК, вестибюль
майдан Т.Г.Шевченка, Єлизаветівський НВК, с.Єлизаветівка, Лозівський р-н, Харківська обл., 64623","752","343","737","38","373","36","409","","0","373","36","409","16","393","195","10","18","90","2","2","8","68","28.10.12"
"630650","179","Харківська область","Катеринівська школа, вестибюль
вул.Шкільна, 16, с.Катеринівка, Лозівський р-н, Харківська обл., 64662","1752","727","1740","139","893","132","1025","","0","893","132","1025","32","993","457","38","100","202","9","13","78","96","29.10.12"
"630651","179","Харківська область","Михайлівський сільський клуб, глядацька зала
вул.Щорса, 1, с.Михайлівка, Лозівський р-н, Харківська обл., 64662","320","152","310","23","145","23","168","","0","145","23","168","2","166","82","8","10","20","5","0","35","6","29.10.12"
"630652","179","Харківська область","Кінненська школа, спортивна зала
вул.Піонерська, 24, с-ще Кінне, Лозівський р-н, Харківська обл., 64681","560","235","535","21","308","17","325","","0","308","17","325","8","317","86","15","17","60","11","6","58","64","29.10.12"
"630653","179","Харківська область","Комсомольський НВК, вестибюль
вул.Шкільна, 1А, с-ще Комсомольське, Лозівський р-н, Харківська обл., 64644","960","439","969","49","479","42","521","","0","478","42","520","25","495","208","18","36","88","4","3","76","62","29.10.12"
"630654","179","Харківська область","Миколаївський будинок культури, глядацька зала
вул.Никитенка, 14, с.Миколаївка, Лозівський р-н, Харківська обл., 64672","544","233","536","28","284","27","311","","0","284","27","311","11","300","159","13","22","19","10","3","50","24","29.10.12"
"630655","179","Харківська область","Надеждівський НВК, вестибюль
вул.Перемоги, 4, с.Надеждівка, Лозівський р-н, Харківська обл., 64680","583","195","570","44","347","41","388","","0","347","41","388","7","381","38","1","6","318","0","1","9","8","29.10.12"
"630656","179","Харківська область","Новоіванівська школа, спортивна зала
вул.Яремчука, 1, с.Нова Іванівка, Лозівський р-н, Харківська обл., 64670","984","381","983","107","502","101","603","","0","502","101","603","17","586","351","24","34","52","8","10","71","36","28.10.12"
"630657","179","Харківська область","Павлівська школа, спортивна зала
вул.Десняка, 7, с.Павлівка Друга, Лозівський р-н, Харківська обл., 64611","320","86","317","21","214","20","234","","0","214","20","234","2","232","38","4","4","163","0","1","19","3","28.10.12"
"630658","179","Харківська область","Перемогівська школа, їдальня
вул.Жовтнева, 6, с.Перемога, Лозівський р-н, Харківська обл., 64633","672","285","663","44","346","41","387","","0","346","41","387","19","368","172","21","34","51","1","2","64","23","29.10.12"
"630659","179","Харківська область","Відділення поштового зв’язку, вестибюль
вул.Заводська, 2, с.Герсеванівка, Лозівський р-н, Харківська обл., 64634","344","134","334","26","184","26","210","","0","184","26","210","8","202","109","9","12","34","2","2","16","18","29.10.12"
"630660","179","Харківська область","Плисівський сільський клуб, глядацька зала
вул.Центральна, 22, с.Плисове, Лозівський р-н, Харківська обл., 64624","384","144","368","27","213","27","240","","0","213","27","240","6","234","152","3","13","35","3","3","20","5","28.10.12"
"630661","179","Харківська область","Садівська школа, вестибюль
вул.Леніна, 81, с.Садове, Лозівський р-н, Харківська обл., 64683","608","177","590","77","356","75","431","","0","356","75","431","11","420","184","6","15","181","4","0","13","17","29.10.12"
"630662","179","Харківська область","Смирнівський НВК, спортивна зала
вул.Миру, 5, с.Смирнівка, Лозівський р-н, Харківська обл., 64650","1024","391","1007","57","576","57","633","","0","576","57","633","18","615","300","15","38","120","7","7","44","84","28.10.12"
"630663","179","Харківська область","Контора ПОСП ""Прогрес"", зала засідань
вул.Полтавська, 39, с.Тихопілля, Лозівський р-н, Харківська обл., 64682","360","105","359","19","240","15","255","","0","240","15","255","6","249","137","10","11","48","1","0","25","17","28.10.12"
"630664","179","Харківська область","Царедарівський НВК, актова зала
вул.Котовського, 13, с.Царедарівка, Лозівський р-н, Харківська обл., 64661","720","293","702","43","386","41","427","","0","386","41","427","12","415","204","25","56","38","8","3","43","38","29.10.12"
"630665","179","Харківська область","Полтавський сільський клуб, глядацька зала
вул.Шкільна, 1, с.Полтавське, Лозівський р-н, Харківська обл., 64661","440","130","433","40","272","38","310","","0","272","38","310","12","298","93","2","21","108","2","4","53","15","28.10.12"
"630666","179","Харківська область","Чернігівська сільська рада, зала засідань
вул.Садова, 15, с-ще Чернігівське, Лозівський р-н, Харківська обл., 64632","688","208","670","101","381","99","480","","0","381","99","480","2","478","316","3","19","56","1","1","51","31","29.10.12"
"630667","179","Харківська область","Шатівський НВК, вестибюль
вул.Молодіжна, 2, с.Олександрівка, Лозівський р-н, Харківська обл., 64651","736","260","723","64","416","60","476","","0","416","60","476","19","457","261","17","26","77","3","4","49","20","29.10.12"
"630668","179","Харківська область","Яковлівський НВК, спортивна зала
вул.Леніна, 2, с.Яковлівка, Лозівський р-н, Харківська обл., 64625","1136","513","1124","107","522","101","623","","0","522","101","623","23","600","391","7","28","59","2","6","62","45","29.10.12"
"630669","179","Харківська область","Фізіотерапевтичне відділення, вестибюль
вул.Леніна, 42, с.Катеринівка, Лозівський р-н, Харківська обл., 64662","256","187","78","23","47","22","69","","0","47","22","69","2","67","30","5","4","5","0","1","16","6","29.10.12"
"630745","179","Харківська область","школа, актовий зал
вул.Шкільна, 27, с.Аполлонівка, Сахновщинський р-н, Харківська обл., 64541","368","165","355","16","187","16","203","","0","187","16","203","10","193","77","4","26","35","13","5","21","12","28.10.12"
"630746","179","Харківська область","школа, актовий зал
пров.Шкільний, 1, с.Багата Чернещина, Сахновщинський р-н, Харківська обл., 64560","472","219","463","20","235","18","253","","0","235","18","253","8","245","132","19","33","14","7","5","23","12","29.10.12"
"630747","179","Харківська область","школа, актовий зал
вул.Перемоги, 19, с.Великі Бучки, Сахновщинський р-н, Харківська обл., 64562","352","152","343","17","183","17","200","","0","183","17","200","9","191","59","1","23","63","4","2","33","6","29.10.12"
"630748","179","Харківська область","сільська рада, кімната засідань
вул.Миру, 34, с.Володимирівка, Сахновщинський р-н, Харківська обл., 64540","192","81","183","9","103","8","111","","0","103","8","111","1","110","28","6","17","30","1","5","19","4","29.10.12"
"630749","179","Харківська область","сільська бібліотека, читальний зал
вул.Шкільна, 21, с.Орільське, Сахновщинський р-н, Харківська обл., 64540","152","50","154","20","82","20","102","","0","82","20","102","6","96","13","2","26","17","1","2","29","6","29.10.12"
"630750","179","Харківська область","школа, актовий зал
вул.Шкільна, 15, с.Гришівка, Сахновщинський р-н, Харківська обл., 64522","512","233","506","3","276","3","279","","0","276","3","279","10","269","106","14","47","50","4","7","20","21","28.10.12"
"630751","179","Харківська область","сільський будинок культури, актовий зал
вул.Центральна, 24, с.Дар-Надежда, Сахновщинський р-н, Харківська обл., 64520","168","64","170","1","103","1","104","","0","103","1","104","12","92","36","4","6","20","1","2","4","19","28.10.12"
"630752","179","Харківська область","сільський будинок культури, зал
вул.Центральна, 16, с.Максимівка, Сахновщинський р-н, Харківська обл., 64521","152","50","147","13","91","11","102","","0","91","11","102","3","99","28","3","6","35","3","1","17","6","28.10.12"
"630753","179","Харківська область","школа, актовий зал
вул.Першотравнева, 12, с.Дубові Гряди, Сахновщинський р-н, Харківська обл., 64563","504","178","499","39","293","33","326","","0","293","33","326","13","313","172","6","60","27","3","7","19","19","29.10.12"
