"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Дебелий
Олег
Віталійович","Луценко
Ігор
Іванович","Мірошніков
Віталій
Юрійович","Петрик
Сергій
Володимирович","Тищенко
Павло
Васильович","Фельдман
Олександр
Борисович","Фукс
Андрій
Едуардович","Чорний
Дмитро
Валентинович","Шевченко
Жанна
Олександрівна","Дата підписання протоколу"
"000001","174","Харківська область","корпус 1
вул. Полтавський шлях, 99, м. Харків, 61093","1608","260","1376","0","1348","0","1348","","0","1348","0","1348","50","1298","52","26","18","69","8","1060","18","7","40","29.10.12"
"000002","174","Харківська область","корпус 2
вул.Полтавський шлях, 99, м.Харків, 61093","1864","676","1201","31","1160","28","1188","","0","1160","28","1188","48","1140","33","35","23","73","14","920","11","4","27","29.10.12"
"631177","174","Харківська область","електромеханічний технікум, їдальня
вул.Дмитрівська, 26, м.Харків, 61052","1168","689","1144","8","471","8","479","","0","471","8","479","16","463","65","52","8","71","8","241","11","3","4","29.10.12"
"631178","174","Харківська область","електромеханічний технікум, актова зала
вул.Дмитрівська, 26, м.Харків, 61052","1744","791","1713","4","949","4","953","","0","949","4","953","32","921","92","97","10","146","10","532","11","9","14","29.10.12"
"631179","174","Харківська область","будинок культури ""Червоний Жовтень"", фойє
вул.Червоножовтнева, 75/77, м.Харків, 61052","1536","734","1546","12","797","5","802","","0","797","5","802","43","759","76","96","13","128","13","381","9","15","28","29.10.12"
"631180","174","Харківська область","КП ""Харківводоканал"", фойє
вул.Червоножовтнева, 90, м.Харків, 61052","2168","1065","2168","23","1080","23","1103","","0","1080","23","1103","52","1051","128","92","9","133","27","597","16","16","33","29.10.12"
"631181","174","Харківська область","школа №59, коридор, 2-й поверх
пров.Чаплигінський, 12, м.Харків, 61004","1936","1050","1914","6","882","4","886","","0","882","4","886","35","851","83","103","14","139","19","468","7","5","13","29.10.12"
"631182","174","Харківська область","будинок культури ""Світло Шахтаря"", фойє
пров.Степовий, 42/44, м.Харків, 61004","2056","1087","2023","22","951","18","969","","0","951","18","969","43","926","110","94","10","131","37","516","9","8","11","29.10.12"
"631183","174","Харківська область","школа №54, коридор
вул.Академіка Богомольця, 4, м.Харків, 61157","2056","959","2013","12","1086","11","1097","","0","1085","11","1096","28","1068","120","88","15","135","52","610","3","10","35","30.10.12"
"631184","174","Харківська область","школа №153, хол, 2-й поверх
вул.Академіка Богомольця, 15А, м.Харків, 61157","2032","867","2017","7","1161","4","1165","","0","1161","4","1165","23","1142","150","120","25","132","62","619","10","10","14","29.10.12"
"631185","174","Харківська область","школа №153, хол, 1-й поверх
вул.Академіка Богомольця, 15А, м.Харків, 61157","2216","1073","2194","17","1134","9","1143","","0","1134","9","1143","34","1109","98","101","13","134","78","636","9","13","27","29.10.12"
"631186","174","Харківська область","школа №130, хол, 1-й поверх
вул.Світланівська, 23А, м.Харків, 61157","2000","1009","2004","9","982","9","991","","0","982","9","991","21","970","106","115","15","133","25","553","7","7","9","29.10.12"
"631187","174","Харківська область","школа №130, коридор, 1-й поверх
вул.Світланівська, 23А, м.Харків, 61157","1712","814","1695","8","890","8","898","","0","890","8","898","23","875","77","62","6","101","18","580","8","5","18","29.10.12"
"631188","174","Харківська область","теріторіальний центр, актова зала
вул.Власенка, 14, м.Харків, 61157","1432","651","1422","16","767","14","781","","0","767","14","781","23","758","63","90","7","37","67","472","6","9","7","29.10.12"
"631189","174","Харківська область","теріторіальний центр, кімната відпочинку
вул.Власенка, 14, м.Харків, 61157","1296","613","1286","6","677","6","683","","0","677","6","683","17","666","53","67","2","50","23","446","5","5","15","29.10.12"
"631190","174","Харківська область","машинобудівний ліцей, хол, 2-й поверх
вул.Селянська, 84, м.Харків, 61157","2352","1216","2329","9","1127","9","1136","","0","1127","9","1136","27","1109","103","119","20","141","60","614","9","22","21","29.10.12"
"631191","174","Харківська область","машинобудівний ліцей, хол, 1-й поверх
вул.Селянська, 84, м.Харків, 61157","1296","636","1286","9","655","5","660","","0","655","5","660","14","646","57","89","10","76","32","363","4","5","10","29.10.12"
"631192","174","Харківська область","школа №127, приміщення станції юних техників
вул.Володарського, 63А, м.Харків, 61039","2272","1310","2267","18","947","15","962","","0","947","15","962","33","929","100","78","11","164","24","529","7","5","11","29.10.12"
"631193","174","Харківська область","школа №127, актова зала
вул.Володарського, 63А, м.Харків, 61039","2352","1196","2360","17","1140","16","1156","","0","1140","16","1156","41","1115","126","129","25","170","28","567","15","16","39","28.10.12"
"631194","174","Харківська область","спорткомплекс ""Світло Шахтаря"", спортивна зала
вул.Велика Гончарівська, 39/41, м.Харків, 61052","1944","1013","1939","22","910","21","931","","0","910","21","931","24","907","62","79","8","109","28","598","5","8","10","29.10.12"
"631195","174","Харківська область","гуртожиток електромеханічного технікуму, їдальня
просп.Постишева, 4А, м.Харків, 61039","1376","611","1352","7","758","7","765","","0","758","7","765","23","742","73","60","17","87","9","486","2","3","5","29.10.12"
"631196","174","Харківська область","гімназія №65, коридор
вул.Менделєєва, 22, м.Харків, 61064","2344","1196","2329","34","1124","24","1148","","0","1124","24","1148","32","1116","90","99","13","129","20","732","12","7","14","29.10.12"
"631197","174","Харківська область","гімназія №65, коридор початкової школи
вул.Менделєєва, 22, м.Харків, 61064","2408","1061","2390","38","1312","35","1347","","0","1312","35","1347","20","1327","129","138","14","162","22","822","10","13","17","29.10.12"
"631198","174","Харківська область","школа №28, спортивна зала
вул.Минайленка, 61, м.Харків, 61064","2432","1190","2439","11","1235","7","1242","","0","1235","7","1242","29","1213","186","105","10","180","21","662","17","12","20","29.10.12"
"631199","174","Харківська область","монтажно-будівельний ліцей, їдальня
шосе Комсомольське, 56, м.Харків, 61034","2152","1004","2119","19","1130","18","1148","","0","1130","18","1148","40","1108","121","128","22","150","31","632","7","12","5","29.10.12"
"631200","174","Харківська область","монтажно-будівельний ліцей, актова зала
шосе Комсомольське, 56, м.Харків, 61034","1336","655","1327","13","669","12","681","","0","669","12","681","27","654","54","63","10","95","19","378","8","8","19","29.10.12"
"631201","174","Харківська область","технікум-інтернат, вестибюль
вул.Полтавський Шлях, 133, м.Харків, 61064","1680","809","1662","19","854","17","871","","0","854","17","871","20","851","121","86","16","139","21","437","4","15","12","29.10.12"
"631202","174","Харківська область","технікум-інтернат, актова зала
вул.Полтавський Шлях, 133, м.Харків, 61064","1456","604","1452","4","848","4","852","","0","848","4","852","27","825","125","117","9","127","33","388","10","4","12","28.10.12"
"631203","174","Харківська область","школа №162, велика спортивна зала
вул.Пермська, 13, м.Харків, 61064","1848","823","1835","4","1021","4","1025","","0","1021","4","1025","20","1005","99","131","11","139","30","559","9","8","19","29.10.12"
"631204","174","Харківська область","гуртожиток, к.102
вул.Клапцова, 2, м.Харків, 61064","1776","730","1759","8","1038","8","1046","","0","1038","8","1046","23","1023","119","107","15","151","21","575","9","16","10","29.10.12"
"631205","174","Харківська область","КП ""Жилкомсервіс"", фойє, 2-й поверх
вул.Пермська, 12/14, м.Харків, 61064","1856","693","1849","11","1153","10","1163","","0","1153","10","1163","42","1121","129","130","18","188","25","592","8","10","21","29.10.12"
"631206","174","Харківська область","школа №162, вестибюль, 1-й поверх
вул.Пермська, 13, м.Харків, 61064","1576","624","1568","8","944","8","952","","0","943","8","951","19","932","127","115","9","107","41","493","7","15","18","29.10.12"
"631207","174","Харківська область","КП ""Жилкомсервіс"", зала
вул.Наріманова, 10, м.Харків, 61064","1632","701","1621","10","921","10","931","","0","921","10","931","34","897","79","93","7","128","46","502","15","15","12","29.10.12"
"631208","174","Харківська область","бібліотека №23, читальна зала
вул.Наріманова, 6, м.Харків, 61034","1488","618","1469","15","859","11","870","","0","859","11","870","30","840","107","121","19","120","34","410","3","9","17","30.10.12"
"631209","174","Харківська область","ліцей швейного і хутрового виробництва, хол
просп.Постишева, 30, м.Харків, 61020","1120","448","1126","15","660","12","672","","0","660","12","672","24","648","47","69","15","77","17","387","8","6","22","29.10.12"
"631210","174","Харківська область","культурно-діловий центр ""Баварія"", фойє, 1-й поверх
просп.Ілліча, 77, м.Харків, 61020","2440","1135","2391","16","1290","15","1305","","0","1290","15","1305","32","1273","132","187","15","150","25","709","12","24","19","29.10.12"
"631211","174","Харківська область","культурно-діловий центр ""Баварія"", кіно-концертна зала
просп.Ілліча, 77, м.Харків, 61020","2384","1133","2328","35","1221","30","1251","","0","1221","30","1251","36","1215","119","118","11","149","22","756","7","16","17","29.10.12"
"631212","174","Харківська область","школа №93, актова зала
просп.Ілліча, 89А, м.Харків, 61020","1656","686","1649","32","940","30","970","","0","940","30","970","25","945","75","92","10","102","14","617","8","10","17","29.10.12"
"631213","174","Харківська область","школа №137, спортивна зала
вул.Конотопська, 48, м.Харків, 61020","1296","648","1282","10","639","9","648","","0","639","9","648","22","626","63","75","6","89","25","344","4","11","9","29.10.12"
"631214","174","Харківська область","школа №76, їдальня
вул.Герцена, 17, м.Харків, 61071","1264","569","1245","18","678","17","695","","0","678","17","695","23","672","73","65","11","92","16","388","6","12","9","29.10.12"
"631215","174","Харківська область","дитячо-юнацький клуб ""Мілон"", хол
вул.Кибальчича, 37, м.Харків, 61071","2224","957","2233","16","1254","13","1267","","0","1254","13","1267","38","1229","95","135","7","97","56","801","4","16","18","30.10.12"
"631216","174","Харківська область","школа №79, спортивна зала
шосе Карачівське, 9, м.Харків, 61071","2000","938","2006","32","1030","32","1062","","0","1030","32","1062","39","1023","87","115","8","110","49","622","11","8","13","29.10.12"
"631217","174","Харківська область","школа №115, спортивна зала
вул.Луначарського, 53, м.Харків, 61137","1784","846","1778","16","922","16","938","","0","922","16","938","41","897","94","89","11","142","18","526","3","8","6","29.10.12"
"631218","174","Харківська область","школа №92, вестибюль
вул.Новоприміська, 66, м.Харків, 61090","1992","1014","1974","13","966","12","978","","0","966","12","978","27","951","90","110","11","122","21","566","6","8","17","29.10.12"
"631219","174","Харківська область","гімназія №39, хол
вул.Тімірязєва, 45, м.Харків, 61137","2176","1095","2166","22","1065","16","1081","","0","1065","16","1081","41","1040","87","125","7","119","16","653","13","12","8","29.10.12"
"631220","174","Харківська область","школа-інтернат, актова зала
вул.Катаєва, 20, м.Харків, 61019","2120","1081","2116","33","1010","29","1039","","0","1010","29","1039","31","1008","99","88","19","102","19","650","10","7","14","29.10.12"
"631221","174","Харківська область","Інститут масел та жирів, вестибюль, 1-й поверх
просп.Дзюби, 2А, м.Харків, 61019","2264","1075","2241","20","1173","16","1189","","0","1173","16","1189","43","1146","100","104","21","138","18","736","9","8","12","29.10.12"
"631222","174","Харківська область","школа №81, спортивна зала
вул.Червона Алея, 49, м.Харків, 61019","992","435","993","25","536","21","557","","0","536","21","557","28","529","57","39","12","75","6","327","3","5","5","29.10.12"
"631223","174","Харківська область","міська лікарня №31, хол
просп.Постишева, 4, м.Харків, 61039","248","182","66","0","66","0","66","","0","66","0","66","0","66","4","2","0","3","3","53","1","0","0","28.10.12"
"631224","174","Харківська область","Інститут терапії імені Л.Т.Малої, каб.202
просп.Постишева, 2А, м.Харків, 61039","216","64","159","12","140","12","152","","0","140","12","152","6","146","8","30","5","20","8","66","2","1","6","29.10.12"
"631225","174","Харківська область","міська лікарня №3, стаціонар, 1-й поверх
просп.Ілліча, 90, м.Харків, 61020","168","73","96","2","93","2","95","","0","93","2","95","6","89","3","4","3","8","0","68","1","2","0","29.10.12"
"631226","174","Харківська область","госпіталь для інвалідів війни, актова зала
вул.Луначарського, 42А, м.Харків, 61137","256","68","197","13","175","13","188","","0","175","13","188","18","170","17","45","5","16","3","78","2","0","4","28.10.12"
"631227","174","Харківська область","туберкульозна лікарня №1, актова зала
просп.Ілліча, 2, м.Харків, 61071","304","124","191","22","161","19","180","","0","161","19","180","7","173","11","19","11","12","6","88","4","9","13","28.10.12"
"631228","174","Харківська область","Науково-практичний медичний центр, фойє
вул.Текстильна, 4, м.Харків, 61157","104","30","75","0","74","0","74","","0","74","0","74","3","71","10","5","2","3","6","43","0","0","2","29.10.12"
"631229","174","Харківська область","медичний центр акушерства, зала виписки
вул.Тімірязєва, 10, м.Харків, 61137","40","38","56","0","2","0","2","","0","2","0","2","0","2","1","0","0","0","0","1","0","0","0","28.10.12"
"631230","174","Харківська область","виправна колонія, спортивна зала
вул.Рубанівська, 4, м.Харків, 61064","1408","25","1383","28","1355","28","1383","","0","1355","28","1383","21","1362","7","15","5","12","2","1302","10","1","8","29.10.12"
"631376","174","Харківська область","гімназія №13, актова зала №1, 1-й поверх
вул.Карла Маркса, 36, м.Харків, 61052","2248","975","2229","22","1252","21","1273","","0","1252","21","1273","34","1239","145","199","17","173","24","630","14","19","18","29.10.12"
"631377","174","Харківська область","гімназія №13, актова зала №2, 1-й поверх
вул.Карла Маркса, 36, м.Харків, 61052","2304","1229","2286","26","1053","22","1075","","0","1053","22","1075","42","1033","112","119","22","183","27","517","27","9","17","29.10.12"
"631378","174","Харківська область","школа №136, спортивна зала, 1-й поверх
вул.Котлова, 39, м.Харків, 61052","2328","1169","2318","19","1145","14","1159","","0","1145","14","1159","42","1117","87","118","10","151","22","703","8","6","12","29.10.12"
