"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Бережна
Ірина
Григоріївна","Білогрищенко
Андрій
Іванович","Кірш
Олександр
Вікторович","Почапський
Максим
Дмитрович","Сидорченко
Віктор
Олександрович","Старих
Олег
Анатолійович","Стеценко
Ігор
Олександрович","Дата підписання протоколу"
"631231","169","Харківська область","Харківський Автотранспортний технікум ім.С.Орджонікідзе, актовий зал, 1-й поверх
майдан Конституції, 28, м.Харків, 61003","1904","888","1914","24","996","20","1016","","0","996","20","1016","61","955","305","28","420","10","145","21","26","29.10.12"
"631232","169","Харківська область","школа №5, коридор, 1-й поверх
вул.Іванова, 19/21, м.Харків, 61002","1912","855","1914","23","1036","21","1057","","0","1036","21","1057","35","1022","332","28","495","17","108","21","21","29.10.12"
"631233","169","Харківська область","ХНТУСГ, буфет, 1-й поверх
вул.Артема, 44, м.Харків, 61002","2072","905","2056","26","1151","16","1167","","0","1151","16","1167","53","1114","327","34","535","18","153","27","20","29.10.12"
"631234","169","Харківська область","ННЦ ""Інститут метрології"", 2-й поверх
вул.Мироносицька, 42, м.Харків, 61002","1952","892","1935","34","1036","24","1060","","0","1036","24","1060","39","1021","337","30","479","23","119","20","13","29.10.12"
"631235","169","Харківська область","Палац студентів ""ХПІ"", коридор, 1-й поверх
вул.Пушкінська, 79, м.Харків, 61024","1976","877","1955","32","1072","27","1099","","0","1070","27","1097","51","1046","390","32","422","16","147","20","19","29.10.12"
"631236","169","Харківська область","Харківський педагогічний ліцей №4, коридор, 1-й поверх
вул.Лермонтовська, 15/17, м.Харків, 61024","2256","891","2226","20","1347","18","1365","","0","1347","18","1365","86","1279","428","47","566","35","143","30","30","29.10.12"
"631237","169","Харківська область","Палац студентів НТУ ""ХПІ"", актовий зал, 1-й поверх
вул.Пушкінська, 79, м.Харків, 61024","2176","1180","2172","2","994","2","996","","0","994","2","996","181","815","368","50","161","48","97","49","42","29.10.12"
"631238","169","Харківська область","Навчальний корпус НЮАУ ім.Я.Мудрого, хол
вул.Пушкінська, 106, м.Харків, 61023","1752","483","1854","4","1265","4","1269","","0","1265","4","1269","161","1108","437","52","409","50","68","65","27","29.10.12"
"631239","169","Харківська область","гуртожиток №5 автомобільно-дорожнього університету, актовий зал, 1-й поверх
пров.Студентський, 10, м.Харків, 61024","2032","910","2019","3","1119","3","1122","","0","1119","3","1122","144","978","491","52","230","38","107","33","27","29.10.12"
"631240","169","Харківська область","Центр підготовки іноземних громадян НТУ ""ХПІ"", вестибюль, 1-й поверх
вул.Весніна, 5, м.Харків, 61023","2256","898","2292","26","1338","20","1358","","0","1338","20","1358","94","1264","509","38","504","23","107","31","52","29.10.12"
"631241","169","Харківська область","НТУ ""Харківський політехнічний інститут"", навчальний корпус №2, буфет, 1-й поверх
вул.Червонопрапорна, 16, м.Харків, 61002","1960","915","1952","23","1025","20","1045","","0","1025","20","1045","44","1001","283","32","507","19","119","25","16","29.10.12"
"631242","169","Харківська область","Харківська національна академія міського господарства, 1-й поверх
вул.Революції, 12, м.Харків, 61002","2032","913","2022","21","1102","17","1119","","0","1102","17","1119","54","1065","287","42","552","8","123","23","30","29.10.12"
"631243","169","Харківська область","Харківський технологічний ліцей №9, коридор, 1-й поверх
вул.Громадянська, 22/26, м.Харків, 61057","2088","1042","2055","29","1023","23","1046","","0","1023","23","1046","47","999","325","33","461","12","123","22","23","29.10.12"
"631244","169","Харківська область","Культурно-спортивний комплекс ""Комунар"", 1-й поверх
вул.Рудика, 2, м.Харків, 61070","2064","1102","2039","11","951","11","962","","0","951","11","962","49","913","384","34","236","9","206","20","24","29.10.12"
"631245","169","Харківська область","Культурно-спортивний комплекс ""Комунар"", 1-й поверх
вул.Рудика, 2, м.Харків, 61070","2112","1055","2098","16","1046","11","1057","","0","1045","11","1056","116","940","401","38","269","11","179","31","11","29.10.12"
"631246","169","Харківська область","школа №100, актовий зал, 1-й поверх
вул.Лісопарківська, 111, м.Харків, 61070","2024","991","2007","34","1004","29","1033","","0","1004","29","1033","81","952","386","30","303","17","174","14","28","29.10.12"
"631247","169","Харківська область","школа №52, актовий зал, 1-й поверх
вул.Старошишківська, 8, м.Харків, 61070","2392","1227","2366","23","1146","19","1165","","0","1146","19","1165","60","1105","505","48","304","7","182","27","32","29.10.12"
"631248","169","Харківська область","школа №52, спортивний зал, 1-й поверх
вул.Старошишківська, 8, м.Харків, 61070","2288","1281","2273","17","996","11","1007","","0","996","11","1007","69","938","406","31","308","8","141","15","29","29.10.12"
"631249","169","Харківська область","Дитячий садок №413, спальна кімната, 1-й поверх
вул.Саперна, 10, м.Харків, 61070","2440","1229","2409","13","1199","12","1211","","0","1199","12","1211","64","1147","475","55","347","17","187","22","44","29.10.12"
"631250","169","Харківська область","НАУ ім.М.Є.Жуковського ""ХАІ"", учбовий корпус літакобудівного факультету, хол
вул.Чкалова, 17, м.Харків, 61070","1544","668","1511","21","860","16","876","","0","860","16","876","46","830","383","36","219","12","132","23","25","29.10.12"
"631251","169","Харківська область","НАУ ім.М.Є.Жуковського ""ХАІ"", гуртожиток №2, актовий зал
вул.Чкалова, 11, м.Харків, 61070","2096","817","2079","22","1259","20","1279","","0","1259","20","1279","93","1186","611","39","253","41","147","44","51","29.10.12"
"631252","169","Харківська область","НАУ ім.М.Є.Жуковського ""ХАІ"", учбовий корпус радіотехнічного факультету, хол
вул.Чкалова, 17, м.Харків, 61070","1656","753","1648","6","900","3","903","","0","900","3","903","72","831","342","37","235","34","116","32","35","29.10.12"
"631253","169","Харківська область","НАУ ім.М.Є.Жуковського ""ХАІ"", гуртожиток №11, актовий зал
пров.Електроінструментальний, 6А, м.Харків, 61070","1848","671","1809","0","1177","0","1177","","0","1177","0","1177","116","1061","626","44","165","46","75","42","63","29.10.12"
"631254","169","Харківська область","школа №110, актовий зал, 1-й поверх
вул.Гастелло, 11/13, м.Харків, 61013","2432","1261","2403","33","1146","25","1171","","0","1146","25","1171","79","1092","451","42","401","19","138","23","18","29.10.12"
"631255","169","Харківська область","школа №110, хол, 2-й поверх
вул.Гастелло, 11/13, м.Харків, 61013","2168","1146","2158","44","995","27","1022","","0","995","27","1022","94","928","383","27","336","14","124","19","25","29.10.12"
"631256","169","Харківська область","гуртожиток житлово-комунального технікуму, 1-й поверх
вул.Шевченка, 233А, м.Харків, 61033","2416","1440","2406","40","952","24","976","","0","952","24","976","89","887","403","26","280","15","115","22","26","28.10.12"
"631257","169","Харківська область","школа №134, актовий зал, 1-й поверх
вул.Шевченка, 220, м.Харків, 61033","2472","1272","2454","52","1160","40","1200","","0","1160","40","1200","86","1114","536","32","398","12","107","8","21","29.10.12"
"631258","169","Харківська область","школа №134, коридор, 1-й поверх
вул.Шевченка, 220, м.Харків, 61033","2456","1432","2454","25","1006","18","1024","","0","1006","18","1024","93","931","457","32","259","15","116","22","30","29.10.12"
"631259","169","Харківська область","Комунальне підприємство ""Харківводоканал"", актовий зал, 2-й поверх
вул.Мойсеївська, 32, м.Харків, 61161","1736","991","1731","12","734","11","745","","0","734","11","745","64","681","277","15","268","11","79","12","19","29.10.12"
"631260","169","Харківська область","бібліотека-філія №4, читальний зал
вул.Мінераловодська, 11, м.Харків, 61161","1000","569","998","20","412","19","431","","0","412","19","431","23","408","183","15","139","8","45","6","12","29.10.12"
"631261","169","Харківська область","гуртожиток ХНУБА, танцювальний зал, 1-й поверх
вул.Тимурівців, 7А, м.Харків, 61054","1424","607","1416","54","767","50","817","","0","767","50","817","63","754","385","20","199","28","60","30","32","28.10.12"
"631262","169","Харківська область","гуртожиток автомобільно-дорожнього університету, актовий зал, 1-й поверх
вул.Тимурівців, 5А, м.Харків, 61054","1368","742","1377","0","626","0","626","","0","626","0","626","73","553","309","15","95","37","38","28","31","28.10.12"
"631263","169","Харківська область","школа №17, коридор 2-й поверх
вул.Академіка Павлова, 313В, м.Харків, 61168","2288","1133","2280","19","1139","16","1155","","0","1139","16","1155","59","1096","469","45","364","19","154","10","35","29.10.12"
"631264","169","Харківська область","ліцей №107, коридор 2-й поверх
вул.Барабашова, 38Б, м.Харків, 61168","1960","888","1940","14","1060","12","1072","","0","1060","12","1072","46","1026","416","49","325","21","156","17","42","29.10.12"
"631265","169","Харківська область","ліцей №107, коридор початкової школи, 1-й поверх
вул.Барабашова, 38Б, м.Харків, 61168","2056","872","2045","5","1180","4","1184","","0","1180","4","1184","92","1092","448","43","368","18","167","17","31","29.10.12"
"631266","169","Харківська область","ліцей №107, спортивний зал, 1-й поверх
вул.Барабашова, 38Б, м.Харків, 61168","1864","818","1859","8","1040","6","1046","","0","1040","6","1046","64","982","458","44","317","15","111","12","25","29.10.12"
"631267","169","Харківська область","гімназія №55, актовий зал, 2-й поверх
вул.Блюхера, 13Д, м.Харків, 61168","2032","912","2018","11","1111","9","1120","","0","1111","9","1120","75","1045","408","48","369","17","156","14","33","29.10.12"
"631268","169","Харківська область","гімназія №55, коридор, 1-й поверх
вул.Блюхера, 13Д, м.Харків, 61168","1936","934","1932","21","984","18","1002","","0","984","18","1002","68","934","351","40","354","10","123","15","41","29.10.12"
"631269","169","Харківська область","гімназія №55, спортивний зал, 1-й поверх
вул.Блюхера, 13Д, м.Харків, 61168","2152","994","2141","20","1145","13","1158","","0","1145","13","1158","83","1075","443","55","367","18","152","18","22","29.10.12"
"631270","169","Харківська область","школа №17, коридор 1-й поверх
вул.Академіка Павлова, 313В, м.Харків, 61168","2056","963","2025","23","1082","11","1093","","0","1082","11","1093","73","1020","358","50","379","8","182","13","30","29.10.12"
"631271","169","Харківська область","школа №17, спортивний зал, 1-й поверх
вул.Академіка Павлова, 313В, м.Харків, 61168","2160","1037","2147","10","1113","10","1123","","0","1113","10","1123","68","1055","434","43","346","23","154","24","31","28.10.12"
"631272","169","Харківська область","будинок культури, спортивний зал
вул.Паризької Комуни, 23, м.Харків, 61107","1968","1170","1959","24","779","19","798","","0","779","19","798","42","756","330","28","242","10","109","17","20","29.10.12"
"631273","169","Харківська область","школа №96, спортивний зал, 1-й поверх
вул.Паризької Комуни, 24, м.Харків, 61107","2024","1165","2012","20","844","15","859","","0","844","15","859","65","794","393","19","264","12","67","11","28","29.10.12"
"631274","169","Харківська область","школа №96, ігрове приміщення, 1-й поверх
вул.Паризької Комуни, 24, м.Харків, 61107","2159","1234","2114","42","887","38","925","","0","887","38","925","57","868","423","19","288","10","92","8","28","29.10.12"
"631275","169","Харківська область","школа №16, коридор 1-й поверх
вул.Поздовжня, 5, м.Харків, 61085","2184","1043","2164","37","1118","23","1141","","0","1118","23","1141","53","1088","433","37","327","23","236","18","14","29.10.12"
"631276","169","Харківська область","школа №16, спортивний зал, 1-й поверх
вул.Поздовжня, 5, м.Харків, 61085","2304","1058","2277","31","1219","27","1246","","0","1219","27","1246","65","1181","404","39","448","20","235","17","18","29.10.12"
"631277","169","Харківська область","школа №16, коридор, 2-й поверх
вул.Поздовжня, 5, м.Харків, 61085","2336","1085","2303","12","1239","12","1251","","0","1239","12","1251","81","1170","442","43","458","17","158","20","32","29.10.12"
"631278","169","Харківська область","школа №37, коридор, 1-й поверх
вул.Академіка Проскури, 3А, м.Харків, 61085","2336","991","2313","36","1314","31","1345","","0","1314","31","1345","52","1293","526","42","407","17","255","20","26","29.10.12"
"631279","169","Харківська область","ДП ""Державний науковий центр лікарських засобів і медичної продукції"", коридор
вул.Астрономічна, 33, м.Харків, 61085","2376","1035","2358","23","1321","20","1341","","0","1321","20","1341","95","1246","499","59","410","26","208","25","19","29.10.12"
"631280","169","Харківська область","Харківська санаторна школа-інтернат №13, хол, 1-й поверх
вул.Академіка Проскури, 7, м.Харків, 61085","2256","1066","2242","43","1157","33","1190","","0","1157","33","1190","89","1101","380","42","428","17","191","18","25","29.10.12"
"631281","169","Харківська область","Спорткомплекс ННЦ ""Харківський фізико-технічний інститут"", спортивний зал, 1-й поверх
просп.Академіка Курчатова, 1, м.Харків, 61108","1608","669","1588","11","929","10","939","","0","927","10","937","28","909","322","31","416","8","100","13","19","29.10.12"
"631282","169","Харківська область","Спорткомплекс ННЦ ""Харківський фізико-технічний інститут"", актовий зал, 2-й поверх
просп.Академіка Курчатова, 1, м.Харків, 61108","1864","793","1841","26","1055","16","1071","","0","1054","16","1070","62","1008","366","32","436","9","132","16","17","30.10.12"
"631283","169","Харківська область","школа №62, коридор, 2-й поверх
просп.Академіка Курчатова, 23, м.Харків, 61108","1840","840","1813","16","991","9","1000","","0","991","9","1000","63","937","391","30","320","20","132","28","16","29.10.12"
