"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Азарова
Наталія
Миколаївна","Бондаренко
Олександр
Володимирович","Вітер
Геннадій
Романович","Горіна
Ірина
Анатоліївна","Заліван
Олександр
Володимирович","Ковальковський
Володимир
Васильович","Малюга
Валерій
Олегович","Мамаєв
Олександр
Федорович","Розсоха
Володимир
Васильович","Тупікін
Ігор
Юрійович","Шаповал
Валентина
Дмитрівна","Шелехов
Віталій
Вікторович","Дата підписання протоколу"
"631596","171","Харківська область","школа №72, спортивна зала
просп.Московський, 246, м.Харків, 61046","2346","1139","2331","39","1174","33","1207","","0","1174","33","1207","136","1071","45","9","22","486","16","15","287","9","24","11","8","139","29.10.12"
"631597","171","Харківська область","школа №72, актова зала
просп.Московський, 246, м.Харків, 61046","2298","1054","2285","32","1219","25","1244","","0","1219","25","1244","76","1168","48","7","32","520","25","12","303","6","7","22","8","178","29.10.12"
"631598","171","Харківська область","школа №32, рекреація, 1-й поверх, праве крило
вул.Рибалка, 41, м.Харків, 61099","2358","1162","2353","23","1176","20","1196","","0","1176","20","1196","78","1118","44","7","28","570","7","18","216","0","22","20","14","172","29.10.12"
"631599","171","Харківська область","школа №32, рекреація, 1-й поверх, ліве крило
вул.Рибалка, 41, м.Харків, 61099","2328","1179","2317","22","1129","20","1149","","0","1129","20","1149","88","1061","35","6","41","469","24","17","254","7","19","17","13","159","29.10.12"
"631600","171","Харківська область","гімназія №24, рекреація, 1-й поверх
вул.Ощєпкова, 9, м.Харків, 61082","2160","1072","2147","18","1074","14","1088","","0","1074","14","1088","84","1004","42","6","31","474","14","10","235","11","10","17","11","143","29.10.12"
"631601","171","Харківська область","гімназія №24, рекреація, 2-й поверх
вул.Ощєпкова, 9, м.Харків, 61082","2322","1286","2301","28","1015","21","1036","","0","1013","21","1034","62","972","35","6","37","432","19","14","225","3","12","30","16","143","29.10.12"
"631602","171","Харківська область","школа №49, спортивна зала
вул.Харківських Дивізій, 7/3, м.Харків, 61082","2202","1163","2179","31","1012","27","1039","","0","1012","27","1039","61","978","28","7","33","442","17","14","253","4","17","15","14","134","29.10.12"
"631603","171","Харківська область","школа №49, актова зала
вул.Харківських Дивізій, 7/3, м.Харків, 61082","2172","1174","2153","24","977","21","998","","0","976","21","997","77","920","35","7","22","440","16","3","189","4","19","17","9","159","29.10.12"
"631604","171","Харківська область","школа №2, актова зала
вул.Харківських Дивізій, 8, м.Харків, 61082","2094","1030","2080","25","1043","21","1064","","0","1043","21","1064","55","1009","37","6","59","464","16","6","239","3","16","43","4","116","29.10.12"
"631605","171","Харківська область","школа №38, спортивна зала
вул.Харківських Дивізій, 15/1, м.Харків, 61091","2292","1228","2262","32","1035","29","1064","","0","1033","29","1062","61","1001","43","10","38","432","21","14","234","5","12","16","16","160","30.10.12"
"631606","171","Харківська область","школа №38, рекреація, 1-й поверх
вул.Харківських Дивізій, 15/1, м.Харків, 61091","2082","1132","2059","18","935","15","950","","0","935","15","950","74","876","48","8","25","408","11","9","205","3","21","25","10","103","29.10.12"
"631607","171","Харківська область","школа №11, актова зала
вул.Межлаука, 7/1, м.Харків, Фрунзенський р-н, Харківська обл., 61082","2232","1167","2190","17","1049","16","1065","","0","1049","16","1065","64","1001","34","6","75","407","19","11","231","3","15","27","17","156","29.10.12"
"631608","171","Харківська область","школа №11, актова зала
вул.Межлаука, 7/1, м.Харків, 61082","2400","1271","2360","21","1113","16","1129","","0","1113","16","1129","60","1069","27","12","57","461","17","16","279","10","8","32","12","138","29.10.12"
"631609","171","Харківська область","музична школа №12, музичний зал
Стадіонний проїзд, 14/3, м.Харків, 61091","1488","708","1484","9","772","8","780","","0","772","8","780","69","711","21","4","25","313","12","6","161","5","13","19","2","130","29.10.12"
"631610","171","Харківська область","медичний коледж №2, актова зала
Стадіонний проїзд, 10, м.Харків, 61091","1956","1050","1930","11","897","9","906","","0","896","9","905","51","854","24","2","26","431","5","15","172","3","20","26","7","123","28.10.12"
"631611","171","Харківська область","школа №61, рекреація, 1-й поверх, ліва сторона
вул.Танкопія, 19/4, м.Харків, 61091","2124","1086","2092","17","1024","14","1038","","0","1024","14","1038","53","985","25","13","26","486","11","10","232","7","27","12","5","131","29.10.12"
"631612","171","Харківська область","школа №61, рекрація, 1-й поверх, права сторона
вул.Танкопія, 19/4, м.Харків, 61091","2166","1199","2146","19","948","19","967","","0","948","19","967","47","920","46","3","22","464","13","1","221","8","20","10","13","99","29.10.12"
"631613","171","Харківська область","медичний коледж №2, 2-й корпус, актова зала
Стадіонний проїзд, 14/1, м.Харків, 61091","1914","1048","1900","12","858","8","866","","0","858","8","866","41","825","40","7","19","382","13","9","209","3","11","21","7","104","30.10.12"
"631614","171","Харківська область","КП ""Харківський Палац Спорту"", службове приміщення, адміністративне приміщення
просп.Маршала Жукова, 2, м.Харків, 61060","1746","799","1727","17","930","17","947","","0","930","17","947","68","879","28","5","24","426","11","4","226","2","7","19","8","119","29.10.12"
"631615","171","Харківська область","школа №160, рекреація, 1-й поверх
вул.Танкопія, 1, м.Харків, 61060","2328","1107","2316","19","1204","17","1221","","0","1204","17","1221","68","1153","23","8","16","559","15","11","311","6","19","19","5","161","29.10.12"
"631616","171","Харківська область","школа №160, рекреація, 2-й поверх
вул.Танкопія, 1, м.Харків, 61060","2388","1100","2368","18","1277","11","1288","","0","1277","11","1288","62","1226","40","9","26","593","12","12","327","5","8","17","10","167","29.10.12"
"631617","171","Харківська область","міжшкільний навчально-виробничий комбінат №5, хол, 2-й поверх
просп.П’ятдесятиріччя СРСР, 48, м.Харків, 61060","1980","1018","1956","29","946","16","962","","0","946","16","962","73","889","34","5","13","475","11","9","183","3","11","20","5","120","29.10.12"
"631618","171","Харківська область","клуб ТЕЦ–3, актова зала
вул.Енергетична, 5, м.Харків, 61036","732","404","739","11","323","5","328","","0","323","5","328","20","308","9","3","4","148","4","6","59","0","4","4","5","62","29.10.12"
"631619","171","Харківська область","ТОВ СК "" Кондиціонер "", хол, 1-й поверх
вул.Немишлянська, 56А, м.Харків, 61044","1020","513","1010","18","489","18","507","","0","489","18","507","34","473","18","3","9","210","5","5","134","3","2","5","7","72","29.10.12"
"631620","171","Харківська область","навчально-виховний комплекс №21, актовий зал
вул.Тракторна, 3/12, м.Харків, 61044","1518","755","1504","31","733","30","763","","0","733","30","763","41","722","30","12","20","329","7","12","211","5","5","11","7","73","29.10.12"
"631621","171","Харківська область","навчально-виховний комплекс №21, спортивна зала
вул.Тракторна 3/12, м.Харків, 61044","1452","723","1436","26","704","25","729","","0","704","25","729","26","703","24","4","10","340","10","10","189","4","9","10","7","86","29.10.12"
"631622","171","Харківська область","КП ""Центр соціального розвитку Немишлі"", хол, 1-й поверх
вул.Тракторна, 12А, м.Харків, 61044","2304","1397","2329","33","880","27","907","","0","879","27","906","87","819","26","7","17","400","11","9","179","3","12","9","7","139","29.10.12"
"631623","171","Харківська область","навчально-виховний комплекс №74, хол, 1-й поверх
вул.Туркестанська, 1, м.Харків, 61110","2358","1307","2283","51","1014","37","1051","","0","1014","37","1051","86","965","43","4","8","457","20","18","225","3","13","11","10","153","29.10.12"
"631624","171","Харківська область","Гуртожиток №14 Національного технічного університету ""ХПІ"", хол, 1-й поверх
вул.Балканська, 19, м.Харків, 61110","2394","1172","2415","25","1200","22","1222","","0","1200","22","1222","77","1145","51","17","21","595","10","23","249","7","12","30","12","118","29.10.12"
"631625","171","Харківська область","навчально-виховний комплекс №74, спортивна зала
вул.Туркестанська, 1, м.Харків, 61110","2112","1117","2088","24","975","20","995","","0","975","20","995","72","923","41","9","9","433","6","7","225","8","21","9","10","145","29.10.12"
"631626","171","Харківська область","навчально-виховний комплекс №74, актова зала
вул.Туркестанська, 1, м.Харків, 61110","1920","1023","1909","23","880","17","897","","0","879","17","896","65","831","33","12","22","378","8","18","219","6","9","10","13","103","29.10.12"
"631627","171","Харківська область","школа №101, рекреація, 1-й поверх
вул.Краснодарська, 147/2, м.Харків, 61029","1584","828","1586","11","746","10","756","","0","746","10","756","47","709","31","7","7","336","3","9","198","4","7","5","11","91","29.10.12"
"631628","171","Харківська область","школа №101, рекреація, 2-й поверх
вул.Краснодарська, 147/2, м.Харків, 61029","2244","1382","2230","29","833","29","862","","0","833","29","862","72","790","40","6","19","414","13","11","158","2","6","14","1","106","29.10.12"
"631629","171","Харківська область","дільниця №56 КП ""Жилкомсервіс"", актова зала
Салтівське шосе, 242Г, м.Харків, 61171","2196","1082","2182","13","1104","10","1114","","0","1104","10","1114","76","1038","48","4","19","485","18","10","229","3","16","13","6","187","29.10.12"
"631630","171","Харківська область","гімназія №14, спортивна зала
вул.Корчагінців, 20, м.Харків, 61171","2178","997","2142","11","1170","11","1181","","0","1170","11","1181","112","1069","54","15","23","489","19","12","234","6","17","25","6","169","29.10.12"
"631631","171","Харківська область","гімназія №14, рекреація, 2-й поверх
вул.Корчагінців, 20, м.Харків, 61171","2274","1277","2258","15","983","14","997","","0","983","14","997","62","935","50","5","20","389","13","5","220","8","24","20","10","171","29.10.12"
"631632","171","Харківська область","гімназія №14, рекреація, 1-й поверх
вул.Корчагінців, 20, м.Харків, 61171","2136","1167","2127","32","942","27","969","","0","942","27","969","82","887","29","12","25","361","16","8","230","8","7","14","5","172","29.10.12"
"631633","171","Харківська область","школа №73, рекреація, 2-й поверх
вул.Корчагінців 24, м.Харків, 61176","1428","771","1417","9","650","7","657","","0","650","7","657","31","626","27","5","20","247","12","12","157","0","15","13","5","113","29.10.12"
"631634","171","Харківська область","школа №73, вестибюль, 1-й поверх
вул.Корчагінців 24, м.Харків, 61176","2088","1115","2060","10","964","9","973","","0","964","9","973","61","912","34","10","24","391","9","12","234","5","20","14","10","149","29.10.12"
"631635","171","Харківська область","школа №73, спортивна зала
вул.Корчагінців 24, м.Харків, 61176","2160","1109","2118","20","1034","17","1051","","0","1034","17","1051","71","980","38","12","17","369","12","16","269","7","14","31","14","181","29.10.12"
"631636","171","Харківська область","школа №145, хол, 1-й поверх
вул.Корчагінців, 24А, м.Харків, 61176","2232","1244","2216","18","974","14","988","","0","974","14","988","63","925","39","4","13","393","12","9","229","3","13","42","9","159","29.10.12"
"631637","171","Харківська область","школа №145, спортивна зала
вул.Корчагінців, 24А, м.Харків, 61176","2082","1123","2062","20","940","19","959","","0","940","19","959","71","888","43","8","16","361","15","11","224","8","12","15","13","162","29.10.12"
"631638","171","Харківська область","школа №145, хол, 1-й поверх молодшої школи
вул.Корчагінців, 24А, м.Харків, 61176","2304","1289","2288","15","1005","10","1015","","0","1005","10","1015","67","948","37","5","17","370","10","9","277","10","20","26","14","153","29.10.12"
"631639","171","Харківська область","Медична академія післядипломної освіти, хол, 1-й поверх
вул.Корчагінців, 58, м.Харків, 61178","2292","1139","2285","5","1150","3","1153","","0","1150","3","1153","58","1095","37","14","23","504","13","14","269","5","13","6","13","184","29.10.12"
"631640","171","Харківська область","ліцей №161""Імпульс"", спортивна зала
вул.Велозаводська, 35, м.Харків, 61176","1740","882","1728","12","850","8","858","","0","850","8","858","51","807","32","6","15","329","22","10","203","5","11","28","6","140","29.10.12"
"631641","171","Харківська область","ліцей №161""Імпульс"", вестибюль, 1-й поверх
вул.Велозаводська, 35, м.Харків, 61176","2052","1016","2032","25","1017","19","1036","","0","1017","19","1036","55","981","33","7","11","428","11","10","243","2","10","48","6","172","29.10.12"
"631642","171","Харківська область","ліцей №161""Імпульс"", коридор, 1-й поверх
вул.Велозаводська, 35, м.Харків, 61176","1656","1025","1647","30","604","27","631","","0","604","27","631","38","593","18","9","15","224","12","14","150","7","8","13","15","108","29.10.12"
"631643","171","Харківська область","дільниця №6 КП ""Харківблагоустрій"", актова зала
вул.Краснодарська, 181Б, м.Харків, 61176","2220","1063","2201","18","1147","10","1157","","0","1147","10","1157","78","1079","38","8","27","481","13","12","256","4","14","26","11","189","28.10.12"
"631644","171","Харківська область","багатофункціональна лікарня №18
вул.Краснодарська, 104, м.Харків, 61029","204","0","243","32","174","30","204","","0","174","30","204","20","184","14","9","6","91","0","3","30","1","4","1","0","25","29.10.12"
"631645","171","Харківська область","Пологовий будинок
Салтівське шосе, 264, м.Харків, 61176","204","138","72","0","66","0","66","","0","66","0","66","6","60","5","1","2","37","0","0","6","0","1","1","1","6","28.10.12"
"631646","171","Харківська область","лікарня №8
Салтівське шосе, 266Г, м.Харків, 61176","336","109","228","0","227","0","227","","0","227","0","227","11","216","7","2","2","161","2","5","13","3","1","3","4","13","29.10.12"
"631647","171","Харківська область","клінічна лікарня №7
Салтівське шосе, 266, м.Харків, 61176","228","57","177","17","156","15","171","","0","156","15","171","22","149","15","3","3","72","5","2","23","0","3","2","5","16","29.10.12"
"631648","171","Харківська область","Обласна травматологічна лікарня
Салтівське шосе, 266, корп.В, м.Харків, 61176","246","171","75","22","53","22","75","","0","53","22","75","1","74","9","2","2","30","4","1","13","0","1","0","9","3","28.10.12"
