"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Бабенко
Руслан
Володимирович","Бондаренко
Анатолій
Васильович","Гвоздь
Віктор
Михайлович","Гречаний
Борис
Павлович","Доманський
Ігор
Ростиславович","Єлізаров
Павло
Олександрович","Нечипоренко
Анатолій
Олексійович","Ничипоренко
Валентин
Миколайович","Рибченко
Олександр
Володимирович","Ружин
Зоя
Володимирівна","Терещук
Сергій
Миколайович","Фурман
Василь
Миколайович","Якібчук
Мирослав
Ілліч","Дата підписання протоколу"
"710084","199","Черкаська область","районний будинок культури, фойє
вул.Леніна, 49, м.Жашків, Жашківський р-н, Черкаська обл., 19200","2388","894","2368","11","1483","11","1494","","0","1483","11","1494","33","1461","19","395","17","22","6","60","24","459","13","4","145","234","63","29.10.12"
"710085","199","Черкаська область","школа №3, фойє, 1-й поверх
вул.Леніна, 102, м.Жашків, Жашківський р-н, Черкаська обл., 19200","2154","971","2147","9","1174","9","1183","","0","1174","9","1183","27","1156","22","296","15","12","5","45","33","327","18","4","138","184","57","29.10.12"
"710086","199","Черкаська область","КП ""Райагробуд"", актовий зал, 1-й поверх
вул.Перемоги, 4, м.Жашків, Жашківський р-н, Черкаська обл., 19200","2388","932","2377","35","1433","23","1456","","0","1433","23","1456","23","1433","18","441","13","32","2","79","16","379","15","1","165","218","54","29.10.12"
"710087","199","Черкаська область","школа №5, спортзал
вул.Пархоменка, 41, м.Жашків, Жашківський р-н, Черкаська обл., 19200","2460","970","2445","7","1483","7","1490","","0","1483","7","1490","25","1465","15","499","19","28","1","52","16","373","17","1","166","198","80","29.10.12"
"710088","199","Черкаська область","міський будинок культури, фойє
вул.Заводська, 4, м.Жашків, Жашківський р-н, Черкаська обл., 19200","1182","419","1173","34","730","33","763","","0","730","33","763","19","744","4","201","8","10","0","66","19","201","6","4","73","94","58","29.10.12"
"710089","199","Черкаська область","школа №4, спортзал
вул.Червоноармійська, 58, м.Жашків, Жашківський р-н, Черкаська обл., 19200","1710","802","1694","9","901","7","908","","0","901","7","908","18","890","5","330","12","15","2","29","29","217","9","4","101","95","42","29.10.12"
"710090","199","Черкаська область","будинок культури, фойє
вул.Леніна, 6, с.Баштечки, Жашківський р-н, Черкаська обл., 19222","654","192","643","56","411","51","462","","0","411","51","462","8","454","3","94","4","37","1","17","10","186","4","1","22","64","11","28.10.12"
"710091","199","Черкаська область","сільська рада, актова зала
вул.Центральна, 37А, с.Безпечна, Жашківський р-н, Черкаська обл., 19251","318","80","305","21","220","18","238","","0","220","18","238","4","234","2","65","2","1","0","5","8","61","0","1","76","8","5","28.10.12"
"710092","199","Черкаська область","будинок культури, фойє
вул.Леніна, 111, с.Бузівка, Жашківський р-н, Черкаська обл., 19243","1524","523","1507","56","953","48","1001","","0","953","48","1001","25","976","20","376","4","7","13","33","8","288","9","2","59","115","42","29.10.12"
"710093","199","Черкаська область","сільська рада, фойє
вул.Лесі Українки, 1, с.Вільшанка, Жашківський р-н, Черкаська обл., 19203","246","59","241","21","166","21","187","","0","166","21","187","4","183","0","14","0","0","1","8","0","98","0","1","48","10","3","28.10.12"
"710094","199","Черкаська область","будинок культури, фойє
вул.Леніна, 68, с.Вороне, Жашківський р-н, Черкаська обл., 19234","816","290","821","111","435","91","526","","0","435","91","526","12","514","6","121","22","14","5","31","19","129","9","3","74","66","15","29.10.12"
"710095","199","Черкаська область","сільська рада, актова зала
вул.Курчатова, 12, с.Житники, Жашківський р-н, Черкаська обл., 19240","600","163","599","46","391","46","437","","0","391","46","437","6","431","5","77","16","3","9","25","15","161","7","2","64","36","11","28.10.12"
"710096","199","Черкаська область","сільська рада, бібліотека
пров.Центральний, 1А, с.Зелений Ріг, Жашківський р-н, Черкаська обл., 19235","414","96","408","53","269","49","318","","0","269","49","318","3","315","5","96","1","4","1","14","11","95","5","1","24","42","16","28.10.12"
"710097","199","Черкаська область","будинок культури, фойє
вул.Т.Г.Шевченка, 22, с.Конела, Жашківський р-н, Черкаська обл., 19251","474","101","472","53","325","48","373","","0","325","48","373","5","368","6","86","9","7","4","19","9","119","0","2","39","38","30","29.10.12"
"710098","199","Черкаська область","будинок культури, фойє
вул.Центральна, 8, с.Конельська Попівка, Жашківський р-н, Черкаська обл., 19254","570","111","564","64","396","63","459","","0","396","63","459","7","452","3","154","12","10","0","6","14","145","4","0","45","42","17","28.10.12"
"710099","199","Черкаська область","будинок культури, фойє
вул.Шкільна, 3, с.Конельські Хутори, Жашківський р-н, Черкаська обл., 19252","426","92","421","30","310","24","334","","0","310","24","334","9","325","3","24","6","2","1","6","11","202","0","1","53","8","8","28.10.12"
"710100","199","Черкаська область","сільський клуб, фойє
вул.Садова, 21, с.Медувата, Жашківський р-н, Черкаська обл., 19252","120","39","115","6","76","5","81","","0","76","5","81","3","78","0","8","2","1","0","0","2","56","1","0","0","4","4","29.10.12"
"710101","199","Черкаська область","сільський клуб, актова зала
вул.В.Парубка, 59, с.Королівка, Жашківський р-н, Черкаська обл., 19201","150","26","148","17","107","17","124","","0","107","17","124","2","122","1","8","0","10","0","1","0","67","0","0","6","6","23","03.11.12"
"710102","199","Черкаська область","школа, актовий зал
вул.Олександра Левади, 4, с.Кривчунка, Жашківський р-н, Черкаська обл., 19215","486","163","481","44","293","30","323","","0","293","30","323","7","316","6","41","3","10","0","8","12","89","2","1","87","41","16","28.10.12"
"710103","199","Черкаська область","будинок культури, актова зала
вул.Слави, 19, с.Леміщиха, Жашківський р-н, Черкаська обл., 19213","678","189","670","41","451","38","489","","1","450","38","488","3","485","2","96","7","15","0","21","13","208","4","2","48","59","10","29.10.12"
"710104","199","Черкаська область","будинок культури, актова зала
вул.Ломоносова, 4, с.Литвинівка, Жашківський р-н, Черкаська обл., 19209","594","175","588","44","376","43","419","","0","376","43","419","4","415","1","117","4","6","1","14","9","128","1","5","56","44","29","28.10.12"
"710105","199","Черкаська область","сільський клуб, фойє
вул.Леніна, 36, с.Марійка, Жашківський р-н, Черкаська обл., 19232","174","21","172","14","139","14","153","","0","139","14","153","4","149","1","30","0","0","2","14","6","55","0","0","16","21","4","28.10.12"
"710106","199","Черкаська область","будинок культури, фойє
вул.Молодіжна, 10, с.Нагірна, Жашківський р-н, Черкаська обл., 19223","858","281","849","62","523","54","577","","0","523","54","577","15","562","6","115","6","21","2","21","11","209","1","2","47","93","28","28.10.12"
"710107","199","Черкаська область","будинок культури, фойє
вул.Незалежності, 2, с.Нова Гребля, Жашківський р-н, Черкаська обл., 19226","492","120","482","43","331","41","372","","0","331","41","372","8","364","4","57","8","15","1","27","11","117","7","1","67","28","21","28.10.12"
"710108","199","Черкаська область","будинок культури, актова зала
вул.Леніна, 3, с.Олександрівка, Жашківський р-н, Черкаська обл., 19212","582","185","578","28","373","24","397","","0","373","24","397","13","384","2","55","3","5","1","13","10","102","3","2","124","46","18","28.10.12"
"710109","199","Черкаська область","школа, фойє
вул.Шкільна, 1, с.Острожани, Жашківський р-н, Черкаська обл., 19250","690","228","683","54","409","53","462","","0","409","53","462","10","452","3","161","8","17","1","27","12","122","5","0","48","29","19","29.10.12"
"710110","199","Черкаська область","школа, фойє
вул.Миру, 2, с.Охматів, Жашківський р-н, Черкаська обл., 19233","588","135","581","90","371","82","453","","0","371","82","453","6","447","6","153","6","6","5","6","8","140","1","2","39","52","23","29.10.12"
"710111","199","Черкаська область","будинок культури, актова зала
вул.Різдвяна, 16, с.Павлівка, Жашківський р-н, Черкаська обл., 19221","570","132","558","97","353","85","438","","0","353","85","438","10","428","7","132","16","12","5","29","5","93","0","1","57","39","32","28.10.12"
"710112","199","Черкаська область","будинок культури, фойє
вул.Леніна, 72, с.Пугачівка, Жашківський р-н, Черкаська обл., 19241","804","291","798","49","469","44","513","","0","469","44","513","10","503","0","74","1","4","2","15","17","191","4","2","57","71","65","29.10.12"
"710113","199","Черкаська область","сільська рада, фойє
вул.Перемоги, 4, с.Сабадаш, Жашківський р-н, Черкаська обл., 19231","402","85","396","53","264","53","317","","0","264","53","317","5","312","8","92","1","8","5","18","5","99","2","1","26","23","24","29.10.12"
"710114","199","Черкаська область","школа, фойє
вул.Леніна, 72, с.Скибин, Жашківський р-н, Черкаська обл., 19210","1584","590","1569","62","932","62","994","","0","932","62","994","27","967","9","278","1","8","2","23","27","391","6","2","73","87","60","29.10.12"
"710115","199","Черкаська область","будинок культури, фойє
вул.Вишнева, 14, с.Соколівка, Жашківський р-н, Черкаська обл., 19253","966","316","951","38","612","38","650","","0","612","38","650","12","638","10","168","7","8","2","32","26","205","6","1","84","68","21","29.10.12"
"710116","199","Черкаська область","будинок культури, фойє
вул.Леніна, 1, с.Сорокотяга, Жашківський р-н, Черкаська обл., 19230","744","254","729","87","410","80","490","","0","410","80","490","13","477","10","96","3","24","0","17","16","172","1","5","66","49","18","29.10.12"
"710117","199","Черкаська область","сільська рада, актова зала
вул.Колгоспна, 1, с.Тетерівка, Жашківський р-н, Черкаська обл., 19214","972","310","957","105","560","102","662","","0","560","102","662","10","652","4","261","12","10","1","17","17","133","4","1","74","58","60","29.10.12"
"710118","199","Черкаська область","школа, фойє
вул.Шевченка, 36, с.Тинівка, Жашківський р-н, Черкаська обл., 19220","960","372","949","83","512","76","588","","0","512","76","588","17","571","8","147","17","10","6","22","18","158","2","4","94","64","21","29.10.12"
"710119","199","Черкаська область","сільська рада, актова зала
вул.Набережна, 2, с.Тихий Хутір, Жашківський р-н, Черкаська обл., 19211","438","97","439","53","290","51","341","","0","290","51","341","11","330","3","78","5","7","1","20","4","98","3","0","72","30","9","29.10.12"
"710120","199","Черкаська область","будинок культури, фойє
вул.Леніна, 35, с.Хижня, Жашківський р-н, Черкаська обл., 19236","618","229","607","41","348","41","389","","0","348","41","389","25","364","1","59","6","21","0","26","6","96","2","2","80","61","4","28.10.12"
"710121","199","Черкаська область","будинок культури, фойє
вул.Шевченка, 36, с.Червоний Кут, Жашківський р-н, Черкаська обл., 19225","1032","412","1031","64","561","59","620","","0","561","59","620","11","609","11","162","8","21","3","58","17","91","4","0","84","49","101","29.10.12"
"710122","199","Черкаська область","школа, фойє
вул.Молодіжна, 10А, с.Шуляки, Жашківський р-н, Черкаська обл., 19242","390","121","389","30","240","29","269","","0","240","29","269","7","262","3","54","3","3","0","8","12","86","0","1","57","23","12","29.10.12"
"710123","199","Черкаська область","Жашківська центральна районна лікарня, стаціонарне відділення, кабінет фізіотерапії, 1-й поверх
вул.Щорса, 19, м.Жашків, Жашківський р-н, Черкаська обл., 19200","198","148","74","19","35","15","50","","0","35","15","50","3","47","0","8","1","4","0","6","3","13","0","1","3","7","1","29.10.12"
"710124","199","Черкаська область","школа №5, спортивна зала
вул.Енгельса, 51, м.Звенигородка, Звенигородський р-н, Черкаська обл., 20200","2040","970","2026","10","1060","10","1070","","0","1060","10","1070","25","1045","22","306","24","18","2","20","15","186","11","1","164","197","79","29.10.12"
"710125","199","Черкаська область","адміністративний будинок ДЕД, кімната техніки безпеки
вул.Гулькіна, 42, м.Звенигородка, Звенигородський р-н, Черкаська обл., 20200","1320","590","1320","11","722","8","730","","0","722","8","730","8","722","14","201","23","9","1","4","18","184","9","1","104","134","20","29.10.12"
"710126","199","Черкаська область","школа ім.Т.Г.Шевченка, фойє
просп.Шевченка, 121А, м.Звенигородка, Звенигородський р-н, Черкаська обл., 20200","1032","472","1029","10","553","7","560","","0","553","7","560","7","553","9","168","14","9","0","11","7","118","7","0","74","111","25","29.10.12"
"710127","199","Черкаська область","школа №3, фойє
просп.Шевченка, 94, м.Звенигородка, Звенигородський р-н, Черкаська обл., 20200","1446","612","1443","8","830","4","834","","0","830","4","834","7","827","19","272","6","13","0","11","20","207","16","5","92","140","26","29.10.12"
"710128","199","Черкаська область","районний будинок культури, фойє
просп.Шевченка, 43, м.Звенигородка, Звенигородський р-н, Черкаська обл., 20200","2268","1024","2244","26","1225","19","1244","","0","1225","19","1244","37","1207","28","368","23","35","3","20","17","241","16","3","134","243","76","29.10.12"
"710129","199","Черкаська область","школа №4, фойє
вул.Піонерська, 23, м.Звенигородка, Звенигородський р-н, Черкаська обл., 20200","2004","823","2001","25","1161","20","1181","","0","1161","20","1181","28","1153","19","388","30","21","1","12","17","216","11","0","129","263","46","29.10.12"
"710130","199","Черкаська область","будинок для престарілих, кімната профспілки
вул.Вячеслава Чорновола, 126, м.Звенигородка, Звенигородський р-н, Черкаська обл., 20200","2250","870","2226","149","1234","146","1380","","0","1234","146","1380","35","1345","28","389","33","22","2","18","36","387","17","8","120","240","45","29.10.12"
"710131","199","Черкаська область","СПТУ №16, фойє
вул.Кірова, 38, м.Звенигородка, Звенигородський р-н, Черкаська обл., 20200","1560","685","1549","13","864","11","875","","0","864","11","875","13","862","26","278","6","6","1","17","1","208","18","3","60","214","24","29.10.12"
"710132","199","Черкаська область","будинок школяра, актова зала
просп.Шевченка, 10, м.Звенигородка, Звенигородський р-н, Черкаська обл., 20200","1794","780","1776","17","1003","11","1014","","0","1003","11","1014","18","996","16","296","20","13","1","15","6","197","8","110","3","213","98","28.10.12"
"710133","199","Черкаська область","ДПА-сервіс, виробниче приміщення
вул.Червона, 67Б, м.Звенигородка, Звенигородський р-н, Черкаська обл., 20200","288","84","296","17","187","17","204","","0","187","17","204","4","200","12","45","3","0","1","4","2","68","0","0","15","29","21","28.10.12"
"710134","199","Черкаська область","школа, спортивна зала
вул.Шевченка, 4А, с.Багачівка, Звенигородський р-н, Черкаська обл., 20241","546","169","540","16","364","13","377","","0","364","13","377","6","371","5","135","5","2","0","5","6","81","0","0","42","47","43","29.10.12"
"710135","199","Черкаська область","сільський клуб, фойє
вул.Ярослава Мудрого, 9, с.Михайлівка, Звенигородський р-н, Черкаська обл., 20242","144","41","139","4","99","4","103","","0","99","4","103","6","97","6","22","1","2","0","2","0","21","1","1","17","4","20","28.10.12"
"710136","199","Черкаська область","сільський клуб, фойє
вул.Шевченка, 18, с.Павлівка, Звенигородський р-н, Черкаська обл., 20242","66","14","60","6","46","6","52","","0","46","6","52","0","52","1","12","1","0","1","0","1","11","0","0","8","4","13","28.10.12"
"710137","199","Черкаська область","школа, спортивна зала
вул.Саннікова, 49А, с.Боровикове, Звенигородський р-н, Черкаська обл., 20215","222","50","213","7","166","6","172","","0","166","6","172","1","171","0","18","2","1","0","2","2","69","2","0","38","15","22","28.10.12"
"710138","199","Черкаська область","сільський клуб, фойє
вул.Демченка, 26, с-ще Юркове, Звенигородський р-н, Черкаська обл., 20215","216","46","213","29","142","28","170","","0","142","28","170","3","167","0","54","1","6","0","3","4","77","1","1","9","2","9","28.10.12"
"710139","199","Черкаська область","будинок культури, фойє
вул.Шевченка, 7, с.Будище, Звенигородський р-н, Черкаська обл., 20213","540","116","533","100","327","97","424","","0","327","97","424","10","414","6","81","5","15","1","7","15","165","5","2","69","31","12","29.10.12"
"710140","199","Черкаська область","адміністративний будинок, обрядова зала
вул.Комсомольська, 1А, с.Вільховець, Звенигородський р-н, Черкаська обл., 20260","936","294","921","66","580","62","642","","0","580","62","642","5","637","6","68","5","7","1","8","16","326","4","6","70","82","38","28.10.12"
"710141","199","Черкаська область","середня школа, фойє
вул.Заводська, 1, с.Вільховець, Звенигородський р-н, Черкаська обл., 20260","390","144","383","43","205","41","246","","0","205","41","246","6","240","2","34","2","0","2","3","9","104","0","0","27","47","10","28.10.12"
"710142","199","Черкаська область","клуб цукрозаводу, бібліотека
вул.Заводська, 8, с.Вільховець, Звенигородський р-н, Черкаська обл., 20260","810","314","800","67","435","61","496","","0","435","61","496","10","486","8","90","1","6","1","9","9","228","5","2","64","43","20","28.10.12"
"710143","199","Черкаська область","школа, спортивна зала
вул.Богдана Хмельницького, 84, с.Водяники, Звенигородський р-н, Черкаська обл., 20232","516","113","517","51","354","49","403","","0","354","49","403","8","395","8","49","3","4","1","7","13","200","1","2","26","31","50","28.10.12"
"710144","199","Черкаська область","школа, спортивна зала
вул.Шкільна, 10, с.Гудзівка, Звенигородський р-н, Черкаська обл., 20225","594","177","588","37","380","37","417","","0","380","37","417","5","412","5","104","5","5","2","6","17","124","1","0","37","29","77","07.11.12"
"710145","199","Черкаська область","адміністративний будинок, зала засідань
вул.Центральна, 72, с.Гусакове, Звенигородський р-н, Черкаська обл., 20263","414","121","413","34","259","34","293","","0","259","34","293","4","289","2","59","4","4","5","8","15","113","4","0","30","26","19","29.10.12"
"710146","199","Черкаська область","будинок культури, фойє
просп.Соборності, 9, с.Княжа, Звенигородський р-н, Черкаська обл., 20243","1152","388","1145","103","674","90","764","","0","674","90","764","16","748","11","204","13","12","3","8","13","256","24","5","99","73","27","29.10.12"
"710147","199","Черкаська область","школа, ігрова кімната
вул.Свободи, 7, с.Кобиляки, Звенигородський р-н, Черкаська обл., 20234","354","101","348","28","226","27","253","","0","226","27","253","8","245","2","55","5","6","1","5","7","110","1","0","21","16","16","28.10.12"
"710148","199","Черкаська область","будинок культури, фойє
вул.Леніна, 39, с.Козацьке, Звенигородський р-н, Черкаська обл., 20240","1170","389","1155","76","711","70","781","","0","711","70","781","10","771","12","135","7","4","2","13","1","423","2","10","78","56","28","29.10.12"
"710149","199","Черкаська область","школа, фойє
вул.Миру, 25, с.Мизинівка, Звенигородський р-н, Черкаська обл., 20224","222","66","215","5","151","5","156","","0","151","5","156","3","153","1","29","1","3","0","3","4","78","0","2","12","13","7","03.11.12"
"710150","199","Черкаська область","контора, їдальня
вул.Центральна, 40, с.Стара Буда, Звенигородський р-н, Черкаська обл., 20224","150","44","149","2","104","2","106","","0","104","2","106","2","104","0","16","0","0","0","13","2","43","0","1","5","19","5","28.10.12"
"710151","199","Черкаська область","сільська бібліотека, каб.2
вул.Шевченка, 44, с.Моринці, Звенигородський р-н, Черкаська обл., 20210","660","201","653","47","417","42","459","","0","417","42","459","3","456","7","213","7","5","2","5","17","111","1","1","28","42","17","29.10.12"
"710152","199","Черкаська область","школа, спортивна зала
пров.Шкільний, 21, с.Моринці, Звенигородський р-н, Черкаська обл., 20210","810","296","804","54","460","54","514","","0","460","54","514","11","503","24","132","3","19","1","9","8","197","0","4","17","53","36","28.10.12"
"710153","199","Черкаська область","сільський клуб, фойє
вул.Центральна, 15, с.Гнилець, Звенигородський р-н, Черкаська обл., 20211","90","17","90","13","60","13","73","","0","60","13","73","4","69","1","23","0","4","0","2","2","12","0","0","1","7","17","28.10.12"
"710154","199","Черкаська область","будинок культури, фойє
вул.Шевченка, 57, с.Неморож, Звенигородський р-н, Черкаська обл., 20222","564","199","558","41","327","38","365","","0","327","38","365","9","356","5","74","3","1","4","14","12","109","8","1","47","53","25","28.10.12"
"710155","199","Черкаська область","ФАП, каб.2
вул.8 Березня, 8, с.Мурзинці, Звенигородський р-н, Черкаська обл., 20223","186","72","177","12","105","9","114","","0","105","9","114","2","112","0","21","1","1","1","5","7","42","5","1","7","16","5","28.10.12"
"710156","199","Черкаська область","школа, актова зала
вул.Мічуріна, 76, с.Озірна, Звенигородський р-н, Черкаська обл., 20226","942","283","934","63","598","61","659","","0","598","61","659","16","643","7","221","8","4","4","13","12","245","5","0","46","60","18","29.10.12"
"710157","199","Черкаська область","школа, фойє
вул.Леніна, 19, с.Пединівка, Звенигородський р-н, Черкаська обл., 20212","486","131","478","42","315","40","355","","0","315","40","355","5","350","22","86","7","13","0","6","8","145","1","6","19","26","11","29.10.12"
"710158","199","Черкаська область","будинок культури, зала засідань
вул.Горошка, 59, с.Попівка, Звенигородський р-н, Черкаська обл., 20236","366","142","356","16","209","15","224","","0","209","15","224","5","219","5","27","4","5","4","4","7","90","2","1","46","14","10","29.10.12"
"710159","199","Черкаська область","будинок культури, фойє
вул.Леніна, 17, с.Рижанівка, Звенигородський р-н, Черкаська обл., 20233","618","180","609","37","405","33","438","","0","405","33","438","5","433","3","73","1","5","0","6","11","206","1","1","65","43","18","29.10.12"
"710160","199","Черкаська область","будинок культури, фойє
вул.Театральна, 7, с.Ризине, Звенигородський р-н, Черкаська обл., 20235","732","236","729","46","452","44","496","","0","452","44","496","3","493","4","179","7","3","4","12","11","101","0","0","74","66","32","30.10.12"
"710161","199","Черкаська область","будинок культури, фойє
вул.Чайковського, 74, с.Стебне, Звенигородський р-н, Черкаська обл., 20208","1056","361","1060","50","650","45","695","","0","650","45","695","19","676","12","150","10","35","5","9","21","218","2","3","75","112","24","29.10.12"
