"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Ващенок
Вадим
Володимирович","Гнатовський
Володимир
Євгенійович","Дикун
Андрій
Євгенович","Карчевська
Алла
Олександрівна","Костенко
Павло
Іванович","Кучер
Галина
Михайлівна","Наконечний
Микола
Петрович","Поляков
Максим
Анатолійович","Ратушний
Микола
Семенович","Роєнко
Віктор
Григорович","Хмельницький
Богдан
Станіславович","Яценко
Антон
Володимирович","Дата підписання протоколу"
"710467","200","Черкаська область","школа №5, хол
вул.Гагаріна, 37, м.Монастирище, Монастирищенський р-н, Черкаська обл., 19100","1902","806","1887","16","1081","15","1096","","0","1081","15","1096","20","1076","10","0","34","3","150","18","339","196","6","24","8","288","29.10.12"
"710468","200","Черкаська область","школа №1, хол
вул.Жовтнева, 12, м.Монастирище, Монастирищенський р-н, Черкаська обл., 19100","2082","879","2068","20","1189","14","1203","","0","1189","14","1203","26","1177","13","2","34","1","182","15","326","183","5","8","10","398","30.10.12"
"710469","200","Черкаська область","музична школа, фойє
вул.Леніна, 117, м.Монастирище, Монастирищенський р-н, Черкаська обл., 19100","2286","1069","2254","3","1214","3","1217","","0","1214","3","1217","24","1193","8","1","51","7","181","19","363","186","6","15","18","338","29.10.12"
"710470","200","Черкаська область","будинок культури, фойє
вул.Маяковського, 2, с.Нове Місто, Монастирищенський р-н, Черкаська обл., 19100","1776","671","1757","19","1088","17","1105","","0","1088","17","1105","34","1071","11","1","39","9","192","8","281","176","4","38","4","308","29.10.12"
"710471","200","Черкаська область","школа №2, їдальня
вул.Леніна, 51, с.Нове Місто, Монастирищенський р-н, Черкаська обл., 19100","1416","591","1399","17","808","17","825","","0","808","17","825","26","799","2","0","28","5","129","10","251","120","6","15","13","220","30.10.12"
"710472","200","Черкаська область","будинок культури, фойє
вул.Ватутіна, 2, смт Цибулів, Монастирищенський р-н, Черкаська обл., 19114","1452","494","1439","30","928","30","958","","0","928","30","958","27","931","3","0","33","3","149","7","102","253","4","27","14","336","29.10.12"
"710473","200","Черкаська область","будинок культури цукрозаводу, фойє
вул.Леніна, 1, смт Цибулів, Монастирищенський р-н, Черкаська обл., 19114","1248","454","1238","18","776","18","794","","0","776","18","794","27","767","4","5","62","7","164","11","107","157","1","27","10","212","29.10.12"
"710474","200","Черкаська область","сільська бібліотека, читальний зал
вул.Шкільна, 2, с.Антоніна, Монастирищенський р-н, Черкаська обл., 19114","180","47","178","16","117","16","133","","0","117","16","133","5","128","0","0","24","1","35","1","18","23","1","2","1","22","28.10.12"
"710475","200","Черкаська область","сільський клуб, зал
вул.Центральна, 32, с.Аврамівка, Монастирищенський р-н, Черкаська обл., 19100","1620","571","1599","23","1029","20","1049","","0","1029","20","1049","22","1027","7","1","35","1","159","7","274","112","2","34","7","388","29.10.12"
"710476","200","Черкаська область","філія будинку культури, фойє
вул.Шкільна, 6В, с.Летичівка, Монастирищенський р-н, Черкаська обл., 19100","1266","443","1267","33","790","33","823","","0","790","33","823","27","796","1","2","30","2","134","14","243","91","3","20","4","252","29.10.12"
"710477","200","Черкаська область","будинок культури, фойє
вул.Комунарів, 7, с.Бачкурине, Монастирищенський р-н, Черкаська обл., 19153","744","162","740","28","557","25","582","","0","557","25","582","16","566","0","0","31","1","74","2","104","75","3","19","2","255","29.10.12"
"710478","200","Черкаська область","сільський клуб, зал
вул.Центральна, 19, с.Владиславчик, Монастирищенський р-н, Черкаська обл., 19123","318","70","318","25","224","24","248","","0","224","24","248","3","245","0","0","12","0","21","7","13","18","1","2","2","169","30.10.12"
"710479","200","Черкаська область","сільська рада, кім. засідань
вул.Космонавтів, 44, с.Дібрівка, Монастирищенський р-н, Черкаська обл., 19136","174","39","169","5","130","5","135","","0","130","5","135","2","133","0","0","7","0","24","0","7","8","1","5","0","81","30.10.12"
"710480","200","Черкаська область","школа, каб.1
вул.Миру, 20А, с.Долинка, Монастирищенський р-н, Черкаська обл., 19112","456","99","456","59","301","56","357","","0","301","56","357","11","346","3","1","14","1","55","2","14","23","2","3","1","227","29.10.12"
"710481","200","Черкаська область","сільський клуб, зал
вул.Комунарів, 3А, с.Жовтневе, Монастирищенський р-н, Черкаська обл., 19131","276","64","271","20","194","18","212","","0","194","18","212","4","208","0","0","22","0","9","1","8","34","0","9","1","124","29.10.12"
"710482","200","Черкаська область","будинок культури, фойє
вул.Леніна, 53А, с.Зарубинці, Монастирищенський р-н, Черкаська обл., 19121","300","71","299","14","217","12","229","","0","217","12","229","4","225","0","1","14","0","19","1","9","14","5","0","2","160","29.10.12"
"710483","200","Черкаська область","сільський клуб, зал
вул.Центральна, 3, с.Зюбриха, Монастирищенський р-н, Черкаська обл., 19124","282","66","275","12","207","9","216","","0","207","9","216","4","212","0","1","14","0","31","0","24","23","2","7","1","109","28.10.12"
"710484","200","Черкаська область","будинок культури, танцювальний зал
вул.Перемоги, 29, с.Івахни, Монастирищенський р-н, Черкаська обл., 19111","936","268","926","61","610","58","668","","0","610","58","668","16","652","1","1","76","1","148","6","37","66","2","32","4","278","29.10.12"
"710485","200","Черкаська область","будинок культури, зал
вул.Леніна, 67, с.Княжа Криниця, Монастирищенський р-н, Черкаська обл., 19113","762","221","759","38","503","38","541","","0","503","38","541","19","522","0","0","37","1","72","0","41","147","6","8","6","204","28.10.12"
"710486","200","Черкаська область","сільський клуб, зал
вул.Центральна, 97, с.Новосілка, Монастирищенський р-н, Черкаська обл., 19113","120","30","113","7","83","7","90","","0","83","7","90","3","87","2","0","3","0","15","1","21","9","1","3","0","32","28.10.12"
"710487","200","Черкаська область","будинок культури, зал
вул.Дружби народів, 5А, с.Княжики, Монастирищенський р-н, Черкаська обл., 19122","474","97","475","9","371","6","377","","0","371","6","377","3","374","0","1","14","2","68","4","18","26","3","7","2","229","29.10.12"
"710488","200","Черкаська область","будинок культури, фойє
вул.Леніна, 53А, с.Копіювата, Монастирищенський р-н, Черкаська обл., 19140","504","96","508","47","362","46","408","","0","362","46","408","8","400","0","0","20","1","61","2","25","21","1","9","1","259","29.10.12"
"710489","200","Черкаська область","адмінбудинок, зал засідань
вул.Центральна, 1, с.Коритня, Монастирищенський р-н, Черкаська обл., 19130","738","192","742","41","508","38","546","","0","508","38","546","11","535","1","0","24","0","36","7","34","184","4","23","1","221","29.10.12"
"710490","200","Черкаська область","сільський клуб, зал
вул.Садова, 1Б, с.Леськове, Монастирищенський р-н, Черкаська обл., 19142","546","134","540","48","364","48","412","","0","364","48","412","5","407","1","2","18","1","66","5","51","75","0","10","2","176","29.10.12"
"710491","200","Черкаська область","сільський клуб, зал
вул.Центральна, 42, с.Матвіїха, Монастирищенський р-н, Черкаська обл., 19143","330","57","337","24","249","24","273","","0","249","24","273","9","264","1","1","10","2","63","7","29","24","0","7","2","118","29.10.12"
"710492","200","Черкаська область","будинок культури, зал
вул.Бастракова, 25А, с.Лукашівка, Монастирищенський р-н, Черкаська обл., 19110","534","161","523","41","336","37","373","","0","336","37","373","14","359","0","1","34","0","96","7","13","33","3","6","2","164","29.10.12"
"710493","200","Черкаська область","ФАП, каб.медсестри
вул.Будьонного, 26, с.Тарасівка, Монастирищенський р-н, Черкаська обл., 19110","66","12","64","0","54","0","54","","0","54","0","54","1","53","0","0","1","0","9","1","1","11","1","1","0","28","01.11.12"
"710494","200","Черкаська область","будинок культури, каб. завклуба
вул.Леніна, 57, с.Петрівка, Монастирищенський р-н, Черкаська обл., 19151","324","74","322","19","232","18","250","","0","232","18","250","5","245","2","0","7","0","47","1","13","7","1","11","1","155","30.10.12"
"710495","200","Черкаська область","сільський клуб, зал
вул.Шевченка, 13, с.Половинчик, Монастирищенський р-н, Черкаська обл., 19133","396","136","392","11","249","11","260","","0","249","11","260","2","258","2","1","8","2","27","4","32","30","1","4","0","147","29.10.12"
"710496","200","Черкаська область","будинок культури, зал
вул.Леніна, 8, с.Попудня, Монастирищенський р-н, Черкаська обл., 19155","606","147","592","48","411","48","459","","0","411","48","459","6","453","1","2","11","1","41","3","48","22","1","10","0","313","29.10.12"
"710497","200","Черкаська область","адмінбудинок, кім.2
вул.Леніна, 1, с-ще Забіляни, Монастирищенський р-н, Черкаська обл., 19155","48","12","43","3","33","3","36","","0","33","3","36","0","36","1","0","0","0","6","1","4","4","0","0","0","20","29.10.12"
"710498","200","Черкаська область","школа, хол
вул.Миру, 18, с.Сарни, Монастирищенський р-н, Черкаська обл., 19154","486","133","480","16","337","16","353","","0","337","16","353","9","344","0","0","16","1","45","5","30","29","1","4","1","212","29.10.12"
"710499","200","Черкаська область","будинок культури, зал
вул.Леніна, 37, с.Сатанівка, Монастирищенський р-н, Черкаська обл., 19133","942","258","931","56","629","55","684","","0","629","55","684","16","668","5","1","16","4","133","3","75","53","0","12","3","363","29.10.12"
"710500","200","Черкаська область","будинок культури, зал
вул.Центральна, 2, с.Степівка, Монастирищенський р-н, Черкаська обл., 19152","258","47","256","11","202","9","211","","0","202","9","211","4","207","0","0","7","1","13","1","41","9","1","9","0","125","29.10.12"
"710501","200","Черкаська область","будинок культури, фойє
вул.Леніна, 7, с.Тарнава, Монастирищенський р-н, Черкаська обл., 19134","270","53","270","28","190","27","217","","0","190","27","217","9","208","0","2","9","1","16","3","15","55","2","1","0","104","29.10.12"
"710502","200","Черкаська область","сільський клуб, зал
вул.Молодіжна, 41А, с.Теолин, Монастирищенський р-н, Черкаська обл., 19141","378","108","374","26","244","26","270","","0","244","26","270","15","255","0","0","15","1","41","5","27","17","0","20","1","128","29.10.12"
"710503","200","Черкаська область","будинок культури, фойє
вул.Леніна, 4, с.Терлиця, Монастирищенський р-н, Черкаська обл., 19135","354","82","345","21","252","20","272","","0","252","20","272","7","265","2","1","13","0","45","3","22","17","1","3","0","158","29.10.12"
"710504","200","Черкаська область","школа, фойє
вул.Пархоменка, 16, с.Халаїдове, Монастирищенський р-н, Черкаська обл., 19136","666","204","659","19","444","18","462","","0","444","18","462","10","452","1","2","21","3","35","5","73","72","0","11","0","229","29.10.12"
"710505","200","Черкаська область","будинок культури, зал
вул.Леніна, 1, с.Чапаєвка, Монастирищенський р-н, Черкаська обл., 19150","234","50","237","15","170","14","184","","0","170","14","184","4","180","1","0","7","1","29","0","16","10","3","2","0","111","28.10.12"
"710506","200","Черкаська область","будинок культури, фойє
вул.Леніна, 27, с.Шабастівка, Монастирищенський р-н, Черкаська обл., 19132","546","115","538","31","400","31","431","","0","400","31","431","12","419","1","1","31","3","49","7","30","55","5","6","2","229","29.10.12"
"710507","200","Черкаська область","школа, каб.2
вул.Кірова, 44А, с-ще Вільна, Монастирищенський р-н, Черкаська обл., 19132","102","20","98","10","76","6","82","","0","76","6","82","1","81","1","0","6","0","12","0","8","2","0","2","0","50","28.10.12"
"710508","200","Черкаська область","сільський клуб, фойє
вул.Космонавтів, 12Б, с.Шарнопіль, Монастирищенський р-н, Черкаська обл., 19120","516","155","508","32","329","32","361","","0","329","32","361","5","356","0","1","20","2","65","0","19","28","1","6","1","213","29.10.12"
"710509","200","Черкаська область","центральна районна лікарня, зал
вул.Леніна, 1, с.Нове Місто, м. Монастирище, Черкаська обл., 19100","198","159","42","17","22","17","39","","0","22","17","39","0","39","4","0","2","0","8","0","2","2","0","0","2","19","29.10.12"
"710566","200","Черкаська область","сільський будинок культури, фойє
вул.Леніна, 1, с.Вишнопіль, Тальнівський р-н, Черкаська обл., 20444","744","239","740","2","503","2","505","","0","503","2","505","12","493","2","1","29","2","44","16","20","73","3","39","8","256","28.10.12"
"710581","200","Черкаська область","сільська рада, зала засідань, 2-й поверх
вул.Леніна, 14А, с.Легедзине, Тальнівський р-н, Черкаська обл., 20435","804","302","796","18","484","18","502","","0","484","18","502","10","492","3","0","63","3","66","23","20","145","2","12","5","150","29.10.12"
"710598","200","Черкаська область","будинок культури, зал урочистих подій
вул.Леніна, 1, с.Антонівка, Уманський р-н, Черкаська обл., 20373","408","129","402","29","252","27","279","","0","252","27","279","7","272","1","0","27","0","3","5","10","74","1","49","0","102","29.10.12"
"710599","200","Черкаська область","дитячий садок, кімната 1
вул.Леніна, 70, с.Аполянка, Уманський р-н, Черкаська обл., 20336","366","96","358","28","246","24","270","","0","246","24","270","8","262","1","0","21","2","43","10","21","44","2","8","3","107","29.10.12"
"710600","200","Черкаська область","будинок культури, зал урочистих подій
вул.Леніна, 1, смт Бабанка, Уманський р-н, Черкаська обл., 20351","1728","555","1725","86","1087","86","1173","","0","1087","86","1173","41","1132","2","1","80","4","105","30","57","366","10","29","5","443","29.10.12"
"710601","200","Черкаська область","будинок культури, зал урочистих подій
вул.Радянська, 1А, с.Берестівець, Уманський р-н, Черкаська обл., 20321","600","140","597","46","419","41","460","","0","419","41","460","10","450","3","0","30","2","40","11","35","97","4","6","0","222","29.10.12"
"710602","200","Черкаська область","будинок культури, зал урочистих подій
вул.Тереверка, 43, с.Вільшана-Слобідка, Уманський р-н, Черкаська обл., 20362","186","38","188","8","140","8","148","","0","140","8","148","1","147","1","0","21","1","13","2","7","14","2","7","0","79","29.10.12"
"710603","200","Черкаська область","будинок культури, зал урочистих подій
вул.Жовтневої революції, 10, с.Вільшанка, Уманський р-н, Черкаська обл., 20362","126","25","122","6","95","6","101","","0","95","6","101","0","101","0","0","6","2","5","5","3","3","0","1","0","76","28.10.12"
"710604","200","Черкаська область","школа, шкільна їдальня
вул.Шкільна, 1, с.Гереженівка, Уманський р-н, Черкаська обл., 20356","570","114","581","48","408","48","456","","0","408","48","456","3","453","2","0","23","1","34","11","27","46","4","5","3","297","29.10.12"
"710605","200","Черкаська область","школа, фойє 1-й поверх
вул.Радянська, 4, с.Городецьке, Уманський р-н, Черкаська обл., 20325","1080","292","1073","55","736","52","788","","0","736","52","788","21","767","1","2","78","7","52","16","136","120","8","16","9","322","29.10.12"
"710606","200","Черкаська область","будинок культури, фойє клубу
вул.Леніна, 66, с.Городниця, Уманський р-н, Черкаська обл., 20383","768","254","768","52","467","47","514","","0","467","47","514","8","506","7","3","53","1","84","16","16","38","3","17","6","262","29.10.12"
"710607","200","Черкаська область","адмінбудинок, актовий зал
вул.Леніна, 1, с.Гродзеве, Уманський р-н, Черкаська обл., 20350","570","142","563","39","389","39","428","","0","389","39","428","11","417","1","2","37","1","29","11","52","51","1","50","2","180","29.10.12"
"710608","200","Черкаська область","будинок культури, фойє клубу
вул.Леніна, 69, с.Громи, Уманський р-н, Черкаська обл., 20343","924","294","917","15","617","13","630","","0","617","13","630","15","615","3","2","60","3","53","11","39","74","6","5","3","356","29.10.12"
"710609","200","Черкаська область","будинок культури, зал для глядачів
вул.Пирогова, 4, с.Дмитрушки, Уманський р-н, Черкаська обл., 20332","1662","560","1653","97","1024","78","1102","","0","1024","78","1102","27","1075","5","4","151","7","118","26","162","173","14","16","7","392","29.10.12"
"710610","200","Черкаська область","будинок культури, зал для глядачів
вул.Леніна, 5-А, с.Доброводи, Уманський р-н, Черкаська обл., 20335","684","223","675","57","411","50","461","","0","411","50","461","10","451","2","0","68","1","46","29","22","96","9","22","3","153","29.10.12"
"710611","200","Черкаська область","адмінбудинок, актовий зал
вул.Жовтнева, 13, с.Дубова, Уманський р-н, Черкаська обл., 20362","408","85","402","35","290","33","323","","0","290","33","323","3","320","1","1","24","1","38","9","15","75","0","3","0","153","29.10.12"
"710612","200","Черкаська область","школа, спортивний зал
вул.Леніна, 33, с.Іванівка, Уманський р-н, Черкаська обл., 20320","810","220","801","90","510","80","590","","0","510","80","590","9","581","1","0","30","4","56","17","99","54","1","25","1","293","30.10.12"
"710613","200","Черкаська область","будинок культури, читальний зал
вул.Фрунзе, 6, с.Яроватка, Уманський р-н, Черкаська обл., 20320","180","37","180","10","133","10","143","","0","133","10","143","2","141","1","0","9","0","14","2","31","21","0","5","0","58","29.10.12"
"710614","200","Черкаська область","будинок культури, обрядовий зал
вул.Кірова, 1, с.Колодисте, Уманський р-н, Черкаська обл., 20320","1260","481","1250","69","722","57","779","","0","722","57","779","19","760","5","0","52","2","48","16","15","247","4","34","5","332","29.10.12"
"710615","200","Черкаська область","будинок культури, зал урочистих подій
вул.Жовтнева, 43, с.Коржова, Уманський р-н, Черкаська обл., 20360","372","85","369","44","252","35","287","","0","252","35","287","6","281","1","0","15","0","9","9","21","39","3","15","0","169","30.10.12"
"710616","200","Черкаська область","адмінбудинок, зал засідань
вул.Шевченка, 1, с.Коржовий Кут, Уманський р-н, Черкаська обл., 20362","138","24","136","15","99","15","114","","0","99","15","114","0","114","0","0","6","0","1","2","5","17","1","2","0","80","29.10.12"
"710617","200","Черкаська область","будинок культури, читальний зал
вул.Перемоги, 11, с.Коржова Слобода, Уманський р-н, Черкаська обл., 20380","156","47","150","6","105","4","109","","0","105","4","109","2","107","0","0","12","2","4","6","3","24","0","1","1","54","29.10.12"
"710618","200","Черкаська область","школа, вестибюль 1-й поверх
вул.Дерев’янка, 1Д, с.Косенівка, Уманський р-н, Черкаська обл., 20331","726","200","719","32","497","29","526","","0","497","29","526","12","514","3","3","93","3","55","18","23","68","10","24","1","213","29.10.12"
"710619","200","Черкаська область","будинок культури, зал урочистих подій
пл.Перемоги, 10, с.Кочержинці, Уманський р-н, Черкаська обл., 20341","1116","432","1110","15","670","14","684","","0","670","14","684","25","659","5","1","109","3","51","18","99","142","5","14","4","208","29.10.12"
"710620","200","Черкаська область","школа, коридор
вул.Леніна, 55, с.Кочубіївка, Уманський р-н, Черкаська обл., 20323","588","169","579","50","374","45","419","","0","374","45","419","6","413","2","0","109","2","11","16","82","43","4","4","1","139","29.10.12"
"710621","200","Черкаська область","будинок культури, малий зал
вул.Радянська, 3, с.Краснопілка, Уманський р-н, Черкаська обл., 20322","618","159","612","75","391","68","459","","0","391","68","459","13","446","0","2","42","3","75","9","37","75","5","14","3","181","01.11.12"
"710622","200","Черкаська область","будинок культури, зал урочистих подій
вул.Леніна, 5, с.Ладижинка, Уманський р-н, Черкаська обл., 20382","1788","610","1770","164","1034","144","1178","","0","1034","144","1178","31","1147","7","2","63","6","145","34","38","312","8","29","18","485","29.10.12"
"710623","200","Черкаська область","адмінбудинок, зал засідань
вул.Петровського, 6, с.Максимівка, Уманський р-н, Черкаська обл., 20345","318","64","317","37","220","34","254","","0","220","34","254","6","248","0","1","31","3","23","9","16","13","0","5","1","146","29.10.12"
"710624","200","Черкаська область","школа, фойє
вул.Леніна, 14А, с.Оксанина, Уманський р-н, Черкаська обл., 20355","786","250","788","55","487","49","536","","0","487","49","536","14","522","1","1","78","1","64","15","28","138","2","8","0","186","29.10.12"
"710625","200","Черкаська область","будинок культури, фойє
вул.Черняховського, 1Б, с.Острівець, Уманський р-н, Черкаська обл., 20363","294","40","291","19","237","17","254","","0","237","17","254","3","251","0","0","18","1","11","4","6","94","0","3","1","113","29.10.12"
"710626","200","Черкаська область","будинок культури, фойє
вул.Леніна, 10, с.Паланка, Уманський р-н, Черкаська обл., 20340","1224","308","1221","69","853","63","916","","0","853","63","916","30","886","4","2","83","3","78","15","148","149","7","15","7","375","30.10.12"
"710627","200","Черкаська область","будинок культури, зал для глядачів
вул.Шкільна, 14, с.Піківець, Уманський р-н, Черкаська обл., 20300","624","180","613","44","407","37","444","","0","407","37","444","7","437","2","0","37","2","24","17","72","121","4","8","0","150","29.10.12"
"710628","200","Черкаська область","сільська бібліотека, читальний зал
вул.Радянська, 4, с.Полянецьке, Уманський р-н, Черкаська обл., 20342","1020","327","1015","40","660","33","693","","0","660","33","693","24","669","1","2","66","0","66","12","73","184","14","8","14","229","29.10.12"
"710629","200","Черкаська область","школа, спортивний зал
вул.Будьонного, 8, с.Посухівка, Уманський р-н, Черкаська обл., 20373","270","97","263","26","153","20","173","","0","153","20","173","5","168","0","0","24","0","8","17","7","30","0","14","1","67","30.10.12"
"710630","200","Черкаська область","будинок культури, зал урочистих подій
вул.Леніна, 2, с.Пугачівка, Уманський р-н, Черкаська обл., 20333","486","110","480","28","349","27","376","","0","349","27","376","7","369","2","0","29","1","10","4","21","114","2","8","0","178","29.10.12"
"710631","200","Черкаська область","школа, фойє
вул.Шкільна, 5, с-ще Затишок, Уманський р-н, Черкаська обл., 20384","258","80","256","12","166","12","178","","0","166","12","178","4","174","0","1","6","5","12","17","6","69","2","0","1","55","29.10.12"
