"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Вчорашній
Павло
Юрійович","Гавриленко
Володимир
Іванович","Гвоздь
Микола
Гаврилович","Гресь
Володимир
Анатолійович","Гришкін
Олександр
Петрович","Згура
Віталій
Олександрович","Зубик
Володимир
Володимирович","Кравченко
Наталія
Іванівна","Малий
Олег
Георгійович","Островський
Олег
Анатолійович","Пацьора
Михайло
Іванович","Радуцький
Олександр
Романович","Чуприна
Олександр
Олександрович","Дата підписання протоколу"
"710764","195","Черкаська область","центральна районна лікарня, приймальне відділення, 1-й поверх
вул.Замкова, 90, м.Чигирин, Чигиринський р-н, Черкаська обл., 20901","156","103","63","2","51","2","53","","0","51","2","53","1","52","0","0","0","6","0","1","38","1","1","2","1","1","1","28.10.12"
"710765","195","Черкаська область","офісне приміщення магазину ""Апельсин"", зал №1
вул.Леніна, 222А, смт Чорнобай, Чорнобаївський р-н, Черкаська обл., 19900","1284","443","1272","21","822","19","841","","0","822","19","841","24","817","2","4","8","394","3","13","257","27","28","10","1","5","65","29.10.12"
"710766","195","Черкаська область","районний будинок культури, фойє
вул.Леніна, 158, смт Чорнобай, Чорнобаївський р-н, Черкаська обл., 19900","1626","503","1613","16","1107","16","1123","","0","1107","16","1123","21","1102","1","2","6","518","4","13","403","28","15","25","8","7","72","29.10.12"
"710767","195","Черкаська область","палац спорту, вестибюль
вул.Комсомольська, 2, смт Чорнобай, Чорнобаївський р-н, Черкаська обл., 19900","1860","652","1852","24","1184","24","1208","","0","1184","24","1208","11","1197","1","2","2","611","3","15","412","23","23","18","10","11","66","29.10.12"
"710768","195","Черкаська область","школа №2, вестибюль
вул.Черкаська, 85, смт Чорнобай, Чорнобаївський р-н, Черкаська обл., 19900","1422","464","1397","21","939","19","958","","0","939","19","958","16","942","3","1","5","467","0","24","339","19","13","11","4","5","51","29.10.12"
"710769","195","Черкаська область","адмінбудинок СТОВ ""Агроко"", вестибюль
вул.Крупської, 44, смт Чорнобай, Чорнобаївський р-н, Черкаська обл., 19900","792","268","784","27","497","27","524","","0","497","27","524","7","517","0","1","2","212","0","5","211","20","16","12","5","1","32","28.10.12"
"710770","195","Черкаська область","сільський клуб, вестибюль
вул.Леніна, 15, с.Бакаєве, Чорнобаївський р-н, Черкаська обл., 19921","300","74","303","25","202","24","226","","0","202","24","226","4","222","0","0","3","136","0","1","55","11","3","0","2","1","10","28.10.12"
"710771","195","Черкаська область","сільський будинок культури, глядацький зал
вул.Гагаріна, 38А, с.Богодухівка, Чорнобаївський р-н, Черкаська обл., 19914","1152","379","1144","77","697","76","773","","0","697","76","773","25","748","0","1","8","251","1","71","323","15","32","3","1","9","33","29.10.12"
"710772","195","Черкаська область","приватний адмінбудинок, актовий зал
вул.Дружби, 54, с.Богодухівка, Чорнобаївський р-н, Черкаська обл., 19914","876","291","866","101","487","98","585","","0","487","98","585","20","565","1","3","4","218","0","53","229","10","23","4","0","4","16","28.10.12"
"710773","195","Черкаська область","сільський будинок культури, фойє
вул.Леніна, 56, с.Васютинці, Чорнобаївський р-н, Черкаська обл., 19963","1044","173","1040","98","778","93","871","","0","778","93","871","22","849","0","0","9","179","1","11","612","6","3","4","2","3","19","29.10.12"
"710774","195","Черкаська область","сільський будинок культури, фойє
вул.Леніна, 3, с.Велика Бурімка, Чорнобаївський р-н, Черкаська обл., 19940","1032","367","1016","41","625","40","665","","0","625","40","665","9","656","1","0","2","199","0","2","367","41","18","1","3","5","17","28.10.12"
"710775","195","Черкаська область","сільський клуб, фойє
вул.Молодіжна, 9, с.Велика Бурімка, Чорнобаївський р-н, Черкаська обл., 19940","300","83","305","10","207","10","217","","0","207","10","217","3","214","1","0","1","70","0","1","118","10","1","0","6","0","6","28.10.12"
"710776","195","Черкаська область","сільський будинок культури, глядацький зал
вул.Леніна, 36, с.Великі Канівці, Чорнобаївський р-н, Черкаська обл., 19930","984","277","975","64","644","63","707","","0","644","63","707","3","704","0","2","13","435","1","6","163","21","12","8","9","6","28","29.10.12"
"710777","195","Черкаська область","сільський будинок культури, фойє
вул.Леніна, 108, с.Вереміївка, Чорнобаївський р-н, Черкаська обл., 19972","1242","271","1228","114","862","109","971","","0","862","109","971","17","954","1","4","4","318","3","4","565","8","2","5","11","4","25","29.10.12"
"710778","195","Черкаська область","сільський будинок культури, танцювальний зал
вул.Радгоспна, 11, с.Веселий Хутір, Чорнобаївський р-н, Черкаська обл., 19923","534","166","533","16","352","16","368","","0","352","16","368","6","362","0","2","2","85","0","0","250","5","6","5","2","1","4","28.10.12"
"710779","195","Черкаська область","школа-сад, актовий зал
вул.Леніна, 41, с.Воронинці, Чорнобаївський р-н, Черкаська обл., 19935","300","70","300","32","199","31","230","","0","199","31","230","9","221","1","0","2","63","2","4","113","10","2","1","2","5","16","28.10.12"
"710780","195","Черкаська область","сільська бібліотека, читальний зал
вул.Горького, 4, с.Григорівка, Чорнобаївський р-н, Черкаська обл., 19926","264","65","258","18","181","18","199","","0","181","18","199","2","197","0","1","0","87","1","2","80","11","3","1","2","3","6","29.10.12"
"710781","195","Черкаська область","сільський будинок культури, фойє
вул.Леніна, 93А, с.Жовнине, Чорнобаївський р-н, Черкаська обл., 19973","624","144","616","82","404","76","480","","0","404","76","480","6","474","0","4","3","170","1","6","236","10","11","3","4","6","20","28.10.12"
"710782","195","Черкаська область","школа-сад, класна кімната
вул.Шевченка, 16, с-ще Жовтневе, Чорнобаївський р-н, Черкаська обл., 19955","222","52","215","26","146","24","170","","0","146","24","170","1","169","0","0","0","60","0","2","96","1","1","1","0","1","7","28.10.12"
"710783","195","Черкаська область","сільський клуб, глядацький зал
вул.Леніна, 20А, с-ще Жовтневий Промінь, Чорнобаївський р-н, Черкаська обл., 19900","78","17","78","9","52","9","61","","0","52","9","61","1","60","0","0","0","9","0","2","49","0","0","0","0","0","0","28.10.12"
"710784","195","Черкаська область","сільський клуб, фойє
вул.Зарічна, 3, с.Загородище, Чорнобаївський р-н, Черкаська обл., 19950","156","35","151","7","114","7","121","","0","114","7","121","3","118","0","0","0","48","0","0","57","4","1","0","0","0","8","28.10.12"
"710785","195","Черкаська область","сільський будинок культури, фойє
вул.Леніна, 1, с.Іркліїв, Чорнобаївський р-н, Черкаська обл., 19950","1722","501","1712","48","1174","47","1221","","0","1174","47","1221","27","1194","5","2","3","391","2","20","593","38","10","22","4","10","94","29.10.12"
"710786","195","Черкаська область","адмінбудинок СТОВ ""Кліщинське"", актовий зал
вул.Орла, 5, с.Кліщинці, Чорнобаївський р-н, Черкаська обл., 19971","840","237","830","70","533","70","603","","0","533","70","603","12","591","2","6","2","175","3","9","346","9","7","4","6","7","15","29.10.12"
"710787","195","Черкаська область","сільський клуб, глядацький зал
вул.Леніна, 21Г, с.Коврай, Чорнобаївський р-н, Черкаська обл., 19953","150","28","145","15","107","15","122","","0","107","15","122","0","122","0","0","2","32","2","2","78","2","2","0","0","0","2","28.10.12"
"710788","195","Черкаська область","сільський будинок культури, танцювальний зал
вул.Леніна, 48, с-ще Комінтерн, Чорнобаївський р-н, Черкаська обл., 19911","522","76","513","32","414","32","446","","0","414","32","446","6","440","0","0","0","42","0","6","377","4","1","2","1","2","5","29.10.12"
"710789","195","Черкаська область","сільський будинок культури, фойє
вул.Івана Піддубного, 77, с.Красенівка, Чорнобаївський р-н, Черкаська обл., 19910","492","47","484","53","392","53","445","","0","392","53","445","2","443","3","1","0","52","0","5","356","1","14","0","1","1","9","28.10.12"
"710790","195","Черкаська область","сільський клуб, фойє
вул.Колгоспна, 6, с.Красенівка, Чорнобаївський р-н, Черкаська обл., 19910","256","16","254","26","214","26","240","","0","214","26","240","3","237","0","0","1","48","2","1","180","1","1","0","0","2","1","28.10.12"
"710791","195","Черкаська область","сільський будинок культури, фойє
вул.Устименка, 130, с.Крутьки, Чорнобаївський р-н, Черкаська обл., 19932","1026","293","1018","69","665","68","733","","0","665","68","733","13","720","3","0","12","253","1","6","326","13","13","9","12","5","67","28.10.12"
"710792","195","Черкаська область","навчально-виховний комплекс, вестибюль
вул.Жовтнева, 13, с.Ленінське, Чорнобаївський р-н, Черкаська обл., 19961","546","118","542","33","395","33","428","","0","395","33","428","4","424","0","0","0","42","0","4","373","3","0","0","0","0","2","29.10.12"
"710793","195","Черкаська область","сільський будинок культури, хоровий клас
вул.Шевченка, 39, с.Лихоліти, Чорнобаївський р-н, Черкаська обл., 19944","564","142","553","46","377","45","422","","0","377","45","422","7","415","1","0","6","153","5","1","217","9","1","5","4","3","10","28.10.12"
"710794","195","Черкаська область","сільський будинок культури, фойє
вул.Володимира Мироненка, 27, с.Лукашівка, Чорнобаївський р-н, Черкаська обл., 19926","822","258","814","30","535","29","564","","0","535","29","564","11","553","3","0","4","231","0","7","267","15","8","3","2","2","11","29.10.12"
"710795","195","Черкаська область","сільський будинок культури, фойє
вул.Леніна, 19Б, с.Лящівка, Чорнобаївський р-н, Черкаська обл., 19960","912","294","903","71","555","63","618","","0","555","63","618","17","601","1","3","5","189","5","6","273","14","12","2","59","4","28","30.10.12"
"710796","195","Черкаська область","сільський будинок культури, фойє
вул.Леніна, 14А, с.Мала Бурімка, Чорнобаївський р-н, Черкаська обл., 19924","630","158","629","49","423","49","472","","0","423","49","472","6","466","0","2","4","144","3","4","266","17","11","1","3","7","4","28.10.12"
"710797","195","Черкаська область","сільський клуб, глядацький зал
вул.Леніна, 28, с.Малі Канівці, Чорнобаївський р-н, Черкаська обл., 19931","552","173","546","33","347","32","379","","0","347","32","379","7","372","1","0","4","197","0","5","125","3","13","2","0","3","19","29.10.12"
"710798","195","Черкаська область","фельдшерський пункт, вестибюль
вул.30 років Перемоги, 27, с.Мар’янівка, Чорнобаївський р-н, Черкаська обл., 19922","78","24","79","0","54","0","54","","0","54","0","54","3","51","0","0","1","14","0","0","32","1","0","0","0","1","2","28.10.12"
"710799","195","Черкаська область","сільський будинок культури, фойє
вул.Леніна, 101А, с.Мельники, Чорнобаївський р-н, Черкаська обл., 19934","1074","394","1061","45","635","45","680","","0","635","45","680","19","661","1","0","4","269","3","11","261","24","7","14","10","8","49","28.10.12"
"710800","195","Черкаська область","сільська бібліотека, читальний зал
вул.Лесі Українки, 43А, с.Михайлівка, Чорнобаївський р-н, Черкаська обл., 19941","180","57","174","21","105","18","123","","0","105","18","123","4","119","1","0","0","25","0","4","72","5","5","0","5","0","2","28.10.12"
"710801","195","Черкаська область","сільський будинок культури, фойє
вул.Шевченка, 39Д, с.Москаленки, Чорнобаївський р-н, Черкаська обл., 19970","1176","355","1163","76","747","74","821","","0","747","74","821","13","808","1","3","5","369","3","4","305","26","15","3","10","23","41","29.10.12"
"710802","195","Черкаська область","школа-сад, вестибюль
вул.Гоголя, 45А, с.Мохнач, Чорнобаївський р-н, Черкаська обл., 19925","216","62","212","18","136","18","154","","0","136","18","154","2","152","0","0","1","57","0","2","80","4","3","0","4","0","1","28.10.12"
"710803","195","Черкаська область","навчально-виховний комплекс, вестибюль
вул.Леніна, 15А, с.Нове Життя, Чорнобаївський р-н, Черкаська обл., 19912","204","75","202","20","109","20","129","","0","109","20","129","4","125","0","1","3","60","0","8","44","1","0","1","0","0","7","29.10.12"
"710804","195","Черкаська область","сільський клуб, глядацький зал
вул.Котовського, 12, с.Новоселиця, Чорнобаївський р-н, Черкаська обл., 19926","240","64","236","31","145","31","176","","0","145","31","176","2","174","0","0","0","55","1","2","111","0","1","0","0","1","3","28.10.12"
"710805","195","Черкаська область","сільський будинок культури, танцювальний зал
вул.Леніна, 16А, с.Новоукраїнка, Чорнобаївський р-н, Черкаська обл., 19942","594","126","579","74","398","70","468","","0","398","70","468","8","460","4","5","5","131","1","5","272","6","9","0","6","7","9","29.10.12"
"710806","195","Черкаська область","сільський клуб, глядацький зал
вул.Леніна, 33, с.Першотравневе, Чорнобаївський р-н, Черкаська обл., 19953","282","32","281","19","231","19","250","","0","231","19","250","6","244","0","0","3","56","1","4","159","4","3","0","0","7","7","28.10.12"
"710807","195","Черкаська область","сільський будинок культури, глядацький зал
вул.Леніна, 31А, с.Придніпровське, Чорнобаївський р-н, черкаська обл., 19952","804","233","792","42","530","41","571","","0","530","41","571","14","557","3","0","4","239","4","7","216","15","5","1","4","9","50","28.10.12"
"710808","195","Черкаська область","сільський будинок культури, фойє
вул.Леніна, 2, с.Ревбинці, Чорнобаївський р-н, Черкаська обл., 19943","618","154","615","80","385","79","464","","0","385","79","464","10","454","0","1","1","192","0","3","224","7","6","0","2","3","15","29.10.12"
"710809","195","Черкаська область","сільська бібліотека, вестибюль
вул.Леніна, 29, с.Савківка, Чорнобаївський р-н, Черкаська обл., 19900","264","61","260","16","188","15","203","","0","188","15","203","5","198","0","0","1","105","1","4","78","1","2","0","2","2","2","28.10.12"
"710810","195","Черкаська область","сільський клуб, фойє
вул.Жовтнева, 29, с.Скородистик, Чорнобаївський р-н, Черкаська обл., 19951","1176","377","1168","86","716","83","799","","0","716","83","799","21","778","4","4","5","293","3","14","314","31","9","7","21","14","59","29.10.12"
"710811","195","Черкаська область","школа, спортивний зал
вул.Леніна, 19, с.Старий Коврай, Чорнобаївський р-н, Черкаська обл., 19954","666","130","663","52","486","50","536","","0","486","50","536","12","524","1","1","4","99","2","4","387","6","3","2","1","3","11","29.10.12"
"710812","195","Черкаська область","сільський клуб, вестибюль
вул.Свердлова, 16, с.Тарасівка, Чорнобаївський р-н, Черкаська обл., 19913","372","70","360","47","259","43","302","","0","259","43","302","2","300","0","0","1","88","0","1","192","7","2","1","0","2","6","28.10.12"
"710813","195","Черкаська область","сільський будинок культури, фойє
вул.Леніна, 21, с.Тимченки, Чорнобаївський р-н, Черкаська обл., 19962","804","182","802","75","551","71","622","","0","551","71","622","9","613","0","0","3","218","2","11","332","2","9","3","3","4","26","29.10.12"
"710814","195","Черкаська область","сільський будинок культури, фойє
вул.Леніна, 21А, с.Франківка, Чорнобаївський р-н, Черкаська обл., 19920","426","43","427","18","365","18","383","","0","365","18","383","7","376","0","0","0","79","1","1","277","4","0","1","0","3","10","29.10.12"
"710815","195","Черкаська область","сільський будинок культури, танцювальний зал
вул.Щорса, 39, с.Хрестителеве, Чорнобаївський р-н, Черкаська обл., 19922","894","347","889","30","523","24","547","","0","523","24","547","18","529","1","1","14","280","4","13","166","9","9","6","7","8","11","28.10.12"
"710816","195","Черкаська область","сільський клуб, глядацький зал
вул.Шевченка, 41, с.Червоногірка, Чорнобаївський р-н, Черкаська обл., 19950","234","38","233","7","189","7","196","","0","189","7","196","2","194","3","1","2","92","0","1","78","0","4","2","0","3","8","28.10.12"
"710817","195","Черкаська область","фельдшерський пункт, вестибюль
вул.Шевченка, 14, с.Червонохижинці, Чорнобаївський р-н, Черкаська обл., 19951","66","7","66","13","46","13","59","","0","46","13","59","1","58","0","0","1","13","0","0","39","0","1","0","1","2","1","28.10.12"
"710818","195","Черкаська область","сільський клуб, фойє
вул.Леніна, 44, с.Чехівка, Чорнобаївський р-н, Черкаська обл., 19933","414","131","401","129","155","128","283","","0","155","128","283","5","278","0","0","1","29","0","3","228","2","4","3","2","2","4","28.10.12"
"710819","195","Черкаська область","центральна районна лікарня, актовий зал
вул.Леніна, 221, смт Чорнобай, Чорнобаївський р-н, Черкаська обл., 19900","174","120","56","35","19","35","54","","0","19","35","54","0","54","1","0","0","16","0","2","26","1","3","2","0","0","3","28.10.12"
"711043","195","Черкаська область","Черкаський обласний центр еколого-натуралістичної творчості, актова зала
вул.Смілянська, 132, м.Черкаси, 18029","1488","617","1484","7","864","7","871","","0","864","7","871","30","841","2","2","8","312","5","6","244","8","42","12","0","41","159","29.10.12"
"711045","195","Черкаська область","гуртожиток №33, актова зала
пров.Крупської, 2, м.Черкаси, 18008","2370","1255","2372","16","1105","10","1115","","0","1105","10","1115","57","1058","7","7","13","332","4","9","285","30","86","35","3","58","189","29.10.12"
"711046","195","Черкаська область","школа №8, фойє
вул.Смілянська, 88/2, м.Черкаси, 18008","1464","677","1460","8","781","6","787","","0","781","6","787","32","755","7","6","4","225","2","6","228","18","82","14","3","37","123","29.10.12"
"711047","195","Черкаська область","колегіум ""Берегиня"", фойє
вул.Хоменка, 14/1, м.Черкаси, 18008","2010","1112","1985","7","892","6","898","","0","892","6","898","25","873","3","3","7","317","4","6","173","23","80","26","1","60","170","29.10.12"
"711048","195","Черкаська область","колегіум ""Берегиня"", фойє, 2-й поверх
вул.Хоменка, 14/1, м.Черкаси, 18008","2238","1001","2218","5","1232","5","1237","","0","1232","5","1237","30","1207","7","4","9","402","2","6","361","23","56","30","5","52","250","29.10.12"
"711050","195","Черкаська область","школа №26, фойє, 1-й поверх
вул.Конєва, 15, м.Черкаси, 18029","2370","999","2346","9","1362","9","1371","","0","1362","9","1371","36","1335","5","2","8","520","5","4","320","30","97","37","5","67","235","29.10.12"
"711051","195","Черкаська область","школа №26, фойє, 2-й поверх
вул.Конєва, 15, м.Черкаси, 18029","2142","985","2119","7","1152","5","1157","","0","1152","5","1157","26","1131","9","2","5","375","1","4","315","18","81","47","4","62","208","29.10.12"
"711052","195","Черкаська область","школа №26, фойє, 3-й поверх
вул.Конєва, 15, м.Черкаси, 18029","2238","1059","2217","11","1173","6","1179","","0","1173","6","1179","42","1137","6","0","5","384","4","5","353","21","59","34","1","69","196","29.10.12"
"711053","195","Черкаська область","школа №30, фойє, 1-й поверх
вул.Маршала Батицького, 14, м.Черкаси, 18029","1902","799","1913","8","1095","8","1103","","0","1095","8","1103","46","1057","4","7","6","405","2","8","269","23","64","45","2","60","162","30.10.12"
"711054","195","Черкаська область","школа №30, фойє, 1-й поверх
вул.Маршала Батицького, 14, м.Черкаси, 18029","1914","812","1898","13","1090","12","1102","","0","1090","12","1102","32","1070","3","4","9","407","2","4","272","11","81","33","1","53","190","29.10.12"
"711055","195","Черкаська область","школа №30, фойє, 2-й поверх
вул.Маршала Батицького, 14, м.Черкаси, 18029","1770","748","1765","6","1016","6","1022","","0","1016","6","1022","34","988","2","5","8","397","6","7","254","10","49","21","2","65","162","29.10.12"
"711056","195","Черкаська область","Черкаський художньо-технічний коледж, актова зала
вул.Сумгаїтська, 13, м.Черкаси, 18029","2172","916","2159","8","1249","7","1256","","0","1248","7","1255","45","1210","9","2","10","382","7","10","315","15","43","46","4","115","252","30.10.12"
"711057","195","Черкаська область","Черкаський художньо-технічний коледж, фойє
вул.Сумгаїтська, 13, м.Черкаси, 18029","2304","1250","2273","5","1050","4","1054","","0","1050","4","1054","29","1025","1","4","7","324","6","4","310","20","29","29","3","69","219","29.10.12"
"711058","195","Черкаська область","спеціалізована школа №27, фойє, 1-й поверх
вул.Сумгаїтська, 22, м.Черкаси, 18032","2298","1014","2276","6","1278","6","1284","","0","1278","6","1284","36","1248","4","5","8","457","4","7","328","23","54","42","3","85","228","28.10.12"
"711059","195","Черкаська область","спеціалізована школа №27, фойє, 1-й поверх
вул.Сумгаїтська, 22, м.Черкаси, 18032","2358","962","2332","6","1394","2","1396","","0","1394","2","1396","47","1349","2","2","6","491","3","10","400","22","72","32","2","61","246","28.10.12"
"711060","195","Черкаська область","спеціалізована школа №28, фойє №1
вул.Гайдара, 3, м.Черкаси, 18028","2358","1022","2356","6","1332","4","1336","","0","1332","4","1336","51","1285","10","4","6","450","3","8","325","24","61","40","1","66","287","29.10.12"
"711061","195","Черкаська область","спеціалізована школа №28, фойє №2
вул.Гайдара, 3, м.Черкаси, 18028","2370","1003","2350","9","1358","9","1367","","0","1358","9","1367","34","1333","9","9","8","491","5","6","383","18","72","30","4","68","230","29.10.12"
"711062","195","Черкаська область","школа №32, спортивна зала старшої школи
вул.Гайдара, 10, м.Черкаси, 18028","2160","896","2141","6","1258","6","1264","","0","1257","6","1263","41","1222","2","3","11","443","3","9","270","21","67","59","6","39","289","28.10.12"
"711063","195","Черкаська область","школа №32, зала хореографії
вул.Гайдара, 10, м.Черкаси, 18024","2118","973","2102","7","1138","7","1145","","0","1138","7","1145","46","1099","2","6","8","371","6","7","295","18","52","47","3","48","236","29.10.12"
"711064","195","Черкаська область","школа №32, спортивна зала №2
вул.Гайдара, 10, м.Черкаси, 18024","1452","728","1428","1","723","1","724","","0","723","1","724","22","702","3","3","3","264","2","2","177","12","29","33","1","42","131","29.10.12"
"711065","195","Черкаська область","приміщення виробничого цеху Черкаситеплокомуненерго, спортивна зала
вул.Ярославська, 6, м.Черкаси, 18029","2262","1006","2237","9","1248","8","1256","","0","1248","8","1256","33","1223","10","3","6","396","4","9","334","28","76","46","3","74","234","29.10.12"
