"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Алєксєєва
Ірина
Володимирівна","Блажевич
Олександр
Петрович","Блажевич
Сергій
Петрович","Бобов
Геннадій
Борисович","Величенко
Микола
Максимович","Кекух
Віталій
Володимирович","Лішавський
Володимир
Гаврилович","Ляшенко
Юрій
Васильович","Маштепа
Олександр
Петрович","Педченко
Сергій
Іванович","Плосконос
Олексій
Олександрович","Пономаренко
Інна
Віталіївна","Сінгаєвський
Олександр
Миколайович","Яременко
Алла
Миколаївна","Дата підписання протоколу"
"710353","196","Черкаська область","Будинок культури, фойє
вул.Партизанська, 8, смт Стеблів, Корсунь-Шевченківський р-н, Черкаська обл., 19451","1008","390","998","52","578","40","618","","0","578","40","618","14","604","5","1","2","332","2","2","1","1","51","12","0","1","193","1","29.10.12"
"710354","196","Черкаська область","Клуб Стеблівської бавовняної прядильно-ткацької фабрики, фойє
вул.І. Нечуя-Левицького, 74, смт Стеблів, Корсунь-Шевченківський р-н, Черкаська обл., 19451","588","235","582","13","343","10","353","","0","343","10","353","12","341","3","0","4","198","2","0","1","11","31","4","0","1","85","1","29.10.12"
"710355","196","Черкаська область","Клуб ТОВ ""Агрофірма""Корсунь"", актова зала
вул.Фурманова, 44, смт Стеблів, Корсунь-Шевченківський р-н, Черкаська обл., 19451","528","127","520","30","372","29","401","","0","372","29","401","6","395","1","1","0","242","2","2","4","9","46","6","1","1","78","2","29.10.12"
"710356","196","Черкаська область","Сільський будинок культури, фойє
вул.Польова, 37, с.Бровахи, Корсунь-Шевченківський р-н, Черкаська обл., 19420","372","44","367","69","263","65","328","","0","263","65","328","9","319","1","0","3","180","0","0","2","2","7","4","1","0","118","1","28.10.12"
"710357","196","Черкаська область","Сільський будинок культури, фойє
вул.Перемоги, 9, с.Виграїв, Корсунь-Шевченківський р-н, Черкаська обл., 19416","380","101","376","48","237","42","279","","0","237","42","279","5","274","1","2","4","161","1","1","0","6","15","8","0","12","63","0","28.10.12"
"710358","196","Черкаська область","Сільський клуб, глядацька зала
вул.Піщана, 2, с.Переможинці, Корсунь-Шевченківський р-н, Черкаська обл., 19440","384","104","378","45","238","42","280","","0","238","42","280","5","275","4","0","2","170","0","1","0","4","22","19","0","3","48","2","28.10.12"
"710359","196","Черкаська область","Сільський будинок культури, хол
вул.Леніна, 28, с.Дацьки, Корсунь-Шевченківський р-н, Черкаська обл., 19441","216","70","214","18","129","17","146","","0","129","17","146","4","142","2","0","2","63","2","0","0","4","20","22","0","1","25","1","29.10.12"
"710360","196","Черкаська область","Сільський клуб, хол
вул.Чіковані, 24, с.Яблунівка, Корсунь-Шевченківський р-н, Черкаська обл., 19442","408","140","402","27","242","26","268","","0","242","26","268","5","263","2","0","2","153","0","0","0","6","12","4","1","4","79","0","29.10.12"
"710361","196","Черкаська область","Сільський будинок культури, актова зала
вул.Лісова, 2, с.Деренковець, Корсунь-Шевченківський р-н, Черкаська обл., 19430","640","209","636","41","392","39","431","","0","392","39","431","10","421","7","1","2","160","5","2","2","5","65","12","1","4","153","2","29.10.12"
"710362","196","Черкаська область","Сільський клуб, фойє
вул.Радянська, 126, с.Деренковець, Корсунь-Шевченківський р-н, Черкаська обл., 19430","568","198","562","26","344","26","370","","0","344","26","370","13","357","5","6","3","150","5","0","1","12","40","7","2","5","119","2","28.10.12"
"710363","196","Черкаська область","Сільський будинок культури, фойє
вул.Леніна, 7А, с.Драбівка, Корсунь-Шевченківський р-н, Черкаська обл., 19426","1008","381","996","84","559","68","627","","0","559","68","627","23","604","13","3","9","297","4","3","10","27","59","19","1","5","151","3","28.10.12"
"710364","196","Черкаська область","Сільський будинок культури, фойє
вул.Леніна, 36, с.Завадівка, Корсунь-Шевченківський р-н, Черкаська обл., 19433","576","198","573","34","345","33","378","","0","345","33","378","11","367","5","1","5","182","3","2","3","15","41","9","1","5","91","4","28.10.12"
"710365","196","Черкаська область","Сільський будинок культури, фойє
вул.Богуславська, 1А, с.Заріччя, Корсунь-Шевченківський р-н, Черкаська обл., 19450","444","86","437","36","323","35","358","","0","323","35","358","3","355","0","0","0","277","0","0","2","17","14","0","0","0","45","0","29.10.12"
"710366","196","Черкаська область","Колишня сільська бібліотека, читацька зала
вул.Ковалівська, 2, с.Склименці, Корсунь-Шевченківський р-н, Черкаська обл., 19450","140","15","136","12","113","12","125","","0","113","12","125","4","121","1","0","1","93","0","0","1","4","7","4","0","0","10","0","28.10.12"
"710367","196","Черкаська область","Сільський клуб, фойє
вул.Росьова, 31Б, с.Миколаївка, Корсунь-Шевченківський р-н, Черкаська обл., 19450","148","17","147","32","99","32","131","","0","99","32","131","0","131","0","0","3","115","1","0","0","0","2","0","0","0","10","0","28.10.12"
"710368","196","Черкаська область","Сільський будинок культури, фойє
вул.Леніна, 1, с.Квітки, Корсунь-Шевченківський р-н, Черкаська обл., 19466","884","334","881","55","500","50","550","","0","500","50","550","17","533","11","0","4","319","2","1","1","10","95","19","0","1","68","2","29.10.12"
"710369","196","Черкаська область","Сільський будинок культури, фойє
вул.Пархоменка, 60А, с.Кичинці, Корсунь-Шевченківський р-н, Черкаська обл., 19414","260","60","259","25","179","21","200","","0","179","21","200","3","197","1","0","1","140","2","0","3","3","8","3","0","4","32","0","28.10.12"
"710370","196","Черкаська область","Сільський будинок культури, фойє
вул.Шкільна, 2, с.Кірове, Корсунь-Шевченківський р-н, Черкаська обл., 19421","424","52","430","61","311","61","372","","0","311","61","372","8","364","1","0","2","189","2","0","1","2","21","47","0","5","92","2","29.10.12"
"710371","196","Черкаська область","Навчально-виховний комплекс, їдальня
вул.Новікова, 10, с.Комарівка, Корсунь-Шевченківський р-н, Черкаська обл., 19455","264","35","262","25","208","21","229","","0","208","21","229","1","228","1","0","3","169","0","0","0","3","1","4","0","2","42","3","29.10.12"
"710372","196","Черкаська область","Сільський клуб, концертна зала
вул.Леніна, 18, с.Хильки, Корсунь-Шевченківський р-н, Черкаська обл., 19455","128","22","125","20","86","20","106","","0","86","20","106","3","103","0","0","0","91","0","0","0","1","1","2","0","0","8","0","28.10.12"
"710373","196","Черкаська область","Адмінприміщення сільської ради, актова зала, 1-й поверх
вул.Леніна, 45, с.Кошмак, Корсунь-Шевченківський р-н, Черкаська обл., 19432","316","98","311","46","176","42","218","","0","176","42","218","1","217","3","1","0","72","2","0","1","3","41","35","0","3","55","1","29.10.12"
"710374","196","Черкаська область","Колишній дитячий садочок, святкова зала
вул.Перемоги, 45, с.Глушки, Корсунь-Шевченківський р-н, Черкаська обл., 19432","112","22","109","14","76","14","90","","0","76","14","90","1","89","0","2","0","27","1","1","0","0","16","5","0","0","37","0","29.10.12"
"710375","196","Черкаська область","школа, актова зала
вул.Шкільна, 11, с.Моринці, Корсунь-Шевченківський р-н, Черкаська обл., 19413","180","20","182","14","149","11","160","","0","149","11","160","2","158","2","0","0","80","0","0","1","1","6","21","0","1","46","0","28.10.12"
"710376","196","Черкаська область","Приміщення СТОВ ""Нива"", зала засідань
вул.Шевченка, 21, с.Ситники, Корсунь-Шевченківський р-н, Черкаська обл., 19413","268","91","264","29","153","24","177","","0","153","24","177","0","177","5","1","2","96","0","2","1","8","15","7","0","0","39","1","29.10.12"
"710377","196","Черкаська область","Сільський будинок культури, обрядова зала
вул.Леніна, 168, с.Нетеребка, Корсунь-Шевченківський р-н, Черкаська обл., 19422","944","252","946","74","622","70","692","","12","622","70","692","17","675","8","0","7","387","4","0","7","6","85","7","0","2","158","4","28.10.12"
"710378","196","Черкаська область","Сільський клуб, фойє
вул.Леніна, 102, с.Набутів, Корсунь-Шевченківський р-н, Черкаська обл., 19425","636","224","649","70","356","56","412","","0","356","56","412","8","404","10","0","2","176","1","1","12","16","57","2","0","3","123","1","29.10.12"
"710379","196","Черкаська область","сільська рада, зала засідання
вул.Перемоги, 68, с.Петрушки, Корсунь-Шевченківський р-н, Черкаська обл., 19434","380","124","381","39","220","36","256","","0","220","36","256","3","253","6","2","0","176","2","1","0","3","9","19","0","1","34","0","29.10.12"
"710380","196","Черкаська область","Сільський будинок культури, танцювальна зала
вул.Комсомольська, 16А, с.Листвина, Корсунь-Шевченківський р-н, Черкаська обл., 19435","476","165","467","28","285","26","311","","0","285","26","311","8","303","4","1","1","103","1","1","2","3","30","45","0","2","110","0","28.10.12"
"710381","196","Черкаська область","Сільський будинок культури, глядацька зала
вул.Молодіжна, 5, с.Пішки, Корсунь-Шевченківський р-н, Черкаська обл., 19410","268","74","263","35","164","30","194","","0","164","30","194","8","186","1","1","1","83","2","0","4","10","5","9","0","2","68","0","29.10.12"
"710382","196","Черкаська область","Сільський клуб, фойє
вул.Лісова, 79, с.Нехворощ, Корсунь-Шевченківський р-н, Черкаська обл., 19410","108","28","109","20","63","17","80","","0","63","17","80","2","78","0","0","0","41","0","0","0","2","4","6","0","0","25","0","29.10.12"
"710383","196","Черкаська область","Сільський будинок культури, зала
вул.Леніна, 230, с.Сахнівка, Корсунь-Шевченківський р-н, Черкаська обл., 19424","1064","359","1049","106","611","94","705","","1","610","94","704","23","681","10","1","6","334","3","1","15","63","12","2","3","1","225","5","29.10.12"
"710384","196","Черкаська область","Сільський будинок культури, фойє
вул.Леніна, 19, с.Селище, Корсунь-Шевченківський р-н, Черкаська обл., 19443","1144","94","1125","105","946","104","1050","","0","946","104","1050","1","1049","0","1","2","956","0","1","0","2","11","10","1","1","64","0","28.10.12"
"710385","196","Черкаська область","Сільський клуб, фойє
вул.Шевченка, 53, с.Тараща, Корсунь-Шевченківський р-н, Черкаська обл., 19444","224","28","220","44","152","44","196","","0","152","44","196","0","196","1","0","0","163","1","0","1","0","10","1","1","0","18","0","28.10.12"
"710386","196","Черкаська область","Сільський будинок культури, фойє
вул.Шевченка, 36, с.Гута-Селицька, Корсунь-Шевченківський р-н, Черкаська обл., 19443","108","12","106","17","79","17","96","","0","79","17","96","2","94","1","0","0","83","0","0","0","0","1","4","0","0","4","1","28.10.12"
"710387","196","Черкаська область","Сільський будинок культури, фойє
вул.Марченка, 2, с.Сидорівка, Корсунь-Шевченківський р-н, Черкаська обл., 19452","544","154","534","46","348","42","390","","0","348","42","390","5","385","3","2","0","231","0","1","1","4","3","2","2","2","132","2","28.10.12"
"710388","196","Черкаська область","Сільський клуб, актова зала
вул.Ювілейна, 5, с.Скрипчинці, Корсунь-Шевченківський р-н, Черкаська обл., 19452","176","25","172","24","127","24","151","","0","127","24","151","0","151","0","0","0","122","1","0","0","4","1","3","0","1","19","0","28.10.12"
"710389","196","Черкаська область","Сільський будинку культури, зала
вул.Садова, 7, с.Сотники, Корсунь-Шевченківський р-н, Черкаська обл., 19415","304","63","303","30","213","28","241","","0","213","28","241","5","236","3","2","0","180","0","0","2","4","7","5","0","1","32","0","28.10.12"
"710390","196","Черкаська область","Сільського будинок культури, танцювальна зала
вул.Шевченка, 50А, с.Сухини, Корсунь-Шевченківський р-н, Черкаська обл., 19447","568","152","560","43","373","43","416","","0","373","43","416","9","407","0","0","4","243","3","0","1","27","7","32","0","1","86","3","28.10.12"
"710391","196","Черкаська область","Сільський будинок культури, фойє
вул.Шевченка, 46, с.Черепин, Корсунь-Шевченківський р-н, Черкаська обл., 19431","284","55","282","28","201","28","229","","0","201","28","229","9","220","5","1","7","118","0","0","7","1","22","6","0","5","42","6","28.10.12"
"710392","196","Черкаська область","Сільський клуб, фойє
вул.Грушевського, 11, с.Вільхівчик, Корсунь-Шевченківський р-н, Черкаська обл., 19431","168","48","170","20","100","20","120","","0","100","20","120","2","118","3","0","3","79","1","0","3","0","14","2","0","0","13","0","28.10.12"
"710393","196","Черкаська область","Сільський клуб, актова зала
вул.Центральна, 5, с.Карашина, Корсунь-Шевченківський р-н, Черкаська обл., 19430","480","211","466","24","248","21","269","","0","248","21","269","5","264","3","0","1","92","2","0","0","9","55","12","0","2","87","1","29.10.12"
"710394","196","Черкаська область","Сільський будинок культури, зала урочистих подій
вул.Леніна, 109, с.Шендерівка, Корсунь-Шевченківський р-н, Черкаська обл., 19453","632","142","629","58","436","54","490","","0","436","54","490","5","485","0","0","9","361","4","0","0","0","5","1","0","0","105","0","28.10.12"
"710395","196","Черкаська область","Відділення зв’язку, операційна зала
вул.Дзержинського, 13, с.Нова Буда, Корсунь-Шевченківський р-н, Черкаська обл., 19453","88","26","85","11","52","10","62","","0","52","10","62","0","62","0","0","0","58","0","0","0","0","0","0","0","0","4","0","28.10.12"
"710396","196","Черкаська область","Корсунь-Шевченківська центральна районна лікарня, актова зала, підвал
вул.Леніна, 120, м.Корсунь-Шевченківський, Корсунь-Шевченківський р-н, Черкаська обл., 19400","224","176","62","14","37","11","48","","0","37","11","48","0","48","1","0","0","19","0","0","0","0","4","3","1","1","18","1","28.10.12"
"710403","196","Черкаська область","адмінбудинок, зал
вул.Миру, 56А, с.Будище, Лисянський р-н, Черкаська обл., 19323","408","93","404","36","279","36","315","","0","279","36","315","3","312","4","0","5","210","0","1","0","7","12","7","3","1","60","2","28.10.12"
"710404","196","Черкаська область","сільський клуб, фойє
вул.Садова, 6А, с.Орли, Лисянський р-н, Черкаська обл., 19323","208","50","207","13","145","13","158","","0","145","13","158","2","156","1","0","3","55","4","0","0","5","0","9","0","1","76","2","28.10.12"
"710411","196","Черкаська область","будинок культури, зал
вул.Леніна, 50А, с.Журжинці, Лисянський р-н, Черкаська обл., 19321","608","193","605","38","381","34","415","","0","381","34","415","16","399","4","1","4","247","1","1","2","16","5","4","0","0","114","0","28.10.12"
"710412","196","Черкаська область","сільський клуб, зал
вул.Чкалова, 12, с.Петрівська Гута, Лисянський р-н, Черкаська обл., 19321","120","27","118","8","85","8","93","","0","85","8","93","2","91","0","0","2","53","1","0","0","5","2","6","1","2","19","0","28.10.12"
"710420","196","Черкаська область","школа, фойє
вул.Шкільна, 8, с.Почапинці, Лисянський р-н, Черкаська обл., 19322","928","334","920","84","515","79","594","","0","515","79","594","14","580","5","1","3","314","4","5","2","15","45","12","3","1","169","1","28.10.12"
"710421","196","Черкаська область","сільський клуб, зал
вул.Центральна, 8, с.Верещаки, Лисянський р-н, Черкаська обл., 19322","180","55","175","18","110","15","125","","0","110","15","125","6","119","1","0","3","56","2","0","1","4","0","4","1","0","47","0","28.10.12"
"710433","196","Черкаська область","будинок культури, зал
вул.Березина, 60, с.Шестеринці, Лисянський р-н, Черкаська обл., 19324","292","72","292","11","211","9","220","","0","211","9","220","2","218","1","0","2","167","1","2","0","6","0","4","0","1","33","1","28.10.12"
"710563","196","Черкаська область","сільський будинок культури, фойє
вул.Садова, 9, с.Білашки, Тальнівський р-н, Черкаська обл., 20433","552","142","549","9","401","9","410","","0","401","9","410","16","394","6","1","3","161","3","2","2","8","13","25","1","1","167","1","28.10.12"
"710564","196","Черкаська область","сільський клуб, фойє
вул.Самойлова, 2Б, с-ще Левада, Тальнівський р-н, Черкаська обл., 20433","196","71","197","1","124","1","125","","0","124","1","125","3","122","0","0","0","63","2","1","1","1","8","8","0","1","36","1","28.10.12"
"710565","196","Черкаська область","сільський будинок культури, глядацька зала
вул.Віті Проценка, 40А, с.Веселий Кут, Тальнівський р-н, Черкаська обл., 20414","428","132","422","1","296","0","296","","0","296","0","296","15","281","7","1","4","105","8","1","1","12","46","10","5","2","77","2","28.10.12"
"710567","196","Черкаська область","загальноосвітня школа, актова зала
вул.Леніна, 23А, с.Глибочок, Тальнівський р-н, Черкаська обл., 20440","520","199","515","8","314","7","321","","0","314","7","321","7","314","7","5","8","74","9","0","5","16","20","7","0","5","156","2","29.10.12"
"710569","196","Черкаська область","сільський клуб, глядацька зала
вул.Леніна, 56, с.Заліське, Тальнівський р-н, Черкаська обл., 20420","500","127","497","19","354","19","373","","0","354","19","373","4","369","4","0","3","255","2","2","0","12","11","8","0","2","67","3","28.10.12"
"710570","196","Черкаська область","сільська рада, фойє
вул.Дубковецького, 36, с-ще Здобуток Жовтня, Тальнівський р-н, Черкаська обл., 20409","528","186","523","2","340","2","342","","0","340","2","342","13","329","3","2","7","154","5","1","4","18","20","12","3","2","91","7","28.10.12"
"710571","196","Черкаська область","сільський будинок культури, фойє
вул.Шевченка, 4, с.Зеленьків, Тальнівський р-н, Черкаська обл., 20443","812","278","802","26","509","25","534","","0","509","25","534","23","511","9","2","13","165","8","4","4","19","23","11","0","9","237","7","29.10.12"
"710572","196","Черкаська область","сільський будинок культури, глядацька зала
вул.Леніна, 63, с.Кобринове, Тальнівський р-н, Черкаська обл., 20421","556","186","549","23","347","23","370","","0","347","23","370","8","362","2","2","5","188","3","0","2","17","18","8","4","3","110","0","28.10.12"
"710573","196","Черкаська область","сільська рада, зала засідань
вул.Жовтнева, 8, с.Кобринова Гребля, Тальнівський р-н, Черкаська обл., 20422","364","79","361","5","280","5","285","","0","280","5","285","13","272","0","2","15","122","5","2","0","11","20","3","0","1","87","4","28.10.12"
"710574","196","Черкаська область","сільський клуб, фойє
вул.Радянська, 73, с.Антонівка, Тальнівський р-н, Черкаська обл., 20422","232","55","228","2","175","2","177","","0","175","2","177","6","171","0","0","0","109","0","0","0","11","15","1","0","2","32","1","29.10.12"
"710575","196","Черкаська область","сільський будинок культури, фойє
вул.Леніна, будинок культури, с.Колодисте, Тальнівський р-н, Черкаська обл., 20450","544","170","541","4","370","4","374","","0","370","4","374","16","358","3","1","2","110","3","2","0","17","23","15","1","3","177","1","29.10.12"
"710576","196","Черкаська область","сільський будинок культури, фойє
вул.Миру, 1, с.Корсунка, Тальнівський р-н, Черкаська обл., 20441","320","110","317","8","202","8","210","","0","202","8","210","7","203","2","3","3","89","2","2","0","3","23","9","0","1","65","1","29.10.12"
"710577","196","Черкаська область","сільський клуб, глядацька зала
вул.Жовтнева, 39, с.Довгеньке, Тальнівський р-н, Черкаська обл., 20441","124","33","121","6","85","6","91","","0","85","6","91","1","90","1","0","1","24","1","0","1","5","14","4","0","0","39","0","28.10.12"
"710578","196","Черкаська область","навчально-виховний комплекс, спортивна зала
вул.Мазепи, 23А, с.Криві Коліна, Тальнівський р-н, Черкаська обл., 20451","536","161","531","18","358","17","375","","0","358","17","375","6","369","3","0","3","260","3","0","1","14","9","5","0","2","68","1","28.10.12"
"710579","196","Черкаська область","сільський клуб, глядацька зала
вул.Максима Залізняка, 16Б, с.Чеснопіль, Тальнівський р-н, Черкаська обл., 20451","88","14","92","6","68","6","74","","0","68","6","74","1","73","0","0","2","45","0","1","0","4","1","1","0","0","19","0","28.10.12"
"710582","196","Черкаська область","сільський будинок культури, фойє
вул.Куклича, 90, с.Лісове, Тальнівський р-н, Черкаська обл., 20410","744","273","733","16","456","15","471","","0","456","15","471","23","448","7","4","13","245","9","0","2","26","32","5","1","3","96","5","28.10.12"
"710583","196","Черкаська область","загальноосвітня школа, спортивна зала
вул.Кошового, 26, с.Піщана, Тальнівський р-н, Черкаська обл., 20453","504","211","500","6","287","6","293","","0","287","6","293","13","280","4","0","1","72","3","0","3","26","10","2","3","2","151","3","28.10.12"
"710584","196","Черкаська область","сільський будинок культури, глядацька зала
вул.Леніна, 19, с.Майданецьке, Тальнівський р-н, Черкаська обл., 20442","1592","739","1581","7","847","6","853","","0","847","6","853","23","830","20","2","11","216","22","5","8","39","60","15","4","18","389","21","28.10.12"
"710585","196","Черкаська область","сільський клуб, фойє
вул.Майданецька, 1, с-ще Новомайданецьке, Тальнівський р-н, Черкаська обл., 20442","196","76","194","0","120","0","120","","0","120","0","120","3","117","2","1","2","36","2","1","1","7","21","1","1","1","39","2","28.10.12"
"710587","196","Черкаська область","будинок культури, глядацька зала
вул.Шкільна, будинок культури, с.Онопріївка, Тальнівський р-н, Черкаська обл., 20412","576","192","569","8","376","8","384","","0","376","8","384","15","369","4","1","6","154","3","0","0","21","11","6","0","0","162","1","28.10.12"
"710588","196","Черкаська область","сільський клуб, глядацька зала
вул.Радянська, 21А, с.Павлівка Друга, Тальнівський р-н, Черкаська обл., 20412","96","32","92","0","64","0","64","","0","64","0","64","3","61","0","0","2","29","0","0","0","3","0","3","0","0","23","1","28.10.12"
"710589","196","Черкаська область","сільський будинок культури, фойє
вул.Довжука, 105, с.Павлівка Перша, Тальнівський р-н, Черкаська обл., 20454","504","164","496","3","337","3","340","","0","337","3","340","5","335","1","0","6","200","5","2","2","10","20","6","2","2","75","4","28.10.12"
"710590","196","Черкаська область","сільський будинок культури, фойє
вул.8 Березня, 2, с.Папужинці, Тальнівський р-н, Черкаська обл., 20413","432","107","429","0","325","0","325","","0","325","0","325","10","315","2","3","6","109","2","0","0","17","22","9","1","3","136","5","28.10.12"
