"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Вовк
Віктор
Іванович","Губський
Богдан
Володимирович","Дарійчук
Дарина
Володимирівна","Даценко
Леонід
Миколайович","Довгаль
Сергій
Миколайович","Замідра
Сергій
Володимирович","Кібальник
Олексій
Павлович","Корж
Віктор
Петрович","Корчовий
Юрій
Олександрович","Костогриз
Іван
Іванович","Липкань
Микола
Борисович","Малиновський
Олексій
Петрович","Маліков
Олександр
Володимирович","Матюша
Володимир
Миколайович","Орленко
Віктор
Юрійович","Педченко
Михайло
Вікторович","Полях
Віталій
Іванович","Свічинський
Василь
Миколайович","Фесенко
Руслан
Сергійович","Філіпенко
Павло
Сергійович","Дата підписання протоколу"
"710174","197","Черкаська область","школа, актова зала
вул.Космонавтів, 14, с.Антипівка, Золотоніський р-н, Черкаська обл., 19733","608","239","600","37","337","32","369","","0","337","32","369","16","353","3","87","2","63","5","1","67","58","2","28","0","1","0","0","2","18","9","0","2","5","29.10.12"
"710175","197","Черкаська область","психо-неврологічний інтернат, актова зала
вул.Монастирська, 3, с.Бакаївка, Золотоніський р-н, Черкаська обл., 19733","256","55","260","39","163","38","201","","0","163","38","201","30","171","3","50","2","21","3","0","3","84","0","0","1","2","0","2","0","0","0","0","0","0","29.10.12"
"710176","197","Черкаська область","сільська рада, актова зала
вул.Шевченка, 1, с.Богдани, Золотоніський р-н, Черкаська обл., 19710","380","120","378","44","219","41","260","","0","219","41","260","10","250","5","102","3","52","5","1","22","24","2","8","0","8","0","0","0","1","9","2","2","4","28.10.12"
"710177","197","Черкаська область","школа, рекреація
вул.Максимовича, 2, с.Богуславець, Золотоніський р-н, Черкаська обл., 19762","648","249","644","58","355","44","399","","0","355","44","399","9","390","3","116","2","91","1","0","23","92","1","24","0","0","1","1","0","4","16","2","1","12","29.10.12"
"710178","197","Черкаська область","будинок культури, фойє
вул.Комсомольська, 16, с.Броварки, Золотоніський р-н, Черкаська обл., 19712","272","63","269","21","188","21","209","","0","188","21","209","5","204","1","114","2","34","4","0","1","35","0","6","0","1","0","2","0","1","0","0","0","3","28.10.12"
"710179","197","Черкаська область","магазин ПП Іщенко О.Д., торгівельна зала
вул.Малинівська, 41, с-ще Малинівщина, Золотоніський р-н, Черкаська обл., 19712","100","21","96","12","68","11","79","","0","68","11","79","0","79","0","42","1","11","1","0","1","18","0","4","0","0","0","0","0","0","0","0","1","0","28.10.12"
"710180","197","Черкаська область","сільська рада, фойє
вул.Бичковського, 1, с.Бубнівська Слобідка, Золотоніський р-н, Черкаська обл., 19750","992","338","984","96","572","82","654","","0","572","82","654","15","639","4","132","4","377","1","3","13","47","1","13","1","1","0","1","1","2","22","0","1","15","29.10.12"
"710181","197","Черкаська область","сільський клуб, фойє
вул.Леніна, 40, с.Вільхи, Золотоніський р-н, Черкаська обл., 19736","764","255","755","80","429","80","509","","0","429","80","509","14","495","7","146","1","136","4","1","27","94","0","22","3","1","0","2","3","2","16","0","3","27","28.10.12"
"710182","197","Черкаська область","будинок культури, актова зала
вул.Вишнева, 2, с.Вознесенське, Золотоніський р-н, Черкаська обл., 19741","1808","879","1790","142","851","78","929","","0","851","78","929","15","914","11","209","3","149","3","2","38","284","3","178","3","0","1","2","3","2","8","1","0","14","04.11.12"
"710183","197","Черкаська область","будинок культури, фойє
вул.Заводська, 2А, с-ще Пальміра, Золотоніський р-н, Черкаська обл., 19742","1392","583","1384","39","782","27","809","","0","782","27","809","22","787","13","197","4","267","1","2","62","74","0","88","0","4","4","5","5","3","12","1","2","43","04.11.12"
"710184","197","Черкаська область","будинок дитячої творчості, актова зала
вул.Леніна, 4, с.Гельмязів, Золотоніський р-н, Черкаська обл., 19715","1480","624","1468","91","781","75","856","","0","781","75","856","18","838","17","206","11","333","3","5","44","123","4","24","1","9","2","2","1","1","17","3","3","29","30.10.12"
"710185","197","Черкаська область","школа, фойє
вул.Корольова, 6, с.Гельмязів, Золотоніський р-н, Черкаська обл., 19715","1556","684","1545","213","709","163","872","","0","709","163","872","23","849","15","228","9","308","7","4","36","134","6","31","2","14","4","2","4","5","7","1","4","28","29.10.12"
"710186","197","Черкаська область","сільська рада, актова зала
вул.Леніна, 1, с.Гельмязів, Золотоніський р-н, Черкаська обл., 19715","836","388","831","57","398","50","448","","0","398","50","448","0","448","1","185","0","180","0","0","7","62","0","5","0","1","0","0","0","0","1","0","0","6","29.10.12"
"710187","197","Черкаська область","будинок культури, акторська кімната
вул.Леніна, 5А, с.Гладківщина, Золотоніський р-н, Черкаська обл., 19720","768","224","757","41","506","38","544","","0","506","38","544","10","534","15","131","2","174","0","2","5","164","0","13","0","1","0","0","4","1","7","3","0","12","29.10.12"
"710188","197","Черкаська область","ТОВ ""Гладківщинське ХПП"", зала
вул.Жовтнева, 1, с-ще Гладківщина, Золотоніський р-н, Черкаська обл., 19720","88","14","95","10","64","10","74","","0","64","10","74","2","72","0","24","0","8","0","0","1","30","1","4","0","0","0","0","0","0","1","0","1","2","28.10.12"
"710189","197","Черкаська область","будинок культури, фойє
вул.Кірова, 125, с.Деньги, Золотоніський р-н, Черкаська обл., 19770","976","360","971","107","517","99","616","","0","517","99","616","12","604","17","254","2","156","2","2","10","84","3","15","6","3","0","2","2","2","22","1","1","20","29.10.12"
"710190","197","Черкаська область","сільський клуб, фойє
вул.Щорса, 18, с.Хвильово-Сорочин, Золотоніський р-н, Черкаська обл., 19771","256","79","254","21","157","20","177","","0","157","20","177","7","170","2","75","0","39","1","0","10","17","0","11","0","0","1","1","0","2","4","0","1","6","28.10.12"
"710191","197","Черкаська область","будинок культури, фойє
вул.Баранника, 56, с.Дмитрівка, Золотоніський р-н, Черкаська обл., 19751","996","287","984","119","590","119","709","","0","590","119","709","12","697","9","214","8","201","1","0","24","174","3","22","3","2","0","5","4","2","11","1","1","12","28.10.12"
"710192","197","Черкаська область","сільський клуб, фойє
вул.Шевченка, 40, с.Матвіївка, Золотоніський р-н, Черкаська обл., 19751","64","14","64","7","43","7","50","","0","43","7","50","1","49","1","30","0","3","0","0","2","7","0","2","0","0","0","0","0","0","2","1","0","1","28.10.12"
"710193","197","Черкаська область","будинок культури, фойє
вул.Леніна, 26, с.Домантове, Золотоніський р-н, Черкаська обл., 19754","1664","628","1658","131","907","129","1036","","0","907","129","1036","31","1005","11","287","6","331","1","0","58","111","3","91","2","4","1","1","3","3","38","0","3","51","03.11.12"
"710194","197","Черкаська область","школа, їдальня
вул.Леніна, 15, с.Драбівці, Золотоніський р-н, Черкаська обл., 19731","732","258","720","65","416","58","474","","0","416","58","474","0","474","2","194","1","123","0","1","5","112","2","30","0","1","0","0","0","0","1","0","0","2","29.10.12"
"710195","197","Черкаська область","центр культури і дозвілля, загальна зала
вул.Комунарівська, 64, с.Маркізівка, Золотоніський р-н, Черкаська обл., 19731","124","17","127","15","93","14","107","","0","93","14","107","0","107","0","26","1","15","0","0","4","49","0","2","0","3","0","0","0","0","2","1","0","4","28.10.12"
"710196","197","Черкаська область","будинок культури, актова зала
вул.Ростанців, 3, с.Зорівка, Золотоніський р-н, Черкаська обл., 19740","620","211","608","66","355","54","409","","0","355","54","409","16","393","4","74","2","138","0","1","50","92","1","9","1","0","0","0","1","0","6","3","0","11","28.10.12"
"710197","197","Черкаська область","фельдшерський пункт, хол
пров.Слави, 4, с.Чернещина, Золотоніський р-н, Черкаська обл., 19740","228","63","230","30","140","25","165","","0","140","25","165","4","161","2","44","2","42","1","0","10","48","1","3","0","2","0","0","0","0","5","0","0","1","28.10.12"
"710198","197","Черкаська область","школа, хол
вул.Леніна, 3, с.Коврай, Золотоніський р-н, Черкаська обл., 19722","572","183","559","79","316","73","389","","0","316","73","389","6","383","12","169","0","88","1","4","25","57","0","9","0","4","1","0","2","1","7","0","0","3","04.11.12"
"710199","197","Черкаська область","сільський клуб, актова зала
вул.Жовтнева, 77, с.Коврай Другий, Золотоніський р-н, Черкаська обл., 19722","348","69","341","61","225","54","279","","0","225","54","279","3","276","0","53","1","115","3","0","14","66","1","14","1","0","0","0","0","0","4","0","0","4","28.10.12"
"710200","197","Черкаська область","школа, фойє
вул.Супійська, 1, с.Каленики, Золотоніський р-н, Черкаська обл., 19711","396","88","390","38","277","31","308","","0","277","31","308","3","305","2","96","1","95","1","15","17","50","0","18","0","2","0","1","2","0","2","0","0","3","28.10.12"
"710201","197","Черкаська область","магазин Золотоніського РАЙСТ, торгівельна зала
вул.Вишнева, 13, с-ще Ковтунівка, Золотоніський р-н, Черкаська обл., 19711","84","8","81","12","64","12","76","","0","64","12","76","2","74","0","23","1","24","0","4","5","8","0","4","0","4","0","0","0","0","0","0","0","1","04.11.12"
"710202","197","Черкаська область","сільська рада, актова зала
вул.А.Дерев’янка, 38, с.Ковтуни, Золотоніський р-н, Черкаська обл., 19732","456","185","452","34","242","29","271","","0","242","29","271","8","263","1","91","2","88","0","0","12","34","1","13","0","5","1","1","0","0","8","0","0","6","29.10.12"
"710203","197","Черкаська область","фельдшерський пункт, кімната фельдшера
вул.Шевченка, 1А, с.Мицалівка, Золотоніський р-н, Черкаська обл., 19732","208","55","203","40","116","37","153","","0","116","37","153","2","151","1","56","0","52","1","1","12","12","0","8","2","0","0","0","1","0","1","2","0","2","30.10.12"
"710204","197","Черкаська область","сільська рада, обрядова зала
вул.Іняшова, 6, с.Коробівка, Золотоніський р-н, Черкаська обл., 19772","928","339","920","91","506","83","589","","0","506","83","589","11","578","13","232","3","164","2","0","25","52","1","28","0","2","1","1","1","1","12","1","2","37","29.10.12"
"710205","197","Черкаська область","фельдшерський пункт, бібліотека
вул.Шевченка, 67А, с.Кедина Гора, Золотоніський р-н, Черкаська обл., 19773","292","69","288","28","195","28","223","","0","195","28","223","5","218","15","81","0","62","1","0","10","20","2","1","0","4","1","2","0","0","4","0","1","14","28.10.12"
"710206","197","Черкаська область","школа, фойє
вул.Воскобійника, 54, с.Кривоносівка, Золотоніський р-н, Черкаська обл., 19746","484","148","481","43","296","40","336","","0","296","40","336","13","323","6","130","1","59","2","0","12","50","1","16","0","3","1","1","0","0","29","0","1","11","04.11.12"
"710207","197","Черкаська область","будинок культури, хол
вул.Шкільна, 29, с.Кропивна, Золотоніський р-н, Черкаська обл., 19763","912","268","904","95","553","91","644","","0","553","91","644","20","624","4","173","7","257","0","0","31","104","0","19","0","3","0","0","0","0","13","0","0","13","29.10.12"
"710208","197","Черкаська область","сільський клуб, фойє
вул.Радянська, 2, с.Маліївка, Золотоніський р-н, Черкаська обл., 19763","160","33","157","17","110","17","127","","0","110","17","127","3","124","0","47","1","33","1","0","1","18","0","13","0","5","0","0","0","0","1","1","0","3","29.10.12"
"710209","197","Черкаська область","фельдшерський пункт, хол
вул.Перемоги, 13, с.Щербинівка, Золотоніський р-н, Черкаська обл., 19763","176","45","174","25","106","25","131","","0","106","25","131","4","127","0","85","2","19","2","0","3","10","1","1","0","0","0","0","1","1","1","0","0","1","04.11.12"
"710210","197","Черкаська область","будинок культури, фойє
вул.Крупської, 26, с.Крупське, Золотоніський р-н, Черкаська обл., 19760","468","156","466","43","269","43","312","","0","269","43","312","9","303","0","152","2","79","2","0","8","33","0","10","0","2","1","1","0","0","9","0","1","3","28.10.12"
"710211","197","Черкаська область","школа, спортивна зала
вул.Леніна, 2, с.Хрущівка, Золотоніський р-н, Черкаська обл., 19745","796","272","792","78","463","61","524","","0","463","61","524","16","508","78","129","0","115","1","0","21","117","6","19","0","2","0","1","2","0","4","1","1","11","29.10.12"
"710212","197","Черкаська область","будинок культури, обрядова зала
вул.Центральна, 32, с.Нова Дмитрівка, Золотоніський р-н, Черкаська обл., 19734","1980","830","1962","64","1102","48","1150","","0","1102","48","1150","46","1104","37","315","10","400","3","1","85","106","0","12","1","0","2","5","5","11","23","1","3","84","29.10.12"
"710213","197","Черкаська область","сільський клуб, танцювальна зала
вул.Леніна, 1, с.Мелесівка, Золотоніський р-н, Черкаська обл., 19735","428","134","434","28","266","28","294","","0","266","28","294","6","288","6","100","1","68","1","2","8","65","0","13","0","4","0","0","1","0","9","0","1","9","04.11.12"
"710214","197","Черкаська область","сільський клуб, фойє
вул.Освіти, 3, с-ще Дібрівка, Золотоніський р-н, Черкаська обл., 19736","188","67","184","4","117","4","121","","0","117","4","121","6","115","1","44","1","38","1","0","10","6","1","3","0","0","0","1","1","1","0","1","1","5","28.10.12"
"710215","197","Черкаська область","сільська рада, хол
вул.Гагаріна, 20, с.Підставки, Золотоніський р-н, Черкаська обл., 19713","448","100","442","31","321","27","348","","0","321","27","348","11","337","3","65","1","119","3","2","10","116","0","8","0","1","0","0","0","0","5","1","2","1","29.10.12"
"710216","197","Черкаська область","будинок культури, фойє
вул.Жовтнева, 21, с.Плешкані, Золотоніський р-н, Черкаська обл., 19714","500","138","493","46","316","46","362","","0","316","46","362","10","352","4","85","5","120","3","11","3","69","0","33","1","3","0","1","2","1","3","0","1","7","28.10.12"
"710217","197","Черкаська область","сільська рада, актова зала
вул.Леніна, 98А, с.Піщане, Золотоніський р-н, Черкаська обл., 19723","1604","813","1593","84","722","69","791","","0","722","69","791","20","771","17","281","7","298","1","0","26","65","2","20","0","5","0","5","3","0","14","0","0","27","29.10.12"
"710218","197","Черкаська область","будинок культури, фойє
вул.Леніна, 125А, с.Піщане, Золотоніський р-н, Черкаська обл., 19723","1264","598","1257","55","618","48","666","","0","618","48","666","13","653","11","215","4","281","4","0","19","60","1","12","0","2","1","1","0","4","11","1","2","24","28.10.12"
"710219","197","Черкаська область","фельдшерський пункт, фойє
вул.Коврайська, 90, с.Коврайські Хутори, Золотоніський р-н, Черкаська обл., 19724","152","43","148","28","81","28","109","","0","81","28","109","2","107","0","54","0","18","1","0","3","4","0","19","0","3","1","1","1","0","2","0","0","0","28.10.12"
"710220","197","Черкаська область","школа, фойє
вул.Першотравнева, 1, с.Подільське, Золотоніський р-н, Черкаська обл., 19725","632","245","621","38","352","35","387","","0","352","35","387","7","380","7","82","4","140","3","4","14","76","3","15","1","3","1","2","1","2","15","0","0","7","04.11.12"
"710221","197","Черкаська область","сільський клуб, актова зала
вул.Леніна, 4, с.Привітне, Золотоніський р-н, Черкаська обл., 19744","436","183","432","19","234","19","253","","0","234","19","253","12","241","1","87","1","36","1","0","3","44","2","40","1","9","1","0","2","0","5","2","0","6","28.10.12"
"710222","197","Черкаська область","будинок культури, фойє
вул.Шевченка, 16, с.Синьооківка, Золотоніський р-н, Черкаська обл., 19761","488","163","479","63","264","61","325","","0","264","61","325","5","320","4","129","3","56","1","0","13","43","0","56","0","5","0","0","2","1","2","3","1","1","29.10.12"
"710223","197","Черкаська область","будинок культури, танцювальна зала
вул.Леніна, 50, с.Скориківка, Золотоніський р-н, Черкаська обл., 19730","420","155","413","32","233","32","265","","0","233","32","265","6","259","1","127","1","51","1","0","7","27","0","23","0","0","0","0","0","0","4","0","0","17","28.10.12"
"710224","197","Черкаська область","бібліотека, читальна зала
вул.Комсомольська, 4, с.Львівка, Золотоніський р-н, Черкаська обл., 19730","200","44","195","22","134","22","156","","0","134","22","156","0","156","0","70","0","46","2","0","5","15","1","14","0","0","0","0","1","0","1","0","0","1","29.10.12"
"710225","197","Черкаська область","школа, актова зала
вул.Нова, 3, с.Софіївка, Золотоніський р-н, Черкаська обл., 19721","480","173","477","36","278","29","307","","0","278","29","307","6","301","3","105","0","78","3","3","9","67","2","13","0","2","1","0","0","1","7","0","2","5","29.10.12"
"710226","197","Черкаська область","управління водного господарства, актова зала
вул.Шевченка, 37, с.Чапаєвка, Золотоніський р-н, Черкаська обл., 19774","1196","524","1189","62","619","53","672","","0","619","53","672","21","651","21","230","5","139","3","0","44","68","3","21","2","9","1","4","1","0","25","1","2","72","29.10.12"
"710227","197","Черкаська область","будинок культури, фойє
пл.Леніна, 1, с.Чапаєвка, Золотоніський р-н, Черкаська обл., 19774","1368","636","1349","97","662","70","732","","0","662","70","732","22","710","48","266","1","139","1","2","41","83","3","20","5","2","2","4","3","1","40","0","2","47","29.10.12"
"710228","197","Черкаська область","школа, фойє
вул.Горького, 21, с.Шабельники, Золотоніський р-н, Черкаська обл., 19753","464","134","456","55","282","48","330","","0","282","48","330","7","323","3","98","2","129","3","0","2","33","2","29","1","4","0","2","0","0","6","0","2","7","03.11.12"
"710229","197","Черкаська область","сільський клуб, актова зала
вул.Леніна, 4, с.Нова Гребля, Золотоніський р-н, Черкаська обл., 19752","168","47","167","40","82","39","121","","0","82","39","121","0","121","2","50","0","29","1","0","4","24","0","2","3","2","0","1","1","0","1","0","0","1","03.11.12"
"710264","197","Черкаська область","школа, фойє, 1-й поверх
вул.Аліменкова, 17А, с.Бобриця, Канівський р-н, Черкаська обл., 19014","660","232","654","32","398","30","428","","0","398","30","428","12","416","5","103","3","168","29","0","3","52","0","11","1","16","1","0","1","0","2","1","1","19","29.10.12"
"710265","197","Черкаська область","приміщення колишнього магазину, торговий зал, 1-й поверх
вул.Бучацька, 11А, с.Студенець, Канівський р-н, Черкаська обл., 19014","148","33","148","24","92","23","115","","0","92","23","115","4","111","2","20","1","52","19","0","0","6","0","3","1","1","0","1","0","2","1","0","0","2","28.10.12"
"710267","197","Черкаська область","школа, каб.1, 1-й поверх
вул.Центральна, 41, с.Григорівка, Канівський р-н, Черкаська обл., 19010","252","61","248","36","160","31","191","","0","160","31","191","6","185","0","88","2","62","4","0","0","7","0","4","0","3","0","1","0","0","2","0","4","8","29.10.12"
"710268","197","Черкаська область","адмінбудинок, актова зала, 2-й поверх
вул.Леніна, 38, с.Грищинці, Канівський р-н, Черкаська обл., 19015","500","159","493","26","319","22","341","","0","319","22","341","5","336","5","89","2","143","3","0","6","44","0","14","1","10","0","2","0","2","4","0","2","9","29.10.12"
"710269","197","Черкаська область","будинок культури, актова зала, 1-й поверх
вул.Гайдара, 48/1, с.Келеберда, Канівський р-н, Черкаська обл., 19022","856","346","846","41","475","35","510","","0","475","35","510","9","501","10","99","7","265","6","1","7","58","0","14","2","2","1","1","0","2","7","1","0","18","29.10.12"
"710270","197","Черкаська область","сільська рада, хол, 2-й поверх
вул.Миру, 1А, с.Козарівка, Канівський р-н, Черкаська обл., 19016","304","82","301","45","181","41","222","","0","181","41","222","3","219","2","75","3","77","2","0","2","38","0","8","0","7","0","0","0","0","1","0","0","4","28.10.12"
"710271","197","Черкаська область","будинок культури, актова зала, 1-й поверх
вул.Центральна, 34А, с.Синявка, Канівський р-н, Черкаська обл., 19016","208","91","206","10","107","10","117","","0","107","10","117","3","114","1","29","2","45","0","0","2","27","0","0","0","5","0","0","0","0","0","1","0","2","04.11.12"
"710272","197","Черкаська область","школа, фойє, 1-й поверх
вул.Садова, 145, с.Кононча, Канівський р-н, Черкаська обл., 19034","340","111","337","33","196","33","229","","0","196","33","229","6","223","1","89","1","72","1","0","1","32","0","5","0","10","0","0","0","1","0","1","2","7","28.10.12"
"710273","197","Черкаська область","будинок культури, актова зала, 1-й поверх
вул.Центральна, 25, с.Гамарня, Канівський р-н, Черкаська обл., 19034","236","84","152","20","132","20","152","","0","132","20","152","6","146","0","64","1","46","0","2","1","8","0","5","1","6","0","0","0","0","0","0","0","12","29.10.12"
"710275","197","Черкаська область","сільський клуб, актова зала, 1-й поверх
вул.Донцівська, 1, с.Курилівка, Канівський р-н, Черкаська обл., 19016","164","50","159","11","103","11","114","","0","103","11","114","5","109","1","20","1","56","0","0","0","17","1","0","0","2","0","0","0","0","2","0","0","9","28.10.12"
"710276","197","Черкаська область","сільська рада, актова зала, 1-й поверх
вул.Леніна, 2, с.Ліпляве, Канівський р-н, Черкаська обл., 19020","1032","453","1025","32","547","32","579","","0","547","32","579","15","564","15","145","5","260","9","1","19","44","3","20","1","1","0","5","1","2","5","1","2","25","29.10.12"
"710277","197","Черкаська область","школа, хол, 1-й поверх
вул.Гайдара, 90, с.Ліпляве, Канівський р-н, Черкаська обл., 19020","520","216","516","25","280","24","304","","0","280","24","304","7","297","4","86","7","110","6","0","19","31","1","11","0","2","0","1","1","3","1","2","1","11","29.10.12"
"710278","197","Черкаська область","будинок культури, актова зала, 1-й поверх
вул.Центральна, 23, с.Литвинець, Канівський р-н, Черкаська обл., 19030","732","279","725","41","415","38","453","","0","415","38","453","11","442","6","95","1","180","12","1","8","93","0","9","1","2","1","2","2","1","7","0","1","20","29.10.12"
