"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Василина
Роман
Петрович","Давиденко
Олексій
Григорович","Запорожець
Володимир
Олексійович","Колесник
Андрій
Валерійович","Курудз
Богдан
Михайлович","Логін
Петро
Зіновійович","Макуха
Роман
Васильович","Нікітченко
Ольга
Петрівна","Палютін
Пилип
Юрійович","Решетняк
Вадим
Володимирович","Рудик
Сергій
Ярославович","Савченко
Ігор
Васильович","Семинога
Анатолій
Іванович","Таран
Сергій
Миколайович","Тимошенко
Віктор
Анатолійович","Харламов
Олександр
Володимирович","Цоньо
Віктор
Михайлович","Чегровой
Максим
Павлович","Чекаленко
Ігор
Миколайович","Дата підписання протоколу"
"710694","198","Черкаська область","школа, актовий зал
вул.Л.Українки, 3, с.Білозір’я, Черкаський р-н, Черкаська обл., 19635","1924","1004","1874","24","898","22","920","","0","898","22","920","29","891","38","15","8","50","4","2","3","25","4","143","190","13","53","10","300","5","2","1","25","29.10.12"
"710695","198","Черкаська область","школа №1, спортивний зал
вул.Леніна, 333, с.Білозір’я, Черкаський р-н, Черкаська обл., 19635","1616","838","1611","22","759","19","778","","0","758","19","777","26","751","17","21","7","44","0","1","4","13","4","123","172","13","32","5","279","4","0","2","10","30.10.12"
"710698","198","Черкаська область","школа, фойє
вул.Леніна, 93, с.Вергуни, Черкаський р-н, Черкаська обл., 19641","1904","827","1897","32","1045","32","1077","","0","1045","32","1077","38","1039","37","19","15","81","4","3","4","16","9","111","322","13","94","5","293","2","2","1","8","30.10.12"
"710699","198","Черкаська область","школа, актовий зал
вул.Шевченка, 25, с.Нечаївка, Черкаський р-н, Черкаська обл., 19641","712","275","716","16","422","15","437","","0","422","15","437","14","423","14","4","6","38","2","8","3","16","4","38","87","3","67","1","113","8","3","1","7","29.10.12"
"710702","198","Черкаська область","будинок культури, фойє
вул.Б.Хмельницького, 12, с.Дубіївка, Черкаський р-н, Черкаська обл., 19631","1548","586","1536","34","933","29","962","","0","933","29","962","36","926","26","12","12","83","12","5","7","33","4","100","104","12","72","7","395","3","2","2","35","29.10.12"
"710703","198","Черкаська область","адмінбудинок, актовий зал
вул.1Травня, 1, с.Дубіївка, Черкаський р-н, Черкаська обл., 19631","1524","694","1502","47","788","42","830","","0","788","42","830","28","802","34","20","8","69","4","4","6","35","7","91","95","13","67","4","303","7","7","4","24","29.10.12"
"710704","198","Черкаська область","будинок культури, танцювальний зал
вул.Леніна, 100А, с.Думанці, Черкаський р-н, Черкаська обл., 19645","552","181","538","33","340","31","371","","0","340","31","371","15","356","20","2","8","9","2","1","1","2","1","48","38","0","24","3","194","1","2","0","0","29.10.12"
"710705","198","Черкаська область","сільський клуб, актовий зал
вул.Кірова, 46А, с.Чубівка, Черкаський р-н, Черкаська обл., 19645","176","46","184","13","118","12","130","","0","118","12","130","1","129","14","2","5","9","0","1","0","2","0","8","13","2","15","0","56","1","1","0","0","29.10.12"
"710707","198","Черкаська область","школа, фойє
вул.Жовтнева, 50, с.Леськи, Черкаський р-н, Черкаська обл., 19640","1384","427","1386","46","920","37","957","","0","920","37","957","21","936","49","14","4","51","0","1","8","17","1","50","193","2","63","5","463","5","1","3","6","29.10.12"
"710708","198","Черкаська область","будинок культури, фойє
вул.Жовтнева, 54, с.Леськи, Черкаський р-н, Черкаська обл., 19640","2092","778","2062","30","1294","20","1314","","0","1294","20","1314","36","1278","89","18","10","69","4","1","5","26","4","105","236","18","99","9","562","11","2","0","10","29.10.12"
"710714","198","Черкаська область","школа, актовий зал
вул.Шевченка, 26/1, с.Сагунівка, Черкаський р-н, Черкаська обл., 19644","1276","536","1267","26","719","21","740","","0","719","21","740","18","722","54","5","7","32","2","2","1","7","4","15","171","8","52","14","335","4","2","2","5","29.10.12"
"710715","198","Черкаська область","будинок культури, зал засідань
вул.Леніна, 77/3, с.Сагунівка, Черкаський р-н, Черкаська обл., 19644","1280","579","1269","24","684","17","701","","0","684","17","701","17","684","58","2","4","41","2","1","2","6","1","17","154","5","57","11","320","2","0","0","1","29.10.12"
"710720","198","Черкаська область","будинок культури, актовий зал
вул.Леніна, 79, с.Степанки, Черкаський р-н, Черкаська обл., 19632","2124","892","2115","30","1203","29","1232","","0","1203","29","1232","45","1187","16","18","15","81","5","1","7","29","4","144","400","24","85","6","294","8","2","3","45","29.10.12"
"710721","198","Черкаська область","фельшерсько-акушерський пункт, фойє
вул.Петровського, 18, с.Бузуків, Черкаський р-н, Черкаська обл., 19632","512","197","502","15","300","15","315","","0","300","15","315","8","307","3","3","2","12","3","3","3","4","1","15","88","2","15","2","144","0","0","0","7","29.10.12"
"710726","198","Черкаська область","будинок культури, актовий зал
вул.Шевченка, 69А, с.Хацьки, Черкаський р-н, Черкаська обл., 19634","1568","648","1545","15","908","12","920","","0","908","12","920","22","898","10","4","10","36","0","6","2","10","4","186","204","6","52","4","199","0","0","1","164","29.10.12"
"710727","198","Черкаська область","сільська рада, зал засідань
вул.Леніна, 80, с.Хацьки, Черкаський р-н, Черкаська обл., 19634","924","326","918","23","576","22","598","","0","576","22","598","13","585","4","9","2","25","1","6","1","15","2","119","111","4","29","0","156","2","1","0","98","29.10.12"
"710728","198","Черкаська область","будинок культури, фойє
вул.Шевченка, 57А, с.Худяки, Черкаський р-н, Черкаська обл., 19643","2136","652","2125","64","1433","51","1484","","0","1433","51","1484","26","1458","233","16","5","36","3","2","2","18","2","113","362","10","44","111","487","5","0","1","8","30.10.12"
"710729","198","Черкаська область","будинок культури, обрядовий зал
пров.Центральний, 7, с.Хутори, Черкаський р-н, Черкаська обл., 19603","1920","830","1924","11","1081","9","1090","","0","1081","9","1090","49","1041","55","11","15","111","7","8","10","25","15","73","351","21","183","10","108","6","3","0","29","29.10.12"
"710730","198","Черкаська область","школа №1, спортивний зал
вул.Леніна, 52, с.Червона Слобода, Черкаський р-н, Черкаська обл., 19604","2288","1043","2273","16","1230","15","1245","","0","1230","15","1245","41","1204","88","16","13","122","5","2","7","24","10","77","428","26","59","13","277","9","2","5","21","29.10.12"
"710731","198","Черкаська область","ТЦ ""Барвінок"", спортивний зал
вул.Жовтнева, 44, с.Червона Слобода, Черкаський р-н, Черкаська обл., 19604","1972","915","1946","9","1049","8","1057","","0","1049","8","1057","47","1010","57","18","12","104","8","8","11","20","11","69","207","32","79","3","337","9","3","2","20","29.10.12"
"710732","198","Черкаська область","будинок культури, обрядовий зал
вул.Жовтнева, 129, с.Червона Слобода, Черкаський р-н, Черкаська обл., 19604","2484","1131","2465","12","1343","10","1353","","0","1343","10","1353","64","1289","122","19","8","125","6","3","19","32","12","81","392","34","86","19","297","7","15","9","3","29.10.12"
"710733","198","Черкаська область","""Імпрес"", зал засідань
вул.Жовтнева, 5А, с.Червона Слобода, Черкаський р-н, Черкаська обл., 19604","1348","612","1329","10","729","7","736","","0","729","7","736","32","704","47","5","5","79","8","1","5","29","13","44","248","23","42","1","136","5","4","5","4","29.10.12"
"710734","198","Черкаська область","будинок культури, актовий зал
вул.Гагаріна, 30, с.Чорнявка, Черкаський р-н, Черкаська обл., 19646","752","197","733","36","522","33","555","","0","522","33","555","9","546","18","6","4","3","14","2","1","10","2","44","47","3","48","1","340","0","1","1","1","29.10.12"
"710737","198","Черкаська область","актова зала
вул.Пирогова, 3, с.Червона Слобода, Черкаський р-н, Черкаська обл., 19604","244","196","51","13","35","13","48","","0","35","13","48","1","47","1","0","0","4","0","1","2","2","0","9","9","4","0","0","14","0","0","0","1","29.10.12"
"710902","198","Черкаська область","школа №6, вестибюль
вул.Литвинова, 12, м.Сміла, Черкаська обл., 20709","1516","552","1498","68","900","64","964","","0","900","64","964","17","947","5","71","35","41","0","0","1","20","2","260","237","8","30","15","213","1","4","2","2","29.10.12"
"710903","198","Черкаська область","автошкола ТСО, актова зала
вул.Стаханова, 11, м.Сміла, Черкаська обл., 20709","1408","560","1385","44","807","41","848","","0","807","41","848","28","820","10","43","23","50","2","0","1","25","4","210","240","28","48","5","121","2","3","4","1","29.10.12"
"710904","198","Черкаська область","школа №5, спортивний зал
вул.Петровського, 16, м.Сміла, Черкаська обл., 20700","1932","821","1901","32","1080","31","1111","","0","1080","31","1111","25","1086","5","77","15","89","0","0","3","43","3","343","273","10","62","1","143","4","5","4","6","29.10.12"
"710905","198","Черкаська область","школа №5, фойє
вул.Петровського, 16, м.Сміла, Черкаська обл., 20700","2168","907","2128","34","1239","22","1261","","0","1239","22","1261","26","1235","7","106","15","70","1","2","2","56","3","388","283","13","61","4","209","3","8","1","3","29.10.12"
"710906","198","Черкаська область","гімназія, світлиця української мови
вул.Свердлова, 125, м.Сміла, Черкаська обл., 20700","1632","682","1635","78","894","56","950","","0","894","56","950","20","930","7","91","10","61","0","1","3","63","1","298","186","9","72","13","106","2","2","0","5","29.10.12"
"710907","198","Черкаська область","міський будинок культури, фойє
вул.Свердлова, 110, м.Сміла, Черкаська обл., 20700","2124","779","2098","42","1312","33","1345","","0","1312","33","1345","34","1311","14","81","9","74","2","2","3","91","6","422","303","15","39","13","221","8","2","3","3","29.10.12"
"710908","198","Черкаська область","школа-колегіум №3, їдальня
вул.Свердлова, 73, м.Сміла, Черкаська обл., 20700","1088","407","1089","20","662","19","681","","0","662","19","681","11","670","0","34","12","47","2","0","3","21","2","191","157","13","24","11","146","2","2","3","0","28.10.12"
"710909","198","Черкаська область","школа №2, коридор
вул.Олександра Невського, 9, м.Сміла, Черкаська обл., 20700","924","407","923","25","495","22","517","","0","495","22","517","12","505","6","38","7","26","0","0","1","19","1","133","136","1","34","5","89","3","2","0","4","29.10.12"
"710910","198","Черкаська область","школа №2, коридор
вул.Олександра Невського, 9, м.Сміла, Черкаська обл., 20700","1532","677","1514","79","786","69","855","","0","786","69","855","19","836","3","75","9","50","1","0","0","41","5","197","193","21","47","11","156","3","18","2","4","29.10.12"
"710911","198","Черкаська область","школа №1, актовий зал
вул.Леніна, 66, м.Сміла, Черкаська обл., 20702","1692","649","1657","53","999","44","1043","","0","999","44","1043","18","1025","10","80","12","67","1","2","1","54","3","296","256","23","76","5","125","3","3","2","6","29.10.12"
"710912","198","Черкаська область","початкова школа №4, спортзал
вул.Леніна, 90А, м.Сміа, Черкаська обл., 20702","1888","943","1856","23","923","22","945","","0","923","22","945","30","915","9","56","19","75","4","1","1","30","2","251","220","25","86","11","115","3","3","2","2","29.10.12"
"710913","198","Черкаська область","початкова школа №1, спортзал
вул.5-го Грудня, м.Сміла, Черкаська обл., 20702","1636","710","1599","9","918","8","926","","0","918","8","926","14","912","13","77","6","55","1","0","1","33","4","240","220","7","57","3","185","3","4","1","2","28.10.12"
"710914","198","Черкаська область","школа №4, коридор
вул.Блюхера, 20, м.Сміла, Черкаська обл., 20702","2172","1097","2113","26","1054","21","1075","","0","1054","21","1075","22","1053","12","77","16","67","1","2","2","39","4","321","220","9","72","7","193","4","1","1","5","29.10.12"
"710915","198","Черкаська область","гуртожиток СТХТ, кімната самопідготовки
вул.Свердлова, 125, м.Сміла, Черкаська обл., 20700","1324","587","1323","18","722","15","737","","0","722","15","737","19","718","7","50","9","51","0","0","1","25","2","185","150","6","48","4","172","4","1","3","0","29.10.12"
"710916","198","Черкаська область","АТП-17128, червоний куточок, 2-й поверх
вул.Віри Гордіенко, 108, м.Сміла, Черкаська обл., 20705","1204","639","1191","16","554","11","565","","0","554","11","565","13","552","4","42","4","37","1","0","1","21","0","169","117","8","37","2","104","1","1","1","2","29.10.12"
"710917","198","Черкаська область","клуб ім.Франка, фойє
вул.Івана Франка, 18, м.Сміла, Черкаська обл., 20704","1192","478","1174","39","690","24","714","","0","690","24","714","15","699","3","57","14","33","0","3","0","13","2","220","152","2","64","9","121","2","1","1","2","29.10.12"
"710918","198","Черкаська область","ЦППРК, вестибюль
вул.Мазура, 24, м.Сміла, Черкаська обл., 20708","2088","1069","2064","3","1017","2","1019","","0","1017","2","1019","20","999","6","98","10","64","4","0","1","62","6","262","171","12","67","19","213","1","2","0","1","29.10.12"
"710919","198","Черкаська область","школа №11, фойє, 2-й поверх
вул.Рєпіна, 47, м.Сміла, Черкаська обл., 20705","2008","876","1992","6","1127","5","1132","","0","1127","5","1132","24","1108","7","119","18","66","1","1","1","52","2","315","297","15","65","9","133","2","0","5","0","29.10.12"
"710920","198","Черкаська область","школа №11, фойє, 2-й поверх
вул.Рєпіна, 47, м.Сміла, Черкаська обл., 20705","2204","996","2148","5","1203","5","1208","","0","1203","5","1208","26","1181","9","159","11","98","1","1","1","49","5","326","280","17","69","17","128","2","3","1","4","29.10.12"
"710921","198","Черкаська область","БК ім.Т.Шевченка, рожева зала, 2-й поверх
вул.Кременчуцька, 4, м.Сміла, Черкаська обл., 20705","1624","803","1603","46","781","40","821","","0","781","40","821","32","789","7","102","6","43","6","0","0","23","5","181","115","2","68","9","215","2","1","1","3","29.10.12"
"710922","198","Черкаська область","БК ім.Т.Шевченка, фойє
вул.Кременчуцька, 4, м.Сміла, Черкаська обл., 20705","1208","465","1190","57","689","54","743","","0","689","54","743","16","727","3","111","6","56","0","0","0","29","4","123","136","8","37","9","201","3","1","0","0","29.10.12"
"710923","198","Черкаська область","школа №10, вестибюль
вул.Лобачевського, 2А, м.Сміла, Черкаська обл., 20705","1664","648","1654","18","998","18","1016","","0","998","18","1016","25","991","5","142","9","57","0","0","0","34","3","255","145","8","75","15","232","1","2","2","6","29.10.12"
"710924","198","Черкаська область","школа №10, вестибюль
вул.Лобачевського, 2А, м.Сміла, Черкаська обл., 20705","1036","434","1025","24","580","22","602","","0","580","22","602","10","592","3","70","1","24","0","1","1","19","4","161","114","11","25","8","148","1","1","0","0","29.10.12"
"710925","198","Черкаська область","школа №12, коридор
вул.Краснопресненська, 33, м.Сміла, Черкаська обл., 20706","1900","857","1870","43","1007","36","1043","","0","1007","36","1043","17","1026","13","171","6","55","1","1","2","38","0","295","187","11","46","11","169","1","1","11","7","29.10.12"
"710926","198","Черкаська область","школа №12, коридор
вул.Краснопресненська, 33, м.Сміла, Черкаська обл., 20706","1716","771","1709","9","939","6","945","","0","939","6","945","29","916","24","157","6","58","2","1","1","22","4","233","165","7","40","6","178","4","4","3","1","29.10.12"
"710927","198","Черкаська область","БДЮТ ""Родинний дім"", хореографічний зал
вул.40-річчя Перемоги, 18, м.Сміла, Черкаська обл., 20706","1960","939","1941","2","1020","1","1021","","0","1020","1","1021","19","1002","14","127","6","105","2","0","3","21","2","291","199","8","91","15","99","5","1","10","3","29.10.12"
"710928","198","Черкаська область","школа №7, вестибюль
вул.Богдана Хмельницького, 51А, м.Сміла, Черкаська обл., 20706","2284","1103","2251","9","1175","6","1181","","0","1175","6","1181","35","1146","14","121","8","81","1","1","1","17","3","317","214","14","87","32","221","4","6","2","2","29.10.12"
"710929","198","Черкаська область","школа №7, вестибюль
вул.Богдана Хмельницького, 51А, м.Сміла, Черкаська обл., 20706","2256","1165","2236","1","1090","1","1091","","0","1090","1","1091","25","1066","17","120","9","76","1","1","3","21","5","296","197","10","104","23","172","2","3","2","4","29.10.12"
"710930","198","Черкаська область","палац культури СЕМЗ, хол
пров.Амурський, 1, м.Сміла, Черкаська обл., 20705","1380","681","1366","66","640","59","699","","0","640","59","699","18","681","11","142","2","30","1","1","0","29","2","189","118","8","32","16","94","2","0","0","4","29.10.12"
"710931","198","Черкаська область","школа №13, спортзал
вул.Громова, 71, м.Сміла, Черкаська обл., 20707","1720","755","1711","28","940","25","965","","0","940","25","965","21","944","10","128","7","39","0","1","3","18","2","214","152","6","44","21","290","1","2","3","3","29.10.12"
"710932","198","Черкаська область","школа №15, їдальня
вул.Кармелюка, 38, м.Сміла, Черкаська обл., 20703","1416","612","1416","28","777","27","804","","0","777","27","804","23","781","9","126","4","31","0","1","0","16","4","236","98","7","77","21","141","5","1","1","3","29.10.12"
"710933","198","Черкаська область","клуб М. Яблунівки, фойє
вул.Дімітрова, 64, м.Сміла, Черкаська обл., 20703","1544","677","1519","46","826","41","867","","0","824","41","865","27","838","5","123","2","33","0","0","0","26","2","184","111","5","68","14","256","4","0","3","2","29.10.12"
"710934","198","Черкаська область","будинок кварткому №21, актовий зал
вул.Заслонова, 10, м.Сміла, Черкаська обл., 20707","804","242","796","37","528","34","562","","0","528","34","562","12","550","5","118","8","22","0","0","0","8","2","145","68","1","30","8","132","1","1","0","1","29.10.12"
"710935","198","Черкаська область","обласна психіатрична лікарня, фойє конференц залу
вул.Павлова, 46, м.Сміла, Черкаська обл., 20708","504","177","705","96","250","77","327","","0","250","77","327","54","273","20","11","16","30","4","8","8","11","4","39","17","10","7","11","51","7","9","4","6","29.10.12"
"710936","198","Черкаська область","міська лікарня, хол
вул.60-річчя СРСР, 82, м.Сміла, Черкаська обл., 20709","308","278","38","6","27","3","30","","0","27","3","30","1","29","0","4","1","0","0","0","0","1","0","14","2","1","2","0","4","0","0","0","0","29.10.12"
"710937","198","Черкаська область","районна лікарня, фойє
вул.Семашка, 2, м.Сміла, Черкаська обл., 20700","152","128","28","9","18","6","24","","0","18","6","24","0","24","0","2","0","0","0","0","0","1","0","12","2","0","1","0","5","0","0","0","1","28.10.12"
"710938","198","Черкаська область","залізнична лікарня, хол перед лабораторією
вул.Жовтнева, 1, м.Сміла, Черкаська обл., 20705","124","94","30","11","19","11","30","","0","19","11","30","1","29","0","3","0","3","0","0","0","1","0","10","1","1","1","0","8","0","0","0","1","28.10.12"
"710939","198","Черкаська область","медсанчастина №14, вестибюль поліклініки
вул.Рєпіна, 26А, м.Сміла, Черкаська обл., 20705","172","120","72","16","39","13","52","","0","39","13","52","0","52","1","5","1","3","0","0","0","1","0","20","7","1","2","1","9","0","0","0","1","29.10.12"
