"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Білик
Руслан
Григорович","Буденко
Вячеслав
Євгенійович","Ковальчук
Василь
Іванович","Мельниченко
Володимир
Володимирович","Приступа
Петро
Адольфович","Товкайло
Василь
Тихонович","Шовкошитний
Володимир
Федорович","Ярема
Ростислав
Тарасович","Дата підписання протоколу"
"680567","193","Хмельницька область","будинок культури, зала
вул.Шевченка, 6, с.Ходоровці, Кам’янець-Подільський р-н, Хмельницька обл., 32361","672","245","662","43","387","40","427","","0","387","40","427","12","415","1","3","9","207","10","21","17","147","29.10.12"
"680568","193","Хмельницька область","сільський клуб, зала
вул.І.Франка, 35, с.Княгинин, Кам’янець-Подільський р-н, Хмельницька обл., 32363","520","223","511","26","271","26","297","","0","271","26","297","14","283","1","6","11","142","12","21","5","85","29.10.12"
"680569","193","Хмельницька область","сільський клуб, зала
вул.Лесі Українки, 28, с.Острівчани, Кам’янець-Подільський р-н, Хмельницька обл., 32362","528","258","525","9","263","7","270","","0","263","7","270","2","268","2","0","4","143","3","17","2","97","29.10.12"
"680570","193","Хмельницька область","школа, кабінет іноземних мов
вул.Чапаєва, 3, с.Чабанівка, Кам’янець-Подільський р-н, Хмельницька обл., 32383","432","188","421","14","230","14","244","","0","230","14","244","9","235","2","0","4","123","10","6","3","87","29.10.12"
"680571","193","Хмельницька область","сільський клуб, глядацька зала
вул.Леніна, 1, с.Гута-Чугорська, Кам’янець-Подільський р-н, Хмельницька обл., 32384","240","100","232","12","128","12","140","","0","128","12","140","9","131","1","3","1","83","11","4","1","27","28.10.12"
"680572","193","Хмельницька область","сільський клуб, глядацька зала
вул.Леніна, 22, с.Липи, Кам’янець-Подільський р-н, Хмельницька обл., 32384","120","40","116","6","74","6","80","","0","74","6","80","3","77","2","1","2","33","2","8","0","29","29.10.12"
"680573","193","Хмельницька область","сільський клуб, глядацька зала
вул.Леніна, 53, с.Лисківці, Кам’янець-Подільський р-н, Хмельницька обл., 32383","184","54","174","14","116","14","130","","0","116","14","130","3","127","2","0","1","64","4","7","0","49","29.10.12"
"680574","193","Хмельницька область","будинок культури, фойє
вул.Соборна, 43, с.Шустівці, Кам’янець-Подільський р-н, Хмельницька обл., 32335","376","125","362","44","209","42","251","","0","209","42","251","4","247","1","2","4","151","7","7","6","69","28.10.12"
"680575","193","Хмельницька область","сільський клуб, фойє
вул.Шкільна, 13, с.Ніверка, Кам’янець-Подільський р-н, Хмельницька обл., 32335","208","69","203","16","123","16","139","","0","123","16","139","2","137","1","0","1","53","7","5","9","61","29.10.12"
"680576","193","Хмельницька область","школа, актова зала
вул.Замкова, 29, с.Чорнокозинці, Кам’янець-Подільський р-н, Хмельницька обл., 32336","296","105","297","26","166","25","191","","0","166","25","191","2","189","3","3","9","116","4","2","0","52","28.10.12"
"680577","193","Хмельницька область","центральна районна лікарня, актова зала
вул.Матросова, 30, с.Жовтневе, Кам’янець-Подільський р-н, Хмельницька обл., 32319","128","77","55","25","29","22","51","","0","29","22","51","1","50","0","1","2","28","1","2","2","14","29.10.12"
"680716","193","Хмельницька область","районний будинок культури, фойє
вул.1-го Травня, 9, смт Нова ушиця, Новоушицький р-н, Хмельницька обл., 32600","2104","833","2065","19","1255","16","1271","","0","1255","16","1271","82","1189","13","10","36","414","102","116","71","427","03.11.12"
"680717","193","Хмельницька область","новоушицький технікум, фойє
вул.Подільська, 34, смт Нова Ушиця, Новоушицький р-н, Хмельницька обл., 32600","1632","769","1605","23","844","19","863","","0","844","19","863","49","814","13","2","31","227","61","85","39","356","28.10.12"
"680718","193","Хмельницька область","ЗАТ ""Новоушицький агробуд"", актова зала
вул.Кольчака, 22, смт Нова Ушиця, Новоушицький р-н, Хмельницька обл., 32600","1024","471","1008","17","537","16","553","","0","537","16","553","25","528","11","6","33","161","32","43","26","216","29.10.12"
"680719","193","Хмельницька область","школа №2, актова зала
вул.Українська, 42, с.Каскада, Новоушицький р-н, Хмельницька обл., 32600","784","361","787","21","408","15","423","","0","408","15","423","27","396","6","0","23","139","25","41","22","140","29.10.12"
"680720","193","Хмельницька область","сільський будинок культури, танцювальна зала
вул.Б.Хмельницького, 12, с.Березівка, Новоушицький р-н, Хмельницька обл., 32643","496","193","487","32","273","30","303","","0","273","30","303","9","294","10","3","6","125","19","16","4","111","29.10.12"
"680721","193","Хмельницька область","сільський клуб, фойє
вул.Б.Хмельницького, 34, с.Шебутинці, Новоушицький р-н, Хмельницька обл., 32644","352","105","344","26","221","26","247","","0","221","26","247","14","233","16","4","6","124","28","10","3","42","29.10.12"
"680722","193","Хмельницька область","сільський будинок культури, фойє
вул.Леніна, 69, с.Борсуки, Новоушицький р-н, Хмельницька обл., 32642","472","130","463","37","306","36","342","","0","306","36","342","9","333","7","0","5","138","29","36","3","115","28.10.12"
"680723","193","Хмельницька область","сільський клуб, глядацька зала
вул.Леніна, 2, с.Садове, Новоушицький р-н, Хмельницька обл., 32642","168","47","163","20","104","17","121","","0","104","17","121","14","107","8","1","2","31","9","10","5","41","28.10.12"
"680724","193","Хмельницька область","сільський будинок культури, фойє
вул.Леніна, 83, с.Браїлівка, Новоушицький р-н, Хмельницька обл., 32616","720","273","713","48","402","45","447","","0","402","45","447","39","408","17","7","15","162","23","24","6","154","29.10.12"
"680725","193","Хмельницька область","сільський клуб, глядацька зала
вул.Макарова, 7, с.Іванівка, Новоушицький р-н, Хмельницька обл., 32600","184","57","177","18","110","17","127","","0","110","17","127","7","120","2","0","4","46","8","10","4","46","29.10.12"
"680726","193","Хмельницька область","сільський клуб, глядацька зала
вул.Гірська, 54, с.Цівківці, Новоушицький р-н, Хмельницька обл., 32616","248","58","239","26","165","25","190","","0","165","25","190","24","166","4","2","1","92","6","6","3","52","29.10.12"
"680727","193","Хмельницька область","сільський клуб, глядацька зала
вул.Леніна, сільський клуб, с.Бучая, Новоушицький р-н, Хмельницька обл., 32641","264","78","254","18","168","18","186","","0","168","18","186","6","180","3","1","11","93","15","23","6","28","29.10.12"
"680728","193","Хмельницька область","сільський клуб, глядацька зала
вул.Леніна, сільський клуб, с.Загоряни, Новоушицький р-н, Хмельницька обл., 32641","88","19","87","19","52","17","69","","0","52","17","69","2","67","2","1","1","48","3","9","0","3","29.10.12"
"680729","193","Хмельницька область","сільський будинок культури, фойє
вул.Леніна, 20б, с.Вахнівці, Новоушицький р-н, Хмельницька обл., 32650","344","84","332","26","235","25","260","","0","235","25","260","14","246","10","4","6","90","30","9","5","92","03.11.12"
"680730","193","Хмельницька область","сільський клуб, глядацька зала
вул.З.Космодем’янської, 34А, с.Губарів, Новоушицький р-н, Хмельницька обл., 32650","96","20","90","5","71","5","76","","0","71","5","76","3","73","0","0","1","29","10","4","2","27","28.10.12"
"680731","193","Хмельницька область","сільський будинок культури, фойє
вул.Радянська, сільський будинок культури, с.Вільховець, Новоушицький р-н, Хмельницька обл., 32660","1040","461","1026","60","520","59","579","","0","520","59","579","40","539","17","2","16","250","28","41","7","178","29.10.12"
"680732","193","Хмельницька область","сільський клуб, глядацька зала
вул.Коломійця, сільський клуб, с.Маціорськ, Новоушицький р-н, Хмельницька обл., 32660","144","44","141","5","95","5","100","","0","95","5","100","9","91","2","1","8","50","3","7","0","20","29.10.12"
"680733","193","Хмельницька область","сільський клуб, глядацька зала
вул.Дружби, сільський клуб, с.Нова Гута, Новоушицький р-н, Хмельницька обл., 32660","256","96","249","17","144","16","160","","0","144","16","160","10","150","9","1","11","77","5","18","4","25","29.10.12"
"680734","193","Хмельницька область","сільський клуб, глядацька зала
вул.Шевченка, сільський клуб, с.Рудківці, Новоушицький р-н, Хмельницька обл., 32662","432","151","428","25","258","23","281","","0","258","23","281","22","259","14","9","3","81","20","23","3","106","29.10.12"
"680735","193","Хмельницька область","сільський клуб, глядацька зала
вул.Леніна, 5Б, с.Глібів, Новоушицький р-н, Хмельницька обл., 32610","544","218","536","28","300","26","326","","0","300","26","326","9","317","7","4","19","162","28","25","7","65","29.10.12"
"680736","193","Хмельницька область","сільський клуб, глядацька зала
вул.Леніна, 29, с.Гута-Глібівська, Новоушицький р-н, Хмельницька обл., 32610","168","73","163","7","89","6","95","","0","89","6","95","4","91","1","0","3","48","2","6","1","30","28.10.12"
"680737","193","Хмельницька область","сільський клуб, глядацька зала
вул.Леніна, 5, с.Джуржівка, Новоушицький р-н, Хмельницька обл., 32610","80","24","72","3","53","3","56","","0","53","3","56","4","52","2","0","0","29","4","4","0","13","04.11.12"
"680738","193","Хмельницька область","сільський клуб, глядацька зала
вул.Леніна, 31, с.Новий Глібів, Новоушицький р-н, Хмельницька обл., 32610","80","30","73","0","50","0","50","","0","50","0","50","8","42","1","0","1","22","1","4","1","12","29.10.12"
"680739","193","Хмельницька область","сільський будинок культури, глядацька зала
вул.Молодіжна, 1, с.Заміхів, Новоушицький р-н, Хмельницька обл., 32630","520","227","513","39","260","33","293","","0","260","33","293","19","274","3","1","7","141","20","19","3","80","29.10.12"
"680740","193","Хмельницька область","бригадний будинок, робочий кабінет
вул.Центральна, 1а, с.Виселок, Новоушицький р-н, Хмельницька обл., 32630","48","5","47","3","40","3","43","","0","40","3","43","3","40","1","1","0","15","4","4","0","15","28.10.12"
"680741","193","Хмельницька область","сільський клуб, глядацька зала
вул.Садова, 1, с.Жабинці, Новоушицький р-н, Хмельницька обл., 32631","328","140","308","23","166","22","188","","0","166","22","188","11","177","6","5","3","97","11","5","2","48","28.10.12"
"680742","193","Хмельницька область","сільський будинок культури, фойє
вул.Шевченка, 65, с.Зелені Курилівці, Новоушицький р-н, Хмельницька обл., 32650","816","303","809","19","495","18","513","","0","495","18","513","27","486","26","5","15","211","36","43","8","142","29.10.12"
"680743","193","Хмельницька область","сілький будинок культури, фойє
вул.Шевченка, сільский будинок культури, с.Пижівка, Новоушицький р-н, Хмельницька обл., 32652","424","129","424","32","263","32","295","","0","263","32","295","10","285","7","4","8","158","24","15","3","66","29.10.12"
"680744","193","Хмельницька область","сільський будинок культури, глядацька зала
вул.Будівельна, сільский будинок культури, с.Івашківці, Новоушицький р-н, Хмельницька обл., 32623","920","214","911","30","676","30","706","","0","676","30","706","34","672","12","3","25","176","92","45","29","290","28.10.12"
"680745","193","Хмельницька область","сільський клуб, фойє
вул.Центральна, сільський клуб, с-ще Комунар, Новоушицький р-н, Хмельницька обл., 32624","280","101","269","3","176","3","179","","0","176","3","179","12","167","5","4","9","66","21","12","4","46","29.10.12"
"680746","193","Хмельницька область","сільський будинок культури, глядацька зала
вул.Шевченка, 42, с.Капустяни, Новоушицький р-н, Хмельницька обл., 32612","696","93","683","43","560","43","603","","0","560","43","603","6","597","5","3","14","393","40","23","24","95","28.10.12"
"680747","193","Хмельницька область","сільський клуб, глядацька зала
вул.9-го Травня, 4, с.Глибочок, Новоушицький р-н, Хмельницька обл., 32613","288","79","288","24","188","21","209","","0","188","21","209","8","201","6","2","12","126","13","3","0","39","29.10.12"
"680748","193","Хмельницька область","сільський будинок культури, фойє
вул.Леніна, 34, с.Косиківці, Новоушицький р-н, Хмельницька обл., 32640","296","86","292","24","187","23","210","","0","187","23","210","8","202","4","1","10","101","9","9","17","51","29.10.12"
"680749","193","Хмельницька область","сільський клуб, глядацька зала
вул.Леніна, 50, с.Шелестяни, Новоушицький р-н, Хмельницька обл., 32640","248","67","241","14","167","14","181","","0","167","14","181","19","162","2","5","5","65","17","4","3","61","28.10.12"
"680750","193","Хмельницька область","сільський будинок культури, фойє
вул.Центральна, 104, с.Куражин, Новоушицький р-н, Хмельницька обл., 32663","600","193","583","54","355","52","407","","0","355","52","407","21","386","10","3","4","243","17","22","14","73","28.10.12"
"680751","193","Хмельницька область","сільський клуб, глядацька зала
вул.Гевка, 11, с.Глибівка, Новоушицький р-н, Хмельницька обл., 32664","176","46","171","22","108","22","130","","0","108","22","130","7","123","6","0","3","70","7","9","6","22","29.10.12"
"680752","193","Хмельницька область","сільський клуб, глядацька зала
вул.Пушкіна, 4, с.Мала Щурка, Новоушицький р-н, Хмельницька обл., 32663","88","19","87","8","62","7","69","","0","62","7","69","4","65","0","0","0","32","5","0","3","25","28.10.12"
"680753","193","Хмельницька область","сільський будинок культури, танцювальна зала
вул.Перемоги, 2, с.Куча, Новоушицький р-н, Хмельницька обл., 32645","1008","429","993","67","518","61","579","","0","518","61","579","19","560","13","5","12","292","32","33","11","162","28.10.12"
"680754","193","Хмельницька область","сільський клуб, глядацька зала
вул.Леніна, 68, с.Мала Стружка, Новоушицький р-н, Хмельницька обл., 32633","440","160","433","43","238","42","280","","0","238","42","280","13","267","8","3","11","128","14","4","8","91","28.10.12"
"680755","193","Хмельницька область","сільський клуб, глядацька зала
вул.Леніна, 26, с.Балабанівка, Новоушицький р-н, Хмельницька обл., 32633","160","42","158","18","101","17","118","","0","101","17","118","13","105","3","5","2","69","3","4","3","16","29.10.12"
"680756","193","Хмельницька область","сільський клуб, глядацька зала
вул.Леніна, 1, с.Щербівці, Новоушицький р-н, Хмельницька обл., 32633","200","56","190","36","117","27","144","","0","117","27","144","3","141","0","1","5","82","8","4","5","36","29.10.12"
"680757","193","Хмельницька область","школа, фойє
вул.Шкільна, школа, с.Отроків, Новоушицький р-н, Хмельницька обл., 32620","384","108","381","50","229","47","276","","0","229","47","276","14","262","3","2","3","97","11","17","0","129","29.10.12"
"680758","193","Хмельницька область","сільський клуб, глядацька зала
вул.Центральна, сільський клуб, с.Антонівка, Новоушицький р-н, Хмельницька обл., 32621","480","167","432","38","282","31","313","","0","282","31","313","8","305","4","3","6","109","13","15","4","151","28.10.12"
"680759","193","Хмельницька область","сільський клуб, глядацька зала
вул.Центральна, сільський клуб, с.Кружківці, Новоушицький р-н, Хмельницька обл., 32620","88","31","82","6","51","6","57","","0","51","6","57","2","55","2","0","1","22","3","5","0","22","29.10.12"
"680760","193","Хмельницька область","сільський клуб, глядацька зала
вул.Центральна, сільська бібліотека, с.Тимків, Новоушицький р-н, Хмельницька обл., 32620","248","89","239","18","143","16","159","","0","143","16","159","12","147","8","2","4","66","8","10","2","47","29.10.12"
"680761","193","Хмельницька область","школа, їдальня
вул.В.Бойчука, 3, с.Песець, Новоушицький р-н, Хмельницька обл., 32625","664","194","654","69","406","64","470","","0","406","64","470","15","455","5","5","16","140","17","42","9","221","04.11.12"
"680762","193","Хмельницька область","сільський будинок культури, танцювальна зала
вул.Леніна, 35, с.Пилипківці, Новоушицький р-н, Хмельницька обл., 32614","488","157","484","40","292","39","331","","0","292","39","331","13","318","6","11","7","104","23","28","3","136","29.10.12"
"680763","193","Хмельницька область","сільський клуб, глядацька зала
вул.Жовтнева, 18, с.Заборознівці, Новоушицький р-н, Хмельницька обл., 32614","256","108","253","10","138","10","148","","0","138","10","148","11","137","8","1","8","39","7","11","2","61","29.10.12"
"680764","193","Хмельницька область","школа, фойє
вул.Ушинського, 16, с.Пилипи-Хребтіївські, Новоушицький р-н, Хмельницька обл., 32653","608","277","605","28","305","26","331","","0","305","26","331","10","321","4","2","7","255","16","13","0","24","29.10.12"
"680765","193","Хмельницька область","сільський клуб, глядацька зала
вул.Лебединцева, 2, с.Іванківці, Новоушицький р-н, Хмельницька обл., 32653","232","82","228","21","131","19","150","","0","131","19","150","6","144","5","1","0","95","11","4","0","28","28.10.12"
"680766","193","Хмельницька область","школа, фойє
вул.Леніна, 55, с.Хребтіїв, Новоушицький р-н, Хмельницька обл., 32654","248","85","248","15","148","15","163","","0","148","15","163","8","155","11","3","7","70","17","10","2","35","28.10.12"
"680767","193","Хмельницька область","сільський будинок культури, фойє
вул.Щорса, 6, с.Ставчани, Новоушицький р-н, Хмельницька обл., 32635","424","165","407","52","216","43","259","","0","216","43","259","6","253","9","3","7","152","15","27","3","37","28.10.12"
"680768","193","Хмельницька область","сільський клуб, глядацька зала
вул.Леніна, 45, с.Любомирівка, Новоушицький р-н, Хмельницька обл., 32636","192","63","188","29","105","24","129","","0","105","24","129","4","125","0","1","0","66","12","17","1","28","28.10.12"
"680769","193","Хмельницька область","сільський клуб, глядацька зала
вул.Леніна, 16, с.Слобідка, Новоушицький р-н, Хмельницька обл., 32637","304","116","299","22","167","21","188","","0","167","21","188","8","180","5","1","6","107","18","17","1","25","29.10.12"
"680770","193","Хмельницька область","сільський клуб, глядацька зала
вул.Леніна, 102, с.Стара Гута, Новоушицький р-н, Хмельницька обл., 32638","184","57","177","22","108","19","127","","0","108","19","127","4","123","3","1","5","72","5","11","1","25","29.10.12"
"680771","193","Хмельницька область","школа, фойє
вул.Шкільна, 2, с.Струга, Новоушицький р-н, Хмельницька обл., 32632","1136","459","1109","70","610","67","677","","0","610","67","677","22","655","10","5","6","295","27","47","19","246","30.10.12"
"681329","193","Хмельницька область","Кам’янець-Подільський національний університет, актовий зал
вул.Суворова, 52, м.Кам’янець-Подільський, Хмельницька обл., 32300","1176","503","1179","37","646","27","673","","0","646","27","673","25","648","3","2","20","229","22","82","61","229","29.10.12"
"681330","193","Хмельницька область","Іустріальний коледж, фойє
вул.Суворова, 17, м.Кам’янець-Подільський, Хмельницька обл., 32300","1656","759","1660","17","882","15","897","","0","882","15","897","37","860","4","3","15","331","19","107","70","311","29.10.12"
"681331","193","Хмельницька область","Коледж харчової промисловості, ауд.83
вул.Суворова, 2, м.Кам’янець-Подільський, Хмельницька обл., 32300","1448","622","1456","11","816","10","826","","0","816","10","826","25","801","6","3","17","295","18","82","52","328","29.10.12"
"681332","193","Хмельницька область","школа №7, коридор, 2-й поверх
вул.Жукова, 27, м.Кам’янець-Подільський, Хмельницька обл., 32300","2232","956","2223","29","1256","20","1276","","0","1256","20","1276","30","1246","10","4","27","442","39","137","71","516","29.10.12"
"681333","193","Хмельницька область","спорткомплекс медичного училища, спортивна зала
вул.30 років Перемоги, 9, м.Кам’янець-Подільський, Хмельницька обл., 32300","2272","1015","2259","20","1240","18","1257","","0","1239","18","1257","41","1216","16","2","22","455","32","104","68","517","03.11.12"
"681334","193","Хмельницька область","дошкільний навчальний заклад №15, музичний зал, 2-й поверх
вул.30 років Перемоги, 15, м.Кам’янець-Подільський, Хмельницька обл., 32300","1744","843","1753","21","883","18","901","","0","882","18","900","26","874","8","1","3","287","18","80","51","426","29.10.12"
"681335","193","Хмельницька область","адмінприміщення ККП ""Господар"", хол
вул.Космонавтів, 10, м.Кам’янець-Подільський, Хмельницька обл., 32300","2256","1017","2246","22","1225","14","1239","","0","1225","14","1239","29","1210","8","7","16","445","35","144","76","479","29.10.12"
"681336","193","Хмельницька область","підлітковий клуб ""Шукач"", тренувальна зала
вул.30 років Перемоги, 14, м.Кам’янець-Подільський, Хмельницька обл., 32300","1320","646","1298","22","662","12","674","","0","662","12","674","22","652","9","4","13","227","31","64","48","256","29.10.12"
"681337","193","Хмельницька область","Навчально-виховний комплекс №17, вестибюль
вул.Розвадовського, 8, м.Кам’янець-Подільський, Хмельницька обл., 32300","2416","1072","2387","19","1332","12","1344","","0","1332","12","1344","37","1307","16","2","24","461","38","115","100","551","29.10.12"
"681338","193","Хмельницька область","дошкільний навчальний заклад №9, спортивний зал, 2-й поверх
вул.Жукова, 7, м.Кам’янець-Подільський, Хмельницька обл., 32300","2136","948","2135","10","1184","4","1188","","0","1184","4","1188","36","1152","8","5","25","411","43","120","75","465","29.10.12"
"681339","193","Хмельницька область","ТОВ""Комбінат будматеріалів"", методичний кабінет
вул.Нігинське шосе, 2, м.Кам’янець-Подільський, Хмельницька обл., 32300","1232","579","1218","23","635","18","653","","0","635","18","653","20","633","8","2","14","199","24","53","33","300","03.11.12"
"681340","193","Хмельницька область","школа №6, вестибюль
вул.Молодіжна, 7, м.Кам’янець-Подільський, Хмельницька обл., 32300","1944","796","1934","8","1142","6","1148","","0","1142","6","1148","25","1123","11","8","14","375","22","88","66","539","29.10.12"
"681341","193","Хмельницька область","дошкільний навчальний заклад №22, актова зала
вул.Молодіжна, 21 м.Кам’янець-Подільський, Хмельницька обл., 32300","1560","740","1518","19","803","17","820","","0","803","17","820","25","795","8","3","8","275","15","69","45","372","03.11.12"
"681342","193","Хмельницька область","школа №10, спортивний зал, 2-й поверх
вул.Короленка, 20, м.Кам’янець-Подільський, Хмельницька обл., 32300","2248","1010","2247","36","1210","28","1238","","0","1210","28","1238","30","1208","6","4","32","395","35","135","90","511","03.11.12"
