"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Браславець
Ольга
Василівна","Вінський
Йосип
Вікентійович","Герега
Олександр
Володимирович","Довгань
Валерій
Іванович","Купчик
Олег
Леонідович","Мусій
Мирослав
Ярославович","Орлов
Володимир
Іванович","Пятак
Галина
Василівна","Свято
Василь
Петрович","Дата підписання протоколу"
"680187","192","Хмельницька область","районний будинок культури, фойє
вул.Грушевського, 61, м.Городок, Городоцький р-н, Хмельницька обл., 32000","1744","804","1687","39","904","36","940","","0","904","36","940","19","921","5","8","748","1","19","114","3","23","0","29.10.12"
"680188","192","Хмельницька область","початкова школа, спортивна зала
вул.Шевченка, 38, м.Городок, Городоцький р-н, Хмельницька обл., 32000","1472","684","1467","30","765","23","788","","0","765","23","788","13","775","7","15","636","0","17","79","1","20","0","29.10.12"
"680189","192","Хмельницька область","центральна районна бібліотека, читальна зала
вул.Грушевського, 51, м.Городок, Городоцький р-н, Хмельницька обл., 32000","1920","972","1888","24","931","17","948","","0","931","17","948","19","929","12","27","702","4","22","139","6","17","0","29.10.12"
"680190","192","Хмельницька область","школа №3, спортивна зала
вул.Грушевського, 86, м.Городок, Городоцький р-н, Хмельницька обл., 32000","1824","967","1806","25","834","23","857","","0","834","23","857","8","849","4","16","659","2","21","121","11","12","3","29.10.12"
"680191","192","Хмельницька область","школа №2, фойє
вул.А.Бухти, 2, м.Городок, Городоцький р-н, Хмельницька обл., 32000","1240","616","1220","28","602","22","624","","0","602","22","624","8","616","3","17","494","2","23","65","7","5","0","29.10.12"
"680192","192","Хмельницька область","районний реабілітаційний центр ""Віра в життя"", фойє
вул.Заводська Площа, 8, м.Городок, Городоцький р-н, Хмельницька обл., 32000","1552","759","1540","34","760","33","793","","0","760","33","793","17","776","5","11","610","2","27","94","5","17","5","29.10.12"
"680193","192","Хмельницька область","школа з польською мовою навчання, спортивна зала
вул.Київська, 13, м.Городок, Городоцький р-н, Хмельницька обл., 32000","1816","850","1786","17","954","12","966","","0","954","12","966","9","957","6","6","768","0","24","121","6","24","2","29.10.12"
"680194","192","Хмельницька область","школа мистецтв, актова зала
вул.Шевченка, 39, м.Городок, Городоцький р-н, Хмельницька обл., 32000","1304","539","1300","40","730","35","765","","1","730","34","764","17","747","6","12","606","2","8","92","1","18","2","05.11.12"
"680195","192","Хмельницька область","дитячий садок ""Ялинка"", актова зала
вул.Станційна, 7/1, м.Городок, Городоцький р-н, Хмельницька обл., 32000","1344","651","1327","20","674","19","693","","0","674","19","693","9","684","4","12","517","2","15","112","11","10","1","29.10.12"
"680196","192","Хмельницька область","селищний будинок культури, фойє
вул.Бузкова, 135, смт Сатанів, Городоцький р-н, Хмельницька обл., 32034","1672","646","1662","51","982","44","1026","","0","982","44","1026","26","1000","29","49","547","7","49","266","34","16","3","29.10.12"
"680197","192","Хмельницька область","санаторій ""Берізка"", їдальня
вул.Монастирська, 18, смт Сатанів, Городоцький р-н, Хмельницька обл., 32034","96","19","102","7","70","7","77","","0","70","7","77","1","76","0","4","64","0","2","4","2","0","0","29.10.12"
"680198","192","Хмельницька область","сільський будинок культури, фойє
вул.Чкалова, 2А, с.Бедриківці, Городоцький р-н, Хмельницька обл., 32043","704","283","687","43","385","36","421","","0","385","36","421","8","413","10","15","338","0","13","28","4","4","1","29.10.12"
"680199","192","Хмельницька область","сільський клуб, фойє
вул.І.Мазепи, 4, с.Новосілка, Городоцький р-н, Хмельницька обл., 32044","368","124","359","11","233","11","244","","0","233","11","244","7","237","1","5","180","1","5","41","1","3","0","29.10.12"
"680200","192","Хмельницька область","сільська рада, актова зала
пров.Шкільний, 5, с.Бубнівка, Городоцький р-н, Хмельницька обл., 32011","304","93","304","15","198","13","211","","0","198","13","211","2","209","0","17","164","0","2","18","4","4","0","29.10.12"
"680201","192","Хмельницька область","сільський будинок культури, читальна зала
вул.Центральна, 82, с.Липівка, Городоцький р-н, Хмельницька обл., 32011","184","48","178","17","120","16","136","","0","120","16","136","0","136","1","6","88","0","5","32","0","4","0","29.10.12"
"680202","192","Хмельницька область","сільський клуб, кабінет завідувача
вул.Шевченка, 3, с.Калинівка, Городоцький р-н, Хмельницька обл., 32011","104","19","105","15","72","13","85","","0","72","13","85","0","85","1","1","46","1","3","31","0","2","0","28.10.12"
"680203","192","Хмельницька область","школа, кабінет біології
вул.Перемоги, 1, с.Варівці, Городоцький р-н, Хмельницька обл., 32020","368","111","359","40","218","39","257","","0","218","39","257","10","247","1","8","165","2","6","40","2","22","1","29.10.12"
"680204","192","Хмельницька область","сільський будинок культури, глядацька зала
вул.Шевченка, 22, с.Великий Карабчіїв, Городоцький р-н, Хмельницька обл., 32066","552","144","541","74","339","69","408","","0","339","69","408","12","396","39","18","206","1","6","91","2","29","4","29.10.12"
"680205","192","Хмельницька область","сільський клуб, глядацька зала
вул.І.Франка, 4, с.Грицьків, Городоцький р-н, Хмельницька обл., 32067","152","27","150","20","105","20","125","","0","105","20","125","4","121","2","9","88","2","1","14","3","0","2","29.10.12"
"680206","192","Хмельницька область","сільський будинок культури, глядацька зала
вул.Чорновола, 21, с.Велика Яромирка, Городоцький р-н, Хмельницька обл., 32054","1080","363","1062","104","622","95","717","","0","622","95","717","12","705","4","30","551","1","10","94","8","7","0","29.10.12"
"680207","192","Хмельницька область","школа, спортивна зала
вул.Шевченка, 55А, с.Завадинці, Городоцький р-н, Хмельницька обл., 32056","440","130","431","37","273","37","310","","0","273","37","310","2","308","4","12","205","0","6","73","2","6","0","29.10.12"
"680208","192","Хмельницька область","сільський будинок культури, коридор
вул.Головна, 16, с.Веселець, Городоцький р-н, Хмельницька обл., 32015","328","101","320","35","192","35","227","","0","192","35","227","1","226","1","25","134","3","6","48","2","5","2","29.10.12"
"680209","192","Хмельницька область","фельдшерсько-акушерський пункт, кабінет завідувача
вул.Центральна, 31, с.Журавлинці, Городоцький р-н, Хмельницька обл., 32015","96","23","90","7","66","7","73","","0","66","7","73","1","72","0","5","45","1","14","6","0","1","0","29.10.12"
"680210","192","Хмельницька область","школа, фойє
вул.Грушевського, 14, с.Жищинці, Городоцький р-н, Хмельницька обл., 32051","744","307","735","42","396","41","437","","0","396","41","437","23","414","2","22","287","5","9","77","2","8","2","29.10.12"
"680211","192","Хмельницька область","сільський клуб, фойє
вул.Грушевського, 4, с.Балакири, Городоцький р-н, Хмельницька обл., 32052","248","64","242","30","155","29","184","","0","155","29","184","9","175","1","8","135","0","4","26","1","0","0","29.10.12"
"680212","192","Хмельницька область","сільська рада, актова зала
вул.В’ячеслава Слободяна, сільська рада, с.Іванківці, Городоцький р-н, Хмельницька обл., 32037","1064","441","1044","94","539","84","623","","0","539","84","623","9","614","43","35","406","1","9","101","6","12","1","29.10.12"
