"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Барабаш
Віктор
Васильович","Буряк
Сергій
Васильович","Герасименко
Олена
Михайлівна","Дем’янов
Анатолій
Анатолійович","Нагорна
Віра
Микитівна","Побережна
Анна
Валеріївна","Сидор
Василь
Богданович","Халілов
Рафаел
Муршудович","Дата підписання протоколу"
"681227","190","Хмельницька область","будинок культури, актова зала
вул.О.Кошового, 1, с.Лотівка, Шепетівський р-н, Хмельницька обл., 30453","312","36","309","18","258","18","276","","0","258","18","276","3","273","5","258","0","4","0","1","5","0","29.10.12"
"681228","190","Хмельницька область","будинок культури, актова зала
вул.Коськовецького, 53, с.Ленківці, Шепетівський р-н, Хмельницька обл., 30443","752","297","748","9","447","8","455","","0","447","8","455","12","443","9","179","5","13","1","5","231","0","28.10.12"
"681229","190","Хмельницька область","будинок культури, актова зала
вул.Леніна, 17Б, с.Мокіївці, Шепетівський р-н, Хмельницька обл., 30440","544","179","539","49","323","42","365","","0","323","42","365","10","355","6","244","5","5","2","9","84","0","28.10.12"
"681230","190","Хмельницька область","сільський клуб, актова зала
вул.Леніна, 37А, с.Білопіль, Шепетівський р-н, Хмельницька обл., 30440","272","53","263","20","202","17","219","","0","202","17","219","3","216","5","180","2","3","4","9","13","0","28.10.12"
"681231","190","Хмельницька область","сільський клуб, актова зала
вул.Жовтнева, 21А, с.Пиляї, Шепетівський р-н, Хмельницька обл., 30440","144","40","136","24","80","24","104","","0","80","24","104","4","100","0","69","1","0","0","3","27","0","28.10.12"
"681232","190","Хмельницька область","будинок культури, актова зала
вул.Островського, 1Б, с.Михайлючка, Шепетівський р-н, Хмельницька обл., 30416","1080","465","1069","38","579","36","615","","0","579","36","615","12","603","31","412","2","39","6","15","97","1","29.10.12"
"681233","190","Хмельницька область","сільський клуб, актова зала
вул.Центральна, 40, с.Майдан-Лабунь, Шепетівський р-н, Хмельницька обл., 30416","136","50","130","10","76","10","86","","0","76","10","86","2","84","0","75","2","3","0","2","2","0","28.10.12"
"681234","190","Хмельницька область","сільський клуб, актова зала
вул.Центральна, 28Б, с.Цмівка, Шепетівський р-н, Хмельницька обл., 30418","240","97","236","14","133","10","143","","0","133","10","143","3","140","31","99","0","1","1","4","4","0","29.10.12"
"681235","190","Хмельницька область","ФАП, оглядовий кабінет
вул.Калініна, 2Б, с.Судимонт, Шепетівський р-н, Хмельницька обл., 30418","80","28","77","9","43","9","52","","0","43","9","52","3","49","5","35","1","1","2","0","5","0","29.10.12"
"681236","190","Хмельницька область","ФАП, оглядовий кабінет
вул.Гагаріна, 1Б, с.Хмелівка, Шепетівський р-н, Хмельницька обл., 30418","32","15","25","0","17","0","17","","0","17","0","17","0","17","0","14","0","1","0","0","2","0","28.10.12"
"681237","190","Хмельницька область","сільський клуб, актова зала
вул.Черняхівського, 3В, с.Новичі, Шепетівський р-н, Хмельницька обл., 30437","320","116","310","23","182","22","204","","0","182","22","204","8","196","7","125","5","10","6","5","37","1","28.10.12"
"681238","190","Хмельницька область","сільський клуб, актова зала
вул.Дзержинського, 1, с.Мальованка, Шепетівський р-н, Хмельницька обл., 30437","80","36","71","6","38","6","44","","0","38","6","44","1","43","0","31","7","2","0","0","2","1","28.10.12"
"681239","190","Хмельницька область","будинок культури, актова зала
вул.Леніна, 8А, с.Поляна, Шепетівський р-н, Хмельницька обл., 30438","560","252","547","58","256","52","308","","0","256","52","308","8","300","7","205","4","11","7","16","49","1","28.10.12"
"681240","190","Хмельницька область","школа, спортивний зал
вул.Леніна, 5, с.Плесна, Шепетівський р-н, Хмельницька обл., 30421","688","272","672","22","394","22","416","","0","394","22","416","12","404","15","269","12","10","4","15","79","0","28.10.12"
"681241","190","Хмельницька область","сільський клуб, актова зала
вул.Леніна, 22Б, с.Жилинці, Шепетівський р-н, Хмельницька обл., 30422","320","137","304","7","176","7","183","","0","176","7","183","9","174","1","117","4","2","4","9","36","1","28.10.12"
"681242","190","Хмельницька область","будинок культури, актова зала
вул.Чкалова, 16, с.Пліщин, Шепетівський р-н, Хмельницька обл., 30420","800","303","792","38","462","35","497","","0","462","35","497","11","486","19","361","6","15","3","12","69","1","28.10.12"
"681243","190","Хмельницька область","школа, фойє
вул.Кірова, 37, с.Рилівка, Шепетівський р-н, Хмельницька обл., 30410","240","50","244","18","172","18","190","","0","172","18","190","6","184","4","130","1","1","2","7","39","0","28.10.12"
"681244","190","Хмельницька область","сільський клуб, актова зала
вул.Жовтнева, 15, с.Сенігів, Шепетівський р-н, Хмельницька обл., 30410","192","45","186","19","128","19","147","","0","128","19","147","3","144","0","89","4","2","5","3","41","0","28.10.12"
"681245","190","Хмельницька область","дитячий садок, актова зала
вул.Леніна, 42, с.Орлинці, Шепетівський р-н, Хмельницька обл., 30452","216","79","209","4","134","3","137","","0","134","3","137","5","132","1","93","2","1","1","5","29","0","28.10.12"
"681246","190","Хмельницька область","пункт прийому хворих, оглядовий кабінет
вул.Радянська, 4, с.Устянівка, Шепетівський р-н, Хмельницька обл., 30452","88","24","83","1","63","1","64","","0","63","1","64","1","63","1","42","2","1","2","6","9","0","28.10.12"
"681247","190","Хмельницька область","сільський клуб, актова зала
вул.Гвардійська, 6, с.Рожична, Шепетівський р-н, Хмельницька обл., 30452","96","40","91","0","56","0","56","","0","56","0","56","6","50","1","39","1","1","1","1","5","1","28.10.12"
"681248","190","Хмельницька область","контора, кабінет голови
вул.Ланових, 21, с.Брикуля, Шепетівський р-н, Хмельницька обл., 30447","144","36","139","10","98","10","108","","0","98","10","108","2","106","1","84","2","1","1","6","10","1","28.10.12"
"681249","190","Хмельницька область","будинок культури, актова зала
вул.Молодіжна, 3, с.Лавринівці, Шепетівський р-н, Хмельницька обл., 30447","176","56","169","9","112","8","120","","0","112","8","120","1","119","2","103","0","1","2","1","10","0","28.10.12"
"681250","190","Хмельницька область","школа, кабінет початкових класів
вул.Молодіжна, 28, с.Лавринівці, Шепетівський р-н, Хмельницька обл., 30447","104","36","96","9","59","9","68","","0","59","9","68","0","68","0","53","5","1","0","1","8","0","28.10.12"
"681251","190","Хмельницька область","сільський клуб, актова зала
вул.Ювілейна, 2, с.Марківці, Шепетівський р-н, Хмельницька обл., 30447","80","24","73","5","51","5","56","","0","51","5","56","3","53","1","28","0","4","0","2","17","1","29.10.12"
"681252","190","Хмельницька область","будинок культури, актова зала
вул.Леніна, 102, с.Серединці, Шепетівський р-н, Хмельницька обл., 30426","520","149","498","39","332","39","371","","0","332","39","371","10","361","7","255","1","5","5","5","81","2","29.10.12"
"681253","190","Хмельницька область","пункт прийому хворих, фойє
вул.Слюсара, 48, с.Березне, Шепетівський р-н, Хмельницька обл., 30426","104","24","103","12","69","11","80","","0","69","11","80","2","78","1","51","3","1","1","1","20","0","28.10.12"
"681254","190","Хмельницька область","будинок культури, мала актова зала
вул.Леніна, 65, с.Судилків, Шепетівський р-н, Хмельницька обл., 30430","1584","729","1574","43","812","43","855","","0","812","43","855","34","821","19","373","14","14","13","40","347","1","29.10.12"
"681255","190","Хмельницька область","дитяча бібліотека, читальний зал
вул.Леніна, 59, с.Судилків, Шепетівський р-н, Хмельницька обл., 30430","1472","762","1461","22","688","22","710","","0","688","22","710","24","686","12","281","12","27","13","43","293","5","28.10.12"
"681256","190","Хмельницька область","школа, каб.1
вул.Б.Хмельницького, 59, с.Судилків, Шепетівський р-н, Хмельницька обл., 30430","728","388","717","5","335","5","340","","0","335","5","340","11","329","8","140","5","8","7","26","135","0","29.10.12"
"681257","190","Хмельницька область","сільський клуб, актова зала
вул.Шарова, 21, с.Білокриниччя, Шепетівський р-н, Хмельницька обл., 30432","408","164","404","0","244","0","244","","0","244","0","244","9","235","5","140","3","5","11","23","48","0","28.10.12"
"681258","190","Хмельницька область","сільський клуб, актова зала
вул.Леніна, 8, с.Климентовичі, Шепетівський р-н, Хмельницька обл., 30433","200","86","197","15","100","14","114","","0","100","14","114","1","113","2","87","0","1","2","4","17","0","28.10.12"
"681259","190","Хмельницька область","сільський клуб, фойє
вул.Леніна, 63А, с.Лозичне, Шепетівський р-н, Хмельницька обл., 30430","528","186","527","6","336","6","342","","0","336","6","342","13","329","9","187","9","7","7","16","92","2","28.10.12"
"681260","190","Хмельницька область","школа, каб.2
вул.Леніна, 38, с.Рудня-Новенька, Шепетівський р-н, Хмельницька обл., 30433","152","58","147","4","91","3","94","","0","91","3","94","6","88","2","61","2","3","1","6","13","0","28.10.12"
"681261","190","Хмельницька область","школа, спортивний зал
вул.Леніна, 28А, с.Хролин, Шепетівський р-н, Хмельницька обл., 30434","528","189","528","38","305","34","339","","0","305","34","339","8","331","25","205","5","15","13","20","48","0","28.10.12"
"681262","190","Хмельницька область","школа, спортивний зал
вул.Чкалова, 6, с.Велика Медведівка, Шепетівський р-н, Хмельницька обл., 30435","383","99","390","22","262","22","284","","0","262","22","284","7","277","8","214","2","13","2","3","35","0","28.10.12"
"681263","190","Хмельницька область","школа, актова зала
вул.Леніна, 16А, с.Траулин, Шепетівський р-н, Хмельницька обл., 30436","512","205","510","19","290","17","307","","0","290","17","307","5","302","13","159","11","9","9","16","84","1","28.10.12"
"681264","190","Хмельницька область","сільський клуб, актова зала
вул.Партизанська, 15А, с.Савичі, Шепетівський р-н, Хмельницька обл., 30433","120","55","111","20","45","20","65","","0","45","20","65","2","63","2","30","4","6","2","5","13","1","28.10.12"
"681265","190","Хмельницька область","будинок культури, актовий зал
вул.К.Маркса, 10, с.Чотирбоки, Шепетівський р-н, Хмельницька обл., 30442","920","296","916","50","575","49","624","","0","575","49","624","11","613","11","372","4","14","24","16","171","1","28.10.12"
"681266","190","Хмельницька область","Шепетівська виправна колонія №98, клуб для засуджених, актова зала, 2-й поверх
Шепетівська виправна колонія №98, с.Климентовичі, Шепетівський р-н, Хмельницька обл., 30433","1520","33","1487","7","1480","7","1487","","0","1480","7","1487","79","1408","31","1146","58","11","26","55","69","12","29.10.12"
"681391","190","Хмельницька область","славутське лісництво, актовий зал
вул.Князів Сангушків, 116, м.Славута, Хмельницька обл., 30000","1024","467","1005","12","549","8","557","","0","549","8","557","17","540","2","100","6","11","7","30","383","1","29.10.12"
"681392","190","Хмельницька область","школа №4, актовий зал
вул.Миру, 29, м.Славута, Хмельницька обл., 30000","1328","675","1305","10","648","5","653","","0","648","5","653","13","640","5","126","6","25","7","39","428","4","29.10.12"
"681393","190","Хмельницька область","клуб АТ ""Комбінат ""Будфарфор"", актовий зал
вул.Козацька, 122, м.Славута, Хмельницька обл., 30000","1152","554","1128","12","586","12","598","","0","586","12","598","9","589","5","132","7","21","10","38","375","1","29.10.12"
"681394","190","Хмельницька область","клуб ліцею-інтернату, актовий зал
вул.Князів Сангушків, 8, м.Славута, Хмельницька обл., 30000","1176","585","1150","20","577","14","591","","0","577","14","591","13","578","1","120","4","17","3","33","398","2","29.10.12"
"681395","190","Хмельницька область","дитячо-юнацька спортивна школа, великий спортзал
вул.Острозька, 6А, м.Славута, Хмельницька обл., 30000","2336","1092","2336","36","1208","36","1244","","0","1208","36","1244","20","1224","6","228","15","50","10","92","822","1","29.10.12"
"681396","190","Хмельницька область","кінотеатр ім.Т.Г.Шевченка, фойє
площа Тараса Шевченка, 3, м.Славута, Хмельницька обл., 30000","2144","979","2119","23","1147","18","1165","","0","1147","18","1165","20","1145","5","219","21","41","12","54","788","5","29.10.12"
"681397","190","Хмельницька область","НВК ""Школа-гімназія"", актовий зал
вул.Козацька, 36, м.Славута, Хмельницька обл., 30000","2080","938","2040","19","1125","17","1142","","0","1125","17","1142","24","1118","6","221","18","33","8","51","779","2","29.10.12"
"681398","190","Хмельницька область","ЖЕК №2, фойє
вул.Садова, 17, м.Славута, Хмельницька обл., 30000","1424","634","1406","15","780","10","790","","0","780","10","790","16","774","8","207","15","65","5","25","444","5","29.10.12"
"681399","190","Хмельницька область","школа №9, актовий зал
вул.Ярослава Мудрого, 59, м.Славута, Хмельницька обл., 30000","2336","1078","2307","20","1242","16","1258","","0","1242","16","1258","33","1225","6","334","42","100","8","45","687","3","29.10.12"
"681400","190","Хмельницька область","школа-гімназія №5, спортзал
вул.Ярослава Мудрого, 60, м.Славута, Хмельницька обл., 30000","1344","612","1332","7","726","6","732","","0","726","6","732","30","702","6","164","20","36","4","36","436","0","29.10.12"
"681401","190","Хмельницька область","спорткомплекс, фойє правого крила
вул.Гната Кузовкова, 19, м.Славута, Хмельницька обл., 30000","1360","670","1335","11","679","11","690","","0","679","11","690","12","678","3","152","13","31","3","31","439","6","29.10.12"
"681402","190","Хмельницька область","спорткомплекс, фойє лівого крила
вул.Гната Кузовкова, 19, м.Славута, Хмельницька обл., 30000","1168","540","1146","4","624","4","628","","0","624","4","628","14","614","4","128","16","14","6","39","406","1","29.10.12"
"681403","190","Хмельницька область","школа №1, актовий зал
вул.Гната Кузовкова, 12, м.Славута, Хмельницька обл., 30000","2400","1183","2357","23","1202","15","1217","","0","1202","15","1217","31","1186","7","255","17","31","10","59","803","4","29.10.12"
"681404","190","Хмельницька область","районний будинок культури, актовий зал
вул.Богдана Хмельницького, 82, м.Славута, Хмельницька обл., 30000","2104","954","2090","23","1132","18","1150","","0","1132","18","1150","32","1118","8","225","22","27","10","48","776","2","29.10.12"
"681405","190","Хмельницька область","школа №3, спортзал
вул.Марії Лисенко, 2А, м.Славута, Хмельницька обл., 30000","1128","539","1108","19","576","13","589","","0","576","13","589","19","570","2","137","10","15","5","45","354","2","29.10.12"
"681406","190","Хмельницька область","школа №7, спортзал
вул.Перемоги, 17, м.Славута, Хмельницька обл., 30000","1304","674","1282","12","625","5","630","","0","625","5","630","16","614","3","194","7","13","7","16","373","1","29.10.12"
"681407","190","Хмельницька область","ДНЗ №3, актовий зал
вул.Зарічна, 27, м.Славута, Хмельницька обл., 30000","1264","617","1252","9","639","8","647","","0","639","8","647","23","624","3","150","7","11","3","15","431","4","29.10.12"
"681408","190","Хмельницька область","славутська ЦРЛ, фойє лікувального корпусу №2
вул.Соборності, 32, м.Славута, Хмельницька обл., 30000","328","265","76","60","16","47","63","","0","16","47","63","2","61","0","28","1","2","0","3","27","0","29.10.12"
"681537","190","Хмельницька область","школа №8, їдальня.
вул.Горького, 44, м.Шепетівка, Хмельницька обл., 30400","1368","766","1353","22","583","19","602","","0","583","19","602","23","579","7","268","17","52","4","44","183","4","29.10.12"
"681538","190","Хмельницька область","ВАТ ""ПМК-181"", актова зала.
вул.Новоград-Волинська, 30, м.Шепетівка, Хмельницька обл., 30400","1488","958","1467","15","515","15","530","","0","515","15","530","8","522","17","213","5","39","8","36","203","1","29.10.12"
"681539","190","Хмельницька область","Спортзал ""Локомотив"", спортивна зала.
вул.Залізнична, 71, м.Шепетівка, Хмельницька обл., 30400","1944","924","1921","14","1007","13","1020","","0","1007","13","1020","17","1003","31","382","46","109","17","50","362","6","29.10.12"
"681540","190","Хмельницька область","школа №6, їдальня.
вул.Карла Маркса, 96, м.Шепетівка, Хмельницька обл., 30400","2360","1228","2317","17","1116","16","1132","","0","1116","16","1132","24","1108","24","471","26","69","9","77","426","6","29.10.12"
"681541","190","Хмельницька область","ЦЕНТУМ, актова зала.
вул.Ватутіна, 59, м.Шепетівка, Хмельницька обл., 30400","2400","1230","2371","12","1158","12","1170","","0","1158","12","1170","32","1138","54","425","105","24","59","13","454","4","29.10.12"
"681542","190","Хмельницька область","школа НВК№3, 1-й поверх.
вул.Українська, 67, м.Шепетівка, Хмельницька обл., 30400","2424","1144","2378","12","1272","8","1280","","0","1272","8","1280","32","1248","55","523","39","104","18","67","436","6","29.10.12"
"681543","190","Хмельницька область","ВАТ ""АТП 16807"", їдальня.
вул.Лермонтова, 2, м.Шепетівка, Хмельницька обл., 30400","1832","955","1781","19","863","14","877","","0","863","14","877","30","847","47","361","36","39","7","55","298","4","29.10.12"
"681544","190","Хмельницька область","школа №4, 1-й поверх.
вул.Валі Котика, 75, м.Шепетівка, Хмельницька обл., 30400","1928","1070","1902","11","850","8","858","","0","850","8","858","23","835","38","367","15","49","12","57","284","13","29.10.12"
"681545","190","Хмельницька область","Сільськогосподарський технікум, 1-й поверх.
просп.Миру, 25, м.Шепетівка, Хмельницька обл., 30400","1848","954","1805","17","883","11","894","","0","883","11","894","21","873","34","356","29","56","9","42","343","4","29.10.12"
"681546","190","Хмельницька область","НВК №1, к.33, актова зала.
вул.Горбатюка, 61, м.Шепетівка, Хмельницька обл., 30400","1872","1017","1857","1","854","1","855","","0","854","1","855","17","838","14","319","26","53","10","72","342","2","29.10.12"
"681547","190","Хмельницька область","музична школа, великий зал, 2-й поверх.
вул.Карла Маркса, 69, м.Шепетівка, Хмельницька обл., 30400","2064","1067","2038","11","988","9","997","","0","988","9","997","22","975","28","449","29","72","22","58","311","6","29.10.12"
"681548","190","Хмельницька область","будинок культури, 2-й поверх.
вул.Карла Маркса, 54, м.Шепетівка, Хмельницька обл., 30400","2008","975","1947","18","1018","15","1033","","0","1018","15","1033","26","1007","21","431","39","84","25","42","359","6","29.10.12"
"681549","190","Хмельницька область","школа №2, 1-й поверх.
вул.Карла Маркса, 34, м.Шепетівка, Хмельницька обл., 30400","1728","857","1691","21","855","16","871","","0","855","16","871","25","846","43","324","24","67","13","56","317","2","29.10.12"
"681550","190","Хмельницька область","Відділення соціально-побутової адаптації територитроіального центру, актова зала.
вул.Стуса, 11, м.Шепетівка, Хмельницька обл., 30400","2224","1198","2210","10","1021","5","1026","","0","1021","5","1026","32","994","33","461","28","51","11","54","354","2","29.10.12"
"681551","190","Хмельницька область","ВАТ ЕК ""Хмельницькобленерго"" Шепетівський РЕМ, актова зала.
вул.Пліщинська, 176, м.Шепетівка, Хмельницька обл., 30400","1632","887","1617","7","738","7","745","","0","738","7","745","16","729","44","303","7","19","12","55","286","3","29.10.12"
"681552","190","Хмельницька область","ПАТ ""Цукровий комбінат"", актова зала, 3-й поверх.
шосе Старокостянтинівське, 31, м.Шепетівка, Хмельницька обл., 30400","2104","1194","2091","26","886","24","910","","0","886","24","910","18","892","24","376","25","37","16","55","352","7","29.10.12"
"681553","190","Хмельницька область","школа №3, 1-й поверх.
вул.Судилківська, 19, м.Шепетівка, Хмельницька обл., 30400","1856","906","1826","16","934","16","950","","0","934","16","950","22","928","29","364","20","56","14","64","373","8","06.11.12"
"681554","190","Хмельницька область","КП ""ШРЕП"", актова зала.
вул.Судилківська, 57, м.Шепетівка, Хмельницька обл., 30400","1760","957","1727","4","799","4","803","","0","799","4","803","21","782","16","402","15","43","8","36","259","3","28.10.12"
"681555","190","Хмельницька область","ВАТ ""Завод культиваторів"", велика зала, 2-й поверх.
вул.Титова, 1А, м.Шепетівка, Хмельницька обл., 30400","1648","866","1580","14","768","14","782","","0","768","14","782","32","750","29","356","32","51","10","40","229","3","28.10.12"
"681556","190","Хмельницька область","залізничний клуб, 1-й поверх.
вул.Полубоярова, 1, м.Шепетівка, Хмельницька обл., 30400","816","446","794","6","364","6","370","","0","364","6","370","5","365","7","173","10","28","5","21","117","4","28.10.12"
"681557","190","Хмельницька область","Центральна района лікарня.
вул.В.Котика, 85, м.Шепетівка, Хмельницька обл., 30400","384","308","143","69","25","51","76","","0","25","51","76","0","76","2","52","2","5","1","2","12","0","28.10.12"
"681558","190","Хмельницька область","Вузлова лікарня.
вул.Карла Маркса, 96, м.Шепетівка, Хмельницька обл., 30400","112","74","67","6","32","6","38","","0","32","6","38","0","38","0","15","0","1","1","4","17","0","28.10.12"
