"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Беспалов
Дмитро
Анатолійович","Божук
Олександр
Миколайович","Гуцул
Іван
Володимирович","Кліщ
Віктор
Васильович","Коліщак
Віктор
Михайлович","Кушнір
Віктор
Миколайович","Лабазюк
Сергій
Петрович","Мазуренко
Андрій
Вікторович","Мовчан
Віталій
Андрійович","Плюта
Вадим
Олександрович","Селіфонтьєв
Сергій
Іванович","Співачук
Вадим
Володимирович","Теленько
Богдан
Петрович","Туркот
Микола
Петрович","Шевчук
Анатолій
Петрович","Шемчук
Олександр
Олександрович","Дата підписання протоколу"
"680105","188","Хмельницька область","сільська бібліотека, читальна зала
вул.Центральна, 1, с.Авратин, Волочиський р-н, Хмельницька обл., 31211","488","167","482","40","286","35","321","","0","286","35","321","9","312","28","3","1","0","38","2","222","0","14","1","0","1","0","1","0","1","29.10.12"
"680106","188","Хмельницька область","сільський будинок культури, глядацька зала
вул.Центральна, 51, с.Богданівка, Волочиський р-н, Хмельницька обл., 31220","384","101","377","33","251","32","283","","0","251","32","283","6","277","14","1","0","2","55","3","185","1","8","0","0","0","0","7","1","0","29.10.12"
"680107","188","Хмельницька область","сільський будинок культури, глядацька зала
вул.Травнева, 26, с.Бокиївка, Волочиський р-н, Хмельницька обл., 31264","300","84","301","24","192","24","216","","0","192","24","216","6","210","20","3","2","3","42","3","124","1","9","1","0","0","0","2","0","0","28.10.12"
"680108","188","Хмельницька область","фельдшерсько-акушерський пункт, к.1
вул.Гагаріна, 17, с.Медведівка, Волочиський р-н, Хмельницька обл., 31264","112","29","108","16","68","15","83","","0","68","15","83","2","81","8","0","0","0","9","0","62","0","0","0","0","0","0","2","0","0","29.10.12"
"680109","188","Хмельницька область","сільська рада, кабінет дільничного інспектора, 1-й поверх
вул.Шкільна, 2, с.Бронівка, Волочиський р-н, Хмельницька обл., 31270","284","77","284","31","177","30","207","","0","177","30","207","5","202","7","1","1","1","61","4","105","0","17","2","0","0","1","2","0","0","28.10.12"
"680110","188","Хмельницька область","сільський клуб, глядацька зала
вул.Центральна, 19, с.Видава, Волочиський р-н, Хмельницька обл., 31271","220","51","215","21","148","21","169","","0","148","21","169","1","168","22","0","3","5","25","1","98","0","12","0","1","0","1","0","0","0","29.10.12"
"680111","188","Хмельницька область","сільський будинок культури, мала зала, 1-й поверх
вул.Центральна, 43, с.Бубнівка, Волочиський р-н, Хмельницька обл., 31235","736","301","722","32","410","25","435","","0","410","25","435","14","421","49","2","6","5","54","1","252","1","30","2","2","0","4","9","0","4","28.10.12"
"680112","188","Хмельницька область","сільський клуб, глядацька зала
вул.Паркова, 19, с.Новоленськ, Волочиський р-н, Хмельницька обл., 31235","136","29","130","3","104","3","107","","0","104","3","107","4","103","24","2","0","1","19","0","54","0","3","0","0","0","0","0","0","0","28.10.12"
"680113","188","Хмельницька область","сільський клуб, глядацька зала
вул.Центральна, 14, с.Сергіївка, Волочиський р-н, Хмельницька обл., 31260","228","63","225","18","150","15","165","","0","150","15","165","4","161","57","0","2","1","23","1","56","2","5","3","0","1","0","9","0","1","29.10.12"
"680114","188","Хмельницька область","селищний будинок культури, глядацька зала
вул.Радянська, 8, смт Війтівці, Волочиський р-н, Хмельницька обл., 31256","816","245","811","62","511","60","571","","0","511","60","571","11","560","119","3","3","4","95","5","271","0","45","2","1","3","1","8","0","0","05.11.12"
"680115","188","Хмельницька область","міський клуб, глядацька зала, 1-й поверх
вул.Незалежності, 316, м.Волочиськ, Волочиський р-н, Хмельницька обл., 31200","1984","692","1965","37","1260","32","1292","","0","1260","32","1292","24","1268","184","10","42","5","169","1","732","4","82","6","1","0","6","22","2","2","04.11.12"
"680116","188","Хмельницька область","контора філії ""Хмельницькгаз"", актова зала, 1-й поверх
вул.ім.Богуслаєва, 9, м.Волочиськ, Волочиський р-н, Хмельницька обл., 31200","1196","488","1191","30","679","29","708","","0","679","29","708","10","698","84","10","10","2","87","3","417","1","61","8","3","1","2","6","1","2","29.10.12"
"680117","188","Хмельницька область","районний будинок культури, обрядова зала, 2-й поверх
пл.Центральна, 2, м.Волочиськ, Волочиський р-н, Хмельницька обл., 31200","2396","943","2379","31","1424","29","1453","","0","1424","29","1453","19","1434","218","14","26","5","128","4","897","3","104","11","1","1","0","16","1","5","29.10.12"
"680118","188","Хмельницька область","центр ранньої реабілітації, фойє, 1-й поверх
вул.Пушкіна, 33, м.Волочиськ, Волочиський р-н, Хмельницька обл., 31200","1580","642","1550","33","908","30","938","","0","908","30","938","14","924","149","9","8","7","127","4","501","1","81","15","0","1","4","12","1","4","29.10.12"
"680119","188","Хмельницька область","кінотеатр "" Україна "", глядацька зала, 1-й поверх
вул.Незалежності, 86, м.Волочиськ, Волочиський р-н, Хмельницька обл., 31200","2392","978","2381","22","1395","19","1414","","0","1395","19","1414","10","1404","175","11","16","3","120","5","913","2","122","8","1","4","1","15","3","5","29.10.12"
"680120","188","Хмельницька область","навчально-виховний комплекс №6, фойє, 1-й поверх
вул.Починка, 2, м.Волочиськ, Волочиський р-н, Хмельницька обл., 31200","2416","1043","2394","11","1365","8","1373","","0","1365","8","1373","26","1347","221","10","15","4","138","2","834","0","96","9","1","2","3","8","2","2","05.11.12"
"680121","188","Хмельницька область","дитсадок "" Калинка "", музична зала, 1-й поверх
вул.Музейна, 2, м.Волочиськ, Волочиський р-н, Хмельницька обл., 31200","2448","1018","2414","19","1418","12","1430","","0","1418","12","1430","21","1409","212","11","21","4","150","6","881","2","91","9","1","8","0","9","0","4","29.10.12"
"680122","188","Хмельницька область","школа №5, фойє, 2-й поверх
вул.Смотрицького, 4, м.Волочиськ, Волочиський р-н, Хмельницька обл., 31200","2144","989","2120","16","1146","9","1155","","0","1146","9","1155","13","1142","176","14","22","1","113","8","676","2","93","11","3","0","4","16","1","2","29.10.12"
"680123","188","Хмельницька область","сільський клуб, глядацька зала
вул.Центральна, 19, с.Вочківці, Волочиський р-н, Хмельницька обл., 31215","436","151","439","22","267","18","285","","0","267","18","285","15","270","15","3","2","1","54","3","169","0","15","1","0","0","4","2","0","1","30.10.12"
"680124","188","Хмельницька область","сільський клуб, глядацька зала
вул.Т.Шевченка, 3, с.Гарнишівка, Волочиський р-н, Хмельницька обл., 31242","464","136","451","42","290","38","328","","0","290","38","328","5","323","25","1","5","2","58","3","206","1","16","3","0","2","0","0","0","1","28.10.12"
"680125","188","Хмельницька область","сільський клуб, фойє
вул.Центральна, 2, с.Іванівці, Волочиський р-н, Хмельницька обл., 31242","308","99","304","32","177","32","209","","0","177","32","209","6","203","26","2","2","1","31","1","120","0","16","0","1","1","0","2","0","0","30.10.12"
"680126","188","Хмельницька область","сільський клуб, глядацька зала
вул.Московська, 25, с.Дзеленці, Волочиський р-н, Хмельницька обл., 31265","332","93","323","35","207","32","239","","0","207","32","239","8","231","38","2","1","0","68","1","107","2","5","2","1","1","1","2","0","0","28.10.12"
"680127","188","Хмельницька область","адмінбудівля ТзОВ АФ ""Онікс"", к.1, 1-й поверх
вул.Центральна, 86, с.Завалійки, Волочиський р-н, Хмельницька обл., 31257","444","133","434","64","247","64","311","","0","247","64","311","6","305","54","17","6","7","78","1","114","1","15","1","2","1","3","4","0","1","28.10.12"
"680128","188","Хмельницька область","сільський клуб, глядацька зала
вул.Центральна, 8, с.Завалійки, Волочиський р-н, Хмельницька обл., 31257","312","81","306","50","187","44","231","","0","187","44","231","3","228","18","12","2","5","86","2","87","0","11","1","0","0","2","1","0","1","29.10.12"
"680129","188","Хмельницька область","сільський клуб, глядацька зала
вул.Центральна, 24, с.Зайчики, Волочиський р-н, Хмельницька обл., 31274","144","24","145","19","101","19","120","","0","101","19","120","1","119","11","1","0","5","28","2","68","0","2","1","0","0","0","0","0","1","29.10.12"
"680130","188","Хмельницька область","сільський клуб, глядацька зала
вул.Центральна, 16, с.Постолівка, Волочиський р-н, Хмельницька обл., 31274","176","44","173","25","108","24","132","","0","108","24","132","2","130","18","1","2","0","23","1","84","0","0","0","0","0","0","1","0","0","29.10.12"
"680131","188","Хмельницька область","сільський клуб, фойє
вул.Незалежності, 17, с.Зелена, Волочиський р-н, Хмельницька обл., 31251","396","123","389","38","239","34","273","","0","239","34","273","16","257","25","3","5","1","46","1","153","1","14","0","1","0","2","4","0","1","29.10.12"
"680132","188","Хмельницька область","школа, учительська кімната, 1-й поверх
вул.Шкільна, 11, с.Клинини, Волочиський р-н, Хмельницька обл., 31224","472","121","466","71","284","67","351","","0","284","67","351","5","346","19","2","8","5","41","1","263","1","2","0","2","0","0","0","0","2","28.10.12"
"680133","188","Хмельницька область","сільський клуб, танцювальна зала, 1-й поверх
вул.Леніна, 10, с.Копачівка, Волочиський р-н, Хмельницька обл., 31240","680","202","674","44","436","42","478","","0","436","42","478","7","471","34","25","8","2","73","3","297","1","21","1","0","0","0","4","1","1","29.10.12"
"680134","188","Хмельницька область","сільський будинок культури, глядацька зала, 1-й поверх
вул.Первомайська, 47, с.Лозова, Волочиський р-н, Хмельницька обл., 31241","580","133","571","54","393","54","447","","0","393","54","447","8","439","32","46","13","4","46","4","277","0","10","1","0","0","2","3","0","1","29.10.12"
"680135","188","Хмельницька область","сільський клуб, глядацька зала
вул.Матросова, 2, с.Мислова, Волочиський р-н, Хмельницька обл., 31201","240","50","237","17","173","17","190","","0","173","17","190","5","185","24","5","6","2","13","2","118","0","11","1","0","1","1","0","0","1","29.10.12"
"680136","188","Хмельницька область","сільський будинок культури, танцювальна зала
вул.Незалежності, 50, с.Користова, Волочиський р-н, Хмельницька обл., 31202","1204","450","1195","24","733","21","754","","0","733","21","754","10","744","79","13","19","3","111","6","429","2","60","5","0","1","0","9","5","2","29.10.12"
"680137","188","Хмельницька область","школа, фойє, 1-й поверх
вул.Набережна, 18А, с.Бальківці, Волочиський р-н, Хмельницька обл., 31209","648","264","638","21","365","19","384","","0","365","19","384","9","375","32","2","3","1","78","4","221","1","30","0","1","0","0","0","0","2","29.10.12"
"680138","188","Хмельницька область","сільський будинок культури, глядацька зала
вул.Центральна, 7А, с.Кривачинці, Волочиський р-н, Хмельницька обл., 31252","736","215","739","52","470","51","521","","0","470","51","521","6","515","107","4","9","5","111","6","227","3","30","5","0","1","3","4","0","0","29.10.12"
"680139","188","Хмельницька область","сільський клуб, глядацька зала
вул.Миру, 20В, с.Криштопівка, Волочиський р-н, Хмельницька обл., 31253","320","102","319","20","203","15","218","","0","203","15","218","9","209","29","3","4","3","52","1","105","0","6","3","0","0","0","2","1","0","29.10.12"
"680140","188","Хмельницька область","сільський будинок культури, глядацька зала
вул.О.І. Жиліна, 46, с.Купіль, Волочиський р-н, Хмельницька обл., 31226","564","160","560","42","367","37","404","","0","367","37","404","7","397","40","2","5","5","91","4","233","1","12","0","0","0","0","2","1","1","28.10.12"
"680141","188","Хмельницька область","сільський клуб, глядацька зала
вул.Центральна, 39, с.Гайдайки, Волочиський р-н, Хмельницька обл., 31226","232","73","230","35","128","31","159","","0","128","31","159","7","152","48","0","2","1","21","2","69","0","1","0","2","0","0","5","1","0","28.10.12"
"680142","188","Хмельницька область","сільський клуб, фойє, 1-й поверх
вул.Центральна, 13, с.Курилівка, Волочиський р-н, Хмельницька обл., 31213","436","91","439","23","322","23","345","","0","322","23","345","8","337","23","0","6","0","14","4","273","0","7","0","0","1","1","4","0","4","29.10.12"
"680143","188","Хмельницька область","сільський будинок культури, фойє, 1-й поверх
вул.Центральна, 5, с.Маначин, Волочиський р-н, Хмельницька обл., 31243","572","168","566","64","343","61","404","","0","343","61","404","6","398","33","2","3","8","144","4","158","0","26","9","2","0","0","7","1","1","29.10.12"
"680144","188","Хмельницька область","селищний будинок культури, фойє, 1-й поверх
вул.Театральна, 1, смт Наркевичі, Волочиський р-н, Хмельницька обл., 31260","1228","445","1212","46","741","42","783","","0","741","42","783","23","760","161","6","20","3","145","3","294","4","38","6","0","2","0","73","1","4","29.10.12"
"680145","188","Хмельницька область","сільський будинок культури, танцювальна зала
вул.Жовтнева, 31, с.Юхимівці, Волочиський р-н, Хмельницька обл., 31261","780","351","778","65","367","62","429","","0","367","62","429","12","417","60","1","17","6","78","5","199","2","19","13","2","3","1","7","1","3","29.10.12"
"680146","188","Хмельницька область","сільський клуб, глядацька зала
вул.Гагаріна, 7, с.Нова Гребля, Волочиський р-н, Хмельницька обл., 31220","140","19","137","14","107","14","121","","0","107","14","121","1","120","5","0","0","2","37","0","71","0","2","2","0","0","0","1","0","0","29.10.12"
"680147","188","Хмельницька область","сільський клуб, глядацька зала
вул.Шкільна, 1, с.Іванівка, Волочиський р-н, Хмельницька обл., 31220","184","51","179","13","122","11","133","","0","122","11","133","1","132","1","0","1","2","46","2","75","0","3","0","0","0","0","0","0","2","29.10.12"
"680148","188","Хмельницька область","сільська рада, кабінет сільського голови
вул.Центральна, 3, с.Ожигівці, Волочиський р-н, Хмельницька обл., 31214","388","118","379","61","209","61","270","","0","209","61","270","5","265","23","1","2","0","36","3","184","0","8","2","1","0","0","4","0","1","29.10.12"
"680149","188","Хмельницька область","сільський будинок культури, глядацька зала
вул.Центральна, 1/1, с.Павликівці, Волочиський р-н, Хмельницька обл., 31266","228","81","225","23","127","20","147","","0","127","20","147","0","147","17","0","3","3","25","1","80","0","3","0","0","0","0","13","0","2","29.10.12"
"680150","188","Хмельницька область","фельдшерсько-акушерський пункт, фойє
вул.Центральна, 1/1, с.Мочулинці, Волочиський р-н, Хмельницька обл., 31266","72","18","71","13","43","11","54","","0","43","11","54","1","53","4","0","1","1","25","1","16","0","1","0","0","0","0","4","0","0","29.10.12"
"680151","188","Хмельницька область","сільський будинок культури, глядацька зала
вул.Центральна, 5, с.Пахутинці, Волочиський р-н, Хмельницька обл., 31234","368","146","364","10","216","6","222","","0","216","6","222","5","217","57","1","4","3","49","0","74","0","19","2","0","2","0","3","0","3","29.10.12"
"680152","188","Хмельницька область","фельдшерсько-акушерський пункт, к.1
вул.Шевченка, 3, с.Копачівка Друга, Волочиський р-н, Хмельницька обл., 31234","104","26","101","5","74","4","78","","0","74","4","78","3","75","16","0","2","1","11","1","41","1","0","0","0","0","0","2","0","0","29.10.12"
"680153","188","Хмельницька область","сільський клуб, глядацька зала
вул.Слави, 4А, с.Петриківці, Волочиський р-н, Хмельницька обл., 31254","260","82","256","20","161","17","178","","0","161","17","178","7","171","9","0","1","2","38","2","115","0","2","1","0","0","0","0","1","0","29.10.12"
"680154","188","Хмельницька область","сільський клуб, глядацька зала
вул.Свободи, 1, с.Качуринці, Волочиський р-н, Хмельницька обл., 31254","88","25","87","5","58","5","63","","0","58","5","63","5","58","8","1","0","0","23","1","22","0","0","0","0","0","1","1","1","0","28.10.12"
"680155","188","Хмельницька область","сільський будинок культури, дискозала
вул.Першотравнева, 49, с.Писарівка, Волочиський р-н, Хмельницька обл., 31250","1328","422","1315","114","792","114","906","","0","792","114","906","27","879","89","5","19","9","165","7","487","1","74","5","0","2","3","5","4","4","29.10.12"
