"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Бондар
Віктор
Васильович","Бондар
Віктор
Григорович","Гнатюк
Микола
Григорович","Дерикот
Микола
Васильович","Корнійчук
Ігор
Володимирович","Мурза
Валерій
Григорович","Притула
Михайло
Михайлович","Слободянюк
Віталій
Борисович","Чиж
Іван
Сергійович","Шпак
Василь
Володимирович","Шпак
Василь
Федорович","Дата підписання протоколу"
"680961","191","Хмельницька область","навчально-виробниче об’єднання, спортивна зала
вул.Леніна, 2/10, с.Старий Остропіль, Старокостянтинівський р-н, Хмельницька обл.,31146","528","170","522","36","327","31","358","","0","327","31","358","18","340","74","6","59","72","23","45","1","1","19","16","24","29.10.12"
"680962","191","Хмельницька область","навчально-виробничий комбінат, актова зала
вул.Чапаєва, 3/1, с.Старий Остропіль, Старокостянтинівський р-н, Хмельницька обл.,31146","402","151","389","22","235","16","251","","0","235","16","251","6","245","19","2","28","71","21","63","2","4","10","9","16","29.10.12"
"680963","191","Хмельницька область","сільський клуб, актова зала
вул.Комунарів, 35, с.Райки, Старокостянтинівський р-н, Хмельницька обл., 31146","150","41","149","10","99","10","109","","0","99","10","109","7","102","9","0","13","22","2","27","1","0","1","8","19","29.10.12"
"680964","191","Хмельницька область","будинок культури, актова зала
вул.Центральна, 4/1, с.Стецьки, Старокостянтинівський р-н, Хмельницька обл., 31115","504","161","499","54","302","41","343","","0","302","41","343","6","337","28","8","82","155","1","31","0","0","5","8","19","29.10.12"
"680965","191","Хмельницька область","школа, спортивна зала
вул.Шкільна, 31, с.Чорна, Старокостянтинівський р-н, Хмельницька обл., 31140","384","127","372","44","219","38","257","","0","219","38","257","8","249","66","5","28","91","6","39","0","1","1","7","5","29.10.12"
"680966","191","Хмельницька область","школа, спортзал
вул.Шкільна, 7, с.Адампіль, Старосинявський р-н, Хмельницька обл., 31416","720","256","708","23","444","20","464","","0","444","20","464","10","454","135","6","33","60","12","127","0","3","11","8","59","28.10.12"
"680967","191","Хмельницька область","сільський клуб, глядацький зал
вул.Крупської, 14А, с.Липки, Старосинявський р-н, Хмельницька обл., 31416","198","47","194","13","138","13","151","","0","138","13","151","1","150","20","0","1","21","3","13","1","1","2","13","75","29.10.12"
"680968","191","Хмельницька область","сільський клуб, глядацький зал
вул.Зарічна, 10А, с.Перекора, Старосинявський р-н, Хмельницька обл., 31416","156","47","151","8","101","8","109","","0","101","8","109","5","104","15","1","5","30","4","22","0","1","2","7","17","29.10.12"
"680969","191","Хмельницька область","школа, спортзал
вул.Лесі Українки, 13А, с.Бабине, Старосинявський р-н, Хмельницька обл., 31423","462","175","455","36","255","32","287","","0","255","32","287","7","280","61","5","17","54","4","105","1","2","3","7","21","29.10.12"
"680970","191","Хмельницька область","сільський клуб, глядацький зал
вул.Ганжі, 18Б, с.Дубова, Старосинявський р-н, Хмельницька обл., 31423","114","24","113","10","80","10","90","","0","80","10","90","4","86","34","3","2","9","1","15","0","0","0","6","16","29.10.12"
"680971","191","Хмельницька область","школа, спортзал
вул.Радянська, 21, с.Залісся, Старосинявський р-н, Хмельницька обл., 31431","456","145","448","40","273","38","311","","0","273","38","311","16","295","72","12","7","50","9","66","1","2","16","21","39","29.10.12"
"680972","191","Хмельницька область","сільський клуб, глядацький зал
вул.Карла Маркса, 20, с.Подоляни, Старосинявський р-н, Хмельницька обл., 31431","150","52","148","3","95","3","98","","0","95","3","98","2","96","25","8","2","10","22","0","0","9","9","5","6","28.10.12"
"680973","191","Хмельницька область","школа, спортзал
вул.Корчагіна, 3, с.Заставці, Старосинявський р-н, Хмельницька обл., 31400","918","369","905","25","530","19","549","","0","530","19","549","16","533","177","7","22","62","32","134","0","5","21","16","57","28.10.12"
"680974","191","Хмельницька область","школа, актова зала
вул.Шкільна, 4А, с.Ілятка, Старосинявський р-н, Хмельницька обл., 31445","162","40","155","10","113","9","122","","0","113","9","122","5","117","35","5","8","10","1","21","0","2","4","7","24","29.10.12"
"680975","191","Хмельницька область","цегельний завод, зал засідань
вул.Красносільська, цегельний завод, с.Красносілка, Старосинявський р-н, Хмельницька обл., 31445","72","11","69","10","51","10","61","","0","51","10","61","1","60","18","1","1","19","3","11","1","0","1","0","5","28.10.12"
"680976","191","Хмельницька область","сільський клуб, глядацький зал
вул.В.Котика, 4А, с.Чехи, Старосинявський р-н, Хмельницька обл., 31445","162","55","157","6","102","5","107","","0","102","5","107","2","105","26","3","1","19","1","12","0","0","4","9","30","28.10.12"
"680977","191","Хмельницька область","сільський клуб, глядацький зал
вул.Шкільна, 16А, с.Щербані, Старосинявський р-н, Хмельницька обл., 31445","270","96","267","18","160","14","174","","0","160","14","174","3","171","46","6","22","19","7","24","1","0","12","12","22","29.10.12"
"680978","191","Хмельницька область","сільська рада, зал засідань
вул.Центральна, 7, с.Івки, Старосинявський р-н, Хмельницька обл., 31424","180","47","170","18","116","17","133","","0","116","17","133","2","131","44","4","8","23","1","8","0","0","0","6","37","29.10.12"
"680979","191","Хмельницька область","сільський клуб, глядацький зал
вул.Піонерська, 27, с.Мисюрівка, Старосинявський р-н, Хмельницька обл., 31424","330","111","319","24","195","24","219","","0","195","24","219","6","213","57","11","14","34","9","53","0","2","6","6","21","29.10.12"
"680980","191","Хмельницька область","сільський клуб, глядацький зал
вул.Першотравнева, 17А, с.Травневе, Старосинявський р-н, Хмельницька обл., 31424","78","15","77","4","59","4","63","","0","59","4","63","0","63","16","4","3","16","2","12","0","0","1","0","9","29.10.12"
"680981","191","Хмельницька область","будинок культури, глядацький зал
вул.Молодіжна, 1, с.Лисанівці, Старосинявський р-н, Хмельницька обл., 31440","306","94","303","19","193","19","212","","0","193","19","212","8","204","47","7","14","30","8","70","0","4","10","5","9","29.10.12"
"680982","191","Хмельницька область","сільський клуб, глядацький зал
вул.Шкільна, 7, с.Паньківці, Старосинявський р-н, Хмельницька обл., 31441","360","107","358","20","233","20","253","","0","233","20","253","2","251","85","6","9","29","7","31","2","1","7","20","54","28.10.12"
"680983","191","Хмельницька область","школа, спортзал
вул.Комсомольська, 16, с.Мшанець, Старосинявський р-н, Хмельницька обл., 31411","294","84","287","16","197","13","210","","0","197","13","210","14","196","43","9","19","26","1","39","1","1","22","9","26","29.10.12"
"680984","191","Хмельницька область","будинок культури, глядацький зал
вул.Перемоги, 8А, с.Нова Синявка, Старосинявський р-н, Хмельницька обл., 31433","846","290","842","60","502","54","556","","0","502","54","556","22","534","54","11","25","163","16","119","1","3","8","31","103","29.10.12"
"680985","191","Хмельницька область","сільський клуб, глядацький зал
вул.ім.Левицького В.Й., 4, с.Ожарівка, Старосинявський р-н, Хмельницька обл., 31410","114","25","107","12","80","9","89","","0","80","9","89","2","87","19","1","11","8","3","11","1","22","2","0","9","29.10.12"
"680986","191","Хмельницька область","школа, спортзал
вул.Перемоги, 24, с.Пишки, Старосинявський р-н, Хмельницька обл., 31410","210","52","203","20","138","20","158","","0","138","20","158","4","154","14","1","0","12","2","24","0","2","67","11","21","29.10.12"
"680987","191","Хмельницька область","будинок культури, глядацький зал
вул.Перемоги, 1/1, с.Паплинці, Старосинявський р-н, Хмельницька обл., 31430","606","191","600","67","356","59","415","","0","356","59","415","8","407","108","10","29","43","21","94","0","0","34","21","47","29.10.12"
"680988","191","Хмельницька область","сільський клуб, глядацький зал
вул.Радгоспна, 5, с.Гончариха, Старосинявський р-н, Хмельницька обл., 31430","120","32","112","10","79","9","88","","0","79","9","88","5","83","21","0","0","23","3","11","0","0","5","4","16","29.10.12"
"680989","191","Хмельницька область","будинок культури, актова зала
пл.Грушевського, 5, с.Пасічна, Старосинявський р-н, Хмельницька обл., 31414","792","218","781","47","534","40","574","","0","534","40","574","11","563","68","15","61","128","12","125","0","5","105","12","32","29.10.12"
"680990","191","Хмельницька область","сільський клуб, глядацький зал
вул.Центральна, 6, с.Гречана, Старосинявський р-н, Хмельницька обл., 31415","426","98","419","32","297","31","328","","0","297","31","328","11","317","60","6","26","70","4","71","0","2","9","10","59","28.10.12"
"680991","191","Хмельницька область","сільський клуб, глядацький зал
вул.Підлісна, 28/1, с.Рідкодуб, Старосинявський р-н, Хмельницька обл., 31414","72","13","73","6","53","6","59","","0","53","6","59","3","56","10","1","6","16","0","5","0","0","9","2","7","28.10.12"
"680992","191","Хмельницька область","торговий центр, к.3
вул.Жукова, 7, с.Пилява, Старосинявський р-н, Хмельницька обл., 31421","462","180","453","23","264","18","282","","0","264","18","282","16","266","38","3","16","39","12","81","0","5","12","13","47","28.10.12"
"680993","191","Хмельницька область","сільський клуб, глядацький зал
вул.Грушевського, 77А, с.Миколаївка, Старосинявський р-н, Хмельницька обл., 31421","156","33","151","9","116","7","123","","0","116","7","123","3","120","27","1","6","10","3","50","0","0","0","5","18","29.10.12"
"680994","191","Хмельницька область","будинок культури, актова зала
вул.Радянська, 37, с.Олексіївка, Старосинявський р-н, Хмельницька обл., 31421","438","116","433","18","305","17","322","","0","305","17","322","5","317","80","7","28","56","23","72","0","1","6","7","37","29.10.12"
"680995","191","Хмельницька область","ФАП, к.3
вул.Дзержинського, 2, с.Олександрівка, Старосинявський р-н, Хмельницька обл., 31422","66","23","64","2","41","2","43","","0","41","2","43","3","40","14","1","0","13","0","7","2","0","1","1","1","29.10.12"
"680996","191","Хмельницька область","школа, спортзал
вул.Центральна, 11А, с.Пилявка, Старосинявський р-н, Хмельницька обл., 31420","360","85","360","22","254","21","275","","0","254","21","275","14","261","79","6","9","33","3","79","0","0","3","11","38","29.10.12"
"680997","191","Хмельницька область","сільський клуб, глядацький зал
вул.Першотравнева, 18А, с.Карпівці, Старосинявський р-н, Хмельницька обл., 31420","90","23","87","9","61","6","67","","0","61","6","67","2","65","17","1","0","19","0","18","0","0","1","0","9","29.10.12"
"680998","191","Хмельницька область","сільський клуб, глядацький зал
вул.Центральна, 6, с.Сьомаки, Старосинявський р-н, Хмельницька обл., 31442","234","48","230","16","170","16","186","","0","170","16","186","4","182","39","5","15","53","10","8","0","0","13","6","33","29.10.12"
"680999","191","Хмельницька область","сільський клуб, глядацький зал
вул.Івана Франка, 20, с.Буглаї, Старосинявський р-н, Хмельницька обл., 31442","198","58","193","14","126","14","140","","0","126","14","140","3","137","47","1","15","23","4","12","0","1","2","5","27","29.10.12"
"681000","191","Хмельницька область","школа, актова зала
вул.Центральна, 6, с.Дашківці, Старосинявський р-н, Хмельницька обл., 31408","174","48","171","16","113","13","126","","0","113","13","126","5","121","45","1","2","44","3","14","0","2","1","2","7","28.10.12"
"681001","191","Хмельницька область","школа №1, фойє
вул.Грушевського, 59, смт Стара Синява, Старосинявський р-н, Хмельницька обл., 31400","1260","599","1238","57","611","50","661","","0","610","50","660","22","638","180","12","28","84","40","188","1","2","24","15","64","29.10.12"
"681002","191","Хмельницька область","районний будинок культури, дискозал
вул.Грушевського, 63, смт Стара Синява, Старосинявський р-н, Хмельницька обл., 31400","960","427","943","40","501","32","533","","0","501","32","533","15","518","191","14","16","48","22","142","2","2","16","22","43","29.10.12"
"681003","191","Хмельницька область","школа-гімназія, спортзал
вул.Грушевського, 17, смт Стара Синява, Старосинявський р-н, Хмельницька обл., 31400","1422","594","1406","51","783","45","828","","0","783","45","828","18","810","290","19","36","77","30","234","0","8","34","11","71","29.10.12"
"681004","191","Хмельницька область","школа №2, актова зала
вул.Цукрозавод, 5Б, смт Стара Синява, Старосинявський р-н, Хмельницька обл., 31400","942","359","949","42","546","37","583","","0","546","37","583","23","560","212","11","33","82","22","132","2","1","15","8","42","29.10.12"
"681005","191","Хмельницька область","сільський клуб, глядацький зал
вул.Сидоришина, 90, с.Йосипівка, Старосинявський р-н, Хмельницька обл., 31400","348","123","341","22","207","18","225","","0","207","18","225","4","221","65","5","8","54","8","47","2","2","13","7","10","28.10.12"
"681006","191","Хмельницька область","сільський клуб, глядацький зал
вул.Колгоспна, 11, с.Іванківці, Старосинявський р-н, Хмельницька обл., 31408","348","133","342","39","182","33","215","","0","182","33","215","5","210","74","4","5","40","8","35","0","0","5","10","29","28.10.12"
"681007","191","Хмельницька область","сільський клуб, глядацький зал
вул.Боженка, 35, с.Теліжинці, Старосинявський р-н, Хмельницька обл., 31409","162","52","155","20","95","15","110","","0","95","15","110","0","110","37","3","4","27","2","13","0","1","1","5","17","28.10.12"
"681008","191","Хмельницька область","сільський клуб, глядацький зал
вул.Гагаріна, 7, с.Уласово-Русанівка, Старосинявський р-н, Хмельницька обл., 31409","264","77","260","20","167","20","187","","0","167","20","187","1","186","58","6","14","28","12","43","0","0","1","6","18","29.10.12"
"681009","191","Хмельницька область","школа, актова зала
вул.Набережна, 1, с.Харківці, Старосинявський р-н, Хмельницька обл., 31412","294","70","282","33","191","33","224","","0","191","33","224","5","219","44","6","15","37","4","23","0","0","9","25","56","29.10.12"
"681010","191","Хмельницька область","школа, спортзал
вул.Жовтнева, 28, с.Цимбалівка, Старосинявський р-н, Хмельницька обл., 31413","336","75","333","38","227","34","261","","0","227","34","261","8","253","94","7","5","29","4","19","1","0","12","11","71","29.10.12"
"681011","191","Хмельницька область","школа, актова зала
вул.Гвардійська, 1, с.Яблунівка, Старосинявський р-н, Хмельницька обл., 31413","144","22","142","19","103","19","122","","0","103","19","122","1","121","12","1","1","6","0","21","0","0","3","6","71","29.10.12"
"681409","191","Хмельницька область","професійний ліцей, спортивна зала
вул.Франка, 35, м.Старокостянтинів, Хмельницька обл., 31100","2196","1031","2163","21","1156","9","1165","","0","1156","9","1165","38","1127","226","18","284","229","38","225","2","3","27","14","61","29.10.12"
"681410","191","Хмельницька область","школа №7, актова зала
вул.Прокоп’юка, 6, м.Старокостянтинів, Хмельницька обл., 31100","2166","1035","2119","16","1116","15","1131","","0","1116","15","1131","30","1101","272","26","216","252","20","223","3","6","16","14","53","29.10.12"
"681411","191","Хмельницька область","Старокостянтинівський елеватор, актова зала
вул.Кривоноса, 1, м.Старокостянтинів, Хмельницька обл., 31100","1590","822","1563","11","758","10","768","","0","758","10","768","15","753","127","19","174","147","14","142","3","6","10","26","85","29.10.12"
"681412","191","Хмельницька область","Старокостянтинівський міськрайонний центр зайнятості, фойє 1-й поверх
вул.Красовського, 4, м.Старокостянтинів, Хмельницька обл., 31100","1764","808","1735","14","950","6","956","","0","950","6","956","37","919","190","15","195","248","34","148","3","6","20","11","49","29.10.12"
"681413","191","Хмельницька область","гімназія, фойє 1-й поверх
вул.Ессенська, 4, м.Старокостянтинів, Хмельницька обл., 31100","1572","715","1546","5","854","3","857","","0","854","3","857","16","841","199","14","153","195","36","165","4","1","12","12","50","29.10.12"
"681414","191","Хмельницька область","управління освіти, актова зала
вул.Ессенська, 2, м.Старокостянтинів, Хмельницька обл., 31100","1452","659","1418","11","783","10","793","","0","783","10","793","18","775","200","19","115","165","51","133","4","5","23","8","52","29.10.12"
"681415","191","Хмельницька область","початкова школа ліцею, зал засідань
вул.Миру, 1/42, м.Старокостянтинів, Хмельницька обл., 31100","1212","538","1190","14","661","13","674","","0","661","13","674","22","652","165","15","108","139","57","98","3","2","12","10","43","29.10.12"
"681416","191","Хмельницька область","гарнізонний Будинок офіцерів, фойє 2-й поверх
вул.Миру, 1/79, м.Старокостянтинів, Хмельницька обл., 31100","1500","698","1480","13","795","7","802","","0","795","7","802","22","780","113","17","213","130","25","189","0","1","17","17","58","29.10.12"
"681417","191","Хмельницька область","ліцей, фойє 1-й поверх
вул.Миру, 14, м.Старокостянтинів, Хмельницька обл., 31100","2256","1161","2192","25","1075","20","1095","","0","1075","20","1095","20","1075","248","14","223","214","87","176","3","7","25","15","63","29.10.12"
"681418","191","Хмельницька область","художня школа, актова зала
вул.Пушкіна, 7, м.Старокостянтинів, Хмельницька обл., 31100","1164","506","1140","28","633","25","658","","0","633","25","658","13","645","89","8","163","136","19","132","3","6","13","18","58","29.10.12"
"681419","191","Хмельницька область","школа №5, спортивна зала
вул.Пугачова, 3, м.Старокостянтинів, Хмельницька обл., 31100","1296","557","1293","29","720","19","739","","0","720","19","739","30","709","155","10","116","116","27","186","1","3","24","10","61","29.10.12"
"681420","191","Хмельницька область","школа №1, актова зала
вул.Острозького, 40, м.Старокостянтинів, Хмельницька обл., 31100","1380","568","1366","26","790","22","812","","0","790","22","812","25","787","107","18","164","170","51","169","2","1","30","12","63","29.10.12"
"681421","191","Хмельницька область","школа №8, актова зала
вул.Острозького, 16, м.Старокостянтинів, Хмельницька обл., 31100","1362","614","1355","36","720","28","748","","0","720","28","748","21","727","138","19","143","135","41","163","2","6","12","12","56","29.10.12"
"681422","191","Хмельницька область","школа №3, спортивна зала
вул.Боженка, 2, м.Старокостянтинів, Хмельницька обл., 31100","2142","932","2106","43","1179","31","1210","","0","1179","31","1210","42","1168","248","25","266","251","51","217","1","5","29","17","58","29.10.12"
"681423","191","Хмельницька область","школа №6, фойє 1-й поверх
вул.Чкалова, 4, м.Старокостянтинів, Хмельницька обл., 31100","2190","971","2170","29","1204","15","1219","","0","1204","15","1219","37","1182","138","29","212","286","28","331","5","9","20","31","93","29.10.12"
"681424","191","Хмельницька область","школа №4, актова зала
вул.1 Травня, 22, м.Старокостянтинів, Хмельницька обл., 31100","2196","1005","2160","51","1147","44","1191","","0","1147","44","1191","45","1146","178","23","204","212","37","276","4","11","27","31","143","29.10.12"
"681425","191","Хмельницька область","Старокостянтинівська колійно-машинна станція, актова зала
вул.Ворошилова, 20/2, м.Старокостянтинів, Хмельницька обл., 31100","780","314","775","11","457","9","466","","0","457","9","466","9","457","36","9","96","81","15","106","0","4","36","18","56","29.10.12"
"681426","191","Хмельницька область","Центральна районна лікарня, адмінкорпус, зала
вул.Пушкіна, 47, м.Старокостянтинів, Хмельницька обл., 31100","204","78","142","40","86","40","126","","0","86","40","126","3","123","14","0","17","80","4","2","0","0","3","0","3","29.10.12"
