"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Баранов
Костянтин
Володимирович","Бойко
Володимир
Богданович","Бойко
Володимир
Іванович","Болєщук
Володимир
Михайлович","Вихрущ
Анатолій
Володимирович","Петровський
Володимир
Михайлович","Ткач
Володимир
Михайлович","Чайківський
Іван
Адамович","Шевченко
Лілія
Антонівна","Шевчук
Олексій
Панасович","Дата підписання протоколу"
"610445","165","Тернопільська область","сільський клуб, глядацький зал
вул.Центральна, 21, с.Вертелка, Зборівський р-н, Тернопільська обл., 47250","252","45","247","9","198","9","207","","0","198","9","207","8","199","2","92","13","4","2","41","1","40","1","3","30.10.12"
"610446","165","Тернопільська область","сільський клуб, глядацький зал
вул.Нова, 12, с.Курівці, Зборівський р-н, Тернопільська обл., 47266","546","98","540","68","381","67","448","","0","381","67","448","6","442","3","210","24","11","16","62","12","99","2","3","29.10.12"
"610447","165","Тернопільська область","сільський клуб, глядацький зал
вул.Незалежності, 44, с.Малашівці, Зборівський р-н, Тернопільська обл., 47253","216","38","220","18","162","16","178","","0","162","16","178","9","169","0","62","7","18","6","36","6","33","0","1","28.10.12"
"610448","165","Тернопільська область","сільський клуб, глядацький зал
вул.Зелена, 9, с.Іванківці, Зборівський р-н, Тернопільська обл., 47251","270","77","272","21","175","18","193","","0","175","18","193","6","187","2","56","3","18","1","35","1","67","1","3","29.10.12"
"610449","165","Тернопільська область","сільська рада, зал засідань
вул.Красовеччина, 29, с.Мильне, Зборівський р-н, Тернопільська обл., 47233","648","191","637","78","382","75","457","","0","382","75","457","9","448","2","263","23","8","4","71","4","63","3","7","28.10.12"
"610450","165","Тернопільська область","сільський клуб, глядацький зал
вул.Сонячна, 72, с.Бліх, Зборівський р-н, Тернопільська обл., 47233","366","89","359","35","242","35","277","","0","242","35","277","4","273","2","192","18","3","1","26","1","25","1","4","28.10.12"
"610451","165","Тернопільська область","сільський клуб, глядацький зал
вул.Грабковецька, 3, с.Млинівці, Зборівський р-н, Тернопільська обл., 47242","594","189","584","42","364","41","405","","0","364","41","405","5","400","5","166","12","27","5","83","7","64","2","29","28.10.12"
"610452","165","Тернопільська область","фельдшерсько-акушерський пункт, оглядова кімната
вул.Грабковецька, 106, с.Грабківці, Зборівський р-н, Тернопільська обл., 47242","108","19","110","8","81","8","89","","0","81","8","89","0","89","4","37","7","1","4","25","0","9","0","2","28.10.12"
"610453","165","Тернопільська область","сільський клуб, глядацький зал
вул.Єрьоменка, 26, с.Кудобинці, Зборівський р-н, Тернопільська обл., 47242","264","51","262","19","194","19","213","","0","194","19","213","9","204","4","61","17","16","7","44","2","40","1","12","28.10.12"
"610454","165","Тернопільська область","сільський клуб, глядацький зал
вул.Зборівська, 12, с.Присівці, Зборівський р-н, Тернопільська обл., 47201","588","215","584","50","325","48","373","","0","325","48","373","5","368","6","214","13","8","3","44","6","35","0","39","28.10.12"
"610455","165","Тернопільська область","сільський клуб, глядацький зал
вул.Шкільна, 2, с.Тустоголови, Зборівський р-н, Тернопільська обл., 47242","192","44","190","16","132","16","148","","0","132","16","148","0","148","5","53","0","0","0","45","5","39","0","1","28.10.12"
"610456","165","Тернопільська область","будинок культури, глядацький зал
вул.Центральна, 31В, с.Мшанець, Зборівський р-н, Тернопільська обл., 47235","486","112","491","41","333","41","374","","0","333","41","374","9","365","4","224","20","12","2","44","3","49","3","4","28.10.12"
"610457","165","Тернопільська область","сільський клуб, глядацький зал
вул.Центральна, 10А, с.Дітківці, Зборівський р-н, Тернопільська обл., 47235","288","43","287","26","219","26","245","","0","219","26","245","4","241","2","142","14","3","0","32","0","43","2","3","28.10.12"
"610458","165","Тернопільська область","сільський клуб, глядацький зал
вул.Пролетарська, 10, с.Хомівка, Зборівський р-н, Тернопільська обл., 47235","132","30","114","15","87","15","102","","0","87","15","102","2","100","1","35","8","13","0","27","0","15","1","0","30.10.12"
"610459","165","Тернопільська область","сільський клуб, глядацький зал
вул.Зелена, 169А, с.Нестерівці, Зборівський р-н, Тернопільська обл., 47","294","109","289","35","154","31","185","","0","154","31","185","6","179","2","66","9","3","1","34","0","59","1","4","29.10.12"
"610460","165","Тернопільська область","школа, їдальня
вул.Зарудка, 1, с.Озерна, Зборівський р-н, Тернопільська обл., 47264","1548","509","1533","81","961","78","1039","","0","961","78","1039","27","1012","15","533","45","42","13","209","18","110","6","21","28.10.12"
"610461","165","Тернопільська область","будинок культури, танцювальний зал
вул.Шевченка, 9Б, с.Озерна, Зборівський р-н, Тернопільська обл., 47264","1158","368","1151","51","745","45","790","","0","745","45","790","18","772","4","398","25","43","7","151","21","99","5","19","28.10.12"
"610462","165","Тернопільська область","будинок культури, танцювальний зал
вул.Залозенька, 8, с.Оліїв, Зборівський р-н, Тернопільська обл., 47226","570","138","560","67","368","64","432","","0","368","64","432","2","429","12","224","19","29","7","69","4","54","0","11","28.10.12"
"610463","165","Тернопільська область","школа, каб.1
вул.Центральна, 260, с.Осташівці, Зборівський р-н, Тернопільська обл., 47260","414","105","411","36","273","36","309","","0","273","36","309","12","297","3","155","22","13","2","41","4","50","2","5","28.10.12"
"610464","165","Тернопільська область","сільський клуб, глядацький зал
вул.Село, 170, с.Данилівці, Зборівський р-н, Тернопільська обл., 47260","312","84","311","16","212","16","228","","0","212","16","228","3","225","4","126","12","7","2","26","2","42","2","2","28.10.12"
"610465","165","Тернопільська область","сільський клуб, глядацький зал
вул.Миру, 32А, с.Панасівка, Зборівський р-н, Тернопільська обл., 47210","288","94","286","26","169","25","194","","0","169","25","194","5","189","4","80","9","12","3","54","2","24","0","1","29.10.12"
"610466","165","Тернопільська область","сільський клуб, глядацький зал
вул.Львівська, 29А, с.Чорний Ліс, Зборівський р-н, Тернопільська обл., 47211","240","70","236","32","138","32","170","","0","138","32","170","3","167","12","68","9","8","1","25","4","37","1","2","28.10.12"
"610467","165","Тернопільська область","школа, актова зала
вул.Глибока, 3, с.Перепельники, Зборівський р-н, Тернопільська обл., 47222","366","102","360","41","226","38","264","","0","226","38","264","4","260","3","100","10","8","15","60","16","29","2","17","28.10.12"
"610468","165","Тернопільська область","сільська рада, кабінет голови
вул.Степана Мартинюка, 1, с.Плісняни, Зборівський р-н, Тернопільська обл., 47241","396","112","389","47","238","46","284","","0","238","46","284","8","276","4","144","12","4","4","27","2","57","2","20","28.10.12"
"610469","165","Тернопільська область","сільська рада, зал засідань
вул.Миру, 25, с.Погрібці, Зборівський р-н, Тернопільська обл., 47201","264","73","257","7","184","7","191","","0","184","7","191","2","189","0","73","10","6","15","32","2","19","2","30","28.10.12"
"610470","165","Тернопільська область","сільський клуб, глядацький зал
вул.Перемоги, 8, с.Калинівка, Зборівський р-н, Тернопільська обл., 47201","186","51","184","12","125","10","135","","0","125","10","135","0","135","3","71","8","3","4","15","6","15","1","9","28.10.12"
"610471","165","Тернопільська область","сільський клуб, глядацький зал
вул.Активістів, 11, с.Красна, Зборівський р-н, Тернопільська обл., 47201","210","59","215","16","135","16","151","","0","135","16","151","7","144","1","49","10","8","5","32","2","25","1","11","28.10.12"
"610472","165","Тернопільська область","сільський клуб, глядацький зал
вул.Набережна, 37В, с.Ратищі, Зборівський р-н, Тернопільська обл., 47230","222","41","223","23","158","23","181","","0","158","23","181","7","174","25","91","8","2","1","17","1","25","4","0","28.10.12"
"610473","165","Тернопільська область","сільський клуб, глядацький зал
вул.Центральна, 31, с.Піщане, Зборівський р-н, Тернопільська обл., 47230","192","40","184","18","136","16","152","","0","136","16","152","1","151","5","73","3","2","3","38","2","23","0","2","28.10.12"
"610474","165","Тернопільська область","сільський клуб, глядацький зал
вул.Озерна, 3, с.Ренів, Зборівський р-н, Тернопільська обл., 47284","714","243","707","32","439","32","471","","0","439","32","471","15","456","7","152","24","19","5","173","4","64","3","5","29.10.12"
"610475","165","Тернопільська область","будинок культури, танцювальний зал
вул.Бережанська, 48, с.Розгадів, Зборівський р-н, Тернопільська обл., 47270","300","60","299","15","225","15","240","","0","225","15","240","2","238","8","78","8","23","5","38","3","46","3","26","28.10.12"
"610476","165","Тернопільська область","сільський клуб, глядацький зал
вул.Козачевськаго, 22, с.Серетець, Зборівський р-н, Тернопільська обл., 47213","360","91","355","27","242","27","269","","0","242","27","269","10","259","3","107","16","10","3","66","3","48","1","2","28.10.12"
"610477","165","Тернопільська область","школа, сїдальня
вул.Шевченка, 22, с.Підберізці, Зборівський р-н, Тернопільська обл., 47213","354","68","347","20","266","20","286","","0","266","20","286","7","279","13","138","3","6","4","69","0","34","2","10","01.11.12"
"610478","165","Тернопільська область","сільська рада, бухгалтерія
вул.Церковна, 1, с.Славна, Зборівський р-н, Тернопільська обл., 47241","246","72","240","33","142","32","174","","0","142","32","174","3","171","5","65","3","13","5","32","0","39","0","9","29.10.12"
"610479","165","Тернопільська область","сільська рада, кабінет засідань
вул.Бічна, 16, с.Тростянець, Зборівський р-н, Тернопільська обл., 47226","180","48","171","14","120","12","132","","0","120","12","132","3","129","1","81","5","4","0","16","2","17","1","2","30.10.12"
"610480","165","Тернопільська область","сільський клуб, глядацька зала
вул.Цетральна, 14, с.Білокриниця, Зборівський р-н, Тернопільська обл., 47226","162","39","158","22","101","22","123","","0","101","22","123","1","122","3","46","13","4","2","29","1","20","1","3","01.11.12"
"610481","165","Тернопільська область","сільський клуб, глядацький зал
вул.Шевченка, 102, с.Цебрів, Зборівський р-н, Тернопільська обл., 47265","540","96","541","43","401","43","444","","0","401","43","444","4","440","5","316","22","9","4","40","4","36","2","2","28.10.12"
"610482","165","Тернопільська область","будинок культури, фойє
вул.Центральна, 26, с.Чернихів, Зборівський р-н, Тернопільська обл., 47285","354","95","351","41","221","38","259","","0","221","38","259","6","253","2","155","19","8","1","38","3","22","0","5","28.10.12"
"610483","165","Тернопільська область","сільський клуб, глядацький зал
вул.Горішнія, 3, с.Глядки, Зборівський р-н, Тернопільська обл., 47252","198","59","195","17","125","14","139","","0","125","14","139","1","138","2","62","6","6","1","39","2","19","0","1","28.10.12"
"610484","165","Тернопільська область","сільський клуб, глядацький зал
вул.Центральна, 15, с.Плесківці, Зборівський р-н, Тернопільська обл., 47252","138","19","132","16","103","16","119","","0","103","16","119","1","118","10","69","4","2","0","23","0","9","0","1","28.10.12"
"610485","165","Тернопільська область","сільський клуб, танцювальний зал
вул.Малі Гаї, 5, с.Чистопади, Зборівський р-н, Тернопільська обл., 47285","414","119","412","43","252","43","295","","0","252","43","295","12","283","8","135","7","24","6","52","3","41","4","3","28.10.12"
"610486","165","Тернопільська область","сільська рада, зал засідань
вул.Центральна, 10, с.Ярославичі, Зборівський р-н, Тернопільська обл., 47223","168","41","169","17","110","17","127","","0","110","17","127","7","120","2","74","1","7","1","11","1","16","1","6","29.10.12"
"610487","165","Тернопільська область","сільський клуб, глядацький зал
вул.Кут, 49, с.Монилівка, Зборівський р-н, Тернопільська обл., 47223","174","48","164","17","110","16","126","","0","110","16","126","2","124","1","49","5","8","1","19","1","35","0","5","28.10.12"
"610488","165","Тернопільська область","сільська рада, зал засідань
вул.Шевченка, 2, с.Ярчівці, Зборівський р-н, Тернопільська обл., 47261","306","85","298","21","203","18","221","","0","203","18","221","5","216","2","48","9","8","1","39","7","94","0","8","28.10.12"
"610489","165","Тернопільська область","сільський клуб, глядацький зал
вул.Польова, 9, с.Вільшанка, Зборівський р-н, Тернопільська обл., 47261","150","36","154","13","102","12","114","","0","102","12","114","4","110","2","37","1","0","2","27","0","36","1","4","29.10.12"
"610490","165","Тернопільська область","сільський клуб, танцювальний зал
вул.Дружби, 34, с.Волосівка, Зборівський р-н, Тернопільська обл., 47261","390","78","386","38","274","38","312","","0","274","38","312","6","306","0","85","14","7","4","41","4","147","2","2","29.10.12"
"610491","165","Тернопільська область","сільський клуб, глядацький зал
вул.І.Франка, 16, с.Мшана, Зборівський р-н, Тернопільська обл., 47261","132","38","126","17","78","16","94","","0","78","16","94","3","91","6","49","9","1","2","6","0","16","0","2","28.10.12"
"610492","165","Тернопільська область","центральна районна лікарня, столова терапевтичного відділення
вул.Б. Хмельницького, 17, м.Зборів, Тернопільська обл., 47201","30","13","22","11","9","8","17","","0","9","8","17","1","16","0","7","0","1","0","3","0","2","0","3","29.10.12"
"610493","165","Тернопільська область","Залозецька номерна районна лікарня, фізіотерапевтичний кабінет
вул.Шевченка, 77, смт Залізці, Зборівський р-н, Тернопільська обл., 47234","24","17","9","0","7","0","7","","0","7","0","7","0","7","0","4","0","1","0","1","0","1","0","0","28.10.12"
"610494","165","Тернопільська область","Перепельницьке геріатричне відділення, їдальня
вул.Глибока, 3, с.Перепельники, Зборівський р-н, Тернопільська обл., 47222","30","9","21","4","17","4","21","","0","17","4","21","1","20","0","8","8","0","2","0","0","2","0","0","28.10.12"
"610495","165","Тернопільська область","будинок культури, зал дискотеки
вул.Грушевського, 23, смт Козова, Козівський р-н, Тернопільська обл., 47600","1800","678","1772","46","1080","42","1122","","0","1080","42","1122","27","1095","12","529","27","31","83","188","47","165","10","3","28.10.12"
"610496","165","Тернопільська область","школа мистецтв, актова зала
вул.Грушевського, 34, смт Козова, Козівський р-н, Тернопільська обл., 47600","1764","693","1741","28","1049","22","1071","","0","1049","22","1071","25","1046","8","566","33","41","63","158","27","141","5","4","29.10.12"
"610497","165","Тернопільська область","гімназія, гімнастичний зал
вул.Грушевського, 7, смт Козова, Козівський р-н, Тернопільська обл., 47600","1836","686","1805","29","1123","27","1150","","0","1123","27","1150","32","1118","11","630","45","45","81","145","33","125","2","1","29.10.12"
"610498","165","Тернопільська область","будинок культури, фойє
вул.Вітошинського, 11, смт Козова, Козівський р-н, Тернопільська обл., 47600","1854","753","1834","32","1069","32","1101","","0","1069","32","1101","20","1081","6","569","30","19","82","156","35","176","6","2","29.10.12"
"610499","165","Тернопільська область","селищна рада, актова зала
вул.Галицька, 15, смт Козлів, Козівський р-н, Тернопільська обл., 47631","1362","373","1346","117","881","108","989","","0","881","108","989","7","982","4","474","33","31","14","163","12","246","4","1","29.10.12"
"610500","165","Тернопільська область","сільський клуб, к.2
вул.Тернопільська, 48, с.Дмухівці, Козівський р-н, Тернопільська обл., 47683","480","128","468","28","324","28","352","","0","324","28","352","3","349","4","172","21","17","6","56","7","63","1","2","28.10.12"
"610501","165","Тернопільська область","сільська рада, к.3
вул.Бічна, 5, с.Августівка, Козівський р-н, Тернопільська обл., 47610","360","106","350","32","222","32","254","","0","222","32","254","9","245","2","73","4","7","95","32","0","32","0","0","29.10.12"
"610502","165","Тернопільська область","школа, каб.2
вул.Лопаївка, 250, с.Хоростець, Козівський р-н, Тернопільська обл., 47610","276","57","272","47","175","44","219","","0","175","44","219","3","216","3","106","5","4","21","40","3","32","2","0","28.10.12"
"610503","165","Тернопільська область","школа, каб.7
вул.Шевченка, 63, с.Бишки, Козівський р-н, Тернопільська обл., 47613","384","126","379","47","212","46","258","","0","212","46","258","9","249","3","119","11","11","8","44","0","52","1","0","28.10.12"
"610504","165","Тернопільська область","школа, актова зала
вул.Центральна, 18, с.Будилів, Козівський р-н, Тернопільська обл., 47623","540","126","531","60","354","60","414","","0","354","60","414","8","406","3","104","16","48","8","63","2","160","2","0","28.10.12"
"610505","165","Тернопільська область","сільський клуб, к.1
вул.Шкільна, 11, с.Медова, Козівський р-н, Тернопільська обл., 47623","264","97","263","35","133","34","167","","0","133","34","167","5","162","3","54","3","21","5","25","0","50","1","0","28.10.12"
"610506","165","Тернопільська область","сільський клуб, к.1
вул.Центральна, 51, с.Велика Плавуча, Козівський р-н, Тернопільська обл., 47620","438","113","435","51","275","50","325","","0","275","50","325","5","320","1","79","6","12","3","54","4","160","0","1","29.10.12"
"610507","165","Тернопільська область","фельдшерсько-акушерський пункт, каб.2
вул.Центральна, 22, с.Цицори, Козівський р-н, Тернопільська обл., 47620","42","11","36","6","25","6","31","","0","25","6","31","1","30","0","6","0","4","1","10","0","9","0","0","30.10.12"
"610508","165","Тернопільська область","будинок культури, глядацький зал
вул.Шкільна, 1, с.Великий Ходачків, Козівський р-н, Тернопільська обл., 47660","1038","314","1029","87","637","87","724","","0","646","78","724","21","703","2","196","25","17","9","329","9","110","3","3","29.10.12"
"610509","165","Тернопільська область","сільський клуб, к.2
вул.Центральна, 19, с.Вибудів, Козівський р-н, Тернопільська обл., 47614","366","102","359","40","227","37","264","","0","227","37","264","10","254","1","110","12","8","5","72","2","39","3","2","31.10.12"
"610510","165","Тернопільська область","сільський клуб, к.3
вул.Будилівська, 11, с.Вимислівка, Козівський р-н, Тернопільська обл., 47614","162","47","156","13","103","12","115","","0","103","12","115","4","111","1","68","7","1","4","9","2","18","0","1","28.10.12"
"610511","165","Тернопільська область","сільський клуб, каб.3
вул.Шевченка, 12, с.Вікторівка, Козівський р-н, Тернопільська обл., 47681","420","131","410","18","271","18","289","","0","271","18","289","5","284","3","89","6","6","11","36","4","127","1","1","29.10.12"
"610512","165","Тернопільська область","сільська рада, к.1
вул.Центральна, 27, с.Вівся, Козівський р-н, Тернопільська обл., 47673","594","173","575","69","354","67","421","","0","354","67","421","6","415","0","112","13","24","3","50","1","212","0","0","28.10.12"
"610513","165","Тернопільська область","сільський клуб, к.3
вул.Центральна, 23, с.Геленки, Козівський р-н, Тернопільська обл., 47682","396","108","392","33","256","32","288","","0","256","32","288","9","279","2","91","7","13","6","44","4","111","0","1","28.10.12"
"610514","165","Тернопільська область","будинок культури, к.1
вул.Загороди, 16, с.Глинна, Козівський р-н, Тернопільська обл., 47611","414","116","410","46","255","43","298","","0","255","43","298","11","287","2","87","10","20","13","58","12","81","1","3","28.10.12"
"610515","165","Тернопільська область","сільський клуб, к.1
вул.Центральна, 20, с.Золочівка, Козівський р-н, Тернопільська обл., 47611","216","52","208","20","144","20","164","","0","144","20","164","3","161","4","81","5","10","4","19","1","37","0","0","28.10.12"
"610516","165","Тернопільська область","сільський клуб, к.1
вул.Тернопільська, 41, с.Городище, Козівський р-н, Тернопільська обл., 47633","858","314","838","84","463","81","544","","0","463","81","544","16","528","12","206","29","21","8","134","9","106","3","0","29.10.12"
"610517","165","Тернопільська область","сільський клуб, к.1
вул.Центральна, 13, с.Денисів, Козівський р-н, Тернопільська обл., 47651","750","263","737","80","411","76","487","","0","411","76","487","16","471","1","110","11","25","15","64","10","234","0","1","28.10.12"
"610518","165","Тернопільська область","сільська рада, к.2
вул.Бережанська, 23, с.Дибще, Козівський р-н, Тернопільська обл., 47643","600","141","587","50","409","50","459","","0","409","50","459","6","453","7","198","15","23","14","69","16","108","3","0","28.10.12"
"610519","165","Тернопільська область","будинок культури, к.3
вул.Грушевського, 87, с.Золота Слобода, Козівський р-н, Тернопільська обл., 47653","642","204","645","50","394","44","438","","0","394","44","438","9","429","2","53","11","5","1","13","167","176","1","0","29.10.12"
"610520","165","Тернопільська область","школа, музичний кабінет
вул.Шкільна, 38, с.Ішків, Козівський р-н, Тернопільська обл., 47663","324","88","312","39","197","39","236","","0","197","39","236","4","232","0","94","2","9","0","26","4","96","1","0","29.10.12"
"610521","165","Тернопільська область","сільський клуб, к.2
вул.Ярослава Струхманчука, 1, с.Росохуватець, Козівський р-н, Тернопільська обл., 47663","342","91","336","35","217","34","251","","0","217","34","251","7","244","0","44","3","10","2","23","8","152","1","1","29.10.12"
"610522","165","Тернопільська область","сільський клуб, глядацький зал
вул.Центральна, 11, с.Кальне, Козівський р-н, Тернопільська обл., 47672","1068","489","1052","60","520","59","579","","0","520","59","579","24","555","2","160","15","14","8","97","23","233","3","0","29.10.12"
"610523","165","Тернопільська область","школа, актова зала
вул.Центральна, 89, с.Конюхи, Козівський р-н, Тернопільська обл., 47612","1170","366","1154","81","723","81","804","","0","723","81","804","21","783","4","307","21","16","62","261","4","98","5","5","29.10.12"
"610524","165","Тернопільська область","сільська рада, каб.1
вул.Центральна, 102, с.Конюхи, Козівський р-н, Тернопільська обл., 47612","774","233","763","55","489","52","541","","0","489","52","541","5","536","6","241","26","34","54","91","5","75","1","3","28.10.12"
"610525","165","Тернопільська область","сільський клуб, к.3
вул.Зелена, 2, с.Криве, Козівський р-н, Тернопільська обл., 47670","864","252","861","74","539","73","612","","0","539","73","612","12","600","6","246","18","34","29","105","41","116","3","2","28.10.12"
"610526","165","Тернопільська область","сільський клуб, к.2
вул.Шкрибанівка, 35, с.Йосипівка, Козівський р-н, Тернопільська обл., 47602","156","61","148","13","82","13","95","","0","82","13","95","7","88","4","19","3","1","0","19","5","37","0","0","28.10.12"
"610527","165","Тернопільська область","сільський клуб, к.1
вул.Івана Франка, 65, с.Купчинці, Козівський р-н, Тернопільська обл., 47662","876","281","866","79","518","77","595","","0","518","77","595","6","589","4","217","23","19","13","50","12","247","4","0","28.10.12"
