"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Бочаров
Михайло
Григорович","Будкевич
Андрій
Андрійович","Головко
Михайло
Йосифович","Гульовський
Володимир
Орестович","Клименко
Володимир
Олександрович","Ковальчук
Іван
Григорович","Липка
Василь
Іванович","Ломакович
Віталій
Афанасійович","Муц
Орест
Павлович","Негода
Любомир
Миколайович","Пліш
Іван
Едуардович","Самойлович
Костянтин
Альбінович","Тарасенко
Андрій
Іванович","Дата підписання протоколу"
"610565","164","Тернопільська область","сільський клуб, глядацький зал
вул.Шевченка, 54, с.Куликів, Кременецький р-н, Тернопільська обл., 47023","306","69","307","30","209","28","237","","0","209","28","237","1","236","0","0","166","5","33","3","2","6","21","0","0","0","0","29.10.12"
"610566","164","Тернопільська область","школа, актова зала
вул.Миру, 23, с.Савчиці, Кременецький р-н, Тернопільська обл., 47023","282","93","283","16","177","12","189","","0","177","12","189","4","185","0","0","62","2","43","1","0","12","65","0","0","0","0","29.10.12"
"610567","164","Тернопільська область","сільська рада, зал засідань
вул.Радянська, 26, с.Жолоби, Кременецький р-н, Тернопільська обл., 47030","834","245","828","58","531","58","589","","0","531","58","589","17","572","5","0","272","6","120","9","3","66","90","1","0","0","0","29.10.12"
"610568","164","Тернопільська область","сільський клуб, глядацький зал
вул.Центарльна, 16А, с.Катеринівка, Кременецький р-н, Тернопільська обл., 47041","330","83","331","44","203","44","247","","0","203","44","247","3","244","2","1","80","6","43","1","2","49","54","0","0","3","3","28.10.12"
"610569","164","Тернопільська область","сільський клуб, глядацький зал
вул.Садова, 66А, с.Іванківці, Кременецький р-н, Тернопільська обл., 47041","270","74","263","28","170","26","196","","0","170","26","196","4","192","0","1","97","3","32","7","3","16","33","0","0","0","0","29.10.12"
"610570","164","Тернопільська область","сільський клуб, глядацький зал
вул.Центральна, 6, с.Рибча, Кременецький р-н, Тернопільська обл., 47041","72","11","72","7","54","7","61","","0","54","7","61","2","59","0","0","14","1","12","0","3","14","15","0","0","0","0","28.10.12"
"610571","164","Тернопільська область","сільська рада, зал засідань
вул.Центральна, 11, с.Колосова, Кременецький р-н, Тернопільська обл., 47033","294","126","289","33","139","29","168","","0","139","29","168","0","168","1","0","63","1","48","1","1","14","39","0","0","0","0","28.10.12"
"610572","164","Тернопільська область","сільський клуб, глядацький зал
вул.Шевченка, 70, с.Двірець, Кременецький р-н, Тернопільська обл., 47033","120","28","116","9","83","9","92","","0","83","9","92","3","89","0","0","25","2","17","4","3","8","30","0","0","0","0","29.10.12"
"610573","164","Тернопільська область","фельдшерсько-акушерський пункт, каб.4
вул.Л.Українки, 21, с.Рудка, Кременецький р-н, Тернопільська обл., 47031","468","141","462","31","298","29","327","","0","298","29","327","5","322","0","1","183","1","64","1","2","21","48","0","0","0","1","29.10.12"
"610574","164","Тернопільська область","будинок культури, глядацький зал
вул.Ляшуки, 56, м.Кременець, Кременецький р-н, Тернопільська обл., 47003","978","417","969","27","535","26","561","","0","535","26","561","12","549","6","2","212","8","99","10","2","113","88","2","0","4","3","29.10.12"
"610575","164","Тернопільська область","школа №3, актова зала
вул.Замкова, 41, м.Кременець, Кременецький р-н, Тернопільська обл., 47003","2088","919","2065","35","1136","33","1169","","0","1136","33","1169","26","1143","1","6","507","10","261","14","3","170","159","2","1","7","2","29.10.12"
"610576","164","Тернопільська область","бібліотека ім.Словацького, фойє
вул.Шевченка, 16, м.Кременець, Кременецький р-н, Тернопільська обл., 47003","1806","706","1788","40","1062","38","1100","","0","1062","38","1100","33","1067","2","2","449","11","226","19","4","143","200","3","5","3","0","29.10.12"
"610577","164","Тернопільська область","педагогічний інститут, актова зала
вул.Ліцейна, 1, м.Кременець, Кременецький р-н, Тернопільська обл., 47003","1632","698","1633","26","908","26","934","","0","908","26","934","13","921","1","7","383","4","222","12","4","150","134","1","0","1","2","29.10.12"
"610578","164","Тернопільська область","будинок культури, глядацький зал
вул.Шевченка, 58, м.Кременець, Кременецький р-н, Тернопільська обл., 47003","1380","611","1365","34","735","34","769","","0","735","34","769","24","745","2","4","265","2","188","9","2","110","159","0","0","3","1","28.10.12"
"610579","164","Тернопільська область","клуб автобусного парку, глядацький зал
вул.Дубенська, 51, м.Кременець, Кременецький р-н, Тернопільська обл., 47003","984","439","981","14","533","12","545","","0","533","12","545","18","527","1","4","263","4","85","4","4","71","87","2","1","0","1","29.10.12"
"610580","164","Тернопільська область","гуртожиток професійного ліцею, актова зала
вул.Санаторійна, 1, м.Кременець, Кременецький р-н, Тернопільська обл., 47003","948","355","935","16","579","14","593","","0","579","14","593","13","580","1","2","298","0","91","6","4","51","123","0","1","3","0","29.10.12"
"610581","164","Тернопільська область","гімназія, актова зала
вул.Мікрорайон 3, 6, м.Кременець, Кременецький р-н, Тернопільська обл., 47003","1602","716","1580","11","880","6","886","","0","880","6","886","12","874","6","4","425","9","158","11","2","82","168","2","0","6","1","29.10.12"
"610582","164","Тернопільська область","школа №4, спортивний зал
вул.О.Лятуринської, 11, м.Кременець, Кременецький р-н, Тернопільська обл., 47003","1278","558","1245","39","681","39","720","","0","681","39","720","16","704","2","2","391","4","130","13","0","90","65","3","3","1","0","29.10.12"
"610583","164","Тернопільська область","гуртожиток медичного училища, актова зала
вул.Мікрорайон 3, 7, м.Кременець, Кременецький р-н, Тернопільська обл., 47003","1902","891","1879","20","992","19","1011","","0","992","19","1011","17","994","3","3","405","9","279","17","10","121","137","2","2","3","3","29.10.12"
"610584","164","Тернопільська область","школа №5, спортивний зал
вул.107 Кременецької Дивізії, 5, м.Кременець, Кременецький р-н, Тернопільська обл., 47003","1818","802","1795","31","986","30","1016","","0","986","30","1016","28","988","3","7","432","8","225","23","5","113","164","1","0","4","3","29.10.12"
"610585","164","Тернопільська область","сільський клуб, глядацький зал
вул.Петра Підмурного, 11, с.Крижі, Кременецький р-н, Тернопільська обл., 47010","588","202","587","48","338","48","386","","0","338","48","386","8","378","4","3","153","11","79","9","3","59","54","1","0","1","1","29.10.12"
"610586","164","Тернопільська область","школа, спортивний зал
вул.Шкільна, 5, с.Лідихів, Кременецький р-н, Тернопільська обл., 47050","876","326","863","28","523","27","550","","0","523","27","550","9","541","1","4","121","2","227","6","2","57","117","1","1","2","0","29.10.12"
"610587","164","Тернопільська область","дитячий садок, каб.5
вул.Центральна, 38, с.Лідихів, Кременецький р-н, Тернопільська обл., 47050","792","229","778","36","528","35","563","","0","528","35","563","11","552","0","1","95","12","214","3","1","28","196","0","1","1","0","29.10.12"
"610591","164","Тернопільська область","сільський клуб, глядацький зал
вул.Варшавська, 22, с.Лосятин, Кременецький р-н, Тернопільська обл., 47052","1092","354","1082","75","669","69","738","","0","669","69","738","16","722","0","4","193","13","267","2","7","63","168","2","1","0","2","29.10.12"
"610592","164","Тернопільська область","сільський клуб, глядацький зал
вул.Центральна, 81, с.Борщівка, Кременецький р-н, Тернопільська обл., 47052","138","33","131","21","84","21","105","","0","84","21","105","2","103","0","3","29","1","18","1","0","13","38","0","0","0","0","29.10.12"
"610596","164","Тернопільська область","школа, актова зала
вул.Шевченка, 46, с.Плоске, Кременецький р-н, Тернопільська обл., 47040","528","179","519","39","314","35","349","","0","314","35","349","8","341","5","2","102","7","78","5","3","43","95","0","0","0","1","29.10.12"
"610597","164","Тернопільська область","школа, спортивний зал
вул.Центральна, 2, с.Попівці, Кременецький р-н, Тернопільська обл., 47034","414","191","412","38","189","34","223","","0","189","34","223","5","218","1","1","56","0","67","4","0","28","61","0","0","0","0","29.10.12"
"610598","164","Тернопільська область","бібліотека, фойє
вул.Гагаріна, 11А, с.Новий Кокорів, Кременецький р-н, Тернопільська обл., 47076","324","103","319","17","206","15","221","","0","206","15","221","3","218","0","0","69","2","64","3","1","31","45","1","1","0","1","28.10.12"
"610599","164","Тернопільська область","приміщення приватного підприємця, фойє
вул.Центральна, 31, с.Попівці, Кременецький р-н, Тернопільська обл., 47034","264","77","264","29","158","29","187","","0","158","29","187","4","183","0","0","80","3","52","1","0","17","30","0","0","0","0","28.10.12"
"610600","164","Тернопільська область","будинок культури, глядацький зал
вул.Шевченка, 2, м.Почаїв, Кременецький р-н, Тернопільська обл., 47025","2052","908","2037","24","1127","17","1144","","0","1127","17","1144","43","1101","6","4","393","8","284","15","11","116","249","3","3","5","4","29.10.12"
"610601","164","Тернопільська область","музична школа, фойє
вул.Шевченка, 1, м.Почаїв, Кременецький р-н, Тернопільська обл., 47025","2094","888","2112","32","1181","25","1206","","0","1181","25","1206","37","1169","3","4","326","8","499","9","16","120","172","5","1","4","2","29.10.12"
"610602","164","Тернопільська область","будинок культури фабрики ""Іква"", глядацький зал
вул.Фабрична, 18, м.Почаїв, Кременецький р-н, Тернопільська обл., 47025","1200","521","1194","27","656","23","679","","0","656","23","679","24","655","0","3","256","3","205","2","5","76","99","0","2","2","2","28.10.12"
"610603","164","Тернопільська область","комбінат комунальних підприємств, фойє
вул.Шевченка, 33, м.Почаїв, Кременецький р-н, Тернопільська обл., 47025","1128","553","1116","108","498","77","575","","0","498","77","575","15","560","3","0","160","5","207","3","8","75","93","1","0","2","3","29.10.12"
"610604","164","Тернопільська область","гуртожиток професійно-технічного училища, фойє
вул.Кременецька, 31, м.Почаїв, Кременецький р-н, Тернопільська обл., 47025","384","161","381","5","218","5","223","","0","218","5","223","6","217","1","0","80","1","51","0","1","29","51","0","0","2","1","29.10.12"
"610607","164","Тернопільська область","сільський клуб, глядацький зал
вул.Шкільна, 4, с.Сапанів, Кременецький р-н, Тернопільська обл., 47012","1296","560","1284","50","692","44","736","","0","692","44","736","29","707","1","3","258","3","192","9","7","148","79","3","2","1","1","29.10.12"
"610609","164","Тернопільська область","сільський клуб, глядацький зал
вул.Шевченка, 22, с.Старий Почаїв, Кременецький р-н, Тернопільська обл., 47079","1200","619","1192","66","515","66","581","","0","515","66","581","12","569","3","2","162","0","294","3","3","53","45","0","0","3","1","29.10.12"
"610610","164","Тернопільська область","сільська рада, зал засідань
вул.Резніка, 7, с.Старий Тараж, Кременецький р-н, Тернопільська обл., 47051","1020","471","1010","84","487","62","549","","0","487","62","549","12","537","1","3","46","3","323","9","2","54","93","0","2","0","1","29.10.12"
"610613","164","Тернопільська область","сільська рада, зал засідань
вул.Сокілля, 5, с.Чугалі, Кременецький р-н, Тернопільська обл., 47003","312","103","302","41","172","37","209","","0","172","37","209","7","202","0","2","39","1","37","2","5","47","66","0","0","1","2","28.10.12"
"610614","164","Тернопільська область","школа, актова зала
вул.Мануїльського, 16А, с.Бонівка, Кременецький р-н, Тернопільська обл., 47003","438","131","439","35","274","33","307","","0","274","33","307","9","298","2","3","109","4","74","3","3","56","36","3","2","1","2","29.10.12"
"610615","164","Тернопільська область","сільський клуб, глядацький зал
вул.Центральна, 28, с.Шпиколоси, Кременецький р-н, Тернопільська обл., 47032","336","84","335","51","207","45","252","","0","207","45","252","6","246","1","0","87","1","58","0","1","41","56","0","0","1","0","28.10.12"
"610616","164","Тернопільська область","Почаївська центральна районна лікарня, фойє
вул.Шевченка, 4, м.Почаїв, Кременецький р-н, Тернопільська обл., 47025","102","88","87","87","0","14","14","","0","0","14","14","1","13","1","0","0","0","5","1","0","6","0","0","0","0","0","29.10.12"
"610617","164","Тернопільська область","сільський клуб, фойє
вул.1 Травня, 54, с.Бережанка, Лановецький р-н, Тернопільська обл., 47440","348","105","343","43","201","42","243","","0","201","42","243","4","239","1","0","116","7","20","6","5","24","55","2","0","1","2","29.10.12"
"610618","164","Тернопільська область","сільський клуб, фойє
вул.Жовтнева, 55, с.Жуківці, Лановецький р-н, Тернопільська обл., 47440","198","44","192","14","140","14","154","","0","140","14","154","3","151","0","0","47","3","38","3","0","20","40","0","0","0","0","29.10.12"
"610619","164","Тернопільська область","сільська рада, зал засідань
пл.Відродження, 1, с.Білозірка, Лановецький р-н, Тернопільська обл., 47453","726","203","719","55","469","54","523","","0","469","54","523","12","511","1","3","216","16","84","31","4","25","126","1","3","1","0","29.10.12"
"610620","164","Тернопільська область","дитячий садок, кабінет №1
вул.Миру, 18, с.Шушківці, Лановецький р-н, Тернопільська обл., 47453","168","34","170","15","122","12","134","","0","122","12","134","1","133","1","1","64","4","19","2","0","11","31","0","0","0","0","29.10.12"
"610621","164","Тернопільська область","школа, актова зала
вул.Шевченка, 7, с.Борсуки, Лановецький р-н, Тернопільська обл., 47412","678","197","670","45","440","41","481","","0","440","41","481","13","468","3","3","250","5","46","9","8","41","99","2","1","0","1","29.10.12"
"610622","164","Тернопільська область","школа, актова зала
вул.Фольварочного, 47, с.Нападівка, Лановецький р-н, Тернопільська обл., 474412","870","287","864","48","535","48","583","","0","535","48","583","11","572","1","2","263","2","74","10","5","53","155","2","3","1","1","29.10.12"
"610623","164","Тернопільська область","школа, актова зала
вул.Незалежності, 18, с.Синівці, Лановецький р-н, Тернопільська обл., 47412","240","57","243","24","163","20","183","","0","163","20","183","1","182","0","1","77","6","21","3","1","25","48","0","0","0","0","29.10.12"
"610624","164","Тернопільська область","сільський клуб, фойє
вул.Широка, 56, с.Борщівка, Лановецький р-н, Тернопільська обл., 47410","834","263","824","33","542","29","571","","0","542","29","571","15","556","5","2","248","9","71","10","3","61","135","7","2","2","1","29.10.12"
"610625","164","Тернопільська область","сільська рада, зал засідань
вул.Лисини, 1, с.Буглів, Лановецький р-н, Тернопільська обл., 47443","684","178","607","71","438","68","506","","0","438","68","506","13","493","5","4","213","12","111","7","2","48","89","1","1","0","0","29.10.12"
"610626","164","Тернопільська область","сільський клуб, фойє
вул.Першотравнева, 83, с.Ванжулів, Лановецький р-н, Тернопільська обл., 47442","474","108","470","54","316","50","366","","0","316","50","366","6","360","4","1","157","12","39","4","1","13","127","0","2","0","0","29.10.12"
"610627","164","Тернопільська область","сільська рада, зал засідань
вул.Центральна, 5, с.Великі Кусківці, Лановецький р-н, Тернопільська обл., 47413","516","138","515","25","353","25","378","","0","353","25","378","5","373","1","0","198","13","36","5","1","14","100","4","1","0","0","29.10.12"
"610628","164","Тернопільська область","сільська рада, зал засідань
вул.Лисенка, 45, с.Вербовець, Лановецький р-н, Тернопільська обл., 47430","636","246","634","93","304","86","390","","0","304","86","390","5","385","9","5","184","6","57","10","0","57","51","1","1","2","2","29.10.12"
"610629","164","Тернопільська область","сільський клуб, фойє
вул.Садова, 5А, с.Верещаки, Лановецький р-н, Тернопільська обл., 47434","504","202","496","46","264","38","302","","0","264","38","302","13","289","3","1","128","17","39","4","2","51","42","1","1","0","0","29.10.12"
"610630","164","Тернопільська область","фельдшерсько-акушерський пункт, кабінет №1
вул.Пісочна, 42, с.Коржківці, Лановецький р-н, Тернопільська обл., 47433","108","47","103","12","51","10","61","","0","51","10","61","0","61","1","0","23","1","9","0","0","3","20","0","0","1","3","29.10.12"
"610631","164","Тернопільська область","сільський клуб, фойє
вул.Центральна, 22, с.Вишгородок, Лановецький р-н, Тернопільська обл., 47432","606","187","598","39","381","38","419","","0","381","38","419","6","413","4","5","242","10","50","19","2","33","43","0","2","0","3","29.10.12"
"610632","164","Тернопільська область","сільський клуб, фойє
вул.Центральна, 32, с.Влащинці, Лановецький р-н, Тернопільська обл., 47432","234","86","227","7","141","7","148","","0","141","7","148","6","142","0","0","66","2","18","0","2","11","43","0","0","0","0","29.10.12"
"610633","164","Тернопільська область","сільська рада, зал засідань
вул.Центральна, 31, с.Гриньки, Лановецький р-н, Тернопільська обл., 47450","396","154","388","36","210","32","242","","0","210","32","242","7","235","1","2","102","7","28","5","2","28","59","1","0","0","0","29.10.12"
"610634","164","Тернопільська область","школа, актова зала
вул.Центральна, 55, с.Грибова, Лановецький р-н, Тернопільська обл., 47461","654","286","650","33","335","33","368","","0","335","33","368","7","361","3","4","155","3","87","10","3","37","53","0","2","2","2","29.10.12"
"610635","164","Тернопільська область","сільський клуб, фойє
вул.Миру, 2, с.Загірці, Лановецький р-н, Тернопільська обл., 47421","336","103","329","33","202","31","233","","0","202","31","233","7","226","0","1","55","0","41","22","1","8","92","1","1","1","3","29.10.12"
"610636","164","Тернопільська область","школа, актова зала
вул.Михайлівка, 59, с.Михайлівка, Лановецький р-н, Тернопільська обл., 47421","318","91","313","25","202","25","227","","0","202","25","227","4","223","0","0","62","0","58","19","1","20","63","0","0","0","0","29.10.12"
"610637","164","Тернопільська область","школа, актова зала
вул.Гагаріна, 37, с.Іванківці, Лановецький р-н, Тернопільська обл., 47452","432","113","428","42","281","38","319","","0","281","38","319","6","313","2","0","136","7","52","7","0","23","84","2","0","0","0","28.10.12"
"610638","164","Тернопільська область","фельдшерсько-акушерський пункт, кабінет №1
вул.Островського, 16, с.Карначівка, Лановецький р-н, Тернопільська обл., 47431","192","51","187","20","122","19","141","","0","122","19","141","5","136","0","1","62","6","19","0","3","13","30","1","1","0","0","29.10.12"
"610639","164","Тернопільська область","сільська рада, зал засідань
вул.Комсомольська, 21, с.Шили, Лановецький р-н, Тернопільська обл., 47431","258","52","261","18","188","18","206","","0","188","18","206","2","204","1","0","102","4","42","2","4","10","37","0","0","0","2","29.10.12"
"610640","164","Тернопільська область","школа, актова зала
вул.Шкільна, 2, с.Краснолука, Лановецький р-н, Тернопільська обл., 47462","420","138","421","19","265","17","282","","0","265","17","282","6","276","5","2","163","4","27","6","1","42","22","0","1","1","2","29.10.12"
"610641","164","Тернопільська область","будинок культури, фойє
вул.Шкільна, 2, м.Ланівці, Лановецький р-н, Тернопільська обл., 47402","1842","654","1818","23","1167","21","1188","","0","1167","21","1188","25","1163","13","4","620","34","136","59","7","116","169","1","0","3","1","29.10.12"
"610642","164","Тернопільська область","фабрика гумових виробів, актова зала
вул.Незалежності, 48, м.Ланівці, Лановецький р-н, Тернопільська обл., 47402","1500","590","1480","8","905","5","910","","0","905","5","910","20","890","3","3","518","9","157","26","4","73","92","1","1","2","1","29.10.12"
"610643","164","Тернопільська область","професійно-технічне училище, актова зала
вул.Садова, 1, м.Ланівці, Лановецький р-н, Тернопільська обл., 47402","918","365","917","22","532","21","553","","0","532","21","553","13","540","0","3","280","35","63","14","4","55","83","1","0","1","1","29.10.12"
"610644","164","Тернопільська область","хлібоприймальне підприємство, актова зала
вул.Залізнична, 40, м.Ланівці, Лановецький р-н, Тернопільська обл., 47402","660","227","664","51","385","48","433","","0","385","48","433","5","428","6","1","212","7","77","10","8","32","72","1","1","1","0","29.10.12"
"610645","164","Тернопільська область","школа, актова зала
вул.Молодіжна, 32, м.Ланівці, Лановецький р-н, Тернопільська обл., 47402","1608","742","1588","14","856","10","866","","0","856","10","866","29","837","6","0","469","11","132","30","4","81","88","6","1","3","6","29.10.12"
"610646","164","Тернопільська область","школа, актова зала
вул.Б.Хмельницького, 57, с.Волиця, Лановецький р-н, Тернопільська обл., 47402","132","35","131","12","85","12","97","","0","85","12","97","1","96","1","1","45","1","23","1","1","5","17","0","1","0","0","29.10.12"
"610647","164","Тернопільська область","школа, актова зала
вул.8 Березня, 1, с.Малі Кусківці, Лановецький р-н, Тернопільська обл., 47402","162","45","161","7","111","6","117","","0","111","6","117","8","109","4","2","35","3","19","5","0","16","23","0","1","0","1","29.10.12"
"610648","164","Тернопільська область","будинок культури, фойє
вул.Матросова, 1, с.Оришківці, Лановецький р-н, Тернопільська обл., 47441","312","87","307","16","209","16","225","","0","209","16","225","5","220","1","0","84","5","37","4","1","27","61","0","0","0","0","29.10.12"
"610649","164","Тернопільська область","дитячий садок, кабінет №1
вул.Миру, 38, с.Лопушне, Лановецький р-н, Тернопільська обл., 47433","534","167","522","45","323","44","367","","0","323","44","367","18","349","8","3","189","8","48","5","2","30","50","2","1","0","3","29.10.12"
"610650","164","Тернопільська область","школа, актова зала
вул.Лесі Українки, 11, с.Пахиня, Лановецький р-н, Тернопільська обл., 47431","108","22","110","13","73","13","86","","0","73","13","86","0","86","5","0","45","2","13","0","1","6","11","0","3","0","0","29.10.12"
"610651","164","Тернопільська область","будинок культури, фойє
вул.17 Вересня, 28А, с.Мала Білка, Лановецький р-н, Тернопільська обл., 47440","288","85","284","51","158","45","203","","0","158","45","203","1","202","1","2","138","3","19","4","1","10","23","0","0","1","0","29.10.12"
"610652","164","Тернопільська область","будинок культури, фойє
вул.Пархоменка, 37, с.Молотків, Лановецький р-н, Тернопільська обл., 47451","444","130","433","20","294","20","314","","0","294","20","314","11","303","2","2","120","7","45","11","2","42","71","1","0","0","0","29.10.12"
