"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Апостол
Михайло
Володимирович","Давиденко
Андрій
Анатолійович","Люшняк
Микола
Володимирович","Півторак
Роман
Євстахійович","Савчук
Михайло
Дмитрович","Стецюк
Тетяна
Іванівна","Хоптян
Надія
Андріївна","Дата підписання протоколу"
"610132","166","Тернопільська область","сільська рада, зал засідань
вул.Місто, 16, с.Бариш, Бучацький р-н, Тернопільська обл., 48424","744","173","756","52","523","48","571","","0","523","48","571","10","561","289","77","124","5","4","1","61","29.10.12"
"610133","166","Тернопільська область","будинок культури, танцювальний зал
вул.Місто, 36, с.Бариш, Бучацький р-н, Тернопільська обл., 48424","880","272","870","46","564","44","608","","0","564","44","608","15","593","381","66","108","2","4","5","27","29.10.12"
"610134","166","Тернопільська область","сільський клуб, глядацький зал
вул.Гутишино, 27, с.Бариш, Бучацький р-н, Тернопільська обл., 48424","128","35","128","11","83","10","93","","0","83","10","93","2","91","45","13","26","0","1","1","5","29.10.12"
"610135","166","Тернопільська область","сільський клуб, глядацький зал
вул.Центральна, 52, с.Берем’яни, Бучацький р-н, Тернопільська обл., 48464","512","168","507","54","291","53","344","","0","291","53","344","17","327","82","109","61","5","6","7","57","29.10.12"
"610136","166","Тернопільська область","будинок культури, глядацький зал
вул.Центральна, 3, с.Бобулинці, Бучацький р-н, Тернопільська обл., 48472","552","144","545","33","376","32","408","","0","376","32","408","9","399","92","167","82","3","2","2","51","29.10.12"
"610137","166","Тернопільська область","філія ""Бучацький райавтодор"", актова зала
вул.Генерала Шухевича, 61, м.Бучач, Бучацький р-н, Тернопільська обл., 48400","400","131","392","2","267","2","269","","0","267","2","269","20","249","83","47","89","0","7","7","16","30.10.12"
"610138","166","Тернопільська область","школа №3, актова зала
вул.Дорошенка, 4, м.Бучач, Бучацький р-н, Тернопільська обл., 48400","1032","355","1007","30","647","30","677","","0","647","30","677","11","666","311","123","172","0","19","4","37","28.10.12"
"610139","166","Тернопільська область","бібліотека, фойє
вул.Галицька, 21, м.Бучач, Бучацький р-н, Тернопільська обл., 48400","1272","449","1247","35","788","35","823","","0","788","35","823","18","805","352","147","230","4","19","17","36","29.10.12"
"610140","166","Тернопільська область","будинок культури, глядацький зал №2
вул.Шкільна, 8, м.Бучач, Бучацький р-н, Тернопільська обл., 48400","1192","456","1170","34","705","31","736","","0","705","31","736","13","723","305","140","199","11","11","4","53","29.10.12"
"610141","166","Тернопільська область","Бучацький лісозавод, актова зала
вул.Галицька, 145, м.Бучач, Бучацький р-н, Тернопільська обл., 48400","776","242","766","20","515","19","534","","0","515","19","534","13","521","216","102","171","3","8","0","21","29.10.12"
"610142","166","Тернопільська область","Бучацьке лісове господарство, актова зала
вул.Степана Бандери, 12, м.Бучач, Бучацький р-н, Тернопільська обл., 48400","1896","643","1869","35","1223","30","1253","","0","1223","30","1253","45","1208","525","230","350","9","24","14","56","29.10.12"
"610143","166","Тернопільська область","школа, актова зала
вул.П.Тичини, 13, м.Бучач, Бучацький р-н, Тернопільська обл., 48400","1056","398","1055","37","624","34","658","","0","624","34","658","14","644","334","155","125","6","3","2","19","29.10.12"
"610144","166","Тернопільська область","Бучацький інститут менеджменту і аудиту, актова зала
вул.Богдана Хмельницького, 25, м.Бучач, Бучацький р-н, Тернопільська обл., 48400","912","310","898","23","580","22","602","","0","580","22","602","25","577","299","99","144","2","8","2","23","29.10.12"
"610145","166","Тернопільська область","міський клуб, глядацький зал
вул.Підгаєцька, 158, м.Бучач, Бучацький р-н, Тернопільська обл., 48400","864","262","859","23","583","19","602","","0","583","19","602","15","587","274","151","117","3","10","4","28","28.10.12"
"610146","166","Тернопільська область","сільський клуб, глядацький зал
вул.Івана Франка, 41, с.Возилів, Бучацький р-н, Тернопільська обл., 48456","640","201","639","54","385","54","439","","0","385","54","439","14","425","188","62","88","2","33","4","48","28.10.12"
"610147","166","Тернопільська область","сільський клуб, глядацький зал
вул.Наддністрянська, 18, с.Возилів, Бучацький р-н, Тернопільська обл., 48456","232","67","227","27","139","26","165","","0","139","26","165","3","162","54","33","56","1","5","0","13","29.10.12"
"610148","166","Тернопільська область","будинок культури, глядацький зал
вул.Шупарка, 3, с.Доброполе, Бучацький р-н, Тернопільська обл., 48410","448","125","445","41","284","39","323","","0","284","39","323","13","310","114","127","37","1","3","2","26","29.10.12"
"610149","166","Тернопільська область","сільський клуб, глядацький зал
вул.Центральна, 6, с.Матеушівка, Бучацький р-н, Тернопільська обл., 48410","128","25","121","12","91","12","103","","0","91","12","103","2","101","44","21","20","0","1","0","15","29.10.12"
"610150","166","Тернопільська область","сільський клуб, глядацький зал
вул.Центральна, 49, с.Дуліби, Бучацький р-н, Тернопільська обл., 48473","640","97","629","22","523","20","543","","0","523","20","543","17","526","187","158","52","1","12","4","112","29.10.12"
"610151","166","Тернопільська область","школа, спортивний зал
вул.Т.Г.Шевченка, 136, с.Жизномир, Бучацький р-н, Тернопільська обл., 48432","1240","371","1234","72","801","68","869","","0","801","68","869","27","842","460","190","116","3","17","6","50","29.10.12"
"610152","166","Тернопільська область","сільський клуб, глядацький зал
вул.Ковалівка, 7, с.Жнибороди, Бучацький р-н, Тернопільська обл., 48474","512","57","508","39","416","39","455","","0","416","39","455","2","453","148","149","40","0","5","0","111","29.10.12"
"610153","166","Тернопільська область","сільський клуб, глядацький зал
вул.Горішня, 72, с.Заривинці, Бучацький р-н, Тернопільська обл., 48475","448","108","449","28","314","26","340","","0","314","26","340","14","326","167","52","40","5","1","1","60","29.10.12"
"610154","166","Тернопільська область","сільський клуб, глядацький зал
вул.Клубна, 3, с.Рукомиш, Бучацький р-н, Тернопільська обл., 48420","344","60","335","29","255","29","284","","0","255","29","284","12","272","62","44","56","4","6","3","97","28.10.12"
"610155","166","Тернопільська область","сільський клуб, глядацький зал
вул.Середня, 36А, с.Зелена, Бучацький р-н, Тернопільська обл., 48476","552","127","537","24","403","22","425","","0","403","22","425","21","404","116","42","59","0","0","0","187","29.10.12"
"610156","166","Тернопільська область","школа, спортивний зал
вул.Зелена, 2, смт Золотий Потік, Бучацький р-н, Тернопільська обл., 48451","1840","646","1819","81","1119","75","1194","","0","1119","75","1194","36","1158","570","235","178","8","65","16","86","29.10.12"
"610157","166","Тернопільська область","фельдшерсько-акушерський пункт, маніпуляційний кабінет
вул.Шкільна, 7, с.Рублин, Бучацький р-н, Тернопільська обл., 48452","208","73","207","3","132","3","135","","0","132","3","135","7","128","47","30","36","1","2","3","9","29.10.12"
"610158","166","Тернопільська область","сільський клуб, глядацький зал
вул.Центральна, 32, с.Зубрець, Бучацький р-н, Тернопільська обл., 48441","1136","417","1122","89","631","88","719","","0","631","88","719","29","690","352","164","143","2","6","1","22","29.10.12"
"610159","166","Тернопільська область","сільський клуб, глядацький зал
вул.Центральна, 42, с.Киданів, Бучацький р-н, Тернопільська обл., 48412","224","69","221","17","142","13","155","","0","142","13","155","4","151","39","47","24","1","1","0","39","29.10.12"
"610160","166","Тернопільська область","сільський клуб, глядацький зал
вул.Дружби, 21, с.Космирин, Бучацький р-н, Тернопільська обл., 48454","632","278","631","41","313","41","354","","0","313","41","354","17","337","137","75","68","6","4","2","45","29.10.12"
"610161","166","Тернопільська область","школа, каб.2
вул.Горішня, 34, с.Набережне, Бучацький р-н, Тернопільська обл., 48454","184","52","181","10","122","10","132","","0","122","10","132","8","124","101","3","10","2","1","2","5","29.10.12"
"610162","166","Тернопільська область","сільський клуб, глядацький зал
вул.Макухова, 29, с.Костільники, Бучацький р-н, Тернопільська обл., 48463","768","220","757","59","492","56","548","","0","492","56","548","38","510","175","138","84","6","37","11","59","29.10.12"
"610163","166","Тернопільська область","сільський клуб, глядацький зал
вул.Квасниці, 27, с.Ліщанці, Бучацький р-н, Тернопільська обл., 48442","784","213","776","67","507","64","571","","0","507","64","571","22","549","145","132","141","6","15","13","97","29.10.12"
"610164","166","Тернопільська область","сільський клуб, глядацький зал
вул.Центральна, 30, с.Миколаївка, Бучацький р-н, Тернопільська обл., 48465","400","118","387","41","241","41","282","","0","241","41","282","7","275","51","122","50","2","19","4","27","29.10.12"
"610165","166","Тернопільська область","сільський клуб, глядацький зал
вул.Головна, 34А, с.Губин, Бучацький р-н, Тернопільська обл., 48465","144","50","138","9","86","8","94","","0","86","8","94","2","92","31","22","10","0","2","1","26","29.10.12"
"610166","166","Тернопільська область","сільський клуб, глядацький зал
вул.Горішня, 32, с.Сокілець, Бучацький р-н, Тернопільська обл., 48465","200","70","194","15","116","14","130","","0","116","14","130","7","123","33","29","27","3","2","2","27","29.10.12"
"610167","166","Тернопільська область","сільський клуб, глядацький зал
вул.Центральна, 4А, с.Медведівці, Бучацький р-н, Тернопільська обл., 48477","992","288","980","31","673","31","704","","0","673","31","704","23","681","305","159","81","4","8","8","116","29.10.12"
"610168","166","Тернопільська область","будинок культури, глядацький зал
вул.Фільвароцька, 72, с.Нові Петликівці, Бучацький р-н, Тернопільська обл., 48411","512","123","507","29","361","28","389","","0","361","28","389","4","385","152","113","64","1","2","2","51","29.10.12"
"610169","166","Тернопільська область","сільський клуб, глядацький зал
вул.Долішня, 25, с.Пушкарі, Бучацький р-н, Тернопільська обл., 48468","104","28","100","6","70","6","76","","0","70","6","76","3","73","23","13","18","1","1","2","15","28.10.12"
"610170","166","Тернопільська область","будинок культури, глядацький зал
вул.Переволоцька, 59, с.Озеряни, Бучацький р-н, Тернопільська обл., 48422","824","273","822","42","512","39","551","","0","512","39","551","15","536","170","201","96","2","9","6","52","29.10.12"
"610171","166","Тернопільська область","сільський клуб, глядацький зал
вул.Л.Українки, 64, с.Верб’ятин, Бучацький р-н, Тернопільська обл., 48422","264","85","257","9","171","8","179","","0","171","8","179","8","171","79","34","31","2","1","2","22","29.10.12"
"610172","166","Тернопільська область","сільський клуб, глядацький зал
вул.Центральна, 76, с.Осівці, Бучацький р-н, Тернопільська обл., 48412","728","222","720","35","472","34","506","","0","472","34","506","16","490","163","169","117","1","6","1","33","29.10.12"
"610173","166","Тернопільська область","сільський клуб, глядацький зал
вул.Шкільна, 21, с.Переволока, Бучацький р-н, Тернопільська обл., 48420","576","171","561","28","379","26","405","","0","379","26","405","14","391","165","95","75","4","2","4","46","29.10.12"
"610174","166","Тернопільська область","будинок культури, глядацький зал
вул.Купрійова, 2, с.Переволока, Бучацький р-н, Тернопільська обл., 48420","1192","348","1174","78","766","78","844","","0","766","78","844","23","821","272","244","195","5","11","4","90","29.10.12"
"610175","166","Тернопільська область","будинок культури, фойє
вул.Сонячна, 7, с.Передмістя, Бучацький р-н, Тернопільська обл., 48467","264","79","260","10","177","8","185","","0","177","8","185","5","180","53","54","54","1","4","1","13","29.10.12"
"610176","166","Тернопільська область","будинок культури, фойє
вул.Центральна, 79, с.Заліщики, Бучацький р-н, Тернопільська обл., 48467","360","68","356","26","268","24","292","","0","268","24","292","4","288","106","57","29","2","6","7","81","29.10.12"
"610177","166","Тернопільська область","сільська рада, зал засідань
вул.Центральна, 70, с.Пилява, Бучацький р-н, Тернопільська обл., 48414","360","111","355","22","227","22","249","","0","227","22","249","8","241","123","32","30","0","1","3","52","29.10.12"
"610178","166","Тернопільська область","школа, спортивний зал
вул.Центральна, 92, с.Новоставці, Бучацький р-н, Тернопільська обл., 48478","656","149","648","40","467","40","507","","0","467","40","507","17","490","268","92","46","1","3","3","77","29.10.12"
"610179","166","Тернопільська область","сільський клуб, глядацький зал
вул.Войтихівка, 88, с.Мартинівка, Бучацький р-н, Тернопільська обл., 48414","240","65","234","18","157","18","175","","0","157","18","175","4","171","85","16","42","1","0","2","25","29.10.12"
"610180","166","Тернопільська область","сільський клуб, глядацький зал
вул.Шевченка, 87, с.Пишківці, Бучацький р-н, Тернопільська обл., 48430","1000","155","1004","42","805","40","845","","0","805","40","845","22","823","314","222","247","3","9","6","22","29.10.12"
"610181","166","Тернопільська область","сільський клуб, глядацький зал
вул.Тернопільська, 71, с.Підзамочок, Бучацький р-н, Тернопільська обл., 48423","1264","402","1240","53","809","53","862","","0","809","53","862","23","839","381","158","175","2","9","6","108","29.10.12"
"610182","166","Тернопільська область","сільський клуб, глядацький зал
вул.Центральна, 56, с.Звенигород, Бучацький р-н, Тернопільська обл., 48421","632","82","620","25","525","25","550","","0","525","25","550","9","541","225","185","62","1","2","1","65","29.10.12"
"610183","166","Тернопільська область","сільський клуб, глядацький зал
вул.Л.Українки, 81, с.Підлісся, Бучацький р-н, Тернопільська обл., 48423","328","92","321","17","219","17","236","","0","219","17","236","6","230","116","35","62","0","2","9","6","29.10.12"
"610184","166","Тернопільська область","школа, актова зала
вул.Центральна, 5, с.Порохова, Бучацький р-н, Тернопільська обл., 48443","856","344","839","83","430","82","512","","0","430","82","512","22","490","128","97","144","3","14","21","83","29.10.12"
"610185","166","Тернопільська область","будинок культури, глядацький зал
вул.Центральна, 27, с.Ріпинці, Бучацький р-н, Тернопільська обл., 48433","856","243","839","73","541","72","613","","0","541","72","613","22","591","170","171","103","9","5","3","130","29.10.12"
"610186","166","Тернопільська область","школа, фойє
вул.Центральна, 22Б, с.Русилів, Бучацький р-н, Тернопільська обл., 48444","232","68","231","8","156","8","164","","0","156","8","164","2","162","21","80","20","0","1","3","37","29.10.12"
"610187","166","Тернопільська область","будинок культури, глядацький зал
вул.Центральна, 101А, с.Скоморохи, Бучацький р-н, Тернопільська обл., 48462","848","220","846","28","600","28","628","","0","600","28","628","11","617","240","180","88","11","19","8","71","28.10.12"
"610188","166","Тернопільська область","будинок культури, глядацький зал
вул.Гостинець, 22, с.Сновидів, Бучацький р-н, Тернопільська обл., 48455","1384","583","1369","110","695","106","801","","0","695","106","801","23","778","386","171","121","4","26","4","66","29.10.12"
"610189","166","Тернопільська область","школа, фойє
вул.Шкільна, 29, с.Соколів, Бучацький р-н, Тернопільська обл., 48444","1392","365","1373","47","980","47","1027","","0","980","47","1027","33","994","366","234","245","7","15","13","114","29.10.12"
"610190","166","Тернопільська область","сільський клуб, глядацький зал
вул.Центральна, 14, с.Сороки, Бучацький р-н, Тернопільська обл., 48440","960","136","953","37","787","37","824","","0","787","37","824","38","786","278","135","150","1","13","20","189","30.10.12"
"610191","166","Тернопільська область","сільський клуб, глядацький зал
вул.Застрипна, 20, с.Старі Петликівці, Бучацький р-н, Тернопільська обл., 48413","768","191","759","70","509","68","577","","0","509","68","577","16","561","212","138","95","4","3","3","106","29.10.12"
"610192","166","Тернопільська область","сільський клуб, глядацький зал
вул.Горішня, 3, с.Білявинці, Бучацький р-н, Тернопільська обл., 48471","456","102","443","37","317","37","354","","0","317","37","354","8","346","85","129","57","3","9","5","58","29.10.12"
