"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Драніков
Олександр
Едуардович","Дудка
Олександр
Іванович","Кривохатько
Вадим
Вікторович","Кузьменко
Олег
Анатолійович","Куценко
Владислав
Ігорович","Мараховська
Вікторія
Юріївна","Дата підписання протоколу"
"230147","82","Запорізька область","школа, вестибюль
вул.Шкільна, 22, с.Привільне, Вільнянський р-н, Запорізька обл., 70022","736","404","721","42","297","35","332","","0","297","35","332","17","315","2","81","181","5","20","26","28.10.12"
"230148","82","Запорізька область","будинок культури, актова зала
вул.Леніна, 10, с.Солоне, Вільнянський р-н, Запорізька обл., 70021","1032","496","1014","13","529","7","536","","0","529","7","536","35","501","1","181","179","9","54","77","28.10.12"
"230149","82","Запорізька область","адміністративний будинок сільської ради, актова зала
вул.Центральна, 4, с.Тернівка, Вільнянський р-н, Запорізька обл., 70010","528","248","518","32","251","29","280","","0","251","29","280","14","266","2","105","105","4","12","38","28.10.12"
"230150","82","Запорізька область","фельдшерсько-акушерський пункт, фойє
вул.Свободи, 15А, с.Великодубове, Вільнянський р-н, Запорізька обл., 70010","224","90","221","30","110","24","134","","0","110","24","134","5","129","1","72","26","2","9","19","28.10.12"
"230151","82","Запорізька область","психоневрологічний інтернат, медичний пункт, актова зала
вул.Жовтнева, 27А, с.Любомирівка, Вільнянський р-н, Запорізька обл., 70026","144","13","155","47","87","44","131","","0","87","44","131","39","92","13","55","9","7","7","1","28.10.12"
"230152","82","Запорізька область","Вільнянська виправна колонія №20, їдальня
вул.Дзержинського, 1, м.Вільнянськ, Вільнянський р-н, Запорізька обл., 70002","1552","140","1412","103","1309","103","1412","","0","1309","103","1412","303","1109","92","623","123","66","100","105","28.10.12"
"230153","82","Запорізька область","Софіївська виправна колонія №55, клуб
вул.Металістів, 1, м.Вільнянськ, Вільнянський р-н, Запорізька обл., 70002","1272","93","1194","75","1104","75","1179","","0","1104","75","1179","172","1007","46","678","90","39","80","74","29.10.12"
"230154","82","Запорізька область","Кам’янська виправна колонія №101, клуб
вул.Зелена, 32, смт Кам’яне, Вільнянський р-н, Запорізька обл., 70050","1448","87","1361","0","1361","0","1361","","0","1361","0","1361","152","1209","42","852","83","41","83","108","29.10.12"
"230155","82","Запорізька область","Дружелюбівський виправний центр №1, гуртожиток для засуджених, 1-й поверх
вул.Зелена, 1, смт Кам’яне, Вільнянський р-н, Запорізька обл., 70050","264","48","216","0","216","0","216","","0","216","0","216","40","176","6","143","11","2","5","9","28.10.12"
"230156","82","Запорізька область","Марфопільський фельдшерсько-акушерський пункт, к.2
вул.Челюскіна, 6А, с.Марфопіль, Гуляйпільський р-н, Запорізька обл., 70206","200","67","193","13","120","13","133","","0","120","13","133","5","128","18","50","12","6","27","15","29.10.12"
"230157","82","Запорізька область","адміністративний будинок тракторної бригади ТОВ ""Еталон-Агро-Плюс"", к.2
адміністративний будинок тракторної бригади ТОВ ""Еталон-Агро-Плюс"", с.Зелений Гай, Гуляйпільський р-н, Запорізька обл., 70242","144","48","138","16","80","16","96","","0","80","16","96","0","96","2","75","9","1","7","2","28.10.12"
"230158","82","Запорізька область","Піщанський фельдшерсько-акушерський пункт, к.2
вул.9 Січня, 337, м.Гуляйполе, Гуляйпільський р-н, Запорізька обл., 70201","992","446","981","32","516","30","546","","0","516","30","546","34","512","39","165","109","18","100","81","28.10.12"
"230159","82","Запорізька область","адміністративний будинок ПАТ ""Аграрний дім"", актова зала
вул.9 Січня, 125, м.Гуляйполе, Гуляйпільський р-н, Запорізька обл., 70201","1560","720","1544","29","813","27","840","","0","813","27","840","41","799","111","335","163","24","98","68","29.10.12"
"230160","82","Запорізька область","адміністративний будинок ТОВ ""Вишневе"", вестибюль
вул.9 Січня, 110, м.Гуляйполе, Гуляйпільський р-н, Запорізька обл., 70202","832","418","820","22","394","20","414","","0","394","20","414","18","396","32","174","74","16","62","38","29.10.12"
"230161","82","Запорізька область","школа №1, актова зала
вул.Леніна, 48, м.Гуляйполе, Гуляйпільський р-н, Запорізька обл., 70202","1512","702","1482","52","763","47","810","","0","763","47","810","39","771","80","392","116","14","96","73","29.10.12"
"230162","82","Запорізька область","культурно-спортивний комплекс ""Сучасник"", к.104
пл.Петровського, 2, м.Гуляйполе, Гуляйпільський р-н, Запорізька обл., 70202","1848","835","1834","32","983","30","1013","","0","983","30","1013","31","982","116","451","157","18","142","98","29.10.12"
"230163","82","Запорізька область","колегіум ""Лідер"", спортивна зала
вул.Цвітна, 5, м.Гуляйполе, Гуляйпільський р-н, Запорізька обл., 70202","1696","741","1675","51","910","45","955","","0","910","45","955","32","923","97","448","167","18","97","96","29.10.12"
"230164","82","Запорізька область","клуб ТОВ ""Новий заповіт"", вестибюль
вул.Спортивна, 6, м.Гуляйполе, Гуляйпільський р-н, Запорізька обл., 70203","1648","691","1644","67","891","66","957","","0","891","66","957","34","923","69","408","180","21","134","111","29.10.12"
"230165","82","Запорізька область","школа №2, спортивна зала
вул.Вербова, 2, м.Гуляйполе, Гуляйпільський р-н, Запорізька обл., 70203","912","443","906","28","443","26","469","","0","443","26","469","19","450","13","195","82","17","88","55","29.10.12"
"230166","82","Запорізька область","адміністративний будинок ВАТ АТП-12338, актова зала
вул.Дачна, 4, м.Гуляйполе, Гуляйпільський р-н, Запорізька обл., 70202","768","363","754","19","388","17","405","","0","388","17","405","23","382","55","199","43","12","48","25","29.10.12"
"230167","82","Запорізька область","адміністративний будинок ТОВ ""Еталон-Агро-Плюс"", вестибюль
вул.Шкільна, 42, м.Гуляйполе, Гуляйпільський р-н, Запорізька обл., 70202","1152","559","1129","37","559","34","593","","0","559","34","593","15","578","73","298","78","7","64","58","29.10.12"
"230168","82","Запорізька область","адміністративний будинок селищної ради, зала засідань
вул.Ватутіна, 20, смт Залізничне, Гуляйпільський р-н, Запорізька обл., 70231","744","299","731","41","409","36","445","","0","409","36","445","26","419","13","206","67","17","67","49","29.10.12"
"230169","82","Запорізька область","школа, вестибюль
вул.Леніна, 40, с.Воздвижівка, Гуляйпільський р-н, Запорізька обл., 70220","888","371","867","96","434","83","517","","0","434","83","517","27","490","33","350","33","15","24","35","29.10.12"
"230170","82","Запорізька область","сільський будинок культури, вестибюль
вул.Леніна, 72, с.Верхня Терса, Гуляйпільський р-н, Запорізька обл., 70224","800","238","787","69","500","62","562","","0","500","62","562","31","531","43","306","73","6","68","35","29.10.12"
"230171","82","Запорізька область","школа, їдальня
вул.Перемоги, 57А, с.Добропілля, Гуляйпільський р-н, Запорізька обл., 70221","568","197","577","59","318","53","371","","0","318","53","371","24","347","23","219","40","7","38","20","29.10.12"
"230172","82","Запорізька область","сільський будинок культури, вестибюль
вул.Леніна, 63, с.Долинка, Гуляйпільський р-н, Запорізька обл., 70223","448","129","445","44","278","41","319","","0","278","41","319","12","307","62","149","33","3","35","25","29.10.12"
"230173","82","Запорізька область","сільський будинок культури, к.3
вул.Гагаріна, 38, с.Дорожнянка, Гуляйпільський р-н, Запорізька обл., 70234","248","72","245","20","157","19","176","","0","157","19","176","10","166","47","67","23","4","9","16","28.10.12"
"230174","82","Запорізька область","сільський будинок культури, к.1
вул.Леніна, 32, с.Комсомольське, Гуляйпільський р-н, Запорізька обл., 70232","736","277","726","61","400","59","459","","0","400","59","459","6","453","18","280","43","7","57","48","28.10.12"
"230175","82","Запорізька область","сільський будинок культури, зала
вул.Калініна, 21, с.Любимівка, Гуляйпільський р-н, Запорізька обл., 70245","592","190","585","47","362","40","402","","0","362","40","402","22","380","22","187","42","27","75","27","29.10.12"
"230176","82","Запорізька область","школа, спортивна зала
вул.Космічна, 25, с.Малинівка, Гуляйпільський р-н, Запорізька обл., 70245","528","145","519","46","338","45","383","","0","338","45","383","8","375","35","250","28","9","39","14","28.10.12"
"230177","82","Запорізька область","адміністративний будинок сільської ради, зала засідань
вул.Леніна, 12Б, с.Мирне, Гуляйпільський р-н, Запорізька обл., 70233","424","152","420","22","256","16","272","","0","256","16","272","12","260","7","157","26","8","44","18","28.10.12"
"230178","82","Запорізька область","адміністративний будинок сільської ради, зала засідань
вул.Леніна, 57, с.Новозлатопіль, Гуляйпільський р-н, Запорізька обл., 70244","648","195","640","37","417","36","453","","0","417","36","453","18","435","38","228","39","13","62","55","29.10.12"
"230179","82","Запорізька область","сільський будинок культури, вестибюль
вул.Гагаріна, 2А, с.Новомиколаївка, Гуляйпільський р-н, Запорізька обл., 70214","600","247","589","57","297","56","353","","0","297","56","353","10","343","35","207","25","16","50","10","29.10.12"
"230180","82","Запорізька область","сільський будинок культури, зала
вул.Петрівська, 3А, с.Петрівка, Гуляйпільський р-н, Запорізька обл., 70230","248","79","242","42","131","38","169","","0","131","38","169","4","165","10","87","27","1","26","14","28.10.12"
"230181","82","Запорізька область","школа, вестибюль
вул.Свердлова, 44, с.Полтавка, Гуляйпільський р-н, Запорізька обл., 70240","712","225","707","85","410","77","487","","0","410","77","487","15","472","61","311","41","5","20","34","28.10.12"
"230182","82","Запорізька область","сільський будинок культури, зала
вул.Леніна, 48, с.Приютне, Гуляйпільський р-н, Запорізька обл., 70241","368","111","353","32","227","30","257","","0","227","30","257","11","246","13","133","42","8","29","21","29.10.12"
"230183","82","Запорізька область","сільський будинок культури, вестибюль
вул.Шкільна, 25, с.Рівнопілля, Гуляйпільський р-н, Запорізька обл., 70216","208","55","202","23","131","22","153","","0","131","22","153","2","151","9","93","8","4","27","10","28.10.12"
"230184","82","Запорізька область","сільський будинок культури, к.3
вул.Миру, 48В, с.Темирівка, Гуляйпільський р-н, Запорізька обл., 70210","408","158","403","19","231","19","250","","0","231","19","250","8","242","12","100","17","5","104","4","28.10.12"
"230185","82","Запорізька область","сільський будинок культури, к.1
вул.Шевченка, 70, с.Успенівка, Гуляйпільський р-н, Запорізька обл., 70212","1184","491","1186","56","641","52","693","","0","641","52","693","23","670","53","370","59","20","110","58","29.10.12"
"230186","82","Запорізька область","сільський будинок культури, к.1
вул.Космічна, 1, с.Червоне, Гуляйпільський р-н, Запорізька обл., 70243","384","36","375","19","329","19","348","","0","329","19","348","11","337","25","276","20","1","4","11","29.10.12"
"230187","82","Запорізька область","Гуляйпільська центральна районна лікарня, к.504
вул.Леніна, 103, м.Гуляйполе, Гуляйпільський р-н, Запорізька обл., 70202","104","88","23","0","16","0","16","","0","16","0","16","0","16","2","10","0","0","2","2","28.10.12"
"230188","82","Запорізька область","Гуляйпільська психіатрична лікарня, к.7
вул.Дачна, 89, м.Гуляйполе, Гуляйпільський р-н, Запорізька обл., 70202","32","0","37","0","32","0","32","","0","32","0","32","2","30","0","23","2","2","3","0","29.10.12"
"230189","82","Запорізька область","Новозлатопільська психіатрична лікарня, к.6
вул.Чорного, 3А, с.Новозлатопіль, Гуляйпільський р-н, Запорізька обл., 70244","56","36","20","0","20","0","20","","0","20","0","20","4","16","0","14","0","0","2","0","28.10.12"
"230190","82","Запорізька область","школа, хол
вул.Молодіжна, 63, с.Августинівка, Запорізький р-н, Запорізька обл., 70403","1240","533","1221","97","619","88","707","","0","619","88","707","48","659","27","324","55","26","114","113","29.10.12"
"230191","82","Запорізька область","школа, актова зала
вул.Перемоги, 2, с-ще Відрадне, Запорізький р-н, Запорізька обл., 70406","1160","481","1145","67","619","60","679","","0","619","60","679","34","645","43","332","98","22","79","71","29.10.12"
"230192","82","Запорізька область","гімназія ""Престиж"", фойє
вул.Кірова, 2А, смт Балабине, Запорізький р-н, Запорізька обл., 70435","2496","1071","2458","110","1333","92","1425","","0","1333","92","1425","67","1358","104","472","201","55","363","163","29.10.12"
"230193","82","Запорізька область","будинок культури, мала зала
вул.Червона, 4, смт Балабине, Запорізький р-н, Запорізька обл., 70435","2448","1064","2408","89","1305","79","1384","","0","1305","79","1384","78","1306","120","432","154","42","379","179","29.10.12"
"230194","82","Запорізька область","будинок культури, хол
вул.30 Грудня, 24, с.Біленьке, Запорізький р-н, Запорізька обл., 70441","1328","570","1322","85","679","79","758","","0","679","79","758","32","726","43","312","58","17","236","60","29.10.12"
"230195","82","Запорізька область","школа, актова зала
вул.Шкільна, 5, с.Біленьке, Запорізький р-н, Запорізька обл., 70441","1472","672","1463","116","693","107","800","","0","693","107","800","25","775","15","431","61","19","167","82","29.10.12"
"230196","82","Запорізька область","школа, 1-й поверх
вул.Шкільна, 5, с.Біленьке, Запорізький р-н, Запорізька обл., 70441","1440","559","1430","104","783","98","881","","0","783","98","881","35","846","39","384","63","24","223","113","29.10.12"
"230197","82","Запорізька область","будинок культури, фойє
вул.Центральна, 42, с.Веселе, Запорізький р-н, Запорізька обл., 70404","688","264","672","156","277","147","424","","0","277","147","424","29","395","10","277","16","17","55","20","29.10.12"
"230198","82","Запорізька область","школа, фойє
вул.Молодіжна, 1, с.Петропіль, Запорізький р-н, Запорізька обл., 70405","648","236","636","44","368","44","412","","0","368","44","412","23","389","9","186","62","16","84","32","29.10.12"
"230199","82","Запорізька область","гімназія ""Успіх"", хол
вул.Шкільна, 13, с.Володимирівське, Запорізький р-н, Запорізька обл., 70411","2504","1036","2497","113","1373","95","1468","","0","1373","95","1468","60","1408","23","535","344","57","249","200","29.10.12"
"230200","82","Запорізька область","навчально-виховний комплекс, спортивна зала
вул.Леніна, 55, с.Григорівка, Запорізький р-н, Запорізька обл., 70452","1032","385","1018","59","593","54","647","","0","593","54","647","20","627","126","235","55","13","149","49","29.10.12"
"230201","82","Запорізька область","будинок культури, зала
вул.Зарічна, 40, с.Веселянка, Запорізький р-н, Запорізька обл., 70453","816","311","792","50","461","44","505","","0","461","44","505","21","484","29","213","35","13","143","51","28.10.12"
"230202","82","Запорізька область","будинок культури, хол
вул.Центральна, 41А, с.Долинське, Запорізький р-н, Запорізька обл., 70420","512","180","501","20","314","18","332","","0","314","18","332","12","320","80","136","19","12","46","27","29.10.12"
"230203","82","Запорізька область","будинок культури, зала
вул.Леніна, 47А, с.Нове Запоріжжя, Запорізький р-н, Запорізька обл., 70422","680","256","662","40","384","40","424","","0","384","40","424","29","395","47","143","38","13","86","68","29.10.12"
"230204","82","Запорізька область","приватне акціонерне товариство ""Високогірне"", актова зала
вул.Мічуріна, 5, с-ще Високогірне, Запорізький р-н, Запорізька обл., 70421","400","160","407","19","223","17","240","","0","223","17","240","16","224","57","69","16","5","52","25","28.10.12"
"230205","82","Запорізька область","сільський клуб, зала
вул.Миру, 23, с.Новослобідка, Запорізький р-н, Запорізька обл., 70423","360","144","357","22","194","22","216","","0","194","22","216","12","204","33","69","27","5","37","33","29.10.12"
"230206","82","Запорізька область","сільський клуб, зала
вул.Дружна, 2, с.Бабурка, Запорізький р-н, Запорізька обл., 70423","376","133","366","15","232","11","243","","0","232","11","243","20","223","6","105","31","5","48","28","29.10.12"
"230207","82","Запорізька область","навчально-виховний комплекс ""Інтелект"", к.2
вул.Шевченка, 71, смт Кушугум, Запорізький р-н, Запорізька обл., 70450","2200","1162","2167","58","990","48","1038","","0","990","48","1038","61","977","57","353","128","39","275","125","29.10.12"
"230208","82","Запорізька область","навчально-виховний комплекс ""Інтелект"", актова зала
вул.Шевченка, 71, смт Кушугум, Запорізький р-н, Запорізька обл., 70450","2160","1021","2141","97","1064","75","1139","","0","1064","75","1139","77","1062","50","448","129","56","235","144","29.10.12"
"230209","82","Запорізька область","селищна рада, зала засідань
вул.Тельмана, 23, смт Кушугум, Запорізький р-н, Запорізька обл., 70450","2296","1196","2276","57","1062","38","1100","","0","1062","38","1100","74","1026","95","397","144","39","227","124","29.10.12"
"230210","82","Запорізька область","сільський клуб, фойє
вул.Центральна, 17А, с.Лисогірка, Запорізький р-н, Запорізька обл., 70443","816","310","799","55","463","43","506","","0","463","43","506","25","481","18","229","44","12","122","56","29.10.12"
"230211","82","Запорізька область","сільський клуб, фойє
вул.Слави, б.1А, с.Канівське, Запорізький р-н, Запорізька обл., 70443","552","212","547","43","297","43","340","","0","297","43","340","15","325","6","155","44","11","87","22","29.10.12"
"230212","82","Запорізька область","комунальна власність територіальної громади, нежитлове приміщення житлового будинку, к.2
вул.Гагаріна, б.3/9, с.Біленьке Перше, Запорізький р-н, Запорізька обл., 70441","632","300","618","29","314","18","332","","0","314","18","332","20","312","8","127","24","9","108","36","29.10.12"
"230213","82","Запорізька область","будинок культури, фойє
вул.Леніна, 18, с.Лукашеве, Запорізький р-н, Запорізька обл., 70410","1008","389","996","50","579","40","619","","0","579","40","619","21","598","32","265","70","29","143","59","29.10.12"
"230214","82","Запорізька область","сільський клуб, зала
вул.Радянська, сільський клуб, с.Радянське, Запорізький р-н, Запорізька обл., 70410","128","54","121","12","62","12","74","","0","62","12","74","7","67","4","19","5","7","21","11","29.10.12"
"230215","82","Запорізька область","будинок культури, зала
вул.Клубна, 1, смт Малокатеринівка, Запорізький р-н, Запорізька обл., 70454","1056","508","1035","45","511","37","548","","0","511","37","548","29","519","123","160","39","22","126","49","29.10.12"
"230216","82","Запорізька область","гімназія ""Мрія"", каб.1
вул.Калініна, 33, смт Малокатеринівка, Запорізький р-н, Запорізька обл., 70454","1264","578","1259","39","650","36","686","","0","650","36","686","36","650","101","258","64","23","155","49","29.10.12"
"230217","82","Запорізька область","будинок культури, танцювальна зала
вул.Леніна, 38, с.Мар’ївка, Запорізький р-н, Запорізька обл., 70440","1448","659","1432","91","715","74","789","","0","715","74","789","58","731","26","418","60","23","123","81","29.10.12"
"230218","82","Запорізька область","товариство з обмеженою відповідальністю ""Січ-Агро-2005"", зала засідань
вул.Центральна, 1А, с.Новосергіївка, Запорізький р-н, Запорізька обл., 70440","280","114","275","16","150","16","166","","0","150","16","166","14","152","2","85","14","9","36","6","29.10.12"
"230219","82","Запорізька область","будинок культури, хол
вул.Центральна, 97, с.Миколай-Поле, Запорізький р-н, Запорізька обл., 70401","920","382","902","66","482","56","538","","0","482","56","538","35","503","25","202","75","20","142","39","29.10.12"
"230220","82","Запорізька область","сільський клуб-бібліотека, зала
вул.Центральна, 67, с.Новопетрівка, Запорізький р-н, Запорізька обл., 70402","784","309","774","43","437","38","475","","0","437","38","475","38","437","16","199","39","13","131","39","29.10.12"
"230221","82","Запорізька область","навчально-виховний комплекс, спортивна зала
вул.Ювілейна, 10, с.Наталівка, Запорізький р-н, Запорізька обл., 70430","968","363","958","69","542","63","605","","0","542","63","605","41","564","10","257","137","14","99","47","29.10.12"
"230222","82","Запорізька область","навчально-виховний комплекс, фойє
вул.Центральна, 19, с.Лежине, Запорізький р-н, Запорізька обл., 70431","1832","691","1803","101","1045","96","1141","","0","1045","96","1141","60","1081","41","419","225","38","161","197","29.10.12"
"230223","82","Запорізька область","школа, фойє
вул.Радянська, 14, с.Новоолександрівка, Запорізький р-н, Запорізька обл., 70433","1352","563","1342","74","722","67","789","","0","722","67","789","44","745","113","299","85","27","165","56","29.10.12"
"230224","82","Запорізька область","навчально-виховний комплекс, спортивна зала
вул.Леніна, 8А, с.Юльївка, Запорізький р-н, Запорізька обл., 70434","416","154","404","30","232","30","262","","0","232","30","262","12","250","5","104","28","11","85","17","29.10.12"
"230225","82","Запорізька область","будинок культури, хол
вул.Леніна, 24, с.Розумівка, Запорізький р-н, Запорізька обл., 70424","1616","623","1614","51","951","42","993","","0","951","42","993","47","946","48","410","149","37","198","104","29.10.12"
"230226","82","Запорізька область","сільський клуб, зала
вул.Леніна, 19А, с.Нижня Хортиця, Запорізький р-н, Запорізька обл., 70425","632","221","627","32","380","31","411","","0","380","31","411","20","391","12","152","97","14","69","47","28.10.12"
"230227","82","Запорізька область","сільський клуб, зала
вул.Берегова, 16, с.Ручаївка, Запорізький р-н, Запорізька обл., 70413","568","267","557","41","264","37","301","","0","264","37","301","10","291","4","175","18","14","54","26","29.10.12"
"230228","82","Запорізька область","Інститут олійних культур, хол
вул.Інститутська, 1, с-ще Сонячне, Запорізький р-н, Запорізька обл., 70417","880","419","868","23","444","17","461","","0","444","17","461","21","440","15","153","107","20","82","63","29.10.12"
"230229","82","Запорізька область","будинок культури, хол
вул.Нагорна, 12, с.Степне, Запорізький р-н, Запорізька обл., 70432","1376","430","1352","50","903","43","946","","0","903","43","946","55","891","56","343","161","29","217","85","29.10.12"
"230230","82","Запорізька область","сільський клуб, зала
вул.Миру, 73, с.Шевченківське, Запорізький р-н, Запорізька обл., 70433","304","119","298","11","177","8","185","","0","177","8","185","13","172","9","45","33","9","62","14","29.10.12"
"230231","82","Запорізька область","будинок культури, мала зала
вул.Радянська, 2, с.Широке, Запорізький р-н, Запорізька обл., 70413","944","330","927","59","558","56","614","","0","558","56","614","30","584","10","277","109","14","94","80","29.10.12"
