"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Варданян
Армен
Фрунзікович","Варецький
Василь
Іванович","Зубко
Ігор
Владиславович","Карташов
Євген
Григорович","Кравець
Костянтин
Євгенійович","Лєх
Ірина
Іванівна","Пшигоцький
Сергій
Володимирович","Тимченко
Артем
Олегович","Ткаченко
Олег
Валентинович","Харламов
Дмитро
Вікторович","Дата підписання протоколу"
"000001","76","Запорізька область","фойє адміністративного корпусу
вул.Верхня, 2, м. Запоріжжя, 69032","24","15","15","0","9","0","9","","0","9","0","9","0","9","1","0","0","4","1","0","0","2","0","1","28.10.12"
"230972","76","Запорізька область","театр-лабораторія ""Ві"", фойє
вул.Наукового містечка, 35, м.Запоріжжя, 69017","1200","441","1199","43","717","42","759","","0","717","42","759","13","746","70","75","17","198","7","42","304","9","18","6","29.10.12"
"230973","76","Запорізька область","школа №37, спортивна зала
вул.Кронштадська, 7А, м.Запоріжжя, 69001","2220","959","2197","39","1227","34","1261","","0","1227","34","1261","48","1213","218","125","40","304","23","54","368","38","28","15","29.10.12"
"230974","76","Запорізька область","спортивний комплекс ВАТ""Запоріжсталь"", фойє
вул.Сергія Тюленіна, 13, м.Запоріжжя, 69001","2244","1061","2208","12","1171","12","1183","","0","1171","12","1183","45","1138","149","133","33","300","24","85","346","26","30","12","29.10.12"
"230975","76","Запорізька область","школа-інтернат спортивного профілю, спортивна зала
вул.Патріотична, 7, м.Запоріжжя, 69001","2370","1085","2333","24","1264","21","1285","","0","1264","21","1285","55","1230","187","164","42","317","24","72","354","33","27","10","29.10.12"
"230976","76","Запорізька область","навчально-виховний комплекс №20, фойє, 1 поверх
бульв.Шевченка, 49, м.Запоріжжя, 69091","2430","1008","2415","37","1388","34","1422","","0","1388","34","1422","43","1379","230","198","44","370","24","89","363","35","17","9","29.10.12"
"230977","76","Запорізька область","навчально-виховний комплекс №20, фойє, 2 поверх
бульв.Шевченка, 49, м.Запоріжжя, 69091","2268","1035","2245","42","1209","24","1233","","0","1209","24","1233","42","1191","190","165","34","254","30","73","362","41","33","9","29.10.12"
"230978","76","Запорізька область","металургійний коледж, фойє, 1 поверх
вул.Немировича-Данченка, 71, м.Запоріжжя, 69091","2322","1021","2306","40","1268","33","1301","","0","1268","33","1301","52","1249","184","174","50","330","26","66","347","35","25","12","29.10.12"
"230979","76","Запорізька область","металургійний коледж, фойє, 2 поверх
вул.Немировича-Данченка, 71, м.Запоріжжя, 69091","2304","1154","2278","35","1122","28","1150","","0","1122","28","1150","40","1110","166","196","43","276","27","54","283","24","28","13","29.10.12"
"230980","76","Запорізька область","школа №58, фойє
вул.Поточна, 7, м.Запоріжжя, 69001","1878","789","1869","24","1066","23","1089","","0","1066","23","1089","46","1043","179","154","42","282","26","63","238","17","33","9","29.10.12"
"230981","76","Запорізька область","класичний ліцей, фойє
вул.Правди, 23, м.Запоріжжя, 69035","1818","788","1808","11","1022","8","1030","","0","1022","8","1030","41","989","160","157","46","250","21","87","197","23","34","14","29.10.12"
"230982","76","Запорізька область","медичний університет, навчальний корпус, фойє
вул.Сталеварів, 31, м.Запоріжжя, 69035","2370","1320","2353","2","1048","2","1050","","0","1048","2","1050","42","1008","159","198","33","357","38","43","83","23","38","36","29.10.12"
"230983","76","Запорізька область","школа №72, фойє
вул.Лермонтова, 21, м.Запоріжжя, 69005","2262","1067","2226","27","1172","23","1195","","0","1172","23","1195","49","1146","191","147","37","347","30","81","242","33","29","9","29.10.12"
"230984","76","Запорізька область","гімназія №71, спортивна зала
просп.Маяковського, 8, м.Запоріжжя, 69035","2172","1083","2153","26","1067","22","1089","","0","1067","22","1089","52","1037","171","180","36","306","20","77","179","29","27","12","29.10.12"
"230985","76","Запорізька область","гімназія №28, фойє
вул.Лермонтова, 16, м.Запоріжжя, 69035","2022","947","1983","19","1058","17","1075","","0","1058","17","1075","46","1029","186","153","28","326","25","86","142","42","24","17","29.10.12"
"230986","76","Запорізька область","навчально-виховний комплекс ""Основа"", фойє, 1 поверх
вул.Якова Новицького, 9, м.Запоріжжя, 69035","1752","753","1732","26","974","25","999","","0","974","25","999","35","964","188","125","32","290","25","60","189","25","19","11","29.10.12"
"230987","76","Запорізька область","навчально-виховний комплекс ""Основа"", фойє, 2 поверх
вул.Якова Новицького, 9, м.Запоріжжя, 69035","2304","1126","2288","22","1158","20","1178","","0","1158","20","1178","58","1120","154","169","44","358","34","70","225","26","27","13","29.10.12"
"230988","76","Запорізька область","школа №78, фойє, 1 поверх
бульв.Центральний, 12А, м.Запоріжжя, 69005","2316","1185","2273","23","1111","20","1131","","0","1111","20","1131","41","1090","190","127","41","362","23","66","219","21","27","14","28.10.12"
"230989","76","Запорізька область","школа №78, фойє, 2 поверх
бульв.Центральний, 12А, м.Запоріжжя, 69005","2322","1005","2293","19","1301","16","1317","","0","1301","16","1317","70","1247","218","183","47","370","33","98","220","35","32","11","29.10.12"
"230990","76","Запорізька область","гімназія №27, фойє, 1 поверх
бульв.Центральний, 15А, м.Запоріжжя, 69005","2310","1016","2303","7","1287","7","1294","","0","1277","7","1284","57","1227","172","185","38","411","24","69","245","30","32","21","03.11.12"
"230991","76","Запорізька область","гімназія №27, фойє, 2 поверх
бульв.Центральний, 15А, м.Запоріжжя, 69005","2262","1157","2247","15","1093","12","1105","","0","1093","12","1105","44","1061","149","136","41","368","27","45","226","30","21","18","29.10.12"
"230992","76","Запорізька область","гімназія №25, фойє, 1 поверх
вул.Патріотична, 76, м.Запоріжжя, 69005","2262","1139","2225","28","1102","21","1123","","0","1102","21","1123","43","1080","180","169","40","305","28","56","252","14","24","12","29.10.12"
"230993","76","Запорізька область","гімназія №25, вестибюль, 1 поверх
вул.Патріотична, 76, м.Запоріжжя, 69005","2208","1012","2177","29","1172","24","1196","","0","1172","24","1196","48","1148","192","153","39","329","36","72","256","32","25","14","29.10.12"
"230994","76","Запорізька область","школа №94, фойє
вул.Яценка, 3А, м.Запоріжжя, 69057","2142","1125","2111","24","998","19","1017","","0","998","19","1017","36","981","175","144","36","282","29","51","215","21","18","10","29.10.12"
"230995","76","Запорізька область","палац культури ""Титан"", фойє
вул.Перемоги, 131, м.Запоріжжя, 69057","2136","948","2108","40","1155","33","1188","","0","1155","33","1188","55","1133","198","181","46","377","28","51","187","31","24","10","29.10.12"
"230996","76","Запорізька область","школа №39, фойє, 1 поверх
вул.Олександра Матросова, 16, м.Запоріжжя, 69057","2346","1131","2302","28","1190","25","1215","","0","1190","25","1215","53","1162","201","146","46","380","29","71","224","21","29","15","29.10.12"
"230997","76","Запорізька область","школа №39, фойє, 2 поверх
вул.Олександра Матросова, 16, м.Запоріжжя, 69057","1812","874","1796","19","923","15","938","","0","923","15","938","25","913","144","111","43","311","22","61","164","20","28","9","29.10.12"
"230998","76","Запорізька область","професійне училище сфери послуг, актова зала
вул.Олександра Матросова, 6, м.Запоріжжя, 69057","2388","1226","2354","20","1147","15","1162","","0","1147","15","1162","49","1113","174","146","36","360","27","91","200","38","25","16","29.10.12"
"230999","76","Запорізька область","гуртожиток ВАТ ""Запоріжсталь"", фойє
вул.Сорок років Радянської України, 80А, м.Запоріжжя, 69035","1986","909","1963","19","1059","18","1077","","0","1059","18","1077","33","1044","181","163","44","357","16","49","162","27","29","16","28.10.12"
"231000","76","Запорізька область","інститут післядипломної педагогічної освіти, фойє, 2 поверх
вул.Сорок років Радянської України, 57А, м.Запоріжжя, 69035","1596","816","1585","14","766","14","780","","0","766","14","780","33","747","137","135","29","215","11","51","116","24","19","10","28.10.12"
"231001","76","Запорізька область","обласний театр юного глядача, фойє
вул.Сорок років Радянської України, 55А, м.Запоріжжя, 69035","1524","709","1523","16","806","9","815","","0","806","9","815","35","780","101","135","29","235","19","35","182","20","21","3","29.10.12"
"231002","76","Запорізька область","електротехнічний коледж, фойє
просп.Леніна, 194, м.Запоріжжя, 69035","2400","950","2362","22","1431","19","1450","","0","1431","19","1450","49","1401","239","235","44","402","40","88","246","45","48","14","29.10.12"
"231003","76","Запорізька область","школа №41, фойє
вул.Миру, 6, м.Запоріжжя, 69037","2472","1230","2436","25","1220","22","1242","","0","1220","22","1242","38","1204","162","199","34","380","22","77","260","31","18","21","29.10.12"
"231004","76","Запорізька область","гуртожиток будівельного коледжу, актова зала
вул.Сорок років Радянської України, 43А, м.Запоріжжя, 69037","2412","1171","2384","29","1220","21","1241","","0","1220","21","1241","55","1186","182","175","42","356","29","63","272","29","23","15","29.10.12"
"231005","76","Запорізька область","міський шаховий клуб ""Думка"", актова зала
просп.Леніна, 212, м.Запоріжжя, 69037","2424","1016","2396","24","1387","21","1408","","0","1387","21","1408","56","1352","198","194","57","382","29","107","293","50","31","11","29.10.12"
"231006","76","Запорізька область","вечірня школа №31, фойє
вул.Північне шосе, 37, м.Запоріжжя, 69006","2376","1141","2347","29","1218","17","1235","","0","1218","17","1235","51","1184","207","160","24","401","26","45","235","43","24","19","29.10.12"
