"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Балицький
Євген
Віталійович","Волков
Олександр
Валерійович","Гудзь
Віктор
Васильович","Іванкевич
Олег
Костянтинович","Коржилов
Микола
Миколайович","Коротун
Володимир
Вікторович","Нещадим
Микола
Іванович","Пушня
Андрій
Григорович","Самбур
Марина
Леонідівна","Дата підписання протоколу"
"230324","80","Запорізька область","школа, хол
вул.Першотравнева, 48А, с-ще Зарічне, Мелітопольський р-н, Запорізька обл., 72336","360","159","356","15","189","12","201","","0","189","12","201","7","194","130","5","5","18","0","25","0","0","11","29.10.12"
"230325","80","Запорізька область","сільський клуб, актова зала
вул.Леніна, 67А, с.Спаське, Мелітопольський р-н, Запорізька обл., 72335","576","323","569","32","226","27","253","","0","226","27","253","11","242","168","1","5","35","3","14","0","1","15","29.10.12"
"230326","80","Запорізька область","школа, актова зала
вул.Жовтнева, 20, с.Федорівка, Мелітопольський р-н, Запорізька обл., 72334","208","58","204","23","129","21","150","","0","129","21","150","7","143","70","6","3","13","1","30","0","2","18","28.10.12"
"230327","80","Запорізька область","сільський клуб, актова зала
вул.Мічуріна, 2А, с.Північне, Мелітопольський р-н, Запорізька обл., 72333","184","67","184","14","105","12","117","","0","105","12","117","7","110","65","3","1","10","0","19","3","0","9","29.10.12"
"230328","80","Запорізька область","будинок культури, актова зала
вул.Молодіжна, 19, с-ще Фруктове, Мелітопольський р-н, Запорізька обл., 73383","1008","451","1001","23","534","23","557","","0","534","23","557","21","536","356","17","14","45","5","52","3","1","43","04.11.12"
"230329","80","Запорізька область","школа, актова зала
вул.Жовтнева, 74, с.Долинське, Мелітопольський р-н, Запорізька обл., 73381","816","365","807","34","417","34","451","","0","417","34","451","18","433","303","7","3","39","5","23","1","2","50","29.10.12"
"230330","80","Запорізька область","будинок культури, актова зала
вул.Комсомольська, 3, смт Мирне, Мелітопольський р-н, Запорізька обл., 72350","1744","853","1718","23","869","22","891","","0","869","22","891","31","860","579","15","14","86","8","98","3","2","55","28.10.12"
"230331","80","Запорізька область","центральна районна лікарня, зала засідань
вул.Кізіярська, 55, м.Мелітополь, Запорізька обл., 72318","192","152","40","21","19","21","40","","0","19","21","40","0","40","25","2","0","4","0","6","0","0","3","29.10.12"
"230714","80","Запорізька область","Мелітопольський інститут державного та муніципального управління, каб.11
Каховське шосе, 8/2, м.Мелітополь, Запорізька обл., 72311","2216","1139","2193","38","1041","36","1077","","0","1041","36","1077","36","1041","640","38","22","86","17","145","6","4","83","29.10.12"
"230715","80","Запорізька область","будинок науково-дослідного інституту садівництва, вестибюль
вул.Вакуленчука, 99, м.Мелітополь, Запорізька обл., 72311","2280","1144","2251","42","1100","36","1136","","0","1100","36","1136","33","1103","513","47","32","169","30","213","5","4","90","29.10.12"
"230716","80","Запорізька область","мала академія наук, спортивний зал
вул.Червоноармійська, 46, м.Мелітополь, Запорізька обл., 72311","1736","943","1731","41","758","35","793","","0","758","35","793","21","772","389","17","20","72","16","186","2","3","67","29.10.12"
"230717","80","Запорізька область","школа №8, вестибюль 1-го поверху
вул.Калініна, 147, м.Мелітополь, Запорізька обл., 72306","2464","1453","2451","11","1000","11","1011","","0","999","11","1010","36","974","497","43","31","107","33","158","6","10","89","31.10.12"
"230718","80","Запорізька область","школа №8, вестибюль 2-го поверху
вул.Калініна, 147, м.Мелітополь, Запорізька обл., 72306","2480","1422","2456","56","1005","53","1058","","0","1005","53","1058","38","1020","555","54","26","97","16","175","7","5","85","29.10.12"
"230719","80","Запорізька область","дитячий сад №49, музична зала
вул.Бєлякова, 105А, м.Мелітополь, Запорізька обл., 72306","2352","1307","2338","38","1007","38","1045","","0","1007","38","1045","52","993","521","24","24","151","14","171","5","2","81","29.10.12"
"230720","80","Запорізька область","філія школи №24, вестибюль 1-го поверху
вул.Менжинського, 69А, м.Мелітополь, Запорізька обл., 72311","2448","1209","2418","19","1222","17","1239","","0","1222","17","1239","32","1207","644","34","21","130","24","253","3","6","92","30.10.12"
"230721","80","Запорізька область","школа №6, актовий зал
вул.Воровського, 185, м.Мелітополь, Запорізька обл., 72319","1552","804","1521","31","719","29","748","","0","719","29","748","23","725","427","27","19","66","12","125","1","2","46","29.10.12"
"230722","80","Запорізька область","школа №24, вестибюль 1-го поверху
вул.Бронзоса, 47, м.Мелітополь, Запорізька обл., 72309","2248","1068","2226","39","1146","34","1180","","0","1146","34","1180","46","1134","548","47","84","135","18","209","8","12","73","29.10.12"
"230723","80","Запорізька область","школа №24, вестибюль 2-го поверху
вул.Бронзоса, 47, м.Мелітополь, Запорізька обл., 72309","2368","1194","2336","30","1151","23","1174","","0","1151","23","1174","55","1119","524","35","34","176","26","226","6","7","85","30.10.12"
"230724","80","Запорізька область","Мелітопольське училище культури, вестибюль
просп.Богдана Хмельницького, 41, м.Мелітополь, Запорізька обл., 72309","1720","958","1720","42","727","35","762","","0","727","35","762","20","742","387","25","21","87","17","154","2","2","47","28.10.12"
"230725","80","Запорізька область","гімназія №5, вестибюль 1-го поверху
вул.Бейбулатова, 12, м.Мелітополь, Запорізька обл., 72312","872","486","848","28","363","23","386","","0","363","23","386","7","379","139","11","12","65","11","94","3","1","43","29.10.12"
"230726","80","Запорізька область","коледж таврійського державного агротехнологічного університету, вестибюль 1-го поверху
просп.Богдана Хмельницького, 44, м.Мелітополь, Запорізька обл., 72312","1936","1047","1927","43","850","39","889","","0","850","39","889","19","870","450","28","27","91","17","183","4","6","64","29.10.12"
"230727","80","Запорізька область","ТОВ ""Ремондіс-Мелітополь"", актова зала
вул.Олександра Невського, 115, м.Мелітополь, Запорізька обл., 72314","2216","1205","2196","81","935","76","1011","","0","935","76","1011","33","978","567","41","33","71","23","158","4","3","78","29.10.12"
"230728","80","Запорізька область","Мелітопольський державний педагогічний університет, вестибюль 1-го поверху
вул.Леніна, 20, м.Мелітополь, Запорізька обл., 72312","2192","1152","2171","37","1012","28","1040","","0","1012","28","1040","38","1002","501","40","29","132","11","192","5","6","86","29.10.12"
"230729","80","Запорізька область","школа №25, актова зала
вул.Леніна, 93, м.Мелітополь, Запорізька обл., 72312","1856","1102","1818","30","726","28","754","","0","726","28","754","38","716","334","41","85","66","21","92","6","5","66","29.10.12"
"230730","80","Запорізька область","школа-інтернат №2, вестибюль 2-го поверху
вул.Крупської, 22, м.Мелітополь, Запорізька обл., 72319","1176","596","1155","31","552","28","580","","0","552","28","580","12","568","260","14","14","88","16","117","5","2","52","28.10.12"
"230731","80","Запорізька область","дитячий сад №30, музична зала
вул.Горького, 92, м.Мелітополь, Запорізька обл., 72319","1752","894","1726","39","826","32","858","","0","826","32","858","22","836","419","39","17","80","23","199","1","2","56","28.10.12"
"230732","80","Запорізька область","школа №1, вестибюль
вул.Рози Люксембург, 13, м.Мелітополь, Запорізька обл., 72319","2304","1211","2275","27","1071","22","1093","","0","1071","22","1093","55","1038","464","34","32","130","32","272","3","4","67","29.10.12"
"230733","80","Запорізька область","школа №1, спортивний зал
вул.Рози Люксембург, 13, м.Мелітополь, Запорізька обл., 72319","2296","1155","2276","28","1120","21","1141","","0","1120","21","1141","47","1094","501","28","33","135","27","277","4","9","80","29.10.12"
"230734","80","Запорізька область","дитячий сад №14, музична зала
вул.Рози Люксембург, 10А, м.Мелітополь, Запорізька обл., 72319","904","448","893","13","444","12","456","","0","444","12","456","8","448","221","10","12","67","17","87","3","0","31","28.10.12"
"230735","80","Запорізька область","спортивна шахова школа №2, турнірна зала
вул.Кірова, 53, м.Мелітополь, Запорізька обл., 72319","2272","1077","2239","28","1168","27","1195","","0","1168","27","1195","24","1171","545","32","32","159","27","281","5","6","84","29.10.12"
"230736","80","Запорізька область","спортивна школа №1, спортивний зал, 2-й поверх
вул.Кірова, 42, м.Мелітополь, Запорізька обл., 72319","1928","916","1914","20","997","15","1012","","0","997","15","1012","30","982","446","29","27","134","17","214","6","3","106","29.10.12"
"230737","80","Запорізька область","спортивна школа №1, спортивний зал, 1-й поверх
вул.Кірова, 42, м.Мелітополь, Запорізька обл., 72319","1928","883","1896","22","1025","20","1045","","0","1025","20","1045","26","1019","459","24","52","134","19","236","7","5","83","29.10.12"
"230738","80","Запорізька область","музична школа №1, вестибюль 2-го поверху
вул.Леніна, 135, м.Мелітополь, Запорізька обл., 72319","2256","1215","2208","9","1032","9","1041","","0","1032","9","1041","37","1004","519","43","36","113","24","198","8","3","60","29.10.12"
"230739","80","Запорізька область","школа №11, вестибюль 2-го поверху
вул.Горького, 38, м.Мелітополь, Запорізька обл., 72319","824","399","823","21","404","21","425","","0","404","21","425","10","415","205","15","14","43","18","80","2","2","36","29.10.12"
"230740","80","Запорізька область","Таврійський державний агротехнологічний університет, вестибюль 1-го поверху
просп.Богдана Хмельницького, 18, м.Мелітополь, Запорізька обл., 72312","2256","1189","2229","42","1032","35","1067","","0","1032","35","1067","38","1029","521","43","19","179","12","174","4","3","74","29.10.12"
"230741","80","Запорізька область","спорткомплекс таврійського державного агротехнологічного університету, спортивний зал
просп.Богдана Хмельницького, 1, м.Мелітополь, Запорізька обл., 72312","1824","1045","1791","32","750","29","779","","0","750","29","779","40","739","362","36","27","83","22","144","4","2","59","28.10.12"
"230742","80","Запорізька область","дитячий сад №29, спортивний зал
вул.Червонофлотська, 111, м.Мелітополь, Запорізька обл., 72313","2336","1068","2319","20","1250","18","1268","","0","1250","18","1268","34","1234","588","34","39","129","43","295","3","3","100","29.10.12"
"230743","80","Запорізька область","школа №4, вестибюль
вул.Пушкіна, 77, м.Мелітополь, Запорізька обл., 72301","2008","947","1989","23","1041","20","1061","","0","1041","20","1061","37","1024","643","39","16","86","20","123","11","13","73","29.10.12"
"230744","80","Запорізька область","вечірня школа №1, актовий зал
вул.Пушкіна, 95, м.Мелітополь, Запорізька обл., 72301","2248","1227","2241","46","987","34","1021","","0","987","34","1021","23","998","561","32","30","85","20","178","5","5","82","29.10.12"
"230745","80","Запорізька область","клуб “Молодіжний”, вестибюль
вул.Карла Лібкнехта, 7, м.Мелітополь, Запорізька обл., 72301","2160","1375","2141","30","756","29","785","","0","756","29","785","24","761","416","24","18","68","14","161","3","2","55","29.10.12"
"230746","80","Запорізька область","школа-інтернат №1, вестибюль
вул.Піонерська, 14, м.Мелітополь, Запорізька обл., 72301","1856","1073","1839","26","757","26","783","","0","757","26","783","28","755","433","25","26","75","18","118","5","2","53","30.10.12"
"230747","80","Запорізька область","промислово-економічний коледж, вестибюль
просп.50-річчя Перемоги, 19, м.Мелітополь, Запорізька обл., 72313","2312","1091","2265","15","1206","15","1221","","0","1206","15","1221","34","1187","606","41","24","121","40","239","4","6","106","29.10.12"
"230748","80","Запорізька область","технічна школа, вестибюль
просп.50-річчя Перемоги, 21, м.Мелітополь, Запорізька обл., 72313","2216","1202","2209","48","974","40","1014","","0","974","40","1014","27","987","521","35","22","114","14","187","8","4","82","29.10.12"
"230749","80","Запорізька область","школа №14, вестибюль 1-го поверху
вул.Гризодубової, 49, м.Мелітополь, Запорізька обл., 72313","2488","1214","2454","39","1239","35","1274","","0","1239","35","1274","35","1239","560","41","41","153","36","315","7","7","79","29.10.12"
"230750","80","Запорізька область","школа №15, спортивний зал
вул.Гризодубової, 54, м.Мелітополь, Запорізька обл., 72313","2312","1002","2276","63","1253","57","1310","","0","1253","57","1310","35","1275","638","41","34","141","31","290","8","5","87","29.10.12"
"230751","80","Запорізька область","музична школа №2, вестибюль
бульв.30-річчя Перемоги, 7А, м.Мелітополь, Запорізька обл., 72318","2256","1035","2190","41","1186","35","1221","","0","1186","35","1221","46","1175","535","42","25","155","56","261","6","4","91","29.10.12"
"230752","80","Запорізька область","дитячий сад №44, спортивний зал
вул.Брів-ла-Гайард, 17, м.Мелітополь, Запорізька обл., 72318","2448","1190","2416","41","1223","35","1258","","0","1223","35","1258","37","1221","562","38","41","178","49","269","4","4","76","29.10.12"
"230753","80","Запорізька область","Мелітопольський будівельний центр професійно-технічної освіти, гуртожиток
бульв.30-річчя Перемоги, 28, м.Мелітополь, Запорізька обл., 72318","2288","1169","2265","50","1078","41","1119","","0","1078","41","1119","41","1078","510","46","17","124","47","250","3","8","73","29.10.12"
"230754","80","Запорізька область","Мелітопольський будівельний центр професійно-технічної освіти, майстерня
бульв.30-річчя Перемоги, 28, м.Мелітополь, Запорізька обл., 72318","2392","1162","2360","38","1196","34","1230","","0","1196","34","1230","43","1187","599","42","29","140","42","243","7","80","5","29.10.12"
"230755","80","Запорізька область","навчально-виховний комплекс №16, вестибюль 1-го поверху
вул.Сопіна, 200, м.Мелітополь, Запорізька обл., 72305","2264","1295","2234","61","914","55","969","","0","914","55","969","24","945","506","36","24","94","35","167","7","6","70","29.10.12"
"230756","80","Запорізька область","навчально-виховний комплекс №16, вестибюль 2-го поверху
вул.Сопіна, 200, м.Мелітополь, Запорізька обл., 72305","2408","1277","2375","51","1085","46","1131","","0","1085","46","1131","38","1093","529","36","38","117","40","236","6","8","83","29.10.12"
"230757","80","Запорізька область","гімназія №19, спортивний зал
вул.Ломоносова, 151, м.Мелітополь, Запорізька обл., 72313","2480","1361","2459","70","1051","68","1119","","0","1051","68","1119","43","1076","544","40","33","128","17","212","4","9","89","29.10.12"
"230758","80","Запорізька область","гімназія №19, вестибюль 1-го поверху
вул.Ломоносова, 151, м.Мелітополь, Запорізька обл., 72313","2504","1226","2474","38","1240","38","1278","","0","1240","38","1278","25","1253","629","35","21","169","29","260","6","10","94","29.10.12"
"230759","80","Запорізька область","школа №23, вестибюль 1-го поверху
вул.Фрунзе, 262, м.Мелітополь, Запорізька обл., 72304","1328","666","1301","20","642","20","662","","0","642","20","662","16","646","351","22","19","60","18","130","2","4","40","29.10.12"
"230760","80","Запорізька область","палац культури залізничників, каб.8
вул.Чайковського, 61, м.Мелітополь, Запорізька обл., 72304","2072","1149","2044","39","884","39","923","","0","884","39","923","34","889","481","31","18","101","16","163","0","4","75","29.10.12"
"230761","80","Запорізька область","школа №22, вестибюль 1-го поверху
пров.2-й Лютневий, 32, м.Мелітополь, Запорізька обл., 72316","2312","1383","2288","27","907","22","929","","0","907","22","929","36","893","503","25","27","88","24","159","6","2","59","29.10.12"
"230762","80","Запорізька область","школа №22, вестибюль 2-го поверху
пров.2-й Лютневий, 32, м.Мелітополь, Запорізька обл., 72316","2104","1320","2075","31","753","31","784","","0","753","31","784","23","761","372","29","21","93","16","157","3","6","64","29.10.12"
"230763","80","Запорізька область","школа №20, лівий вестибюль 1-го поверху
вул.Сєрова, 62А, м.Мелітополь, Запорізька обл., 72305","2120","1252","2109","51","823","45","868","","0","823","45","868","29","839","462","34","25","70","19","154","4","6","65","29.10.12"
"230764","80","Запорізька область","школа №20, правий вестибюль 1-го поверху
вул.Сєрова, 62А, м.Мелітополь, Запорізька обл., 72305","1744","973","1738","31","741","30","771","","0","741","30","771","26","745","388","27","30","77","10","145","2","4","62","29.10.12"
"230765","80","Запорізька область","школа №2, музична зала
вул.Гвардійська, 5/1, м.Мелітополь, Запорізька обл., 72300","1824","911","1795","15","900","13","913","","0","900","13","913","22","891","545","21","14","82","16","168","2","2","41","29.10.12"
"230766","80","Запорізька область","дитячий сад №8, методкабінет
вул.Гвардійська, 26/1, м.Мелітополь, Запорізька обл., 72300","1968","1009","1944","15","945","14","959","","0","945","14","959","19","940","557","22","16","110","16","148","6","2","63","29.10.12"
"230767","80","Запорізька область","школа №7, вестибюль 2-го поверху
вул.Дзержинського, 400А, м.Мелітополь, Запорізька обл., 72316","2328","1370","2295","55","904","54","958","","0","904","54","958","38","920","470","40","25","117","17","166","5","2","78","29.10.12"
"230768","80","Запорізька область","школа №13, вестибюль 1-го поверху
вул.40-річчя Жовтня, 84, м.Мелітополь, Запорізька обл., 72302","1512","914","1487","35","568","30","598","","0","568","30","598","32","566","284","17","11","85","9","106","1","2","51","29.10.12"
"230769","80","Запорізька область","школа №13, вестибюль 2-го поверху
вул.40-річчя Жовтня, 84, м.Мелітополь, Запорізька обл., 72302","1640","904","1615","36","703","33","736","","0","703","33","736","28","708","367","24","16","104","11","130","0","3","53","29.10.12"
"230770","80","Запорізька область","професійний ліцей, вестибюль
вул.Лютнева, 194, м.Мелітополь, Запорізька обл., 72316","2264","1197","2242","31","1040","27","1067","","0","1040","27","1067","27","1040","547","30","27","141","21","183","7","4","80","29.10.12"
"230771","80","Запорізька область","вище професійне училище №40, актова зала
вул.Гагаріна, 6, м.Мелітополь, Запорізька обл., 72316","1720","911","1696","35","776","33","809","","0","776","33","809","33","776","378","30","28","110","9","145","9","3","64","28.10.12"
"230772","80","Запорізька область","вище професійне училище №40, вестибюль
вул.Гагаріна, 6, м.Мелітополь, Запорізька обл., 72316","2096","1046","2092","24","1026","24","1050","","0","1026","24","1050","27","1023","544","43","26","118","20","197","2","2","71","29.10.12"
"230773","80","Запорізька область","школа №7, вестибюль 2-го поверху
вул.Дзержинського, 400А, м.Мелітополь, Запорізька обл., 72316","2192","1066","2179","19","1108","18","1126","","0","1108","18","1126","38","1088","584","34","38","170","24","168","4","2","64","29.10.12"
"230774","80","Запорізька область","торгово-професійний ліцей, вестибюль 1-го поверху
вул.Дзержинського, 390, м.Мелітополь, Запорізька обл., 72316","2480","1250","2432","41","1190","40","1230","","0","1190","40","1230","36","1194","643","44","22","177","21","209","6","5","67","29.10.12"
"230775","80","Запорізька область","міська лікарня №1, актова зала
просп.Богдана Хмельницького, 46, м.Мелітополь, Запорізька обл., 72309","32","0","70","54","16","16","32","","0","16","16","32","1","31","17","2","1","2","0","5","0","0","4","29.10.12"
"230776","80","Запорізька область","міська лікарня №2, кабінет чергового лікаря
вул.Брів-ла-Гайард, 19, м.Мелітополь, Запорізька обл., 72318","24","13","11","11","0","11","11","","0","0","11","11","0","11","10","0","0","1","0","0","0","0","0","28.10.12"
"230777","80","Запорізька область","міський пологовий будинок, приймальня головного лікаря
вул.Кізіярська, 37, м.Мелітополь, Запорізька обл., 72301","24","5","24","0","19","0","19","","0","19","0","19","0","19","7","0","0","2","1","4","0","0","5","29.10.12"
"230778","80","Запорізька область","онкологічний диспансер, актова зала
вул.Кірова, 33, м.Мелітополь, Запорізька обл., 72312","80","28","57","2","50","2","52","","0","50","2","52","2","50","25","2","3","6","1","7","0","1","5","29.10.12"
"230779","80","Запорізька область","наркологічний диспансер (психіатричний диспансер), ординаторська
вул.Кізіярська, 31, м.Мелітополь, Запорізька обл., 72301","24","14","10","0","10","0","10","","0","10","0","10","1","9","5","0","0","2","0","1","0","1","0","28.10.12"
"230780","80","Запорізька область","протитуберкульозний диспансер, приймальне відділенння
вул.Чкалова, 1В, м.Мелітополь, Запорізька обл., 72305","208","190","18","0","18","0","18","","0","18","0","18","0","18","11","1","0","0","0","3","0","0","3","28.10.12"
"230781","80","Запорізька область","Мелітопольська виховна колонія, актова зала
вул.Олександра Невського, 81, м.Мелітополь, Запорізька обл., 72314","56","2","54","0","54","0","54","","0","54","0","54","0","54","54","0","0","0","0","0","0","0","0","29.10.12"
