"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Вовк
Василь
Васильович","Галушко
Леонід
Володимирович","Джига
Микола
Васильович","Коваль
Катерина
Петрівна","Ковальов
Володимир
Аркадійович","Мельник
Світлана
Миколаївна","Продан
Сергій
Олександрович","Рекало
Олександр
Анатолійович","Стус
Олександр
Іванович","Третьяков
Олександр
Миколайович","Дата підписання протоколу"
"050761","15","Вінницька область","сільський будинок культури, приміщення для засідань
вул.Жовтнева, 4, с.Рівне, Мурованокуриловецький р-н, Вінницька обл., 23425","678","146","679","36","496","36","532","","0","496","36","532","8","524","267","5","226","5","4","4","8","1","0","4","30.10.12"
"050762","15","Вінницька область","сільський клуб-бібліотека, бібліотека
вул.Перемоги, 1, с.Нишівці, Мурованокуриловецький р-н, Вінницька обл., 23426","264","67","263","14","183","14","197","","0","183","14","197","7","190","81","1","75","3","13","10","4","2","0","1","29.10.12"
"050763","15","Вінницька область","сільський клуб, глядацька зала
вул.Леніна, 15, с.Роздолівка, Мурованокуриловецький р-н, Вінницька обл., 23406","546","167","540","15","364","15","379","","0","364","15","379","9","370","143","4","165","11","8","11","17","2","1","8","29.10.12"
"050764","15","Вінницька область","сільський будинок культури, глядацька зала
вул.Київська, 40, с.Дружба, Мурованокуриловецький р-н, Вінницька обл., 23407","498","133","480","32","333","32","365","","0","333","32","365","7","358","147","3","147","5","14","18","14","3","2","5","29.10.12"
"050765","15","Вінницька область","школа, спортивний зал
вул.Леніна, 14, с.Перекоринці, Мурованокуриловецький р-н, Вінницька обл., 23406","264","88","259","11","165","11","176","","0","165","11","176","14","162","50","2","64","7","8","10","13","1","2","5","29.10.12"
"050766","15","Вінницька область","сільський будинок культури, вестибюль
вул.Шевченка, 59, с.Снітків, Мурованокуриловецький р-н, Вінницька обл., 23417","516","175","506","39","311","30","341","","0","311","30","341","5","336","178","2","130","3","6","5","9","1","1","1","29.10.12"
"050767","15","Вінницька область","сільський клуб-бібліотека, глядацька зала
вул.Жовтнева, 4, с.Степанки, Мурованокуриловецький р-н, Вінницька обл., 23444","324","112","317","17","195","17","212","","0","195","17","212","10","202","83","8","72","8","13","14","2","1","1","0","29.10.12"
"050768","15","Вінницька область","фельдшерсько-акушерський пункт, оглядова
вул.Леніна, 6, с.Горай, Мурованокуриловецький р-н, Вінницька обл., 23444","192","56","192","15","121","15","136","","0","121","15","136","2","134","61","2","45","6","3","7","4","2","0","4","29.10.12"
"050769","15","Вінницька область","центральна районна лікарня, зал засідань
вул.Жовтнева, 87, смт Муровані Курилівці, Мурованокуриловецький р-н, Вінницька обл., 23400","144","105","44","23","21","18","39","","0","21","18","39","3","36","9","1","20","2","2","0","1","0","0","1","31.10.12"
"051095","15","Вінницька область","районний будинок культури, зал
вул.Черняховського, 5, смт Томашпіль, Томашпільський р-н, Вінницька обл., 24200","2184","855","2160","78","1293","36","1329","","0","1293","36","1329","64","1265","405","12","453","185","9","83","96","15","6","1","29.10.12"
"051096","15","Вінницька область","районна дитячо-юнацька спортивна школа, спортивний зал
вул.Леніна, 6, смт Томашпіль, Томашпільський р-н, Вінницька обл., 24200","1224","535","1200","30","670","19","689","","0","670","19","689","32","657","182","8","273","79","17","29","55","8","3","3","29.10.12"
"051097","15","Вінницька область","районна санітарно-епідеміологічна станція, зал засідань
вул.Леніна, 105, смт Томашпіль, Томашпільський р-н, Вінницька обл., 24200","1266","506","1251","29","733","27","760","","0","733","27","760","47","713","196","19","335","73","9","34","28","9","1","9","29.10.12"
"051098","15","Вінницька область","школа №1, актовий зал
вул.Островського, 2, смт Вапнярка, Томашпільський р-н, Вінницька обл., 24240","2214","1023","2188","47","1152","39","1191","","0","1152","39","1191","62","1129","384","17","283","68","29","126","176","17","8","21","29.10.12"
"051099","15","Вінницька область","будинок культури, фойє
вул.Гагаріна, 6, смт Вапнярка, Томашпільський р-н, Вінницька обл., 24240","1494","674","1474","24","801","19","820","","0","801","19","820","41","779","308","19","165","54","24","63","114","12","7","13","29.10.12"
"051100","15","Вінницька область","школа №2, актовий зал
вул.Шевченка, 56, смт Вапнярка, Томашпільський р-н, Вінницька обл., 24240","1242","478","1232","37","732","32","764","","0","732","32","764","33","731","319","7","187","49","11","54","93","3","6","2","30.10.12"
"051101","15","Вінницька область","школа №3, фойє
Військове містечко, буд.145, смт Вапнярка, Томашпільський р-н, Вінницька обл., 24240","1410","734","1378","13","663","13","676","","0","663","13","676","46","630","202","4","190","58","22","41","106","2","3","2","29.10.12"
"051102","15","Вінницька область","будинок культури, зал
вул.Миру, 60, с.Антонівка, Томашпільський р-н, Вінницька обл., 24213","972","321","963","81","578","73","651","","0","578","73","651","32","619","324","8","189","23","7","33","27","5","1","2","28.10.12"
"051103","15","Вінницька область","будинок культури, фойє
вул.Кірова, 13, с.Велика Русава, Томашпільський р-н, Вінницька обл., 24210","978","446","977","28","508","24","532","","0","508","24","532","24","508","139","7","210","83","5","48","12","1","2","1","29.10.12"
"051104","15","Вінницька область","будинок культури, актовий зал
вул.Комсомольська, 2, с.Вербова, Томашпільський р-н, Вінницька обл., 24246","378","140","377","17","221","17","238","","0","221","17","238","9","229","126","5","70","4","2","17","4","0","0","1","28.10.12"
"051105","15","Вінницька область","будинок культури, зал
вул.Леніна, 24, с.Вила, Томашпільський р-н, Вінницька обл., 24214","642","170","634","36","439","33","472","","0","439","33","472","26","446","117","8","199","12","5","21","78","3","2","1","29.10.12"
"051106","15","Вінницька область","будинок культури, зал
вул.Леніна, 47, с.Високе, Томашпільський р-н, Вінницька обл., 24247","606","180","598","22","408","18","426","","0","408","18","426","24","402","188","4","28","11","4","140","18","0","2","7","30.10.12"
"051107","15","Вінницька область","будинок культури, зал
вул.Леніна, 13, с.Гнатків, Томашпільський р-н, Вінницька обл., 24232","1386","506","1368","50","837","43","880","","0","836","43","879","21","858","318","5","311","133","11","47","22","6","0","5","29.10.12"
"051108","15","Вінницька область","будинок культури, зал
вул.Леніна, 30, с.Горишківка, Томашпільський р-н, Вінницька обл., 24221","318","107","315","23","195","16","211","","0","195","16","211","8","203","53","7","98","22","3","17","2","1","0","0","29.10.12"
"051109","15","Вінницька область","будинок культури, зал
вул.Нагірняка, 2, с.Жолоби, Томашпільський р-н, Вінницька обл., 24224","210","54","203","29","131","25","156","","0","131","25","156","10","146","40","1","55","6","0","37","5","0","1","1","29.10.12"
"051110","15","Вінницька область","будинок культури, зал
вул.Комсомольська, 87, с.Кислицьке, Томашпільський р-н, Вінницька обл., 24226","456","132","453","30","298","26","324","","0","298","26","324","13","311","141","3","109","3","14","21","12","5","1","2","28.10.12"
"051111","15","Вінницька область","клуб-бібліотека, зал
вул.Леніна, 56В, с.Колоденка, Томашпільський р-н, Вінницька обл., 24245","408","153","409","20","236","19","255","","0","236","19","255","6","249","97","2","86","26","4","22","8","3","0","1","28.10.12"
"051112","15","Вінницька область","будинок культури, зал
вул.Леніна, 62, с.Комаргород, Томашпільський р-н, Вінницька обл., 24225","1566","652","1556","83","839","75","914","","0","839","75","914","84","830","278","12","286","130","20","70","25","2","2","5","29.10.12"
"051113","15","Вінницька область","будинок культури, зал
вул.Леніна, 3, с.Липівка, Томашпільський р-н, Вінницька обл., 24205","1056","393","1044","31","632","31","663","","0","632","31","663","19","644","155","3","77","253","14","123","15","2","1","1","29.10.12"
"051114","15","Вінницька область","будинок культури, зал
вул.Івана Орлика, 1, с.Яришівка, Томашпільський р-н, Вінницька обл., 24206","1164","472","1159","42","652","40","692","","0","652","40","692","40","652","218","15","188","120","3","73","24","4","2","5","28.10.12"
"051115","15","Вінницька область","будинок культури, зал
вул.Шкільна, 46, с.Марківка, Томашпільський р-н, Вінницька обл., 24248","360","112","349","4","244","4","248","","0","244","4","248","16","232","43","8","107","21","2","34","9","3","1","4","28.10.12"
"051116","15","Вінницька область","клуб-бібліотека, зал
вул.Комсомольська, 6, с.Антопіль, Томашпільський р-н, Вінницька обл., 24249","294","96","292","16","183","15","198","","0","183","15","198","14","184","42","7","99","9","0","17","6","2","0","2","28.10.12"
"051117","15","Вінницька область","будинок культури, зал
вул.Леніна, 1, с.Нетребівка, Томашпільський р-н, Вінницька обл., 24233","576","169","570","41","369","38","407","","0","369","38","407","23","384","106","1","207","25","3","22","12","5","1","2","29.10.12"
"051118","15","Вінницька область","школа, актовий зал
вул.Пшеничнюка, 11, с.Олександрівка, Томашпільський р-н, Вінницька обл., 24220","450","217","445","30","211","22","233","","0","211","22","233","8","225","108","4","64","20","0","24","2","1","0","2","28.10.12"
"051119","15","Вінницька область","школа, актовий зал
вул.Дребота, 5, с.Паланка, Томашпільський р-н, Вінницька обл., 24222","372","151","356","19","205","16","221","","0","205","16","221","14","207","73","9","94","0","1","15","9","4","0","2","29.10.12"
"051120","15","Вінницька область","школа, фойє
вул.Маяковського, 1, с.Вапнярки, Томашпільський р-н, Вінницька обл., 24222","516","161","509","54","305","50","355","","0","305","50","355","17","338","174","21","69","11","2","23","27","6","2","3","29.10.12"
"051121","15","Вінницька область","будинок культури, зал
вул.Комсомольська, 35, с.Пеньківка, Томашпільський р-н, Вінницька обл., 24211","360","111","353","24","229","20","249","","0","229","20","249","15","234","105","5","85","7","4","17","7","1","1","2","29.10.12"
"051122","15","Вінницька область","сільська рада, зал засідань
вул.Партизанська, 10, с.Пилипи-Борівські, Томашпільський р-н, Вінницька обл., 24215","402","129","390","30","244","29","273","","0","244","29","273","18","255","46","8","134","14","12","32","5","1","1","2","30.10.12"
"051123","15","Вінницька область","дитячий садок, актовий зал
вул.Мічуріна, 82, с.Калинка, Томашпільський р-н, Вінницька обл., 24215","198","36","195","14","148","14","162","","0","148","14","162","4","158","51","4","72","10","3","8","7","0","3","0","28.10.12"
"051124","15","Вінницька область","школа, актовий зал
вул.Радянська, 1, с.Ракова, Томашпільський р-н, Вінницька обл., 24200","762","278","750","36","451","33","484","","0","451","33","484","17","467","134","6","183","64","11","25","32","6","3","3","28.10.12"
"051125","15","Вінницька область","школа, актовий зал
вул.Миру, 102, с.Рожнятівка, Томашпільський р-н, Вінницька обл., 24212","870","289","860","43","540","41","581","","0","540","41","581","35","546","214","15","251","13","9","30","5","4","1","4","29.10.12"
"051126","15","Вінницька область","будинок культури, зал
вул.Леніна, 59, с.Стіна, Томашпільський р-н, Вінницька обл., 24231","648","241","632","29","386","21","407","","0","386","21","407","17","390","144","4","149","18","5","29","35","1","0","5","29.10.12"
"051127","15","Вінницька область","школа, хол
вул.Леніна, 3, с.Яланець, Томашпільський р-н, Вінницька обл., 24234","1032","432","1016","40","564","36","600","","0","564","36","600","26","574","342","12","140","16","6","38","14","3","3","0","29.10.12"
"051128","15","Вінницька область","центральна районна лікарня, хол
вул.Леніна, 103, смт Томашпіль, Томашпільський р-н, Вінницька обл., 24200","54","3","52","3","48","3","51","","0","48","3","51","3","48","6","0","40","2","0","0","0","0","0","0","29.10.12"
"051165","15","Вінницька область","школа №1, спортзал
вул.Жовтнева, 19, м.Тульчин, Тульчинський р-н, Вінницька обл., 23600","2340","1098","2317","28","1218","24","1242","","0","1218","24","1242","45","1197","286","39","338","79","46","133","212","29","17","18","29.10.12"
"051166","15","Вінницька область","школа №2, хол 2-й поверх
вул.Трембецького, 2, м.Тульчин, Тульчинський р-н, Вінницька обл., 23600","1884","751","1846","29","1109","24","1133","","0","1109","24","1133","55","1078","193","38","331","64","44","83","293","13","12","7","29.10.12"
"051167","15","Вінницька область","школа-ліцей №3, спортивний зал
вул.Леніна, 43, м.Тульчин, Тульчинський р-н, Вінницька обл., 23600","2208","1035","2187","23","1154","19","1173","","0","1154","19","1173","64","1109","224","35","326","61","47","128","238","27","5","18","29.10.12"
"051168","15","Вінницька область","корпус технікуму ветмедицини, хол
вул.Леніна, 55, м.Тульчин, Тульчинський р-н, Вінницька обл., 23600","2196","999","2167","27","1174","23","1197","","0","1174","23","1197","47","1150","253","39","369","74","42","91","246","17","6","13","29.10.12"
"051169","15","Вінницька область","приміщення біолабораторії, хол 1-й поверх
вул.Леніна, 65, м.Тульчин, Тульчинський р-н, Вінницька обл., 23600","1866","827","1846","32","1010","29","1039","","0","1010","29","1039","22","1017","216","36","306","75","39","91","218","13","12","11","29.10.12"
"051170","15","Вінницька область","Вище професійне училище №41, хол 1-й поверх
вул.Леніна, 133, м.Тульчин, Тульчинський р-н, Вінницька обл., 23600","2106","904","2091","16","1191","11","1202","","0","1191","11","1202","54","1148","238","79","377","56","35","89","215","33","11","15","29.10.12"
"051171","15","Вінницька область","будинок культури №2, хол
вул.Леніна, 15, смт Кирнасівка, Тульчинський р-н, Вінницька обл., 23652","1506","617","1489","23","869","20","889","","0","869","20","889","48","841","300","36","227","84","23","45","89","19","7","11","29.10.12"
"051172","15","Вінницька область","селищна рада, 2-й поверх, зал засідань
вул.50-річчя Жовтня, 2, смт Кирнасівка, Тульчинський р-н, Вінницька обл., 23652","1488","506","1478","46","936","46","982","","0","936","46","982","34","948","255","53","351","81","7","54","96","24","15","12","29.10.12"
"051173","15","Вінницька область","будинок культури №1, хол
вул.Спортивна, 1, смт Кирнасівка, Тульчинський р-н, Вінницька обл., 23652","1242","367","1222","14","864","11","875","","0","864","11","875","21","854","75","55","525","32","14","35","92","15","3","8","29.10.12"
"051174","15","Вінницька область","школа, актовий зал
вул.Ліпіна, 5, смт Шпиків, Тульчинський р-н, Вінницька обл., 23614","1506","787","1470","49","679","40","719","","0","679","40","719","30","689","266","13","258","24","11","30","63","7","1","16","29.10.12"
"051175","15","Вінницька область","будинок культури, хол
вул.Леніна, 64, смт Шпиків, Тульчинський р-н, Вінницька обл., 23614","1488","692","1459","49","758","38","796","","0","758","38","796","34","762","267","21","304","26","14","31","72","12","7","8","29.10.12"
"051176","15","Вінницька область","будинок культури, хол
вул.Леніна, 66, с.Білоусівка, Тульчинський р-н, Вінницька обл., 23663","528","119","521","71","342","67","409","","0","342","67","409","13","396","115","12","207","9","8","24","14","4","1","2","29.10.12"
"051177","15","Вінницька область","школа, спортзал
вул.Б.Хмельницького, 41, с.Богданівка, Тульчинський р-н, Вінницька обл., 23662","846","325","839","46","480","41","521","","0","480","41","521","14","507","125","33","179","10","12","119","17","6","2","4","29.10.12"
"051178","15","Вінницька область","сільська рада, хол
вул.Леніна, 46, с.Бортники, Тульчинський р-н, Вінницька обл., 23612","492","187","483","27","279","26","305","","0","279","26","305","12","293","100","9","115","4","5","21","23","8","1","7","29.10.12"
"051179","15","Вінницька область","будинок культури, малий актовий зал
вул.Першотравнева, 1А, с.Ганнопіль, Тульчинський р-н, Вінницька обл., 23655","1032","392","1016","63","579","61","640","","0","579","61","640","33","607","263","29","170","19","17","51","42","7","5","4","29.10.12"
"051180","15","Вінницька область","школа, коридор
вул.50-річчя Жовтня, 102А, с.Дранка, Тульчинський р-н, Вінницька обл., 23650","432","153","425","44","235","44","279","","0","235","44","279","12","267","103","18","86","21","0","18","15","4","0","2","29.10.12"
"051181","15","Вінницька область","школа, коридор
вул.1-го Травня, 42А, с.Одаї, Тульчинський р-н, Вінницька обл., 23651","390","129","384","37","235","26","261","","0","235","26","261","11","250","77","19","92","7","5","35","6","6","2","1","29.10.12"
"051182","15","Вінницька область","школа, актовий зал
вул.Шевченка, 194, с.Журавлівка, Тульчинський р-н, Вінницька обл., 23641","882","348","882","64","478","56","534","","0","478","56","534","10","524","185","52","171","11","3","62","29","6","2","3","29.10.12"
"051183","15","Вінницька область","хлібоприймальний пункт, їдальня
вул.Привокзальна, 41, с.Маяки, Тульчинський р-н, Вінницька обл., 23642","588","188","576","37","363","37","400","","0","363","37","400","16","384","119","63","128","7","10","27","23","4","1","2","28.10.12"
"051184","15","Вінницька область","школа, спортивний зал
вул.Ворошилова, 25А, с.Заозерне, Тульчинський р-н, Вінницька обл., 23664","654","184","642","39","432","38","470","","0","432","38","470","23","447","233","16","116","6","4","32","20","4","6","10","29.10.12"
"051185","15","Вінницька область","сільський клуб, актовий зал
вул.Кірова, 29, с.Василівка, Тульчинський р-н, Вінницька обл., 23655","294","64","293","37","193","37","230","","0","193","37","230","8","222","86","18","90","1","1","15","6","2","1","2","29.10.12"
"051186","15","Вінницька область","школа, спортивний зал
вул.Бондарчука, 2, с.Зарічне, Тульчинський р-н, Вінницька обл., 23624","1002","367","989","54","581","54","635","","0","581","54","635","14","621","246","31","212","28","18","42","34","5","2","3","28.10.12"
"051187","15","Вінницька область","школа, хол
вул.Першотравнева, 161, с.Кинашів, Тульчинський р-н, Вінницька обл., 23607","2046","1074","2029","30","949","23","972","","0","949","23","972","39","933","405","24","240","33","19","69","112","18","3","10","29.10.12"
"051188","15","Вінницька область","школа, спортивний зал
вул.Гагаріна, 68, с.Мазурівка, Тульчинський р-н, Вінницька обл., 23608","1368","680","1380","32","660","28","688","","0","660","28","688","25","663","126","17","224","48","25","85","115","8","10","5","29.10.12"
"051189","15","Вінницька область","школа, хол
вул.Набережна, 13, с.Нестерварка, Тульчинський р-н, Вінницька обл., 23609","1698","771","1699","41","891","36","927","","0","891","36","927","61","866","237","28","310","38","18","87","119","15","4","10","29.10.12"
"051190","15","Вінницька область","школа, актовий зал
вул.Радянська, 16, с.Клебань, Тульчинський р-н, Вінницька обл., 23660","1602","780","1581","59","776","46","822","","0","776","46","822","22","800","375","40","194","14","10","61","79","11","4","12","29.10.12"
"051191","15","Вінницька область","школа, актовий зал
вул.Леніна, 50, с.Гути, Тульчинський р-н, Вінницька обл., 23661","144","46","143","26","72","26","98","","0","72","26","98","6","92","15","1","62","3","1","6","0","2","0","2","28.10.12"
"051192","15","Вінницька область","школа, спортивний зал
вул.Леніна, 35, с.Копіївка, Тульчинський р-н, Вінницька обл., 23623","828","269","835","42","520","39","559","","0","520","39","559","11","548","153","25","264","26","12","53","11","2","0","2","29.10.12"
"051193","15","Вінницька область","будинок культури, малий зал
вул.Учительська, 32, с.Крищинці, Тульчинський р-н, Вінницька обл., 23631","1056","374","1039","67","617","65","682","","0","617","65","682","10","672","256","9","279","19","11","41","43","4","9","1","28.10.12"
"051194","15","Вінницька область","будинок культури, глядацький зал
вул.Леніна, 28, с.Левківці, Тульчинський р-н, Вінницька обл., 23615","570","211","566","55","307","52","359","","0","307","52","359","17","342","98","13","139","8","6","62","8","6","1","1","28.10.12"
"051195","15","Вінницька область","будинок культури, малий зал
вул.Щорса, 30, с.Михайлівка, Тульчинський р-н, Вінницька обл., 23633","438","96","423","50","296","46","342","","0","296","46","342","17","325","123","24","128","3","7","26","7","4","2","1","30.10.12"
"051196","15","Вінницька область","сільський клуб, хол
вул.Шевченка, 44, с.Маньківка, Тульчинський р-н, Вінницька обл., 23633","138","46","135","19","77","15","92","","0","77","15","92","9","83","18","8","35","2","2","9","7","2","0","0","29.10.12"
"051197","15","Вінницька область","будинок культури, хол
вул.Леніна, 45, с.Печера, Тульчинський р-н, Вінницька обл., 23610","732","277","721","31","426","29","455","","0","426","29","455","23","432","189","33","121","10","15","19","31","6","4","4","29.10.12"
"051198","15","Вінницька область","сільський клуб, хол
вул.Центральна, 3, с.Даньківка, Тульчинський р-н, Вінницька обл., 23610","294","38","293","10","246","10","256","","0","246","10","256","8","248","75","31","105","2","4","9","16","4","0","2","28.10.12"
"051199","15","Вінницька область","сільський клуб, зал
вул.Леніна, 7, с.Петрашівка, Тульчинський р-н, Вінницька обл., 23611","354","97","352","22","237","20","257","","0","237","20","257","10","247","94","10","85","4","8","28","9","4","2","3","29.10.12"
"051200","15","Вінницька область","будинок культури, хол
вул.Леніна, 32, с.Сільниця, Тульчинський р-н, Вінницька обл., 23621","510","157","496","43","315","38","353","","0","315","38","353","60","293","39","7","175","11","7","46","2","2","2","2","29.10.12"
"051201","15","Вінницька область","школа, актовий зал
вул.Леніна, 12, с.Суворовське, Тульчинський р-н, Вінницька обл., 23643","756","302","746","38","420","34","454","","0","420","34","454","16","438","105","29","203","18","7","50","14","3","3","6","29.10.12"
"051202","15","Вінницька область","школа, актовий зал
вул.Жовтнева, 8, с.Суворовське, Тульчинський р-н, Вінницька обл., 23643","936","349","923","56","534","53","587","","0","534","53","587","27","560","237","24","164","31","15","56","18","4","3","8","28.10.12"
"051203","15","Вінницька область","школа, хол
вул.Радянська, 80, с.Тарасівка, Тульчинський р-н, Вінницька обл., 23630","522","195","523","42","289","38","327","","0","289","38","327","4","323","127","17","112","6","6","32","13","5","2","3","29.10.12"
