"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Борисюк
Тарас
Григорович","Гайдаєв
Юрій
Олександрович","Герасимова
Ірина
Дмитрівна","Добруцький
Ігор
Ігорович","Зубко
Ігор
Миколайович","Кавунець
Андрій
Володимирович","Катеринчук
Микола
Дмитрович","Климчук
Олександр
Миколайович","Коваль
Тарас
Іванович","Негруб
Микола
Іванович","Оніщенко
Сергій
Вікторович","Палій
Ліна
Миколаївна","Сусла
Василь
Станіславович","Черній
Василь
Васильович","Шепелев
Олександр
Олександрович","Юрчишин
Петро
Васильович","Яремчук
Юрій
Якович","Дата підписання протоколу"
"050442","13","Вінницька область","будинок культури, зал
вул.Робітнича, 19, смт Бродецьке, Козятинський р-н, Вінницька обл., 22115","1092","406","1082","42","655","31","686","","0","655","31","686","25","661","1","30","4","2","119","2","439","3","3","1","0","0","0","6","3","44","4","29.10.12"
"050443","13","Вінницька область","контора відділку, актовий зал
вул.Зелена, 1А, с-ще Дубина, Козятинський р-н, Вінницька обл., 22113","108","55","105","3","50","3","53","","0","50","3","53","1","52","0","0","0","0","13","0","22","0","1","0","0","0","0","0","0","16","0","28.10.12"
"050444","13","Вінницька область","школа, фойє
вул.Шкільна, 20Б, с.Вернигородок, Козятинський р-н, Вінницька обл., 22125","560","196","550","22","346","18","364","","0","346","18","364","8","356","1","6","1","1","32","6","298","2","0","0","0","1","0","2","2","2","2","29.10.12"
"050445","13","Вінницька область","ФАП, приймальна
вул.Леніна, 5А, с.Велике, Козятинський р-н, Вінницька обл., 22125","196","72","201","13","112","12","124","","0","112","12","124","2","122","0","6","1","0","6","1","85","1","0","0","1","1","0","3","0","17","0","28.10.12"
"050446","13","Вінницька область","ФАП, приймальна
вул.Шевченка, 60А, с.Верболози, Козятинський р-н, Вінницька обл., 22125","308","91","300","22","195","22","217","","0","195","22","217","4","213","0","3","2","0","24","0","172","1","0","0","0","0","0","3","1","7","0","28.10.12"
"050447","13","Вінницька область","сільська рада, кабінет голови
вул.Леніна, 53, с.Вовчинець, Козятинський р-н, Вінницька обл., 22113","652","248","646","50","367","37","404","","0","367","37","404","18","386","2","18","7","2","12","3","234","1","2","2","1","4","3","9","6","73","7","29.10.12"
"050448","13","Вінницька область","школа, хол
вул.Шкільна, 4, смт Глухівці, Козятинський р-н, Вінницька обл., 22130","1656","748","1642","75","838","70","908","","0","838","70","908","22","886","3","34","6","2","134","12","613","3","3","2","3","2","1","9","11","37","11","29.10.12"
"050449","13","Вінницька область","школа, хол
вул.Шкільна, 4, смт Глухівці, Козятинський р-н, Вінницька обл., 22130","1356","588","1348","66","714","54","768","","0","714","54","768","14","754","4","35","4","6","161","10","452","5","1","0","1","4","0","9","7","49","6","29.10.12"
"050450","13","Вінницька область","будинок культури, актовий зал
вул.Леніна, 1Б, с.Жежелів, Козятинський р-н, Вінницька обл., 22116","1100","412","1090","41","647","41","688","","0","647","41","688","15","673","3","25","5","3","105","10","429","8","0","2","1","1","1","7","3","64","6","28.10.12"
"050451","13","Вінницька область","сільський клуб, актовий зал
вул.Лісова, 1В, с.Кашперівка, Козятинський р-н, Вінницька обл., 22121","484","135","482","27","326","23","349","","0","326","23","349","4","345","0","17","2","0","80","5","210","0","0","0","0","0","1","8","0","19","3","29.10.12"
"050452","13","Вінницька область","сільська рада, актовий зал
вул.Нікольського, 15, с.Комсомольське, Козятинський р-н, Вінницька обл., 22133","592","288","590","19","286","18","304","","0","286","18","304","6","298","0","13","2","2","13","4","238","1","1","1","1","2","0","8","0","10","2","28.10.12"
"050453","13","Вінницька область","школа, хол
вул.Шкільна, 3, с.Комсомольське, Козятинський р-н, Вінницька обл., 22133","1464","659","1439","46","759","46","805","","0","759","46","805","10","795","3","46","1","3","131","5","484","3","6","6","2","0","0","13","5","82","5","28.10.12"
"050454","13","Вінницька область","контора СТОВ ""Мрія"", актовий зал
пров.Київський, 1, с.Комсомольське, Козятинський р-н, Вінницька обл., 22133","596","246","588","13","337","13","350","","0","337","13","350","6","344","0","20","2","0","56","2","240","0","0","0","0","1","0","11","0","11","1","28.10.12"
"050455","13","Вінницька область","сільський клуб, зал
вул.Колгоспна, 19, с.Марківці, Козятинський р-н, Вінницька обл., 22133","252","51","257","14","187","14","201","","0","187","14","201","5","196","0","8","0","0","19","0","121","0","0","0","0","0","0","7","0","38","3","30.10.12"
"050456","13","Вінницька область","сільський клуб, зал
вул.Жовтнева, 42, с.Медведівка, Козятинський р-н, Вінницька обл., 22133","252","53","260","16","185","14","199","","0","185","14","199","1","198","0","7","0","1","5","3","150","1","0","0","0","0","0","3","2","25","1","28.10.12"
"050457","13","Вінницька область","приміщення бригади, кімната відпочинку
вул.Центральна, 1А, с.Мшанець, Козятинський р-н, Вінницька обл., 22133","80","20","79","14","46","14","60","","0","46","14","60","0","60","0","0","0","0","0","0","54","0","0","0","0","0","0","1","1","4","0","28.10.12"
"050458","13","Вінницька область","сільський клуб, зал
вул.Центральна, 6, с-ще Садове, Козятинський р-н, Вінницька обл., 22132","200","50","194","3","147","3","150","","0","147","3","150","3","147","1","13","0","2","12","1","94","2","1","1","0","0","0","2","0","18","0","29.10.12"
"050459","13","Вінницька область","сільський клуб, зал
вул.Гагаріна, 31, с.Непедівка, Козятинський р-н, Вінницька обл., 22123","748","295","739","30","424","29","453","","0","424","29","453","10","443","0","21","0","4","69","4","287","5","1","1","0","1","0","17","1","31","1","29.10.12"
"050460","13","Вінницька область","будинок культури, зал
вул.Перемоги, 12, с.Гурівці, Козятинський р-н, Вінницька обл., 22124","456","142","453","41","275","39","314","","0","275","39","314","10","304","1","6","1","1","84","4","165","2","1","2","1","1","0","6","4","22","3","28.10.12"
"050461","13","Вінницька область","школа, коридор
вул.Червоноармійська, 24, с.Перемога, Козятинський р-н, Вінницька обл., 22134","432","162","428","26","245","25","270","","0","245","25","270","5","265","2","10","0","0","13","1","184","3","2","0","0","0","1","7","0","40","2","28.10.12"
"050462","13","Вінницька область","сільський клуб, актовий зал
вул.Леніна, сільський клуб, с.Немиринці, Козятинський р-н, Вінницька обл., 22134","152","47","153","14","91","14","105","","0","91","14","105","5","100","0","5","0","0","0","3","76","1","0","1","0","0","0","0","0","14","0","29.10.12"
"050463","13","Вінницька область","сільська рада, актовий зал
вул.Радянська, 1А, с.Пляхова, Козятинський р-н, Вінницька обл., 22132","512","208","505","38","267","37","304","","0","267","37","304","7","297","2","8","1","1","35","4","147","1","1","1","1","1","0","7","4","81","2","29.10.12"
"050464","13","Вінницька область","сільський будинок культури, фойє
вул.Комсомольська, 40, с.Поличинці, Козятинський р-н, Вінницька обл., 22110","284","73","281","30","182","29","211","","0","182","29","211","4","207","0","6","0","0","5","1","127","1","1","0","0","1","1","12","2","49","1","29.10.12"
"050465","13","Вінницька область","сільський будинок культури, зал
вул.Аграрна, 1, с.Мала Клітинка, Козятинський р-н, Вінницька обл., 22110","72","17","72","14","42","13","55","","0","42","13","55","2","53","0","3","0","0","1","0","26","0","0","0","0","0","0","1","0","21","1","29.10.12"
"050466","13","Вінницька область","приміщення школи, актовий зал
вул.Шкільна, 14, с.Пузирки, Козятинський р-н, Вінницька обл., 22122","240","60","234","3","177","3","180","","0","177","3","180","1","179","0","8","2","0","10","1","130","1","0","0","1","0","1","4","1","20","0","28.10.12"
"050467","13","Вінницька область","клуб, актовий зал
вул.Леніна, 12, с.Держанівка, Козятинський р-н, Вінницька обл., 22122","64","22","65","2","40","2","42","","0","40","2","42","2","40","0","4","0","0","2","0","22","1","0","0","0","0","0","2","0","9","0","28.10.12"
"050468","13","Вінницька область","сільський клуб, актовий зал
вул.Ватутіна, 43, с.Панасівка, Козятинський р-н, Вінницька обл., 22122","136","34","132","10","92","10","102","","0","92","10","102","2","100","1","3","1","0","2","1","80","1","0","1","0","0","0","2","0","7","1","29.10.12"
"050469","13","Вінницька область","Сільський клуб, зал
Шевченка, 2 с.Тернівка, Козятинський р-н, Вінницька обл., 22111","276","74","276","35","168","34","202","","0","168","34","202","5","197","0","6","1","0","8","0","91","2","0","0","0","0","0","5","1","82","1","29.10.12"
"050470","13","Вінницька область","школа, коридор
вул.Миру, 23, с.Юрівка, Козятинський р-н, Вінницька обл., 22112","480","141","472","53","289","50","339","","0","289","50","339","8","331","0","13","1","1","16","2","198","2","0","0","1","0","3","29","2","62","1","28.10.12"
"050471","13","Вінницька область","фельдшерський пункт, фізіотерапевтична кімната
вул.Шевченка, 11, с.Листопадівка, Козятинський р-н, Вінницька обл., 22112","40","10","38","7","26","4","30","","0","26","4","30","0","30","0","3","0","0","0","0","11","0","0","0","0","0","0","1","0","14","1","29.10.12"
"050472","13","Вінницька область","будинок культури, актовий зал
вул.Леніна, 75, с.Вівсяники, Козятинський р-н, Вінницька обл., 22164","608","182","603","14","412","14","426","","0","412","14","426","7","419","0","3","0","1","65","1","287","4","0","0","0","1","0","3","0","51","3","28.10.12"
"050473","13","Вінницька область","медпункт, кабінет фельдшера
вул.Дзержинського, 1, с.Мухувата, Козятинсьий р-н, Вінницька обл., 22164","32","11","29","2","19","2","21","","0","19","2","21","0","21","0","0","0","0","4","0","15","0","0","0","0","0","0","0","0","1","1","28.10.12"
"050474","13","Вінницька область","сільський клуб, актовий зал
вул.Леніна, 22, с.Воскодавинці, Козятинський р-н, Вінницька обл., 22155","212","61","205","5","147","4","151","","0","147","4","151","1","150","0","5","0","0","6","2","104","0","0","0","1","0","0","2","1","29","0","28.10.12"
"050475","13","Вінницька область","будинок культури, актовий зал
вул.Центральна, 1А, с.Дубові Махаринці, Козятинський р-н, Вінницька обл., 22150","436","119","434","46","275","42","317","","0","275","42","317","2","315","0","6","1","1","10","3","268","2","0","1","1","0","0","3","2","17","0","28.10.12"
"050476","13","Вінницька область","сільський клуб, актовий зал
вул.Червоноармійська, 24А, с.Блажіївка, Козятинський р-н, Вінницька обл., 22150","328","84","321","43","207","37","244","","0","207","37","244","8","236","1","8","2","0","5","5","189","2","1","1","1","0","0","4","0","16","1","28.10.12"
"050477","13","Вінницька область","школа, спортзал
вул.Центральна, 78, с.Журбинці, Козятинський р-н, Вінницька обл., 22151","464","130","461","43","296","38","334","","0","296","38","334","14","320","0","9","0","0","9","5","243","1","1","0","1","2","0","4","3","40","2","31.10.12"
"050478","13","Вінницька область","будинок культури, актовий зал
вул.Васільєва, 4, с.Збараж, Козятинський р-н, Вінницька обл., 22165","340","101","337","12","227","12","239","","0","227","12","239","3","236","0","1","0","1","13","0","120","0","0","0","0","0","0","1","3","95","2","28.10.12"
"050479","13","Вінницька область","школа, коридор
вул.Леніна, 23А, с.Зозулинці, Козятинський р-н, Вінницька обл., 22155","400","146","398","20","235","19","254","","0","235","19","254","3","251","0","6","1","0","10","2","191","2","0","2","0","0","0","5","1","27","4","28.10.12"
"050480","13","Вінницька область","приміщення школи, спортивний зал
вул.Леніна, 22А, с.Сошанське, Козятинський р-н, Вінницька обл., 22155","392","135","392","35","222","35","257","","0","222","35","257","2","255","1","15","1","0","3","2","202","2","0","0","0","1","0","9","1","16","2","28.10.12"
"050481","13","Вінницька область","школа, спортзал
вул.Леніна, 90, с.Йосипівка, Козятинський р-н, Вінницька обл., 22154","848","368","841","47","435","45","480","","0","435","45","480","9","471","0","5","4","1","62","1","362","3","2","0","1","2","0","5","0","19","4","29.10.12"
"050482","13","Вінницька область","будинок культури, актовий зал
вул.Жовтнева, 90, с.Козятин, Козятинський р-н, Вінницька обл., 22109","2472","1032","2372","72","1379","61","1440","","0","1379","61","1440","28","1412","0","89","5","6","108","16","1069","3","6","1","4","0","0","23","11","63","8","29.10.12"
"050483","13","Вінницька область","школа №9, хол
вул.Миру, 84, с.Козятин, Козятинський р-н, Вінницька обл., 22109","492","207","486","10","278","7","285","","0","278","7","285","8","277","0","15","1","0","21","1","220","0","0","0","0","1","1","4","1","10","2","29.10.12"
"050484","13","Вінницька область","школа, коридор
вул.Шкільна, 21А, с.Іванківці, Козятинський р-н, Вінницька обл., 22109","580","211","575","31","338","31","369","","0","338","31","369","4","365","1","10","1","0","15","9","306","3","0","0","0","2","0","3","6","6","3","29.10.12"
"050485","13","Вінницька область","школа, фойє
вул.Леніна, 1, с.Кордишівка, Козятинський р-н, Вінницька обл., 22146","984","333","974","54","597","54","651","","0","597","54","651","11","640","1","7","0","2","42","2","550","7","0","0","0","1","1","3","7","16","1","28.10.12"
"050486","13","Вінницька область","сільський клуб, фойє
вул.Чапаєва, 7, с.Прушинка, Козятинський р-н, Вінницька обл., 22146","192","41","189","11","141","10","151","","0","141","10","151","3","148","2","3","0","1","1","0","129","0","0","2","1","0","0","1","1","6","1","28.10.12"
"050487","13","Вінницька область","будинок культури, зал
вул.Леніна, 30, с.Куманівка, Козятинський р-н, Вінницька обл., 22135","256","56","255","24","179","21","200","","0","179","21","200","3","197","0","8","2","1","4","1","91","2","0","1","1","1","0","2","4","76","3","29.10.12"
"050488","13","Вінницька область","ФАП, приймальна кімната
вул.Л.Чайкіної, 20, с.Туча, Козятинський р-н, Вінницька обл., 22135","96","22","95","9","66","8","74","","0","66","8","74","3","71","0","1","0","0","1","0","41","0","0","0","0","0","0","3","0","24","1","28.10.12"
"050489","13","Вінницька область","дитячий садок ""Сонечко"", актовий зал
вул.Садова, 5, с.Махаринці, Козятинський р-н, Вінницька обл., 22141","508","198","500","35","278","32","310","","0","278","32","310","4","306","0","16","0","1","18","3","223","0","2","1","0","0","0","1","3","35","3","28.10.12"
"050490","13","Вінницька область","школа, фойє
вул.Леніна, 50, с.Махаринці, Козятинський р-н, Вінницька обл., 22141","796","325","794","30","441","30","471","","0","441","30","471","9","462","2","17","1","2","64","5","331","7","1","0","0","1","0","4","7","20","0","29.10.12"
"050491","13","Вінницька область","школа, кімната початкового класу 2
вул.Леніна, 51Б, с.Миколаївка, Козятинський р-н, Вінницька обл., 22160","424","143","419","4","278","3","281","","0","278","3","281","5","276","1","8","0","0","18","3","236","1","0","0","0","0","0","1","0","7","1","29.10.12"
"050492","13","Вінницька область","ФАП, кабінет завідуючого ФАП
вул.Миру, 1А, с.Великий Степ, Козятинський р-н, Вінницька обл., 22160","84","24","82","2","59","1","60","","0","59","1","60","0","60","0","0","0","0","1","4","46","0","0","0","0","1","0","1","0","5","2","28.10.12"
"050493","13","Вінницька область","ФАП, кабінет завідуючого ФАП
вул.Космонавтів, 6, с.Лопатин, Козятинський р-н, Вінницька обл., 22161","220","91","216","12","121","8","129","","0","121","8","129","4","125","0","7","1","1","15","1","89","1","0","0","0","0","0","1","2","7","0","28.10.12"
"050494","13","Вінницька область","сільський клуб, зал
вул.Шкільна, 1Б, с.Михайлин, Козятинський р-н, Вінницька обл., 22162","436","153","431","34","251","32","283","","0","251","32","283","5","278","1","3","1","2","75","3","180","0","1","1","0","0","0","0","0","10","1","28.10.12"
"050495","13","Вінницька область","сільський клуб, танцювальний зал
вул.Заводська, 7, с.Широка Гребля, Козятинський р-н, Вінницька обл., 22172","568","172","560","21","376","20","396","","0","376","20","396","13","383","0","10","1","1","26","5","266","2","1","0","3","0","0","4","2","60","2","29.10.12"
"050496","13","Вінницька область","школа-дитячий сад, фойє
вул.Леніна, 37, с.Пиковець, Козятинський р-н, Вінницька обл., 22144","340","93","336","30","217","30","247","","0","217","30","247","7","240","0","11","0","0","3","4","168","0","0","0","1","1","0","4","2","46","0","28.10.12"
"050497","13","Вінницька область","контора, коридор
вул.Ломоносова, 1, с.Пустоха, Козятинський р-н, Вінницька обл., 22144","112","35","109","0","77","0","77","","0","77","0","77","4","73","1","3","0","1","2","2","46","0","0","3","0","0","0","3","0","12","0","30.10.12"
"050498","13","Вінницька область","будинок культури, хол
вул.Леніна, 52, с.Самгородок, Козятинський р-н, Вінницька обл., 22163","1484","602","1461","36","850","32","882","","0","850","32","882","15","867","1","29","1","0","36","15","704","5","2","1","3","3","0","10","6","47","4","29.10.12"
"050499","13","Вінницька область","ФАП, кабінет фельдшера
вул.Садова, 12, с.Коритувата, Козятинський р-н, Вінницька обл., 22163","100","45","99","0","55","0","55","","0","55","0","55","0","55","0","0","0","0","0","3","32","0","0","0","0","0","0","10","2","7","1","29.10.12"
"050500","13","Вінницька область","ФАП, кабінет фельдшера
вул.Центральна, 58, с.Красне, Козятинський р-н, Вінницька обл., 22163","96","34","94","0","62","0","62","","0","62","0","62","2","60","1","1","0","0","1","2","38","0","0","0","0","1","1","7","0","8","0","29.10.12"
"050501","13","Вінницька область","сільський клуб, зал
вул.Братів Тихонюків, 12, с.Лозівка, Козятинський р-н, Вінницька обл., 22163","204","53","204","6","146","5","151","","0","146","5","151","10","141","0","1","0","1","12","2","103","1","0","1","0","1","0","1","1","17","0","29.10.12"
"050502","13","Вінницька область","школа-дитячий садок, спортзал
вул.Леніна, 23, с.Сестринівка, Козятинський р-н, Вінницька обл., 22140","732","311","727","64","364","57","421","","0","364","57","421","9","412","0","13","0","0","7","9","364","5","1","0","0","1","0","1","2","8","1","29.10.12"
"050503","13","Вінницька область","школа, клас 2
вул.Леніна, 12, с.Сокілець, Козятинський р-н, Вінницька обл., 22142","412","134","408","40","239","39","278","","0","239","39","278","7","271","0","9","1","3","27","1","186","1","0","9","0","1","0","5","3","24","1","29.10.12"
"050504","13","Вінницька область","будинок культури, зал
вул.Космонавтів, 37, с.Сигнал, Козятинський р-н, Вінницька обл., 22145","748","277","732","30","443","28","471","","0","443","28","471","9","462","0","28","5","2","41","5","318","3","0","0","2","1","0","14","2","40","1","29.10.12"
"050505","13","Вінницька область","магазин, торговий зал
вул.Леніна, 36, с.Титусівка, Козятинський р-н, Вінницька обл., 22143","464","176","458","24","265","23","288","","0","265","23","288","3","285","0","6","2","1","31","6","189","5","0","0","2","0","0","3","1","37","2","28.10.12"
"050506","13","Вінницька область","школа, фойє
вул.Центральна, 20, с.Флоріанівка, Козятинський р-н, Вінницька обл., 22153","456","144","453","39","276","36","312","","0","276","36","312","8","304","1","8","0","1","72","2","187","1","1","1","0","2","0","6","1","19","2","29.10.12"
"050507","13","Вінницька область","сільський клуб, зал
вул.Колгоспна, 9, с.Рубанка, Козятинський р-н, Вінницька обл., 22153","80","22","80","9","50","8","58","","0","50","8","58","0","58","1","1","0","0","2","2","40","0","1","0","0","0","0","1","0","6","4","28.10.12"
"050508","13","Вінницька область","Козятинська обласна туберкульозна лікарня, актовий зал
вул.Планова, 1, с.Сестринівка, Козятинський р-н, Вінницька обл., 22140","40","36","5","0","4","0","4","","0","4","0","4","0","4","0","0","0","0","0","0","3","0","1","0","0","0","0","0","0","0","0","28.10.12"
"051210","13","Вінницька область","будинок культури, хол
вул.Івана Богуна, 2А, с.Березна, Хмільницький р-н, Вінницька обл., 22052","504","139","502","24","341","24","365","","0","341","24","365","5","360","0","6","1","3","68","0","166","0","2","1","0","0","0","3","1","107","2","28.10.12"
"051211","13","Вінницька область","сільський клуб, зал
вул.Першотравнева, 32А, с.Крупин, Хмільницький р-н, Вінницька обл., 22052","100","38","95","4","60","2","62","","0","60","2","62","2","60","0","2","0","1","5","2","40","1","0","0","0","0","1","1","0","7","0","29.10.12"
"051212","13","Вінницька область","сільський клуб, зал
вул.Першотравнева, 42А, с.Чудинівці, Хмільницький р-н, Вінницька обл., 22052","176","60","172","2","114","2","116","","0","114","2","116","0","116","1","8","0","0","3","67","0","1","0","0","0","0","0","0","0","36","0","28.10.12"
"051213","13","Вінницька область","будинок культури, зал
пл.Перемоги, 2, с.Великий Митник, Хмільницький р-н, Вінницька обл., 22060","1068","424","1059","12","635","9","644","","0","635","9","644","7","637","3","69","1","8","15","2","399","2","3","0","2","1","1","5","2","124","0","28.10.12"
"051214","13","Вінницька область","сільський клуб, зал
вул.Леніна, 17А, с.Філіопіль, Хмільницький р-н, Вінницька обл., 22063","368","107","366","15","247","14","261","","0","247","14","261","2","259","0","3","1","1","11","2","202","2","0","0","0","0","0","2","1","34","0","28.10.12"
"051215","13","Вінницька область","сільський клуб, зал
вул.Леніна, 15, с.Малий Митник, Хмільницький р-н, Вінницька обл., 22061","724","319","717","6","399","6","405","","0","399","6","405","6","399","1","10","1","5","21","2","208","4","2","0","0","0","0","3","5","136","1","28.10.12"
"051216","13","Вінницька область","школа - сад, зал
вул.Степова, 30, с.Кушелівка, Хмільницький р-н, Вінницька обл., 22060","292","103","290","3","187","2","189","","0","187","2","189","4","185","0","13","0","0","12","1","89","1","0","0","0","1","1","6","2","57","2","28.10.12"
