"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Бойдаченко
Антон
Павлович","Волковський
Володимир
Григорович","Заболотний
Григорій
Михайлович","Капітан
Олександр
Олександрович","Кирилюк
Максим
Анатолійович","Кольцов
Микола
Гнатович","Кучер
Микола
Іванович","Мальченко
Олександр
Андрійович","Мельник
Юрій
Іванович","Попенко
Ігор
Петрович","Чумак
Сергій
Вікторович","Дата підписання протоколу"
"050206","17","Вінницька область","будинок культури, фойє
вул.1 Травня, 72, с.Бондурі, Гайсинський р-н, Вінницька обл., 23722","504","157","497","36","313","34","347","","0","313","34","347","9","338","9","1","113","2","10","0","189","11","2","1","0","28.10.12"
"050207","17","Вінницька область","сільський клуб, танцювальний зал
вул.Жовтнева, 1А, с.Шура-Бондурівська, Гайсинський р-н, Вінницька обл., 23722","276","68","273","30","178","30","208","","0","178","30","208","3","205","9","1","31","3","9","2","148","0","0","2","0","28.10.12"
"050208","17","Вінницька область","будинок культури, фойє
вул.1 Травня, 46А, с.Бубнівка, Гайсинський р-н, Вінницька обл., 23744","738","216","725","11","513","9","522","","0","513","9","522","25","497","33","3","289","7","7","0","151","4","1","2","0","29.10.12"
"050209","17","Вінницька область","сільський клуб, танцювальний зал
вул.Гагаріна, 41А, с.Дмитренки, Гайсинський р-н, Вінницька обл., 23744","198","49","201","4","146","3","149","","0","146","3","149","1","148","8","1","83","1","5","1","49","0","0","0","0","29.10.12"
"050210","17","Вінницька область","сільський клуб, танцювальний зал
вул.Братів Герасименків, 5А, с.Новоселівка, Гайсинський р-н, Вінницька обл., 23744","66","14","60","4","48","4","52","","0","48","4","52","3","49","1","0","26","1","0","0","0","21","0","0","0","29.10.12"
"050211","17","Вінницька область","будинок культури, фойє
вул.50-річчя Радянської влади, 3, с.Гранів, Гайсинський р-н, Вінницька обл., 23731","654","217","646","42","399","38","437","","0","399","38","437","8","429","17","2","128","11","26","1","231","2","5","5","1","29.10.12"
"050212","17","Вінницька область","школа, столова
вул.Леніна, 9, с.Гранів, Гайсинський р-н, Вінницька обл., 23731","660","258","654","44","369","33","402","","0","369","33","402","9","393","21","1","109","7","8","2","237","1","2","4","1","30.10.12"
"050213","17","Вінницька область","контора ПРАТ ""Зернопродукт"", зал засідань
вул.Суворова, 21, с.Гранів, Гайсинський р-н, Вінницька обл., 23731","510","145","503","36","331","34","365","","0","331","34","365","10","355","27","1","70","3","8","0","240","2","0","1","3","28.10.12"
"050214","17","Вінницька область","будинок культури, фойє
вул.Леніна, 31, с.Грузьке, Гайсинський р-н, Вінницька обл., 23756","456","149","450","28","280","27","307","","0","280","27","307","12","295","10","2","96","3","6","0","176","1","0","0","1","29.10.12"
"050215","17","Вінницька область","будинок культури, фойє
вул.Леніна, 84, с.Губник, Гайсинський р-н, Вінницька обл., 23746","1452","456","1442","48","953","43","996","","0","953","43","996","39","957","64","0","331","5","9","2","538","0","2","3","3","29.10.12"
"050216","17","Вінницька область","сільський клуб, танцювальний зал
вул.Леніна, 22, с.Гунча, Гайсинський р-н, Вінницька обл., 23724","390","126","384","26","240","24","264","","0","240","24","264","13","251","46","2","76","3","4","1","117","1","1","0","0","29.10.12"
"050217","17","Вінницька область","будинок культури, фойє
вул.Леніна, 3, с.Адамівка, Гайсинський р-н, Вінницька обл., 23724","186","35","188","21","134","17","151","","0","134","17","151","1","150","14","1","74","5","1","0","54","0","0","1","0","29.10.12"
"050218","17","Вінницька область","будинок культури, актовий зал
вул.Леніна, 30Б, с.Жерденівка, Гайсинський р-н, Вінницька обл., 23750","498","125","494","31","342","31","373","","0","342","31","373","8","365","10","4","224","3","4","2","113","1","0","1","3","29.10.12"
"050219","17","Вінницька область","сільський клуб, танцювальний зал
вул.1 Травня, 21, с.Розівка, Гайсинський р-н, Вінницька обл., 23700","36","9","32","0","27","0","27","","0","27","0","27","0","27","0","0","16","0","0","0","11","0","0","0","0","29.10.12"
"050220","17","Вінницька область","сільський клуб, танцювальний зал
вул.Кооперативна, 37, с.Тимар, Гайсинський р-н, Вінницька обл., 23700","234","73","230","29","135","26","161","","0","135","26","161","7","154","14","2","42","2","12","0","81","0","0","1","0","28.10.12"
"050221","17","Вінницька область","будинок культури, фойє
вул.Леніна, 11, с.Зятківці, Гайсинський р-н, Вінницька обл., 23751","828","259","823","49","523","46","569","","0","523","46","569","12","557","22","1","408","11","7","2","102","2","0","2","0","28.10.12"
"050222","17","Вінницька область","кафе ""Сигнал"", приміщення кафе
вул.Залізнична, 9, с-ще Зятківці, Гайсинський р-н, Вінницька обл., 23751","174","51","170","5","118","5","123","","0","118","5","123","9","114","5","0","50","5","1","3","47","0","2","0","1","28.10.12"
"050223","17","Вінницька область","сільський клуб, танцювальний зал
вул.Чкалова, 1, с.Бур’яни, Гайсинський р-н, Вінницька обл., 23751","60","18","58","6","36","6","42","","0","36","6","42","3","39","0","0","15","1","0","0","23","0","0","0","0","28.10.12"
"050224","17","Вінницька область","будинок культури, фойє
вул.Леніна, 60А, с.Карбівка, Гайсинський р-н, Вінницька обл., 23725","894","391","883","34","476","27","503","","0","476","27","503","28","475","31","1","173","10","13","2","238","3","1","2","1","29.10.12"
"050225","17","Вінницька область","сільський клуб, танцювальний зал
вул.Жанова, 51, с.Кисляк, Гайсинський р-н, Вінницька обл., 23726","726","326","710","39","365","35","400","","0","364","35","399","23","376","66","1","120","8","7","1","162","6","1","2","2","29.10.12"
"050226","17","Вінницька область","будинок культури, фойє
вул.Леніна, 90А, с.Кіблич, Гайсинський р-н, Вінницька обл., 23755","810","179","809","54","579","52","631","","0","579","52","631","12","619","40","2","345","11","6","0","204","5","1","2","3","29.10.12"
"050227","17","Вінницька область","сільський клуб, танцювальний зал
вул.50 років СРСР, 38А, с.Мелешків, Гайсинський р-н, Вінницька обл., 23755","474","98","481","26","352","24","376","","0","352","24","376","10","366","3","1","295","8","6","0","51","1","0","1","0","29.10.12"
"050228","17","Вінницька область","сільський клуб, танцювальний зал
вул.Перемоги, 83Б, с.Огіївка, Гайсинський р-н, Вінницька обл., 23755","252","87","254","23","145","20","165","","0","145","20","165","7","158","9","0","95","8","7","0","36","1","0","1","1","29.10.12"
"050229","17","Вінницька область","будинок культури, актовий зал
вул.Котовського, 16Б, с.Краснопілка, Гайсинський р-н, Вінницька обл., 23733","1134","245","1125","87","809","80","889","","0","809","80","889","11","878","41","1","163","17","12","4","633","1","5","0","1","29.10.12"
"050230","17","Вінницька область","будинок культури, фойє
1 пров.Леніна, 4, с.Кузьминці, Гайсинський р-н, Вінницька обл., 23712","612","221","597","18","376","15","391","","0","376","15","391","18","373","12","1","147","14","19","4","170","1","3","0","2","28.10.12"
"050231","17","Вінницька область","сільський клуб, танцювальний зал
вул.Б.Хмельницького, 57, с.Сокільці, Гайсинський р-н, Вінницька обл., 23712","114","28","116","14","75","11","86","","0","75","11","86","2","84","6","0","42","1","2","0","29","1","1","1","1","29.10.12"
"050232","17","Вінницька область","сільський клуб, танцювальний зал
вул.Леніна, 11, с.Щурівці, Гайсинський р-н, Вінницька обл., 23712","252","71","248","20","163","18","181","","0","163","18","181","10","171","12","1","65","7","8","0","75","2","0","1","0","29.10.12"
"050233","17","Вінницька область","будинок культури, фойє
вул.Площа Миру, 11, с.Кунка, Гайсинський р-н, Вінницька обл., 23713","708","195","690","63","453","60","513","","0","453","60","513","15","498","15","3","252","5","10","3","204","1","3","1","1","29.10.12"
"050234","17","Вінницька область","будинок культури, актовий зал
вул.Леніна, 17, с.Куна, Гайсинський р-н, Вінницька обл., 23714","1398","496","1397","30","875","27","902","","0","875","27","902","31","871","113","3","471","14","21","1","235","3","4","4","2","29.10.12"
"050235","17","Вінницька область","сільський клуб, танцювальний зал
вул.Якова Іщенка, 4, с.Кочурів, Гайсинський р-н, Вінницька обл., 23700","144","34","149","5","106","4","110","","0","106","4","110","6","104","6","0","37","3","4","0","53","1","0","0","0","29.10.12"
"050236","17","Вінницька область","сільський клуб, танцювальний зал
вул.Леніна, 65, с.Крутогорб, Гайсинський р-н, Вінницька обл., 23716","396","127","403","17","254","15","269","","0","254","15","269","7","262","16","0","134","6","5","0","99","0","0","2","0","28.10.12"
"050237","17","Вінницька область","будинок культури, актовий зал
вул.К.Маркса, 30, с.Мар’янівка, Гайсинський р-н, Вінницька обл., 23716","732","279","746","19","442","11","453","","0","442","11","453","21","432","67","1","183","10","22","3","135","3","2","6","0","29.10.12"
"050238","17","Вінницька область","будинок культури, актовий зал
вул.Леніна, 29, с.Кущинці, Гайсинський р-н, Вінницька обл., 23753","456","143","453","26","289","24","313","","0","289","24","313","15","298","46","0","152","6","6","0","83","2","0","2","1","29.10.12"
"050239","17","Вінницька область","сільський клуб, фойє
вул.Жовтнева, 52, с.Борсуки, Гайсинський р-н, Вінницька обл., 23700","204","54","188","8","142","8","150","","0","142","8","150","5","145","4","1","90","6","6","0","37","1","0","0","0","28.10.12"
"050240","17","Вінницька область","сільський клуб, танцювальний зал
вул.1 Травня, 77, с.Гнатівка, Гайсинський р-н, Вінницька обл., 23754","330","83","325","18","229","18","247","","0","229","18","247","13","234","11","0","178","9","5","0","30","0","0","1","0","29.10.12"
"050241","17","Вінницька область","будинок культури, фойє
вул.1 Травня, 20, с.Ладижинські Хутори, Гайсинский р-н, Вінницька обл., 23745","474","137","469","14","324","13","337","","0","324","13","337","7","330","7","0","192","4","4","0","118","1","1","2","1","29.10.12"
"050242","17","Вінницька область","будинок культури, фойє
вул.Клубна, 9, с.Митків, Гайсинський р-н, Вінницька обл., 23734","522","147","518","80","300","75","375","","0","300","75","375","5","370","11","0","46","2","3","1","305","0","0","0","2","28.10.12"
"050243","17","Вінницька область","сільський клуб, танцювальний зал
вул.Шкільна, 6, с.Тишківка, Гайсинський р-н, Вінницька обл., 23734","162","49","155","18","97","16","113","","0","97","16","113","2","111","9","0","50","4","2","0","45","0","1","0","0","29.10.12"
"050244","17","Вінницька область","будинок культури, фойє
вул.Молодіжна, 15А, с.Михайлівка, Гайсинський р-н, Вінницька обл., 23732","1074","268","1057","71","736","70","806","","0","736","70","806","10","796","60","2","454","12","14","2","242","4","0","2","4","29.10.12"
"050245","17","Вінницька область","школа, коридор
вул.Першотравнева, 11А, с.Мітлинці, Гайсинський р-н, Вінницька обл., 23720","588","215","577","36","347","26","373","","0","347","26","373","11","362","7","3","81","2","17","0","247","2","1","1","1","29.10.12"
"050246","17","Вінницька область","дитячий садок, актовий зал
вул.Шкільна, 40, с.Шура-Мітлинецька, Гайсинський р-н, Вінницька обл., 23721","270","93","268","10","167","10","177","","0","167","10","177","7","170","11","3","34","4","2","1","115","0","0","0","0","29.10.12"
"050247","17","Вінницька область","сільський клуб, танцювальний зал
вул.Кооперативна, 24А, с-ще Карбівське, Гайсинський р-н, Вінницька обл., 23721","84","24","82","5","55","5","60","","0","55","5","60","1","59","0","1","29","0","0","0","29","0","0","0","0","28.10.12"
"050248","17","Вінницька область","будинок культури, фоєй
вул.Леніна, 10, с.Нараївка, Гайсинський р-н, Вінницька обл., 23730","720","131","718","59","530","59","589","","0","530","59","589","8","581","12","1","53","11","9","1","493","0","0","1","0","28.10.12"
"050249","17","Вінницька область","будинок культури, 2 фойє
вул.Шкільна, 4, с.Носівці, Гайсинський р-н, Вінницька обл., 23710","624","126","623","37","461","37","498","","0","461","37","498","6","492","10","0","67","10","2","0","397","2","0","2","2","29.10.12"
"050250","17","Вінницька область","дитячий садок, актовий зал
вул.Космонавтів, 35, с.Косанове, Гайсинський р-н, Вінницька обл., 23710","480","121","485","25","336","23","359","","0","336","23","359","16","343","14","2","115","5","10","1","188","0","3","2","3","29.10.12"
"050251","17","Вінницька область","сільська рада, фойє
вул.1 Травня, 48, с.Семерічка, Гайсинський р-н, Вінницька обл., 23723","258","72","245","27","160","26","186","","0","160","26","186","3","183","3","0","31","0","8","0","137","2","0","0","2","29.10.12"
"050252","17","Вінницька область","будинок культури, актовий зал
вул.Шевченка, 3, с.Рахни, Гайсинський р-н, Вінницька обл., 23700","270","54","270","20","196","20","216","","0","196","20","216","3","213","5","0","32","3","6","0","166","0","1","0","0","29.10.12"
"050253","17","Вінницька область","будинок культури, актовий зал
вул.Леніна, 56А, с.Степашки, Гайсинський р-н, Вінницька обл., 23743","570","165","574","47","363","42","405","","0","363","42","405","11","394","22","2","155","6","2","1","205","0","0","1","0","29.10.12"
"050254","17","Вінницька область","будинок культури, актовий зал
вул.Леніна, 9А, с.Харпачка, Гайсинський р-н, Вінницька обл., 23742","666","210","663","18","443","13","456","","0","443","13","456","19","437","20","4","134","14","13","2","240","2","6","1","1","30.10.12"
"050255","17","Вінницька область","школа, столова
вул.В.Бабія, 19, с.Чечелівка, Гайсинський р-н, Вінницька обл., 23735","774","182","766","58","541","51","592","","0","541","51","592","17","575","63","3","285","6","26","4","177","3","3","5","0","29.10.12"
"050256","17","Вінницька область","школа, фойє
вул.Паламарчука, 66, с.Рахнівка, Гайсинський р-н, Вінницька обл., 23700","384","90","381","25","269","25","294","","0","269","25","294","14","280","16","0","169","0","7","0","83","1","2","1","1","29.10.12"
"050257","17","Вінницька область","будинок культури, зал засідань
вул.Гагарина, 1А, с.Тарасівка, Гайсинський р-н, Вінницька обл., 23700","294","65","294","20","210","19","229","","0","210","19","229","2","227","16","0","107","6","3","0","91","3","1","0","0","28.10.12"
"050258","17","Вінницька область","будинок культури, фойє
вул.Жовтнева, 20, с.Ярмолинці, Гайсинський р-н, Вінницька обл., 23740","642","195","645","21","426","21","447","","0","426","21","447","25","422","30","2","202","8","14","0","159","1","1","4","1","29.10.12"
"050259","17","Вінницька область","сільський клуб, танцювальний зал
вул.1 Травня, 6, с.Басаличівка, Гайсинський р-н, Вінницька обл., 23740","240","60","239","26","154","26","180","","0","154","26","180","7","173","13","1","96","1","4","0","58","0","0","0","0","28.10.12"
"050260","17","Вінницька область","Гайсинська центральна районна лікарня, приймальне відділення
вул.Гурвіча, 1, м.Гайсин, Гайсинський р-н, Вінницька обл., 23700","54","17","48","28","17","20","37","","0","17","20","37","3","34","1","0","8","1","1","0","22","0","1","0","0","29.10.12"
"050985","17","Вінницька область","школа №1, вестибюль
вул.Незалежності, 20, смт Теплик, Теплицький р-н, Вінницька обл., 23800","1800","712","1778","22","1069","19","1088","","0","1069","19","1088","20","1068","132","2","487","57","21","2","343","6","8","9","1","29.10.12"
"050986","17","Вінницька область","будинок культури, вестибюль
вул.Незалежності, 37, смт Теплик, Теплицький р-н, Вінницька обл., 23800","1554","620","1533","19","916","18","934","","0","916","18","934","21","913","146","2","359","28","36","3","314","7","9","2","7","29.10.12"
"050987","17","Вінницька область","школа №2, актова зала
вул.Агрономічна, 25, смт Теплик, Теплицький р-н, Вінницька обл., 23800","1920","755","1894","25","1142","23","1165","","0","1142","23","1165","19","1146","137","4","521","42","28","4","384","3","4","15","4","29.10.12"
"050988","17","Вінницька область","школа, фойє
вул.Леніна, 12, с.Бджільна, Теплицький р-н, Вінницька обл., 23840","786","252","766","34","503","31","534","","0","503","31","534","20","514","32","2","201","18","9","1","239","4","4","2","2","29.10.12"
"050989","17","Вінницька область","сільський клуб, зала
вул.Першотравнева, 42, с.Червона Долина, Теплицький р-н, Вінницька обл., 23840","138","32","135","13","94","12","106","","0","94","12","106","1","105","9","1","64","4","0","0","22","1","2","1","1","29.10.12"
"050990","17","Вінницька область","школа, спортивний зал
вул.Шкільна, 6, с.Брідок, Теплицький р-н, Вінницька обл., 23824","504","138","504","34","332","34","366","","0","332","34","366","13","353","22","2","178","15","5","2","124","2","0","1","2","29.10.12"
"050991","17","Вінницька область","будинок культури, фойє
вул.Центральна, 11, с.Велика Мочулка, Теплицький р-н, Вінницька обл., 23823","612","210","593","11","391","11","402","","0","391","11","402","7","395","13","0","273","4","5","0","94","0","5","1","0","28.10.12"
"050992","17","Вінницька область","школа, спортивний зал
вул.Шкільна, 14, с.Велика Мочулка, Теплицький р-н, Вінницька обл., 23823","528","236","513","8","284","8","292","","0","284","8","292","10","282","10","0","182","2","2","0","81","2","0","1","2","30.10.12"
"050993","17","Вінницька область","будинок культури, фойє
вул.Леніна, 3, с.Веселівка, Теплицький р-н, Вінницька обл., 23850","630","212","619","60","363","55","418","","0","363","55","418","25","393","23","2","168","17","17","1","152","1","6","0","6","28.10.12"
"050994","17","Вінницька область","сільський клуб, фойє
вул.Набережна, 2, с.Завадівка, Теплицький р-н, Вінницька обл., 23832","438","136","426","27","275","27","302","","0","275","27","302","7","295","7","2","116","13","2","0","148","1","2","0","4","29.10.12"
"050995","17","Вінницька область","сільський клуб, зала
вул.Центральна, 7, с.Залужжя, Теплицький р-н, Вінницька обл., 23806","690","199","677","18","473","18","491","","0","473","18","491","11","480","14","3","315","12","10","0","120","0","5","1","0","28.10.12"
"050996","17","Вінницька область","будинок культури, кімната дозвілля молоді
вул.Молодіжна, 3, с.Кивачівка, Теплицький р-н, Вінницька обл., 23810","510","132","501","9","369","9","378","","0","369","9","378","7","371","10","0","101","4","1","0","253","1","1","0","0","29.10.12"
"050997","17","Вінницька область","сільський клуб, актова зала
вул.1-го Травня, 5, с.Цвіліхівка, Теплицький р-н, Вінницька обл., 23810","180","43","167","11","128","9","137","","0","128","9","137","6","131","12","1","59","4","3","0","49","2","1","0","0","29.10.12"
"050998","17","Вінницька область","сільський клуб, фойє
вул.Шкільна, 3, с.Комарівка, Теплицький р-н, Вінницька обл., 23812","330","89","320","16","231","10","241","","0","231","10","241","4","237","21","0","136","12","8","0","58","1","0","0","1","05.11.12"
"050999","17","Вінницька область","сільський магазин, зала
вул.Донівська, 4, с.Іванів, Теплицький р-н, Вінницька обл., 23812","228","68","222","16","146","14","160","","0","146","14","160","8","152","8","2","66","9","3","0","60","2","1","1","0","30.10.12"
"051000","17","Вінницька область","школа, фойє
вул.Шевченка, 9, с.Костюківка, Теплицький р-н, Вінницька обл., 23844","312","93","305","20","200","19","219","","0","200","19","219","11","208","6","0","105","5","3","4","82","1","1","0","1","29.10.12"
"051001","17","Вінницька область","школа, спортивний зал
вул.Радянська, 35, с.Мала Мочулка, Теплицький р-н, Вінницька обл., 23834","816","200","806","43","573","43","616","","0","573","43","616","4","612","12","5","476","11","3","1","101","1","1","1","0","28.10.12"
"051002","17","Вінницька область","сільський клуб, фойє
вул.Освітня, 17, с.Мишарівка, Теплицький р-н, Вінницька обл., 23835","258","75","255","34","150","33","183","","0","150","33","183","11","172","1","1","118","15","1","0","35","0","1","0","0","28.10.12"
"051003","17","Вінницька область","будинок культури, фойє
вул.Леніна, 110, с.Метанівка, Теплицький р-н, Вінницька обл., 23831","636","195","631","30","412","29","441","","0","412","29","441","18","423","21","4","150","26","14","1","197","2","6","1","1","28.10.12"
"051004","17","Вінницька область","сільський клуб, зала
вул.Івана Діброви, 6, с.Орлівка, Теплицький р-н, Вінницька обл., 23833","510","154","504","30","327","29","356","","0","327","29","356","21","335","38","3","195","7","10","0","77","3","0","0","2","30.10.12"
"051005","17","Вінницька область","будинок культури, зала
вул.Центральна, 17А, с.Петрашівка, Теплицький р-н, Вінницька обл., 23830","534","196","524","37","303","35","338","","0","303","35","338","12","326","3","1","93","13","7","0","199","3","0","1","6","28.10.12"
"051006","17","Вінницька область","школа, фойє
вул.Шкільна, 1, с.Побірка, Теплицький р-н, Вінницька обл., 23825","444","135","438","28","281","28","309","","0","281","28","309","4","305","5","0","143","0","4","0","149","1","1","0","2","28.10.12"
"051007","17","Вінницька область","сільський клуб, зала
вул.Леніна, 9, с.Погоріла, Теплицький р-н, Вінницька обл., 23854","612","152","599","73","390","70","460","","0","390","70","460","34","426","51","6","174","7","4","3","169","2","1","6","3","29.10.12"
"051008","17","Вінницька область","сільська рада, актова зала
вул.Леніна, 5, с.Пологи, Теплицький р-н, Вінницька обл., 23841","378","99","369","42","240","39","279","","0","240","39","279","3","276","4","1","197","12","8","0","49","0","3","1","1","29.10.12"
"051009","17","Вінницька область","сільський клуб, зала
вул.Радянська, 5, с.Лозовата, Теплицький р-н, Вінницька обл., 23841","120","33","106","8","79","8","87","","0","79","8","87","1","86","1","0","62","3","1","0","16","2","1","0","0","29.10.12"
"051010","17","Вінницька область","будинок культури, зала
вул.Перемоги, 160, с.Росоша, Теплицький р-н, Вінницька обл., 23851","534","154","523","39","343","37","380","","0","343","37","380","13","367","14","0","191","16","18","0","118","3","2","3","2","29.10.12"
