"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Власюк
Віктор
Васильович","Гнатюк
Юрій
Петрович","Жеребнюк
Віктор
Миколайович","Загороднюк
Юрій
Вікторович","Закусилова
Лідія
Олексіївна","Зелена
Катерина
Вітославівна","Козловський
Юрій
Борисович","Кривак
Іван
Васильович","Мельничук
Іван
Іванович","Онопенко
Василь
Васильович","Погодін
Олексій
Олександрович","Дата підписання протоколу"
"000001","14","Вінницька область","
вул.Добролюбова, 8, м. Жмеринка, Вінницька обл., 23100","54","21","43","15","25","8","33","","0","25","8","33","0","33","1","0","19","0","3","0","0","1","4","5","0","28.10.12"
"050001","14","Вінницька область","будинок культури, фойє
вул.Святого Миколая, 4, м.Бар, Барський р-н, Вінницька обл., 23000","1662","693","1645","21","951","18","969","","0","951","18","969","18","951","7","18","206","5","38","45","34","10","425","159","4","29.10.12"
"050002","14","Вінницька область","школа №1, фойє
вул. Гагаріна, 15, м.Бар, Барський р-н, Вінницька обл., 23000","2412","1098","2367","12","1304","10","1314","","0","1304","10","1314","42","1272","4","21","211","3","43","56","49","7","669","206","3","29.10.12"
"050003","14","Вінницька область","школа №2, фойє
вул.Врублевського, 35/2, м.Бар, Барський р-н, Вінницька обл., 23000","2322","1033","2311","20","1272","17","1289","","0","1272","17","1289","35","1254","7","24","242","8","61","61","8","34","630","167","12","29.10.12"
"050004","14","Вінницька область","гуртожиток технікуму, актова зала
вул.Пролетарська, 11, м.Бар, Барський р-н, Вінницька обл., 23000","1608","628","1584","29","951","29","980","","0","0","0","980","84","896","2","22","164","1","38","32","31","13","420","170","3","31.10.12"
"050005","14","Вінницька область","спиртовий комбінат, клуб
вул.Богдана Хмельницького, 23, м.Бар, Барський р-н, Вінницька обл., 23000","1938","853","1925","13","1074","11","1085","","0","0","0","1085","308","777","12","25","175","1","51","65","40","9","242","149","8","31.10.12"
"050006","14","Вінницька область","районний кінотеатр, фойє
вул.Святого Миколая, 2, м.Бар, Барський р-н, Вінницька обл., 23000","1746","725","1726","14","1010","11","1021","","0","1010","11","1021","27","994","7","19","207","4","38","54","44","5","446","162","8","29.10.12"
"050007","14","Вінницька область","будівельний ліцей, фойє
вул.Калініна, 5, м.Бар, Барський р-н, Вінницька обл., 23000","2280","980","2265","7","1295","5","1300","","0","0","0","1300","433","867","11","29","243","9","37","64","2","46","209","213","4","31.10.12"
"050008","14","Вінницька область","школа, фойє
вул.Леніна, 34, с.Балки, Барський р-н, Вінницька обл., 23006","2298","1066","2276","14","1218","14","1232","","0","0","0","1232","280","952","10","39","234","14","55","53","22","13","383","123","6","31.10.12"
"050009","14","Вінницька область","сільський клуб, фойє
вул.Фрунзе, 7, с.Окладне, Барський р-н, Вінницька обл., 23008","738","264","728","14","460","14","474","","0","460","14","474","13","461","5","14","128","4","14","9","4","9","228","44","2","07.11.12"
"050010","14","Вінницька область","школа, спортивний зал
вул.Леніна, 25, с.Чемериське, Барський р-н, Вінницька обл., 23026","714","40","701","41","633","41","674","","0","0","0","674","185","489","8","3","335","4","21","8","5","4","33","66","2","31.10.12"
"050011","14","Вінницька область","сільський клуб, актова зала
вул.Леніна, 39, с.Шершні, Барський р-н, Вінницька обл., 23026","150","41","148","10","99","10","109","","0","99","10","109","1","108","2","1","64","1","8","4","1","0","26","0","1","29.10.12"
"050012","14","Вінницька область","сільський клуб, фойє
вул.Дружби, 1, с.Ходаки, Барський р-н, Вінницька обл., 23020","288","125","285","8","155","8","163","","0","155","8","163","5","158","1","2","58","3","7","6","2","0","52","26","1","29.10.12"
"050013","14","Вінницька область","сільський клуб, фойє
вул.Кармелюка, 6, с.Слобода-Ходацька, Барський р-н, Вінницька обл., 23020","180","83","173","1","96","1","97","","0","96","1","97","1","96","1","2","41","0","16","2","0","0","27","7","0","29.10.12"
"050014","14","Вінницька область","сільський клуб, актова зала
вул.Леніна, 6, с-ще Слобода, Барський р-н, Вінницька обл., 23000","402","154","395","15","233","15","248","","0","233","15","248","1","247","2","5","92","3","10","16","3","1","73","40","2","29.10.12"
"050015","14","Вінницька область","сільський клуб, актова зала
вул.Леніна, 1, с.Бригидівка, Барський р-н, Вінницька обл., 23000","144","36","139","7","101","7","108","","0","101","7","108","2","106","0","23","18","1","9","2","0","0","26","26","1","29.10.12"
"050016","14","Вінницька область","будинок культури, актова зала
вул.Леніна, 14, с.Мигалівці, Барський р-н, Вінницька обл., 23023","732","219","731","37","476","37","513","","0","476","37","513","18","495","5","13","242","4","10","3","3","5","156","53","1","29.10.12"
"050017","14","Вінницька область","школа-сад, методична кімната
вул.Леніна, 5А, с.Козарівка, Барський р-н, Вінницька обл., 23000","240","58","236","6","176","6","182","","0","176","6","182","2","180","0","2","96","0","5","9","0","1","43","23","1","29.10.12"
"050018","14","Вінницька область","школа, актова зала
вул.Леніна, 5А, с.Ялтушків, Барський р-н, Вінницька обл., 23021","684","283","673","67","334","67","401","","0","334","67","401","15","386","2","3","62","5","7","19","7","4","219","56","2","29.10.12"
"050019","14","Вінницька область","школа, зала символіки
вул.Леніна, 5А, с.Ялтушків, Барський р-н, Вінницька обл., 23021","666","266","661","33","367","33","400","","0","367","33","400","8","392","2","11","117","6","12","15","1","1","205","22","0","29.10.12"
"050020","14","Вінницька область","бібліотека, фойє
вул.Степова, 42, с.Слобода-Ялтушківська, Барський р-н, Вінницька обл., 23022","612","249","598","48","315","48","363","","0","315","48","363","4","359","3","6","101","2","23","17","6","0","173","28","0","29.10.12"
"050021","14","Вінницька область","ФАП, фойє
вул.Леніна, 36, с.Біличин, Барський р-н, Вінницька обл., 23024","204","42","201","26","136","26","162","","0","136","26","162","4","158","1","4","57","3","4","3","1","0","65","19","1","29.10.12"
"050022","14","Вінницька область","будинок культури, фойє
вул.Леніна, 52В, с.Гармаки, Барський р-н, Вінницька обл., 23011","804","256","795","21","527","21","548","","0","527","21","548","27","521","4","8","223","4","16","11","4","4","138","107","2","29.10.12"
"050023","14","Вінницька область","школа, спортивний зал
вул.Леніна, 111, смт Копайгород, Барський р-н, Вінницька обл., 23053","1152","443","1168","52","657","52","709","","0","657","52","709","8","701","15","8","226","2","42","17","9","1","270","111","0","29.10.12"
"050024","14","Вінницька область","будинок культури, фойє
вул.Пролетарська, 19, с.Шипинки, Барський р-н, Вінницька обл., 23056","636","258","633","27","351","27","378","","0","351","27","378","4","374","4","7","93","1","76","15","1","1","107","68","1","29.10.12"
"050025","14","Вінницька область","сільський клуб, актова зала
вул.Жовтнева, 44, с.Шевченкове, Барський р-н, Вінницька обл., 23055","354","121","350","18","215","18","233","","0","215","18","233","3","230","4","10","71","1","16","11","4","10","48","55","0","29.10.12"
"050026","14","Вінницька область","сільський клуб, фойє
вул.Жовтнева, 44, с.Українське, Барський р-н, Вінницька обл., 23053","252","69","245","29","154","29","183","","0","154","29","183","6","177","7","5","77","0","8","5","2","0","43","29","1","29.10.12"
"050027","14","Вінницька область","селищний клуб, актова зала
вул.Привокзальна, 9, с-ще Копай, Барський р-н, Вінницька обл., 23054","156","56","153","8","92","8","100","","0","92","8","100","5","95","2","1","25","2","13","4","1","0","18","29","0","28.10.12"
"050028","14","Вінницька область","сільський клуб, актова зала
вул.Леніна, 32, с.Антонівка, Барський р-н, Вінницька обл., 23014","348","103","344","33","212","33","245","","0","212","33","245","11","234","1","8","72","1","17","11","0","26","79","17","2","29.10.12"
"050029","14","Вінницька область","школа, спортивна зала
вул.Чапаєва, 48, с.Глинянка, Барський р-н, Вінницька обл., 23014","162","44","157","24","94","24","118","","0","94","24","118","5","113","2","5","41","1","10","4","2","3","30","13","2","29.10.12"
"050030","14","Вінницька область","будинок культури, актова зала
вул.Леніна, 23А, с.Верхівка, Барський р-н, Вінницька обл., 23044","618","256","612","31","331","31","362","","0","331","31","362","12","350","5","2","58","5","19","9","3","2","134","110","3","29.10.12"
"050031","14","Вінницька область","школа, спортивний зал
вул.Привокзальна, 20, с-ще Бар, Барський р-н, Вінницька обл., 23007","654","326","646","22","307","21","328","","0","307","21","328","6","322","2","15","57","1","10","21","2","3","147","61","3","29.10.12"
"050032","14","Вінницька область","будинок культури, актова зала
вул.Леніна, 35, с.Мирне, Барський р-н, Вінницька обл., 23007","528","180","516","32","316","32","348","","0","316","32","348","7","341","1","6","150","3","10","13","7","0","118","32","1","29.10.12"
"050033","14","Вінницька область","будинок культури, актова зала
вул.Леніна, 1, с.Міжлісся, Барський р-н, Вінницька обл., 23007","1020","461","1006","23","536","23","559","","0","536","23","559","28","531","9","17","139","6","32","18","9","6","166","126","3","29.10.12"
"050034","14","Вінницька область","школа, їдальня
вул.Привокзальна, 20, с-ще Бар, Барський р-н, Вінницька обл., 23007","1380","648","1370","20","714","18","732","","0","714","18","732","13","719","10","18","179","7","26","37","15","6","276","141","4","29.10.12"
"050035","14","Вінницька область","школа, фойє
вул.Леніна, 26, с.Володіївці, Барський р-н, Вінницька обл., 23054","336","134","331","24","178","24","202","","0","178","24","202","4","198","2","11","60","3","29","4","1","2","62","23","1","29.10.12"
"050036","14","Вінницька область","будинок культури, актова зала
вул.Інтернаціональна, 1, с.Мар’янівка, Барський р-н, Вінницька обл., 23060","300","98","292","12","190","12","202","","0","190","12","202","6","196","2","4","79","2","2","2","0","1","81","22","1","29.10.12"
