"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Базелюк
Володимир
Васильович","Барчишен
Олег
Вікторович","Бондарчук
Іван
Миколайович","Дмитрів
Олег
Степанович","Іорданов
Юрій
Іванович","Костирко
Дмитро
Олександрович","Максимчук
Борис
Анатолійович","Порошенко
Петро
Олексійович","Дата підписання протоколу"
"000001","12","Вінницька область","спортивна зала установи
вул.Островського, 2, м. Вінниця, 21100","1008","162","847","9","837","9","846","","0","837","9","846","58","788","24","20","17","5","15","59","24","624","29.10.12"
"050125","12","Вінницька область","Ганський клуб, актовий зал
вул.Піонерська, 1, смт Вороновиця, Вінницький р-н, Вінницька обл., 23252","751","304","762","9","440","7","447","","0","440","7","447","12","435","46","23","9","5","19","19","28","286","29.10.12"
"050126","12","Вінницька область","школа №1, фойє
вул.Гагаріна, 2, смт Вороновиця, Вінницький р-н, Вінницька обл., 23252","1984","736","1946","226","1044","204","1248","","0","1044","204","1248","17","1231","93","22","61","9","77","110","62","797","29.10.12"
"050127","12","Вінницька область","будинок культури, актовий зал
вул.Леніна, 97А, смт Вороновиця, Вінницький р-н, Вінницька обл., 23252","1304","587","1292","21","696","21","717","","0","696","21","717","13","704","58","20","18","2","28","20","42","516","29.10.12"
"050128","12","Вінницька область","школа №2, спортзал
вул.Цукрозаводська, 19, смт Вороновиця, Вінницький р-н, Вінницька обл., 23252","976","367","970","15","594","15","609","","0","594","15","609","15","594","52","19","16","2","20","9","53","423","29.10.12"
"050129","12","Вінницька область","школа, актовий зал
вул.Гагаріна, 11, смт Десна, Вінницький р-н, Вінницька обл., 23240","1080","355","1070","3","722","3","725","","0","722","3","725","8","717","51","22","13","2","26","13","24","566","29.10.12"
"050138","12","Вінницька область","будинок культури, актовий зал
вул.Українська, 28А, с.Великі Крушлинці, Вінницький р-н, Вінницька обл., 23243","712","201","699","85","434","77","511","","0","434","77","511","13","498","17","11","16","1","22","13","14","404","29.10.12"
"050139","12","Вінницька область","будинок культури, актовий зал
вул.Леніна, 65, с.Вінницькі Хутори, Вінницький р-н, Вінницька обл., 23201","2296","907","2294","36","1359","30","1389","","0","1359","30","1389","33","1356","136","40","30","5","83","36","77","949","29.10.12"
"050140","12","Вінницька область","школа естетичного виховання, фойє
вул.Сагайдачного, 95, с.Вінницькі Хутори, Вінницький р-н, Вінницька обл., 23201","2208","888","2188","30","1291","29","1320","","0","1291","29","1320","18","1302","121","47","22","4","88","23","72","925","29.10.12"
"050141","12","Вінницька область","школа, фойє
вул.Леніна, школа, с.Вінницькі Хутори, Вінницький р-н, Вінницька обл., 23201","2248","903","2385","22","1323","22","1345","","0","1323","22","1345","28","1317","135","34","20","4","53","45","60","966","29.10.12"
"050142","12","Вінницька область","будинок культури, фойє
вул.Гагаріна, 27, с.Гавришівка, Вінницький р-н, Вінницька обл., 23202","1384","559","1335","113","721","104","825","","0","721","104","825","12","813","55","35","15","7","33","20","42","606","29.10.12"
"050143","12","Вінницька область","будинок культури, актовий зал
вул.Леніна, 20, с.Гуменне, Вінницький р-н, Вінницька обл., 23203","624","199","622","24","403","22","425","","0","403","22","425","21","404","18","10","10","5","31","15","19","296","29.10.12"
"050144","12","Вінницька область","сільський клуб, фойє
вул.Чапаєва, 2, с.Михайлівка, Вінницький р-н, Вінницька обл., 23203","744","183","742","36","526","35","561","","0","526","35","561","18","543","10","8","10","1","6","15","12","481","29.10.12"
"050146","12","Вінницька область","будинок культури, актовий зал
вул.Леніна, 25, с.Жабелівка, Вінницький р-н, Вінницька обл., 23245","432","136","436","49","249","47","296","","0","249","47","296","7","289","9","8","4","1","9","5","3","250","29.10.12"
"050147","12","Вінницька область","будинок культури, актовий зал
вул.Леніна, 2А, с.Іванівка, Вінницький р-н, Вінницька обл., 23250","472","162","471","34","276","34","310","","0","276","34","310","8","302","11","5","12","2","16","7","21","228","29.10.12"
"050148","12","Вінницька область","початкова школа, фойє
вул.Шевчука, 31, с.Цвіжин, Вінницький р-н, Вінницька обл., 23250","152","41","147","14","99","12","111","","0","99","12","111","2","109","7","7","6","0","4","4","2","79","29.10.12"
"050150","12","Вінницька область","школа, класна кімната
вул.Леніна, 15, с.Горбанівка, Вінницький р-н, Вінницька обл., 23231","440","148","429","19","274","18","292","","0","274","18","292","14","278","13","9","10","0","17","10","15","204","29.10.12"
"050151","12","Вінницька область","ФАП, оглядова
вул.К.Маркса, 10А, с.Рівець, Вінницький р-н, Вінницька обл., 23231","200","49","202","17","136","15","151","","0","136","15","151","1","150","12","7","5","1","3","19","7","96","29.10.12"
"050152","12","Вінницька область","сільський клуб, актовий зал
вул.Леніна, 32, с.Комарів, Вінницький р-н, Вінницька обл., 23251","872","345","875","46","482","45","527","","0","482","45","527","7","520","22","15","12","2","31","32","25","381","29.10.12"
"050153","12","Вінницька область","сільський клуб, фойє
вул.Хмельницьке шосе, сільський клуб, с.Ксаверівка, Вінницький р-н, Вінницька обл., 23220","528","168","527","19","342","18","360","","0","342","18","360","10","350","19","5","27","2","13","2","10","272","29.10.12"
"050157","12","Вінницька область","будинок культури, фойє
вул.Піонерська, 2А, с.Лука-Мелешківська, Вінницький р-н, Вінницька обл., 23234","1792","805","1804","44","947","40","987","","0","947","40","987","21","966","99","35","36","6","32","28","69","661","29.10.12"
"050158","12","Вінницька область","школа, фойє
вул.Піонерська, 1, с.Лука-Мелешківська, Вінницький р-н, Вінницька обл., 23234","1512","716","1512","41","756","40","796","","0","756","40","796","16","780","102","22","24","3","23","9","57","540","29.10.12"
"050159","12","Вінницька область","школа, фойє
вул.Шевченка, 2, с.Прибузьке, Вінницький р-н, Вінницька обл., 23234","312","107","311","15","192","13","205","","0","192","13","205","6","199","12","5","0","3","8","10","9","152","29.10.12"
"050160","12","Вінницька область","адмінприміщення магазину, фойє
вул.Миру, 27, с.Тютьки, Вінницький р-н, Вінницька обл., 23234","496","160","494","29","312","24","336","","0","312","24","336","10","326","11","6","7","4","11","15","34","238","28.10.12"
"050163","12","Вінницька область","будинок культури, актова зала
пров.Незалежності, 5, с.Малі Крушлинці, Вінницький р-н, Вінницька обл., 23242","1304","465","1297","121","731","108","839","","0","731","108","839","20","819","46","11","8","6","64","11","34","639","29.10.12"
"050168","12","Вінницька область","будинок культури, актова зала
вул.Леніна, будинок культури, с.Оленівка, Вінницький р-н, Вінницька обл., 23246","520","194","511","53","280","46","326","","0","280","46","326","11","315","18","8","14","3","26","10","26","210","29.10.12"
"050169","12","Вінницька область","початкова школа, фойє
вул.9-Травня, початкова школа, с.Олександрівка, Вінницький р-н, Вінницька обл., 23246","328","128","329","25","177","23","200","","0","177","23","200","12","188","8","2","6","0","4","13","6","149","28.10.12"
"050170","12","Вінницька область","будинок культури, фойє
вул.Шевченка, 46А, с.Парпурівці, Вінницький р-н, Вінницька обл., 23208","392","125","388","22","246","21","267","","0","246","21","267","1","266","18","16","7","1","13","6","6","199","29.10.12"
"050171","12","Вінницька область","ФАП, оглядова
вул.Л.Українки, 24А, с.Майдан-Чапельський, Вінницький р-н, Вінницька обл., 23208","328","105","331","15","208","15","223","","0","208","15","223","1","222","30","4","6","2","9","4","8","159","29.10.12"
"050172","12","Вінницька область","школа, актовий зал
вул.Богуна, 67Б, с.Хижинці, Вінницький р-н, Вінницька обл., 23208","992","358","980","64","573","61","634","","0","573","61","634","14","620","51","6","17","1","25","12","28","480","29.10.12"
"050173","12","Вінницька область","сільський клуб, фойє
вул.Леніна, 68/1, с.Писарівка, Вінницький р-н, Вінницька обл., 23205","1232","437","1222","29","770","25","795","","0","770","25","795","22","773","53","29","24","5","41","46","46","529","29.10.12"
"050174","12","Вінницька область","сільський клуб, фойє
вул.Леніна, 65/1, с.Щітки, Вінницький р-н, Вінницька обл., 23205","976","349","959","53","576","51","627","","0","575","51","626","16","610","34","26","14","6","44","25","48","413","29.10.12"
"050175","12","Вінницька область","будинок культури, фойє
вул.Леніна, будинок культури, с.Побережне, Вінницький р-н, Вінницька обл., 23256","552","177","536","41","341","34","375","","0","341","34","375","19","356","16","11","4","1","15","8","28","273","29.10.12"
"050176","12","Вінницька область","сільський клуб, фойє
вул.Леніна, 22, с.Кордишівка, Вінницький р-н, Вінницька обл., 23256","264","49","268","18","200","15","215","","0","200","15","215","6","209","6","2","2","3","1","3","5","187","28.10.12"
"050177","12","Вінницька область","будинок культури, фойє
вул.Леніна, будинок культури, с.Пултівці, Вінницький р-н, Вінницька обл., 23262","648","261","637","24","366","21","387","","0","366","21","387","16","371","17","17","14","2","19","10","30","262","28.10.12"
"050178","12","Вінницька область","школа, спортзал
вул.Чкалова, школа, с.Красне, Вінницький р-н, Вінницька обл., 23262","424","128","418","36","260","36","296","","0","260","36","296","19","277","9","5","7","1","9","8","16","222","29.10.12"
"050179","12","Вінницька область","сільський клуб, фойє
вул.Леніна, сільський клуб, с.Лисянка, Вінницький р-н, Вінницька обл., 23262","328","96","317","26","208","24","232","","0","208","24","232","12","220","7","1","3","0","6","16","10","177","29.10.12"
"050180","12","Вінницька область","будинок культури, фойє
вул.Будьонного, будинок культури, с.Сокиринці, Вінницький р-н, Вінницька обл., 23207","960","350","958","59","555","55","610","","0","555","55","610","14","596","48","20","20","2","29","18","40","419","29.10.12"
"050181","12","Вінницька область","будинок культури, фойє
вул.Леніна, 5, с.Сосонка, Вінницький р-н, Вінницька обл., 23218","1824","689","1829","71","1077","58","1135","","0","1077","58","1135","21","1114","22","9","16","1","11","6","8","1041","29.10.12"
"050182","12","Вінницька область","будинок культури, фойє
вул.Леніна, 2, с.Стадниця, Вінницький р-н, Вінницька обл., 23241","1120","347","1120","49","724","49","773","","0","724","49","773","24","749","152","17","18","1","48","18","27","468","28.10.12"
"050183","12","Вінницька область","будинок культури, фойє
вул.Леніна, 1Б, с.Степанівка, Вінницький р-н, Вінницька обл., 23255","936","363","922","70","509","64","573","","0","509","64","573","13","560","17","14","25","5","19","7","42","431","29.10.12"
"050184","12","Вінницька область","будинок культури, актовий зал
вул.Леніна, 116А, с.Широка Гребля, Вінницький р-н, Вінницька обл., 23230","464","131","463","32","304","29","333","","0","304","29","333","11","322","16","17","7","6","10","39","17","210","29.10.12"
"051435","12","Вінницька область","ВАТ ""Інфракон"", хол
вул.Київська, 16, м.Вінниця, 21009","1856","711","1852","16","1132","13","1145","","0","1132","13","1145","19","1126","130","38","68","3","50","41","42","754","29.10.12"
"051436","12","Вінницька область","Вінницький кооперативний інститут, спортзал
вул.Фрунзе, 59, м.Вінниця, 21009","2368","855","2339","13","1501","10","1511","","0","1501","10","1511","29","1482","122","39","139","6","60","66","51","999","30.10.12"
"051437","12","Вінницька область","центральний міський стадіон, спортивна зала
вул.В.Винниченка, 13, м.Вінниця, 21009","2432","985","2299","26","1428","19","1447","","0","1428","19","1447","14","1433","135","39","92","3","46","47","62","1009","29.10.12"
"051438","12","Вінницька область","школа №8, 1-й поверх, спортзала
вул.В.Винниченка, 28, м.Вінниця, 21001","2136","746","2124","17","1377","13","1390","","0","1377","13","1390","26","1364","166","33","71","7","48","33","61","945","29.10.12"
"051439","12","Вінницька область","будинок офіцерів, хол
пл.Перемоги, 1, м.Вінниця, 21001","2184","841","2160","23","1323","20","1343","","0","1323","20","1343","18","1325","137","35","67","2","48","30","68","938","29.10.12"
"051440","12","Вінницька область","школа №31, 1-й поверх, ліве крило, хол
вул.П.Морозова, 13, м.Вінниця, 21022","2288","943","2285","27","1324","21","1345","","0","1324","21","1345","18","1327","148","37","49","4","81","20","87","901","29.10.12"
"051441","12","Вінницька область","школа №31, вестибюль
вул.П.Морозова, 13, м.Вінниця, 21022","2040","776","2013","31","1237","27","1264","","0","1237","27","1264","15","1249","168","42","64","6","39","46","74","810","29.10.12"
"051442","12","Вінницька область","Вінницьке міжрегіональне вище професійне училище №4, актова зала
вул.Червоноармійська, 5, м.Вінниця, 21009","1864","691","1806","25","1153","20","1173","","0","1153","20","1173","18","1155","117","34","53","4","41","34","67","805","29.10.12"
"051443","12","Вінницька область","школа №6, права частина вестибюлю
вул.Червоноармійська, 12, м.Вінниця, 21009","1032","362","1006","14","658","12","670","","0","658","12","670","13","657","85","26","35","1","35","22","25","428","29.10.12"
"051444","12","Вінницька область","школа №6, ліва частина вестибюлю
вул.Червоноармійська, 12, м.Вінниця, 21009","2040","839","2015","38","1167","34","1201","","0","1167","34","1201","12","1189","150","29","67","6","49","35","43","810","29.10.12"
"051445","12","Вінницька область","Вінницька музична школа №2, вестибюль
вул.Червоноармійська, 16, м.Вінниця, 21007","2432","938","2376","12","1482","12","1494","","0","1482","12","1494","22","1472","119","59","104","6","28","53","58","1045","29.10.12"
"051446","12","Вінницька область","міський палац мистецтв ""Зоря"", балетна зала №15
вул.Червоноармійська, 44, м.Вінниця, 21009","2424","929","2376","24","1476","19","1495","","0","1476","19","1495","22","1473","131","45","95","5","64","37","70","1026","29.10.12"
"051447","12","Вінницька область","школа №29, спортивна зала
вул.Київська, 149, м.Вінниця, 21022","2352","1231","2302","12","1112","9","1121","","0","1111","9","1120","29","1091","92","31","31","6","73","13","82","763","29.10.12"
"051448","12","Вінницька область","школа №29, їдальня
вул.Київська, 149, м.Вінниця, 21022","1960","941","1689","21","998","21","1019","","0","998","21","1019","15","1004","137","38","28","3","41","34","79","644","29.10.12"
"051449","12","Вінницька область","Вище професійне училище №7, клуб
вул.Київська, 118, м.Вінниця, 21022","2128","1040","2100","3","1085","3","1088","","0","1085","3","1088","17","1071","76","34","14","2","107","18","73","747","29.10.12"
"051450","12","Вінницька область","Вінницький торгово-економічний коледж КНТЕУ, хол
вул.Київська, 80, м.Вінниця, 21022","2496","1074","2303","26","1402","20","1422","","0","1402","20","1422","26","1396","148","56","53","6","62","34","99","938","29.10.12"
"051451","12","Вінницька область","школа №5, їдальня
вул.П. Морозова, 18, м.Вінниця, 21032","2336","907","2291","19","1416","13","1429","","0","1416","13","1429","26","1403","188","48","53","3","66","22","97","926","29.10.12"
"051452","12","Вінницька область","школа №30, 1-й поверх, праве крило, хол
вул.Червоноармійська, 62, м.Вінниця, 21007","2232","1040","2228","19","1176","16","1192","","0","1176","16","1192","16","1176","80","53","65","10","48","50","53","817","29.10.12"
"051453","12","Вінницька область","об’єднання ""Комплекс-1"", вестибюль
вул.Фрунзе, 4, м.Вінниця, 21007","1368","580","1358","10","780","8","788","","0","780","8","788","18","770","67","36","33","1","32","17","30","554","29.10.12"
"051454","12","Вінницька область","ВДПУ ім. М.Коцюбинського, гурт.2, кім.101
вул.50-річчя Перемоги, 22, м.Вінниця, 21009","1896","813","2034","6","1079","4","1083","","0","1079","4","1083","11","1072","73","45","47","3","22","25","107","750","29.10.12"
"051455","12","Вінницька область","ВДПУ ім.М.Коцюбинського, актова зала
вул.Острозького, 32, м.Вінниця, 21001","1560","650","1623","10","903","7","910","","0","903","7","910","30","880","73","34","39","2","29","16","92","595","29.10.12"
