"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Боровська
Наталя
Дмитрівна","Грабар
Іван
Григорович","Довбиш
Юрій
Григорович","Кізін
Сидор
Васильович","Козел
Василь
Васильович","Кропивницький
Володимир
Миколайович","Развадовський
Віктор
Йосипович","Самчик
Максим
Юрійович","Солоп
Михайло
Павлович","Дата підписання протоколу"
"180348","67","Житомирська область","школа, фойє
вул.Тімірязєва, 40, с.Садки, Житомирський р-н, Житомирська обл., 12455","784","382","771","37","369","33","402","","0","369","33","402","4","398","7","8","39","80","10","68","160","10","16","29.10.12"
"180349","67","Житомирська область","будинок культури, фойє
вул.Леніна, 2, с.Сінгури, Житомирський р-н, Житомирська обл., 12444","1480","620","1459","39","822","38","860","","0","822","38","860","28","832","13","5","23","225","11","75","455","13","12","28.10.12"
"180350","67","Житомирська область","будинок культури, фойє
вул.Партизанська, 8А, с.Пряжів, Житомирський р-н, Житомирська обл., 12445","952","412","938","14","526","14","540","","0","526","14","540","14","526","15","13","32","139","3","95","196","27","6","29.10.12"
"180351","67","Житомирська область","клуб, фойє
вул.Петровського, клуб, с.Двірець, Житомирський р-н, Житомирська обл., 12447","464","185","453","43","239","40","279","","0","239","40","279","2","277","5","1","11","69","7","38","142","1","3","28.10.12"
"180352","67","Житомирська область","фельдшерський пункт, к.1
вул.Калініна, 17Б, с.Волиця, Житомирський р-н, Житомирська обл., 12446","304","114","298","23","167","23","190","","0","167","23","190","2","188","1","1","4","29","1","16","129","4","3","29.10.12"
"180353","67","Житомирська область","будинок культури, зала
вул.Шевченка, 16Б, с.Станишівка, Житомирський р-н, Житомирська обл., 12430","1640","799","1627","24","819","22","841","","0","819","22","841","22","819","31","11","81","152","5","141","334","32","32","29.10.12"
"180354","67","Житомирська область","школа, спортивна зала
вул.Свідерської, 27, с.Слобода-Селець, Житомирський р-н, Житомирська обл., 10019","664","299","652","32","336","29","365","","0","336","29","365","19","346","8","4","29","51","2","134","99","12","7","29.10.12"
"180355","67","Житомирська область","школа, фойє
вул.Шевченка, 27, с.Тетерівка, Житомирський р-н, Житомирська обл., 12420","2160","1052","2130","28","1086","22","1108","","0","1086","22","1108","28","1080","35","69","14","321","19","296","279","34","13","29.10.12"
"180356","67","Житомирська область","будинок культури, танцювальна зала
вул.Шурупова, 2, с.Троянів, Житомирський р-н, Житомирська обл., 12460","1472","671","1450","34","767","34","801","","0","767","34","801","19","782","4","4","20","161","7","134","438","5","9","29.10.12"
"180357","67","Житомирська область","сільська рада, зала засідань
вул.Канарських, 32, с.Туровець, Житомирський р-н, Житомирська обл., 12435","280","119","276","31","131","30","161","","0","131","30","161","4","157","3","2","13","32","1","14","81","3","8","29.10.12"
"180358","67","Житомирська область","обласний наркологічний диспансер, лікувальний корпус, 1-й поверх, фойє
Обласний наркологічний диспансер, с.Зарічани, Житомирський р-н, Житомирська обл., 12440","104","49","80","0","55","0","55","","0","55","0","55","7","48","7","3","4","4","3","4","17","2","4","30.10.12"
"180359","67","Житомирська область","обласна психіатрична лікарня №1, адміністративний корпус, 4-й поверх, фойє
Бердичівське шосе, 3, с.Зарічани, Житомирський р-н, Житомирська обл., 12440","408","161","402","74","194","53","247","","0","194","53","247","27","220","23","18","37","19","13","24","50","18","18","29.10.12"
"180360","67","Житомирська область","районна лікарня, їдальня
Сквирське шосе, 3, с.Станишівка, Житомирський р-н, Житомирська обл., 12430","152","114","78","38","21","17","38","","0","21","17","38","2","36","0","0","1","10","0","9","14","0","2","29.10.12"
"180361","67","Житомирська область","дитяча лікарня, мала актова зала
Сквирське шосе, 6, с.Станишівка, Житомирський р-н, Житомирська обл., 12430","424","380","72","0","44","0","44","","0","44","0","44","2","42","6","3","8","6","1","5","10","1","2","29.10.12"
"180362","67","Житомирська область","обласний протитуберкульозний диспансер, 1-й корпус, 1-е відділення, фойє
Обласний протитуберкульозний диспансер, смт Гуйва, Житомирський р-н, Житомирська обл., 12442","504","315","197","26","163","26","189","","0","163","26","189","8","181","6","1","7","13","3","7","140","1","3","28.10.12"
"180519","67","Житомирська область","будинок культури, фойє
вул.Леніна, 38, смт Любар, Любарський р-н, Житомирська обл., 13100","1744","697","1717","21","1027","20","1047","","0","1027","20","1047","17","1030","10","5","14","13","361","75","523","2","27","28.10.12"
"180520","67","Житомирська область","клуб, фойє
вул.Леніна, 8, с.Березівка, Любарський р-н, Житомирська обл., 13152","688","253","678","31","406","29","435","","0","406","29","435","12","423","3","2","11","57","5","55","281","2","7","28.10.12"
"180521","67","Житомирська область","школа, зала
вул.Березівська, 14, с.Авратин, Любарський р-н, Житомирська обл., 13141","304","63","295","9","232","9","241","","0","232","9","241","6","235","3","1","2","36","3","14","168","1","7","28.10.12"
"180522","67","Житомирська область","будинок культури, каб.2
вул.Леніна, 36, с.Кириївка, Любарський р-н, Житомирська обл., 13141","448","119","442","26","303","26","329","","0","303","26","329","14","315","2","3","2","74","3","19","207","0","5","28.10.12"
"180523","67","Житомирська область","сільська рада, каб.1
вул.Леніна, 8, с.Бичева, Любарський р-н, Житомирська обл., 13153","448","141","438","52","258","49","307","","0","258","49","307","9","298","2","0","3","85","6","44","155","0","3","28.10.12"
"180524","67","Житомирська область","школа, зала
вул.Миру, 3, с.Рогізна, Любарський р-н, Житомирська обл., 13154","208","62","199","22","125","21","146","","0","125","21","146","2","144","0","0","0","66","2","10","65","0","1","28.10.12"
"180525","67","Житомирська область","сільська рада, обрядова кімната
вул.Радянська, 1, с.Велика Волиця, Любарський р-н, Житомирська обл., 13151","632","242","615","34","357","33","390","","0","357","33","390","13","377","1","2","3","106","3","31","226","3","2","28.10.12"
"180526","67","Житомирська область","будинок культури, зала
вул.Леніна, 2, с.Великий Браталів, Любарський р-н, Житомирська обл., 13113","192","67","183","20","107","18","125","","0","107","18","125","1","124","2","0","1","24","0","17","75","2","3","28.10.12"
"180527","67","Житомирська область","школа, зала
вул.Центральна, 2, с.Великі Деревичі, Любарський р-н, Житомирська обл., 13126","600","196","591","53","353","51","404","","0","353","51","404","5","399","4","0","5","64","4","26","294","0","2","28.10.12"
"180528","67","Житомирська область","сільська рада, каб.3
вул.Перемоги, 1, с.Вигнанка, Любарський р-н, Житомирська обл., 13145","472","165","469","34","277","30","307","","0","277","30","307","11","296","4","5","2","82","2","28","170","1","2","29.10.12"
"180529","67","Житомирська область","школа, зала
вул.Ворошилова, 1, с.Веселка, Любарський р-н, Житомирська обл., 13115","152","35","149","10","107","10","117","","0","107","10","117","3","114","1","0","3","28","0","8","74","0","0","28.10.12"
"180530","67","Житомирська область","клуб, зала
вул.Миру, 41, с.Михайлівка, Любарський р-н, Житомирська обл., 13115","120","28","115","8","84","8","92","","0","84","8","92","3","89","1","0","0","33","2","6","43","0","4","28.10.12"
"180531","67","Житомирська область","клуб, зала
вул.Ватутіна, 37, с.Филинці, Любарський р-н, Житомирська обл., 13116","240","60","233","25","156","24","180","","0","156","24","180","1","179","1","1","2","31","1","21","116","2","4","28.10.12"
"180532","67","Житомирська область","школа, зала
вул.Колгоспна, 4, с.Глезне, Любарський р-н, Житомирська обл., 13124","360","96","356","35","230","34","264","","0","230","34","264","5","259","5","1","1","67","0","30","152","0","3","29.10.12"
"180533","67","Житомирська область","клуб, зала
вул.Любарська, 6А, с.Мала Деревичка, Любарський р-н, Житомирська обл., 13125","352","87","342","21","244","21","265","","0","244","21","265","3","262","0","0","4","134","3","33","88","0","0","28.10.12"
"180534","67","Житомирська область","клуб, зала
вул.Радянська, 36А, с.Перетік, Любарський р-н, Житомирська обл., 13124","128","27","123","5","97","4","101","","0","97","4","101","2","99","0","1","0","38","1","7","50","0","2","28.10.12"
"180535","67","Житомирська область","сільська рада, обрядова кімната
вул.Комсомольська, 1, с.Гізівщина, Любарський р-н, Житомирська обл., 13130","232","61","230","11","160","11","171","","0","160","11","171","2","169","4","0","3","21","1","10","126","0","4","28.10.12"
"180536","67","Житомирська область","клуб, зала
вул.Леніна, 11, с.Житинці, Любарський р-н, Житомирська обл., 13130","200","64","194","2","134","2","136","","0","134","2","136","2","134","1","0","0","34","0","9","85","2","3","28.10.12"
"180537","67","Житомирська область","клуб, зала
вул.Радянська, 33, с.Демківці, Любарський р-н, Житомирська обл., 13130","224","71","222","3","151","2","153","","0","151","2","153","4","149","0","2","4","13","1","3","123","1","2","28.10.12"
"180538","67","Житомирська область","будинок культури, зала
вул.Перемоги, 41, с.Горопаї, Любарський р-н, Житомирська обл., 13111","400","122","396","18","261","17","278","","0","261","17","278","8","270","4","0","74","3","2","122","64","0","1","29.10.12"
"180539","67","Житомирська область","гімназія №1, зала
вул.Леніна, 51, смт Любар, Любарський р-н, Житомирська обл., 13100","1232","508","1206","22","705","19","724","","0","705","19","724","13","711","5","5","20","255","9","68","329","1","19","29.10.12"
"180540","67","Житомирська область","сільська рада, обрядова кімната
вул.Радянська, 20, с.Липне, Любарський р-н, Житомирська обл., 13114","760","287","749","29","448","25","473","","0","448","25","473","7","466","1","1","3","75","4","33","340","4","5","28.10.12"
"180541","67","Житомирська область","клуб, зала
вул.Лисичкіна, 1, с.Кутище, Любарський р-н, Житомирська обл., 13114","208","60","196","11","137","11","148","","0","137","11","148","2","146","2","0","1","60","2","7","72","0","2","28.10.12"
"180542","67","Житомирська область","сільська рада, каб.2
вул.Шкільна, 11, с.Малий Браталів, Любарський р-н, Житомирська обл., 13142","648","134","645","43","471","43","514","","0","471","43","514","0","514","6","4","9","130","4","27","329","1","4","28.10.12"
"180543","67","Житомирська область","школа-сад, зала
вул.Центральна, 25, с.Гринівці, Любарський р-н, Житомирська обл., 13143","352","93","349","31","231","28","259","","0","231","28","259","9","250","3","1","4","87","2","25","125","0","3","28.10.12"
"180544","67","Житомирська область","будинок культури, зала
вул.40-річчя Перемоги, 7, с.Мотовилівка, Любарський р-н, Житомирська обл., 13150","672","236","664","56","383","53","436","","0","383","53","436","6","430","2","3","2","83","5","68","262","0","5","28.10.12"
"180545","67","Житомирська область","школа, зала
вул.Шкільна, 20, с.Семенівка, Любарський р-н, Житомирська обл., 13150","168","37","170","3","128","3","131","","0","128","3","131","4","127","1","2","0","36","0","15","73","0","0","28.10.12"
"180546","67","Житомирська область","сільська рада, каб.1
вул.Гагаріна, 1, с.Меленці, Любарський р-н, Житомирська обл., 13112","248","63","244","26","164","21","185","","0","164","21","185","4","181","1","4","2","23","0","20","127","0","4","28.10.12"
"180547","67","Житомирська область","клуб, зала
вул.Комсомольська, 3, с.Виноградівка, Любарський р-н, Житомирська обл., 13112","112","33","107","14","66","13","79","","0","66","13","79","0","79","0","0","1","19","0","6","52","0","1","28.10.12"
"180548","67","Житомирська область","сільська рада, каб.4
вул.Леніна, 32, с.Нова Чортория, Любарський р-н, Житомирська обл., 13120","1016","351","989","59","611","54","665","","0","611","54","665","10","655","6","5","7","215","9","28","361","3","21","29.10.12"
"180549","67","Житомирська область","будинок культури, каб.5
вул.Леніна, 75А, с.Стара Чортория, Любарський р-н, Житомирська обл., 13122","1072","340","1046","78","658","74","732","","0","658","74","732","17","715","4","1","8","216","5","67","400","0","14","28.10.12"
"180550","67","Житомирська область","школа, зала
вул.Леніна, 80, с.Борушківці, Любарський р-н, Житомирська обл., 13123","472","140","462","42","293","39","332","","0","293","39","332","3","329","0","4","1","89","3","34","195","1","2","28.10.12"
"180551","67","Житомирська область","школа, каб.4
вул.Леніна, 52, с.Стрижівка, Любарський р-н, Житомирська обл., 13131","1208","520","1161","40","654","34","688","","0","654","34","688","13","675","7","3","10","302","40","8","299","2","4","29.10.12"
"180552","67","Житомирська область","Стрижівський будинок культури, зала
вул.Леніна, 54, с.Стрижівка, Любарський р-н, Житомирська обл., 13131","360","145","353","15","200","15","215","","0","200","15","215","3","212","0","2","4","83","3","16","96","3","5","28.10.12"
"180553","67","Житомирська область","школа мистецтв, зала
вул.Пушкіна, 6, смт Любар, Любарський р-н, Житомирська обл., 13100","1256","540","1237","15","701","15","716","","0","701","15","716","37","679","6","3","9","261","14","54","312","5","15","29.10.12"
"180554","67","Житомирська область","сільська рада, каб.3
вул.Перемоги, 4, с.Пединка, Любарський р-н, Житомирська обл., 13144","480","146","472","32","308","26","334","","0","308","26","334","6","328","4","0","2","60","3","83","169","2","5","29.10.12"
"180555","67","Житомирська область","фельдшерсько-акушерський пункт, каб.2
вул.Садова, 1, с.Провалівка, Любарський р-н, Житомирська обл., 13144","288","95","287","24","174","19","193","","0","174","19","193","7","186","0","1","5","48","1","28","98","0","5","28.10.12"
"180556","67","Житомирська область","сільська рада, обрядова кімната
вул.Жовтнева, 1, с.Привітів, Любарський р-н, Житомирська обл., 13110","784","271","771","62","455","58","513","","0","455","58","513","14","499","3","1","3","96","2","27","360","5","2","28.10.12"
"180557","67","Житомирська область","сільська рада, каб.3
вул.Шкільна, 1, с.Панасівка, Любарський р-н, Житомирська обл., 13140","240","61","241","18","163","16","179","","0","163","16","179","2","177","3","0","2","35","0","16","113","2","6","28.10.12"
"180558","67","Житомирська область","школа, зала
вул.Шкільна, 2, с.Коваленки, Любарський р-н, Житомирська обл., 13140","216","57","209","20","139","20","159","","0","139","20","159","3","156","0","3","1","37","2","10","101","1","1","28.10.12"
"180559","67","Житомирська область","будинок культури, зала
вул.Центральна, 3, с.Коростки, Любарський р-н, Житомирська обл., 13121","448","138","439","59","255","55","310","","0","255","55","310","4","306","2","0","2","55","1","46","193","3","4","28.10.12"
"180560","67","Житомирська область","школа, зала
вул.Шкільна, 11, с.Юрівка, Любарський р-н, Житомирська обл., 13106","976","389","958","29","564","23","587","","0","564","23","587","17","570","12","2","10","150","6","28","344","6","12","29.10.12"
"180561","67","Житомирська область","школа №2, зала
вул.Гагаріна, 27, с.Новий Любар, Любарський р-н, Житомирська обл., 13105","736","296","725","20","422","18","440","","0","422","18","440","12","428","3","1","5","176","5","26","209","2","1","29.10.12"
"180562","67","Житомирська область","центральна районна лікарня, актова зала
вул.Медична, 5, с.Старий Любар, Любарський р-н, Житомирська обл., 13133","104","56","49","5","43","5","48","","0","43","5","48","0","48","2","0","1","12","0","1","29","0","3","28.10.12"
"180970","67","Житомирська область","будинок культури, глядацька зала
вул.Леніна, 6, смт Биківка, Романівський р-н, Житомирська обл., 13012","1464","547","1452","63","860","57","917","","0","860","57","917","3","914","4","2","7","45","1","79","770","1","5","29.10.12"
"180971","67","Житомирська область","школа, спортивна зала
вул.Шкільна, 1, с.Товща, Романівський р-н, Житомирська обл., 13289","224","56","221","7","161","7","168","","0","161","7","168","2","166","1","0","3","21","0","22","113","1","5","28.10.12"
"180972","67","Житомирська область","будинок культури, фойє
вул.Фрунзе, 1, смт Романів, Романівський р-н, Житомирська обл., 13001","1664","712","1639","38","919","33","952","","0","919","33","952","11","941","2","3","10","219","3","19","676","3","6","29.10.12"
"180973","67","Житомирська область","ліцей, вестибюль
вул.Фрунзе, 13, смт Романів, Романівський р-н, Житомирська обл., 13001","1624","685","1605","53","893","46","939","","0","893","46","939","14","925","5","8","11","177","1","6","709","2","6","29.10.12"
"180974","67","Житомирська область","гімназія, спортивна зала
вул.50-річчя Жовтня, 5, смт Романів, Романівський р-н, Житомирська обл., 13001","1808","760","1773","56","997","51","1048","","0","997","51","1048","11","1037","3","3","16","223","4","31","738","1","18","28.10.12"
"180975","67","Житомирська область","ТОВ ""Вівад-09"", контора, к.2
вул.Жовтнева, 97, смт Романів, Романівський р-н, Житомирська обл., 13001","1048","448","1030","35","571","29","600","","0","571","29","600","11","589","1","0","9","185","2","7","372","4","9","28.10.12"
"180976","67","Житомирська область","гімназія, актова зала
вул.Леніна, 40, смт Миропіль, Романівський р-н, Житомирська обл., 13033","856","387","838","34","437","32","469","","0","437","32","469","14","455","1","1","7","32","0","22","382","3","7","28.10.12"
"180977","67","Житомирська область","селищна рада, зала засідань
вул.Леніна, 38, смт Миропіль, Романівський р-н, Житомирська обл., 13033","1256","556","1230","25","680","20","700","","0","680","20","700","11","689","1","2","13","86","2","30","543","3","9","29.10.12"
"180978","67","Житомирська область","школа №3, актова зала
вул.А.Кирилюка, 87, смт Миропіль, Романівський р-н, Житомирська обл., 13033","624","272","608","41","317","35","352","","0","317","35","352","7","345","4","0","3","53","1","21","258","1","4","29.10.12"
"180979","67","Житомирська область","школа №2, спортивна зала
вул.Перемоги, 21, смт Миропіль, Романівський р-н, Житомирська обл., 13033","1160","546","1150","45","577","37","614","","0","577","37","614","14","600","2","2","17","58","1","25","490","3","2","29.10.12"
"180980","67","Житомирська область","школа, спортивна зала
вул.Леніна, 3, с.Дертка, Романівський р-н, Житомирська обл., 13033","248","103","238","12","135","10","145","","0","135","10","145","2","143","0","0","0","27","1","3","107","2","3","28.10.12"
"180981","67","Житомирська область","сільська рада, вестибюль
вул.Чапаєва, 69, с.Булдичів, Романівський р-н, Житомирська обл., 13040","288","76","287","27","188","24","212","","0","188","24","212","2","210","1","0","2","38","1","9","157","0","2","28.10.12"
"180982","67","Житомирська область","сільська рада, зала засідань
вул.Колгоспна, 3, с.Велика Козара, Романівський р-н, Житомирська обл., 13289","272","75","270","25","172","25","197","","0","172","25","197","1","196","1","1","1","39","2","15","135","1","1","28.10.12"
"180983","67","Житомирська область","дитсадок, актова зала
вул.Центральна, 1Е, с.Вільха, Романівський р-н, Житомирська обл., 13030","560","159","554","45","359","42","401","","0","359","42","401","7","394","1","3","7","24","0","24","334","1","0","28.10.12"
"180984","67","Житомирська область","сільська рада, кімната депутата
вул.Любарська, 31, с.Врублівка, Романівський р-н, Житомирська обл., 13042","784","327","765","54","413","44","457","","0","413","44","457","8","449","0","1","4","74","1","17","346","1","5","29.10.12"
"180985","67","Житомирська область","клуб, фойє
вул.Центральна, 12, с.Корчівка, Романівський р-н, Житомирська обл., 13001","288","92","287","15","187","9","196","","0","187","9","196","1","195","1","0","9","32","0","9","141","0","3","29.10.12"
"180986","67","Житомирська область","сільська рада, зала засідань
вул.Леніна, 6, с.Годиха, Романівський р-н, Житомирська обл., 13016","272","71","267","47","162","39","201","","0","162","39","201","1","200","0","0","1","33","0","38","125","0","3","28.10.12"
"180987","67","Житомирська область","клуб, глядацька зала
вул.Нова, 1, с.Межирічка, Романівський р-н, Житомирська обл., 13016","144","35","139","22","90","19","109","","0","90","19","109","1","108","0","1","0","34","3","2","68","0","0","28.10.12"
"180988","67","Житомирська область","будинок культури, глядацька зала
вул.Котовського, 21В, с.Гордіївка, Романівський р-н, Житомирська обл., 13047","456","151","449","25","281","24","305","","0","281","24","305","6","299","1","1","1","34","1","27","232","0","2","29.10.12"
"180989","67","Житомирська область","школа, актова зала
вул.Леніна, 40Б, с.Камінь, Романівський р-н, Житомирська обл., 13040","560","151","557","40","370","39","409","","0","370","39","409","15","394","3","0","3","68","3","14","298","4","1","28.10.12"
"180990","67","Житомирська область","клуб, фойє
вул.Панаса Мирного, 1, с.Химрич, Романівський р-н, Житомирська обл., 13045","160","61","151","10","89","10","99","","0","89","10","99","2","97","0","0","1","15","0","12","69","0","0","28.10.12"
"180991","67","Житомирська область","клуб, глядацька зала
вул.Леніна, 61А, с.Карвинівка, Романівський р-н, Житомирська обл., 13021","640","244","620","35","366","30","396","","0","366","30","396","9","387","0","0","4","65","3","15","294","2","4","29.10.12"
"180992","67","Житомирська область","фельдшерський пункт, приймальна
вул.Леніна, 27, с.Бартуха, Романівський р-н, Житомирська обл., 13021","96","20","98","13","65","11","76","","0","65","11","76","3","73","0","1","2","14","0","2","54","0","0","28.10.12"
"180993","67","Житомирська область","бібліотека, читальна зала
вул.Шкільна, 5, с.Грем’яче, Романівський р-н, Житомирська обл., 13021","184","61","177","17","106","17","123","","0","106","17","123","2","121","2","2","3","14","1","3","96","0","0","28.10.12"
"180994","67","Житомирська область","клуб, глядацька зала
вул.Леніна, 10А, с.Станіславівка, Романівський р-н, Житомирська обл., 13288","144","28","141","9","108","8","116","","0","108","8","116","2","114","1","0","1","36","1","7","67","0","1","28.10.12"
"180995","67","Житомирська область","сільська рада, зала засідань
вул.Перемоги, 2, с.Колодяжне, Романівський р-н, Житомирська обл., 13088","456","171","443","45","242","43","285","","0","242","43","285","2","283","1","2","3","37","3","39","194","2","2","28.10.12"
"180996","67","Житомирська область","сільська рада, зала засідань
вул.Центральна, 15, с.Мала Козара, Романівський р-н, Житомирська обл., 13031","224","77","212","17","134","13","147","","0","134","13","147","2","145","0","1","0","8","1","7","127","0","1","28.10.12"
"180997","67","Житомирська область","клуб, фойє
вул.Романівська, 1, с.Пилипо-Кошара, Романівський р-н, Житомирська обл., 13031","216","74","211","21","123","19","142","","0","123","19","142","0","142","0","0","2","23","0","6","107","2","2","29.10.12"
