"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Івчук
Станіслав
Станіславович","Іскра
Микола
Миколайович","Карпович
Віктор
Васильович","Кужко
Михайло
Михайлович","Невмержицький
Анатолій
Васильович","Озерчук
Андрій
Миколайович","Пехов
Володимир
Анатолійович","Тимошенко
Микола
Михайлович","Чорний
Валерій
Іванович","Дата підписання протоколу"
"180760","64","Житомирська область","будинок культури, актова зала
вул.Центральна, 3, с.Левковичі, Овруцький р-н, Житомирська обл., 11134","624","222","604","33","372","30","402","","0","372","30","402","8","394","1","1","1","0","220","30","115","26","0","29.10.12"
"180761","64","Житомирська область","клуб, актова зала
вул.Центральна, 8, с.Острови, Овруцький р-н, Житомирська обл., 11108","88","21","86","14","53","14","67","","0","53","14","67","2","65","0","0","0","0","9","7","40","9","0","29.10.12"
"180762","64","Житомирська область","будинок культури, актова зала
вул.Центральна, 2Б, с.Норинськ, Овруцький р-н, Житомирська обл., 11154","1064","415","1056","55","599","50","649","","0","599","50","649","25","624","4","10","2","2","18","143","152","289","4","29.10.12"
"180763","64","Житомирська область","сільська рада, зала засідань
вул.Центральна, 1, с.Усове, Овруцький р-н, Житомирська обл., 11126","112","24","104","0","88","0","88","","0","88","0","88","2","86","0","0","0","0","0","15","40","31","0","29.10.12"
"180764","64","Житомирська область","будинок для голосування, к.2
вул.Молодіжна, 17, с.Переброди, Овруцький р-н, Житомирська обл., 11126","80","31","79","3","46","3","49","","0","46","3","49","1","48","0","0","1","0","1","10","30","6","0","29.10.12"
"180765","64","Житомирська область","клуб, актова зала
вул.Молодіжна, 17, с.Кованка, Овруцький р-н, Житомирська обл., 11126","152","36","146","5","111","5","116","","0","111","5","116","5","111","1","0","0","0","4","44","51","11","0","29.10.12"
"180766","64","Житомирська область","клуб, актова зала
вул.Миру, 54, с.Підруддя, Овруцький р-н, Житомирська обл., 11116","656","264","626","10","382","10","392","","0","382","10","392","13","379","0","5","4","6","34","90","122","117","1","30.10.12"
"180767","64","Житомирська область","клуб, актова зала
вул.Колгоспна, 2, с.Яцковичі, Овруцький р-н, Житомирська обл., 11116","128","30","138","5","93","5","98","","0","93","5","98","2","96","0","3","1","0","3","9","31","49","0","29.10.12"
"180768","64","Житомирська область","клуб, актова зала
вул.Польова, 12, с.Колосівка, Овруцький р-н, Житомирська обл., 11116","96","21","93","6","69","6","75","","0","69","6","75","4","71","1","2","1","0","5","15","26","21","0","29.10.12"
"180769","64","Житомирська область","будинок культури, актова зала
вул.Центральна, 13Б, с.Нові Велідники, Овруцький р-н, Житомирська обл., 11143","544","157","540","32","355","32","387","","0","355","32","387","12","375","6","3","6","2","16","86","133","120","3","29.10.12"
"180770","64","Житомирська область","будинок культури, актова зала
вул.Центральна, 136Б, с.Красилівка, Овруцький р-н, Житомирська обл., 11146","600","159","591","54","387","54","441","","0","387","54","441","6","435","1","6","5","2","17","89","111","202","2","29.10.12"
"180771","64","Житомирська область","школа, спортивна зала
вул.Садова, 7Б, с.Прибитки, Овруцький р-н, Житомирська обл., 11126","392","83","387","57","259","50","309","","0","259","50","309","6","303","1","1","1","1","6","74","130","89","0","29.10.12"
"180772","64","Житомирська область","клуб, актова зала
вул.Молодіжна, 13А, с.Старі Велідники, Овруцький р-н, Житомирська обл., 11143","280","54","273","19","208","18","226","","0","208","18","226","2","224","3","3","0","0","11","55","88","64","0","29.10.12"
"180773","64","Житомирська область","клуб, актова зала
вул.Молодіжна, 33Б, с.Сорокопень, Овруцький р-н, Житомирська обл., 11143","176","43","168","15","119","14","133","","0","119","14","133","2","131","2","0","2","1","6","10","73","37","0","29.10.12"
"180774","64","Житомирська область","клуб, актова зала
вул.Шляхова, 9, с.Іллімка, Овруцький р-н, Житомирська обл., 11143","96","23","98","5","68","5","73","","0","68","5","73","0","73","1","0","1","0","0","10","45","16","0","29.10.12"
"180775","64","Житомирська область","клуб, актова зала
вул.8 Березня, 13А, с.Чабан, Овруцький р-н, Житомирська обл., 11146","72","12","72","0","60","0","60","","0","60","0","60","3","57","0","0","1","0","2","7","25","22","0","29.10.12"
"180776","64","Житомирська область","клуб, актова зала
вул.Шкільна, 22А, с.Великі Мошки, Овруцький р-н, Житомирська обл., 11160","152","40","143","14","98","14","112","","0","98","14","112","4","108","0","1","2","0","3","40","54","8","0","29.10.12"
"180777","64","Житомирська область","клуб, актова зала
вул.Паризької комуни, 16, с.Гуничі, Овруцький р-н, Житомирська обл., 11160","296","117","179","6","173","6","179","","0","173","6","179","6","173","1","4","3","1","8","45","65","46","0","29.10.12"
"180778","64","Житомирська область","будинок культури, актова зала
вул.1-го Травня, 40, с.Раківщина, Овруцький р-н, Житомирська обл., 11160","328","113","318","18","198","17","215","","0","198","17","215","6","209","3","0","2","2","7","66","44","85","0","29.10.12"
"180779","64","Житомирська область","клуб, актова зала
вул.Н.Репкіна, 6Б, с.Гладковичі, Овруцький р-н, Житомирська обл., 11115","584","178","573","18","391","15","406","","0","391","15","406","6","400","3","1","2","1","13","22","68","290","0","29.10.12"
"180780","64","Житомирська область","школа, їдальня
вул.Київська, 80, с.Гладковичі, Овруцький р-н, Житомирська обл., 11115","616","236","604","11","371","9","380","","0","371","9","380","10","370","0","5","3","0","5","70","29","258","0","29.10.12"
"180781","64","Житомирська область","бібліотека, к.1
вул.Правди, 20, с.Радчиці, Овруцький р-н, Житомирська обл., 11106","464","223","449","5","236","5","241","","0","236","5","241","7","234","2","6","3","1","13","31","69","108","1","29.10.12"
"180782","64","Житомирська область","клуб, актова зала
вул.Сташківська, 15А, с.Сташки, Овруцький р-н, Житомирська обл., 11103","472","219","462","8","245","8","253","","0","245","8","253","7","246","2","9","4","2","10","23","108","85","3","29.10.12"
"180783","64","Житомирська область","будинок культури, актова зала
вул.М.Ващука, 47Г, с.Велика Хайча, Овруцький р-н, Житомирська обл., 11150","640","200","626","31","411","29","440","","0","411","29","440","11","429","6","11","5","4","54","73","124","148","4","29.10.12"
"180784","64","Житомирська область","фельдшерський пункт, передпокій
вул.Церковна, 22, с.Великий Кобилин, Овруцький р-н, Житомирська обл., 11150","304","140","309","15","155","9","164","","0","155","9","164","4","160","1","1","3","2","8","29","60","54","2","29.10.12"
"180785","64","Житомирська область","фельдшерський пункт, передпокій
вул.Центральна, 47А, с.Мала Хайча, Овруцький р-н, Житомирська обл., 11150","248","88","246","9","151","9","160","","0","151","9","160","1","159","0","0","2","1","4","45","28","79","0","29.10.12"
"180786","64","Житомирська область","будинок культури, актова зала
вул.Паркова, 2, с.Слобода, Овруцький р-н, Житомирська обл., 11108","184","51","168","7","126","7","133","","0","126","7","133","1","132","2","0","1","1","6","24","54","44","0","29.10.12"
"180787","64","Житомирська область","клуб, актова зала
вул.Ясеньова, 24, с.Ясенець, Овруцький р-н, Житомирська обл., 11108","128","36","121","10","82","10","92","","0","82","10","92","0","92","1","1","0","0","7","17","50","15","1","29.10.12"
"180788","64","Житомирська область","клуб, актова зала
вул.Зелена, 15А, с.Нижня Рудня, Овруцький р-н, Житомирська обл., 11108","80","34","72","4","44","2","46","","0","44","2","46","0","46","0","1","1","0","1","6","24","13","0","29.10.12"
"180789","64","Житомирська область","будинок культури, актова зала
вул.Центральна, 5, с.Велика Фосня, Овруцький р-н, Житомирська обл., 11161","888","379","877","85","428","81","509","","0","428","81","509","21","488","3","13","9","5","34","117","143","163","1","29.10.12"
"180790","64","Житомирська область","сільська рада, депутатська кімната
вул.Лісова, 35, с.Личмани, Овруцький р-н, Житомирська обл., 11110","56","20","53","7","29","7","36","","0","29","7","36","4","32","0","0","1","0","3","4","15","9","0","29.10.12"
"180791","64","Житомирська область","школа, фойє
вул.Шкільна, 3, с.Хлупляни, Овруцький р-н, Житомирська обл., 11131","272","67","269","30","178","27","205","","0","178","27","205","5","200","0","2","0","1","12","28","75","82","0","29.10.12"
"180792","64","Житомирська область","фельдшерський пункт, передпокій
вул.Лесі Українки, 50, с.Оленичі, Овруцький р-н, Житомирська обл., 11131","232","71","227","12","150","11","161","","0","150","11","161","3","158","0","0","3","1","5","29","40","80","0","29.10.12"
"180793","64","Житомирська область","бібліотека, к.2
вул.І.Франка, 31, с.Стугівщина, Овруцький р-н, Житомирська обл., 11131","144","32","134","23","90","22","112","","0","90","22","112","0","112","0","1","1","2","5","20","50","33","0","29.10.12"
"180794","64","Житомирська область","будинок культури, актова зала
вул.Центральна, 28, с.Черевки, Овруцький р-н, Житомирська обл., 11141","288","48","286","20","222","18","240","","0","222","18","240","0","240","2","2","1","1","12","51","130","41","0","29.10.12"
"180795","64","Житомирська область","школа, фойє
вул.Центральна, 32, с.Білка, Овруцький р-н, Житомирська обл., 11141","312","71","313","33","214","27","241","","0","214","27","241","5","236","0","5","0","2","14","52","69","91","3","29.10.12"
"180796","64","Житомирська область","будинок культури, актова зала
вул.Житомирська, 14, с.Велика Чернігівка, Овруцький р-н, Житомирська обл., 11117","512","223","501","22","267","22","289","","0","267","22","289","10","279","4","0","3","2","19","60","123","68","0","29.10.12"
"180797","64","Житомирська область","клуб, актова зала
вул.Центральна, 26, с.Богданівка, Овруцький р-н, Житомирська обл., 11117","144","39","140","10","96","9","105","","0","96","9","105","5","100","0","3","0","0","8","32","42","15","0","29.10.12"
"180798","64","Житомирська область","клуб, актова зала
вул.Центральна, 48, с.Мамеч, Овруцький р-н, Житомирська обл., 11117","64","25","63","5","35","4","39","","0","35","4","39","2","37","0","0","1","1","5","5","10","15","0","29.10.12"
"180799","64","Житомирська область","музична школа, актова зала
вул.Сагалевича, 8/10, смт Першотравневе, Овруцький р-н, Житомирська обл., 11114","2064","1039","2036","29","1000","25","1025","","0","1000","25","1025","22","1003","8","14","9","10","48","198","176","536","4","29.10.12"
"180800","64","Житомирська область","школа, актова зала
вул.Шкільна, 10, с.Бондарі, Овруцький р-н, Житомирська обл., 11152","680","304","686","14","366","10","376","","0","366","10","376","14","362","3","4","5","5","30","65","121","128","1","29.10.12"
"180801","64","Житомирська область","клуб, актова зала
вул.Приозерна, 5А, с.Красносілка, Овруцький р-н, Житомирська обл., 11152","280","114","269","6","160","6","166","","0","160","6","166","3","163","2","9","0","0","36","11","64","37","4","29.10.12"
"180802","64","Житомирська область","клуб, актова зала
вул.Центральна, 57, с.Бондарівка, Овруцький р-н, Житомирська обл., 11152","144","35","138","4","105","4","109","","0","105","4","109","6","103","0","2","5","2","8","12","45","28","1","29.10.12"
"180803","64","Житомирська область","районна лікарня, їдальня
вул.Радянська, 106, м.Овруч, Овруцький р-н, Житомирська обл., 11104","216","160","59","21","37","19","56","","0","37","19","56","3","53","1","2","1","2","5","9","17","16","0","29.10.12"
"180804","64","Житомирська область","денний стаціонар, холл
вул.Госпітальна, 47, с.Словечне, Овруцький р-н, Житомирська обл., 11122","72","42","30","0","30","0","30","","0","30","0","30","0","30","0","1","0","0","5","3","13","8","0","28.10.12"
"180805","64","Житомирська область","Житомирська обласна психіатрична лікарня №2 Житомирської облас, адміністративний корпус
вул.Молодіжна, 1, с.Прилуки, Овруцький р-н, Житомирська обл., 11110","256","186","174","0","70","0","70","","0","70","0","70","7","63","1","7","3","9","6","4","20","12","1","29.10.12"
"180806","64","Житомирська область","селищна рада, зала засідань
вул.Жовтнева, 2, смт Бучмани, Олевський р-н, Житомирська обл., 11056","640","255","630","19","367","18","385","","0","367","18","385","7","378","11","5","3","1","7","154","152","43","2","29.10.12"
"180807","64","Житомирська область","школа, фойє
вул.Червоноармійська, 4, смт Дружба, Олевський р-н, Житомирська обл., 11024","432","197","416","0","235","0","235","","0","235","0","235","11","224","2","2","1","0","6","73","76","63","1","29.10.12"
"180808","64","Житомирська область","фельдшерсько-акушерський пункт, фойє
пл.Перемоги, 16, смт Діброва, Олевський р-н, Житомирська обл., 11024","56","8","58","0","48","0","48","","0","48","0","48","2","46","0","0","1","0","0","19","17","8","1","29.10.12"
"180809","64","Житомирська область","школа, фойє
вул.Заводська, 1, смт Новоозерянка, Олевський р-н, Житомирська обл., 11021","456","188","444","3","266","2","268","","0","266","2","268","2","266","6","1","4","1","2","80","99","71","2","29.10.12"
"180810","64","Житомирська область","клуб, кінозала
вул.Центральна, 7, с.Озеряни, Олевський р-н, Житомирська обл., 11021","208","42","201","16","150","16","166","","0","150","16","166","4","162","4","7","3","1","1","40","56","50","0","29.10.12"
"180811","64","Житомирська область","клуб, кінозала
вул.Миру, 1, с.Рудня-Озерянська, Олевський р-н, Житомирська обл., 11021","144","23","140","3","118","3","121","","0","118","3","121","10","111","0","0","0","0","0","32","61","18","0","29.10.12"
"180812","64","Житомирська область","селищна рада, зала засідань
вул.Привокзальна, 39, смт Нові Білокоровичі, Олевський р-н, Житомирська обл., 11051","1080","566","1050","17","497","17","514","","0","497","17","514","21","493","12","11","8","7","17","162","136","139","1","29.10.12"
"180813","64","Житомирська область","будинок культури, актова зала
вул.Фрунзе, 8, смт Нові Білокоровичі, Олевський р-н, Житомирська обл., 11052","1288","691","1280","8","594","3","597","","0","594","3","597","20","577","24","5","2","1","17","244","142","137","5","29.10.12"
"180814","64","Житомирська область","клуб, кінозала
вул.Леніна, 32, с.Стовпинка, Олевський р-н, Житомирська обл., 11041","456","146","450","20","290","20","310","","0","290","20","310","11","299","1","4","5","2","6","85","126","63","7","29.10.12"
"180815","64","Житомирська область","клуб, кінозала
вул.Леніна, 7, с.Держанівка, Олевський р-н, Житомирська обл., 11041","32","5","32","0","27","0","27","","0","27","0","27","1","26","0","0","0","0","0","3","17","6","0","31.10.12"
"180816","64","Житомирська область","будинок культури, танцювальна зала
вул.Житомирська, 42, с.Зубковичі, Олевський р-н, Житомирська обл., 11043","1104","443","1097","14","647","14","661","","0","647","14","661","15","646","9","13","20","12","11","105","238","208","30","29.10.12"
"180817","64","Житомирська область","будинок культури, танцювальна зала
вул.Леніна, 12, с.Замисловичі, Олевський р-н, Житомирська обл., 11020","568","214","553","7","347","7","354","","0","347","7","354","12","342","5","6","5","3","8","47","192","73","3","29.10.12"
"180818","64","Житомирська область","Замисловицьке лісництво, зала засідань
вул.Ватутіна, 19, с.Рудня-Замисловицька, Олевський р-н, Житомирська обл., 11020","56","8","57","1","47","1","48","","0","47","1","48","0","48","0","0","0","0","1","7","38","2","0","29.10.12"
"180819","64","Житомирська область","клуб, танцювальна зала
вул.Партизанська, 36, с.Устинівка, Олевський р-н, Житомирська обл., 11020","88","25","84","2","61","2","63","","0","61","2","63","0","63","0","2","0","0","0","10","44","7","0","29.10.12"
"180820","64","Житомирська область","адмінбудівля лісгоспу, зала засідань
вул.Центральна, 2, с.Шебедиха, Олевський р-н, Житомирська обл., 11020","48","15","42","1","32","1","33","","0","32","1","33","2","31","0","0","1","0","0","8","19","3","0","29.10.12"
"180821","64","Житомирська область","будинок культури, танцювальна зала
вул.Центральна, 92, с.Кам’янка, Олевський р-н, Житомирська обл., 11033","1064","386","1038","16","662","16","678","","0","662","16","678","18","660","11","20","10","5","6","86","297","220","5","29.10.12"
"180822","64","Житомирська область","фельдшерсько-акушерський пункт, процедурний кабінет
вул.Лісова, 9, с.Лісове, Олевський р-н, Житомирська обл., 11033","56","10","53","5","41","5","46","","0","41","5","46","0","46","0","0","2","1","2","6","23","12","0","29.10.12"
"180823","64","Житомирська область","сільська рада, зала засідань
вул.Малікова, 48А, с.Хочине, Олевський р-н, Житомирська обл., 11011","400","132","391","14","254","14","268","","0","254","14","268","4","264","1","3","2","6","3","64","77","107","1","29.10.12"
"180824","64","Житомирська область","лікарська амбулаторія, актова зала
вул.Комсомольська, 71, с.Рудня-Хочинська, Олевський р-н, Житомирська обл., 11011","176","45","172","6","125","6","131","","0","125","6","131","4","127","1","1","4","2","1","48","47","22","1","29.10.12"
"180825","64","Житомирська область","клуб, фойє
вул.Комсомольська, 1, с.Перга, Олевський р-н, Житомирська обл., 11012","248","63","243","4","181","4","185","","0","181","4","185","2","183","2","6","3","1","2","72","61","34","2","29.10.12"
"180826","64","Житомирська область","клуб, танцювальна зала
вул.Зарічна, 12А, с.Рудня-Перганська, Олевський р-н, Житомирська обл., 11011","48","11","45","0","37","0","37","","0","37","0","37","0","37","0","0","0","0","0","9","27","1","0","29.10.12"
"180827","64","Житомирська область","клуб, танцювальна зала
вул.Леніна, 15, с.Сущани, Олевський р-н, Житомирська обл., 11016","760","241","769","6","514","5","519","","0","514","5","519","12","507","7","10","7","7","6","110","240","114","6","29.10.12"
"180828","64","Житомирська область","клуб, танцювальна зала
вул.Леніна, 17, с.Андріївка, Олевський р-н, Житомирська обл., 11016","160","41","155","0","119","0","119","","0","119","0","119","4","115","1","3","2","1","0","19","72","17","0","29.10.12"
"180829","64","Житомирська область","будинок культури, фойє
вул.Леніна, 55, с.Кишин, Олевський р-н, Житомирська обл., 11040","1200","440","1202","45","716","44","760","","0","716","44","760","22","738","10","16","14","28","15","152","302","197","4","29.10.12"
"180830","64","Житомирська область","клуб, фойє
вул.Миру, 52, с.Забороче, Олевський р-н, Житомирська обл., 11040","216","51","211","0","165","0","165","","0","165","0","165","9","156","0","0","2","1","2","29","72","48","2","29.10.12"
"180831","64","Житомирська область","школа, спортивна зала
вул.Матросова, 1, с.Болярка, Олевський р-н, Житомирська обл., 11040","112","25","111","1","86","1","87","","0","86","1","87","2","85","1","2","2","1","0","10","50","18","1","29.10.12"
"180832","64","Житомирська область","клуб, танцювальна зала
вул.Житомирська, 1, с.Рудня-Бистра, Олевський р-н, Житомирська обл., 11031","264","71","260","3","190","3","193","","0","190","3","193","6","187","3","6","5","6","4","35","95","30","3","29.10.12"
"180833","64","Житомирська область","будинок культури, танцювальна зала
вул.К.Зеленка, 16, с.Корощине, Олевський р-н, Житомирська обл., 11031","528","139","524","31","358","31","389","","0","358","31","389","9","380","2","18","6","3","11","45","234","58","3","29.10.12"
"180834","64","Житомирська область","клуб, танцювальна зала
вул.Калініна, 45А, с.Варварівка, Олевський р-н, Житомирська обл., 11031","744","253","735","16","479","12","491","","0","479","12","491","15","476","2","14","13","2","11","88","206","136","4","29.10.12"
"180835","64","Житомирська область","будинок культури, танцювальна зала
вул.Партизанська, 50, с.Копище, Олевський р-н, Житомирська обл., 11010","624","190","617","10","424","10","434","","0","424","10","434","5","429","5","12","8","5","3","126","154","111","5","29.10.12"
"180836","64","Житомирська область","школа, кабінет української мови
вул.Шведа, 1, с.Майдан-Копищенський, Олевський р-н, Житомирська обл., 11010","256","75","254","0","181","0","181","","0","181","0","181","1","180","0","3","3","2","0","66","48","57","1","29.10.12"
"180837","64","Житомирська область","клуб, танцювальна зала
вул.8-Березня, 27А, с.Комсомольське, Олевський р-н, Житомирська обл., 11015","520","178","508","14","328","14","342","","0","328","14","342","18","324","4","4","8","7","2","98","120","73","8","29.10.12"
"180838","64","Житомирська область","школа, каб.1
вул.Миру, 12А, с.Будки, Олевський р-н, Житомирська обл., 11002","192","73","188","8","111","8","119","","0","111","8","119","2","117","3","6","3","1","0","20","65","19","0","29.10.12"
"180839","64","Житомирська область","клуб, танцювальна зала
вул.Рад, 12А, с.Михайлівка, Олевський р-н, Житомирська обл., 11015","184","38","178","3","143","3","146","","0","143","3","146","6","140","2","2","4","2","2","27","66","34","1","29.10.12"
"180840","64","Житомирська область","клуб, танцювальна зала
вул.Партизанська, 31А, с.Млинок, Олевський р-н, Житомирська обл., 11015","88","31","85","0","57","0","57","","0","57","0","57","4","53","1","0","1","0","0","20","18","13","0","29.10.12"
"180841","64","Житомирська область","будинок культури, фойє
вул.Левчука, 39А, с.Тепениця, Олевський р-н, Житомирська обл., 11030","728","253","727","9","466","9","475","","0","466","9","475","16","459","4","6","10","5","4","98","195","134","3","29.10.12"
"180842","64","Житомирська область","магазин райспоживспілки, торгова зала
вул.Радянська, 26А, с.Соснівка, Олевський р-н, Житомирська обл., 11001","288","122","281","8","158","8","166","","0","158","8","166","6","160","2","3","1","1","1","29","86","33","4","29.10.12"
"180843","64","Житомирська область","клуб, танцювальна зала
вул.Центральна, 33А, с.Обище, Олевський р-н, Житомирська обл., 11030","192","54","185","6","132","6","138","","0","132","6","138","10","128","1","1","4","1","1","14","56","47","3","29.10.12"
"180844","64","Житомирська область","клуб, танцювальна зала
вул.Лісова, 106А, с.Хмелівка, Олевський р-н, Житомирська обл., 11002","256","78","250","6","173","5","178","","0","173","5","178","5","173","2","1","4","4","3","26","88","43","2","29.10.12"
