"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Баранівський
Олександр
Петрович","Білозір
Оксана
Володимирівна","Венчагов
Валентин
Володимирович","Гречаний
Сергій
Анатолійович","Добряк
Євген
Дмитрович","Журавський
Віталій
Станіславович","Іванова
Світлана
Олексіївна","Михайлюта
Олександр
Олександрович","Мішин
Віталій
Миколайович","Рудченко
Микола
Миколайович","Рябенко
Петро
Константинович","Тильчик
Галина
Климівна","Дата підписання протоколу"
"180591","66","Житомирська область","клуб, зала
вул.Центральна, 40, с.Рутвянка, Малинський р-н, Житомирська обл., 11600","198","80","193","33","85","33","118","","0","85","33","118","0","118","3","10","2","2","10","45","11","0","1","33","1","0","28.10.12"
"180592","66","Житомирська область","сільрада, зала
вул.Леніна, 2, с.Недашки, Малинський р-н, Житомирська обл., 11610","444","152","442","42","251","41","292","","0","251","41","292","11","281","2","24","2","3","41","53","21","2","0","106","26","1","28.10.12"
"180593","66","Житомирська область","сільрада, зала
вул.Щорса, 26, с.Нові Вороб’ї, Малинський р-н, Житомирська обл., 11630","390","117","383","48","229","44","273","","0","229","44","273","2","271","9","24","1","1","46","42","14","0","1","116","16","1","28.10.12"
"180594","66","Житомирська область","школа, фойє
вул.Леніна, 42А, с.Пиріжки, Малинський р-н, Житомирська обл., 11641","516","176","511","56","285","55","340","","0","285","55","340","4","336","3","47","2","6","71","38","19","2","1","135","12","0","28.10.12"
"180595","66","Житомирська область","клуб, зала
вул.Ніни Сосніної, 38, с.Баранівка, Малинський р-н, Житомирська обл., 11606","144","42","144","17","85","17","102","","0","85","17","102","4","98","2","25","1","6","10","20","4","0","0","25","5","0","28.10.12"
"180596","66","Житомирська область","школа, фойє
вул.8 Березня, 4, с.Скурати, Малинський р-н, Житомирська обл., 11613","396","154","392","14","232","10","242","","0","232","10","242","3","239","1","24","0","1","15","60","12","1","1","117","6","1","28.10.12"
"180597","66","Житомирська область","школа, зала
вул.Центральна, 60А, с.Слобідка, Малинський р-н, Житомирська обл., 11643","414","148","409","24","244","22","266","","0","244","22","266","7","259","2","32","1","5","58","18","7","8","1","115","12","0","28.10.12"
"180598","66","Житомирська область","клуб, фойє
вул.Щорса, 80А, с.Щербатівка, Малинський р-н, Житомирська обл., 11644","240","92","235","12","137","11","148","","0","137","11","148","9","139","6","30","2","0","19","25","6","1","0","47","3","0","28.10.12"
"180599","66","Житомирська область","клуб ""Юність"", зала
вул.Миклухи Маклая, 6, с.Гамарня, Малинський р-н, Житомирська обл., 11645","312","89","309","12","211","12","223","","0","211","12","223","6","217","1","23","1","5","77","42","12","0","0","46","9","1","02.11.12"
"180600","66","Житомирська область","клуб, зала
вул.Павленка, 1, с.Старі Вороб’ї, Малинський р-н, Житомирська обл., 11606","156","46","154","19","91","19","110","","0","91","19","110","3","107","4","14","2","3","14","30","12","0","0","27","0","1","29.10.12"
"180601","66","Житомирська область","сільрада, зала
вул.Садова, 5, с.Українка, Малинський р-н, Житомирська обл., 11633","648","285","640","46","324","39","363","","0","324","39","363","7","356","11","62","0","8","94","54","11","1","0","100","14","1","28.10.12"
"180602","66","Житомирська область","клуб, зала
вул.Всеволода Лазуки, 20, с.Устинівка, Малинський р-н, Житомирська обл., 11652","234","79","235","16","142","13","155","","0","142","13","155","2","153","3","15","0","2","26","21","3","0","0","82","1","0","28.10.12"
"180603","66","Житомирська область","клуб, зала
вул.Центральна, 76, с.Федорівка, Малинський р-н, Житомирська обл., 11607","522","195","522","19","309","18","327","","0","309","18","327","10","317","5","34","0","2","91","35","19","0","0","117","13","1","29.10.12"
"180604","66","Житомирська область","сільрада, зала
вул.Центральна, 23, с.Тишів, Малинський р-н, Житомирська обл., 11623","366","121","362","31","214","31","245","","0","214","31","245","8","237","7","19","2","2","32","33","12","0","0","124","5","1","28.10.12"
"180605","66","Житомирська область","Чоповицька міська лікарня, оглядовий кабінет
вул.Вайсера, 42, смт Чоповичі, Малинський р-н, Житомирська обл., 11620","24","4","25","0","20","0","20","","0","20","0","20","0","20","0","1","0","2","2","3","1","0","0","11","0","0","28.10.12"
"180606","66","Житомирська область","гімназія, хол
вул.Гагаріна, 9, смт Народичі, Народицький р-н, Житомирська обл., 11400","1722","836","1669","24","872","14","886","","0","872","14","886","25","861","21","148","3","27","65","346","41","2","3","102","101","2","29.10.12"
"180607","66","Житомирська область","сільрада, каб.1
вул.Леніна, 98, с.Базар, Народицький р-н, Житомирська обл., 11452","330","102","323","9","220","8","228","","0","220","8","228","9","219","2","46","1","0","9","106","6","1","0","17","31","0","29.10.12"
"180608","66","Житомирська область","школа, хол
вул.Радянська, 36, с.Болотниця, Народицький р-н, Житомирська обл., 11430","192","72","189","2","118","2","120","","0","118","2","120","7","113","5","12","0","4","16","46","0","0","0","19","11","0","28.10.12"
"180609","66","Житомирська область","будинок культури, хол
вул.Шосейна, 18, с.В’язівка, Народицький р-н, Житомирська обл., 11432","420","163","414","20","237","20","257","","0","237","20","257","8","249","17","35","2","5","12","117","25","0","0","31","4","1","28.10.12"
"180610","66","Житомирська область","сільрада, зала засідань
вул.Першотравнева, 13, с.Гуто-Мар’ятин, Народицький р-н, Житомирська обл., 11453","132","45","129","3","84","3","87","","0","84","3","87","5","82","0","5","0","2","0","46","9","0","0","16","4","0","28.10.12"
"180611","66","Житомирська область","клуб, хол
вул.Корбута, 46, с.Давидки, Народицький р-н, Житомирська обл., 11412","96","30","88","0","66","0","66","","0","66","0","66","2","64","0","14","1","2","7","35","1","1","0","2","1","0","28.10.12"
"180612","66","Житомирська область","будинок культури, хол
вул.Перемоги, 24, с.Жерев, Народицький р-н, Житомирська обл., 11431","156","37","153","7","116","3","119","","0","116","3","119","3","116","2","23","1","2","13","38","10","4","1","14","8","0","28.10.12"
"180613","66","Житомирська область","школа, хол
вул.Шкільна, 6, с.Закусили, Народицький р-н, Житомирська обл., 11431","288","124","282","16","149","15","164","","0","149","15","164","4","160","5","22","0","2","6","87","10","1","0","21","5","1","28.10.12"
"180614","66","Житомирська область","будинок культури, хол
вул.Гагаріна, 2, с.Залісся, Народицький р-н, Житомирська обл., 11414","306","103","300","7","197","6","203","","0","197","6","203","2","201","6","16","2","3","18","65","13","3","1","56","17","1","29.10.12"
"180615","66","Житомирська область","будинок культури, хол
вул.Леніна, 99, с.Клочки, Народицький р-н, Житомирська обл., 11420","192","35","192","16","141","16","157","","0","141","16","157","7","150","9","37","3","1","16","38","15","0","1","25","5","0","28.10.12"
"180616","66","Житомирська область","школа, хол
вул.Леніна, 33, с.Ласки, Народицький р-н, Житомирська обл., 11424","456","136","447","28","292","28","320","","0","292","28","320","11","309","46","38","1","4","24","126","15","4","0","32","17","2","28.10.12"
"180617","66","Житомирська область","школа, хол
вул.Північна, 3, с.Латаші, Народицький р-н, Житомирська обл., 11423","240","55","237","21","164","21","185","","0","164","21","185","4","181","12","24","0","7","19","47","21","2","0","32","17","0","29.10.12"
"180618","66","Житомирська область","сільрада, каб.1
вул.Жовтнева, 5, с.Межиліска, Народицький р-н, Житомирська обл., 11451","174","35","169","19","120","19","139","","0","120","19","139","2","137","2","17","1","3","9","43","7","0","1","48","5","1","28.10.12"
"180619","66","Житомирська область","будинок культури, хол
вул.Ворошилова, 81, с.Мотійки, Народицький р-н, Житомирська обл., 11415","222","39","217","6","177","6","183","","0","177","6","183","6","177","4","22","0","0","1","116","9","0","0","16","9","0","29.10.12"
"180620","66","Житомирська область","школа, хол
вул.Леніна, 82, с.Новий Дорогинь, Народицький р-н, Житомирська обл., 11421","228","49","230","17","162","17","179","","0","162","17","179","6","173","10","33","3","4","10","56","12","2","0","26","16","1","28.10.12"
"180621","66","Житомирська область","сільрада, актова зала
просп.Горького, 4, с.Норинці, Народицький р-н, Житомирська обл., 11420","378","95","369","25","259","24","283","","0","259","24","283","12","271","15","58","2","6","36","52","3","3","1","55","39","1","29.10.12"
"180622","66","Житомирська область","сільрада, каб.2
вул.40-річчя Перемоги, 2, с.Радча, Народицький р-н, Житомирська обл., 11412","354","114","347","24","218","22","240","","0","218","22","240","9","231","5","50","0","1","15","111","5","0","1","35","6","2","29.10.12"
"180623","66","Житомирська область","сільрада, каб.2
вул.Жовтнева, 170, с.Селець, Народицький р-н, Житомирська обл., 11406","300","90","306","21","189","21","210","","0","189","21","210","1","209","6","15","1","3","8","115","10","0","0","23","27","1","28.10.12"
"180624","66","Житомирська область","дошкільний навчальний заклад, хол
вул.Овруцька, 5, с.Старий Дорогинь, Народицький р-н, Житомирська обл., 11422","228","48","226","19","162","18","180","","0","162","18","180","15","165","9","15","0","6","14","91","6","5","2","7","9","1","29.10.12"
"180625","66","Житомирська область","сільрада, зала засідань
вул.Постишева, 46, с.Сухарівка, Народицький р-н, Житомирська обл., 11456","192","42","194","9","142","8","150","","0","142","8","150","9","141","1","19","3","2","4","33","12","0","0","60","7","0","28.10.12"
"180626","66","Житомирська область","дитячий садок, хол
вул.Гагаріна, 14, с.Яжберень, Народицький р-н, Житомирська обл., 11421","216","69","216","4","143","4","147","","0","143","4","147","3","144","6","15","0","5","1","54","10","3","0","36","14","0","28.10.12"
"180627","66","Житомирська область","центральна районна лікарня, актова зала, 2-й поверх
вул.Свердлова, 115, смт Народичі, Народицький р-н, Житомирська обл., 11400","78","58","25","5","16","4","20","","0","16","4","20","0","20","0","0","0","3","3","7","2","0","0","4","1","0","28.10.12"
"180913","66","Житомирська область","адмін.будинок Держлісгоспу, актова зала
вул.Київська, 6, м.Радомишль, Радомишльський р-н, Житомирська обл., 12201","762","333","764","6","426","3","429","","0","426","3","429","13","416","12","30","1","26","111","157","13","3","2","44","17","0","29.10.12"
"180914","66","Житомирська область","школа №4, зала
вул.Карпенка, 5, м.Радомишль, Радомишльський р-н, Житомирська обл., 12201","1104","453","1091","6","648","3","651","","0","648","3","651","25","626","12","50","2","25","190","208","28","4","2","52","48","5","29.10.12"
"180915","66","Житомирська область","школа №5, актова зала
Соборний майдан, 6, м.Радомишль, Радомишльський р-н, Житомирська обл., 12201","1560","739","1544","18","806","15","821","","0","806","15","821","27","794","13","69","5","44","260","234","43","5","1","66","51","3","29.10.12"
"180916","66","Житомирська область","будинок дитячої творчості, зала
вул.Присутственна, 6, м.Радомишль, Радомишльський р-н, Житомирська обл., 12201","1284","588","1261","19","678","18","696","","0","678","18","696","19","677","7","72","1","25","278","157","18","4","1","70","42","2","28.10.12"
"180917","66","Житомирська область","адмін.будинок СТОВ ""Нива"", зала
вул.Міськради, 46/51, м.Радомишль, Радомишльський р-н, Житомирська обл., 12201","1350","579","1322","11","761","10","771","","0","761","10","771","19","752","14","65","2","40","287","164","30","1","2","83","55","9","29.10.12"
"180918","66","Житомирська область","гімназія, спортивна зала
вул.Петрівська, 32, м.Радомишль, Радомишльський р-н, Житомирська обл., 12201","1986","816","1961","29","1141","29","1170","","0","1141","29","1170","28","1142","22","88","0","61","454","228","51","18","1","134","77","8","29.10.12"
"180919","66","Житомирська область","міське комунальне підприємство, зала
вул.Мала Житомирська, 119, м.Радомишль, Радомишльський р-н, Житомирська обл., 12201","1374","652","1364","7","715","7","722","","0","715","7","722","20","702","6","52","1","41","239","184","18","14","2","79","59","7","29.10.12"
"180920","66","Житомирська область","професійний ліцей, фойє
вул.Пушкінська, 12, м.Радомишль, Радомишльський р-н, Житомирська обл., 12201","1716","806","1717","18","897","13","910","","0","897","13","910","25","885","17","74","4","53","256","247","27","5","5","131","63","3","29.10.12"
"180921","66","Житомирська область","товариство мисливців і рибалок, фойє
вул.Микгород, 12, м.Радомишль, Радомишльський р-н, Житомирська обл., 12201","456","195","461","2","259","2","261","","0","259","2","261","5","256","3","32","0","8","61","90","5","1","1","31","23","1","28.10.12"
"180922","66","Житомирська область","клуб, зала
вул.Центральна, 20, с.Глухів Перший, м.Радомишль, Радомишльський р-н, Житомирська обл., 12201","168","64","162","0","104","0","104","","0","104","0","104","5","99","2","12","0","4","24","22","4","0","0","24","6","1","28.10.12"
"180923","66","Житомирська область","будинок культури, зала
вул.Леніна, 61, смт Біла Криниця, Радомишльський р-н, Житомирська обл., 12213","762","352","754","18","396","14","410","","0","396","14","410","16","394","16","75","4","26","91","85","12","6","2","64","12","1","29.10.12"
"180924","66","Житомирська область","клуб, зала
вул.Центральна, 18А, с.Борщів, Радомишльський р-н, Житомирська обл., 12251","606","194","599","59","356","56","412","","0","356","56","412","10","402","18","35","5","11","67","51","13","1","2","188","9","2","07.11.12"
"180925","66","Житомирська область","будинок культури, зала
вул.Леніна, 69, с.Велика Рача, Радомишльський р-н, Житомирська обл., 12242","564","196","560","36","333","35","368","","0","333","35","368","17","351","9","62","0","6","68","54","7","4","1","128","10","2","28.10.12"
"180926","66","Житомирська область","клуб, зала
вул.Шевченко, 109, с.Мала Рача, Радомишльський р-н, Житомирська обл., 12244","666","256","659","34","379","31","410","","0","379","31","410","21","389","3","44","1","16","124","53","20","3","3","94","26","2","02.11.12"
"180927","66","Житомирська область","клуб, зала
вул.Центральна, 47, с.Чудин, Радомишльський р-н, Житомирська обл., 12243","216","63","214","37","120","33","153","","0","120","33","153","4","149","7","3","3","4","29","23","7","9","1","57","5","1","29.10.12"
"180928","66","Житомирська область","навчально-виховний комплекс, спортивна зала
вул.Лугова, 2, с.Веприн, Радомишльський р-н, Житомирська обл., 12212","510","195","503","40","281","34","315","","0","281","34","315","14","301","9","38","3","23","45","55","16","4","2","92","9","5","02.11.12"
"180929","66","Житомирська область","сільська рада, зала
вул.Центральна, 3, с.Верлок, Радомишльський р-н, Житомирська обл., 12252","438","146","439","40","259","33","292","","0","259","33","292","5","287","2","31","3","12","54","63","14","1","0","90","16","1","28.10.12"
"180930","66","Житомирська область","будинок культури, зала
вул.Леніна, 8, с.Вишевичі, Радомишльський р-н, Житомирська обл., 12214","1080","447","1078","55","580","53","633","","0","580","53","633","23","610","30","51","4","25","138","158","18","4","4","153","19","6","28.10.12"
"180931","66","Житомирська область","клуб, зала
вул.Ленінська, 44, с.Гута-Потіївка, Радомишльський р-н, Житомирська обл., 12220","168","48","167","24","97","23","120","","0","97","23","120","4","116","3","15","0","1","21","35","4","0","0","34","2","1","28.10.12"
"180932","66","Житомирська область","клуб, зала
вул.Центральна, 25, с.Вихля, Радомишльський р-н, Житомирська обл., 12221","72","20","73","10","44","8","52","","0","44","8","52","2","50","0","8","1","2","7","24","2","1","0","4","0","1","28.10.12"
"180933","66","Житомирська область","фельдшерський пункт, кімната прийому
вул.Поліська, 26, с.Стара Буда, Радомишльський р-н, Житомирська обл., 12217","66","16","61","4","46","4","50","","0","46","4","50","1","49","0","6","2","0","13","20","2","0","0","5","0","1","28.10.12"
"180934","66","Житомирська область","будинок культури, зала
вул.Центральна, 1В, с.Забілоччя, Радомишльський р-н, Житомирська обл., 12262","366","123","364","28","215","28","243","","0","215","28","243","8","235","11","30","1","10","75","33","10","2","0","46","14","3","29.10.12"
"180935","66","Житомирська область","фельдшерський пункт, хол
вул.Гута-Забілоцька, 103, с.Гута-Забілоцька, Радомишльський р-н, Житомирська обл., 12263","60","14","57","7","39","7","46","","0","39","7","46","2","44","6","1","0","3","9","4","5","0","0","7","9","0","02.11.12"
"180936","66","Житомирська область","клуб, зала
вул.Центральна, 10А, с.Заболоть, Радомишльський р-н, Житомирська обл., 12234","450","177","442","6","267","6","273","","0","267","6","273","9","264","11","25","3","8","59","90","7","3","0","52","6","0","28.10.12"
"180937","66","Житомирська область","будинок культури, зала
вул.Лісова, 13, с.Заньки, Радомишльський р-н, Житомирська обл., 12240","396","133","391","46","218","45","263","","0","218","45","263","9","254","4","24","1","5","51","77","8","0","1","69","12","2","28.10.12"
"180938","66","Житомирська область","клуб, зала
вул.Гагаріна, 21, с.Ірша, Радомишльський р-н, Житомирська обл., 12211","504","203","503","31","272","29","301","","0","272","29","301","14","287","6","37","1","21","34","73","32","2","0","75","5","1","28.10.12"
"180939","66","Житомирська область","будинок культури, зала
вул.Центральна, 136, с.Кичкирі, Радомишльський р-н, Житомирська обл., 12254","342","125","330","32","189","28","217","","0","189","28","217","7","210","13","24","2","9","24","84","6","4","1","28","15","0","28.10.12"
"180940","66","Житомирська область","клуб, зала
вул.Центральна, 39, с.Нова Юрівка, Радомишльський р-н, Житомирська обл., 12254","84","20","90","8","58","6","64","","0","58","6","64","1","63","2","10","1","0","11","24","3","0","1","9","1","1","28.10.12"
"180941","66","Житомирська область","фельдшерський пункт, фойє
вул.Центральна, 52, с.Глиниця, Радомишльський р-н, Житомирська обл., 12254","108","37","115","13","59","12","71","","0","59","12","71","1","70","1","6","0","6","22","23","0","2","0","9","0","1","28.10.12"
"180942","66","Житомирська область","будинок культури, зала
вул.Центральна, 44А, с.Котівка, Радомишльський р-н, Житомирська обл., 12233","420","140","418","5","275","5","280","","0","275","5","280","11","269","10","4","1","3","38","29","2","2","0","179","1","0","28.10.12"
"180943","66","Житомирська область","школа, фойє
вул.Шкільна, 1, с.Кочерів, Радомишльський р-н, Житомирська обл., 12264","564","247","554","31","286","31","317","","0","286","31","317","8","309","16","34","2","19","80","51","19","4","0","62","20","2","28.10.12"
"180944","66","Житомирська область","клуб, зала
вул.Центральна, 73, с.Став-Слобода, Радомишльський р-н, Житомирська обл., 12264","120","34","119","5","81","5","86","","0","81","5","86","0","86","5","4","0","2","32","21","0","0","1","14","6","1","29.10.12"
"180945","66","Житомирська область","клуб, зала
вул.Поліська, 29, с.Краснобірка, Радомишльський р-н, Житомирська обл., 12235","702","241","694","46","415","46","461","","0","415","46","461","6","455","1","51","2","14","76","72","11","5","4","148","68","3","28.10.12"
"180946","66","Житомирська область","клуб, зала
вул.Центральна, 2, с.Кримок, Радомишльський р-н, Житомирська обл., 12216","222","69","222","23","130","23","153","","0","130","23","153","6","147","3","22","0","7","28","34","7","1","1","40","4","0","29.10.12"
"180947","66","Житомирська область","клуб, зала
вул.Леніна, 2, с.Білка, Радомишльський р-н, Житомирська обл., 12200","144","56","140","12","76","12","88","","0","76","12","88","4","84","5","14","1","11","14","23","4","0","0","6","5","1","28.10.12"
"180948","66","Житомирська область","будинок культури, зала
вул.Леніна, 21Б, с.Леніне, Радомишльський р-н, Житомирська обл., 12255","846","297","840","104","453","96","549","","0","453","96","549","10","539","20","59","5","32","180","117","8","11","0","69","37","1","29.10.12"
"180949","66","Житомирська область","будинок культури, зала
вул.В.Лутовецька, 171А, с.Лутівка, Радомишльський р-н, Житомирська обл., 12201","1038","529","1024","14","500","9","509","","0","500","9","509","16","493","15","48","2","23","143","99","15","5","2","122","18","1","28.10.12"
"180950","66","Житомирська область","клуб, зала
вул.Лісова, 79А, с.Березці, Радомишльський р-н, Житомирська обл., 12200","108","41","104","8","59","8","67","","0","59","8","67","3","64","0","5","0","2","26","13","1","0","0","15","0","2","28.10.12"
"180951","66","Житомирська область","клуб, зала
вул.Леніна, 239, с.Макалевичі, Радомишльський р-н, Житомирська обл., 12210","324","104","318","38","183","37","220","","0","183","37","220","5","215","6","31","1","10","46","40","12","0","0","63","6","0","28.10.12"
"180952","66","Житомирська область","навчально-виховний комплекс, їдальня
вул.Меделівська, 1А, с.Мірча, Радомишльський р-н, Житомирська обл., 12231","210","70","208","7","133","7","140","","0","133","7","140","4","136","1","16","0","4","28","38","10","0","1","22","16","0","28.10.12"
"180953","66","Житомирська область","клуб, зала
вул.Круглікова, 45А, с.Меделівка, Радомишльський р-н, Житомирська обл., 12232","192","46","189","15","132","14","146","","0","132","14","146","5","141","1","4","2","4","41","38","6","0","1","39","5","0","29.10.12"
"180954","66","Житомирська область","клуб, зала
вул.Центральна, 51, с.Межирічка, Радомишльський р-н, Житомирська обл., 12215","564","237","555","27","300","27","327","","0","300","27","327","6","321","7","35","1","24","58","59","8","5","2","109","11","2","28.10.12"
"180955","66","Житомирська область","сільська рада, зала
вул.Центральна, 48, с.Меньківка, Радомишльський р-н, Житомирська обл., 12230","180","66","174","19","95","19","114","","0","95","19","114","2","112","3","7","1","4","20","29","5","0","0","39","4","0","28.10.12"
"180956","66","Житомирська область","магазин Вишевицького сільпо, зала
вул.Центральна, 28, с.Ходори, Радомишльський р-н, Житомирська обл., 12230","84","37","78","1","46","1","47","","0","46","1","47","2","45","0","6","2","0","1","13","4","0","0","19","0","0","28.10.12"
"180957","66","Житомирська область","сільська рада, зала
вул.Чапаєва, 23, с.Нова Буда, Радомишльський р-н, Житомирська обл., 12222","186","50","179","15","121","15","136","","0","121","15","136","12","124","0","14","3","1","27","35","11","1","1","31","0","0","28.10.12"
