"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Грушевський
Віталій
Анатолійович","Дем’янчук
Вікторія
Олександрівна","Діденко
Олег
Валентинович","Колючий
Володимир
Данилович","Кропівка
Анатолій
Федосійович","Литвин
Юрій
Олексійович","Маральов
Юрій
Васильович","Ролінський
Володимир
Іванович","Супрун
Людмила
Павлівна","Сухін
Юрій
Михайлович","Чорноіваненко
Олександр
Анатолійович","Дата підписання протоколу"
"350356","101","Кіровоградська область","будинок культури, фойє
вул.Радянська, 30, с.Плетений Ташлик, Маловисківський р-н, Кіровоградська обл., 26245","954","446","944","54","458","50","508","","0","458","50","508","16","492","158","150","32","3","6","21","1","3","58","8","52","10.11.12"
"350357","101","Кіровоградська область","сільський клуб, глядацька зала
вул.Садова, 1, с.Первомайськ, Маловисківський р-н, Кіровоградська обл., 26245","282","90","283","22","172","20","192","","0","172","20","192","4","188","37","25","27","4","0","23","0","0","32","7","33","29.10.12"
"350358","101","Кіровоградська область","будинок культури, танцювальна зала
вул.Горького, 4, с.Розсохуватка, Маловисківський р-н, Кіровоградська обл., 26231","408","140","402","26","245","23","268","","0","245","23","268","8","260","104","35","10","0","3","18","3","0","48","8","31","29.10.12"
"350359","101","Кіровоградська область","школа, їдальня
вул.Калініна, 51, с.Хмельове, Маловисківський р-н, Кіровоградська обл., 26225","534","209","531","16","311","14","325","","0","311","14","325","9","316","86","10","21","3","3","7","0","4","85","11","86","29.10.12"
"350360","101","Кіровоградська область","школа, фойє
вул.Комсомольська, 26, с.Хмельове, Маловисківський р-н, Кіровоградська обл., 26225","1170","474","1165","32","664","32","696","","0","664","32","696","23","673","222","33","50","6","7","15","1","3","108","40","188","29.10.12"
"350361","101","Кіровоградська область","фельдшерсько-акушерський пункт, вестибюль
вул.Центральна, 15, с.Леніно-Ульяновка, Маловисківський р-н, Кіровоградська обл., 26229","72","18","76","8","46","8","54","","0","46","8","54","0","54","41","1","0","0","0","6","0","0","2","0","4","28.10.12"
"350362","101","Кіровоградська область","школа, вестибюль
вул.Шкільна, 11, с.Новопавлівка, Маловисківський р-н, Кіровоградська обл., 26228","240","86","235","14","142","12","154","","0","142","12","154","5","149","27","9","10","5","1","13","0","0","37","8","39","29.10.12"
"350363","101","Кіровоградська область","будинок культури, фойє
вул.Молодіжна, 10А, с.Якимівка, Маловисківський р-н, Кіровоградська обл., 26220","384","167","372","45","172","45","217","","0","172","45","217","5","212","80","34","5","4","0","12","0","0","54","2","21","29.10.12"
"350386","101","Кіровоградська область","будинок культури, фойє
вул.Леніна, 42, смт Новоархангельськ, Новоархангельський р-н, Кіровоградська обл., 26100","1476","635","1473","25","820","21","841","","0","820","21","841","24","817","193","42","63","30","16","49","5","3","221","30","165","29.10.12"
"350387","101","Кіровоградська область","будинок культури №2, зал
вул.Слави, 101, смт Новоархангельськ, Новоархангельський р-н, Кіровоградська обл., 26100","1758","748","1765","23","992","18","1010","","0","992","18","1010","29","981","143","47","97","11","18","66","19","4","245","33","298","08.11.12"
"350388","101","Кіровоградська область","будинок культури №3, фойє
вул.Жебровського, 105, смт Новоархангельськ, Новоархангельський р-н, Кіровоградська обл., 26100","750","430","731","22","298","22","320","","0","298","22","320","18","302","57","10","31","2","3","39","2","4","86","5","63","28.10.12"
"350389","101","Кіровоградська область","ТОВ ""Агробуд"", зал засідань
вул.Леніна, 136, смт Новоархангельськ, Новоархангельський р-н, Кіровоградська обл., 26100","2010","927","2003","49","1037","46","1083","","0","1037","46","1083","24","1059","160","56","95","15","15","114","4","3","342","26","229","29.10.12"
"350390","101","Кіровоградська область","будинок культури, зал
вул.Слави, 61, с.Синюха, Новоархангельський р-н, Кіровоградська обл., 26105","366","113","371","25","233","20","253","","0","233","20","253","13","240","39","20","19","8","0","96","0","0","35","0","23","28.10.12"
"350391","101","Кіровоградська область","будинок культури, фойє
пров.Шкільний, 15, с.Солдатське, Новоархангельський р-н, Кіровоградська обл., 26100","60","20","60","1","39","1","40","","0","39","1","40","1","39","5","2","0","0","0","16","0","0","3","1","12","28.10.12"
"350392","101","Кіровоградська область","сільська рада, фойє
вул.Леніна, 49, с.Вільшанка, Новоархангельський р-н, Кіровоградська обл., 26153","360","125","351","20","215","20","235","","0","215","20","235","11","224","59","9","11","7","1","29","0","0","70","6","32","29.10.12"
"350393","101","Кіровоградська область","школа, актова зала
вул.Наумова, 4, с.Шляхове, Новоархангельський р-н, Кіровоградська обл., 26153","108","30","107","8","70","8","78","","0","70","8","78","4","74","24","4","2","1","0","29","0","0","1","1","12","28.10.12"
"350394","101","Кіровоградська область","будинок культури, фойє
вул.Центральна, 7, с.Ганнівка, Новоархангельський р-н, Кіровоградська обл., 26142","378","93","371","32","253","32","285","","0","253","32","285","3","282","206","7","4","1","3","27","0","0","10","8","16","28.10.12"
"350395","101","Кіровоградська область","будинок культури, фойє
вул.Шкільна, 9, с.Іванівка, Новоархангельський р-н, Кіровоградська обл., 26151","468","165","459","32","273","30","303","","0","273","30","303","8","295","55","4","13","38","0","19","44","2","48","5","67","29.10.12"
"350396","101","Кіровоградська область","сільська рада, фойє
вул.Леніна, 82, с.Кальниболота, Новоархангельський р-н, Кіровоградська обл., 26111","990","469","974","31","493","28","521","","0","493","28","521","17","504","67","7","17","7","5","31","0","1","310","10","49","28.10.12"
"350397","101","Кіровоградська область","будинок культури, фойє
вул.Лисова, 56, с.Кам’янече, Новоархангельський р-н, Кіровоградська обл., 26110","1092","382","1078","78","636","74","710","","0","636","74","710","19","691","172","23","56","20","60","26","2","2","218","11","101","29.10.12"
"350398","101","Кіровоградська область","будинок культури, зал
вул.Леніна, 17, с.Копенкувате, Новоархангельський р-н, Кіровоградська обл., 26123","594","169","585","45","381","44","425","","0","381","44","425","7","418","154","8","37","6","13","58","0","1","93","2","46","29.10.12"
"350399","101","Кіровоградська область","будинок культури, зал
вул.Ковпака, 1, с.Борщова, Новоархангельський р-н, Кіровоградська обл., 26123","108","37","102","10","61","10","71","","0","61","10","71","3","68","23","4","7","0","2","3","1","0","21","0","7","29.10.12"
"350400","101","Кіровоградська область","будинок культури, фойє
вул.Петровського, 42, с.Мартинівка, Новоархангельський р-н, Кіровоградська обл., 26143","204","55","203","10","139","10","149","","0","139","10","149","4","145","67","1","1","0","0","5","1","0","26","2","42","28.10.12"
"350401","101","Кіровоградська область","будинок культури, фойє
вул.Центральна, 6, с.Мар’янівка, Новоархангельський р-н, Кіровоградська обл., 26141","330","55","324","31","244","31","275","","0","244","31","275","5","270","201","5","6","3","0","4","0","0","20","4","27","28.10.12"
"350402","101","Кіровоградська область","будинок культури, фойє
вул.Адміністративна, 6, с.Надлак, Новоархангельський р-н, Кіровоградська обл., 26150","1194","560","1180","53","590","44","634","","0","590","44","634","22","612","167","12","88","31","13","29","23","2","79","48","120","29.10.12"
"350403","101","Кіровоградська область","будинок культури, фойє
вул.Подільська, 5А, с.Тимофіївка, Новоархангельський р-н, Кіровоградська обл., 26152","264","101","258","27","136","27","163","","0","136","27","163","10","153","39","15","3","1","0","57","0","0","21","3","14","28.10.12"
"350404","101","Кіровоградська область","будинок культури, фойє
вул.Леніна, 30, с.Небелівка, Новоархангельський р-н, Кіровоградська обл., 26121","390","108","388","24","259","23","282","","0","259","23","282","20","262","68","12","15","5","4","30","0","3","56","6","63","28.10.12"
"350405","101","Кіровоградська область","будинок культури, фойє
вул.Комсомольська, 8, с.Нерубайка, Новоархангельський р-н, Кіровоградська обл., 26120","834","285","820","102","461","88","549","","0","461","88","549","13","536","135","20","27","5","27","28","0","1","210","4","79","29.10.12"
"350406","101","Кіровоградська область","будинок культури, фойє
вул.Пролетарська, 1, с.Підвисоке, Новоархангельський р-н, Кіровоградська обл., 26122","1482","593","1468","93","804","85","889","","0","804","85","889","27","862","181","13","86","29","33","49","0","3","256","13","199","29.10.12"
"350407","101","Кіровоградська область","будинок культури, фойє
вул.Центральна, 11, с.Покотилове, Новоархангельський р-н, Кіровоградська обл., 26132","492","136","493","44","316","40","356","","0","316","40","356","8","348","93","5","12","1","9","22","0","0","153","12","41","28.10.12"
"350408","101","Кіровоградська область","будинок культури, фойє
вул.Перемоги, 3, с.Орлове, Новоархангельський р-н, Кіровоградська обл., 26133","168","25","166","11","132","11","143","","0","132","11","143","3","140","49","4","6","0","1","11","1","0","23","1","44","29.10.12"
"350409","101","Кіровоградська область","будинок культури, фойє
вул.Шкільна, 2, с.Покровка, Новоархангельський р-н, Кіровоградська обл., 26154","192","58","178","10","128","6","134","","0","128","6","134","10","124","43","2","2","2","0","12","0","1","43","4","15","28.10.12"
"350410","101","Кіровоградська область","будинок культури, фойє
вул.Центральна, 8, с.Розсохуватець, Новоархангельський р-н, Кіровоградська обл., 26130","288","76","290","25","190","22","212","","0","190","22","212","6","206","63","12","7","0","25","22","0","2","44","3","28","28.10.12"
"350411","101","Кіровоградська область","будинок культури, фойє
вул.Леніна, 50, с.Скалева, Новоархангельський р-н, Кіровоградська обл., 26112","444","145","428","27","272","27","299","","0","272","27","299","1","298","95","5","18","20","6","25","0","1","88","10","30","29.10.12"
"350412","101","Кіровоградська область","будинок культури, фойє
вул.Центральна, 1, с.Скалівські Хутори, Новоархангельський р-н, Кіровоградська обл., 26140","456","118","451","50","290","48","338","","0","290","48","338","10","328","176","5","12","3","23","13","0","1","37","6","52","29.10.12"
"350413","101","Кіровоградська область","контора ФГ ""Баліцького"", зал
вул.Степова, 6, с.Кринички, Новоархангельський р-н, Кіровоградська обл., 26140","72","19","69","10","43","10","53","","0","43","10","53","1","52","43","0","1","0","0","2","0","0","0","2","4","28.10.12"
"350414","101","Кіровоградська область","будинок культури, фойє
вул.Т.Шевченка, 18, с.Свердликове, Новоархангельський р-н, Кіровоградська обл., 26113","528","136","530","58","338","54","392","","0","338","54","392","6","386","103","15","24","0","8","43","0","0","135","19","39","29.10.12"
"350415","101","Кіровоградська область","будинок культури, фойє
вул.Сонячна, 2А, с.Тернівка, Новоархангельський р-н, Кіровоградська обл., 26131","582","125","577","69","390","67","457","","0","390","67","457","10","447","210","19","13","11","10","33","2","1","72","4","72","28.10.12"
"350416","101","Кіровоградська область","будинок культури, фойє
вул.Івана Сірка, 19, с.Торговиця, Новоархангельський р-н, Кіровоградська обл., 26106","1698","750","1678","62","889","59","948","","0","889","59","948","32","916","259","24","75","7","9","58","4","2","284","29","165","10.11.12"
"350417","101","Кіровоградська область","школа, фойє
вул.Леніна, 7, с.Левківка, Новоархангельський р-н, Кіровоградська обл., 26107","180","44","179","25","111","25","136","","0","111","25","136","4","132","18","5","13","1","2","22","2","0","47","3","19","10.11.12"
"350418","101","Кіровоградська область","будинок культури, фойє
вул.Т.Шевченка, 38, с.Ятрань, Новоархангельський р-н, Кіровоградська обл., 26134","270","67","263","17","187","16","203","","0","187","16","203","5","198","68","5","7","0","2","6","0","0","83","6","21","29.10.12"
"350419","101","Кіровоградська область","школа №1, актова зала
вул.Луначарського, 20, м.Новомиргород, Новомиргородський р-н, Кіровоградська обл., 26000","1518","828","1483","25","670","20","690","","0","670","20","690","17","673","149","39","170","1","2","32","1","11","94","56","118","29.10.12"
"350420","101","Кіровоградська область","міський будинок культури, вітальна зала
вул.Леніна, 304, м.Новомиргород, Новомиргородський р-н, Кіровоградська обл., 26000","1224","621","1216","18","585","18","603","","0","585","18","603","22","581","137","36","107","3","2","34","2","5","59","31","165","29.10.12"
"350421","101","Кіровоградська область","районний будинок культури, фойє
вул.Леніна, 99/12, м.Новомиргород, Новомиргородський р-н, Кіровоградська обл., 26000","2232","1156","2179","49","1039","37","1076","","0","1039","37","1076","51","1025","292","43","152","4","2","32","20","9","100","52","319","08.11.12"
"350422","101","Кіровоградська область","КП ""Новомиргородські муніципальні інженерні мережі"", кабінет по техніці безпеки та охорони праці
вул.Толстого, 27, м.Новомиргород, Новомиргородський р-н, Кіровоградська обл., 26000","1530","774","1512","30","728","28","756","","0","728","28","756","23","733","159","52","109","2","5","43","3","2","64","27","267","29.10.12"
"350423","101","Кіровоградська область","школа №3, актова зала
вул.Леніна, 41, м.Новомиргород, Новомиргородський р-н, Кіровоградська обл., 26000","1800","1005","1777","31","772","23","795","","0","772","23","795","20","775","182","37","112","3","6","29","6","5","126","37","232","10.11.12"
"350424","101","Кіровоградська область","будинок культури, фойє
вул.Сінельнікова, 45/14А, м.Новомиргород, Новомиргородський р-н, Кіровоградська обл., 26000","1554","869","1541","36","657","28","685","","0","657","28","685","17","668","188","20","111","2","5","35","5","3","64","43","192","08.11.12"
"350425","101","Кіровоградська область","ПСП ""Бирзулове"", хол
вул.Чкалова, 1, с.Бирзулове, Новомиргородський р-н, Кіровоградська обл., 26009","72","18","66","13","41","13","54","","0","41","13","54","3","51","13","1","3","0","2","5","0","0","6","3","18","28.10.12"
"350426","101","Кіровоградська область","школа, хол
вул.Миру, 5, с.Лікареве, Новомиргородський р-н, Кіровоградська обл., 26009","90","35","82","7","51","4","55","","0","51","4","55","8","47","12","8","8","0","0","3","0","0","4","0","12","29.10.12"
"350427","101","Кіровоградська область","ліцей переробної промисловості, спортивна зала
вул.Урицького, 2, смт Капітанівка, Новомиргородський р-н, Кіровоградська обл., 26010","1050","529","1036","45","488","33","521","","0","488","33","521","18","503","86","28","73","2","1","48","0","1","61","8","195","28.10.12"
"350428","101","Кіровоградська область","школа, хол
вул.Смілянська, 55, смт Капітанівка, Новомиргородський р-н, Кіровоградська обл., 26010","1008","614","999","30","367","27","394","","0","367","27","394","25","369","78","29","55","4","1","25","1","1","37","12","126","29.10.12"
"350429","101","Кіровоградська область","сільський клуб, зала
вул.Суворова, 1, с.Прищепівка, Новомиргородський р-н, Кіровоградська обл., 26010","276","113","279","9","155","8","163","","0","155","8","163","3","160","51","4","28","6","0","16","1","0","9","2","43","28.10.12"
"350430","101","Кіровоградська область","сільський будинок культури, фойє
вул.Центральна, 22, с.Веселівка, Новомиргородський р-н, Кіровоградська обл., 26042","198","58","197","15","125","15","140","","0","125","15","140","4","136","31","3","6","0","0","26","0","0","28","4","38","29.10.12"
"350431","101","Кіровоградська область","сільський клуб, зала
вул.Шевченка, 3, с.Дібрівка, Новомиргородський р-н, Кіровоградська обл., 26021","222","66","212","16","140","16","156","","0","140","16","156","6","150","31","6","14","3","2","26","0","1","25","7","35","28.10.12"
"350432","101","Кіровоградська область","ТОВ ""Агроконтракт-Н"", хол
вул.70-річчя Жовтня, 51, с.Бурти, Новомиргородський р-н, Кіровоградська обл., 26021","120","34","114","18","72","14","86","","0","72","14","86","2","84","11","3","3","0","1","5","0","0","16","2","43","28.10.12"
"350433","101","Кіровоградська область","ТОВ ""Прищепівка"", хол
вул.Шевченка, 34, с.Василівка, Новомиргородський р-н, Кіровоградська обл., 26021","60","16","60","8","36","8","44","","0","36","8","44","0","44","9","4","1","0","0","10","0","1","5","4","10","28.10.12"
"350434","101","Кіровоградська область","ветеринарна дільниця, хол
вул.Лісова, 9, с.Зелене, Новомиргородський р-н, Кіровоградська обл., 26021","84","37","79","3","44","3","47","","0","44","3","47","4","43","8","2","2","1","0","10","0","0","12","0","8","28.10.12"
"350435","101","Кіровоградська область","сільський будинок культури, глядацька зала
вул.70-річчя Жовтня, 26, с.Жовтневе, Новомиргородський р-н, Кіровоградська обл., 26016","246","95","246","18","134","17","151","","0","134","17","151","1","150","32","5","6","1","1","30","8","0","24","1","42","28.10.12"
"350436","101","Кіровоградська область","сільський будинок культури, зала
вул.Леніна, 86, с.Йосипівка, Новомиргородський р-н, Кіровоградська обл., 26030","444","148","440","52","249","47","296","","0","249","47","296","6","290","71","20","18","2","2","34","6","0","64","5","68","28.10.12"
"350437","101","Кіровоградська область","початкова школа, к.1
вул.Зелена, 3, с.Защита, Новомиргородський р-н, Кіровоградська обл., 26000","138","45","137","11","84","9","93","","0","84","9","93","3","90","16","1","12","0","0","9","1","0","17","12","22","10.11.12"
"350438","101","Кіровоградська область","сільський клуб, зала
вул.Гагаріна, 34А, с.Кам’януватка, Новомиргородський р-н, Кіровоградська обл., 26030","144","58","135","15","71","15","86","","0","71","15","86","4","82","14","6","7","0","1","10","1","1","13","2","27","28.10.12"
"350439","101","Кіровоградська область","сільський будинок культури, мала зала
вул.Карла Маркса, 74, с.Кам’янка, Новомиргородський р-н, Кіровоградська обл., 26032","510","189","502","54","274","47","321","","0","274","47","321","6","315","88","8","30","1","3","57","0","1","69","6","52","10.11.12"
"350440","101","Кіровоградська область","сільська рада, к.1
вул.Жовтнева, 24, с.Каніж, Новомиргородський р-н, Кіровоградська обл., 26035","696","258","692","81","367","71","438","","0","367","71","438","14","424","139","18","43","3","11","24","1","2","59","22","102","29.10.12"
"350441","101","Кіровоградська область","сільська рада, актова зала
вул.Леніна, 25, с.Коробчине, Новомиргородський р-н, Кіровоградська обл., 26014","714","332","692","48","339","43","382","","0","339","43","382","10","372","88","22","39","2","0","35","1","2","62","11","110","29.10.12"
"350442","101","Кіровоградська область","сільський клуб, зала
вул.Колгоспна, 50А, с.Костянтинівка, Новомиргородський р-н, Кіровоградська обл., 26000","654","260","645","82","321","73","394","","0","321","73","394","13","381","154","14","31","1","8","28","1","3","33","12","96","28.10.12"
"350443","101","Кіровоградська область","сільський будинок культури, велика зала
вул.Перемоги, 214, с.Листопадове, Новомиргородський р-н, Кіровоградська обл., 26012","876","370","862","48","463","43","506","","0","463","43","506","15","491","106","6","82","1","0","23","0","3","109","26","135","29.10.12"
"350444","101","Кіровоградська область","сільський будинок культури, велика зала
вул.Леніна, 17, с.Андріївка, Новомиргородський р-н, Кіровоградська обл., 26013","144","35","143","16","101","8","109","","0","101","8","109","1","108","19","6","10","0","0","15","0","0","12","5","41","28.10.12"
"350445","101","Кіровоградська область","сільська рада, хол
вул.Тараса Шевченка, 20, с.Мар’ївка, Новомиргородський р-н, Кіровоградська обл., 26041","168","39","161","12","117","12","129","","0","117","12","129","4","125","37","12","2","1","1","10","0","0","42","5","15","29.10.12"
"350446","101","Кіровоградська область","СТОВ ""Степове"", хол
вул.Миру, 74, с.Мартоноша, Новомиргородський р-н, Кіровоградська обл., 26033","732","261","718","74","403","68","471","","0","403","68","471","15","456","185","23","38","3","6","57","2","1","47","3","91","29.10.12"
"350447","101","Кіровоградська область","сільський клуб ""Правда"", зала
вул.Перемоги, 67, с.Мартоноша, Новомиргородський р-н, Кіровоградська обл., 26033","348","107","344","30","217","24","241","","0","217","24","241","7","234","46","12","19","1","0","87","0","2","28","2","37","29.10.12"
"350448","101","Кіровоградська область","сільський будинок культури, мала зала
вул.Леніна, 14, с.Оситняжка, Новомиргородський р-н, Кіровоградська обл., 26020","606","206","592","31","369","31","400","","0","369","31","400","18","382","140","4","52","1","8","26","1","2","23","12","113","29.10.12"
"350449","101","Кіровоградська область","сільська рада, кімната урочистих подій
вул.Жовтнева, 44, с.Оситна, Новомиргородський р-н, Кіровоградська обл., 26043","282","102","273","15","167","13","180","","0","167","13","180","7","173","40","6","17","1","1","19","0","1","45","9","34","29.10.12"
"350450","101","Кіровоградська область","сільська рада, зала засідань
вул.Жовтнева, 1, с.Панчеве, Новомиргородський р-н, Кіровоградська обл., 26034","1194","490","1184","57","647","57","704","","0","647","57","704","12","692","179","19","133","2","2","30","4","3","58","10","252","29.10.12"
"350451","101","Кіровоградська область","сільська рада, хол
вул.Леніна, 14, с.Петроострів, Новомиргородський р-н, Кіровоградська обл., 26015","426","176","408","76","181","69","250","","0","181","69","250","6","244","46","13","10","0","0","23","36","0","33","4","79","28.10.12"
"350452","101","Кіровоградська область","сільський будинок культури, фойє
вул.Леніна, 11А, с.Пурпурівка, Новомиргородський р-н, Кіровоградська обл., 26040","378","132","373","35","213","33","246","","0","213","33","246","3","243","60","28","16","0","3","11","0","0","66","13","46","29.10.12"
"350453","101","Кіровоградська область","ТОВ ""Укрзернопром-Новомиргород"", хол
вул.Леніна, 126, с.Рубаний Міст, Новомиргородський р-н, Кіровоградська обл., 26014","438","175","432","53","218","45","263","","0","218","45","263","12","251","38","9","32","2","3","35","3","1","68","12","48","28.10.12"
"350454","101","Кіровоградська область","сільський клуб, фойє
вул.Перемоги, 114, с.Тишківка, Новомиргородський р-н, Кіровоградська обл., 26031","714","336","703","58","330","48","378","","0","330","48","378","10","368","74","12","42","1","5","46","1","1","40","14","132","29.10.12"
"350455","101","Кіровоградська область","сільський будинок культури, зала
вул.Леніна, 123, с.Турія, Новомиргородський р-н, Кіровоградська обл., 26011","930","348","912","82","507","75","582","","0","507","75","582","11","571","204","17","68","1","2","27","4","1","52","22","173","29.10.12"
