"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Великий
Іван
Дмитрович","Гриценко
Сергій
Петрович","Давиденко
Людмила
Вадимівна","Журавльов
Віталій
Володимирович","Кузьменко
Сергій
Анатолійович","Ліщенко
Костянтин
Олександрович","Панібратенко
Олег
Іванович","Сібірцев
Сергій
Вікторович","Ставицька
Вікторія
Іванівна","Дата підписання протоколу"
"350196","103","Кіровоградська область","школа, їдальня
вул.Гоголя, 34, с.Ганнівка, Долинський р-н, Кіровоградська обл., 28516","424","198","419","38","191","35","226","","0","191","35","226","9","217","4","7","19","66","76","12","0","3","30","29.10.12"
"350197","103","Кіровоградська область","будинок культури, актовий зал
пл.Миру, 3, с.Кірове, Долинський р-н, Кіровоградська обл., 28516","648","295","637","53","306","47","353","","0","306","47","353","14","339","3","8","16","143","116","17","1","1","34","29.10.12"
"350198","103","Кіровоградська область","сільський клуб, кабінет директора
вул.Карла Маркса, 68, с.Кірове, Долинський р-н, Кіровоградська обл., 28514","520","260","509","58","206","54","260","","0","206","54","260","8","252","5","14","31","80","92","10","1","3","16","29.10.12"
"350199","103","Кіровоградська область","сільська рада, зал засідань
вул.Молодіжна, 7, с.Лаврівка, Долинський р-н, Кіровоградська обл., 28523","184","73","176","13","99","12","111","","0","99","12","111","1","110","8","2","2","29","52","8","0","0","9","29.10.12"
"350200","103","Кіровоградська область","школа, вестибюль
пров.Транспортний, 1А, с.Маловодяне, Долинський р-н, Кіровоградська обл., 28505","784","365","789","26","395","24","419","","0","395","24","419","17","402","3","5","6","114","216","24","2","2","30","29.10.12"
"350201","103","Кіровоградська область","школа, кл.1
вул.Шкільна, 8, с.Червоне Озеро, Долинський р-н, Кіровоградська обл., 28505","336","143","334","20","173","20","193","","0","173","20","193","2","191","4","3","10","47","88","7","1","0","31","29.10.12"
"350202","103","Кіровоградська область","сільський клуб, зала
вул.Радянська, 57, с.Новогригорівка Друга, Долинський р-н, Кіровоградська обл., 28541","264","69","257","24","172","23","195","","0","172","23","195","3","192","3","3","6","55","95","10","1","0","19","29.10.12"
"350203","103","Кіровоградська область","будинок культури, фойє
вул.30-річчя Перемоги, 72, с.Новогригорівка Перша, Долинський р-н, Кіровоградська обл., 28522","624","239","623","67","331","54","385","","0","331","54","385","12","373","2","7","24","201","94","14","2","1","28","28.10.12"
"350204","103","Кіровоградська область","сільський клуб, фойє
пров.Космонавтів, 6, с.Широка Балка, Долинський р-н, Кіровоградська обл., 28524","232","57","234","17","161","14","175","","0","161","14","175","1","174","3","1","7","76","65","11","0","1","10","28.10.12"
"350205","103","Кіровоградська область","сільський клуб, зала
вул.Степова, 48А, с.Новоолександрівка, Долинський р-н, Кіровоградська обл., 28533","256","103","250","3","150","3","153","","0","150","3","153","2","151","2","2","10","39","81","8","1","0","8","29.10.12"
"350206","103","Кіровоградська область","школа, вестибюль
вул.Степова, 107, с.Федоро-Шулічине, Долинський р-н, Кіровоградська обл., 28533","168","37","170","15","116","15","131","","0","116","15","131","2","129","2","3","4","50","57","7","1","0","5","29.10.12"
"350207","103","Кіровоградська область","школа, фойє
вул.Гагаріна, 25, с.Олександрівка, Долинський р-н, Кіровоградська обл., 28531","520","209","511","34","279","32","311","","0","279","32","311","6","305","5","5","23","169","87","7","0","1","8","28.10.12"
"350208","103","Кіровоградська область","фельдшерсько-акушерський пункт, зала
вул.Замули, 2А, с.Новошевченкове, Долинський р-н, Кіровоградська обл., 28532","264","99","262","29","136","29","165","","0","136","29","165","8","157","2","8","11","51","71","5","2","0","7","29.10.12"
"350209","103","Кіровоградська область","сільська рада, обрядова зала
вул.Шкільна, 3, с-ще Першотравневе, Долинський р-н, Кіровоградська обл., 28530","328","137","321","15","179","12","191","","0","179","12","191","6","185","2","1","14","39","103","11","0","1","14","29.10.12"
"350210","103","Кіровоградська область","клуб ПСП ""Степ"", зала
вул.Шевченка, 25, с.Мирне, Долинський р-н, Кіровоградська обл., 28530","224","93","222","8","123","8","131","","0","123","8","131","4","127","1","6","10","27","64","6","0","3","10","29.10.12"
"350211","103","Кіровоградська область","сільський будинок культури, фойє
вул.Шкільна, 1, с.Пишне, Долинський р-н, Кіровоградська обл., 28542","192","84","185","8","101","7","108","","0","101","7","108","2","106","1","1","5","16","69","9","2","0","3","29.10.12"
"350212","103","Кіровоградська область","сільський будинок культури, зала
вул.Олексієнка, 51, с.Суходільське, Долинський р-н, Кіровоградська обл., 28520","376","138","374","33","209","29","238","","0","209","29","238","7","231","3","3","16","82","108","6","1","0","12","29.10.12"
"350213","103","Кіровоградська область","сільський клуб, зала
вул.Ляшенка, 67, с.Новосавицьке, Долинський р-н, Кіровоградська обл., 28521","88","44","81","1","44","0","44","","0","44","0","44","1","43","0","0","0","15","21","4","1","0","2","28.10.12"
"350547","103","Кіровоградська область","фельдшерсько-акушерський пункт, кімната прийому
вул.Енгельса, 24, с.Лозуватка, Олександрійський р-н, Кіровоградська обл., 28042","104","51","99","12","43","10","53","","0","43","10","53","1","52","0","0","3","21","21","0","0","0","7","28.10.12"
"350548","103","Кіровоградська область","будинок культури №1, фойє
вул.Леніна, 153Д, смт Нова Прага, Олександрійський р-н, Кіровоградська обл., 28042","560","265","549","30","265","30","295","","0","265","30","295","3","292","1","1","23","22","213","10","1","4","17","28.10.12"
"350549","103","Кіровоградська область","школа, фойє
вул.Леніна, 99А, смт Нова Прага, Олександрійський р-н, Кіровоградська обл., 28042","648","293","640","52","304","51","355","","0","304","51","355","10","345","2","5","10","67","213","19","0","13","16","29.10.12"
"350550","103","Кіровоградська область","будинок дитячої та юнацької творчості, фойє
вул.Паризької Комуни, 44, смт Нова Прага, Олександрійський р-н, Кіровоградська обл., 28042","1432","698","1410","110","643","91","734","","0","643","91","734","20","714","3","5","32","102","480","44","0","15","33","29.10.12"
"350551","103","Кіровоградська область","навчально-виховний комплекс, фойє
вул.Червоноармійська, 23, смт Нова Прага, Олександрійський р-н, Кіровоградська обл., 28042","1088","527","1074","86","490","71","561","","0","490","71","561","14","547","2","2","10","75","386","25","2","7","38","29.10.12"
"350552","103","Кіровоградська область","школа, фойє
вул.Садова, 116, смт Нова Прага, Олександрійський р-н, Кіровоградська обл., 28042","896","441","880","56","402","53","455","","0","402","53","455","7","448","3","2","16","52","339","16","1","5","14","29.10.12"
"350553","103","Кіровоградська область","школа, актова зала
вул.Леніна, 2, смт Приютівка, Олександрійський р-н, Кіровоградська обл., 28034","1176","511","1163","30","635","30","665","","0","635","30","665","18","647","5","7","22","98","408","36","2","22","47","29.10.12"
"350554","103","Кіровоградська область","будинок культури, актова зала
вул.Жовтнева, 10, смт Приютівка, Олександрійський р-н, Кіровоградська обл., 28034","1272","572","1258","24","679","21","700","","0","679","21","700","10","690","1","0","17","100","469","41","1","22","39","29.10.12"
"350555","103","Кіровоградська область","школа, актова зала
вул.Набережна, 2, с.Андріївка, Олександрійський р-н, Кіровоградська обл., 28053","600","279","592","53","271","50","321","","0","271","50","321","6","315","0","3","14","49","221","10","0","2","16","29.10.12"
"350556","103","Кіровоградська область","будинок культури, фойє
вул.Леніна, 5, с.Бандурівка, Олександрійський р-н, Кіровоградська обл., 28036","432","142","425","65","225","65","290","","0","225","65","290","4","286","1","5","11","109","139","6","0","0","15","28.10.12"
"350557","103","Кіровоградська область","сільський клуб, зал
вул.Попова, 88, с.Морозівка, Олександрійський р-н, Кіровоградська обл., 28036","128","45","131","11","72","11","83","","0","72","11","83","1","82","2","2","1","15","51","2","0","0","9","28.10.12"
"350558","103","Кіровоградська область","школа, актова зала
вул.Леніна, 61, с.Ясинуватка, Олександрійський р-н, Кіровоградська обл., 28037","432","184","423","30","221","27","248","","0","221","27","248","2","246","0","1","9","106","108","9","2","1","10","28.10.12"
"350559","103","Кіровоградська область","школа, спортивний зал
вул.Леніна, 117А, с.Войнівка, Олександрійський р-н, Кіровоградська обл., 28021","800","392","792","43","368","40","408","","0","368","40","408","5","403","1","12","18","83","233","21","2","8","25","29.10.12"
"350560","103","Кіровоградська область","будинок культури, фойє
вул.Леніна, 169В, с.Войнівка, Олександрійський р-н, Кіровоградська обл., 28021","792","354","788","32","408","30","438","","0","408","30","438","17","421","1","3","24","56","293","15","0","5","24","29.10.12"
"350561","103","Кіровоградська область","школа, фойє
вул.Жовтнева, 42, с.Головківка, Олександрійський р-н, Кіровоградська обл., 28043","856","337","844","96","430","89","519","","0","430","89","519","7","512","2","1","5","32","456","4","1","1","10","29.10.12"
"350562","103","Кіровоградська область","будинок культури, актова зала
вул.Леніна, 114А, с.Головківка, Олександрійський р-н, Кіровоградська обл., 28043","664","223","648","69","379","62","441","","0","379","62","441","3","438","2","0","2","23","396","7","0","3","5","28.10.12"
"350563","103","Кіровоградська область","сільська рада, зал засідань
вул.Чкалова, 19, с.Дівоче Поле, Олександрійський р-н, Кіровоградська обл., 28050","376","113","365","34","229","34","263","","0","229","34","263","6","257","3","2","8","36","183","4","0","1","20","29.10.12"
"350564","103","Кіровоградська область","школа, фойє
вул.Шкільна, 25, с.Добронадіївка, Олександрійський р-н, Кіровоградська обл., 28054","720","253","715","85","385","82","467","","0","385","82","467","9","458","1","4","12","29","371","10","1","1","29","29.10.12"
"350565","103","Кіровоградська область","сільський клуб, зал
вул.Горобця, 91, с.Долинське, Олександрійський р-н, Кіровоградська обл., 28060","168","54","161","16","100","14","114","","0","100","14","114","2","112","1","3","0","22","77","4","0","1","4","28.10.12"
"350566","103","Кіровоградська область","будинок культури, актова зала
вул.Набережна, 1А, с.Ізмайлівка, Олександрійський р-н, Кіровоградська обл., 28056","464","161","454","58","252","51","303","","0","252","51","303","2","301","0","0","8","32","239","5","3","3","11","29.10.12"
"350567","103","Кіровоградська область","сільський клуб, зал
вул.Шевченка, 2, с.Піщаний Брід, Олександрійський р-н, Кіровоградська обл., 28056","240","88","238","31","125","27","152","","0","125","27","152","2","150","0","2","4","11","126","1","0","2","4","28.10.12"
"350568","103","Кіровоградська область","будинок культури, фойє
вул.Шкільна, 2А, с-ще Комінтерн, Олександрійський р-н, Кіровоградська обл., 28022","736","312","724","43","386","38","424","","0","386","38","424","13","411","1","1","18","53","301","15","1","6","15","28.10.12"
"350569","103","Кіровоградська область","будинок культури, актова зала
вул.Культури, 29, с.Косівка, Олександрійський р-н, Кіровоградська обл., 28030","864","350","849","63","459","55","514","","0","459","55","514","9","505","1","6","13","76","336","15","2","9","47","29.10.12"
"350570","103","Кіровоградська область","школа, спортивний зал
вул.Леніна, 23, с.Костянтинівка, Олександрійський р-н, Кіровоградська обл., 28031","304","128","297","20","159","17","176","","0","159","17","176","2","174","0","2","7","39","93","8","0","6","19","29.10.12"
"350571","103","Кіровоградська область","школа, спортивний зал
вул.Шевченка, 19, с.Бутівське, Олександрійський р-н, Кіровоградська обл., 28031","400","138","397","38","224","38","262","","0","224","38","262","0","262","2","0","9","71","152","9","0","5","14","29.10.12"
"350572","103","Кіровоградська область","навчально-виховний комплекс, фойє
вул.Червоноармійська, 4, с.Куколівка, Олександрійський р-н, Кіровоградська обл., 28052","664","252","657","65","350","62","412","","0","350","62","412","10","402","4","5","25","84","240","13","3","4","24","29.10.12"
"350573","103","Кіровоградська область","школа, актова зала
вул.Кооператівна, 5, с.Лікарівка, Олександрійський р-н, Кіровоградська обл., 28032","592","310","584","19","264","18","282","","0","264","18","282","13","269","5","3","13","41","166","11","1","2","27","28.10.12"
"350574","103","Кіровоградська область","фельдшерсько-акушерський пункт, кімната прийому
вул.Попова, 1, с.Пахарівка, Олександрійський р-н, Кіровоградська обл., 28064","136","36","128","17","85","15","100","","0","85","15","100","2","98","1","2","7","12","68","2","0","1","5","29.10.12"
"350575","103","Кіровоградська область","будинок культури, фойє
вул.Центральна, 5, с.Михайлівка, Олександрійський р-н, Кіровоградська обл., 28064","200","44","192","8","148","8","156","","0","148","8","156","2","154","0","1","3","9","132","5","0","1","3","28.10.12"
"350576","103","Кіровоградська область","фельдшерсько-акушерський пункт, кімната прийому
вул.Гагаріна, 28А, с.Тарасівка, Олександрійський р-н, Кіровоградська обл., 28064","144","38","139","13","95","11","106","","0","95","11","106","2","104","3","0","0","33","64","2","1","0","1","29.10.12"
"350577","103","Кіровоградська область","школа, кабінет четвертого класу
вул.Леніна, 26, с.Недогарки, Олександрійський р-н, Кіровоградська обл., 28033","584","214","587","35","339","31","370","","0","339","31","370","15","355","2","5","23","73","225","13","2","1","11","29.10.12"
"350578","103","Кіровоградська область","будинок культури, фойє
вул.Леніна, 1Б, с.Олександрівка, Олександрійський р-н, Кіровоградська обл., 28051","544","217","528","27","300","27","327","","0","300","27","327","8","319","1","3","16","21","238","16","0","0","24","29.10.12"
"350579","103","Кіровоградська область","сільський клуб, зал
вул.Жовтнева, 1А, с.Сонине, Олександрійський р-н, Кіровоградська обл., 28051","88","45","84","3","40","3","43","","0","40","3","43","1","42","0","0","0","19","21","2","0","0","0","29.10.12"
"350580","103","Кіровоградська область","будинок культури, фойє
вул.Красна, 18, с.Попельнасте, Олександрійський р-н, Кіровоградська обл., 28062","592","211","587","66","316","65","381","","0","316","64","380","10","370","6","3","17","97","216","11","1","8","11","29.10.12"
"350581","103","Кіровоградська область","приватне підприємство ""АПК АРТЕМ"", актова зала
вул.Щорса, 7, с.Попельнасте, Олександрійський р-н, Кіровоградська обл., 28062","144","27","145","32","85","32","117","","0","85","32","117","3","114","0","0","0","37","69","2","2","1","3","29.10.12"
"350582","103","Кіровоградська область","будинок культури, актова зала
вул.Жовтнева, 4, с.Пролетарське, Олександрійський р-н, Кіровоградська обл., 28061","336","161","327","10","165","10","175","","0","165","10","175","2","173","1","0","11","36","110","6","0","0","9","29.10.12"
"350583","103","Кіровоградська область","школа, спортивний зал
вул.Клубна, 10А, с.Протопопівка, Олександрійський р-н, Кіровоградська обл., 28034","656","346","649","23","289","21","310","","0","289","21","310","9","301","2","2","26","82","130","16","2","8","33","28.10.12"
"350584","103","Кіровоградська область","будинок культури, актова зала
вул.Кононова, 18, с.Протопопівка, Олександрійський р-н, Кіровоградська обл., 28034","1032","489","1024","53","495","48","543","","0","495","48","543","15","528","1","2","25","122","293","29","2","16","38","29.10.12"
"350585","103","Кіровоградська область","школа, майстерня
вул.Ольховського, 151, с.Березівка, Олександрійський р-н, Кіровоградська обл., 28035","440","178","439","30","236","26","262","","0","236","26","262","7","255","1","3","12","19","149","9","1","3","58","29.10.12"
"350586","103","Кіровоградська область","сільська рада, зал засідань
вул.Леніна, 34, с.Світлопіль, Олександрійський р-н, Кіровоградська обл., 28041","152","55","147","11","87","10","97","","0","87","10","97","1","96","2","0","2","15","70","1","1","0","5","29.10.12"
"350587","103","Кіровоградська область","школа, фойє
вул.Жовтнева, 5А, с.Улянівка, Олександрійський р-н, Кіровоградська обл., 28065","472","192","469","34","248","32","280","","0","248","32","280","9","271","1","2","8","13","219","2","0","0","26","29.10.12"
"350588","103","Кіровоградська область","фельдшерсько-акушерський пункт, кімната прийому
вул.Діброви, 10, с.Тарасово-Шевченкове, Олександрійський р-н, Кіровоградська обл., 28065","128","52","119","6","71","5","76","","0","71","5","76","1","75","0","1","1","16","52","2","0","0","3","29.10.12"
"350589","103","Кіровоградська область","сільськогосподарський виробничий кооператив ім.Фрунзе, зал засідань
вул.Сухинова, 7, с.Червона Кам’янка, Олександрійський р-н, Кіровоградська обл., 28063","1288","580","1264","115","601","107","708","","0","601","107","708","12","696","5","5","34","91","425","42","1","7","86","29.10.12"
"350590","103","Кіровоградська область","сільський клуб, зал
вул.Гвоздьова, 39, с.Ялинівка, Олександрійський р-н, Кіровоградська обл., 28063","152","58","148","6","88","6","94","","0","88","6","94","5","89","0","1","9","11","53","6","0","2","7","28.10.12"
"350591","103","Кіровоградська область","школа, фойє
вул.Молодіжна, 5, с.Шарівка, Олександрійський р-н, Кіровоградська обл., 28044","528","157","523","45","330","41","371","","0","330","41","371","4","367","3","0","7","16","323","7","1","1","9","29.10.12"
"350592","103","Кіровоградська область","сільський клуб, зал
вул.Шкільна, 28, с-ще Гайове, Олександрійський р-н, Кіровоградська обл., 28044","208","78","202","10","121","9","130","","0","121","9","130","3","127","1","0","1","8","111","1","0","2","3","29.10.12"
"350593","103","Кіровоградська область","сільський клуб, зал
вул.Миру, 3, с-ще Квітневе, Олександрійський р-н, Кіровоградська обл., 28044","224","62","222","8","154","8","162","","0","154","8","162","1","161","0","0","2","1","156","1","0","0","1","28.10.12"
"350594","103","Кіровоградська область","сільська рада, зал засідань
вул.Леніна, 12А, с.Щасливе, Олександрійський р-н, Кіровоградська обл., 28055","544","226","536","29","289","29","318","","0","289","29","318","4","314","4","4","20","57","201","10","0","0","18","28.10.12"
"350615","103","Кіровоградська область","музична школа, спортзал
вул.Ілліча, 38, смт Петрове, Петрівський р-н, Кіровоградська обл., 28300","1472","712","1463","58","718","42","760","","0","718","42","760","21","739","45","9","55","210","288","67","7","5","53","29.10.12"
"350616","103","Кіровоградська область","музична школа, фойє
вул.Ілліча, 38, смт Петрове, Петрівський р-н, Кіровоградська обл., 28300","1720","787","1708","14","923","10","933","","0","923","10","933","27","906","61","12","53","240","354","102","6","10","68","29.10.12"
"350617","103","Кіровоградська область","районний будинок культури, фойє
вул.Ілліча, 45, смт Петрове, Петрівський р-н, Кіровоградська обл., 28300","1720","814","1712","15","892","14","906","","0","0","0","906","23","882","62","6","50","258","334","96","8","12","56","30.10.12"
"350618","103","Кіровоградська область","ТОВ ""АФ ""Фортуна"", колишня їдальня
вул.Леніна, 2А, смт Петрове, Петрівський р-н, Кіровоградська обл., 28300","1192","547","1193","46","601","44","645","","0","601","44","645","17","628","35","12","52","137","263","61","2","3","63","29.10.12"
"350619","103","Кіровоградська область","сільський клуб, малий зал
вул.Ворошилова, 172, смт Петрове, Петрівський р-н, Кіровоградська обл., 28300","320","109","316","19","192","19","211","","0","192","19","211","7","204","5","4","13","57","97","10","1","0","17","29.10.12"
"350620","103","Кіровоградська область","будинок культури, фойє
вул.Шкільна, 3, смт Балахівка, Петрівський р-н, Кіровоградська обл., 28314","680","251","677","23","408","21","429","","0","408","21","429","9","420","4","3","12","76","267","19","2","0","37","29.10.12"
"350621","103","Кіровоградська область","дитячий садок, ігрова кімната
вул.Чапаєва, 9, с.Солдатське, Петрівський р-н, Кіровоградська обл., 28332","368","157","359","23","189","22","211","","0","189","22","211","11","200","10","5","19","46","94","15","0","0","11","28.10.12"
"350622","103","Кіровоградська область","сільський будинок культури, глядацький зал
вул.Засядька, 2, с.Водяне, Петрівський р-н, Кіровоградська обл., 28330","280","116","278","14","150","14","164","","0","150","14","164","2","162","2","1","13","34","84","11","0","2","15","29.10.12"
"350623","103","Кіровоградська область","школа, фойє
вул.Жовтнева, 48, с.Ганнівка, Петрівський р-н, Кіровоградська обл., 28325","720","287","712","53","381","52","433","","0","381","52","433","11","422","16","5","37","62","269","11","2","1","19","29.10.12"
"350624","103","Кіровоградська область","сільський будинок культури, великий зал
вул.Леніна, 17, с-ще Володимирівка, Петрівський р-н, Кіровоградська обл., 28326","784","260","777","22","502","22","524","","0","502","22","524","15","509","18","8","21","54","375","13","1","3","16","28.10.12"
"350625","103","Кіровоградська область","сільський будинок культури, великий зал
вул.Іскрівська, 26, с.Ганнівка, Петрівський р-н, Кіровоградська обл., 28325","264","89","259","7","168","7","175","","0","168","7","175","5","170","0","4","8","15","127","6","0","1","9","28.10.12"
"350626","103","Кіровоградська область","сільський клуб, великий зал
вул.Дружби, 31, с-ще Рядове, Петрівський р-н, Кіровоградська обл., 28327","304","110","299","29","166","28","194","","0","166","28","194","3","191","2","1","17","15","130","13","0","2","11","28.10.12"
"350627","103","Кіровоградська область","сільська рада, зал засідань
вул.Дружби, 4, с.Зелене, Петрівський р-н, Кіровоградська обл., 28320","448","198","440","48","209","41","250","","0","209","41","250","7","243","13","2","23","43","132","9","1","1","19","29.10.12"
"350628","103","Кіровоградська область","сільський будинок культури, великий зал
вул.Жовтнева, 19, с.Іванівка, Петрівський р-н, Кіровоградська обл., 28321","168","51","159","2","115","2","117","","0","115","2","117","5","112","2","3","4","16","83","0","2","0","2","29.10.12"
"350629","103","Кіровоградська область","школа, фойє
пров.Шкільний, 2, с.Іскрівка, Петрівський р-н, Кіровоградська обл., 28337","784","414","780","6","365","5","370","","0","364","5","369","28","341","15","7","55","114","108","11","2","1","28","31.10.12"
"350630","103","Кіровоградська область","сільська рада, зал засідань
вул.Шкільна, 3, с.Йосипівка, Петрівський р-н, Кіровоградська обл., 28323","200","58","197","35","111","31","142","","0","111","31","142","4","138","76","1","6","28","24","0","0","0","3","29.10.12"
