"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Андрющенко
Богдан
Вікторович","Березкін
Станіслав
Семенович","Гранатова
Ольга
Арсентіївна","Гук
Вадим
Ігорович","Дорохіна
Людмила
Володимирівна","Іванченко
Павло
Петрович","Манженко
Євгеній
Іванович","Подорожний
Сергій
Михайлович","Порубай
Валерій
Юрійович","Секрет
Зоя
Федорівна","Сіненко
Ігор
Михайлович","Дата підписання протоколу"
"350001","100","Кіровоградська область","ПТУ №32, актовий зал
вул.Димитрова, 1, м.Бобринець, Бобринецький р-н, Кіровоградська обл., 27200","1896","988","1878","24","886","22","908","","0","886","22","908","25","883","99","249","312","4","6","15","49","7","7","130","5","29.10.12"
"350002","100","Кіровоградська область","школа №1, фойє
вул.Леніна, 62, м.Бобринець, Бобринецький р-н, Кіровоградська обл., 27200","1944","997","1871","33","919","28","947","","0","919","28","947","27","920","69","297","293","1","5","21","42","7","5","175","5","29.10.12"
"350003","100","Кіровоградська область","ВАТ ""Сільгосптехніка"", актовий зал
вул.Промислова, 6, м.Бобринець, Бобринецький р-н, Кіровоградська обл., 27200","1860","818","1850","31","1011","31","1042","","0","1011","31","1042","15","1027","107","312","335","2","7","19","80","12","6","141","6","29.10.12"
"350004","100","Кіровоградська область","Сільськогосподарський технікум імені В.В.Порика, спортивний зал
пров.Порика, 4, м.Бобринець, Бобринецький р-н, Кіровоградська обл., 27200","2022","1053","1963","48","925","44","969","","0","925","44","969","28","941","77","333","293","7","4","15","51","8","6","145","2","29.10.12"
"350005","100","Кіровоградська область","школа №4, фойє
вул.Ломоносова, 19, м.Бобринець, Бобринецький р-н, Кіровоградська обл., 27200","1356","830","1327","14","512","14","526","","0","512","14","526","25","501","34","149","168","4","1","5","17","3","2","113","5","29.10.12"
"350006","100","Кіровоградська область","сільський клуб, актовий зал
сільський клуб, с.Дібрівка, Бобринецький р-н, Кіровоградська обл., 27200","258","86","256","24","149","23","172","","0","149","23","172","10","162","8","78","25","0","1","3","3","3","0","39","2","28.10.12"
"350007","100","Кіровоградська область","сільська рада, зал засідань
вул.Шкільна, 1, с.Бобринка, Бобринецький р-н, Кіровоградська обл., 27233","294","123","284","28","145","26","171","","0","145","26","171","5","166","10","43","67","3","1","3","14","5","1","19","0","02.11.12"
"350008","100","Кіровоградська область","сільський клуб, актовий зал
вул.Щорса, 40, с.Буховецьке, Бобринецький р-н, Кіровоградська обл., 27254","402","123","396","25","254","25","279","","0","254","25","279","16","263","6","94","121","1","4","0","5","2","4","25","1","29.10.12"
"350009","100","Кіровоградська область","будинок культури, актовий зал
вул.Л.Топор, 4, с.Василівка, Бобринецький р-н, Кіровоградська обл., 27244","276","90","276","33","157","29","186","","0","157","29","186","4","182","4","65","56","0","2","4","8","0","1","40","2","29.10.12"
"350010","100","Кіровоградська область","сільський клуб, актовий зал
вул.Гагаріна, 14, с.Береславка, Бобринецький р-н, Кіровоградська обл., 27244","48","22","46","8","22","4","26","","0","22","4","26","0","26","2","6","8","0","0","0","2","0","0","8","0","28.10.12"
"350011","100","Кіровоградська область","будинок культури, актовий зал
вул.Набережна, 16, с.Верхньоінгульське, Бобринецький р-н, Кіровоградська обл., 27214","354","115","357","23","217","22","239","","0","217","22","239","8","231","7","129","61","3","2","4","9","3","2","10","1","29.10.12"
"350012","100","Кіровоградська область","школа, фойє
вул.Молодіжна, 17, с.Веселівка, Бобринецький р-н, Кіровоградська обл., 27261","348","147","347","25","179","22","201","","0","179","22","201","7","194","3","31","58","0","3","3","6","0","1","87","2","28.10.12"
"350013","100","Кіровоградська область","будинок культури, актовий зал
вул.Базарна, 19, с.Витязівка, Бобринецький р-н, Кіровоградська обл., 27232","750","313","748","74","370","67","437","","0","370","67","437","12","425","17","176","116","4","11","11","16","4","4","64","2","29.10.12"
"350014","100","Кіровоградська область","ФАП, фойє
вул.Садова, 11А, с.Зоряне, Бобринецький р-н, Кіровоградська обл., 27232","108","29","105","8","71","8","79","","0","71","8","79","1","78","6","37","19","0","0","4","6","2","0","4","0","28.10.12"
"350015","100","Кіровоградська область","будинок культури, актовий зал
вул.Віктора Куліша, 2, с.Володимиро-Іллінка, Бобринецький р-н, Кіровоградська обл., 27253","198","57","197","16","127","14","141","","0","127","14","141","5","136","6","51","28","4","1","6","5","2","2","30","1","29.10.12"
"350016","100","Кіровоградська область","СТОВ ""Агровіта"", контора
вул.Комсомольська, 20, с.Кетрисанівка, Бобринецький р-н, Кіровоградська обл., 27247","486","135","494","50","303","48","351","","0","303","48","351","8","343","24","140","89","0","4","3","14","1","2","63","3","29.10.12"
"350017","100","Кіровоградська область","сільська рада, зал засідань
вул.Леніна, 47, с.Кетрисанівка, Бобринецький р-н, Кіровоградська обл., 27247","390","166","377","24","200","24","224","","0","200","24","224","4","220","13","61","100","2","3","1","5","3","1","29","2","28.10.12"
"350018","100","Кіровоградська область","сільський клуб, актовий зал
вул.70-річчя Жовтня, 32, с.Костомарівка, Бобринецький р-н, Кіровоградська обл., 27260","336","120","328","10","208","8","216","","0","208","8","216","6","210","18","90","43","2","3","5","5","6","0","36","2","28.10.12"
"350019","100","Кіровоградська область","будинок культури, актовий зал
вул.Шевченка, 6, с.Кохане, Бобринецький р-н, Кіровоградська обл., 27260","150","87","146","4","59","4","63","","0","59","4","63","2","61","2","20","13","1","0","1","3","1","0","17","3","28.10.12"
"350020","100","Кіровоградська область","дитячий садок, актовий зал
вул.Центральна, 2А, с.Куйбишеве, Бобринецький р-н, Кіровоградська обл., 27222","468","201","457","29","239","28","267","","0","239","28","267","8","259","18","123","60","0","3","3","8","7","1","34","2","29.10.12"
"350021","100","Кіровоградська область","сільський клуб, актовий зал
вул.Куйбишева, 3А, с.Кірове, Бобринецький р-н, Кіровоградська обл., 27222","156","45","157","24","88","23","111","","0","88","23","111","2","109","4","63","24","0","2","1","1","1","2","11","0","29.10.12"
"350022","100","Кіровоградська область","будинок культури, актовий зал
вул.Димитрова, 4, с.Мар’янівка, Бобринецький р-н, Кіровоградська обл., 27220","186","64","186","11","111","11","122","","0","111","11","122","6","116","3","55","21","3","0","2","5","2","2","23","0","29.10.12"
"350023","100","Кіровоградська область","будинок культури, актовий зал
вул.Молодіжна, 21, с.Миколо-Бабанка, Бобринецький р-н, Кіровоградська обл., 27250","432","180","430","42","210","42","252","","0","210","42","252","6","246","33","62","81","0","0","0","6","2","2","60","0","29.10.12"
"350024","100","Кіровоградська область","ФАП, фойє
вул.Жовтнева, 7А, с.Сорочанове, Бобринецький р-н, Кіровоградська обл., 27250","126","42","119","5","79","5","84","","0","79","5","84","3","81","2","41","24","0","1","1","4","3","0","4","1","29.10.12"
"350025","100","Кіровоградська область","сільська рада, зал засідань
вул.Молодіжна, 39, с.Новоградівка, Бобринецький р-н, Кіровоградська обл., 27255","582","256","574","49","278","48","326","","0","278","48","326","9","317","15","151","76","2","3","5","9","6","1","48","1","31.10.12"
"350026","100","Кіровоградська область","будинок культури, актовий зал
вул.70 років Жовтня, 20, с.Новомиколаївка, Бобринецький р-н, Кіровоградська обл., 27248","198","56","192","5","137","5","142","","0","137","5","142","2","140","12","59","41","0","3","0","2","2","1","19","1","28.10.12"
"350027","100","Кіровоградська область","ФАП, фойє
вул.Перемоги, 13, с.Степівка, Бобринецький р-н, Кіровоградська обл., 27248","30","13","29","5","14","3","17","","0","14","3","17","0","17","0","6","1","0","0","1","0","0","0","8","1","28.10.12"
"350028","100","Кіровоградська область","будинок культури, актовий зал
вул.Олексіївська, 2, с.Олексіївка, Бобринецький р-н, Кіровоградська обл., 27213","450","144","449","33","281","25","306","","0","281","25","306","15","291","40","127","44","1","2","11","9","2","1","52","2","29.10.12"
"350029","100","Кіровоградська область","будинок культури, актовий зал
вул.Шкільна, 2, с.Павлогірківка, Кіровоградська обл., Бобринецький р-н, 27224","318","78","320","27","215","25","240","","0","215","25","240","6","234","6","81","91","1","6","3","17","10","0","17","2","29.10.12"
"350030","100","Кіровоградська область","школа, фойє
вул.Молодіжна, 1А, с.Рощахівка, Бобринецький р-н, Кіровоградська обл., 27252","378","148","366","33","199","31","230","","0","199","31","230","4","226","11","45","123","0","0","2","10","9","1","22","3","29.10.12"
"350031","100","Кіровоградська область","школа, фойє
вул.Молодіжна, 61, с.Свердлове, Бобринецький р-н, Кіровоградська обл., 27212","462","150","463","42","272","40","312","","0","272","40","312","8","304","36","99","54","1","1","9","8","1","6","88","1","29.10.12"
"350032","100","Кіровоградська область","будинок культури, актовий зал
вул.Молодіжна, 5, с.Полум’яне, Бобринецький р-н, Кіровоградська обл., 27212","102","40","97","2","60","2","62","","0","60","2","62","5","57","0","13","21","0","0","2","2","0","1","18","0","29.10.12"
"350033","100","Кіровоградська область","сільська рада, зал засідань
вул.Бобринецька, 11, с.Солонцюватка, Бобринецький р-н, Кіровоградська обл., 27245","174","70","168","11","94","10","104","","0","94","10","104","3","101","4","55","21","0","0","3","5","0","0","13","0","29.10.12"
"350034","100","Кіровоградська область","сільська рада, зал засідань
вул.Нова, 1, с.Сугокліївка, Бобринецький р-н, Кіровоградська обл., 27216","348","142","348","28","181","25","206","","0","181","25","206","6","200","31","73","22","2","0","2","4","1","1","64","0","28.10.12"
"350035","100","Кіровоградська область","будинок культури, актовий зал
вул.Центральна, 7, с.Тарасівка, Бобринецький р-н, Кіровоградська обл., 27240","456","174","455","42","241","41","282","","0","241","41","282","9","273","23","79","72","1","1","11","12","6","0","64","4","28.10.12"
"350036","100","Кіровоградська область","сільський клуб, актовий зал
сільський клуб, с.Червонопілля, Бобринецький р-н, Кіровоградська обл., 27240","408","149","399","40","219","40","259","","0","219","40","259","8","251","23","100","52","4","0","0","17","4","3","47","1","29.10.12"
"350037","100","Кіровоградська область","сільська рада, зал засідань
вул.Яницького, 84, с.Федіївка, Бобринецький р-н, Кіровоградська обл., 27230","408","150","402","25","233","25","258","","0","233","25","258","5","253","28","80","102","0","3","1","13","7","0","18","1","29.10.12"
"350038","100","Кіровоградська область","школа, фойє
вул.Леніна, 36, с.Чарівне, Бобринецький р-н, Кіровоградська обл., 27241","558","259","551","25","274","25","299","","0","274","25","299","9","290","7","128","89","3","3","7","11","6","0","32","4","29.10.12"
"350039","100","Кіровоградська область","школа, фойє
вул.Попова, 53, с-ще Мирне, Бобринецький р-н, Кіровоградська обл., 27241","216","62","211","9","147","7","154","","0","147","7","154","7","147","6","68","29","1","0","4","10","3","0","25","1","29.10.12"
"350040","100","Кіровоградська область","сільська рада, зал засідань
вул.Центральна, 14, с.Червона Долина, Бобринецький р-н, Кіровоградська обл., 27223","72","30","71","7","38","4","42","","0","0","0","42","0","42","1","13","21","1","0","3","0","3","0","0","0","31.10.12"
"350041","100","Кіровоградська область","будинок культури, актовий зал
вул.Центральна, 60, с.Коржеве, Бобринецький р-н, Кіровоградська обл., 27223","246","101","248","14","132","13","145","","0","132","13","145","8","137","7","68","32","1","1","2","7","0","2","17","0","29.10.12"
"350042","100","Кіровоградська область","будинок культури, актовий зал
вул.Калініна, 30В, с.Червонозорівка, Бобринецький р-н, Кіровоградська обл., 27225","228","78","227","17","135","15","150","","0","135","15","150","9","141","2","75","19","0","1","0","12","2","0","30","0","29.10.12"
"350043","100","Кіровоградська область","контора СП ТОВ ""Аврора"", хол
вул.Миру, 96, смт Вільшанка, Вільшанський р-н, Кіровоградська обл., 26600","1164","584","1158","20","564","16","580","","0","0","0","580","32","548","20","244","153","7","18","3","33","12","2","54","2","01.11.12"
"350044","100","Кіровоградська область","районний будинок культури, фойє
вул.Леніна, 11, смт Вільшанка, Вільшанський р-н, Кіровоградська обл., 26600","1464","632","1458","31","807","25","832","","0","0","0","832","31","801","30","235","290","10","10","6","87","14","7","103","9","04.11.12"
"350045","100","Кіровоградська область","автоколона №13549, актова зала
вул.Гранітна, 3, смт Вільшанка, Вільшанський р-н, Кіровоградська обл., 26600","576","293","572","8","275","8","283","","0","275","8","283","18","265","9","96","84","6","6","3","27","1","4","26","3","28.10.12"
"350046","100","Кіровоградська область","міський будинок культури-2, актова зала
вул.Колгоспна, 7, смт Вільшанка, Вільшанський р-н, Кіровоградська обл., 26600","1002","451","986","51","503","48","551","","0","503","48","551","18","533","19","164","183","3","12","7","51","11","4","69","10","29.10.12"
"350047","100","Кіровоградська область","школа, спортивний зал
вул.Топольнікова, 2, с.Калмазове, Вільшанський р-н, Кіровоградська обл., 26605","354","133","354","28","194","27","221","","0","194","27","221","6","215","2","60","99","5","5","0","6","5","1","30","2","28.10.12"
"350048","100","Кіровоградська область","будинок культури, актова зала
вул.Лідії Гірник, 47, с.Осички, Вільшанський р-н, Кіровоградська обл., 26604","246","95","246","8","143","8","151","","0","143","8","151","14","137","10","44","58","1","4","2","10","0","1","5","2","30.10.12"
"350049","100","Кіровоградська область","школа, хол
вул.Квітнева, 55, с.Березова Балка, Вільшанський р-н, Кіровоградська обл., 26623","402","167","398","23","214","21","235","","0","214","21","235","13","222","8","83","74","4","5","4","17","3","4","20","0","28.10.12"
"350050","100","Кіровоградська область","школа, актова зала
вул.Садова, 16, с.Бузникувате, Вільшанський р-н, Кіровоградська обл., 26621","282","89","277","28","169","24","193","","0","169","24","193","7","186","4","42","115","1","3","0","5","2","2","11","1","29.10.12"
"350051","100","Кіровоградська область","будинок культури, кабінет спеціалістів
вул.Комсомольська, 2, с.Вівсяники, Вільшанський р-н, Кіровоградська обл., 26620","336","114","333","29","195","27","222","","0","195","27","222","5","217","7","117","53","1","3","5","7","3","2","15","4","28.10.12"
"350052","100","Кіровоградська область","школа, актова зала
пл.Димитрова, 4, с.Добре, Вільшанський р-н, Кіровоградська обл., 26606","606","189","599","45","374","43","417","","0","374","43","417","26","391","11","89","154","4","11","6","38","12","5","54","7","29.10.12"
"350053","100","Кіровоградська область","будинок культури, фойє
вул.Леніна, 73, с.Добрянка, Вільшанський р-н, Кіровоградська обл., 26612","798","270","793","48","484","44","528","","0","484","44","528","17","511","5","245","149","8","9","1","42","9","3","37","3","29.10.12"
"350054","100","Кіровоградська область","сільська рада, зала засідань
вул.Леніна, 6А, с.Дорожинка, Вільшанський р-н, Кіровоградська обл., 26624","450","185","444","42","229","36","265","","0","229","36","265","8","257","10","67","116","5","6","2","21","5","3","19","3","28.10.12"
"350055","100","Кіровоградська область","сільський клуб, концертна зала
вул.Шевченка, 45А, с.Йосипівка, Вільшанський р-н, Кіровоградська обл., 26623","390","188","383","8","194","8","202","","0","194","8","202","12","190","2","55","81","4","6","1","25","1","1","12","2","28.10.12"
"350056","100","Кіровоградська область","фельдшерсько-акушерський пункт, хол
вул.Привокзальна, 18, с.Залізничне, Вільшанський р-н, Кіровоградська обл., 26623","168","47","164","4","117","4","121","","0","117","4","121","6","115","2","30","40","3","3","1","13","4","1","12","6","02.11.12"
"350057","100","Кіровоградська область","будинок культури , вітальня
вул.Ковпака, 20А, с.Коритно-Забузьке, Вільшанський р-н, Кіровоградська обл., 26622","270","75","264","30","166","29","195","","0","166","29","195","13","182","2","76","66","2","4","1","10","4","3","11","3","28.10.12"
"350058","100","Кіровоградська область","будинок культури, фойє
вул.Центральна, 2, с.Котовське, Вільшанський р-н, Кіровоградська обл., 26633","294","144","289","14","140","10","150","","0","140","10","150","8","142","4","67","45","0","1","1","4","10","2","8","0","28.10.12"
"350059","100","Кіровоградська область","фельдшерсько-акушерський пункт, хол
вул.Енергетиків, 5, с.Синюха, Вільшанський р-н, Кіровоградська обл., 26633","120","29","118","12","79","12","91","","0","79","12","91","0","91","1","26","36","1","1","1","9","8","0","8","0","28.10.12"
"350060","100","Кіровоградська область","будинок культури, актова зала
вул.Леніна, 7, с.Мала Вільшанка, Вільшанський р-н, Кіровоградська обл., 26607","252","72","246","12","171","9","180","","0","171","9","180","14","166","5","82","34","2","5","2","12","3","4","13","4","29.10.12"
"350061","100","Кіровоградська область","будинок культури, вітальня
вул.Шевченка, 23, с.Плоско-Забузьке, Вільшанський р-н, Кіровоградська обл., 26610","390","101","395","21","271","18","289","","0","271","18","289","9","280","1","89","132","2","3","2","20","8","1","19","3","29.10.12"
"350062","100","Кіровоградська область","будинок культури, актова зала
вул.Миру, 44, с.Станкувате, Вільшанський р-н, Кіровоградська обл., 26608","300","79","296","15","209","12","221","","0","209","12","221","6","215","14","126","28","0","2","0","19","2","2","18","4","28.10.12"
"350063","100","Кіровоградська область","сільська бібліотека, читальна зала
вул.Рибаківка, 18, с.Сухий Ташлик, Вільшанський р-н, Кіровоградська обл., 26630","606","297","599","35","280","29","309","","0","280","29","309","21","288","8","82","118","15","8","4","21","6","3","20","3","28.10.12"
"350064","100","Кіровоградська область","сільська рада, зала засідань
вул.Садова, 1, с.Чистопілля, Вільшанський р-н, Кіровоградська обл., 26611","240","79","235","18","143","18","161","","0","143","18","161","5","156","2","63","48","5","2","0","13","1","0","18","4","29.10.12"
"350130","100","Кіровоградська область","школа №3, вестибюль
вул.Виноградна, 107, м.Помічна, Добровеличківський р-н, Кіровоградська обл., 27030","1746","937","1744","18","796","13","809","","0","796","13","809","43","766","30","264","208","6","12","8","126","20","7","74","11","29.10.12"
"350131","100","Кіровоградська область","ПАТ ""Помічнянський елеватор"", зала засідань
вул.Гагаріна, 54, м.Помічна, Добровеличківський р-н, Кіровоградська обл., 27030","1482","837","1485","14","633","12","645","","0","633","12","645","34","611","20","195","194","5","10","8","105","12","6","44","12","29.10.12"
"350132","100","Кіровоградська область","міський палац культури, фойє
вул.Перемоги, 64, м.Помічна, Добровеличківський р-н, Кіровоградська обл., 27030","1728","873","1721","24","839","16","855","","0","839","16","855","37","818","34","304","212","11","18","16","112","13","13","76","9","29.10.12"
"350133","100","Кіровоградська область","виконробська дільниця будівельно-монтажного поїзда 704, зала засідань
вул.Перемоги, 111, м.Помічна, Добровеличківський р-н, Кіровоградська обл., 27030","1710","871","1683","10","830","9","839","","0","830","9","839","49","790","22","314","193","4","15","8","118","22","7","82","5","29.10.12"
"350134","100","Кіровоградська область","дистанція сигналізації та зв’язку, зала засідань
пров.Макаренка, 25, м.Помічна, Добровеличківський р-н, Кіровоградська обл., 27030","1098","615","1087","5","479","4","483","","0","479","4","483","24","459","29","119","163","6","12","5","57","1","7","50","10","29.10.12"
"350135","100","Кіровоградська область","будинок культури, глядацька зала
вул.Поповича, 1, смт Добровеличківка, Добровеличківський р-н, Кіровоградська обл., 27000","2040","900","2018","27","1116","24","1140","","0","1116","24","1140","49","1091","60","341","414","12","9","3","111","13","12","104","12","29.10.12"
"350136","100","Кіровоградська область","школа №1, вестибюль
вул.Фрунзе, 121, смт Добровеличківка, Добровеличківський р-н, Кіровоградська обл., 27000","1872","864","1853","34","987","21","1008","","0","987","21","1008","29","979","59","292","393","9","21","5","90","16","5","72","17","29.10.12"
"350137","100","Кіровоградська область","школа №2, спортивний зал
вул.Крупської, 135, смт Добровеличківка, Добровеличківський р-н, Кіровоградська обл., 27000","1278","646","1271","36","597","35","632","","0","597","35","632","22","610","27","207","220","7","10","7","50","7","5","61","9","29.10.12"
"350138","100","Кіровоградська область","сільський клуб, глядацька зала
вул.Молодіжна, 37, с.Братолюбівка, Добровеличківський р-н, Кіровоградська обл., 27026","372","118","371","29","228","26","254","","0","228","26","254","7","247","9","72","125","2","3","1","13","9","2","9","2","29.10.12"
"350139","100","Кіровоградська область","ФГ ""Неофіти"", зала засідань
ФГ ""Неофіти"", с.Гаївка, Добровеличківський р-н, Кіровоградська обл., 27010","486","180","411","69","241","65","306","","0","241","65","306","13","293","59","95","84","1","2","4","8","3","4","28","5","29.10.12"
"350140","100","Кіровоградська область","адмінприміщення СВК ""Іскра"", зала засідань
пров.Колгоспний, 1, с.Новоглиняне, Добровеличківський р-н, Кіровоградська обл., 27041","486","226","483","43","219","41","260","","0","219","41","260","9","251","7","125","59","3","12","0","21","9","1","8","6","29.10.12"
"350141","100","Кіровоградська область","сільська рада, зала засідань
сільська рада, с.Гнатівка, Добровеличківський р-н, Кіровоградська обл., 27025","474","159","467","32","288","27","315","","0","288","27","315","12","303","8","114","109","5","6","3","18","23","0","11","6","29.10.12"
"350142","100","Кіровоградська область","сільський клуб, фойє
вул.Інтернаціональна, 32, с.Дружелюбівка, Добровеличківський р-н, Кіровоградська обл., 27007","366","122","360","37","214","30","244","","0","214","30","244","9","235","6","80","84","5","6","4","11","11","1","19","8","29.10.12"
"350143","100","Кіровоградська область","школа, вестибюль
вул.Центральна, 11, с.Олександро-Завадське, Добровеличківський р-н, Кіровоградська обл., 27007","150","45","150","14","91","14","105","","0","91","14","105","6","99","2","41","34","0","3","0","6","4","1","7","1","29.10.12"
"350144","100","Кіровоградська область","бригадний будинок, к.2
бригадний будинок, с.Скопіївка, Добровеличківський р-н, Кіровоградська обл., 27007","180","59","177","21","104","17","121","","0","104","17","121","1","120","4","40","55","3","3","2","5","3","1","3","1","28.10.12"
