"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Беляй
Олександр
Іванович","Боденчук
Олександр
Сергійович","Василюк
Сергій
Юрійович","Величко
Ігор
Валентинович","Єдін
Олександр
Йосипович","Золотарьов
Євгеній
Григорович","Крюков
Віктор
Васильович","Мороз
Олександр
Олександрович","Пантелішин
Геннадій
Олександрович","Прилуцький
Олександр
Семенович","Рустамян
Ігор
Манукович","Дата підписання протоколу"
"350599","102","Кіровоградська область","будинок культури, хол
вул.Лугова, 70, с.Петрівка, Онуфріївський р-н, Кіровоградська обл., 28123","126","62","117","14","50","14","64","","0","50","14","64","1","63","22","0","1","2","35","0","0","1","0","1","1","29.10.12"
"350600","102","Кіровоградська область","школа №1, хол
вул.Сухомлинського, 4, смт Павлиш, Онуфріївський р-н, Кіровоградська обл., 28110","1596","864","1586","82","654","78","732","","0","653","78","731","31","700","50","6","83","21","263","6","8","161","28","18","56","30.10.12"
"350601","102","Кіровоградська область","будинок культури, хол
вул.Сухомлинського, 33Б, смт Павлиш, Онуфріївський р-н, Кіровоградська обл., 28110","1746","902","1735","107","748","96","844","","0","748","96","844","26","818","51","9","134","34","259","1","8","231","22","23","46","29.10.12"
"350602","102","Кіровоградська область","школа №2, спортзал
вул.Перемоги, 188, смт Павлиш, Онуфріївський р-н, Кіровоградська обл., 28110","486","251","482","22","215","20","235","","0","215","20","235","16","219","8","3","27","10","92","1","4","46","7","4","17","30.10.12"
"350603","102","Кіровоградська область","фельдшерсько-акушерський пункт, к.2
вул.Гагаріна, фельдшерсько-акушерський пункт, с.Браїлівка, Онуфріївський р-н, Кіровоградська обл., 28110","126","54","119","8","64","8","72","","0","64","8","72","0","72","34","0","1","0","24","0","0","4","0","0","9","30.10.12"
"350604","102","Кіровоградська область","школа, хол
вул.Шкільна, 70, с.Зибкове, Онуфріївський р-н, Кіровоградська обл., 28131","858","370","843","47","450","38","488","","0","450","38","488","16","472","105","6","16","11","206","4","7","48","8","11","50","29.10.12"
"350605","102","Кіровоградська область","школа, хол
вул.Шкільна, 15, с.Успенка, Онуфріївський р-н, Кіровоградська обл., 28120","966","424","957","62","483","59","542","","0","483","59","542","15","527","108","1","87","18","107","1","11","124","15","24","31","29.10.12"
"350606","102","Кіровоградська область","сільський клуб №1, хол
вул.Леніна, 135, с.Куцеволівка, Онуфріївський р-н, Кіровоградська обл., 28122","642","248","630","56","338","56","394","","0","338","56","394","15","379","29","2","83","17","140","3","5","73","9","7","11","29.10.12"
"350607","102","Кіровоградська область","будинок культури №2, хол
вул.Молодіжна, 22, с.Куцеволівка, Онуфріївський р-н, Кіровоградська обл., 28122","588","204","587","44","340","44","384","","0","340","44","384","11","373","49","4","59","14","119","3","7","86","5","18","9","29.10.12"
"350608","102","Кіровоградська область","школа, хол
вул.Риндака, 11, с.Деріївка, Онуфріївський р-н, Кіровоградська обл., 28121","798","336","792","38","427","35","462","","0","427","35","462","18","444","63","8","49","10","167","2","4","88","5","8","40","30.10.12"
"350609","102","Кіровоградська область","школа, актова зала
вул.Воровченка, 27, с.Омельник, Онуфріївський р-н, Кіровоградська обл., 28114","534","225","524","27","284","25","309","","0","284","25","309","12","297","66","1","33","8","100","0","2","61","5","3","18","30.10.12"
"350610","102","Кіровоградська область","будинок культури, хол, 1-й поверх
вул.50-років Жовтня, 1, смт Онуфріївка, Онуфріївський р-н, Кіровоградська обл., 28100","1866","876","1858","62","941","49","990","","0","941","49","990","25","965","131","4","97","32","365","8","6","183","19","32","88","30.10.12"
"350611","102","Кіровоградська область","школа, хол, 1-й поверх
вул.50-років Жовтня, 24, смт Онуфріївка, Онуфріївський р-н, Кіровоградська обл., 28100","1578","761","1558","80","754","63","817","","0","754","63","817","33","784","105","10","94","22","287","4","12","164","10","26","50","29.10.12"
"350612","102","Кіровоградська область","будинок культури, хол
вул.Леніна, 63А, с.Попівка, Онуфріївський р-н, Кіровоградська обл., 28104","576","224","568","37","323","29","352","","0","323","29","352","7","345","94","2","19","11","153","3","3","32","7","10","11","30.10.12"
"350613","102","Кіровоградська область","будинок культури, хол
вул.Центральна, 11А, с.Костянтинівка, Онуфріївський р-н, Кіровоградська обл., 28104","114","34","108","12","68","12","80","","0","68","12","80","4","76","28","2","2","3","27","0","0","11","2","0","1","30.10.12"
"350614","102","Кіровоградська область","школа, хол
вул.Утєва, 2, с.Мар’ївка, Онуфріївський р-н, Кіровоградська обл., 28132","246","101","240","11","134","11","145","","0","134","11","145","4","141","20","1","1","2","77","2","0","24","1","9","4","29.10.12"
"350649","102","Кіровоградська область","будинок культури, хол
вул.Леніна, 42, с.Велика Андрусівка, Світловодський р-н, Кіровоградська обл., 27520","1164","557","1145","83","526","81","607","","0","526","81","607","21","586","144","7","130","21","104","3","11","90","7","9","60","29.10.12"
"350650","102","Кіровоградська область","сільський клуб, хол
вул.Леніна, 37, с.Калантаїв, Світловодський р-н, Кіровоградська обл., 27521","318","102","325","28","188","28","216","","0","188","28","216","10","206","41","2","28","13","52","1","2","39","0","6","22","29.10.12"
"350651","102","Кіровоградська область","школа, хол
вул.1 Травня, 5, с.Велика Скельова, Світловодський р-н, Кіровоградська обл., 27541","390","142","388","30","218","30","248","","0","218","30","248","12","236","8","1","49","10","93","0","3","40","1","8","23","29.10.12"
"350652","102","Кіровоградська область","будинок культури, хол
вул.Леніна, 14, с.Глинськ, Світловодський р-н, Кіровоградська обл., 27532","1050","435","1043","68","548","67","615","","0","548","67","615","17","598","27","0","114","15","259","5","2","84","5","29","58","29.10.12"
"350653","102","Кіровоградська область","фельдшерсько-акушерський пункт, хол
вул.Жукова, 4, с.Арсенівка, Світловодський р-н, Кіровоградська обл., 27532","42","18","38","1","23","1","24","","0","23","1","24","3","21","2","1","0","0","17","0","0","1","0","0","0","31.10.12"
"350654","102","Кіровоградська область","фельдшерсько-акушерський пункт, хол
вул.Зелена, 6, с.Семигір’я, Світловодський р-н, Кіровоградська обл., 27532","42","18","40","10","14","10","24","","0","14","10","24","0","24","1","0","3","2","11","0","0","4","0","2","1","29.10.12"
"350655","102","Кіровоградська область","будинок культури, хол
вул.Леніна, 71, с.Григорівка, Світловодський р-н, Кіровоградська обл., 27533","822","329","821","41","452","41","493","","0","452","41","493","20","473","20","7","125","38","132","5","5","82","5","15","39","29.10.12"
"350656","102","Кіровоградська область","будинок культури, хол
вул.Гагаріна, 99, с.Захарівка, Світловодський р-н, Кіровоградська обл., 27545","696","294","693","62","342","60","402","","0","342","60","402","10","392","27","5","58","18","123","2","2","105","6","6","40","30.10.12"
"350657","102","Кіровоградська область","школа, хол
вул.Леніна, 118, с.Іванівка, Світловодський р-н, Кіровоградська обл., 27544","348","131","339","16","201","16","217","","0","201","16","217","10","207","4","1","26","9","65","0","0","60","3","4","35","29.10.12"
"350658","102","Кіровоградська область","адмінбудинок сільської ради, хол
вул.Піонерська, 20, с.Микільське, Світловодський р-н, Кіровоградська обл., 27530","822","362","804","80","382","78","460","","0","382","78","460","16","444","14","11","32","18","207","5","13","55","5","8","76","29.10.12"
"350659","102","Кіровоградська область","будинок культури, хол
вул.Пролетарська, 78, с.Золотарівка, Світловодський р-н, Кіровоградська обл., 27531","438","188","431","51","202","48","250","","0","202","48","250","7","243","9","2","15","11","82","6","2","39","4","11","62","29.10.12"
"350660","102","Кіровоградська область","адмінбудинок сільської ради, хол
вул.Леніна, 55В, с.Миронівка, Світловодський р-н, Кіровоградська обл., 27540","486","150","478","45","291","45","336","","0","291","45","336","7","329","14","4","183","10","46","1","2","55","3","3","8","29.10.12"
"350661","102","Кіровоградська область","адмінбудинок сільської ради, хол
вул.50 років Жовтня, 34, с.Озера, Світловодський р-н, Кіровоградська обл., 27542","528","177","526","50","301","50","351","","0","301","50","351","8","343","41","4","61","40","101","1","4","64","2","4","21","29.10.12"
"350662","102","Кіровоградська область","сільський клуб, хол
вул.Поштова, 2, с.Талова Балка, Світловодський р-н, Кіровоградська обл., 27543","108","65","106","9","34","9","43","","0","34","9","43","2","41","5","3","6","2","10","1","1","5","1","1","6","29.10.12"
"350663","102","Кіровоградська область","будинок культури, хол
вул.Леніна, 123, с.Павлівка, Світловодський р-н, Кіровоградська обл., 27519","1596","806","1580","98","701","89","790","","0","701","88","789","33","756","81","8","198","44","189","8","8","103","11","11","95","29.10.12"
"350664","102","Кіровоградська область","школа, хол
вул.Свердлова, 108А, с.Свердловка, Світловодський р-н, Кіровоградська обл., 27519","330","145","328","23","165","20","185","","0","165","20","185","3","182","13","4","42","10","48","1","5","44","5","3","7","31.10.12"
"350665","102","Кіровоградська область","школа, хол
вул.Миру, 10, с.Подорожнє, Світловодський р-н, Кіровоградська обл., 27522","1344","677","1327","28","641","26","667","","0","641","26","667","39","628","38","10","167","53","153","4","9","84","10","21","79","29.10.12"
"350666","102","Кіровоградська область","клуб, хол
вул.Буйна, 1, с.Нагірне, Світловодський р-н, Кіровоградська обл., 27529","222","85","220","7","130","7","137","","0","130","7","137","8","129","3","0","31","7","59","0","0","12","0","3","14","29.10.12"
"350667","102","Кіровоградська область","школа, хол
вул.Миру, 1, с.Федірки, Світловодський р-н, Кіровоградська обл., 27535","300","75","295","25","200","25","225","","0","200","25","225","5","220","10","0","34","4","114","1","0","28","3","2","24","29.10.12"
"350668","102","Кіровоградська область","фельдшерський пункт, хол
вул.Миру, 10, с.Сніжкове, Світловодський р-н, Кіровоградська обл., 27535","66","29","63","9","28","9","37","","0","28","9","37","0","37","2","0","15","0","12","0","1","5","0","0","2","29.10.12"
"350718","102","Кіровоградська область","будинок дитячої творчості, танцювальна зала
вул.Жовтнева, 13, м.Знам’янка, Кіровоградська обл., 27400","1296","619","1275","29","654","23","677","","0","654","23","677","28","649","27","2","149","9","183","4","29","140","5","11","90","29.10.12"
"350719","102","Кіровоградська область","територіальний центр, зала засідань
вул.Глібка, 28, м.Знам’янка, Кіровоградська обл., 27400","1530","632","1502","39","875","23","898","","0","875","23","898","26","872","36","3","209","20","262","8","45","167","12","12","98","29.10.12"
"350720","102","Кіровоградська область","міський Палац культури, мала зала, 2-й поверх
вул.Жовтнева, 30, м.Знам’янка, Кіровоградська обл., 27400","1266","563","1250","37","669","34","703","","0","669","34","703","28","675","22","4","156","16","189","6","28","137","14","13","90","29.10.12"
"350721","102","Кіровоградська область","управління міськгазу, актова зала
вул.Коцюбинського, 23, м.Знам’янка, Кіровоградська обл., 27400","1536","680","1519","52","814","42","856","","0","814","42","856","43","813","25","8","220","18","200","8","40","181","8","13","92","29.10.12"
"350722","102","Кіровоградська область","міський Палац культури, зала ""Камертон"", 2-й поверх
вул.Жовтнева, 30, м.Знам’янка, Кіровоградська обл., 27400","1248","645","1213","33","583","20","603","","0","583","20","603","16","587","23","1","131","8","163","3","19","156","8","25","50","29.10.12"
"350723","102","Кіровоградська область","товариство ""Колос"", актова зала
вул.Ворошилова, 41, м.Знам’янка, Кіровоградська обл., 27400","1284","672","1271","49","574","38","612","","0","574","38","612","28","584","24","4","148","19","152","6","41","110","14","14","52","29.10.12"
"350724","102","Кіровоградська область","міський спортивно-технічний клуб Товариства сприяння обороні України, актова зала
вул.Київська, 23, м.Знам’янка, Кіровоградська обл., 27406","918","420","920","32","471","27","498","","0","471","27","498","30","468","23","2","115","11","131","2","24","89","15","2","54","29.10.12"
"350725","102","Кіровоградська область","школа №3, актова зала
вул.Дзержинського, 2, м.Знам’янка, Кіровоградська обл., 27406","1104","595","1093","52","469","40","509","","0","469","40","509","18","491","16","5","112","9","131","4","24","114","8","17","51","29.10.12"
"350726","102","Кіровоградська область","школа №3, мала спортивна зала
вул.Дзержинського, 2 м.Знам’янка, Кіровоградська обл., 27406","1122","498","1107","28","602","22","624","","0","601","22","623","23","600","17","1","154","15","201","6","11","84","23","10","78","29.10.12"
"350727","102","Кіровоградська область","музична школа, зала хореографії
вул.Калініна, 113, м.Знам’янка, Кіровоградська обл., 27406","1140","519","1123","17","608","13","621","","0","608","13","621","33","588","30","8","132","8","152","4","24","139","9","14","68","29.10.12"
"350728","102","Кіровоградська область","станція юних техніків, кімната для занять
вул.Привокзальна, 22, м.Знам’янка, Кіровоградська обл., 27406","1644","853","1611","28","768","23","791","","0","768","23","791","37","754","40","6","146","17","266","0","27","133","17","26","76","29.10.12"
"350729","102","Кіровоградська область","центральна бібліотека, хол
вул.Маяковського, 40, м.Знам’янка, Кіровоградська обл., 27406","708","340","710","9","362","6","368","","0","362","6","368","16","352","8","3","94","4","98","3","14","78","4","11","35","29.10.12"
"350730","102","Кіровоградська область","школа №4, спортивна зала
вул.Примакова, 2/15, м.Знам’янка, Кіровоградська обл., 27405","1140","612","1126","37","493","35","528","","0","493","35","528","25","503","17","4","100","12","173","3","22","87","7","5","73","31.10.12"
"350731","102","Кіровоградська область","школа №4, вестибюль
вул.Примакова, 2/15, м.Знам’янка, Кіровоградська обл., 27405","1092","518","1095","38","539","35","574","","0","539","35","574","26","548","16","2","95","8","210","5","25","101","13","8","65","29.10.12"
"350732","102","Кіровоградська область","відкрите акціонерне товариство ""Завод Акустика"", їдальня
вул.Петровського, 150, м.Знам’янка, Кіровоградська обл., 27406","1152","651","1135","79","476","25","501","","0","476","25","501","28","473","24","5","94","9","171","1","24","86","15","8","36","29.10.12"
"350733","102","Кіровоградська область","гуртожиток професійно-технічного училища №12, хол
вул.Рози Люксембург, 20, м.Знам’янка, Кіровоградська обл., 27403","1776","934","1769","60","789","53","842","","0","789","53","842","29","813","25","11","163","18","295","9","25","150","10","16","91","29.10.12"
"350734","102","Кіровоградська область","школа №1, спортивна зала
вул.Рози Люксембург, 69, м.Знам’янка, Кіровоградська обл., 27403","1800","964","1798","68","780","56","836","","0","780","56","836","35","801","47","15","182","18","226","2","40","137","20","17","97","29.10.12"
"350735","102","Кіровоградська область","школа №7, спортивна зала
вул.1 Травня, 9, смт Знам’янка Друга, м.Знам’янка, Кіровоградська обл., 27410","1326","691","1306","44","599","36","635","","0","599","36","635","38","597","19","4","71","13","243","4","22","80","13","12","116","29.10.12"
"350736","102","Кіровоградська область","школа №6, спортивна зала
вул.Шевченка, 11, смт Знам’янка Друга, м.Знам’янка, Кіровоградська обл., 27410","1626","915","1609","46","666","45","711","","0","666","45","711","35","676","16","11","85","12","248","3","24","137","19","10","111","29.10.12"
"350737","102","Кіровоградська область","селищний будинок культури, мала зала
вул.Леніна, 56, смт Знам’янка Друга, м.Знам’янка, Кіровоградська обл., 27410","1242","727","1231","37","487","28","515","","0","487","28","515","23","492","15","2","79","13","153","4","20","107","9","8","82","29.10.12"
"350738","102","Кіровоградська область","лісна школа, клуб
пров.Шкільний, 1, с.Водяне, м.Знам’янка, Кіровоградська обл., 27413","234","70","238","13","154","10","164","","0","154","10","164","6","158","10","2","19","2","62","1","11","31","3","5","12","29.10.12"
"350739","102","Кіровоградська область","відділкова лікарня станції Знам’янка Державного підприємства ""Одеська залізниця"", актова зала
вул.Жовтнева, 15, м.Знам’янка, Кіровоградська обл., 27400","54","34","35","22","8","12","20","","0","8","12","20","0","20","0","0","7","0","3","0","2","3","0","0","5","29.10.12"
"350740","102","Кіровоградська область","Знам’янська центральна районна лікарня, хол
вул.Гагаріна, 27, м.Знам’янка, Кіровоградська обл., 27400","54","31","44","30","8","15","23","","0","8","15","23","0","23","0","1","6","0","8","1","2","3","1","0","1","29.10.12"
"350785","102","Кіровоградська область","школа №9, фойє, 2-й поверх
вул.Робітнича, 2, м.Світловодськ, Кіровоградська обл., 27507","1278","597","1259","11","673","8","681","","0","673","8","681","24","657","30","3","235","22","138","2","6","135","11","31","44","30.10.12"
"350786","102","Кіровоградська область","філія центру дитячої та юнацької творчості, кімната для занять, 1-й поверх
вул.Ілліча, 1, м.Світловодськ, Кіровоградська обл., 27507","1596","757","1561","11","833","6","839","","0","832","6","838","26","812","50","4","238","59","161","6","12","202","8","31","41","30.10.12"
"350787","102","Кіровоградська область","контора ПСРПП ""Маяк"", актова зала, 2-й поверх
вул.Чернишевського, 8, м.Світловодськ, Кіровоградська обл., 27507","1212","500","1213","16","700","12","712","","0","700","12","712","20","692","27","5","251","34","125","1","5","170","11","24","39","29.10.12"
"350788","102","Кіровоградська область","школа №5, к.5, 1-й поверх
вул.Миру, 47, м.Світловодськ, Кіровоградська обл., 27502","1452","680","1429","12","764","8","772","","0","764","8","772","28","744","22","4","199","76","173","4","3","149","23","42","49","29.10.12"
"350789","102","Кіровоградська область","школа №5, к.6, 1-й поверх
вул.Миру, 47, м.Світловодськ, Кіровоградська обл., 27502","1446","715","1433","13","720","11","731","","0","720","11","731","25","706","32","4","209","52","159","2","7","142","8","27","64","30.10.12"
"350790","102","Кіровоградська область","управління по експлуатації газового господарства, актова зала, 2-й поверх
вул.8-го Березня, 30, м.Світловодськ, Кіровоградська обл., 27502","1074","567","1055","4","506","1","507","","0","506","1","507","14","493","28","5","136","29","101","3","6","106","7","28","44","30.10.12"
"350791","102","Кіровоградська область","центр дитячої та юнацької творчості, клас вокального колективу, 1-й поверх
вул.Будівельників, 10, м.Світловодськ, Кіровоградська обл., 27500","1692","814","1662","15","868","10","878","","0","868","10","878","25","853","24","6","275","48","179","2","5","189","15","60","50","29.10.12"
"350792","102","Кіровоградська область","школа №7, вестибюль, 1-й поверх
вул.Приморська, 70А, м.Світловодськ, Кіровоградська обл., 27500","1974","882","1927","16","1080","12","1092","","0","1079","12","1091","38","1053","35","7","298","65","204","5","7","240","16","87","89","30.10.12"
"350793","102","Кіровоградська область","школа №7, вестибюль, 1-й поверх
вул.Приморська, 70А, м.Світловодськ, Кіровоградська обл., 27500","1938","974","1919","7","958","6","964","","0","958","6","964","32","932","41","3","267","55","161","2","8","207","14","82","92","30.10.12"
"350794","102","Кіровоградська область","територіальний центр соціального обслуговування, актова зала, 1-й поверх
бульвар Дніпровський, 20, м.Світловодськ, Кіровоградська обл., 27500","1944","936","1893","7","1003","5","1008","","0","1003","5","1008","34","974","27","3","252","42","253","4","11","211","13","69","89","30.10.12"
"350795","102","Кіровоградська область","школа №10, кімната для відпочинку, 1-й поверх
вул.Леніна, 55, м.Світловодськ, Кіровоградська обл., 27500","2106","932","2093","18","1165","9","1174","","0","1165","9","1174","27","1147","56","10","291","58","292","8","5","237","15","70","105","30.10.12"
"350796","102","Кіровоградська область","школа №10, кімната для відпочинку, 1-й поверх
вул.Леніна, 55, м.Світловодськ, Кіровоградська обл., 27500","1464","766","1445","14","689","9","698","","0","689","9","698","20","678","24","5","192","33","165","3","6","123","13","59","55","30.10.12"
"350797","102","Кіровоградська область","навчально-виховний комплекс №4, коридор, 1-й поверх
вул.Леніна, 56, м.Світловодськ, Кіровоградська обл., 27500","1668","756","1644","22","892","20","912","","0","892","20","912","30","882","17","5","249","42","196","4","13","172","8","93","83","30.10.12"
"350798","102","Кіровоградська область","пансіонат ""Славутич"", фойє, 1-й поверх
вул.Ювілейна, 1, м.Світловодськ, Кіровоградська обл., 27500","1752","791","1731","15","954","7","961","","0","954","7","961","39","922","46","4","242","30","201","4","6","214","11","65","99","30.10.12"
"350799","102","Кіровоградська область","міський Палац культури, фойє, 1-й поверх
вул.Приморська, 16, м.Світловодськ, Кіровоградська обл., 27501","1584","660","1546","24","906","18","924","","0","906","18","924","29","895","31","1","206","28","246","5","13","213","9","67","76","30.10.12"
"350800","102","Кіровоградська область","професійно-технічне училище №5, вестибюль, 1-й поверх
вул.Приморська, 12, м.Світловодськ, Кіровоградська обл., 27501","1536","646","1521","15","878","12","890","","0","878","12","890","27","863","33","2","177","40","232","4","10","171","14","70","110","30.10.12"
"350801","102","Кіровоградська область","Палац спорту, вестибюль, 1-й поверх
вул.Вадима Бойка, 2, м.Світловодськ, Кіровоградська обл., 27501","2268","1036","2236","20","1217","15","1232","","0","1217","15","1232","42","1190","45","8","235","64","305","9","16","277","26","94","111","31.10.12"
"350802","102","Кіровоградська область","школа №1, коридор, 1-й поверх
вул.Вадима Бойка, 8, м.Світловодськ, Кіровоградська обл., 27501","2112","1090","2088","14","1011","11","1022","","0","1011","11","1022","36","986","48","2","207","52","255","4","10","232","16","83","77","30.10.12"
"350803","102","Кіровоградська область","школа №1, коридор, 2-й поверх
вул.Вадима Бойка, 8, м.Світловодськ, Кіровоградська обл., 27501","1950","1077","1951","3","870","3","873","","0","870","3","873","26","847","25","2","227","44","202","1","5","204","12","55","70","30.10.12"
