"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Бобелюк
Сергій
Федосійович","Бусень
Олег
Петрович","Волков
Сергій
Сергійович","Горобець
Олена
Леонідівна","Дегтяр
Володимир
Миколайович","Каюн
Олександр
Володимирович","Литвиненко
Сергій
Михайлович","Олійник
Руслан
Юрійович","Сорока
Олексій
Олександрович","Цуркан
Олег
Валерійович","Шпенов
Дмитро
Юрійович","Дата підписання протоколу"
"120174","37","Дніпропетровська область","Червонозабійницька школа, актова зала
вул.Гагаріна, 11, с.Червоне, Криворізький р-н, Дніпропетровська обл., 53010","804","279","798","64","465","60","525","","0","465","60","525","15","510","9","8","15","19","84","44","33","11","7","2","278","29.10.12"
"120175","37","Дніпропетровська область","фельдшерсько-акушерський пункт, фойє
вул.Криворізька, 101А, с.Калініна, Криворізький р-н, Дніпропетровська обл., 53011","258","102","251","17","140","16","156","","0","140","16","156","6","150","0","3","1","1","29","4","8","0","0","1","103","29.10.12"
"120176","37","Дніпропетровська область","фельдшерсько-акушерський пункт, фойє
вул.Овсяннікова, 21А, с.Запорожець, Криворізький р-н, Дніпропетровська обл., 52181","132","41","126","16","77","14","91","","0","77","14","91","3","88","1","0","3","2","6","14","6","2","0","2","52","29.10.12"
"120177","37","Дніпропетровська область","школа, фойє
вул.Ленінського Комсомолу, 1К, с.Широке, Криворізький р-н, Дніпропетровська обл., 53070","1608","734","1584","89","793","81","874","","0","793","81","874","17","857","3","2","12","8","410","38","44","8","0","17","315","06.11.12"
"120178","37","Дніпропетровська область","Гейківська психоневрологічна лікарня, актова зала
вул.Октябрська, 31А, с.Кривбас, Криворізький р-н, Дніпропетровська обл., 53054","204","69","135","0","135","0","135","","0","135","0","135","2","133","0","0","1","0","2","0","0","0","0","0","130","29.10.12"
"120179","37","Дніпропетровська область","Криворізька центральна районна лікарня, актова зала
вул.Вишнева, 1А, с.Новомайське, Криворізький р-н, Дніпропетровська обл., 53003","84","4","118","24","56","24","80","","0","56","24","80","0","80","1","0","2","0","2","1","0","0","1","0","73","28.10.12"
"120563","37","Дніпропетровська область","школа №1, актовий зал
вул.Чкалова, 1, смт Софіївка, Софіївський р-н, Дніпропетровська обл., 53100","2022","1014","1990","41","970","38","1008","","0","970","38","1008","20","988","15","6","17","15","137","150","128","14","1","27","478","29.10.12"
"120564","37","Дніпропетровська область","професійно технічний ліцей, їдальня
вул.Поштова, 10, смт Софіївка, Софіївський р-н, Дніпропетровська обл., 53100","2004","1078","1969","21","913","13","926","","0","913","13","926","36","890","25","4","11","17","139","84","119","17","3","36","435","29.10.12"
"120565","37","Дніпропетровська область","ТОВ ""Злагода"", актовий зал
вул.Степова, 13, смт Софіївка, Софіївський р-н, Дніпропетровська обл., 53100","1122","547","1119","32","543","32","575","","0","543","32","575","22","553","5","10","16","10","63","37","44","4","3","16","345","29.10.12"
"120566","37","Дніпропетровська область","будинок культури №1, зал
вул.Центральна, 50, смт Софіївка, Софіївський р-н, Дніпропетровська обл., 53100","714","347","712","41","326","41","367","","0","326","41","367","13","354","3","2","8","3","40","20","25","1","1","17","234","29.10.12"
"120567","37","Дніпропетровська область","школа №2, коридор
вул.Червоноармійська, 118, смт Софіївка, Софіївський р-н, Дніпропетровська обл., 53100","624","343","636","11","272","9","281","","0","272","9","281","12","269","7","4","11","2","44","15","27","3","3","6","147","29.10.12"
"120568","37","Дніпропетровська область","школа, коридор
вул.Центральна, 58, с.Петрове, Софіївський р-н, Дніпропетровська обл., 53107","546","251","548","44","259","36","295","","0","259","36","295","5","290","4","0","3","3","20","18","30","4","0","10","198","29.10.12"
"120569","37","Дніпропетровська область","будинок культури, фойє
вул.Кооперативна, 16, с.Любимівка, Софіївський р-н, Дніпропетровська обл., 53141","252","119","261","12","121","12","133","","0","121","12","133","6","127","3","0","2","1","18","2","5","1","0","1","94","29.10.12"
"120570","37","Дніпропетровська область","школа, спортивний зал
вул.Леніна, 31, с.Жовтневе, Софіївський р-н, Дніпропетровська обл., 53172","1050","441","974","73","539","70","609","","0","539","70","609","18","591","25","11","15","5","64","29","61","8","4","11","358","29.10.12"
"120571","37","Дніпропетровська область","школа, спортивний зал
вул.Шкільна, 20, с.Мар’ївка, Софіївський р-н, Дніпропетровська обл., 53111","372","147","371","22","204","21","225","","0","204","21","225","13","212","9","7","9","6","25","18","15","1","2","5","115","29.10.12"
"120572","37","Дніпропетровська область","будинок культури, хол
вул.Лермонтова, 35, с.Новоолексіївка, Софіївський р-н, Дніпропетровська обл., 53111","138","38","135","9","94","6","100","","0","94","6","100","9","91","8","0","2","0","5","5","5","0","0","3","63","29.10.12"
"120573","37","Дніпропетровська область","школа, фойє
вул.Леніна, 1, с.Миколаївка, Софіївський р-н, Дніпропетровська обл., 53180","1398","707","1378","51","642","49","691","","0","642","49","691","21","670","14","6","15","10","74","40","63","4","7","18","419","29.10.12"
"120574","37","Дніпропетровська область","школа, кабінет фізики
вул.Леніна, 5, с.Володимирівка, Софіївський р-н, Дніпропетровська обл., 53180","444","208","441","21","215","21","236","","0","215","21","236","1","235","4","6","5","9","31","18","27","7","2","18","108","29.10.12"
"120575","37","Дніпропетровська область","будинок культури, фойє
вул.Леніна, 4, с.Новоюлівка, Софіївський р-н, Дніпропетровська обл., 53150","510","184","505","43","283","43","326","","0","283","43","326","7","319","3","8","9","7","39","33","39","5","4","17","155","29.10.12"
"120576","37","Дніпропетровська область","будинок культури, фойє
вул.Центральна, 23, с.Авдотівка, Софіївський р-н, Дніпропетровська обл., 53150","420","180","413","65","186","54","240","","0","186","54","240","8","232","6","3","7","5","32","22","16","3","2","11","125","28.10.12"
"120577","37","Дніпропетровська область","школа, фойє
вул.Клубна, 7, с.Кам’янка, Софіївський р-н, Дніпропетровська обл., 53160","780","337","771","40","405","38","443","","0","405","38","443","12","431","10","3","9","5","45","36","62","8","3","12","238","29.10.12"
"120578","37","Дніпропетровська область","будинок культури, фойє
вул.Татарця, 121, с.Вишневе, Софіївський р-н, Дніпропетровська обл., 53130","678","316","670","20","342","20","362","","0","342","20","362","12","350","7","5","5","5","58","20","30","7","0","13","200","29.10.12"
"120579","37","Дніпропетровська область","будинок культури, фойє
вул.Центральна, 22, с.Олексіївка, Софіївський р-н, Дніпропетровська обл., 53161","198","55","201","16","127","16","143","","0","127","16","143","7","136","12","4","4","5","17","4","5","1","0","3","81","29.10.12"
"120580","37","Дніпропетровська область","сільська рада, зал засідань
вул.Будьоного, 97, с.Нововасилівка, Софіївський р-н, Дніпропетровська обл., 53170","528","252","520","27","262","14","276","","0","262","14","276","9","267","10","2","7","3","20","11","18","1","1","1","193","29.10.12"
"120581","37","Дніпропетровська область","школа, спортивний зал
вул.Шкільна, 40, с.Жовте, Софіївський р-н, Дніпропетровська обл., 53171","432","141","428","46","247","44","291","","0","247","44","291","6","285","2","2","7","3","28","16","11","3","2","2","209","29.10.12"
"120582","37","Дніпропетровська область","будинок культури, фойє
вул.Постного, 60, с.Запорізьке, Софіївський р-н, Дніпропетровська обл., 53140","354","139","355","22","197","18","215","","0","197","18","215","9","206","5","3","3","1","17","16","11","0","0","5","145","29.10.12"
"120583","37","Дніпропетровська область","школа, фойє
вул.Молодіжна, 5, с.Мар’є-Дмитрівка, Софіївський р-н, Дніпропетровська обл., 53132","498","188","500","50","276","34","310","","0","276","34","310","4","306","2","2","2","4","38","16","13","3","0","6","220","29.10.12"
"120584","37","Дніпропетровська область","школа, спортивний зал
вул.Червонопрапорна, 56, с.Ордо-Василівка, Софіївський р-н, Дніпропетровська обл., 53140","738","416","731","40","284","38","322","","0","284","38","322","15","307","14","5","13","6","36","41","15","8","2","5","162","29.10.12"
"120585","37","Дніпропетровська область","школа, фойє
вул.Центральна, 1А, с.Мар’ївка, Софіївський р-н, Дніпропетровська обл., 53173","684","277","678","27","381","26","407","","0","381","26","407","18","389","4","11","18","6","115","35","30","6","2","5","157","29.10.12"
"120586","37","Дніпропетровська область","школа, актовий зал
вул.Шкільна, 7, с.Сергіївка, Софіївський р-н, Дніпропетровська обл., 53112","582","259","586","32","292","31","323","","0","292","31","323","10","313","4","8","8","14","45","53","37","9","5","4","126","29.10.12"
"120587","37","Дніпропетровська область","будинок культури, фойє
вул.Привокзальна, 24, с-ще Девладове, Софіївський р-н, Дніпропетровська обл., 53132","882","338","867","60","486","58","544","","0","486","58","544","15","529","6","8","17","7","74","41","22","3","2","15","334","29.10.12"
"120588","37","Дніпропетровська область","будинок культури, фойє
вул.Гончарова, 42, с.Водяне, Софіївський р-н, Дніпропетровська обл., 53130","684","322","669","32","332","30","362","","0","332","30","362","14","348","8","6","7","7","47","13","28","5","1","9","217","29.10.12"
"120589","37","Дніпропетровська область","будинок культури, фойє
вул.30-річчя Перемоги, 70, с.Перше Травня, Софіївський р-н, Дніпропетровська обл., 53120","540","191","550","52","299","50","349","","0","299","50","349","10","339","9","5","12","2","32","19","17","5","2","5","231","29.10.12"
"120590","37","Дніпропетровська область","будинок культури, зал
вул.Молодіжна, 1Б, с.Криничувате, Софіївський р-н, Дніпропетровська обл., 53122","372","119","378","38","215","38","253","","0","215","38","253","5","248","13","5","10","1","44","6","3","2","1","2","161","29.10.12"
"120591","37","Дніпропетровська область","будинок культури, фойє
вул.Дзержинського, 1А, с.Макорти, Софіївський р-н, Дніпропетровська обл., 53121","330","108","325","5","218","4","222","","0","218","4","222","6","216","8","1","3","3","37","20","6","1","0","1","136","29.10.12"
"120592","37","Дніпропетровська область","Софіївська центральна районна лікарня, консультаційно-діагностичний центр, коридор, 2-й поверх
вул.Карпенка, 1, смт Софіївка, Софіївський р-н, Дніпропетровська обл., 53100","72","0","88","7","65","7","72","","0","65","7","72","2","70","2","2","0","0","7","4","0","2","1","3","49","29.10.12"
"120593","37","Дніпропетровська область","Софіївська виправна колонія №45, будівля їдальні для засуджених
вул.Центральна, 3, с.Макорти, Софіївський р-н, Дніпропетровська обл., 53102","906","64","842","72","770","72","842","","0","770","72","842","63","779","5","6","18","14","10","10","11","29","7","6","663","29.10.12"
"120636","37","Дніпропетровська область","сільський клуб, хол
вул.Центральна, 18, с.Радевичеве, Широківський р-н, Дніпропетровська обл., 53740","312","133","310","21","158","21","179","","0","158","21","179","10","169","4","5","3","3","37","21","15","3","0","2","76","29.10.12"
"120637","37","Дніпропетровська область","школа, спортивна зала
вул.Жовтнева, 26, с.Андріївка, Широківський р-н, Дніпропетровська обл., 53760","1038","461","1035","45","541","36","577","","0","541","36","577","17","560","8","12","13","10","133","67","44","3","5","5","260","29.10.12"
"120638","37","Дніпропетровська область","школа, хол
вул.Зарічна, 1А, с.Зелена Балка, Широківський р-н, Дніпропетровська обл., 53710","672","340","661","43","289","43","332","","0","289","43","332","15","317","7","5","6","4","25","17","16","6","1","2","228","29.10.12"
"120639","37","Дніпропетровська область","сільський клуб, хол
вул.Чкалова, 58, с.Інгулець, Широківський р-н, Дніпропетровська обл., 53711","426","167","432","17","243","16","259","","0","243","16","259","16","243","3","4","6","5","30","19","51","0","15","4","106","28.10.12"
"120640","37","Дніпропетровська область","Новоселівська школа, спортивна зала
вул.Шкільна, 5, с.Новолатівка, Широківський р-н, Дніпропетровської обл., 53711","918","481","895","36","405","32","437","","0","405","32","437","15","422","8","3","11","13","49","45","39","2","31","5","216","29.10.12"
"120641","37","Дніпропетровська область","психоневрологічний інтернат, актова зала, 2-й поверх
вул.Степова, 1А, с.Стародобровільське, Широківський р-н, Дніпропетровська обл., 53711","300","140","297","13","149","11","160","","0","149","11","160","55","105","12","10","3","4","8","7","5","3","8","1","44","29.10.12"
"120642","37","Дніпропетровська область","сільська рада, обрядова зала, 2-й поверх
вул.Центральна, 64А, с.Новомалинівка, Широківський р-н, Дніпропетровська обл., 53721","480","198","470","27","255","27","282","","0","255","27","282","13","269","8","7","5","2","26","20","28","5","3","3","162","29.10.12"
"120643","37","Дніпропетровська область","школа, фойє
вул.Мацюці, школа, с.Червоне, Широківський р-н, Дніпропетровська обл., 53721","510","271","502","36","214","25","239","","0","214","25","239","5","234","8","3","13","5","28","20","17","1","3","7","129","29.10.12"
"120644","37","Дніпропетровська область","школа, спортивна зала
вул.Молодіжна, школа, с.Олександрія, Широківський р-н, Дніпропетровська обл., 53723","330","132","334","18","181","17","198","","0","181","17","198","7","191","0","4","4","1","17","15","14","6","1","4","125","29.10.12"
"120645","37","Дніпропетровська область","школа, фойє
вул.Шкільна, 1, с.Явдотівка, Широківський р-н, Дніпропетровська обл., 53722","366","182","353","19","165","19","184","","0","165","19","184","11","173","2","2","6","1","35","25","9","1","0","1","91","29.10.12"
"120646","37","Дніпропетровська область","школа, актова зала
вул.Шкільна, 20, с.Олександрівка, Широківський р-н, Дніпропетровська обл., 53730","1134","508","1117","70","566","60","626","","0","566","60","626","29","597","6","8","20","11","79","57","60","3","7","16","330","29.10.12"
"120647","37","Дніпропетровська область","сільський клуб, хол
вул.Театральна, 1В, с.Миролюбівка, Широківський р-н, Дніпропетровська обл., 53732","708","322","695","46","346","40","386","","0","346","40","386","14","372","5","1","20","10","80","48","26","4","3","5","170","29.10.12"
"120648","37","Дніпропетровська область","Калинівська школа, спортивна зала
вул.Шкільна, 28, с.Рози Люксембург, Широківський р-н, Дніпропетровська обл., 53732","744","394","735","35","321","29","350","","0","321","29","350","6","344","2","7","9","4","46","15","11","0","1","2","247","29.10.12"
"120649","37","Дніпропетровська область","школа, спортивна зала
вул.Молодіжна, 4, с.Степове, Широківський р-н, Дніпропетровська обл., 53733","900","439","888","38","435","26","461","","0","435","26","461","30","431","7","8","21","10","58","29","43","6","6","6","237","29.10.12"
"120650","37","Дніпропетровська область","школа, хол
вул.Степова, 15, с.Водяне, Широківський р-н, Дніпропетровська обл., 53734","726","350","714","40","344","32","376","","0","344","32","376","6","370","4","4","11","9","24","34","26","2","4","4","248","29.10.12"
"120651","37","Дніпропетровська область","школа, фойє
вул.Пролетарська, 8, с.Чапаєвка, Широківський р-н, Дніпропетровської обл., 53752","678","333","662","44","307","38","345","","0","307","38","345","17","328","5","4","13","14","21","28","25","1","4","8","205","29.10.12"
"120652","37","Дніпропетровська область","школа, фойє
вул.Радянська, 26, с.Запоріжжя, Широківський р-н, Дніпропетровська обл., 53752","570","286","560","38","250","34","284","","0","250","34","284","10","274","4","5","21","6","41","18","4","5","2","7","161","29.10.12"
"120653","37","Дніпропетровська область","школа, спортивна зала
вул.Центральна, 63, с.Шестірня, Широківський р-н, Дніпропетровська обл., 53761","864","400","854","43","422","42","464","","0","422","42","464","17","447","12","4","7","6","37","24","20","5","8","6","318","29.10.12"
"120654","37","Дніпропетровська область","школа, фойє
вул.Кооперативна, 20, с.Новокурське, Широківський р-н, Дніпропетровська обл., 53762","510","235","504","44","233","42","275","","0","233","42","275","7","268","2","9","10","4","43","15","18","4","4","7","152","29.10.12"
"120655","37","Дніпропетровська область","Український сільський клуб, актова зала
вул.Центральна, 25, с.Вишневе, Широківський р-н, Дніпропетровська обл., 53742","420","193","413","27","205","22","227","","0","205","22","227","9","218","3","1","2","3","41","12","10","9","0","5","132","29.10.12"
"120656","37","Дніпропетровська область","будинок культури, актова зала
вул.Молодіжна, 50, с.Карпівка, Широківський р-н, Дніпропетровська обл., 53742","1512","644","1502","70","812","56","868","","0","812","56","868","19","849","7","9","29","10","129","131","77","18","2","11","426","29.10.12"
"120657","37","Дніпропетровська область","будинок культури, фойє
вул.Центральна, 10, с.Тихий Став, Широкіський р-н, Дніпропетровська обл., 53723","594","247","591","32","320","27","347","","0","320","27","347","13","334","0","6","8","9","41","12","22","8","1","6","221","29.10.12"
"120658","37","Дніпропетровська область","філія ""Широківський райавтодор"", актова зала, 2-й поверх
вул.Леніна, 189, смт Широке, Широківський р-н, Дніпропетровська обл., 53700","1164","571","1140","39","557","36","593","","0","557","36","593","35","558","17","10","13","13","71","64","54","8","8","9","291","29.10.12"
"120659","37","Дніпропетровська область","Міжрегіональний центр професійної перепідготовки звільнених у запас військовослужбовців, каб.11
вул.Леніна, 149, смт Широке, Широківський р-н, Дніпропетровська обл., 53700","630","326","632","7","298","6","304","","0","298","6","304","8","296","8","3","12","10","40","26","17","2","3","6","169","28.10.12"
"120660","37","Дніпропетровська область","районний будинок культури, танцювальна зала
вул.Леніна, 104, смт Широке, Широківський р-н, Дніпропетровська обл., 53700","1152","545","1131","20","590","17","607","","0","590","17","607","25","582","23","4","15","9","102","53","41","7","8","20","300","29.10.12"
"120661","37","Дніпропетровська область","дитячо-юнацька спортивна школа, спортивна зала
вул.Леніна, 111, смт Широке, Широківський р-н, Дніпропетровська обл., 53700","1716","860","1670","30","830","26","856","","0","830","26","856","34","822","23","14","24","16","96","84","75","13","8","20","449","29.10.12"
"120662","37","Дніпропетровська область","комунальний заклад ""Широківський районний Будинок дитячої творчості"", актова зала
вул.Дзержинського, 20, смт Широке, Широківський р-н, Дніпропетровська обл., 53700","492","192","489","7","293","7","300","","0","293","7","300","12","288","9","2","11","2","39","30","17","7","2","5","164","29.10.12"
"120663","37","Дніпропетровська область","школа № 2, фойє
вул.Леніна, 4, смт Широке, Широківський р-н, Дніпропетровська обл., 53700","1686","929","1686","42","721","36","757","","0","721","36","757","37","720","17","11","21","25","105","58","74","9","7","19","374","29.10.12"
"120664","37","Дніпропетровська область","школа №1, шкільна їдальня
вул.Набережна, 120, смт Широке, Широківський р-н, Дніпропетровська обл., 53700","1980","1033","1948","43","909","38","947","","0","909","38","947","47","900","30","18","31","26","149","118","85","15","14","21","393","29.10.12"
"120665","37","Дніпропетровська область","Широківська центральна районна лікарня, адміністративний корпус, актова зала
вул.Казбек 17/1, смт Широке, Широківський р-н, Дніпропетровська обл., 53700","180","64","120","46","72","44","116","","0","72","44","116","3","113","2","6","9","6","20","5","3","0","0","3","59","29.10.12"
"120666","37","Дніпропетровська область","Широківський виправний центр № 75, актова зала, 2-й поверх
вул.Молодіжна, 33, с.Водяне, Широківський р-н, Дніпропетровська обл., 53734","168","31","137","0","137","0","137","","0","137","0","137","0","137","4","3","3","3","3","2","3","1","0","4","111","29.10.12"
"121620","37","Дніпропетровська область","центр туризму, фойє, 1-й поверх
вул.Гротеволя, 20, м.Кривий Ріг, Дніпропетровська обл., 50102","1212","516","1201","19","683","13","696","","0","683","13","696","27","669","10","2","29","15","155","79","48","11","11","18","291","29.10.12"
"121621","37","Дніпропетровська область","поліклініка, фойє, 1-й поверх
вул.Чапаєва, 42, м.Кривий Ріг, Дніпропетровська обл., 50052","1332","779","1309","36","518","35","553","","0","518","35","553","25","528","7","9","22","2","146","55","43","6","4","18","216","29.10.12"
"121622","37","Дніпропетровська область","школа №101, фойє
вул.Червонофлотська, 1А, м.Кривий Ріг, Дніпропетровська обл., 50073","936","419","923","28","492","25","517","","0","492","25","517","25","492","5","1","8","4","77","42","11","6","6","14","318","29.10.12"
"121623","37","Дніпропетровська область","дільниця КЖП №20, актова зала, 1-й поверх
вул.Остапа Вишні, 6А, м.Кривий Ріг, Дніпропетровська обл., 50102","996","346","994","21","634","16","650","","0","634","16","650","23","627","7","4","14","18","108","92","72","2","8","20","282","29.10.12"
"121624","37","Дніпропетровська область","гуртожиток, читальна зала, 1-й поверх
вул.Каткова, 25, м.Кривий Ріг, Дніпропетровська обл., 50102","2034","964","2017","21","1052","18","1070","","0","1052","18","1070","52","1018","12","13","28","22","189","75","67","13","7","36","556","29.10.12"
"121625","37","Дніпропетровська область","Палац культури ПАТ""ІнГЗК"", танцювальна зала, 1-й поверх
просп.Перемоги, 2А, м.Кривий Ріг, Дніпропетровська обл., 50102","1776","655","1750","32","1096","25","1121","","0","1096","25","1121","59","1062","14","10","26","18","178","110","76","9","3","40","578","29.10.12"
"121626","37","Дніпропетровська область","школа №102, їдальня, 2-й поверх
вул.Сонячна, 10, м.Кривий Ріг, Дніпропетровська обл., 50102","2058","739","2020","48","1272","47","1319","","0","1272","47","1319","15","1304","24","16","32","22","235","130","76","15","6","39","709","29.10.12"
"121627","37","Дніпропетровська область","школа №59, вестибюль, 1-й поверх
вул.50 років Жовтню, 30, м.Кривий Ріг, Дніпропетровська обл., 50102","2154","864","2126","20","1273","17","1290","","0","1273","17","1290","51","1239","26","25","39","20","235","119","92","13","5","56","609","29.10.12"
"121628","37","Дніпропетровська область","Палац культури ПАТ""ІнГЗК"", дзеркальна зала, 2-й поверх
просп.Перемоги, 2А, м.Кривий Ріг, Дніпропетровська обл., 50102","1788","665","1753","16","1108","15","1123","","0","1108","15","1123","40","1083","9","6","31","21","222","113","86","16","7","44","528","29.10.12"
