"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Арутюнова
Наталя
Миколаївна","Дніпровський
Олександр
Борисович","Євтушенко
Володимир
Олексійович","Корнієнко
Олена
Валеріївна","Лучинська
Алла
Михайлівна","Мимриков
Олександр
Петрович","Нагнибіда
Наталя
Олександрівна","Поперечнюк
Михайло
Федорович","Рижков
Євген
Миколайович","Шипко
Андрій
Федорович","Дата підписання протоколу"
"120287","35","Дніпропетровська область","школа, спортивна зала
вул.Дніпростроївська, 47А, с.Придніпровське, Нікопольський р-н, Дніпропетровська обл., 53280","2364","996","2343","86","1288","80","1368","","0","1288","80","1368","28","1340","10","160","231","6","10","24","186","9","109","595","29.10.12"
"120288","35","Дніпропетровська область","школа, спортивна зала
вул.Будівельників, 22, с-ще Кам’янське, Нікопольський р-н, Дніпропетровська обл., 53282","2093","928","2064","94","1106","59","1165","","0","1106","59","1165","32","1133","12","216","192","8","5","26","124","5","59","486","29.10.12"
"120289","35","Дніпропетровська область","будинок культури, фойє, 1-й поверх
вул.Леніна, 70А, с.Чкалове, Нікопольський р-н, Дніпропетровська обл., 53271","1632","739","1600","65","830","63","893","","0","830","63","893","28","865","4","90","170","1","3","77","88","2","31","399","29.10.12"
"120290","35","Дніпропетровська область","школа, спортивна зала
вул.Шкільна, 9, с.Шевченкове, Нікопольський р-н, Дніпропетровська обл., 53242","582","255","571","62","268","59","327","","0","268","59","327","19","308","3","28","75","3","4","4","37","1","7","146","29.10.12"
"120291","35","Дніпропетровська область","школа, фойє
вул.Калініна, 1, с.Шолохове, Нікопольський р-н, Дніпропетровська обл., 53254","1278","522","1257","65","697","59","756","","0","697","59","756","36","720","12","40","126","5","5","4","38","5","13","472","29.10.12"
"120292","35","Дніпропетровська область","дитячий садок, к.1
вул.К.Маркса, 146, с.Шолохове, Нікопольський р-н, Дніпропетровська обл., 53254","402","145","396","28","229","28","257","","0","229","28","257","14","243","2","14","21","1","0","0","15","2","21","167","29.10.12"
"120293","35","Дніпропетровська область","Базавлуцький клуб, фойє
вул.Ватутіна, 1А, с.Шолохове, Нікопольський р-н, Дніпропетровська обл., 53254","522","196","519","39","287","39","326","","0","287","39","326","11","315","4","21","44","1","2","1","17","1","4","220","29.10.12"
"120294","35","Дніпропетровська область","сільський клуб, фойє
вул.Шкільна, 1А, с.Миронівка, Нікопольський р-н, Дніпропетровська обл., 53254","294","52","292","29","215","27","242","","0","215","27","242","5","237","2","25","22","1","2","4","8","0","6","167","29.10.12"
"120737","35","Дніпропетровська область","школа №22, хол
вул.Добролюбова, 47А, м.Нікополь, Дніпропетровська обл., 53225","2352","1253","2326","9","1090","9","1099","","0","1090","9","1099","32","1067","10","90","199","1","6","53","145","14","127","422","31.10.12"
"120738","35","Дніпропетровська область","школа №22, хол
вул.Добролюбова, 47А, м.Нікополь, Дніпропетровська обл., 53225","1560","791","1555","7","764","5","769","","0","764","5","769","30","739","7","83","134","3","8","51","93","18","66","276","29.10.12"
"120739","35","Дніпропетровська область","школа №19, хол
вул.Добролюбова, 47, м.Нікополь, Дніпропетровська обл., 53225","2352","1246","2315","16","1093","13","1106","","0","1093","13","1106","38","1068","12","109","211","6","2","71","125","114","7","411","29.10.12"
"120740","35","Дніпропетровська область","Європейський університет, хол
вул.Корбута, 1А, м.Нікополь, Дніпропетровська обл., 53201","2340","1188","2321","20","1134","18","1152","","0","1134","18","1152","29","1123","21","110","234","5","4","81","178","6","80","404","29.10.12"
"120741","35","Дніпропетровська область","школа №23, хол
вул.Корбута, 1А, м.Нікополь, Дніпропетровська обл., 53201","2352","1129","2334","27","1201","22","1223","","0","1201","22","1223","26","1197","16","130","282","4","9","71","186","9","97","393","29.10.12"
"120742","35","Дніпропетровська область","Одеська юридична академія, хол
просп.Трубників, 87А, м.Нікополь, Дніпропетровська обл., 53200","2190","1063","2173","11","1118","9","1127","","0","1118","9","1127","26","1101","9","95","226","5","4","50","173","8","59","472","29.10.12"
"120743","35","Дніпропетровська область","школа №21, хол
вул.Гагаріна, 161, м.Нікополь, Дніпропетровська обл., 53201","2322","1214","2183","33","1076","32","1108","","0","1075","32","1107","33","1074","18","96","194","6","5","68","161","16","115","395","29.10.12"
"120744","35","Дніпропетровська область","школа №25, хол
просп.Трубників, 46, м.Нікополь, Дніпропетровська обл., 53201","2388","1208","2364","25","1157","23","1180","","0","1157","23","1180","28","1152","21","94","216","4","4","81","145","17","71","499","29.10.12"
"120745","35","Дніпропетровська область","гімназія №7, хол
вул.Краснодонська, 42, м.Нікополь, Дніпропетровська обл., 53200","1482","709","1501","19","754","19","773","","0","754","19","773","19","754","13","73","179","1","5","58","95","9","64","257","29.10.12"
"120746","35","Дніпропетровська область","школа №13, хол
вул.Героїв Чорнобиля, 65, м.Нікополь, Дніпропетровська обл., 53210","1842","789","1812","31","1026","27","1053","","0","1026","27","1053","33","1020","23","132","187","0","13","88","122","13","63","379","29.10.12"
"120747","35","Дніпропетровська область","школа №26, хол
вул.Каштанова, 62, м.Нікополь, Дніпропетровська обл., 53200","2334","1108","2306","17","1212","14","1226","","0","1212","14","1226","32","1194","27","111","296","5","9","76","144","21","108","397","29.10.12"
"120748","35","Дніпропетровська область","школа №5, хол
вул.Гагаріна, 54А, м.Нікополь, Дніпропетровська обл., 53210","2304","1006","2229","28","1274","24","1298","","0","1274","24","1298","26","1272","10","139","259","3","14","99","180","18","77","473","29.10.12"
"120749","35","Дніпропетровська область","школа №12, хол
вул.Лапинська, 254, м.Нікополь, Дніпропетровська обл., 53222","2256","1071","2309","45","1144","41","1185","","0","1144","41","1185","26","1159","16","80","283","4","5","82","180","15","81","413","29.10.12"
"120750","35","Дніпропетровська область","автомобільна школа, хол
вул.Куйбишева, 4, м.Нікополь, Дніпропетровська обл., 53222","1656","767","1629","60","833","56","889","","0","833","56","889","26","863","11","76","171","5","5","80","134","12","56","313","29.10.12"
"120751","35","Дніпропетровська область","школа №11, хол
вул.Лапинська, 130, м.Нікополь, Дніпропетровська обл., 53222","1740","778","1728","55","912","50","962","","0","912","50","962","25","937","10","81","200","5","3","89","131","8","69","341","29.10.12"
"120752","35","Дніпропетровська область","гімназія №15, хол
вул.Шульгіна, 2, м.Нікополь, Дніпропетровська обл., 53213","1044","450","1026","12","585","9","594","","0","585","9","594","21","573","10","66","123","0","4","40","92","8","46","184","29.10.12"
"120753","35","Дніпропетровська область","педагогічне училище, хол
вул.Станіславського, 7, м.Нікополь, Дніпропетровська обл., 53210","1494","668","1466","21","808","18","826","","0","808","18","826","22","804","5","105","156","8","5","60","102","14","47","302","29.10.12"
"120754","35","Дніпропетровська область","металургійний технікум, хол
просп.Трубників, 18, м.Нікополь, Дніпропетровська обл., 53210","1992","1005","1953","21","969","18","987","","0","969","18","987","28","959","12","106","237","7","6","57","134","15","59","326","31.10.12"
"120755","35","Дніпропетровська область","професійний ліцей, хол
просп.Трубників, 16, м.Нікополь, Дніпропетровська обл., 53213","2190","1098","2146","22","1070","22","1092","","0","1070","22","1092","18","1074","14","103","265","1","9","59","136","12","92","383","29.10.12"
"120756","35","Дніпропетровська область","гуртожиток металургійного технікуму, хол
вул.Електрометалургів, 17А, м.Нікополь, Дніпропетровська обл., 53210","2304","1015","2283","16","1277","12","1289","","0","1276","12","1288","44","1244","11","117","257","4","3","71","189","10","90","492","31.10.12"
"120757","35","Дніпропетровська область","гуртожиток педагогічного училища, хол
вул.Електрометалургів, 33А, м.Нікополь, Дніпропетровська обл., 53219","1236","610","1215","12","619","7","626","","0","619","7","626","15","611","7","50","103","1","6","65","53","10","37","279","29.10.12"
"120758","35","Дніпропетровська область","школа №2, хол
вул.Героїв Чорнобиля, 68, м.Нікополь, Дніпропетровська обл., 53213","1290","699","1272","15","578","13","591","","0","578","13","591","17","574","11","40","139","5","4","23","86","12","44","210","29.10.12"
"120759","35","Дніпропетровська область","школа №6, хол
вул.Електрометалургів, 55, м.Нікополь, Дніпропетровська обл., 53208","1650","764","1636","84","813","73","886","","0","813","73","886","23","863","9","113","174","7","7","42","115","13","46","337","29.10.12"
"120760","35","Дніпропетровська область","школа №14, хол
вул.Будьонівська, 33, м.Нікополь, Дніпропетровська обл., 53208","1086","469","1070","37","586","31","617","","0","586","31","617","13","604","9","55","136","1","3","24","99","4","55","218","29.10.12"
"120761","35","Дніпропетровська область","культурний центр ""Ровесник"", хол
вул.Герцена, 31, м.Нікополь, Дніпропетровська обл., 53208","972","472","947","32","468","32","500","","0","468","32","500","28","472","0","56","91","3","2","28","69","6","57","160","29.10.12"
"120762","35","Дніпропетровська область","ПМК-2, хол
вул.Чалого, 121А, м.Нікополь, Дніпропетровська обл., 53208","1356","671","1338","43","651","34","685","","0","651","34","685","23","662","8","64","138","3","5","41","107","8","36","252","29.10.12"
"120763","35","Дніпропетровська область","агропромтехніка, хол
вул.Жигулівська, 63, м.Нікополь, Дніпропетровська обл., 53221","1386","644","1382","46","702","40","742","","0","702","40","742","16","726","8","62","159","3","5","33","107","11","42","296","29.10.12"
"120764","35","Дніпропетровська область","моторвагонне депо, хол
вул.Завокзальна, 2А, м.Нікополь, Дніпропетровська обл., 53221","1542","757","1525","58","736","49","785","","0","736","49","785","23","762","6","63","181","1","5","41","111","11","78","265","29.10.12"
"120765","35","Дніпропетровська область","школа№2, хол
вул.Героїв Чорнобиля, 68, м.Нікополь, Дніпропетровська обл., 53219","2190","986","2148","26","1183","21","1204","","0","1183","21","1204","43","1161","15","128","246","7","3","62","150","25","105","420","29.10.12"
"120766","35","Дніпропетровська область","Нікопольський міський водоканал, хол
вул.К.Маркса, 180, м.Нікополь, Дніпропетровська обл., 53219","2190","990","2145","14","1187","13","1200","","0","1187","13","1200","42","1158","13","137","206","4","9","66","183","65","73","402","29.10.12"
"120767","35","Дніпропетровська область","школа №20, хол
вул.Шевченка, 204, м.Нікополь, Дніпропетровська обл., 53219","2298","1031","2258","15","1255","12","1267","","0","1255","12","1267","40","1227","19","139","277","4","10","65","136","19","101","457","29.10.12"
"120768","35","Дніпропетровська область","школа №10, хол
вул.Некрасова, 43А, м.Нікополь, Дніпропетровська обл., 53207","2292","1147","2265","21","1127","18","1145","","0","1127","18","1145","37","1108","14","109","247","4","9","54","184","27","67","393","29.10.12"
"120769","35","Дніпропетровська область","Нікопольська центральна бібліотека, хол, 2-й поверх
вул.Шевченка, 180, м.Нікополь, Дніпропетровська обл., 53213","2328","1044","2300","21","1265","19","1284","","0","1265","19","1284","26","1258","15","170","288","7","9","102","141","26","84","416","31.10.12"
"120770","35","Дніпропетровська область","школа №10, хол
вул.Некрасова, 43А, м.Нікополь, Дніпропетровська обл., 53207","2346","1036","2324","29","1282","28","1310","","0","1282","28","1310","44","1266","17","133","279","6","5","101","187","12","81","445","29.10.12"
"120771","35","Дніпропетровська область","школа №24, хол
вул.Першотравнева, 13, м.Нікополь, Дніпропетровська обл., 53207","1464","680","1426","16","768","16","784","","0","768","16","784","29","755","10","58","162","3","7","37","140","16","52","270","29.10.12"
"120772","35","Дніпропетровська область","кранобудівний завод, хол
вул.К.Лібкнехта, 169, м.Нікополь, Дніпропетровська обл., 53207","1902","947","1886","22","935","20","955","","0","935","20","955","25","930","10","112","241","1","10","41","134","13","75","293","29.10.12"
"120773","35","Дніпропетровська область","школа №9, хол
вул.Шевченка, 87, м.Нікополь, Дніпропетровська обл., 53224","2364","1078","2324","17","1273","13","1286","","0","1273","13","1286","40","1246","16","135","283","5","9","77","158","15","99","449","29.10.12"
"120774","35","Дніпропетровська область","школа №3, хол
вул.Шевченка, 67, м.Нікополь, Дніпропетровська обл., 53211","2364","1109","2320","22","1236","19","1255","","0","1236","19","1255","35","1220","19","173","264","3","12","62","147","8","124","408","29.10.12"
"120775","35","Дніпропетровська область","Нікопольське медичне училище, хол
вул.Херсонська, 5, м.Нікополь, Дніпропетровська обл., 53211","2406","1296","2394","37","1076","34","1110","","0","1076","34","1110","45","1065","21","93","192","8","7","88","159","8","74","415","29.10.12"
"120776","35","Дніпропетровська область","професійний ліцей, 2 корпус, хол
вул.Микитинська, 69, м.Нікополь, Дніпропетровська обл., 53211","2106","1105","2054","5","997","4","1001","","0","997","4","1001","27","974","16","86","185","4","6","69","146","11","78","373","31.10.12"
"120777","35","Дніпропетровська область","школа №8, хол
вул.Довгалівська, 5, м.Нікополь, Дніпропетровська обл., 53211","2376","1108","2323","22","1248","20","1268","","0","1248","20","1268","25","1243","18","98","259","8","8","60","227","11","93","461","29.10.12"
"120778","35","Дніпропетровська область","школа №4, хол
вул.К.Лібкнехта, 111, м.Нікополь, Дніпропетровська обл., 53200","2340","1121","2344","20","1202","17","1219","","0","1201","17","1218","25","1193","22","121","300","4","10","83","157","12","90","394","31.10.12"
"120779","35","Дніпропетровська область","культурно-дозвіллєвий центр, хол
вул.К.Лібкнехта, 94, м.Нікополь, Дніпропетровська обл., 53200","2262","1102","2226","31","1137","23","1160","","0","1137","23","1160","22","1138","10","136","230","7","10","66","168","17","90","404","29.10.12"
"120780","35","Дніпропетровська область","школа мистецтв, хол
вул.Запорізька, 26, м.Нікополь, Дніпропетровська обл., 53211","2160","1103","2127","12","1050","7","1057","","0","1050","7","1057","37","1020","13","94","228","4","14","64","172","11","62","358","31.10.12"
"120781","35","Дніпропетровська область","управління міськгазу, хол
вул.А.Сєрова, 51, м.Нікополь, Дніпропетровська обл., 53207","2208","1188","2180","15","1006","14","1020","","0","1006","14","1020","30","990","9","101","229","7","8","42","141","12","67","374","29.10.12"
"120782","35","Дніпропетровська область","школа №18, хол
вул.Перемоги, 39, м.Нікополь, Дніпропетровська обл., 53204","1458","746","1437","9","706","6","712","","0","706","6","712","42","670","7","79","142","4","5","19","75","3","46","290","29.10.12"
"120783","35","Дніпропетровська область","контора нафтобази, хол
вул.Довгалівська, 74, м.Нікополь, Дніпропетровська обл., 53211","2382","1221","2290","40","1123","38","1161","","0","1123","38","1161","42","1119","16","110","217","4","16","51","152","9","84","460","29.10.12"
"120784","35","Дніпропетровська область","школа №16, хол
вул.Довгалівська, 279, м.Нікополь, Дніпропетровська обл., 53211","2322","1078","2286","105","1148","96","1244","","0","1148","96","1244","31","1213","15","99","224","4","23","61","176","11","66","534","29.10.12"
"120785","35","Дніпропетровська область","школа №17, хол
вул.Довгалівська, 244, м.Нікополь, Дніпропетровська обл., 53204","1470","701","1470","38","731","38","769","","0","731","38","769","18","751","3","53","218","0","11","27","104","5","56","274","29.10.12"
"120786","35","Дніпропетровська область","риболовецьке господарство, фойє
вул.Рижикова, 64, м.Нікополь, Дніпропетровська обл., 53204","1632","818","1604","22","795","19","814","","0","795","19","814","24","790","12","87","154","5","9","23","106","6","72","316","29.10.12"
"120787","35","Дніпропетровська область","культурний центр ""Славутич"", хол
вул.Жуковського, 96, м.Нікополь, Дніпропетровська обл., 53221","2316","993","2326","10","1316","7","1323","","0","1316","7","1323","29","1294","23","113","208","13","17","66","202","19","61","572","29.10.12"
"120788","35","Дніпропетровська область","центр здоров’я ""Темп"", хол
вул.Жуковського, 82, м.Нікополь, Дніпропетровська обл., 53221","2166","1035","2112","11","1123","8","1131","","0","1123","8","1131","19","1112","9","71","247","8","2","37","190","18","77","453","29.10.12"
"120789","35","Дніпропетровська область","культурний центр ""Оберіг"", хол
вул.Микитина, 3, м.Нікополь, Дніпропетровська обл., 53211","1734","882","1707","17","837","15","852","","0","837","15","852","35","817","16","76","177","2","8","56","127","12","83","260","29.10.12"
"120790","35","Дніпропетровська область","центр трудового навчання, хол
вул.Херсонська, 56/1, м.Нікополь, Дніпропетровська обл., 53211","1794","910","1765","10","875","9","884","","0","875","9","884","24","860","17","82","183","3","5","51","129","10","81","299","29.10.12"
"120791","35","Дніпропетровська область","школа №24, хол
вул.Першотравнева, 13, м.Нікополь, Дніпропетровська обл., 53207","1476","669","1443","6","801","6","807","","0","801","6","807","21","786","6","78","197","5","3","59","116","17","42","263","29.10.12"
"120792","35","Дніпропетровська область","Нікопольська міська лікарня №1, фойє
вул.Краснодонська, 2А, м.Нікополь, Дніпропетровська обл., 53213","252","0","396","259","132","120","252","","0","132","120","252","9","243","1","7","19","1","7","10","18","2","10","168","29.10.12"
"120793","35","Дніпропетровська область","Нікопольський протитуберкульозний диспансер, фойє
вул.Електрометалургів, 17А, м.Нікополь, Дніпропетровська обл., 53219","84","32","52","0","52","0","52","","0","52","0","52","0","52","0","0","1","0","1","4","2","0","3","41","29.10.12"
"120794","35","Дніпропетровська область","Нікопольський пологовий будинок, фойє
вул.Гагаріна, 49А, м.Нікополь, Дніпропетровська обл., 53210","30","0","33","0","30","0","30","","0","30","0","30","0","30","0","1","1","1","0","1","3","0","2","21","29.10.12"
"120795","35","Дніпропетровська область","Нікопольська міська лікарня №4, фойє
просп.Трубників, 50, м.Нікополь, Дніпропетровська обл., 53201","90","0","126","0","90","0","90","","0","90","0","90","2","88","2","5","7","2","0","1","4","1","1","65","29.10.12"
"120796","35","Дніпропетровська область","Нікопольська центральна района лікарня, зал засідань
вул.Першотравнева, 58, м.Нікополь, Дніпропетровська обл., 53207","204","44","162","3","157","3","160","","0","157","3","160","5","155","2","12","30","1","3","8","10","5","13","71","29.10.12"
"120831","35","Дніпропетровська область","Олександрівська школа, хол, 1-й поверх
вул.40 років Жовтня, 62, м.Орджонікідзе, Дніпропетровська обл., 53300","1548","791","1513","68","698","59","757","","0","698","59","757","24","733","10","65","97","2","2","1","50","1","28","477","29.10.12"
"120832","35","Дніпропетровська область","школа №2, їдальня, 1-й поверх
вул.І.Малки, 6, м.Орджонікідзе, Дніпропетровська обл., 53300","2322","1170","2283","44","1114","38","1152","","0","1114","38","1152","51","1101","20","122","202","8","6","23","107","9","41","563","29.10.12"
"120833","35","Дніпропетровська область","школа №2, хол, 1-й поверх
вул.І.Малки, 6, м.Орджонікідзе, Дніпропетровська обл., 53300","1962","980","1955","61","928","54","982","","0","928","54","982","57","925","13","100","141","6","4","6","77","8","60","510","29.10.12"
"120834","35","Дніпропетровська область","Чортомлицька школа, хол, 1-й поверх
вул.П.Осипенко, 36, м.Орджонікідзе, Дніпропетровська обл., 53300","1242","604","1220","43","597","41","638","","0","597","41","638","24","614","6","77","81","6","2","3","40","0","20","379","29.10.12"
"120835","35","Дніпропетровська область","клуб с.Первізькі Хутори, хол, 1-й поверх
вул.С.Лазо, 48, м.Орджонікідзе, Дніпропетровська обл., 53300","438","190","452","35","215","33","248","","0","215","33","248","11","237","1","40","25","2","0","3","13","2","6","145","29.10.12"
"120836","35","Дніпропетровська область","школа №4, хол, 1-й поверх
вул.Уральська, 2, м.Орджонікідзе, Дніпропетровська обл., 53300","1338","628","1316","21","692","18","710","","0","692","18","710","16","694","15","93","107","5","3","9","62","4","48","348","29.10.12"
"120837","35","Дніпропетровська область","будинок творчості дітей і юнацтва, хол, 1-й поверх
вул.Калініна, 5, м.Орджонікідзе, Дніпропетровська обл., 53300","1404","633","1378","23","750","21","771","","0","750","21","771","33","738","16","109","99","4","7","7","54","3","51","388","29.10.12"
"120838","35","Дніпропетровська область","спортивна школа, спортивна зала, 1-й поверх
вул.Горького, 12, м.Орджонікідзе, Дніпропетровська обл., 53300","1422","570","1411","33","823","29","852","","0","823","29","852","48","804","9","126","129","1","2","14","82","3","58","380","29.10.12"
"120839","35","Дніпропетровська область","ліцей, хол, 1-й поверх
вул.Калініна, 31, м.Орджонікідзе, Дніпропетровська обл., 53300","2244","1049","2175","46","1155","40","1195","","0","1155","40","1195","49","1146","14","127","164","6","7","11","84","7","80","646","29.10.12"
"120840","35","Дніпропетровська область","школа №5, хол, 1-й поверх
вул.Калініна, 35, м.Орджонікідзе, Дніпропетровська обл., 53300","1404","621","1374","21","765","18","783","","0","765","18","783","35","748","7","93","109","1","4","6","52","1","51","424","29.10.12"
"120841","35","Дніпропетровська область","школа №6, хол, 1-й поверх
вул.Чіатурська, 6, м.Орджонікідзе, Дніпропетровська обл., 53300","1644","772","1636","27","851","21","872","","0","851","21","872","31","841","10","103","87","3","7","9","83","6","46","487","29.10.12"
"120842","35","Дніпропетровська область","КРЦ ПАТ ""Орджонікідзевський гірничо-збагачувальний комбінат"", танцювальна зала, 1-й поверх
вул.Калініна, 39, м.Орджонікідзе, Дніпропетровська обл., 53300","2424","1149","2378","33","1245","30","1275","","0","1245","30","1275","58","1217","19","183","152","12","14","6","109","2","60","660","29.10.12"
"120843","35","Дніпропетровська область","садок №16, спортивна зала, 1-й поверх
вул.Шатохіна, 3, м.Орджонікідзе, Дніпропетровська обл., 53300","1638","756","1610","35","851","31","882","","0","851","31","882","24","858","18","152","98","4","4","11","67","3","38","463","29.10.12"
