"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Бутківський
Віктор
Володимирович","Гноєвий
Віктор
Григорович","Мазур
Валерій
Григорович","Маласай
Віталій
Миколайович","Мельник
Сергій
Ігорович","Пегушин
Павло
Іванович","Садовий
Тарас
Іванович","Чалий
Дмитро
Володимирович","Штамбург
Вячеслав
Віталійович","Дата підписання протоколу"
"120103","29","Дніпропетровська область","школа №4, фойє
вул.Партизанська, 56, м.Підгородне, Дніпропетровський р-н, Дніпропетровська обл., 52002","2328","1367","2301","50","917","44","961","","0","917","44","961","67","894","394","65","31","37","28","9","202","105","23","29.10.12"
"120104","29","Дніпропетровська область","школа №3, фойє
вул.Ленінградська, 5, м.Підгородне, Дніпропетровський р-н, Дніпропетровська обл., 52001","2400","1436","2377","18","951","13","964","","0","951","13","964","57","907","316","35","41","48","44","20","270","120","13","29.10.12"
"120105","29","Дніпропетровська область","школа №3, актова зала
вул.Ленінградська, 5, м.Підгородне, Дніпропетровський р-н, Дніпропетровська обл., 52001","2352","1536","2324","19","804","12","816","","0","804","12","816","74","742","234","25","26","39","60","10","210","117","21","29.10.12"
"120106","29","Дніпропетровська область","школа №1, фойє
вул.Леніна, 1, м.Підгородне, Дніпропетровський р-н, Дніпропетровська обл., 52001","2432","1482","2421","35","925","25","950","","0","919","25","944","56","888","272","49","22","59","36","11","288","125","26","30.10.12"
"120107","29","Дніпропетровська область","міська лікарня, коридор
вул.Шосейна, 82, м.Підгородне, Дніпропетровський р-н, Дніпропетровська обл., 52001","2424","1537","2394","33","860","27","887","","0","860","27","887","74","813","221","63","27","81","37","16","187","162","19","29.10.12"
"120108","29","Дніпропетровська область","школа №2, фойє
вул.Радянська, 2А, м.Підгородне, Дніропетровський р-н, Дніпропетровська обл., 52001","2024","1287","1993","48","707","30","737","","0","707","30","737","41","696","249","41","8","46","36","6","202","101","7","29.10.12"
"120109","29","Дніпропетровська область","будинок культури, зала
вул.Центральна, 44, м.Підгородне, Дніпропетровський р-н, Дніпропетровська обл., 52001","2376","1299","2356","51","1044","33","1077","","0","1044","33","1077","102","975","346","44","23","54","51","6","307","120","24","29.10.12"
"120110","29","Дніпропетровська область","школа, спортзал
вул.Центральна, 36, смт Кіровське, Дніпропетровський р-н, Дніпропетровська обл., 52030","2424","1030","2387","89","1328","66","1394","","0","1328","66","1394","45","1349","761","88","15","15","38","23","260","131","18","30.10.12"
"120111","29","Дніпропетровська область","птахофабрика, фойє
вул.Леніна, 543, смт Кіровське, Дніпропетровський р-н, Дніпропетровська обл., 52031","1560","893","1530","23","647","20","667","","0","647","20","667","32","635","327","50","21","7","9","9","143","59","10","29.10.12"
"120112","29","Дніпропетровська область","школа №2, спортзал
вул.Леніна, 49, смт Кіровське, Дніпропетровський р-н, Дніпропетровська обл., 52030","2208","1222","2182","68","925","61","986","","0","925","61","986","59","927","393","89","17","10","43","17","217","124","17","29.10.12"
"120113","29","Дніпропетровська область","еколого-натуралістичний центр, фойє
вул.Горького, 62, смт Кіровське, Дніпропетровський р-н, Дніпропетровська обл., 52032","1064","483","1046","56","525","56","581","","0","525","56","581","20","561","287","23","8","3","35","1","123","73","8","29.10.12"
"120114","29","Дніпропетровська область","школа, фойє
вул.Ворошилова, 20, с.Горянівське, Дніпропетровський р-н, Дніпропетровська обл., 52030","1056","585","1039","33","447","24","471","","0","447","24","471","35","436","163","59","12","5","10","7","76","98","6","29.10.12"
"120115","29","Дніпропетровська область","будинок культури, фойє
вул.Теплична, 23, смт Ювілейне, Дніпропетровський р-н, Дніпропетровська обл., 52005","1920","912","1926","31","985","23","1008","","0","985","23","1008","58","950","270","57","30","14","20","46","363","119","31","29.10.12"
"120116","29","Дніпропетровська область","школа №1, їдальня
вул.Фрунзе, 1, смт Ювілейне, Дніпропетровський р-н, Дніпропетровська обл., 52005","1728","751","1702","42","951","26","977","","0","951","26","977","47","930","300","66","17","21","32","53","237","167","37","29.10.12"
"120117","29","Дніпропетровська область","школа №1, фойє
вул.Фрунзе, 1, смт Ювілейне, Дніпропетровський р-н, Дніпропетровська обл., 52005","1464","754","1451","8","706","4","710","","0","706","4","710","47","663","243","41","22","14","22","42","169","97","13","29.10.12"
"120118","29","Дніпропетровська область","початкова школа №2, актова зала
вул.Теплична, 30, смт Ювілейне, Дніпропетровський р-н, Дніпропетровська обл., 52005","1560","690","1535","19","853","17","870","","0","853","17","870","66","804","301","48","14","14","39","45","214","104","25","29.10.12"
"120119","29","Дніпропетровська область","дитсадок ""Червона Шапочка"", актова зала
вул.Фрунзе, 10, смт Ювілейне, Дніпропетровський р-н, Дніпропетровська обл., 52005","1688","864","1677","30","799","25","824","","0","799","25","824","41","783","294","40","24","21","37","42","184","116","25","29.10.12"
"120120","29","Дніпропетровська область","дитсадок ""Берізка"", актова зала
вул.Фрунзе, 7А, смт Ювілейне, Дніпропетровський р-н, Дніпропетровська обл., 52005","1056","494","1052","35","541","21","562","","0","541","21","562","31","531","200","24","17","14","22","31","139","76","8","29.10.12"
"120121","29","Дніпропетровська область","ФАП ""Нижньодніпровський"", фойє
вул.Мічуріна, 41, смт Ювілейне, Дніпропетровський р-н, Дніпропетровська обл., 52005","672","305","668","32","337","30","367","","0","337","30","367","19","348","191","9","12","6","14","9","58","39","10","29.10.12"
"120122","29","Дніпропетровська область","будинок культури, фойє
вул.Леніна, 6, с.Сурсько-Литовське, Дніпропетровський р-н, Дніпропетровська обл., 52064","2264","1227","2227","63","982","55","1037","","0","982","55","1037","69","968","495","43","24","8","45","13","114","210","16","29.10.12"
"120123","29","Дніпропетровська область","школа, фойє
вул.Шкільна, 33, с.Сурсько-Литовське, Дніпропетровський р-н, Дніпропетровська обл., 52064","1448","830","1432","32","597","21","618","","0","597","21","618","47","571","301","29","29","6","14","4","89","90","9","29.10.12"
"120124","29","Дніпропетровська область","будинок культури, зала
вул.Центральна, 22, с.Волоське, Дніпропетровський р-н, Дніпропетровська обл., 52043","1280","668","1270","50","566","46","612","","0","566","46","612","43","569","270","25","23","17","31","3","84","107","9","29.10.12"
"120125","29","Дніпропетровська область","сільська рада, каб.1
вул.Леніна, 7, с-ще Горького, Дніпропетровський р-н, Дніпропетровська обл., 52052","888","498","870","53","349","41","390","","0","349","41","390","32","358","145","10","24","6","38","3","71","53","8","29.10.12"
"120126","29","Дніпропетровська область","школа, актова зала
вул.Шкільна, 2, с-ще Шевченко, Дніпропетровський р-н, Дніпропетровська обл., 52053","1056","630","1040","44","389","37","426","","0","389","37","426","29","397","138","14","15","7","30","4","68","112","9","29.10.12"
"120127","29","Дніпропетровська область","сільський Будинок культури, зала
вул.Робоча, 14А, с.Степове, Дніпропетровський р-н, Дніпропетровська обл., 52021","1096","457","1085","32","607","32","639","","0","607","32","639","43","596","343","63","6","9","24","3","66","76","6","29.10.12"
"120128","29","Дніпропетровська область","будинок культури, мала зала
вул.Садова, 2, с.Любимівка, Дніпропетровський р-н, Дніпропетровська обл., 52042","1656","827","1633","40","790","39","829","","0","790","39","829","37","792","412","44","29","8","21","3","143","117","15","29.10.12"
"120129","29","Дніпропетровська область","сільська рада, зала засідань
вул.Садова, 1, с.Любимівка, Дніпропетровський р-н, Дніпропетровська обл., 52042","920","481","915","34","406","33","439","","0","406","33","439","18","421","200","27","3","26","15","3","65","66","16","28.10.12"
"120130","29","Дніпропетровська область","школа, фойє
вул.Колгоспна, 1, с.Олександрівка, Дніпропетровський р-н, Дніпропетровська обл., 52041","1680","739","1671","35","908","33","941","","0","908","33","941","37","904","483","52","20","5","45","6","159","116","18","30.10.12"
"120131","29","Дніпропетровська область","школа, актова зала
вул.Колгоспна, 1, с.Олександрівка, Дніпропетровський р-н, Дніпропетровська обл., 52041","856","429","837","13","418","9","427","","0","418","9","427","16","411","237","21","8","4","20","0","78","33","10","28.10.12"
"120132","29","Дніпропетровська область","школа, спортзал
вул.Шкільна, 1, с.Чумаки, Дніпропетровський р-н, Дніпропетровська обл., 52024","1336","482","1317","45","809","45","854","","0","809","45","854","38","816","585","58","10","12","13","5","43","83","7","29.10.12"
"120133","29","Дніпропетровська область","мехмайстерня СПП ""Чумаки"", хол
пров.Мирний, 13, с.Маївка, Дніпропетровський р-н, Дніпропетровська обл., 52022","488","180","475","38","270","38","308","","0","270","38","308","14","294","189","9","8","8","3","5","23","46","3","30.10.12"
"120134","29","Дніпропетровська область","школа, спортзал
вул.Леніна, 1А, с-ще Зоря, Дніпропетровський р-н, Дніпропетровська обл., 52011","864","353","851","33","478","33","511","","0","478","33","511","16","495","281","57","9","5","6","2","62","60","13","29.10.12"
"120135","29","Дніпропетровська область","школа №1, спортзал
вул.Генерала Пушкіна, 1, с.Миколаївка, Дніпропетровський р-н, Дніпропетровська обл., 52061","1032","470","1006","73","491","71","562","","0","491","71","562","30","532","291","31","20","7","41","3","65","67","7","29.10.12"
"120136","29","Дніпропетровська область","школа, фойє
вул.Жовтнева, 52Б, с.Балівка, Дніпропетровський р-н, Дніпропетровська обл., 52010","2176","1109","2160","86","993","74","1067","","0","993","74","1067","47","1020","342","455","10","3","9","9","87","93","12","29.10.12"
"120137","29","Дніпропетровська область","школа, фойє
вул.Жовтнева, 18, с.Партизанське, Дніпропетровський р-н, Дніпропетровська обл., 52012","2024","1092","1999","51","891","41","932","","0","891","41","932","35","897","344","274","17","5","12","2","119","107","17","29.10.12"
"120138","29","Дніпропетровська область","будинок культури, фойє
вул.Центральна, 16А, с.Новомиколаївка, Дніпропетровський р-н, Дніпропетровська обл., 52066","1152","550","1143","59","547","55","602","","0","547","55","602","35","567","324","16","15","6","14","5","68","104","15","29.10.12"
"120139","29","Дніпропетровська область","сільський клуб, зала
вул.Центральна, 105, с.Миколаївка, Дніпропетровський р-н, Дніпропетровська обл., 52060","896","401","881","89","407","88","495","","0","407","88","495","27","468","248","24","26","8","37","8","60","46","11","29.10.12"
"120140","29","Дніпропетровська область","гуртожиток, фойє
вул.Березова, 11, с-ще Орджонікідзе, Дніпропетровський р-н, Дніпропетровська обл., 52063","456","173","451","17","267","16","283","","0","267","16","283","22","261","136","10","10","3","41","4","26","24","7","29.10.12"
"120141","29","Дніпропетровська область","школа, фойє
пров.Шкільний, 2, с.Степове, Дніпропетровський р-н, Дніпропетровська обл., 52050","512","204","504","21","290","18","308","","0","290","18","308","16","292","156","6","7","3","14","3","40","57","6","29.10.12"
"120142","29","Дніпропетровська область","будинок культури, зала
вул.Радянська, 89, с.Благовіщенка, Дніпропетровський р-н, Дніпропетровська обл., 52050","224","95","225","37","97","32","129","","0","97","32","129","6","123","64","6","5","2","15","1","14","15","1","29.10.12"
"120143","29","Дніпропетровська область","кафе ""Іринка"", велика зала
вул.Центральна, 43А, с.Новоолександрівка, Дніпропетровський р-н, Дніпропетровська обл., 52070","2160","1034","2143","128","1034","92","1126","","0","1034","92","1126","57","1069","544","60","31","12","31","12","195","164","20","29.10.12"
"120144","29","Дніпропетровська область","школа, фойє
вул.Паркова, 1А, с.Новоолександрівка, Дніпропетровський р-н, Дніпропетровська обл., 52070","2448","1150","2432","108","1212","86","1298","","0","1212","86","1298","54","1244","587","46","23","23","26","18","280","203","38","29.10.12"
"120145","29","Дніпропетровська область","будинок культури, фойє
вул.Клубна, 2, с.Старі Кодаки, Дніпропетровський р-н, Дніпропетровська обл., 52072","1568","767","1568","57","751","50","801","","0","751","50","801","41","760","446","13","9","9","81","5","104","84","9","29.10.12"
"120146","29","Дніпропетровська область","сільський клуб, фойє
вул.Наукова, 20, с-ще Дослідне, Дніпропетровський р-н, Дніпропетровська обл., 52071","1952","828","1934","39","1091","33","1124","","0","1091","33","1124","71","1053","280","46","30","12","31","18","310","307","19","29.10.12"
"120378","29","Дніпропетровська область","районний будинок культури, зал
вул.Леніна, 36, смт Петриківка, Петриківський р-н, Дніпропетровська обл., 51800","1400","668","1379","34","699","33","732","","0","699","33","732","25","707","339","63","14","6","16","5","174","75","15","29.10.12"
