"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Анащенко
Анатолій
Анатолійович","Білий
Андрій
Володимирович","Власова
Наталія
Федорівна","Городецький
Олексій
Ілліч","Карачевцев
Юрій
Васильович","Криштоп
Ігор
Володимирович","Лужецький
Олексій
Анатолійович","Салкоч
Олексій
Федорович","Солошенко
Микола
Павлович","Шилова
Вікторія
Віталіївна","Шипко
Аркадій
Юрійович","Дата підписання протоколу"
"120331","38","Дніпропетровська область","будинок культури, фойє
вул.Куйбишева, 3, с.Орлівщина, Новомосковський р-н, Дніпропетровська обл., 51215","1470","790","1480","39","646","34","680","","0","646","34","680","27","653","2","109","16","27","64","1","5","23","201","143","62","29.10.12"
"120332","38","Дніпропетровська область","школа, фойє
вул.Куйбишева, 18, с.Орлівщина, Новомосковський р-н, Дніпропетровська обл., 51215","1374","732","1352","37","605","37","642","","0","605","37","642","18","624","5","72","17","24","61","2","0","33","200","127","83","29.10.12"
"120333","38","Дніпропетровська область","школа №1, хол
вул.Калініна, 5, м.Перещепине, Новомосковський р-н, Дніпропетровська обл., 51220","2232","1107","2200","32","1097","28","1125","","0","1097","28","1125","31","1094","3","94","26","29","40","13","6","17","405","280","181","29.10.12"
"120334","38","Дніпропетровська область","будинок школяра, фойє
вул.Шевченка, 29, м.Перещепине, Новомосковський р-н, Дніпропетровська обл., 51220","1746","846","1712","34","868","32","900","","0","868","32","900","36","864","6","99","20","20","54","6","5","19","316","203","116","29.10.12"
"120335","38","Дніпропетровська область","школа №2, спортивна зала
вул.Комсомольська, 1, м.Перещепине, Новомосковський р-н, Дніпропетровська обл., 51220","1176","616","1164","20","542","18","560","","0","542","18","560","14","546","6","72","13","14","27","3","2","27","184","134","64","29.10.12"
"120336","38","Дніпропетровська область","професійний ліцей, спортивна зала
вул.Шевченка, 114, м.Перещепине, Новомосковський р-н, Дніпропетровська обл., 51220","1560","811","1538","35","716","33","749","","0","716","33","749","25","724","1","85","24","6","36","3","0","20","248","178","123","29.10.12"
"120337","38","Дніпропетровська область","навчально-виховний комплекс, спортивна зала
вул.Ломоносова, 2А, с.Малокозирщина, Новомосковський р-н, Дніпропетровська обл., 51223","930","478","901","80","379","73","452","","0","379","73","452","12","440","5","25","19","9","22","3","4","4","180","97","72","29.10.12"
"120338","38","Дніпропетровська область","будинок культури, фойє
вул.Леніна, 5, с.Піщанка, Новомосковський р-н, Дніпропетровська обл., 51283","2094","1203","2071","44","862","29","891","","0","862","29","891","43","848","6","108","32","45","76","7","4","19","247","201","103","29.10.12"
"120339","38","Дніпропетровська область","школа, спортивна зала
вул.Леніна, 1, с.Піщанка, Новомосковський р-н, Дніпропетровська обл., 51283","1554","828","1533","34","701","25","726","","0","701","25","726","33","693","4","98","20","36","62","1","2","12","229","140","89","29.10.12"
"120340","38","Дніпропетровська область","школа, фойє
вул.Шкільна, 2, с.Новоселівка, Новомосковський р-н, Дніпропетровська обл., 51284","780","368","775","33","379","33","412","","0","379","33","412","26","386","4","49","14","4","39","3","1","6","122","86","58","29.10.12"
"120341","38","Дніпропетровська область","школа, кабінет світової літератури та російської мови
вул.Шкільна, 21, с.Соколове, Новомосковський р-н, Дніпропетровська обл., 51285","360","175","358","24","161","24","185","","0","161","24","185","7","178","2","11","4","2","11","1","3","3","78","44","19","29.10.12"
"120342","38","Дніпропетровська область","сільський клуб, зала
вул.Центральна, 43, с.Ягідне, Новомосковський р-н, Дніпропетровська обл., 51286","258","109","256","7","142","7","149","","0","142","7","149","9","140","1","13","3","2","5","1","0","2","70","27","16","29.10.12"
"120343","38","Дніпропетровська область","сільська рада, обрядова зала
вул.Центральна, 63, с.Попасне, Новомосковський р-н, Дніпропетровська обл., 51242","906","430","903","66","412","64","476","","0","412","64","476","21","455","0","46","12","11","6","4","0","9","218","97","52","29.10.12"
"120344","38","Дніпропетровська область","початкова школа, спортивна зала
вул.Центральна, 10, с.Надеждівка, Новомосковський р-н, Дніпропетровська обл., 51243","336","188","325","16","132","16","148","","0","132","16","148","7","141","0","15","8","2","5","0","1","7","58","29","16","29.10.12"
"120345","38","Дніпропетровська область","школа, спортивна зала
вул.Козинця, 74Б, с.Спаське, Новомосковський р-н, Дніпропетровська обл., 51263","1632","906","1609","27","704","22","726","","0","704","22","726","26","700","13","95","24","23","60","7","3","15","232","165","63","29.10.12"
"120346","38","Дніпропетровська область","будинок культури, зала для глядачів
вул.Маяковського, 1А, с.Спаське, Новомосковський р-н, Дніпропетровська обл., 51263","912","468","899","35","412","32","444","","0","412","32","444","23","421","2","68","17","9","48","2","2","12","146","87","28","29.10.12"
"120347","38","Дніпропетровська область","школа, фойє
вул.Леніна, 5, с.Хуторо-Губиниха, Новомосковський р-н, Дніпропетровська обл., 51264","810","380","800","53","377","53","430","","0","377","53","430","9","421","2","56","4","13","31","4","2","3","133","130","43","29.10.12"
"120348","38","Дніпропетровська область","будинок офіцерів, хол, 1-й поверх
вул.Гагаріна, 5, смт Черкаське, Новомосковський р-н, Дніпропетровська обл., 51272","2124","1034","2102","7","1083","7","1090","","0","1083","7","1090","38","1052","5","63","17","16","15","47","3","6","559","102","219","29.10.12"
"120349","38","Дніпропетровська область","будинок офіцерів, зала, 2-й поверх
вул.Гагаріна, 5, смт Черкаське, Новомосковський р-н, Дніпропетровська обл., 51272","1782","719","1707","5","1059","4","1063","","0","1059","4","1063","38","1025","28","122","66","38","53","28","20","8","415","113","134","29.10.12"
"120350","38","Дніпропетровська область","Новомосковська центральна районна лікарня, конференцзала
вул.Радянська, 238, м.Новомосковськ, Дніпропетровська обл., 51200","204","22","203","41","153","29","182","","0","153","29","182","14","168","1","15","3","7","12","1","2","2","67","43","15","29.10.12"
"120667","38","Дніпропетровська область","школа, коридор
вул.Центральна, 57А, с.Вербуватівка, Юр’ївський р-н, Дніпропетровська обл., 51326","774","352","770","39","387","35","422","","0","387","35","422","21","401","3","42","8","3","15","4","2","6","94","184","40","29.10.12"
"120668","38","Дніпропетровська область","дитячий садок ""Ластівка"", групова кімната, 1-й поверх
вул.Чкалова, 36, с.Варварівка, Юр’ївський р-н, Дніпропетровська обл., 51325","1333","662","1319","76","604","67","671","","0","604","67","671","33","638","7","60","15","11","23","5","4","3","213","228","69","29.10.12"
"120669","38","Дніпропетровська область","районний будинок культури, зал
вул.Леніна, 114, смт Юр’ївка, Юр’ївський р-н, Дніпропетровська обл., 51300","1908","772","1889","37","1105","31","1136","","0","1105","31","1136","32","1104","9","65","22","5","19","6","5","13","289","593","78","29.10.12"
"120670","38","Дніпропетровська область","школа, хол, 1-й поверх
вул.Леніна, 37, с.Новогригорівка, Юр’ївський р-н, Дніпропетровська обл., 51316","480","191","474","54","239","50","289","","0","239","50","289","20","269","4","10","4","2","6","1","0","5","62","140","35","28.10.12"
"120671","38","Дніпропетровська область","сільський клуб, зал
вул.Радянська, 7, с.Жемчужне, Юр’ївський р-н, Дніпропетровська обл., 51327","564","202","554","39","324","38","362","","0","324","38","362","21","341","1","12","7","4","8","1","0","2","115","151","40","28.10.12"
"120672","38","Дніпропетровська область","школа, хол, 1-й поверх
вул.Центральна, 24, с.Новоіванівське, Юр’ївський р-н, Дніпропетровська обл., 51313","408","154","407","30","225","29","254","","0","225","29","254","11","243","1","8","5","1","0","0","1","4","89","114","20","28.10.12"
"120673","38","Дніпропетровська область","сільський клуб, глядацька зала
вул.Нова, 2, с.Новочорноглазівське, Юр’ївський р-н, Дніпропетровська обл., 51312","348","154","343","34","163","31","194","","0","163","31","194","5","189","1","5","3","0","6","1","0","3","73","88","9","29.10.12"
"120674","38","Дніпропетровська область","школа, коридор
вул.Шкільна, 42, с.Преображенка, Юр’ївський р-н, Дніпропетровська обл., 51315","372","130","365","49","198","44","242","","0","198","44","242","3","239","3","17","9","1","7","1","1","4","52","89","55","29.10.12"
"120675","38","Дніпропетровська область","сільський клуб, глядацька зала
вул.Дудченко, 14, с.Чернявщина, Юр’ївський р-н, Дніпропетровська обл., 51310","624","267","618","18","341","16","357","","0","341","16","357","27","330","3","17","11","0","9","3","0","4","125","140","18","29.10.12"
"120676","38","Дніпропетровська область","сільський клуб, глядацька зала
вул.Крупської, 26, с.Чорноглазівка, Юр’ївський р-н, Дніпропетровська обл., 51317","240","91","233","31","122","27","149","","0","122","27","149","6","143","4","6","4","3","4","0","1","2","48","63","8","29.10.12"
"120677","38","Дніпропетровська область","сільська рада, кабінет голови
вул.Шевченка, 73, с.Шандрівка, Юр’ївський р-н, Дніпропетровська обл., 51314","546","239","536","35","275","32","307","","0","273","32","305","6","299","1","5","8","3","4","4","1","2","64","194","13","29.10.12"
"120678","38","Дніпропетровська область","будинок культури, фойє
вул.Каштанова, 14, с.Чаплинка, Юр’ївський р-н, Дніпропетровська обл., 51321","684","264","672","24","399","21","420","","0","399","21","420","19","401","4","26","8","3","7","2","1","3","162","155","30","29.10.12"
"120679","38","Дніпропетровська область","навчально-виховний комплекс, хол, 1-й поверх
вул.Леніна, 44, с.Олександрівка, Юр’ївський р-н, Дніпропетровська обл., 51322","762","368","754","54","342","52","394","","0","342","52","394","10","384","2","12","9","1","3","5","1","3","152","174","22","29.10.12"
"120680","38","Дніпропетровська область","будинок культури, хол
вул.Леніна, 19, с.Новов’язівське, Юр’ївський р-н, Дніпропетровська обл., 51323","1320","490","1309","92","744","86","830","","0","744","86","830","33","797","5","57","22","6","16","4","2","5","297","331","52","28.10.12"
"120681","38","Дніпропетровська область","школа, класна кімната, 1-й поверх
вул.Дзержинського, 19, с.Водяне, Юр’ївський р-н, Дніпропетровська обл., 51324","426","149","424","41","238","39","277","","0","238","39","277","9","268","4","15","12","9","6","1","4","3","95","100","19","28.10.12"
"120797","38","Дніпропетровська область","виховний комбінат №5, спортивна зала
вул.Шкільна, 10, м.Новомосковськ, Дніпропетровська обл., 51200","1602","848","1571","48","722","32","754","","0","722","32","754","31","723","3","98","21","16","109","6","1","10","239","125","95","29.10.12"
"120798","38","Дніпропетровська область","міський клуб культури, глядацька зала, 2-й поверх
пл.Перемоги, 17, м.Новомосковськ, Дніпропетровська обл., 51200","2004","989","1983","47","980","35","1015","","0","980","35","1015","51","964","10","133","15","53","132","11","3","12","302","101","192","28.10.12"
"120799","38","Дніпропетровська область","ДЮСШ, спортивна зала
вул.Шевченка, 8, м.Новомосковськ, Дніпропетровська обл., 51200","2124","885","2109","47","1209","30","1239","","0","1209","30","1239","42","1197","6","187","18","52","185","15","5","19","331","114","265","29.10.12"
"120800","38","Дніпропетровська область","школа №2, фойє, 1-й поверх
вул.Червоноармійська, 19, м.Новомосковськ, Дніпропетровська обл., 51200","2190","911","2171","28","1255","24","1279","","0","1255","24","1279","51","1228","4","175","30","65","176","24","5","18","371","151","209","29.10.12"
"120801","38","Дніпропетровська область","колегіум №11, спортивна зала, 1-й поверх
вул.Жовтнева, 5, м.Новомосковськ, Дніпропетровська обл., 51200","1398","693","1362","25","686","19","705","","0","686","19","705","27","678","3","96","17","27","91","11","0","7","240","65","121","29.10.12"
"120802","38","Дніпропетровська область","кооперативний коледж, актова зала, 1-й поверх
вул.Радянська, 29, м.Новомосковськ, Дніпропетровська обл., 51200","1002","398","982","11","595","9","604","","0","595","9","604","13","591","0","100","14","42","68","5","0","7","173","80","102","29.10.12"
"120803","38","Дніпропетровська область","школа №18, спортивна зала, 1-й поверх
вул.Комсомольська, 9А, м.Новомосковськ, Дніпропетровська обл., 51200","1686","736","1679","31","930","20","950","","0","930","20","950","44","906","2","101","15","51","153","25","1","6","302","90","160","29.10.12"
"120804","38","Дніпропетровська область","школа №18, актова зала, 2-й поверх
вул.Комсомольська, 9А, м.Новомосковськ, Дніпропетровська обл., 51200","1368","596","1361","29","748","24","772","","0","748","24","772","29","743","1","87","8","37","119","4","2","15","229","90","151","29.10.12"
"120805","38","Дніпропетровська область","палац культури металургів, фойє, 2-й поверх
вул.Комсомольська, 6, м.Новомосковськ, Дніпропетровська обл., 51200","2262","1078","2214","37","1149","35","1184","","0","1149","35","1184","48","1136","4","174","13","55","158","19","1","9","341","148","214","29.10.12"
"120806","38","Дніпропетровська область","школа №1, спортивна зала, 1-й поверх
вул.Червоноармійська, 7, м.Новомосковськ, Дніпропетровська обл., 51200","2058","982","2019","35","1051","25","1076","","0","1051","25","1076","35","1041","5","136","23","83","153","30","3","9","340","112","147","29.10.12"
"120807","38","Дніпропетровська область","школа №1, актова зала, 2-й поверх
вул.Червоноармійська, 7, м.Новомосковськ, Дніпропетровська обл., 51200","1122","507","1104","19","599","16","615","","0","599","16","615","21","594","1","91","19","23","100","18","1","7","163","76","95","29.10.12"
"120808","38","Дніпропетровська область","школа №6, спортивна зала, 2-й поверх
вул.З.Бєлої, 6, м.Новомосковськ, Дніпропетровська обл., 51200","2124","1039","2076","56","1041","44","1085","","0","1041","44","1085","42","1043","11","146","25","37","145","16","2","13","303","164","181","29.10.12"
"120809","38","Дніпропетровська область","школа №6, фойє, 1-й поверх
вул.З.Бєлої, 6, м.Новомосковськ, Дніпропетровська обл., 51200","2346","1220","2305","67","1085","41","1126","","0","1084","41","1125","26","1099","9","184","23","38","166","20","0","14","376","115","154","29.10.12"
"120810","38","Дніпропетровська область","центральна бібліотека, читальна зала, 2-й поверх
вул.Комсомольська, 17Б, м.Новомосковськ, Дніпропетровська обл., 51200","1440","624","1413","26","793","23","816","","0","793","23","816","24","792","4","140","23","33","136","22","4","14","195","89","132","29.10.12"
"120811","38","Дніпропетровська область","металургійний технікум, фойє, 1-й поверх
вул.Жовтнева, 16, м.Новомосковськ, Дніпропетровська обл., 51200","1614","705","1606","27","885","24","909","","0","885","24","909","35","874","5","161","17","34","148","23","0","14","285","70","117","28.10.12"
"120812","38","Дніпропетровська область","ПТНЗ №48, актова зала, 2-й поверх
вул.Леваневського, 27А, м.Новомосковськ, Дніпропетровська обл., 51200","2394","1133","2373","25","1242","19","1261","","0","1242","19","1261","36","1225","5","235","21","69","222","25","2","25","321","146","154","29.10.12"
"120813","38","Дніпропетровська область","ПТНЗ №48, спортивна зала, 1-й поверх
вул.Леваневського, 27А, м.Новомосковськ, Дніпропетровська обл., 51200","2382","1134","2353","43","1216","32","1248","","0","1216","32","1248","51","1197","1","185","30","70","189","32","1","10","344","145","190","29.10.12"
"120814","38","Дніпропетровська область","коледж Аграрного університету, фойє, 1-й поверх
вул.Радянська, 236, м.Новомосковськ, Дніпропетровська обл., 51200","2214","1305","2172","38","875","34","909","","0","875","34","909","37","872","2","115","10","23","138","13","0","10","342","113","106","29.10.12"
"120815","38","Дніпропетровська область","школа №7, фойє учбового корпусу, 1-й поверх
вул.Боженка, 21А, м.Новомосковськ, Дніпропетровська обл., 51200","1734","909","1721","30","802","23","825","","0","802","23","825","31","794","3","105","14","21","122","7","4","12","294","118","94","29.10.12"
"120816","38","Дніпропетровська область","школа №7, фойє спального корпусу, 1-й поверх
вул.Боженка, 21А, м.Новомосковськ, Дніпропетровська обл., 51200","1278","704","1260","13","562","12","574","","0","562","12","574","34","540","8","86","16","26","81","4","3","10","156","72","78","29.10.12"
"120817","38","Дніпропетровська область","гімназія №3, спортивна зала, 2-й поверх
пров.Новоселівський, 11, м.Новомосковськ, Дніпропетровська обл., 51200","2142","1203","2100","79","880","59","939","","0","880","59","939","31","908","6","129","14","36","120","9","4","10","327","100","153","29.10.12"
"120818","38","Дніпропетровська область","залізнична станція, зала засідань
вул.Ковальова, 5, м.Новомосковськ, Дніпропетровська обл., 51200","432","177","445","10","250","5","255","","0","250","5","255","14","241","0","30","2","7","27","1","1","0","109","29","35","29.10.12"
"120819","38","Дніпропетровська область","школа №16, фойє
вул.Сільвестрова, 1, м.Новомосковськ, Дніпропетровська обл., 51200","1194","621","1185","47","532","41","573","","0","532","41","573","17","556","1","69","9","23","71","7","3","7","212","70","84","29.10.12"
"120820","38","Дніпропетровська область","будинок культури імені Кірова, фойє, 1-й поверх
вул.Сучкова, 116, м.Новомосковськ, Дніпропетровська обл., 51200","1618","872","1582","14","732","14","746","","0","732","14","746","30","716","0","109","18","39","77","5","1","3","267","110","87","29.10.12"
"120821","38","Дніпропетровська область","школа №4, спортивна зала, 1-й поверх
вул.Сучкова, 103, м.Новомосковськ, Дніпропетровська обл., 51200","1410","787","1382","20","607","16","623","","0","607","16","623","24","599","3","89","8","23","63","3","2","10","191","94","113","29.10.12"
"120822","38","Дніпропетровська область","школа №17, фойє, 1-й поверх
вул.Плеханова, 203, м.Новомосковськ, Дніпропетровська обл., 51200","1314","607","1296","28","683","24","707","","0","683","24","707","39","668","4","124","19","20","94","1","1","11","229","98","67","29.10.12"
"120823","38","Дніпропетровська область","школа №14, спортивна зала
вул.Юрченка, 24, м.Новомосковськ, Дніпропетровська обл., 51200","2082","1221","2061","20","845","16","861","","0","845","16","861","42","819","6","196","16","18","83","8","1","10","288","92","101","28.10.12"
"120824","38","Дніпропетровська область","школа №12, фойє, 1-й поверх
вул.Толстого, 141, м.Новомосковськ, Дніпропетровська обл., 51200","1470","865","1458","20","587","18","605","","0","587","18","605","17","588","4","132","10","13","60","6","1","6","229","60","67","29.10.12"
"120825","38","Дніпропетровська область","школа №12, спортивна зала, 1-й поверх
вул.Толстого, 141, м.Новомосковськ, Дніпропетровська обл., 51200","2280","1274","2259","41","971","35","1006","","0","971","35","1006","52","954","1","164","29","23","141","11","3","10","382","100","90","29.10.12"
"120826","38","Дніпропетровська область","Геофізична розвідувальна експедиція, актова зала, 2-й поверх
вул.Спаська, 17, м.Новомосковськ, Дніпропетровська обл., 51200","2412","1203","2386","13","1198","11","1209","","0","1198","11","1209","58","1151","9","113","24","23","119","7","8","9","618","127","94","29.10.12"
"120827","38","Дніпропетровська область","КП ""Південукргеологія"", актова зала, 1-й поверх
вул.Спаська, 9, м.Новомосковськ, Дніпропетровська обл., 51200","1680","1107","1661","11","564","9","573","","0","564","9","573","23","550","1","49","10","7","107","1","0","10","237","90","38","29.10.12"
"120828","38","Дніпропетровська область","школа №13, спортивна зала
вул.Спаська, 42, м.Новомосковськ, Дніпропетровська обл., 51200","1950","1248","1915","15","689","13","702","","0","689","13","702","27","675","2","74","16","14","167","3","1","5","236","91","66","29.10.12"
"120829","38","Дніпропетровська область","міський центр первинної медико-санітарної допомоги, (доросла поліклініка), фойє, 1-й поверх
вул.Сучкова, 40, м.Новомосковськ, Дніпропетровська обл., 51200","276","142","138","51","85","49","134","","0","85","49","134","1","133","1","14","2","6","10","2","1","2","62","17","16","29.10.12"
"120830","38","Дніпропетровська область","Амбулаторія №4 КНП НМЦПМСД (дитяча поліклініка), конференц-зала, 1-й поверх
вул.Українська, 12, м.Новомосковськ, Дніпропетровська обл., 51200","72","18","55","7","47","7","54","","0","47","7","54","2","52","0","5","1","7","6","0","0","1","19","7","6","29.10.12"
