"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Власов
Юрій
Антонович","Галаган
Олександр
Васильович","Гвоздєв
Геннадій
Геннадійович","Джума
Вадим
Петрович","Курячий
Максим
Павлович","Руденко
Олександр
Олександрович","Тімофєєв
Євген
Олександрович","Циркін
Ігор
Маркович","Дата підписання протоколу"
"000001","25","Дніпропетровська область","
вул.Чичерина, 80, м.Дніпропетровськ","1440","330","1152","0","1110","0","1110","","0","1110","0","1110","81","1029","131","28","34","27","148","44","55","562","29.10.12"
"000002","25","Дніпропетровська область","
вул.Чичерина, 80, м.Дніпропетровськ","1664","81","1620","27","1557","26","1583","","0","1557","26","1583","134","1449","161","41","35","22","143","47","43","957","29.10.12"
"121063","25","Дніпропетровська область","школа №56, хол, 1-й поверх
вул.Скрябіна, 41, м.Дніпропетровськ, 49021","2312","1410","2274","20","884","18","902","","0","884","18","902","44","858","120","19","22","14","179","117","12","375","28.10.12"
"121064","25","Дніпропетровська область","школа №56, актова зала, 1-й поверх
вул.Скрябіна, 41, м.Дніпропетровськ, 49021","2184","1311","2120","15","858","15","873","","0","858","15","873","38","835","105","15","30","13","113","89","20","450","29.10.12"
"121071","25","Дніпропетровська область","школа №26, коридор, 1-й поверх
вул.Каруни, 129, м.Дніпропетровськ, 49023","2400","1339","2368","25","1041","20","1061","","0","1041","20","1061","59","1002","152","19","21","13","203","119","17","458","29.10.12"
"121072","25","Дніпропетровська область","школа №26, коридор, 2-й поверх
вул.Каруни, 129, м.Дніпропетровськ, 49023","2400","1327","2356","18","1060","13","1073","","0","1060","13","1073","33","1040","153","15","11","9","246","144","15","447","29.10.12"
"121073","25","Дніпропетровська область","школа №42, хол, 1-й поверх
вул.Ростовська, 88, м.Дніпропетровськ, 49023","2064","1164","2032","26","882","18","900","","0","882","18","900","51","849","163","17","18","16","196","107","18","314","29.10.12"
"121074","25","Дніпропетровська область","школа №42, спортивна зала, 1-й поверх
вул.Ростовська, 88, м.Дніпропетровськ, 49023","2157","1103","2127","18","1040","14","1054","","0","1040","14","1054","46","1008","177","14","19","14","206","135","14","429","29.10.12"
"121075","25","Дніпропетровська область","школа №55, хол, 1-й поверх
вул.Луговська, 211, м.Дніпропетровськ, 49081","2352","1183","2291","27","1147","22","1169","","2","1147","22","1169","64","1105","195","22","19","9","235","152","15","458","29.10.12"
"121076","25","Дніпропетровська область","школа №55, спортивна зала, ліворуч, 1-й поверх
вул.Луговська, 211, м.Дніпропетровськ, 49081","2376","1196","2345","25","1161","19","1180","","0","1159","19","1178","48","1130","140","13","27","8","242","126","18","556","29.10.12"
"121077","25","Дніпропетровська область","школа №55, спортивна зала, праворуч, 1-й поверх
вул.Луговська, 211, м.Дніпропетровськ, 49081","2376","1219","2334","11","1148","9","1157","","0","1148","9","1157","50","1107","139","17","29","8","234","161","17","502","29.10.12"
"121084","25","Дніпропетровська область","БК ВАТ ""Дніпровагонрембуд"", хол, 1-й поверх
вул.Універсальна, 10, м.Дніпропетровськ, 49024","2104","1125","2069","23","956","23","979","","0","956","23","979","50","929","135","17","11","3","165","107","21","470","29.10.12"
"121087","25","Дніпропетровська область","Дніпропетровський центр первинної медико-санітарної допомоги №8, хол, 1-й поверх
вул.Софії Ковалевської, 53А, м.Дніпропетровськ, 49087","2376","1292","2353","13","1073","11","1084","","0","1073","11","1084","57","1027","182","23","22","10","225","117","22","426","29.10.12"
"121088","25","Дніпропетровська область","Дніпропетровський центр первинної медико-санітарної допомоги №8, хол, 1-й поверх
вул.Софії Ковалевської, 53А, м.Дніпропетровськ, 49087","2344","1135","2307","24","1191","18","1209","","0","1191","18","1209","71","1138","175","31","29","42","172","143","18","528","29.10.12"
"121089","25","Дніпропетровська область","школа №44, велика спортивна зала, 1-й поверх
вул.Софії Ковалевської, 6, м.Дніпропетровськ, 49026","2392","1189","2359","14","1189","14","1203","","0","1189","14","1203","61","1142","195","22","25","19","274","126","26","455","29.10.12"
"121090","25","Дніпропетровська область","школа №44, хол, 1-й поверх
вул.Софії Ковалевської, 6, м.Дніпропетровськ, 49026","2352","1177","2316","13","1164","11","1175","","0","1164","11","1175","55","1120","125","15","22","25","298","153","16","466","29.10.12"
"121091","25","Дніпропетровська область","дошкільний навчальний заклад №90, к.3, 1-й поверх
вул.Калинова, 49А, м.Дніпропетровськ, 49026","1960","950","1939","11","1001","9","1010","","0","1001","9","1010","47","963","147","24","21","13","263","125","17","353","29.10.12"
"121092","25","Дніпропетровська область","клуб ""Дніпро"", актова зала, 1-й поверх
вул.Калинова, 68, м.Дніпропетровськ, 49026","1048","464","1040","4","582","2","584","","0","582","2","584","21","563","93","12","7","14","128","42","8","259","29.10.12"
"121093","25","Дніпропетровська область","Дніпропетровський центр професійної освіти, актова зала, 1-й поверх
вул.Калинова, 41, м.Дніпропетровськ, 49026","2392","1153","2359","23","1219","20","1239","","0","1218","20","1238","56","1182","132","22","20","20","300","155","21","512","29.10.12"
"121094","25","Дніпропетровська область","гуртожиток Дніпропетровської державної фінансової академії, диско-зал, 1-й поверх
вул.Аржанова, 12, м.Дніпропетровськ, 49083","2264","1165","2257","10","1090","9","1099","","0","1090","9","1099","63","1036","151","18","18","16","292","127","29","385","28.10.12"
"121095","25","Дніпропетровська область","школа №8, хол, 1-й поверх
вул.Прапорна, 23, м.Дніпропетровськ, 49083","2398","1151","2361","23","1224","23","1247","","0","1224","23","1247","51","1196","172","47","21","15","262","158","19","502","29.10.12"
"121096","25","Дніпропетровська область","школа №8, коридор праворуч, 1-й поверх
вул.Прапорна, 23, м.Дніпропетровськ, 49083","2392","1305","2361","8","1079","8","1087","","0","1079","8","1087","55","1032","170","31","17","11","270","95","25","413","29.10.12"
"121097","25","Дніпропетровська область","школа №8, коридор ліворуч, 1-й поверх
вул.Прапорна, 23, м.Дніпропетровськ, 49083","2408","1295","2392","5","1108","5","1113","","0","1108","5","1113","46","1067","191","21","17","11","249","138","11","429","29.10.12"
"121098","25","Дніпропетровська область","навчально-виховний комплекс №57, спортивна зала, 1-й поверх
вул.Прогресивна, 3, м.Дніпропетровськ, 49098","2296","1058","2262","22","1220","18","1238","","0","1220","18","1238","62","1176","213","28","24","23","341","142","15","390","28.10.12"
"121099","25","Дніпропетровська область","навчально-виховний комплекс №57, хол, 1-й поверх
вул.Прогресивна, 3, м.Дніпропетровськ, 49098","2160","931","2123","30","1202","27","1229","","0","1202","27","1229","49","1180","138","29","28","16","372","152","17","428","28.10.12"
"121100","25","Дніпропетровська область","школа №43, хол, 1-й поверх
вул.Білостоцького, 84, м.Дніпропетровськ, 49034","2296","962","2255","26","1314","20","1334","","0","1314","20","1334","57","1277","158","28","37","17","381","177","12","467","29.10.12"
"121101","25","Дніпропетровська область","школа №43, коридор, 1-й поверх
вул.Білостоцького, 84, м.Дніпропетровськ, 49034","2376","1020","2342","25","1334","22","1356","","0","1332","22","1354","49","1305","172","31","69","13","448","159","19","394","29.10.12"
"121102","25","Дніпропетровська область","школа №43, коридор, 1-й поверх
вул.Білостоцького, 84, м.Дніпропетровськ, 49034","1952","1022","1917","21","914","16","930","","0","914","16","930","50","880","116","15","27","11","245","100","11","355","29.10.12"
"121103","25","Дніпропетровська область","Дніпропетровська міська клінічна лікарня №9, кардіологічне відділення, 1-й поверх
просп.Воронцова, 29, м.Дніпропетровськ, 49023","424","10","414","19","395","19","414","","0","395","19","414","22","392","43","5","5","3","36","22","6","272","28.10.12"
"121318","25","Дніпропетровська область","школа №82, актова зала, 1-й поверх
вул.Філософська, 56, м.Дніпропетровськ, 49006","2416","1311","2400","21","1092","13","1105","","0","1092","13","1105","47","1058","181","43","17","15","291","114","17","380","29.10.12"
"121319","25","Дніпропетровська область","навчально-виховний комплекс №12, коридор, 1-й поверх
просп.Пушкіна, 75, м.Дніпропетровськ, 49006","2320","1108","2309","20","1194","18","1212","","0","1194","18","1212","49","1163","199","49","31","35","278","134","36","401","28.10.12"
"121320","25","Дніпропетровська область","Дніпропетровський технікум залізничного транспорту, хол, 2-й поверх
просп.Пушкіна, 77А, м.Дніпропетровськ, 49006","2408","1482","2368","29","906","20","926","","0","906","20","926","57","869","157","38","6","11","211","102","8","336","29.10.12"
"121321","25","Дніпропетровська область","Професійно-технічне училище №6, хол, 1-й поверх
вул.Свердлова, 72А, м.Дніпропетровськ, 49006","2512","1703","1803","20","796","13","809","","0","796","13","809","27","782","127","9","13","16","229","79","13","296","29.10.12"
"121322","25","Дніпропетровська область","школа №32, спортивна зала, 2-й поверх
вул.Свердлова, 72, м.Дніпропетровськ, 49006","2408","1194","2375","32","1194","20","1214","","0","1194","20","1214","41","1173","195","18","27","17","316","171","14","415","29.10.12"
"121323","25","Дніпропетровська область","школа №6, спортивна зала, 1-й поверх
вул.Робоча, 64, м.Дніпропетровськ, 49006","2328","1262","2296","23","1048","18","1066","","0","1048","18","1066","45","1021","155","42","14","18","236","113","24","419","29.10.12"
"121324","25","Дніпропетровська область","Дніпропетровський навчально-виробничий центр, актова зала, 2-й поверх
вул.Алтайська, 6А, м.Дніпропетровськ, 49052","1552","908","1549","13","632","12","644","","0","632","12","644","31","613","85","22","4","5","193","73","6","225","29.10.12"
"121325","25","Дніпропетровська область","Дніпропетровський навчально-виробничий центр, спортивна зала, 2-й поверх
вул.Алтайська, 6А, м.Дніпропетровськ, 49052","2220","1355","2171","27","844","21","865","","0","844","21","865","42","823","142","11","15","13","167","114","19","342","29.10.12"
"121326","25","Дніпропетровська область","територіальний центр соц. обслуговування, зал, 1-й поверх
вул.Бабушкіна, 28/32, м.Дніпропетровськ, 49009","1928","1361","1941","13","558","9","567","","0","558","9","567","27","540","94","20","15","4","124","63","5","215","29.10.12"
"121327","25","Дніпропетровська область","учбово-культурний центр ПАТ ""Дніпропетровський агрегатний завод"", к.4, 2-й поверх
вул.Щепкіна, 53, м.Дніпропетровськ, 49052","2176","1124","2138","8","1044","8","1052","","0","1044","8","1052","52","1000","122","23","9","9","285","90","15","447","29.10.12"
"121328","25","Дніпропетровська область","учбово-культурний центр ПАТ ""Дніпропетровський агрегатний завод"", к.5, 2-й поверх
вул.Щепкіна, 53, м.Дніпропетровськ, 49052","2272","1366","2241","38","883","23","906","","0","883","23","906","39","867","120","17","8","7","223","99","14","379","29.10.12"
"121329","25","Дніпропетровська область","школа №65, коридор, 1-й поверх
вул.Амбулаторна, 2, м.Дніпропетровськ, 49015","1424","854","1406","31","544","26","570","","0","544","26","570","22","548","94","17","8","7","127","70","4","221","29.10.12"
"121330","25","Дніпропетровська область","школа №65, спортивна зала, 1-й поверх
вул.Амбулаторна, 2, м.Дніпропетровськ, 49015","2296","1318","2271","34","950","28","978","","0","950","28","978","58","920","141","56","11","12","189","120","19","372","29.10.12"
"121331","25","Дніпропетровська область","школа №30, коридор, 1-й поверх
вул.Крамського, 12, м.Дніпропетровськ, 49047","1336","781","1333","8","547","8","555","","0","547","8","555","11","544","53","70","8","4","122","82","0","205","29.10.12"
"121332","25","Дніпропетровська область","школа №30, коридор, 2-й поверх
вул.Крамського, 12, м.Дніпропетровськ, 49047","1136","627","1122","7","506","3","509","","0","506","3","509","30","479","54","65","7","8","120","50","2","173","28.10.12"
"121333","25","Дніпропетровська область","гуртожиток №2 ДП ""Південний машинобудівний завод ім.О.М. Макарова"", хол Червоного кутка, 1-й поверх
вул.Криворізька, 18, м.Дніпропетровськ, 49047","1128","615","1114","7","507","6","513","","0","507","6","513","27","486","60","63","3","6","94","69","5","186","28.10.12"
"121334","25","Дніпропетровська область","школа №15, коридор, 2-й поверх
вул.Дмитра Кедріна, 53, м.Дніпропетровськ, 49008","2400","1390","2359","11","1002","8","1010","","0","1002","8","1010","42","968","123","92","17","16","214","108","10","388","29.10.12"
"121335","25","Дніпропетровська область","школа №15, спортивна зала, 2-й поверх
вул.Дмитра Кедріна, 53, м.Дніпропетровськ, 49008","2368","1157","2338","11","1202","9","1211","","0","1202","9","1211","35","1176","131","115","15","17","328","145","12","413","29.10.12"
"121336","25","Дніпропетровська область","Палац культури Машинобудівників, фойє, 1-й поверх
вул.Робоча, 166А, м.Дніпропетровськ, 49008","2264","1110","2226","23","1141","13","1154","","0","1141","13","1154","33","1121","156","111","20","13","281","128","11","401","29.10.12"
"121337","25","Дніпропетровська область","Палац культури Машинобудівників, фойє малого залу, 1-й поверх
вул.Робоча, 166А, м.Дніпропетровськ, 49008","2352","1177","2309","18","1160","15","1175","","0","1160","15","1175","44","1131","158","97","8","15","330","151","9","363","29.10.12"
"121338","25","Дніпропетровська область","школа №34, коридор, 1-й поверх
вул.Дмитра Кедріна, 57, м.Дніпропетровськ, 49047","2400","1094","2353","19","1292","14","1306","","0","1292","14","1306","46","1260","150","100","11","9","396","126","17","451","29.10.12"
"121339","25","Дніпропетровська область","пункт охорони правопорядку, зал, 1-й поверх
вул.Каверіна, 1, м.Дніпропетровськ, 49008","2264","1075","2241","13","1178","11","1189","","0","1178","11","1189","50","1139","150","54","11","15","306","111","13","479","29.10.12"
"121340","25","Дніпропетровська область","школа №46, хол, 1-й поверх
вул.Робоча, 75А, м.Дніпропетровськ, 49008","2272","991","2217","10","1273","8","1281","","0","1273","8","1281","47","1234","180","58","15","18","385","134","15","429","29.10.12"
"121341","25","Дніпропетровська область","школа №46, хол, 1-й поверх
вул.Робоча, 75А, м.Дніпропетровськ, 49008","2376","1066","2336","13","1297","13","1310","","0","1297","13","1310","64","1246","186","77","10","25","328","139","15","466","29.10.12"
"121342","25","Дніпропетровська область","міжшкільний навчально-виробничий комбінат, коридор, 2-й поверх
вул.Автодорівська, 1А, м.Дніпропетровськ, 49008","2304","1116","2274","12","1181","7","1188","","0","1181","7","1188","53","1135","161","48","11","25","296","157","18","419","29.10.12"
