"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Височанський
Роман
Романович","Гдичинський
Богдан
Петрович","Доній
Олександр
Сергійович","Левицький
Олександр
Михайлович","Панчук
Роман
Теодорович","Сава
Андрій
Богданович","Церковнюк
Дарія
Юріївна","Дата підписання протоколу"
"260165","88","Івано-Франківська область","школа №1, малий спортивний зал
вул.Шевченка, 55, м.Городенка, Городенківський р-н, Івано-Франківська обл., 78100","2096","952","2060","33","1111","32","1143","","0","1111","32","1143","37","1106","13","231","622","205","7","9","19","29.10.12"
"260166","88","Івано-Франківська область","районний палац культури, приміщення для засідань
вул.Шевченка, 72, м.Городенка, Городенківський р-н, Івано-Франківська обл., 78100","1692","728","1657","36","932","32","964","","0","932","32","964","40","924","7","197","460","226","11","6","17","29.10.12"
"260167","88","Івано-Франківська область","школа №2 (колишнє приміщення школи №3), актовий зал
вул.Шкільна, 12, м.Городенка, Городенківський р-н, Івано-Франківська обл., 78100","1183","480","1176","34","672","31","703","","0","672","31","703","22","681","11","132","396","121","4","9","8","29.10.12"
"260168","88","Івано-Франківська область","ПТУ №31, приміщення гуртожитку
вул.Винниченка, 1, м.Городенка, Городенківський р-н, Івано-Франківська обл., 78100","1080","470","1083","18","592","18","610","","0","592","18","610","11","599","8","129","349","98","4","5","6","29.10.12"
"260169","88","Івано-Франківська область","народний дім ""Просвіта"", зал
вул.Володимира Великого, 40, м.Городенка, Городенківський р-н, Івано-Франківська обл., 78100","1368","506","1333","31","831","31","862","","0","831","31","862","22","840","11","154","499","161","3","6","6","29.10.12"
"260170","88","Івано-Франківська область","школа, спортивний зал
вул.Незалежності, 12, смт Чернелиця, Городенківський р-н, Івано-Франківська обл., 78112","1288","474","1271","59","756","58","814","","0","756","58","814","16","798","12","148","455","153","11","14","5","29.10.12"
"260171","88","Івано-Франківська область","сільський клуб, приміщення для засідань
вул.Незалежності, 4, с.Хмелева, Городенківський р-н, Івано-Франківська обл., 78112","200","47","199","8","145","8","153","","0","145","8","153","0","153","4","36","99","10","1","3","0","29.10.12"
"260172","88","Івано-Франківська область","школа, актовий зал
вул.Шевченка, 3, с.Вербівці, Городенківський р-н, Івано-Франківська обл., 78160","696","184","684","66","448","64","512","","0","448","64","512","21","491","7","86","250","141","1","2","4","29.10.12"
"260173","88","Івано-Франківська область","школа, актовий зал
вул.Миру, 73, с.Виноград, Городенківський р-н, Івано-Франківська обл., 78153","744","285","732","24","435","24","459","","0","435","24","459","18","441","8","174","121","131","4","1","2","29.10.12"
"260174","88","Івано-Франківська область","сільський клуб, актовий зал
вул.Незалежності, 1, с.Хвалибога, Городенківський р-н, Івано-Франківська обл., 78153","224","71","219","10","145","8","153","","0","145","8","153","11","142","2","69","29","42","0","0","0","29.10.12"
"260175","88","Івано-Франківська область","школа, спортивний зал
вул.Незалежності, 10, с.Вільхівці, Городенківський р-н, Івано-Франківська обл., 78113","416","120","407","35","261","35","296","","0","261","35","296","9","287","4","70","178","33","2","0","0","29.10.12"
"260176","88","Івано-Франківська область","будинок культури, фойє
вул.Братів Василиків, 2А, с.Вікно, Городенківський р-н, Івано-Франківська обл., 78125","1000","360","990","60","583","57","640","","0","583","57","640","28","612","8","68","412","92","2","29","1","29.10.12"
"260177","88","Івано-Франківська область","будинок культури, приміщення для засідань
вул.Галицька, 34, с.Городниця, Городенківський р-н, Івано-Франківська обл., 78140","824","179","812","28","617","28","645","","0","617","28","645","10","635","15","196","319","91","5","6","3","29.10.12"
"260178","88","Івано-Франківська область","будинок культури, приміщення для засідань
вул.Галицька, 8, с.Передівання, Городенківський р-н, Івано-Франківська обл., 78140","232","61","222","18","154","17","171","","0","154","17","171","2","169","3","35","91","39","0","1","0","29.10.12"
"260179","88","Івано-Франківська область","школа, коридор
вул.Шевченка, 7, с.Глушків, Городенківський р-н, Івано-Франківська обл., 78127","912","334","898","40","541","37","578","","0","541","37","578","13","565","9","141","305","96","5","4","5","29.10.12"
"260180","88","Івано-Франківська область","сільський клуб, приміщення для засідань
вул.Хмельницького, 22, с.Далешове, Городенківський р-н, Івано-Франківська обл., 78130","304","82","305","33","189","33","222","","0","189","33","222","5","217","11","93","60","51","0","0","2","29.10.12"
"260181","88","Івано-Франківська область","будинок культури, приміщення для засідань
вул.Хмельницького, 45, с.Дубка, Городенківський р-н, Івано-Франківська обл., 78131","632","207","627","39","387","38","425","","0","387","38","425","11","414","7","126","212","60","2","3","4","29.10.12"
"260182","88","Івано-Франківська область","сільський клуб, приміщення для засідань
вул.Грушевського, 11, с.Колінки, Городенківський р-н, Івано-Франківська обл., 78132","520","180","503","24","316","24","340","","0","316","24","340","13","327","8","143","145","26","0","1","4","29.10.12"
"260183","88","Івано-Франківська область","сільський клуб, приміщення для засідань
вул.Хмельницького, 34, с.Репужинці, Городенківський р-н, Івано-Франківська обл., 78130","288","91","276","32","168","29","197","","0","168","29","197","8","189","10","40","103","34","2","0","0","29.10.12"
"260184","88","Івано-Франківська область","школа, спортивний зал
вул.Шкільна, 18А, с.Корнів, Городенківський р-н, Івано-Франківська обл., 78116","536","126","532","53","357","53","410","","0","357","53","410","12","398","8","52","231","97","4","2","4","29.10.12"
"260185","88","Івано-Франківська область","будинок культури, зал
вул.Січових Стрільців, 21, с.Копачинці, Городенківський р-н, Івано-Франківська обл., 78110","808","219","787","29","560","29","589","","0","560","29","589","14","575","7","202","306","55","2","2","1","29.10.12"
"260186","88","Івано-Франківська область","будинок культури, зал
вул.Шевченка, 163, с.Котиківка, Городенківський р-н, Івано-Франківська обл., 78106","1856","652","1839","50","1156","48","1204","","0","1156","48","1204","28","1176","10","231","712","189","4","14","16","29.10.12"
"260187","88","Івано-Франківська область","школа, спортивний зал
вул.Грушевського, 18, с.Кунисівці, Городенківський р-н, Івано-Франківська обл., 78111","688","184","681","45","460","44","504","","0","460","44","504","9","495","6","145","283","58","3","0","0","29.10.12"
"260188","88","Івано-Франківська область","школа, спортивний зал
вул.Нова, 1, с.Лука, Городенківський р-н, Івано-Франківська обл., 78117","656","149","641","35","473","34","507","","0","473","34","507","27","480","15","173","206","62","5","14","5","29.10.12"
"260189","88","Івано-Франківська область","сільський клуб, зал
вул.Галицька, 13А, с.Монастирок, Городенківський р-н, Івано-Франківська обл., 78117","56","18","55","4","34","4","38","","0","0","0","38","3","35","0","12","10","13","0","0","0","01.11.12"
"260190","88","Івано-Франківська область","сільський клуб, зал
вул.Шевченка, 3А, с.Уніж, Городенківський р-н, Івано-Франківська обл., 78117","80","18","80","14","48","14","62","","0","48","14","62","5","57","5","27","15","7","0","0","3","29.10.12"
"260191","88","Івано-Франківська область","школа, спортивний зал
вул.Галицька, 30А, с.Незвисько, Городенківський р-н, Івано-Франківська обл., 78118","568","178","557","54","337","53","390","","0","337","53","390","13","377","3","97","218","49","5","1","4","29.10.12"
"260192","88","Івано-Франківська область","сільський клуб, фойє
вул.Лесі Українки, 59, с.Воронів, Городенківський р-н, Івано-Франківська обл., 78119","384","135","373","25","224","25","249","","0","224","25","249","18","231","9","97","71","47","2","4","1","29.10.12"
"260193","88","Івано-Франківська область","школа, їдальня
вул.Шевченка, 2, с.Олієво-Королівка, Городенківський р-н, Івано-Франківська обл., 78120","888","320","879","18","550","18","568","","0","550","18","568","11","557","13","163","235","139","3","1","3","29.10.12"
"260194","88","Івано-Франківська область","сільський клуб, зал
вул.Стефаника, 46, с.Олієво-Корнів, Городенківський р-н, Івано-Франківська обл., 78120","384","126","381","6","252","6","258","","0","252","6","258","16","242","6","98","83","52","0","1","2","28.10.12"
"260195","88","Івано-Франківська область","сільський клуб, зал
вул.Молодіжна, 5, с.Новоселівка, Городенківський р-н, Івано-Франківська обл., 78120","104","39","102","2","63","2","65","","0","63","2","65","5","60","2","21","30","7","0","0","0","29.10.12"
"260196","88","Івано-Франківська область","дитячий садок, актовий зал
вул.Лесі Українки, 23, с.Острівець, Городенківський р-н, Івано-Франківська обл., 78150","464","129","450","50","285","50","335","","0","285","50","335","17","318","1","79","61","172","2","1","2","31.10.12"
"260197","88","Івано-Франківська область","сільський клуб, актовий зал
вул.Слави, 23, с.Рогиня, Городенківський р-н, Івано-Франківська обл., 78150","368","124","355","40","204","40","244","","0","204","40","244","7","237","2","93","53","84","1","1","3","01.11.12"
"260198","88","Івано-Франківська область","будинок культури, фойє
вул.Шевченка, 47, с.Поточище, Городенківський р-н, Івано-Франківська обл., 78135","1072","183","1052","81","809","80","889","","0","809","80","889","20","869","7","500","171","183","1","4","3","29.10.12"
"260199","88","Івано-Франківська область","школа, фойє
вул.О.Барчинської, 2, с.Раковець, Городенківський р-н, Івано-Франківська обл., 78114","592","172","588","55","368","52","420","","0","368","52","420","23","397","14","184","148","41","5","2","3","29.10.12"
"260200","88","Івано-Франківська область","школа, спортивний зал
вул.Галицька, 54, с.Семенівка, Городенківський р-н, Івано-Франківська обл., 78115","544","184","535","40","324","36","360","","0","324","36","360","16","344","5","170","100","63","2","4","0","29.10.12"
"260201","88","Івано-Франківська область","будинок культури, зал
вул.Шевченка, 18, с.Рашків, Городенківський р-н, Івано-Франківська обл., 78122","768","230","761","40","501","37","538","","0","501","37","538","13","525","9","86","306","114","6","3","1","01.11.12"
"260202","88","Івано-Франківська область","сільський клуб, зал
вул.Грушевського, 1, с.Якубівка, Городенківський р-н, Івано-Франківська обл., 78122","272","99","273","8","165","8","173","","0","165","8","173","8","165","1","60","26","69","2","6","1","29.10.12"
"260203","88","Івано-Франківська область","будинок культури, фойє
вул.Українська, 100, с.Росохач, Городенківський р-н, Івано-Франківська обл., 78151","856","343","831","36","477","36","513","","0","477","36","513","16","497","2","87","200","200","2","3","3","29.10.12"
"260204","88","Івано-Франківська область","сільський клуб, зал
вул.Лесі Українки, 26, с.Прикмище, Городенківський р-н, Івано-Франківська обл., 78152","424","176","409","8","240","8","248","","0","240","8","248","21","227","3","69","48","104","0","1","2","29.10.12"
"260205","88","Івано-Франківська область","будинок культури, зал
вул.Грушевського, 22, с.Михальче, Городенківський р-н, Івано-Франківська обл., 78134","560","117","549","33","410","33","443","","0","410","33","443","21","422","6","126","216","62","5","4","3","29.10.12"
"260206","88","Івано-Франківська область","сільський клуб, зал
вул.Хмельницького, 4, с.Білка, Городенківський р-н, Івано-Франківська обл., 78134","80","25","73","7","49","6","55","","0","49","6","55","1","54","0","23","22","7","1","1","0","29.10.12"
"260207","88","Івано-Франківська область","сільський клуб, зал
вул.Шевченка, 61А, с.Семаківці, Городенківський р-н, Івано-Франківська обл., 78133","936","260","914","58","618","58","676","","0","618","58","676","31","645","14","235","316","72","2","2","4","29.10.12"
"260208","88","Івано-Франківська область","школа, актовий зал
вул.Сагайдачного, 7А, с.Серафинці, Городенківський р-н, Івано-Франківська обл., 78142","1760","779","1705","65","917","64","981","","0","916","64","980","48","932","9","157","546","200","7","6","7","31.10.12"
"260209","88","Івано-Франківська область","школа, спортивний зал
вул.Кривого, 1, с.Слобідка, Городенківський р-н, Івано-Франківська обл., 78155","576","262","563","24","290","24","314","","0","290","24","314","21","293","2","112","100","52","5","5","17","29.10.12"
"260210","88","Івано-Франківська область","адмін будинок, актовий зал
вул.Незалежності, 24, с.Сороки, Городенківський р-н, Івано-Франківська обл., 78154","760","310","747","19","431","19","450","","0","431","19","450","14","436","16","59","272","72","3","8","6","29.10.12"
"260211","88","Івано-Франківська область","будинок культури, зал
вул.Бандери, 41, с.Стрільче, Городенківський р-н, Івано-Франківська обл., 78141","1216","450","1205","39","728","38","766","","0","728","38","766","34","732","15","205","292","190","8","9","13","29.10.12"
"260212","88","Івано-Франківська область","сільський клуб, фойє
вул.Вишнева, 5, с.Пробабин, Городенківський р-н, Івано-Франківська обл., 78141","160","49","155","9","103","8","111","","0","103","8","111","4","107","2","36","40","27","2","0","0","29.10.12"
"260213","88","Івано-Франківська область","будинок культури, зал
вул.Шевченка, 11А, с.Топорівці, Городенківський р-н, Івано-Франківська обл., 78162","1528","514","1509","81","935","79","1014","","0","935","79","1014","21","993","10","157","581","236","3","1","5","29.10.12"
"260214","88","Івано-Франківська область","школа, спортивний зал
вул.Шевченка, 61, с.Торговиця, Городенківський р-н, Івано-Франківська обл., 78161","1560","641","1540","48","872","47","919","","0","872","47","919","18","901","6","132","610","129","10","10","4","29.10.12"
"260215","88","Івано-Франківська область","будинок культури, фойє
вул.Незалежності, 12, с.Тишківці, Городенківський р-н, Івано-Франківська обл., 78124","1152","393","1155","114","646","113","759","","0","646","113","759","18","741","6","94","531","97","3","5","5","29.10.12"
"260216","88","Івано-Франківська область","будинок культури, танцювальна зала
вул.Грушевського, 36, с.Чернятин, Городенківський р-н, Івано-Франківська обл., 78126","1560","451","1534","52","1057","52","1109","","0","1057","52","1109","37","1072","13","235","522","283","4","6","9","29.10.12"
"260217","88","Івано-Франківська область","школа, коридор
вул.Грушевського, 27, с.Чернятин, Городенківський р-н, Івано-Франківська обл., 78126","952","261","948","42","650","41","691","","0","650","41","691","31","660","5","166","292","182","2","5","8","29.10.12"
"260218","88","Івано-Франківська область","будинок культури, зал
вул.Галицька, 45, с.Чортовець, Городенківський р-н, Івано-Франківська обл., 78123","2056","687","2054","146","1294","75","1369","","0","1294","75","1369","87","1282","21","353","645","222","9","24","8","29.10.12"
"260219","88","Івано-Франківська область","будинок культури, зал
вул.Січових Стрільців, 58, с.Ясенів-Пільний, Городенківський р-н, Івано-Франківська обл., 78143","1312","640","1293","34","638","34","672","","0","638","34","672","28","644","14","116","232","265","6","5","6","29.10.12"
"260220","88","Івано-Франківська область","школа, спортивний зал
вул.Січових Стрільців, 63, с.Ясенів-Пільний, Городенківський р-н, Івано-Франківська обл., 78143","1288","626","1269","26","638","24","662","","0","638","24","662","27","635","10","120","212","281","1","3","8","29.10.12"
"260221","88","Івано-Франківська область","Городенківська центральна районна лікарня, зал
вул.Шептицького, 24, м.Городенка, Городенківський р-н, Івано-Франківська обл., 78100","296","128","182","70","104","64","168","","0","104","64","168","4","164","2","47","73","36","0","2","4","29.10.12"
"260339","88","Івано-Франківська область","школа, актова зала
вул.Олекси Довбуша, 2, с.Голосків, Коломийський р-н, Івано-Франківська обл., 78231","1024","413","1023","48","563","48","611","","0","563","48","611","14","597","9","79","87","400","6","10","6","29.10.12"
